日付,曜日,特定日,627番台,,,,,,,628番台,,,,,,,630番台,,,,,,,631番台,,,,,,,632番台,,,,,,,633番台,,,,,,,635番台,,,,,,,636番台,,,,,,,637番台,,,,,,,638番台,,,,,,,650番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-08,月,いいえ,"+1,000","3,221",18,5,1/140,1/6.23,2.33,-416,937,2,2,1/234,1/5.95,3.15,-208,"2,680",7,12,1/141,1/5.86,4.42,+0,849,4,1,1/170,1/6.50,3.00,-333,471,0,2,1/236,1/5.64,3.61,"+3,125","6,352",35,18,1/120,1/5.87,3.47,-250,230,0,0,-,1/5.53,3.22,"+2,667","5,042",25,24,1/103,1/5.92,5.18,"-1,166","2,533",5,8,1/195,1/6.30,3.39,+0,"1,403",5,3,1/175,1/5.60,3.06,"-1,458","2,260",4,6,1/226,1/6.75,3.03
2026-06-07,日,いいえ,-791,"4,936",16,15,1/159,1/6.34,3.36,+209,"5,311",19,19,1/140,1/6.04,4.15,-416,"1,329",4,2,1/222,1/6.08,2.79,-208,730,3,0,1/243,1/6.61,2.77,-750,"2,276",8,3,1/207,1/6.73,2.33,-958,"1,442",2,2,1/361,1/5.77,2.61,-166,"1,274",5,1,1/212,1/5.98,2.59,"-1,083","4,222",13,6,1/222,1/5.87,1.83,-458,408,0,0,-,1/5.67,3.01,"+1,667","4,932",28,7,1/141,1/6.15,1.90,"-1,583","2,678",3,10,1/206,1/6.15,3.76
2026-06-06,土,はい,-166,"3,585",14,6,1/179,1/5.97,2.19,-958,"1,988",5,3,1/249,1/6.29,2.48,"-1,166","2,780",7,6,1/214,1/6.30,2.62,-500,"1,476",4,3,1/211,1/6.08,2.94,-791,"2,279",6,5,1/207,1/6.11,2.79,-41,"3,462",13,7,1/173,1/5.80,2.47,-208,"4,484",16,13,1/155,1/6.12,3.24,-708,"1,348",3,3,1/225,1/6.49,3.05,"-1,083","1,227",1,3,1/307,1/6.62,3.10,+167,"3,449",14,10,1/144,1/6.26,3.36,-875,"2,292",6,3,1/255,1/5.86,2.26
2026-06-05,金,いいえ,-916,"2,854",7,8,1/190,1/6.05,3.12,-291,"2,569",10,3,1/198,1/6.04,2.17,-41,"3,298",13,8,1/157,1/6.19,2.88,"+1,125","5,184",24,13,1/140,1/5.97,2.85,-791,809,0,2,1/405,1/6.07,3.21,-958,"7,228",22,25,1/154,1/6.16,3.99,-875,"3,661",11,8,1/193,1/6.04,2.49,-833,732,0,1,1/732,1/6.33,2.97,+542,"5,042",20,19,1/129,1/6.27,4.40,-250,"3,208",12,6,1/178,1/6.01,2.41,"-1,458","4,636",11,18,1/160,1/6.42,4.25
2026-06-04,木,いいえ,+834,"2,268",13,4,1/133,1/6.23,2.75,"+3,542","6,067",34,26,1/101,1/6.20,5.12,-500,667,1,1,1/334,1/6.34,3.09,-500,792,0,4,1/198,1/5.65,3.89,+459,"2,624",14,1,1/175,1/6.04,1.87,+292,"3,988",16,15,1/129,1/6.50,4.27,-333,947,3,1,1/237,1/6.25,2.85,"+1,417","3,751",19,15,1/110,1/6.41,4.55,"+1,834","5,882",28,19,1/125,1/6.00,3.93,+0,"2,488",9,6,1/166,1/5.76,2.98,"-1,208","2,245",4,6,1/225,1/6.21,3.05
2026-06-03,水,いいえ,+375,"3,495",15,9,1/146,1/6.11,3.05,+0,"4,311",16,14,1/144,1/6.23,3.70,-83,496,1,2,1/165,1/5.45,3.62,-250,"2,337",8,4,1/195,1/5.72,2.52,-458,984,3,0,1/328,1/6.16,2.52,-458,"1,161",3,2,1/232,1/6.06,2.93,-166,944,3,3,1/157,1/6.40,3.51,+750,"5,832",25,17,1/139,1/6.16,3.35,-375,405,0,1,1/405,1/5.84,3.35,-208,"3,231",12,4,1/202,1/5.66,1.99,-833,"1,082",2,1,1/361,1/6.62,2.68
2026-06-02,火,いいえ,+0,"3,372",14,8,1/153,1/6.37,2.85,-625,"2,213",5,7,1/184,1/5.81,3.43,"+1,042","3,118",18,4,1/142,1/6.22,2.19,-208,"1,028",3,3,1/171,1/6.09,3.41,+0,"1,624",7,4,1/148,1/6.62,3.21,+0,"2,506",10,6,1/157,1/6.18,2.99,-208,"1,071",3,2,1/214,1/5.51,3.03,+167,963,5,1,1/161,1/6.17,2.91,-41,"1,230",6,0,1/205,1/6.31,2.40,+459,"3,209",13,11,1/134,1/6.04,3.87,-458,"1,899",5,5,1/190,1/5.82,3.15
2026-06-01,月,いいえ,"+1,334","7,572",25,40,1/116,1/5.85,5.40,-291,"2,663",7,13,1/133,1/6.20,4.64,"+2,334","4,612",28,11,1/118,1/6.26,2.98,"-1,458","4,622",10,20,1/154,1/6.38,4.63,+0,"5,450",17,25,1/130,1/6.14,5.01,-250,908,2,3,1/182,1/5.78,3.51,+209,"1,849",8,4,1/154,1/5.94,3.00,+584,"1,691",8,4,1/141,1/5.49,3.18,-458,510,1,0,1/510,1/7.02,2.94,+167,"4,952",20,11,1/160,1/6.00,2.43,-416,"3,521",10,13,1/153,1/5.96,4.00
2026-05-31,日,いいえ,-83,"4,890",17,17,1/144,1/6.13,3.98,-416,440,0,0,-,1/5.04,2.98,+0,"4,594",17,12,1/158,1/5.94,2.89,-791,"1,786",3,5,1/223,1/5.73,3.20,+292,"3,130",14,6,1/157,1/6.09,2.53,+417,"1,789",8,6,1/128,1/6.08,3.71,-125,"4,224",15,13,1/151,1/6.10,3.47,-83,"1,029",5,0,1/206,1/6.52,2.54,+959,"4,381",19,15,1/129,1/6.02,4.01,-958,"1,994",6,1,1/285,1/6.43,2.06,"+1,584","7,635",36,18,1/141,1/6.04,2.43
2026-05-30,土,はい,"+2,500","5,622",29,21,1/112,1/6.08,4.60,+250,"3,217",14,7,1/153,1/6.14,2.72,-375,"4,020",12,13,1/161,1/5.82,3.57,-625,"3,287",11,6,1/193,1/6.05,2.32,+750,"3,049",16,5,1/145,1/6.17,2.41,+334,"6,765",25,20,1/150,1/5.86,3.27,+334,"6,149",21,23,1/140,1/5.86,4.40,"+1,959","7,533",28,35,1/120,1/5.68,5.26,-666,"4,022",12,13,1/161,1/6.14,3.57,-416,"3,159",10,9,1/166,1/6.02,3.21,"-1,416","4,510",13,10,1/196,1/6.26,2.36
