日付,曜日,特定日,627番台,,,,,,,628番台,,,,,,,630番台,,,,,,,631番台,,,,,,,632番台,,,,,,,633番台,,,,,,,635番台,,,,,,,636番台,,,,,,,637番台,,,,,,,638番台,,,,,,,650番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-12,火,いいえ,-208,143,0,0,-,1/7.41,3.33,+84,"3,125",12,8,1/156,1/5.95,3.02,-250,291,0,0,-,1/4.78,3.15,-416,387,0,0,-,1/5.48,3.04,-125,321,1,0,1/321,1/5.89,3.16,+84,"1,732",6,6,1/144,1/5.82,3.69,-208,166,0,0,-,1/6.25,3.30,-250,793,2,1,1/264,1/5.48,2.98,-83,"4,513",17,14,1/146,1/6.32,3.53,-708,"1,489",3,3,1/248,1/5.90,2.89,-500,919,2,2,1/230,1/6.50,3.17
2026-05-11,月,いいえ,-166,851,4,0,1/213,1/6.95,2.68,-333,"2,790",10,5,1/186,1/5.99,2.45,-291,460,1,0,1/460,1/5.92,2.99,-208,"2,017",7,4,1/183,1/5.87,2.79,-125,158,0,0,-,1/4.59,3.31,-83,"4,244",15,14,1/146,1/6.13,3.73,-458,"1,005",2,1,1/335,1/5.41,2.75,-541,670,1,1,1/335,1/6.64,3.08,-666,515,0,0,-,1/6.45,2.89,"-1,000","1,821",3,4,1/260,1/5.90,2.85,-333,"5,255",18,14,1/164,1/5.93,2.85
2026-05-10,日,はい,"-1,291","5,837",15,20,1/167,1/6.00,3.79,+292,"6,894",23,26,1/141,1/5.84,4.48,+709,"7,338",25,34,1/124,1/6.05,5.22,"+1,167","2,823",14,10,1/118,1/5.91,4.02,"+1,875","6,312",25,34,1/107,1/6.10,5.39,-333,958,3,2,1/192,1/6.70,3.16,+125,"3,237",14,6,1/162,1/6.15,2.44,"+2,459","7,951",38,29,1/119,1/6.23,4.66,-125,"2,680",8,8,1/168,1/5.53,3.35,-583,"3,594",9,14,1/156,1/5.86,4.16,-666,"5,161",18,14,1/161,1/6.34,2.94
2026-05-09,土,はい,+750,"1,836",10,3,1/141,1/5.67,2.79,"+1,792","4,573",24,13,1/124,1/6.03,3.44,-833,"2,063",6,1,1/295,1/5.93,2.01,-208,"2,427",8,5,1/187,1/5.64,2.71,-750,"3,960",13,11,1/165,1/6.41,3.09,-916,"2,376",7,5,1/198,1/6.66,2.73,"+1,167","4,645",23,13,1/129,1/6.32,3.33,"-1,083","4,548",8,22,1/152,1/5.78,4.92,"-1,458","2,305",4,4,1/288,1/6.18,2.43,+459,"4,665",19,13,1/146,1/5.99,3.17,"-1,750","3,896",9,10,1/205,1/6.38,2.74
2026-05-08,金,いいえ,+750,"5,585",26,14,1/140,1/6.40,2.82,-333,"2,704",9,8,1/159,1/6.23,3.36,"+1,125","3,213",15,13,1/115,1/6.08,4.44,+750,"3,748",17,12,1/129,1/6.25,3.74,"+1,209","4,567",21,19,1/114,1/6.47,4.76,-666,867,1,1,1/434,1/5.87,2.86,-333,"1,411",4,3,1/202,1/5.81,3.01,"-1,125","1,840",4,3,1/263,1/6.58,2.58,-208,"2,995",10,11,1/143,1/6.31,3.98,"+2,250","3,269",21,9,1/109,1/5.99,3.51,+459,"2,648",12,5,1/156,1/5.79,2.64
2026-05-07,木,いいえ,-208,"2,214",8,5,1/170,1/6.11,2.92,-958,"3,966",12,10,1/180,1/6.23,2.77,"-1,000","1,013",0,3,1/338,1/6.34,3.31,"-1,416","2,646",5,6,1/241,1/6.14,2.68,+584,"2,395",11,5,1/150,1/5.65,2.85,-375,"1,241",3,3,1/207,1/5.76,3.17,"-1,333","2,339",5,4,1/260,1/6.35,2.43,+84,805,4,0,1/201,1/5.78,2.73,"+1,500","3,150",17,12,1/109,1/6.25,4.33,"-1,166","3,757",11,9,1/188,1/6.38,2.66,"-1,625","3,194",8,3,1/290,1/6.14,1.80
2026-05-06,水,いいえ,+292,"4,869",14,26,1/122,1/5.91,5.23,"-1,291","4,500",14,8,1/205,1/6.20,2.01,-375,"1,123",3,3,1/187,1/6.31,3.30,+334,"1,728",9,3,1/144,1/6.43,2.86,-83,"3,792",14,15,1/131,1/6.68,4.38,+375,"2,293",8,11,1/121,1/5.91,4.55,-625,"1,445",3,3,1/241,1/5.81,2.94,-416,841,2,0,1/421,1/5.56,2.62,-333,"3,359",10,12,1/153,1/5.97,3.89,-791,"2,707",7,8,1/180,1/6.14,3.28,-500,"2,864",8,11,1/151,1/6.23,4.04
2026-05-05,火,いいえ,-541,"4,565",13,16,1/157,1/5.89,3.89,-458,"5,613",19,17,1/156,1/6.13,3.35,"-1,166","4,182",10,12,1/190,1/5.82,3.05,+0,"4,486",18,10,1/160,1/6.13,2.51,"-1,416","3,195",6,10,1/200,1/6.09,3.33,"+1,792","7,568",31,27,1/130,1/5.74,4.40,-750,"5,877",19,15,1/173,1/5.95,2.61,"+1,125","8,775",38,27,1/135,1/6.29,3.64,+417,"4,216",19,9,1/151,1/6.21,2.52,"-1,041","4,284",11,13,1/179,1/5.93,3.26,"+2,334","7,656",37,21,1/132,1/5.91,3.13
2026-05-04,月,いいえ,-833,"2,568",6,6,1/214,1/5.74,2.79,+292,"2,393",9,7,1/150,1/5.62,3.39,-208,"3,102",13,6,1/163,1/6.55,2.53,+500,"2,720",14,3,1/160,1/6.10,2.16,+0,"1,955",10,0,1/196,1/6.44,1.98,"+1,000","2,327",11,7,1/129,1/5.40,3.54,-541,"1,627",4,5,1/181,1/6.23,3.41,+542,"2,611",13,4,1/154,1/5.99,2.44,-708,"3,631",12,7,1/191,1/6.07,2.32,-875,"1,016",1,2,1/339,1/6.48,3.02,-625,"2,871",9,7,1/179,1/6.20,2.88
2026-05-03,日,いいえ,"+1,084","5,123",27,7,1/151,1/6.24,1.80,"-1,375","1,937",2,4,1/323,1/5.87,2.70,"+2,042","5,620",29,20,1/115,1/6.39,4.41,-375,325,0,0,-,1/5.80,3.11,+542,"2,193",11,4,1/146,1/5.98,2.76,-291,"1,502",5,3,1/188,1/6.12,2.95,-41,"1,362",5,2,1/195,1/5.57,2.79,+334,"3,816",15,14,1/132,1/6.27,4.15,-458,"1,081",2,3,1/216,1/5.82,3.31,-208,"3,083",10,11,1/147,1/6.14,3.89,"+2,459","2,765",18,11,1/95,1/5.73,4.45
2026-05-02,土,はい,"+1,625","4,848",26,10,1/135,1/6.08,2.45,-791,"2,878",9,6,1/192,1/6.31,2.60,-666,"2,016",5,6,1/183,1/6.20,3.34,+625,"3,578",17,8,1/143,1/6.19,2.75,-41,"2,126",7,7,1/152,1/5.86,3.61,+334,"3,638",13,14,1/135,1/5.91,4.25,+584,"2,164",10,6,1/135,1/5.84,3.37,-500,795,1,2,1/265,1/5.95,3.27,+459,"2,670",11,10,1/127,1/6.13,4.06,+0,"2,823",9,11,1/141,1/5.91,4.11,"-1,083","3,179",10,5,1/212,1/6.42,2.16
2026-05-01,金,いいえ,+459,"3,357",15,6,1/160,1/5.84,2.38,-41,"2,319",6,9,1/155,1/5.37,3.96,-833,"1,123",2,2,1/281,1/6.84,2.94,"+1,542","3,916",18,20,1/103,1/6.28,5.13,-666,863,1,1,1/432,1/5.89,2.87,-708,"2,729",6,10,1/171,1/5.86,3.82,"+1,084","3,789",18,10,1/135,1/5.86,3.15,+292,"8,347",30,29,1/141,1/6.03,4.19,-875,"2,414",8,3,1/219,1/6.59,2.22,"-1,000","1,292",2,2,1/323,1/6.56,2.76,-166,"5,002",18,16,1/147,1/6.23,3.64
2026-04-30,木,はい,+375,"1,155",6,2,1/144,1/5.80,3.06,"+1,209","3,410",14,19,1/103,1/6.09,5.16,"+1,250","6,415",25,27,1/123,1/5.98,4.95,+334,"3,855",15,13,1/138,-,3.85,+750,"2,006",10,6,1/125,1/5.88,3.54,+334,"6,212",22,25,1/132,1/6.13,4.73,"+1,959","3,247",17,13,1/108,1/5.60,4.47,-41,"1,362",5,4,1/151,1/6.18,3.43,-291,"1,056",3,3,1/176,1/6.31,3.38,"+2,750","5,740",28,24,1/110,1/5.80,4.96,"+1,625","3,084",15,14,1/106,1/5.73,4.73
2026-04-29,水,いいえ,+0,"1,028",5,0,1/206,1/6.13,2.55,"+1,375","5,722",23,23,1/124,1/5.83,4.74,+500,"1,052",6,1,1/150,1/5.41,2.85,"+1,334","3,289",17,9,1/127,1/5.84,3.34,-375,744,2,0,1/372,1/5.92,2.72,-250,473,2,0,1/237,1/8.54,3.02,-875,"1,625",3,4,1/232,1/6.19,3.06,+209,691,4,0,1/173,1/5.82,2.85,-83,"1,300",4,5,1/144,1/6.05,3.79,+250,"2,409",11,5,1/151,1/6.23,2.83,"+2,667","6,087",35,16,1/119,1/6.32,3.18
2026-04-28,火,はい,"-1,041","2,716",6,9,1/181,1/6.28,3.54,+917,"3,228",17,6,1/140,1/6.11,2.54,"+2,000","3,934",23,9,1/123,1/5.95,2.90,-250,"4,461",17,9,1/172,1/6.06,2.28,-541,613,1,0,1/613,1/6.46,2.82,-458,"1,128",2,2,1/282,1/5.30,2.93,"+1,167","3,375",16,12,1/121,1/5.97,4.08,-83,890,3,1,1/223,1/5.40,2.91,+417,"5,546",22,18,1/139,1/6.18,3.79,"+1,125","5,864",25,25,1/117,1/6.46,4.97,"+1,375","6,465",27,21,1/135,1/5.80,3.87
2026-04-27,月,いいえ,+334,"2,117",10,5,1/141,1/6.29,3.10,+125,915,4,1,1/183,1/5.47,2.92,+875,"2,143",13,2,1/143,1/6.06,2.34,-250,287,0,1,1/287,1/6.03,3.50,-83,"2,398",9,7,1/150,1/6.30,3.38,-333,416,0,1,1/416,1/5.33,3.34,+417,"1,750",10,3,1/135,1/6.87,2.88,+250,575,3,1,1/144,1/5.39,3.28,-291,233,0,0,-,1/6.23,3.22,-166,161,0,0,-,1/5.32,3.30,+84,659,3,1,1/165,1/5.86,3.18
2026-04-26,日,いいえ,"-1,125","2,886",7,7,1/206,1/6.17,2.80,"-1,500","3,394",6,11,1/200,1/6.00,3.41,-375,801,2,2,1/200,1/6.70,3.30,-416,"3,240",11,10,1/154,1/6.40,3.47,-666,"1,204",3,2,1/241,1/6.72,2.89,+209,"2,824",12,5,1/166,1/5.86,2.48,+292,"3,782",15,9,1/158,1/5.80,2.77,+542,"3,652",17,7,1/152,1/6.05,2.43,-416,"1,881",7,3,1/188,1/6.56,2.64,-208,826,3,0,1/275,1/5.86,2.67,-208,"2,950",9,10,1/155,1/5.85,3.70
2026-04-25,土,はい,"-1,333","2,397",5,2,1/342,1/5.84,1.98,+959,"5,187",24,10,1/153,1/5.86,2.17,+959,"6,092",26,19,1/135,1/6.09,3.67,+250,"5,340",20,16,1/148,1/5.94,3.38,+125,"2,412",9,8,1/142,1/6.04,3.68,"-1,625","3,144",7,8,1/210,1/6.62,2.83,"-1,208","4,001",12,10,1/182,1/6.49,2.74,"-1,000","3,426",8,10,1/190,1/5.84,3.16,+709,"4,229",19,11,1/141,1/6.08,3.03,"+1,334","7,037",29,27,1/126,1/6.09,4.70,-208,"3,168",11,9,1/158,1/6.07,3.24
2026-04-24,金,いいえ,-250,"3,066",10,9,1/161,1/5.94,3.31,-416,348,0,0,-,1/5.98,3.08,-333,257,0,0,-,1/6.46,3.19,+542,"4,738",21,10,1/153,1/6.04,2.40,-250,799,3,2,1/160,1/7.76,3.35,"-1,625","3,895",9,8,1/229,1/5.99,2.27,-583,"4,391",15,12,1/163,1/6.28,3.02,-666,"2,050",6,2,1/256,1/5.82,2.22,+542,"2,850",13,6,1/150,1/5.84,2.75,-250,"2,433",9,6,1/162,1/6.35,3.03,"-2,000","7,184",21,20,1/175,1/6.41,2.80
2026-04-23,木,いいえ,+167,"1,200",5,4,1/133,1/6.15,3.62,-500,451,0,0,-,1/5.61,2.96,+250,"1,931",8,5,1/149,1/5.85,3.23,+0,"1,442",6,4,1/144,1/6.58,3.38,+209,"3,759",16,10,1/145,1/6.36,3.11,+0,646,3,1,1/162,1/6.60,3.19,-625,"1,032",2,3,1/206,1/6.91,3.37,-500,"1,308",4,2,1/218,1/6.49,2.81,-250,"1,073",3,2,1/215,1/5.65,3.03,-625,766,1,0,1/766,1/5.76,2.66,-375,"1,560",3,7,1/156,1/5.82,4.07
2026-04-22,水,いいえ,+334,"3,564",12,16,1/127,1/5.95,4.69,-416,937,3,2,1/187,1/7.44,3.19,-291,303,0,0,-,1/5.09,3.14,-625,589,1,0,1/589,1/7.67,2.85,-41,"1,171",5,2,1/167,1/6.37,3.00,-416,"1,229",3,3,1/205,1/5.95,3.18,+334,"1,281",7,2,1/142,1/6.33,2.96,-458,"1,760",4,8,1/147,1/6.34,4.18,-750,"1,078",2,1,1/359,1/6.25,2.68,+417,"2,302",11,5,1/144,1/6.16,2.94,-625,"1,328",2,5,1/190,1/6.06,3.68
2026-04-21,火,いいえ,-375,911,2,0,1/456,1/5.10,2.56,+459,"1,751",8,5,1/135,1/5.85,3.43,"+2,542","5,409",27,25,1/104,1/6.17,5.17,-208,"1,336",5,2,1/191,1/6.21,2.82,-208,796,3,0,1/265,1/6.06,2.71,-916,"2,796",7,7,1/200,1/6.00,2.89,-208,"1,268",4,2,1/211,1/5.63,2.86,-541,"2,208",7,3,1/221,1/5.89,2.35,"+1,334","4,432",19,17,1/123,1/5.78,4.44,-291,"2,217",8,5,1/171,1/6.28,2.92,"-1,083","1,372",2,3,1/274,1/6.87,2.98
2026-04-20,月,はい,"-1,333","3,992",10,12,1/181,1/6.26,3.24,+417,"5,099",22,13,1/146,1/6.25,2.86,-41,"2,937",10,11,1/140,1/6.16,4.04,"-1,166","2,273",5,5,1/227,1/6.38,2.76,-83,"1,476",5,2,1/211,1/5.36,2.68,+875,"5,984",22,26,1/125,1/6.00,4.98,"+1,125","5,348",21,23,1/122,1/5.98,4.90,-125,"2,993",12,4,1/187,1/5.92,2.13,-166,"2,966",8,11,1/156,1/5.56,3.94,+542,"2,767",11,6,1/163,1/5.27,2.77,"-1,916","5,575",12,22,1/164,1/6.32,4.38
2026-04-19,日,いいえ,+667,"3,499",16,8,1/146,1/5.93,2.79,-625,710,0,2,1/355,1/5.79,3.33,"-1,583","2,820",5,7,1/235,1/6.22,2.79,-666,"1,069",2,0,1/535,1/5.56,2.41,"-1,000","1,376",1,2,1/459,1/5.39,2.64,-333,"1,765",6,2,1/221,1/5.81,2.44,-375,"2,296",7,5,1/191,1/5.75,2.80,-791,722,0,1,1/722,1/6.13,2.98,+0,"1,979",9,2,1/180,1/6.21,2.35,+584,"2,192",10,4,1/157,1/5.43,2.72,-250,"3,661",15,7,1/166,1/6.42,2.37
2026-04-18,土,はい,"+1,209","5,534",24,20,1/126,1/6.11,4.34,-291,"1,210",4,2,1/202,1/6.16,2.92,+625,"4,528",18,14,1/142,1/5.84,3.55,-458,"3,430",11,9,1/172,1/5.98,2.97,+250,"4,388",18,13,1/142,1/6.30,3.41,"-1,166","1,998",5,1,1/333,1/6.30,2.03,+167,"3,043",11,8,1/160,1/5.62,3.07,-875,"2,134",5,4,1/237,1/5.92,2.61,-500,"3,421",11,11,1/156,1/6.32,3.57,-375,"1,307",5,0,1/261,1/6.25,2.30,"+1,792","7,366",36,13,1/150,1/5.83,1.79
2026-04-17,金,いいえ,-583,"3,673",10,12,1/167,1/5.83,3.56,+542,"3,167",13,10,1/138,1/5.86,3.62,-125,667,3,0,1/222,1/6.61,2.84,-708,"1,010",2,1,1/337,1/6.47,2.75,-500,449,0,0,-,1/5.63,2.97,"-2,041","2,630",3,9,1/219,1/7.02,3.52,-125,"2,453",9,4,1/189,1/5.72,2.45,-458,"2,295",6,8,1/164,1/5.98,3.69,-500,848,1,2,1/283,1/5.64,3.21,+834,"4,886",21,16,1/132,1/6.13,3.86,-208,"2,495",8,9,1/147,1/6.19,3.85
2026-04-16,木,いいえ,-250,"4,307",14,13,1/160,1/5.86,3.35,"-1,333","2,718",6,6,1/227,1/6.28,2.65,-416,"1,448",5,1,1/241,1/6.12,2.43,-750,"1,809",3,6,1/201,1/5.79,3.49,"+2,500","4,797",29,8,1/130,1/5.85,2.15,"+1,250","4,788",24,12,1/133,1/6.21,2.95,+0,"2,828",10,7,1/166,1/5.70,2.96,-333,"1,672",6,2,1/209,1/6.09,2.53,-666,"1,876",4,7,1/171,1/6.25,3.77,+125,"5,044",22,10,1/158,1/6.32,2.21,-916,"2,064",5,7,1/172,1/6.95,3.60
2026-04-15,水,いいえ,-416,"2,832",10,5,1/189,1/6.04,2.42,-375,"1,154",4,1,1/231,1/6.40,2.67,+584,"4,318",19,11,1/144,1/6.10,2.95,-333,"1,453",4,3,1/208,1/5.67,2.97,"+1,375","6,703",29,26,1/122,1/6.29,4.74,-291,"1,892",5,7,1/158,1/5.90,3.79,-333,"5,116",16,19,1/146,1/6.05,4.23,-333,"1,864",6,3,1/207,1/5.77,2.62,"-1,500","3,796",9,7,1/237,1/5.87,2.14,"-1,083","2,030",3,6,1/226,1/5.96,3.24,-416,"4,506",14,11,1/180,1/5.63,2.62
2026-04-14,火,いいえ,+584,"2,454",11,6,1/144,1/5.70,3.09,+84,944,4,1,1/189,1/5.51,2.89,-166,"2,311",7,9,1/144,1/6.05,4.01,-125,"1,486",6,4,1/149,1/6.83,3.33,-666,"1,220",3,1,1/305,1/6.21,2.58,-41,"1,369",6,1,1/196,1/6.03,2.53,-250,"1,266",4,4,1/158,1/6.48,3.50,+709,"2,875",13,8,1/137,1/5.84,3.33,-458,"2,213",5,8,1/170,1/5.68,3.74,-166,"1,268",5,1,1/211,1/6.01,2.60,-458,"2,301",8,5,1/177,1/6.41,2.83
2026-04-13,月,いいえ,+250,"1,430",7,3,1/143,1/6.30,3.11,+0,766,3,2,1/153,1/6.19,3.39,+167,"1,032",5,1,1/172,1/5.80,2.84,-166,156,0,0,-,1/5.44,3.31,+292,"3,200",13,12,1/128,1/6.46,4.15,-291,241,0,0,-,1/6.03,3.21,+167,"3,778",13,14,1/140,1/5.92,4.12,-583,"1,786",4,6,1/179,1/6.07,3.56,-41,"1,546",6,3,1/172,1/5.97,2.94,"+1,292","5,094",27,6,1/154,1/5.99,1.70,-83,701,2,1,1/234,1/5.14,3.09
2026-04-12,日,いいえ,-166,"1,516",5,4,1/168,1/5.98,3.26,-458,"3,850",13,8,1/183,1/5.87,2.40,"+1,125","2,499",14,7,1/119,1/6.16,3.47,+0,475,2,0,1/238,1/5.44,3.02,+125,"2,502",10,5,1/167,1/5.79,2.71,+292,"1,087",5,3,1/136,1/5.82,3.42,"-1,750","3,152",6,7,1/242,1/6.23,2.53,+0,405,2,0,1/203,1/6.22,3.10,+375,"3,153",14,8,1/143,1/6.22,3.07,-375,"1,641",5,3,1/205,1/5.88,2.81,-833,"2,710",7,7,1/194,1/6.04,2.97
2026-04-11,土,はい,-750,"5,010",16,15,1/162,1/6.21,3.28,-166,778,3,0,1/259,1/5.94,2.72,-708,"1,921",5,4,1/213,1/6.12,2.82,"+3,959","5,275",34,17,1/103,1/5.94,4.18,-541,"1,522",4,4,1/190,1/6.34,3.21,-583,"3,397",11,7,1/189,1/5.94,2.47,-333,"1,197",3,3,1/200,1/5.79,3.22,+334,"2,549",13,3,1/159,1/6.33,2.26,+84,"4,231",17,13,1/141,1/6.44,3.53,"-1,208","2,685",5,5,1/269,1/5.58,2.39,"-1,250","4,459",15,7,1/203,1/6.39,1.90
2026-04-10,金,はい,-291,953,3,1,1/238,1/6.00,2.85,"+1,709","4,745",23,17,1/119,1/6.04,4.30,-416,293,0,0,-,1/7.18,3.15,-375,406,0,0,-,1/4.97,3.02,-41,909,4,1,1/182,1/6.29,2.93,-208,895,2,2,1/224,1/5.26,3.19,-41,571,2,1,1/190,1/5.68,3.24,-791,"1,732",3,7,1/173,1/6.40,3.89,-375,903,1,3,1/226,1/5.27,3.48,-458,"2,140",6,6,1/178,1/5.96,3.24,-416,"2,625",8,7,1/175,1/5.93,3.10
2026-04-09,木,いいえ,+250,"3,530",15,9,1/147,1/6.22,3.01,-333,845,1,4,1/169,1/5.78,3.87,-833,687,0,1,1/687,1/6.78,3.02,+542,"4,850",23,9,1/152,1/6.30,2.17,-916,"1,471",1,5,1/245,1/5.67,3.47,-833,"1,788",3,6,1/199,1/6.06,3.51,+125,"2,527",12,4,1/158,1/6.50,2.48,-708,553,0,0,-,1/6.38,2.85,+167,"1,934",8,4,1/161,1/5.81,2.91,+959,"2,869",13,11,1/120,1/5.90,4.20,+834,"3,244",13,12,1/130,1/5.62,4.11
2026-04-08,水,いいえ,-250,837,3,0,1/279,1/6.01,2.66,-291,349,0,1,1/349,1/5.62,3.42,+625,"3,652",15,10,1/146,1/5.70,3.18,+0,"1,176",5,2,1/168,1/6.17,2.99,-958,"2,714",6,8,1/194,1/5.98,3.23,-416,293,0,0,-,1/7.18,3.15,-416,"4,857",12,25,1/131,1/6.03,5.15,+959,"1,806",9,6,1/120,1/5.38,3.73,"-1,041","1,328",1,3,1/332,1/5.96,2.99,-291,"1,017",3,1,1/254,1/5.68,2.78,-875,"4,893",13,17,1/163,1/5.93,3.84
2026-04-07,火,いいえ,-416,"2,261",8,3,1/206,1/6.02,2.34,"+1,209","4,365",21,12,1/132,1/6.01,3.25,-375,881,3,0,1/294,1/6.41,2.62,+417,"5,810",19,27,1/126,1/6.01,5.10,+0,"1,610",6,5,1/146,1/6.18,3.51,-416,"3,249",12,6,1/181,1/6.18,2.38,-208,"2,117",9,4,1/163,1/6.78,2.76,+250,"3,224",12,9,1/154,1/5.70,3.22,-375,603,1,1,1/302,1/6.00,3.16,"-1,166","4,019",9,14,1/175,1/5.96,3.74,"-1,291","2,014",3,3,1/336,1/5.83,2.40
2026-04-06,月,いいえ,-958,"2,789",6,8,1/199,1/5.84,3.15,-458,"1,943",6,4,1/194,1/6.06,2.83,+917,"1,860",11,4,1/124,1/6.03,3.11,-208,"1,459",5,3,1/182,1/6.03,3.00,-333,557,1,1,1/279,1/6.11,3.21,+250,"5,759",18,23,1/140,1/5.70,4.60,-250,375,1,0,1/375,1/6.70,3.09,-41,"1,247",4,3,1/178,1/5.48,3.20,"+2,584","4,061",23,16,1/104,1/5.88,4.62,-583,"1,400",4,1,1/280,1/6.03,2.44,"-1,083","4,265",13,10,1/185,1/6.23,2.54
2026-04-05,日,いいえ,-208,"3,171",11,9,1/159,1/6.07,3.24,"+1,417","5,037",21,24,1/112,1/6.14,5.13,"+1,709","6,896",31,24,1/125,1/6.10,4.31,"+1,334","5,983",25,22,1/127,1/5.94,4.43,"+1,334","5,702",23,25,1/119,1/6.03,5.00,-708,"1,256",4,0,1/314,1/6.86,2.32,-625,"4,361",13,15,1/156,1/6.12,3.82,-208,"3,512",11,15,1/135,1/6.29,4.51,"+1,750","5,301",26,18,1/120,1/6.16,4.14,"+1,042","3,632",17,11,1/130,1/5.94,3.57,-541,"2,756",8,8,1/172,1/6.04,3.26
2026-04-04,土,はい,+250,"4,326",18,10,1/155,1/6.07,2.64,-333,"2,447",8,5,1/188,1/5.82,2.69,-500,882,2,1,1/294,1/6.23,2.88,-416,"1,111",3,1,1/278,1/5.75,2.68,-166,"4,624",19,6,1/185,1/5.99,1.76,-208,977,4,0,1/244,1/6.22,2.56,-208,"1,439",5,3,1/180,1/6.10,3.02,"-1,416","3,730",9,9,1/207,1/6.10,2.63,"+2,417","3,790",24,8,1/118,1/5.84,2.79,"-1,416","3,336",7,7,1/238,1/5.81,2.41,-666,"1,588",6,0,1/265,1/6.90,2.12
2026-04-03,金,いいえ,-208,"3,106",10,11,1/148,1/6.09,3.86,-500,"1,609",5,3,1/201,1/6.36,2.84,-416,"2,978",11,6,1/175,1/6.31,2.57,-583,"1,137",2,3,1/227,1/6.05,3.24,+0,"2,417",9,8,1/142,1/6.28,3.67,-500,"2,772",9,7,1/173,1/6.20,2.98,-458,"2,481",8,6,1/177,1/6.15,2.95,+667,"2,461",12,5,1/145,1/5.81,2.81,-875,"2,029",5,4,1/225,1/6.20,2.71,+459,"5,168",24,10,1/152,1/6.33,2.18,+0,"6,191",26,10,1/172,1/6.07,1.74
2026-04-02,木,いいえ,+750,"4,360",17,17,1/128,1/5.94,4.44,-291,"1,416",5,1,1/236,1/5.85,2.46,-541,597,0,1,1/597,1/5.46,3.13,"+1,500","5,618",29,11,1/140,1/6.11,2.20,+417,"3,419",13,14,1/127,1/6.15,4.43,+667,"1,871",11,2,1/144,1/6.14,2.51,-375,"2,397",6,6,1/200,1/5.32,2.96,"-1,375","2,898",4,12,1/181,1/6.10,4.13,+417,"2,514",12,3,1/168,1/5.80,2.25,-625,"1,999",6,5,1/182,1/6.55,3.08,-125,"2,710",9,8,1/159,1/5.86,3.35
2026-04-01,水,いいえ,-375,435,0,1,1/435,1/5.52,3.32,-166,"1,264",4,2,1/211,1/5.51,2.86,-166,543,2,0,1/272,1/6.16,2.94,-250,303,0,1,1/303,1/5.75,3.48,-291,536,1,1,1/268,1/5.97,3.24,+750,"3,743",15,18,1/113,1/6.36,4.95,"+2,125","2,973",16,13,1/103,1/5.45,4.65,-125,361,1,1,1/181,1/6.55,3.45,"+2,459","4,908",26,19,1/109,1/6.04,4.66,-41,"2,783",9,12,1/133,1/6.22,4.40,-250,550,2,0,1/275,1/6.89,2.93
2026-03-31,火,いいえ,-291,746,2,2,1/187,1/6.62,3.37,-416,472,0,1,1/472,1/5.52,3.27,-333,"1,121",4,2,1/187,1/6.88,3.02,-458,992,3,1,1/248,1/6.61,2.80,+84,409,2,0,1/205,1/5.32,3.09,-500,935,2,3,1/187,1/6.96,3.48,"+1,459","2,915",17,7,1/121,1/6.01,3.13,-83,100,0,0,-,1/4.70,3.38,+209,390,3,0,1/130,1/7.10,3.16,+584,"2,108",9,5,1/151,1/5.32,3.07,"+2,125","2,484",18,6,1/104,1/6.03,3.32
2026-03-30,月,はい,-250,"3,267",13,6,1/172,1/6.27,2.39,-875,"1,028",2,1,1/343,1/7.29,2.73,-291,"1,457",5,4,1/162,1/6.65,3.32,-250,"2,541",11,2,1/195,1/6.32,2.02,+0,"1,667",7,2,1/185,1/5.89,2.56,-333,333,0,0,-,1/5.22,3.10,-333,309,0,1,1/309,1/6.99,3.47,"+1,667","2,430",15,7,1/110,1/5.78,3.58,-416,"3,962",13,10,1/172,1/5.90,2.81,-41,"2,736",11,6,1/161,1/6.19,2.80,+667,"2,932",12,12,1/122,1/6.00,4.36
2026-03-29,日,いいえ,-208,"3,363",13,7,1/168,1/6.18,2.56,+584,"1,846",7,9,1/115,1/5.62,4.45,-541,567,0,1,1/567,1/5.68,3.16,-916,"2,620",8,3,1/238,1/6.14,2.09,"-1,583","4,925",13,13,1/189,1/6.20,2.73,+417,862,5,1,1/144,1/5.55,3.02,+417,"1,858",9,3,1/155,1/5.80,2.73,-458,505,0,2,1/253,1/6.43,3.57,-500,"1,197",4,1,1/239,1/6.71,2.63,"-1,541","2,943",6,7,1/226,1/6.32,2.71,"+1,500","5,567",25,17,1/133,1/5.82,3.60
