日付,曜日,特定日,1013番台,,,,,,,1014番台,,,,,,,1015番台,,,,,,,1016番台,,,,,,,1017番台,,,,,,,1018番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-04-11,土,はい,+324,"5,870",24,12,1/163,1/5.88,2.13,"+1,291","5,742",26,19,1/128,1/6.17,3.99,-215,"8,334",28,26,1/154,1/5.89,3.47,"+1,845","6,622",31,23,1/123,1/6.17,4.31,"+1,492","6,866",30,27,1/120,1/6.31,4.82,"+1,583","7,490",35,20,1/136,1/6.12,2.96
2026-04-10,金,いいえ,"+1,578","4,823",27,8,1/138,1/6.21,2.09,"+1,132","7,487",29,26,1/136,1/5.83,4.21,-607,"1,829",6,0,1/305,1/5.82,1.97,-996,"5,496",16,16,1/172,1/5.98,3.09,+251,"5,246",21,12,1/159,1/5.92,2.47,-791,"3,762",12,6,1/209,1/5.86,2.04
2026-04-09,木,いいえ,-485,"1,750",6,3,1/194,1/6.53,2.73,"-1,481","4,678",15,6,1/223,1/6.23,1.69,-134,"3,765",15,7,1/171,1/6.09,2.30,+395,"3,739",16,10,1/144,1/6.15,3.13,"-1,515","3,274",8,6,1/234,1/6.26,2.26,"+2,050","4,525",24,20,1/103,1/6.55,4.98
2026-04-08,水,いいえ,-963,"6,552",19,24,1/152,1/6.15,4.23,-238,"1,721",6,4,1/172,1/6.20,3.07,+179,"5,059",21,10,1/163,1/6.01,2.18,-333,"3,843",15,7,1/175,1/6.22,2.24,"+2,805","5,514",32,13,1/123,1/5.93,2.81,"-1,830","4,152",10,8,1/231,1/6.16,2.13
2026-04-07,火,いいえ,+159,"2,126",8,9,1/125,1/6.40,4.22,"+1,804","4,525",24,8,1/141,1/5.62,2.21,"-1,516","4,178",9,15,1/174,1/6.24,3.86,-803,"3,369",10,10,1/168,1/6.35,3.29,-734,"1,200",2,3,1/240,1/6.35,3.17,"+2,142","5,723",29,15,1/130,1/5.81,3.05
2026-04-06,月,はい,+66,"5,879",23,16,1/151,1/6.18,2.97,+707,"3,249",16,5,1/155,1/5.88,2.26,-484,"4,033",12,16,1/144,1/6.25,4.34,+128,"6,079",19,33,1/117,1/6.44,5.35,-303,"4,301",16,10,1/165,1/6.15,2.60,"-1,174","5,568",17,14,1/180,1/6.11,2.56
2026-04-05,日,いいえ,-85,"4,936",16,18,1/145,1/5.94,4.15,-645,"2,196",7,3,1/220,1/6.14,2.36,+415,"4,604",17,16,1/140,1/5.89,3.99,-491,"2,089",5,8,1/161,1/6.04,3.88,"-1,375","4,099",9,13,1/186,1/5.98,3.38,"+1,151","4,257",24,3,1/158,1/6.09,1.63
2026-04-04,土,はい,-608,"4,517",15,13,1/161,1/6.23,3.17,-439,"5,754",18,16,1/169,1/5.72,2.92,"-1,284","3,829",11,8,1/202,1/6.29,2.36,-70,"7,465",23,30,1/141,1/5.89,4.77,-603,"3,423",12,7,1/180,1/6.27,2.48,-151,"7,576",26,27,1/143,1/6.13,4.26
2026-04-03,金,いいえ,-696,"1,344",3,1,1/336,1/5.80,2.46,-215,"4,267",14,12,1/164,1/5.78,3.10,+290,"1,976",9,3,1/165,1/5.78,2.62,-580,"4,233",16,8,1/176,1/6.35,2.21,"-1,199","2,985",5,15,1/149,1/6.53,4.73,-933,"4,774",15,11,1/184,1/6.05,2.43
2026-04-02,木,いいえ,-399,"2,422",9,4,1/186,1/6.29,2.48,"+1,718","2,850",17,8,1/114,1/5.88,3.51,+492,"4,556",18,15,1/138,1/6.03,3.80,+25,"3,903",17,7,1/163,1/6.31,2.25,"+1,029","3,319",15,10,1/133,1/5.66,3.53,"+1,116","4,725",23,12,1/135,1/6.17,2.97
2026-04-01,水,いいえ,-462,"1,726",5,6,1/157,1/6.67,3.66,-370,"1,660",5,4,1/184,1/6.07,3.10,"+1,609","3,851",20,11,1/124,1/5.86,3.46,-198,"1,544",3,8,1/140,1/5.65,4.35,"-1,427","2,239",5,3,1/280,1/6.65,2.28,-466,"5,590",19,17,1/155,1/6.16,3.37
2026-03-31,火,いいえ,-336,"4,558",15,13,1/163,1/5.91,3.13,+244,"2,283",8,11,1/120,1/6.19,4.56,-171,"2,194",8,3,1/199,1/5.70,2.39,"+2,338","5,185",26,19,1/115,1/5.86,4.46,+380,"2,529",12,6,1/141,1/6.36,3.04,-772,"4,810",14,16,1/160,1/6.07,3.69
2026-03-30,月,いいえ,-978,"4,933",16,13,1/170,1/6.34,2.82,+762,"5,897",25,17,1/140,1/6.08,3.29,-171,"3,693",14,10,1/154,1/6.30,3.10,+250,"4,701",16,18,1/138,1/5.89,4.35,"+1,226","7,574",32,28,1/126,1/6.29,4.60,"-1,321","4,546",12,13,1/182,1/6.15,3.04
2026-03-29,日,いいえ,+18,"2,466",9,5,1/176,1/5.62,2.71,"-1,389","3,092",6,11,1/182,1/6.39,3.73,+760,"6,938",26,26,1/133,1/5.99,4.53,-109,"3,100",12,6,1/172,1/5.99,2.50,+949,"7,428",27,28,1/135,1/5.79,4.57,+50,"6,186",27,11,1/163,1/6.31,1.88
2026-03-28,土,はい,-938,"4,023",11,10,1/192,1/5.84,2.69,+22,"3,754",14,11,1/150,1/6.08,3.33,"+1,068","4,042",21,7,1/144,1/6.06,2.25,-241,"7,357",24,26,1/147,1/5.98,4.16,+240,"2,842",13,5,1/158,1/6.18,2.49,-514,"3,973",13,15,1/142,1/6.59,4.19
2026-03-27,金,いいえ,"-1,233","5,580",17,15,1/174,1/6.23,2.79,"-1,320","3,589",8,10,1/199,1/6.00,2.99,"-1,476","5,370",15,15,1/179,1/6.23,2.91,-616,"4,777",18,8,1/184,1/6.19,1.94,"-1,146","4,695",14,11,1/188,1/6.10,2.47,"-1,038","3,684",11,6,1/217,1/5.97,2.06
2026-03-26,木,はい,"-1,422","3,436",8,8,1/215,1/6.12,2.59,"-1,321","6,300",17,20,1/170,1/5.98,3.43,-769,"1,802",4,5,1/200,1/6.25,3.22,-422,"6,170",21,19,1/154,1/6.11,3.43,-264,"3,582",14,4,1/199,1/5.86,1.85,-439,"6,554",21,25,1/142,1/6.20,4.49
2026-03-25,水,いいえ,"-1,367","2,323",5,2,1/332,1/6.07,2.02,-690,"2,085",5,6,1/190,1/6.06,3.26,"+1,820","5,328",24,21,1/118,1/5.89,4.68,-858,"3,765",12,10,1/171,1/6.43,2.96,"-1,053","1,788",4,1,1/358,1/6.03,2.14,+816,"5,042",24,12,1/140,1/6.33,2.72
2026-03-24,火,いいえ,-223,"2,359",8,7,1/157,1/6.17,3.39,-583,"2,118",5,6,1/193,1/5.76,3.22,-207,"3,232",9,12,1/154,1/5.68,3.98,-45,590,3,0,1/197,1/6.82,2.93,+242,"4,191",16,13,1/145,1/6.02,3.54,"+1,725","5,749",27,20,1/122,1/6.09,4.25
2026-03-23,月,いいえ,"+2,359","6,129",29,24,1/116,1/5.94,4.78,-473,902,2,1,1/301,1/5.96,2.86,"+1,159","6,007",25,22,1/128,1/6.05,4.41,-815,"1,187",1,3,1/297,1/5.75,3.15,-627,"4,907",15,18,1/149,1/6.25,4.14,-194,"4,305",15,14,1/148,1/6.17,3.67
2026-03-22,日,はい,-267,"1,640",5,3,1/205,1/5.61,2.81,-563,"4,340",14,14,1/155,1/6.26,3.60,-652,"2,304",7,5,1/192,1/6.28,2.80,+327,"5,359",21,17,1/141,1/6.15,3.67,+919,"4,596",21,13,1/135,1/6.12,3.31,-69,"5,092",17,17,1/150,1/5.90,3.79
2026-03-21,土,はい,"+1,011","6,820",30,17,1/145,1/6.01,2.65,"+1,202","8,624",37,22,1/146,1/5.95,2.60,-97,"5,968",21,18,1/153,1/5.98,3.35,"+2,354","7,345",38,19,1/129,1/6.16,2.93,+875,"5,596",25,16,1/136,1/6.22,3.30,"-1,706","5,576",17,12,1/192,1/6.40,2.15
2026-03-20,金,いいえ,"-1,160","4,540",12,14,1/175,1/6.09,3.33,-440,"8,305",22,40,1/134,1/5.94,5.29,"-1,215","5,746",15,21,1/160,1/6.10,4.12,"-1,120","2,985",6,10,1/187,1/6.02,3.55,+476,"9,293",27,45,1/129,1/5.78,5.35,-863,"6,655",21,25,1/145,1/6.42,4.41
2026-03-19,木,いいえ,"+2,591","4,107",27,9,1/114,1/6.18,2.87,-32,"2,430",10,4,1/174,1/6.05,2.50,+500,"6,156",24,26,1/123,1/6.54,4.93,+822,"5,628",24,17,1/137,1/6.10,3.51,"-2,014","3,057",4,5,1/340,1/5.77,2.11,"+1,239","5,791",26,18,1/132,1/6.08,3.69
2026-03-18,水,いいえ,"+3,296","6,252",37,15,1/120,1/5.99,2.84,-272,"4,826",14,22,1/134,1/6.13,4.90,-386,"2,579",9,5,1/184,1/6.08,2.60,"+1,433","6,459",26,27,1/122,1/5.99,4.94,+730,"4,748",20,15,1/136,1/6.06,3.69,"-1,934","5,193",12,18,1/173,1/6.43,3.78
2026-03-17,火,いいえ,"-1,264","1,247",1,2,1/416,1/6.88,2.77,-20,"4,717",18,15,1/143,1/6.35,3.65,-304,"1,352",4,3,1/193,1/5.93,3.08,"+1,492","4,613",22,13,1/132,1/5.79,3.33,+586,"1,597",8,4,1/133,1/5.74,3.28,-452,"3,259",12,3,1/217,1/5.81,1.83
2026-03-16,月,はい,"-1,673","3,164",6,7,1/243,1/6.09,2.52,"-2,091","6,214",14,24,1/164,1/6.37,4.35,"+2,008","5,461",30,12,1/130,1/6.14,2.55,-593,"3,242",10,10,1/162,1/6.28,3.43,"-1,051","5,039",16,11,1/187,1/6.09,2.27,"+1,116","5,543",23,19,1/132,1/5.89,4.08
2026-03-15,日,いいえ,-310,"3,497",12,5,1/206,1/5.55,2.01,"+2,624","6,309",36,11,1/134,1/5.97,1.97,-225,"3,156",11,11,1/143,1/6.42,3.85,-744,"4,208",14,8,1/191,1/6.00,2.18,"-1,225","1,782",3,1,1/446,1/5.85,2.12,"-1,162","6,255",17,22,1/160,1/6.05,3.97
2026-03-14,土,はい,"+1,048","5,664",24,22,1/123,1/6.28,4.63,+158,"3,166",12,12,1/132,1/6.34,4.15,-802,"3,998",11,8,1/210,1/5.53,2.25,+355,"4,902",21,15,1/136,1/6.51,3.57,"+1,210","6,762",30,20,1/135,1/6.12,3.44,"-1,579","5,051",14,14,1/180,1/6.38,2.91
2026-03-13,金,いいえ,"-1,366","2,966",5,8,1/228,1/5.77,2.93,-699,"2,573",7,6,1/198,1/5.92,2.82,+551,"5,362",21,17,1/141,1/5.96,3.66,-335,"1,863",6,2,1/233,1/5.57,2.36,-404,"3,075",11,8,1/162,1/6.41,3.04,"+1,007","6,687",30,23,1/126,1/6.56,4.23
2026-03-12,木,いいえ,+748,"3,472",16,11,1/129,1/6.25,3.71,"+1,661","5,515",23,22,1/123,1/5.72,4.70,-475,"3,505",12,9,1/167,1/6.22,2.93,+568,"5,275",21,18,1/135,1/6.12,4.01,-799,"1,479",3,4,1/211,1/6.55,3.22,+945,"6,448",29,16,1/143,1/6.13,2.68
2026-03-11,水,はい,-239,"3,533",12,10,1/161,1/5.99,3.19,"-1,179","2,690",7,4,1/245,1/6.18,2.22,-298,"5,053",14,24,1/133,1/6.07,5.02,-980,"5,457",18,9,1/202,1/5.87,1.79,-547,"3,286",10,10,1/164,1/6.13,3.38,-44,"5,656",23,11,1/166,1/6.10,2.06
2026-03-10,火,いいえ,+314,"1,394",8,1,1/155,1/6.45,2.58,"+1,131","3,784",20,5,1/151,1/5.84,2.01,-750,"7,308",20,25,1/162,1/5.67,3.86,-863,"1,637",3,4,1/234,1/6.12,3.04,+430,"5,757",24,14,1/152,1/6.05,2.61,"-1,827","5,589",12,20,1/175,1/6.06,3.92
2026-03-09,月,いいえ,+186,"2,929",14,3,1/172,1/6.19,2.03,-199,"2,712",10,7,1/160,1/6.25,3.08,-581,"2,166",6,8,1/155,1/6.61,3.83,"-1,120","5,039",13,19,1/157,1/6.17,4.20,-900,963,1,0,1/963,1/5.98,2.48,-569,"4,686",15,14,1/162,1/6.08,3.29
2026-03-08,日,いいえ,"+1,839","6,459",31,22,1/122,1/6.26,4.23,+511,"4,420",21,9,1/147,1/6.38,2.41,-333,"4,309",14,16,1/144,1/6.26,4.16,"+1,272","3,661",19,9,1/131,1/6.00,3.02,"+1,625","5,456",22,24,1/119,1/5.76,4.98,"+1,491","7,808",31,32,1/124,1/6.03,4.99
2026-03-07,土,はい,"-1,566","2,574",4,7,1/234,1/6.30,3.00,"+2,314","4,905",27,17,1/111,1/6.24,4.28,-269,"4,697",15,17,1/147,1/6.05,4.09,"-1,074","4,367",13,9,1/199,1/5.98,2.25,-782,"3,239",8,9,1/191,1/5.71,3.06,-31,"6,540",23,23,1/142,1/6.14,4.15
2026-03-06,金,はい,-383,"3,895",14,8,1/177,1/6.02,2.39,"-1,533","5,323",16,8,1/222,1/5.96,1.70,+197,"1,734",8,3,1/158,1/6.08,2.82,"-1,851","4,287",11,7,1/238,1/6.17,1.91,-545,"4,075",14,10,1/170,1/6.17,2.74,+448,"5,801",24,16,1/145,1/6.15,3.08
2026-03-05,木,いいえ,+535,"3,337",15,7,1/152,1/5.90,2.64,+594,"4,971",19,23,1/118,1/6.44,5.03,-314,730,2,2,1/183,1/6.97,3.39,-169,"4,224",14,12,1/162,1/5.78,3.14,-786,"2,274",8,1,1/253,1/6.36,1.94,-843,"2,702",8,6,1/193,1/6.35,2.73
2026-03-04,水,いいえ,"-1,367","4,646",12,13,1/186,1/6.07,2.95,-891,"3,612",9,10,1/190,1/5.75,3.01,+536,"4,862",23,10,1/147,1/6.39,2.36,"-3,171","4,907",7,11,1/273,1/6.10,2.16,"-1,940","2,621",3,6,1/291,1/6.23,2.64,-719,"4,960",16,13,1/171,1/6.05,2.79
2026-03-03,火,はい,"-1,316","2,368",5,5,1/237,1/6.45,2.67,-792,"4,399",15,6,1/209,1/5.88,1.79,-807,"5,243",16,16,1/164,1/6.08,3.33,"-1,852","4,633",10,12,1/211,1/5.97,2.64,+681,"5,450",24,13,1/147,1/6.08,2.62,"+1,752","4,818",21,20,1/118,1/5.73,4.77
2026-03-02,月,いいえ,+603,"6,054",23,21,1/138,1/5.97,4.10,-537,"2,582",7,8,1/172,1/5.96,3.41,-227,"1,078",4,2,1/180,1/6.63,3.06,+891,"5,605",24,19,1/130,1/6.22,4.05,-180,"1,651",6,3,1/183,1/6.01,2.83,"-2,181","4,084",8,11,1/215,1/6.42,2.80
2026-03-01,日,いいえ,+123,"6,385",28,15,1/148,1/6.56,2.47,-286,"2,346",8,5,1/180,1/5.95,2.79,+0,"7,233",23,29,1/139,1/5.95,4.75,"+1,262","6,787",25,29,1/126,1/5.81,5.00,-209,"5,262",18,15,1/159,1/5.90,3.11,"+2,142","6,249",33,14,1/133,1/6.03,2.49
2026-02-28,土,はい,"-1,264","2,620",7,2,1/291,1/6.14,1.90,"-1,582","5,302",13,18,1/171,1/6.21,3.71,"-1,950","3,573",8,7,1/238,1/6.49,2.26,-313,"4,901",15,17,1/153,1/5.87,3.90,"-1,160","1,404",2,1,1/468,1/6.26,2.38,-487,"8,913",27,36,1/141,1/6.04,4.88
2026-02-27,金,いいえ,"-1,533","2,425",5,2,1/346,1/6.15,1.96,-843,"3,917",13,8,1/187,1/6.23,2.35,-336,"2,596",10,3,1/200,1/6.06,2.15,-285,"3,096",13,2,1/206,1/6.06,1.78,"-1,039","4,491",13,13,1/173,1/6.19,3.13,"-1,287","5,292",16,10,1/204,1/5.95,1.96
2026-02-26,木,はい,-455,"5,954",21,15,1/165,1/6.04,2.61,+416,"3,839",18,4,1/175,1/5.89,1.81,"+1,454","6,077",27,21,1/127,1/6.07,4.20,-105,"3,343",11,13,1/139,1/6.17,4.20,"-1,213","4,658",12,12,1/194,1/5.82,2.68,+132,"5,531",23,13,1/154,1/6.25,2.53
2026-02-25,水,いいえ,"+1,067","4,331",23,7,1/144,1/6.23,2.11,+219,"4,067",17,10,1/151,1/6.18,2.84,"+1,377","5,118",20,24,1/116,1/5.87,5.09,-205,831,2,2,1/208,1/5.53,3.27,"+2,173","5,773",25,30,1/105,1/6.08,5.34,"-1,156","3,387",8,8,1/212,1/5.85,2.64
2026-02-24,火,いいえ,-252,"2,944",10,7,1/173,1/5.88,2.84,+663,"3,879",18,9,1/144,1/6.11,2.78,-257,"1,163",5,0,1/233,1/6.52,2.42,"+2,495","4,041",24,10,1/119,1/5.66,3.11,"-1,197","2,467",6,2,1/308,1/5.90,1.96,"-1,568","5,279",14,13,1/196,1/6.02,2.48
2026-02-23,月,いいえ,"-1,193","4,892",14,14,1/175,1/6.20,3.05,"-1,878","2,176",2,3,1/435,1/6.13,2.25,"-1,073","2,815",8,6,1/201,1/6.51,2.62,"-2,937","5,404",9,16,1/216,1/6.23,2.95,-385,"3,450",14,6,1/173,1/6.51,2.28,"-3,027","5,376",10,8,1/299,1/5.89,1.62
2026-02-22,日,はい,"-1,457","5,564",17,15,1/174,1/6.45,2.81,-792,"4,396",14,12,1/169,1/6.22,2.98,+30,"5,183",20,15,1/148,1/6.22,3.25,+575,"3,937",19,5,1/164,1/5.97,1.92,-157,"2,682",10,6,1/168,1/6.07,2.81,"+1,192","7,477",30,22,1/144,1/5.73,3.31
2026-02-21,土,はい,-735,"6,305",19,21,1/158,1/5.99,3.75,+806,"8,241",33,27,1/137,1/6.13,3.93,-622,"4,308",16,11,1/160,1/6.64,2.85,-250,"7,507",25,26,1/147,1/6.03,4.07,-75,"7,158",24,24,1/149,1/5.91,3.88,-571,"6,582",23,14,1/178,1/5.88,2.06
2026-02-20,金,いいえ,-470,"5,630",20,14,1/166,1/6.09,2.60,"-1,764","2,246",2,4,1/374,1/5.92,2.42,"+2,569","5,503",32,13,1/122,1/6.13,2.82,"-1,089","2,431",6,5,1/221,1/6.33,2.64,"-1,190","4,884",12,13,1/195,1/5.66,2.74,"-1,128","6,646",24,13,1/180,1/6.33,1.90
2026-02-19,木,いいえ,"-1,051","5,209",16,13,1/180,1/6.08,2.59,+957,"4,772",23,12,1/136,1/6.28,2.93,+986,"4,555",20,12,1/142,1/5.76,3.03,"-1,055","4,639",12,16,1/166,1/6.06,3.78,-371,"4,736",17,14,1/153,1/6.33,3.31,-733,"4,152",12,11,1/181,1/5.83,2.87
2026-02-18,水,いいえ,+994,"3,520",13,20,1/107,1/5.99,5.19,-276,"1,216",3,4,1/174,1/5.85,3.52,+84,"2,131",9,4,1/164,1/6.03,2.75,-277,"1,517",5,2,1/217,1/5.75,2.64,"+1,510","3,306",20,5,1/132,1/6.07,2.32,-849,"3,388",10,9,1/178,1/6.24,2.98
2026-02-17,火,いいえ,-39,"5,001",17,20,1/135,1/6.24,4.55,"-1,104","3,347",9,5,1/239,1/5.79,2.04,"-1,176","4,596",14,10,1/192,1/6.16,2.32,+359,"4,360",16,17,1/132,1/6.09,4.41,"+1,008","8,019",30,32,1/129,1/6.01,4.88,-30,"5,180",21,10,1/167,1/6.07,2.11
2026-02-16,月,はい,"-1,323","5,099",11,22,1/155,1/6.09,4.68,-517,"4,006",14,8,1/182,1/6.02,2.31,-55,"1,951",7,7,1/139,1/6.38,3.80,"-1,974","8,145",19,33,1/157,1/6.10,4.73,+194,"2,978",12,8,1/149,1/6.05,3.18,+217,"6,165",22,24,1/134,1/6.19,4.60
2026-02-15,日,いいえ,"+1,452","4,343",23,11,1/128,1/6.22,3.06,"-1,564","2,297",4,3,1/328,1/6.22,2.21,-911,"5,228",16,15,1/169,1/6.11,3.07,"-1,450","4,651",12,13,1/186,1/6.15,2.94,-245,"5,587",23,9,1/175,1/6.18,1.81,-590,"4,850",17,13,1/162,1/6.31,2.92
2026-02-14,土,はい,-631,"3,998",14,8,1/182,1/6.16,2.32,"+1,292","5,194",25,12,1/140,1/5.95,2.62,"-1,160","6,572",18,24,1/156,1/6.09,4.19,"-1,249","3,874",10,8,1/215,1/5.88,2.31,+332,"6,473",21,26,1/138,1/5.80,4.71,-263,"5,890",23,14,1/159,1/6.28,2.48
2026-02-13,金,いいえ,-162,"3,321",14,5,1/175,1/6.27,2.16,+56,"5,089",22,7,1/175,1/6.06,1.74,"-1,708","4,617",10,15,1/185,1/6.14,3.46,"-1,531","3,515",8,8,1/220,1/6.14,2.53,+127,"5,700",20,19,1/146,1/5.93,3.83,"-1,281","5,460",15,13,1/195,1/5.81,2.37
2026-02-12,木,いいえ,-351,546,1,1,1/273,1/6.39,3.23,"+1,634","6,078",26,23,1/124,1/5.89,4.58,-492,"1,669",5,3,1/209,1/6.11,2.78,-175,"3,169",12,7,1/167,1/6.11,2.70,-218,"5,051",19,14,1/153,1/6.28,3.07,"+1,330","4,480",22,13,1/128,1/6.10,3.46
2026-02-11,水,はい,+518,"5,683",24,10,1/167,1/5.76,1.91,-123,"2,531",9,7,1/158,1/6.06,3.24,+478,"7,145",26,23,1/146,1/5.83,3.72,-456,"2,305",5,11,1/144,1/6.02,4.45,-278,"3,505",11,13,1/146,1/6.13,4.05,"-1,234","4,890",16,7,1/213,1/6.07,1.74
2026-02-10,火,いいえ,-920,"7,482",22,25,1/159,1/5.94,3.77,+557,"3,024",14,10,1/126,1/6.50,3.81,-425,"1,294",3,3,1/216,1/5.73,3.11,-332,"5,925",24,10,1/174,1/6.19,1.81,-423,"1,705",5,5,1/171,1/6.34,3.37,-563,"4,154",15,9,1/173,1/6.26,2.45
2026-02-09,月,いいえ,-15,"4,046",17,4,1/193,1/5.82,1.71,-512,"2,215",9,2,1/201,1/6.73,2.18,+54,"3,896",17,7,1/162,1/6.29,2.25,-818,"1,924",4,2,1/321,1/5.39,2.26,+0,"7,087",29,15,1/161,1/6.17,2.07,-878,"2,307",6,4,1/231,1/6.02,2.49
2026-02-08,日,いいえ,-858,"3,782",12,9,1/180,1/6.27,2.67,-472,"2,981",9,9,1/166,1/6.05,3.36,+742,"5,513",22,18,1/138,1/5.94,3.82,-793,"2,490",6,9,1/166,1/6.36,3.78,+381,"3,256",16,6,1/148,1/6.49,2.49,"-1,192","4,019",13,7,1/201,1/6.39,2.09
2026-02-07,土,はい,+466,"3,732",16,7,1/162,1/5.73,2.35,"-1,085","2,007",4,4,1/251,1/6.17,2.70,-486,"4,650",18,7,1/186,1/6.12,1.86,"-1,688","2,262",3,1,1/566,1/5.67,1.85,+765,"6,748",27,22,1/138,1/6.05,3.86,-540,"7,429",23,24,1/158,1/5.85,3.61
2026-02-06,金,はい,-824,"3,563",11,7,1/198,1/6.00,2.34,-515,"5,987",17,28,1/133,1/6.25,5.09,"-1,003","4,148",14,8,1/189,1/6.38,2.22,+57,"3,862",13,14,1/143,1/5.93,4.04,"-1,213","3,074",8,6,1/220,1/6.18,2.40,"+1,650","6,650",33,19,1/128,1/6.38,3.39
