日付,曜日,特定日,531番台,,,,,,,532番台,,,,,,,533番台,,,,,,,535番台,,,,,,,536番台,,,,,,,537番台,,,,,,,538番台,,,,,,,550番台,,,,,,,551番台,,,,,,,552番台,,,,,,,553番台,,,,,,,555番台,,,,,,,556番台,,,,,,,557番台,,,,,,,558番台,,,,,,,560番台,,,,,,,561番台,,,,,,
,,,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差
2026-05-30,土,いいえ,"-3,145","3,708",0,6,1/618,54,1.0,"+4,557","5,873",0,14,1/420,23,11.0,+273,"2,248",0,4,1/562,56,2.0,"-1,549","5,378",0,10,1/538,54,1.0,-385,583,0,1,1/583,71,6.0,"+8,422","2,623",0,2,1/1312,12,3.0,-62,491,0,1,1/491,52,3.0,-879,622,0,1,1/622,58,2.0,+191,"4,457",0,11,1/405,30,7.0,-408,"2,989",0,7,1/427,53,1.0,-21,955,0,5,1/191,42,5.0,"-1,990","4,776",0,12,1/398,65,5.0,+379,"3,432",0,8,1/429,37,7.0,-842,757,0,1,1/757,49,7.0,"+4,658","3,947",0,6,1/658,9,7.0,"+3,395","6,257",0,16,1/391,2,-,-968,788,0,1,1/788,60,2.0
2026-05-29,金,いいえ,+231,"2,898",0,5,1/580,38,1.0,-980,"1,939",0,6,1/323,71,2.0,-395,537,0,1,1/537,69,11.0,+145,"1,087",0,3,1/362,37,1.0,-649,"1,831",0,4,1/458,72,1.0,-191,"3,102",0,9,1/345,41,2.0,-489,498,0,1,1/498,58,2.0,-590,658,0,1,1/658,56,4.0,+321,"1,530",0,4,1/383,47,6.0,"+1,009","2,268",0,6,1/378,52,1.0,"+3,150","3,499",0,7,1/500,36,3.0,+36,151,0,1,1/151,56,4.0,"+1,307","2,790",0,7,1/399,51,4.0,+595,"2,192",0,4,1/548,33,-,+284,"1,933",0,5,1/387,39,1.0,+429,403,0,1,1/403,36,3.0,"-1,567","2,728",0,4,1/682,58,2.0
2026-05-28,木,いいえ,"-1,427","2,441",0,5,1/488,30,-,-697,915,0,3,1/305,62,2.0,-823,"2,168",0,6,1/361,76,13.0,"+1,652","7,262",0,17,1/427,33,3.0,"-2,303","3,542",0,7,1/506,77,1.0,-631,"1,278",0,1,1/1278,56,4.0,"-1,990","3,245",0,8,1/406,50,2.0,"-1,427","1,708",0,3,1/569,50,2.0,"-1,603","1,609",0,2,1/805,52,2.0,"-1,597","3,421",0,5,1/684,80,3.0,+20,274,0,1,1/274,59,3.0,-928,"2,706",0,6,1/451,60,1.0,+91,746,0,1,1/746,63,1.0,"+1,791","2,694",0,5,1/539,38,5.0,-982,"1,216",0,2,1/608,38,5.0,-173,119,0,0,-,33,3.0,-435,"1,476",0,1,1/1476,48,10.0
2026-05-27,水,いいえ,"+1,597","2,227",0,6,1/371,4,-,-384,"3,453",0,8,1/432,33,13.0,"-1,245",903,0,1,1/903,70,12.0,"-1,173","1,478",0,2,1/739,70,12.0,-420,"2,448",0,6,1/408,72,1.0,-665,936,0,2,1/468,51,2.0,+410,"1,826",0,4,1/457,42,9.0,-399,239,0,0,-,33,13.0,-678,617,0,1,1/617,20,2.0,-473,307,0,0,-,71,1.0,"-2,630","5,413",0,9,1/601,42,9.0,+26,677,0,1,1/677,56,5.0,-186,"2,184",0,5,1/437,58,2.0,-440,264,0,0,-,49,7.0,"+2,760","1,558",0,3,1/519,18,1.0,"+2,354","3,523",0,5,1/705,8,4.0,"-1,163","1,386",0,2,1/693,17,9.0
2026-05-26,火,はい,"+5,445","6,320",0,13,1/486,0,-,"+2,334","8,494",0,26,1/327,15,8.0,-78,47,0,0,-,62,5.0,"-4,194","8,960",0,17,1/527,57,1.0,"-1,866","2,172",0,5,1/434,78,10.0,+462,"4,302",0,9,1/478,42,12.0,-395,440,0,2,1/220,56,5.0,+624,"4,452",0,12,1/371,30,13.0,"+6,835","5,707",0,11,1/519,7,7.0,-980,"3,226",0,8,1/403,65,3.0,"+2,919","7,692",0,23,1/334,17,2.0,-68,45,0,0,-,51,6.0,"-1,460","3,988",0,10,1/399,68,3.0,+359,269,0,1,1/269,45,2.0,-864,"4,490",0,11,1/408,45,2.0,+710,"4,854",0,12,1/405,43,1.0,"+5,939","6,857",0,12,1/571,0,-
2026-05-25,月,いいえ,"+1,237","3,187",0,7,1/455,18,1.0,-863,"2,908",0,9,1/323,61,2.0,-138,"3,276",0,5,1/655,59,3.0,"-1,297","1,342",0,2,1/671,78,4.0,-432,272,0,0,-,62,1.0,"-1,897","1,312",0,1,1/1312,67,5.0,"-1,667","1,543",0,3,1/514,55,9.0,-415,267,0,0,-,37,19.0,-273,181,0,0,-,46,3.0,-789,"3,284",0,5,1/657,74,7.0,-840,749,0,1,1/749,67,5.0,"+1,100","4,548",0,15,1/303,42,5.0,-19,818,0,3,1/273,74,7.0,"-1,104","3,128",0,5,1/626,56,1.0,+68,"1,178",0,4,1/295,43,1.0,"-1,262","2,100",0,4,1/525,59,3.0,"+1,863","2,911",0,5,1/582,17,-
2026-05-24,日,いいえ,"-1,172","4,548",0,9,1/505,28,12.0,+531,"3,007",0,7,1/430,52,1.0,-50,46,0,0,-,59,4.0,"-1,546","1,098",0,1,1/1098,76,11.0,"-1,309","2,831",0,5,1/566,62,3.0,-748,569,0,1,1/569,59,4.0,-86,934,0,3,1/311,44,3.0,-345,"2,215",0,6,1/369,12,-,-804,"4,798",0,13,1/369,39,11.0,"-1,758","1,382",0,2,1/691,87,7.0,-378,248,0,0,-,65,3.0,-81,45,0,0,-,55,3.0,"-2,132","2,785",0,5,1/557,80,4.0,-681,655,0,1,1/655,41,2.0,"-2,140","7,948",0,14,1/568,44,3.0,"-4,403","6,427",0,12,1/536,51,7.0,"+2,781","4,239",0,9,1/471,16,4.0
2026-05-23,土,はい,-679,"6,239",0,13,1/480,6,6.0,"-1,972","3,696",0,5,1/739,61,2.0,+342,"3,444",0,7,1/492,54,3.0,"-1,661","2,989",0,5,1/598,72,11.0,+31,"1,406",0,4,1/352,59,3.0,"-1,773","4,645",0,10,1/465,56,1.0,-80,58,0,0,-,44,20.0,"+7,156","9,555",0,26,1/368,0,-,+330,"4,052",0,9,1/450,51,1.0,"-1,298","1,067",0,2,1/534,87,15.0,-627,485,0,1,1/485,61,2.0,+575,"1,655",0,3,1/552,55,1.0,"-1,142","3,022",0,5,1/604,61,2.0,-937,"8,139",0,23,1/354,24,3.0,-934,"1,608",0,3,1/536,50,6.0,-309,"7,247",0,22,1/329,21,15.0,-76,48,0,0,-,51,1.0
2026-05-22,金,いいえ,"+9,514","5,359",0,5,1/1072,0,-,-61,43,0,0,-,36,11.0,-246,493,0,1,1/493,69,4.0,-367,"1,325",0,3,1/442,69,4.0,-896,808,0,2,1/404,76,7.0,"-2,580","2,601",0,5,1/520,61,1.0,-895,"3,070",0,6,1/512,25,25.0,"-1,472","1,356",0,2,1/678,53,5.0,"-2,367","1,808",0,2,1/904,65,4.0,"-2,158","2,731",0,6,1/455,83,7.0,-590,623,0,1,1/623,47,2.0,-328,581,0,2,1/291,60,7.0,-458,"2,883",0,11,1/262,53,5.0,+163,"2,170",0,5,1/434,45,9.0,-665,580,0,1,1/580,45,9.0,+98,880,0,2,1/440,53,5.0,-543,"2,111",0,4,1/528,48,1.0
2026-05-21,木,いいえ,-964,"2,884",0,5,1/577,59,3.0,"+7,184","5,941",0,7,1/849,13,-,"-1,406","2,242",0,4,1/561,66,3.0,"-1,742","1,461",0,2,1/731,61,2.0,"-2,203","2,283",0,3,1/761,70,4.0,-971,787,0,1,1/787,24,7.0,"+2,403","3,622",0,10,1/362,17,4.0,-116,"3,241",0,9,1/360,44,10.0,+115,"2,839",0,4,1/710,48,4.0,"-1,938","1,882",0,4,1/471,83,13.0,"+3,474","2,121",0,3,1/707,34,2.0,-339,"1,881",0,4,1/470,63,1.0,+375,"3,859",0,10,1/386,56,1.0,-615,"2,910",0,5,1/582,55,7.0,"+1,757","3,221",0,10,1/322,32,8.0,"-1,195","1,340",0,3,1/447,63,1.0,"-1,374","2,367",0,8,1/296,62,1.0
2026-05-20,水,いいえ,"-1,563","3,705",0,4,1/926,62,3.0,"-1,504","3,406",0,6,1/568,59,2.0,-336,209,0,0,-,47,7.0,"+2,076","2,066",0,4,1/517,40,11.0,+138,437,0,1,1/437,29,22.0,"+4,783","3,712",0,6,1/619,7,-,-486,487,0,1,1/487,51,1.0,-481,305,0,0,-,53,2.0,-979,"1,550",0,4,1/388,69,7.0,"-1,127","2,673",0,3,1/891,79,3.0,"-1,457","2,345",0,4,1/586,69,7.0,-615,672,0,2,1/336,71,2.0,"-2,297","3,277",0,6,1/546,76,5.0,-64,45,0,0,-,51,1.0,-880,"2,352",0,5,1/470,48,1.0,"-1,337","4,525",0,10,1/453,57,4.0,"-1,723","2,008",0,4,1/502,50,2.0
2026-05-19,火,いいえ,"-1,163",903,0,1,1/903,57,2.0,-972,"1,628",0,4,1/407,34,6.0,"+1,401","6,344",0,15,1/423,28,19.0,-72,47,0,0,-,57,2.0,"+3,301","6,180",0,10,1/618,9,-,-822,847,0,2,1/424,43,4.0,"-1,123","3,482",0,8,1/435,38,4.0,"-1,674","1,990",0,2,1/995,55,4.0,"-2,040","2,046",0,4,1/512,64,3.0,"-1,092","1,109",0,1,1/1109,70,6.0,"-2,418","2,927",0,5,1/585,51,7.0,"-1,164",829,0,1,1/829,76,6.0,-421,"1,351",0,2,1/676,61,4.0,+502,"3,244",0,7,1/463,55,4.0,+830,"2,852",0,6,1/475,39,1.0,-708,546,0,1,1/546,55,4.0,+184,"2,011",0,4,1/503,44,1.0
2026-05-18,月,いいえ,-457,"2,219",0,4,1/555,55,3.0,"+5,198","4,440",0,9,1/493,15,-,-62,43,0,0,-,42,2.0,-186,805,0,5,1/161,65,9.0,-34,261,0,1,1/261,52,8.0,-441,816,0,2,1/408,26,8.0,-44,"3,595",0,13,1/277,26,8.0,+656,785,0,3,1/262,28,2.0,+34,467,0,1,1/467,44,2.0,-698,691,0,2,1/346,70,3.0,"+2,535","4,929",0,9,1/548,18,3.0,-62,45,0,0,-,74,2.0,-131,771,0,1,1/771,67,2.0,"-2,892","2,328",0,3,1/776,72,2.0,+551,"2,875",0,6,1/479,40,12.0,-319,888,0,2,1/444,56,1.0,-709,932,0,4,1/233,44,2.0
2026-05-17,日,いいえ,-791,"3,275",0,8,1/409,55,1.0,+467,"5,132",0,11,1/467,40,12.0,"+3,155","1,448",0,2,1/724,28,10.0,"-1,119","2,133",0,4,1/533,70,2.0,+218,"2,590",0,3,1/863,45,5.0,"+5,029","2,557",0,4,1/639,12,2.0,-416,"2,214",0,7,1/316,10,-,"+2,178","3,800",0,10,1/380,17,5.0,-466,855,0,1,1/855,52,7.0,"-1,349","3,167",0,6,1/528,52,7.0,-327,"2,080",0,4,1/520,40,12.0,"-1,949","1,842",0,3,1/614,78,8.0,"-1,323","1,758",0,3,1/586,66,5.0,"-1,031","1,311",0,3,1/437,68,2.0,"-1,233","3,401",0,11,1/309,54,2.0,"-1,121","2,724",0,7,1/389,61,6.0,"-1,408","2,018",0,4,1/505,18,1.0
2026-05-16,土,はい,"-2,774","5,618",0,12,1/468,57,2.0,"-1,640","2,133",0,3,1/711,34,6.0,+328,"2,962",0,5,1/592,28,1.0,"-2,182","6,177",0,12,1/515,63,2.0,-739,"5,388",0,11,1/490,50,1.0,-167,"3,287",0,9,1/365,37,3.0,"+4,455","7,044",0,14,1/503,0,-,"-2,490","6,491",0,10,1/649,49,6.0,-879,"4,543",0,9,1/505,49,6.0,-101,"4,744",0,9,1/527,43,6.0,"+2,686","5,829",0,10,1/583,27,27.0,-399,246,0,0,-,61,4.0,-222,"5,489",0,13,1/422,50,1.0,"-2,324","2,321",0,5,1/464,68,5.0,"-5,184","7,196",0,13,1/554,50,1.0,"-1,583","2,789",0,5,1/558,55,5.0,"+12,891","9,220",0,20,1/461,0,-
2026-05-15,金,いいえ,"-1,734","3,094",0,4,1/774,46,2.0,"+4,422","6,452",0,15,1/430,10,-,"+5,317","3,871",0,6,1/645,21,11.0,-829,870,0,2,1/435,46,2.0,+81,876,0,2,1/438,52,3.0,-218,"1,627",0,4,1/407,44,3.0,-362,232,0,0,-,39,18.0,-20,"3,912",0,7,1/559,41,2.0,"-1,173","1,534",0,3,1/511,56,4.0,-167,"2,700",0,5,1/540,49,1.0,-722,"1,235",0,3,1/412,60,2.0,-338,"5,206",0,11,1/473,64,4.0,"-1,597","1,252",0,2,1/626,66,2.0,"-1,104",966,0,1,1/966,44,3.0,"-1,601","1,116",0,1,1/1116,58,2.0,-25,"1,360",0,3,1/453,48,2.0,+425,"1,693",0,3,1/564,48,2.0
