日付,曜日,特定日,531番台,,,,,,,532番台,,,,,,,533番台,,,,,,,535番台,,,,,,,536番台,,,,,,,537番台,,,,,,,538番台,,,,,,,550番台,,,,,,,551番台,,,,,,,552番台,,,,,,,553番台,,,,,,,555番台,,,,,,,556番台,,,,,,,557番台,,,,,,,558番台,,,,,,,560番台,,,,,,,561番台,,,,,,
,,,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差
2026-05-14,木,いいえ,+391,"1,991",0,5,1/398,25,11.0,-178,"2,294",0,5,1/459,37,5.0,-314,201,0,0,-,49,1.0,"+1,112","9,174",0,22,1/417,26,1.0,"-1,232",998,0,2,1/499,37,5.0,-223,"2,132",0,5,1/426,37,5.0,+304,485,0,1,1/485,14,-,-63,40,0,0,-,48,3.0,-370,914,0,3,1/305,39,2.0,-333,725,0,2,1/363,32,6.0,-74,53,0,0,-,53,2.0,"-1,816","2,250",0,3,1/750,79,13.0,-89,60,0,0,-,45,3.0,+716,594,0,4,1/149,25,11.0,-327,311,0,1,1/311,42,3.0,-131,438,0,1,1/438,51,2.0,"-1,404","1,558",0,2,1/779,66,13.0
2026-05-13,水,はい,"+1,982","4,201",0,6,1/700,16,1.0,"+2,756","5,412",0,9,1/601,21,5.0,-117,70,0,0,-,38,1.0,-823,"4,275",0,12,1/356,66,7.0,"+3,390","7,820",0,18,1/434,12,4.0,+556,"2,026",0,4,1/507,36,1.0,"+4,860","6,509",0,16,1/407,0,-,+443,"1,383",0,3,1/461,47,8.0,+510,"3,862",0,7,1/552,37,1.0,"+8,479","4,690",0,5,1/938,8,8.0,+692,"2,772",0,5,1/554,39,1.0,-857,"3,444",0,10,1/344,67,1.0,+948,"6,927",0,17,1/407,35,14.0,"+2,947","2,691",0,4,1/673,13,1.0,"-1,708","3,741",0,9,1/416,15,2.0,"-1,040","4,405",0,10,1/441,38,1.0,-249,"1,784",0,4,1/446,59,12.0
2026-05-12,火,いいえ,-453,"4,191",0,8,1/524,39,2.0,"-1,617","5,990",0,13,1/461,23,4.0,"+7,627","3,906",0,3,1/1302,19,19.0,-785,988,0,2,1/494,78,7.0,-522,"2,667",0,4,1/667,59,2.0,"-1,331","2,955",0,5,1/591,35,12.0,-965,"2,019",0,4,1/505,53,1.0,+143,"3,876",0,9,1/431,52,5.0,"-1,278","1,434",0,3,1/478,57,4.0,"-1,563","3,710",0,8,1/464,47,7.0,+342,"5,346",0,14,1/382,40,1.0,"-1,356","2,385",0,4,1/596,71,5.0,-955,"1,756",0,4,1/439,66,6.0,"+7,629","2,934",0,3,1/978,19,19.0,"+8,589","5,876",0,9,1/653,0,-,-655,"3,969",0,8,1/496,37,2.0,"-3,852","4,951",0,7,1/707,60,1.0
2026-05-10,日,いいえ,-592,"5,287",0,11,1/481,41,12.0,"+13,240","6,463",0,8,1/808,6,-,"-1,005","1,948",0,6,1/325,51,4.0,"-1,787","1,605",0,2,1/803,82,13.0,"-1,022","5,037",0,11,1/458,55,2.0,"+1,063","4,424",0,12,1/369,9,3.0,-650,658,0,1,1/658,53,1.0,"-3,083","3,641",0,8,1/455,60,5.0,+0,"4,065",0,7,1/581,47,3.0,+566,"3,194",0,7,1/456,29,20.0,"-1,331","5,031",0,9,1/559,53,1.0,-182,454,0,1,1/454,67,3.0,"-1,636","2,055",0,4,1/514,44,3.0,-662,618,0,1,1/618,64,4.0,"-1,581","3,671",0,8,1/459,52,1.0,-310,"4,800",0,7,1/686,55,2.0,"-3,669","2,686",0,3,1/895,69,2.0
2026-05-09,土,いいえ,-685,"1,620",0,2,1/810,49,3.0,+38,"4,260",0,11,1/387,46,3.0,+78,"3,552",0,6,1/592,43,3.0,"-1,179","1,209",0,2,1/605,76,4.0,-119,"2,242",0,3,1/747,57,6.0,"+2,830","6,646",0,16,1/415,6,-,-568,"1,316",0,4,1/329,50,1.0,"-2,086","4,171",0,10,1/417,51,1.0,"-1,176","1,167",0,2,1/584,71,11.0,-546,"5,225",0,10,1/523,40,13.0,-900,"1,727",0,5,1/345,40,13.0,"-1,021","2,035",0,4,1/509,78,2.0,"+6,590","3,644",0,6,1/607,27,21.0,"-1,723","2,309",0,6,1/385,50,1.0,"-2,419","4,750",0,9,1/528,60,3.0,"-3,204","2,932",0,3,1/977,72,1.0,"-1,878","1,997",0,3,1/666,51,1.0
2026-05-08,金,いいえ,-612,"2,422",0,5,1/484,29,7.0,+649,873,0,1,1/873,46,1.0,-78,48,0,0,-,46,1.0,"-4,088","3,392",0,5,1/678,76,7.0,-390,901,0,2,1/451,54,5.0,"-1,018","2,647",0,5,1/529,67,2.0,"-1,106",804,0,1,1/804,45,7.0,"+1,914","1,235",0,2,1/618,38,1.0,"-1,833","1,855",0,3,1/618,69,1.0,+226,"1,113",0,3,1/371,32,3.0,"+3,334","3,126",0,5,1/625,20,-,"-1,456","1,513",0,3,1/504,65,11.0,-731,680,0,1,1/680,68,1.0,-288,"4,515",0,12,1/376,22,2.0,-104,788,0,3,1/263,49,3.0,+195,874,0,1,1/874,37,5.0,+263,371,0,1,1/371,20,-
2026-05-07,木,いいえ,"+3,007","4,359",0,11,1/396,10,6.0,+130,"1,401",0,2,1/701,26,2.0,-258,897,0,1,1/897,21,1.0,+593,"1,554",0,5,1/311,45,2.0,"+1,402","1,293",0,3,1/431,42,16.0,"-1,318","3,099",0,9,1/344,66,1.0,"+1,415","2,621",0,6,1/437,20,8.0,"-2,796","3,261",0,7,1/466,52,3.0,-799,"1,188",0,2,1/594,65,13.0,"+2,032","4,292",0,11,1/390,12,2.0,"+1,491","1,012",0,3,1/337,43,1.0,-187,"1,707",0,3,1/569,42,16.0,-825,706,0,1,1/706,49,3.0,"+2,007","2,238",0,7,1/320,24,3.0,"-1,732","3,207",0,4,1/802,46,1.0,-128,"1,986",0,3,1/662,26,2.0,+74,"5,671",0,10,1/567,4,-
2026-05-06,水,はい,"-1,089","5,732",0,10,1/573,53,2.0,"+8,714","8,067",0,15,1/538,7,7.0,"+18,477","7,960",0,8,1/995,0,-,-274,"5,226",0,11,1/475,51,3.0,"-1,475","8,250",0,17,1/485,58,3.0,"-1,816","1,210",0,1,1/1210,71,13.0,-531,"5,120",0,10,1/512,19,6.0,"-1,858","5,709",0,9,1/634,48,18.0,"-1,971","2,251",0,4,1/563,55,2.0,"+5,026","8,467",0,18,1/470,0,-,"-1,142","4,977",0,10,1/498,55,2.0,"+1,116","9,028",0,20,1/451,28,9.0,"+1,026","6,697",0,11,1/609,29,1.0,"-1,847","4,749",0,6,1/792,51,3.0,-555,"5,106",0,8,1/638,30,1.0,"+2,678","5,731",0,13,1/441,13,6.0,"+2,863","8,681",0,22,1/395,0,-
2026-05-05,火,いいえ,"-2,578","3,665",0,6,1/611,53,5.0,"-2,138","2,189",0,3,1/730,78,4.0,"-2,111","3,525",0,9,1/392,56,3.0,-206,729,0,3,1/243,63,5.0,"-1,161","3,421",0,7,1/489,74,5.0,"-1,305","2,492",0,4,1/623,69,6.0,"+2,157","6,129",0,13,1/471,10,-,"-1,270","3,679",0,9,1/409,46,3.0,"-1,530","3,717",0,9,1/413,20,10.0,"-1,146",920,0,1,1/920,58,2.0,-160,"3,297",0,7,1/471,63,5.0,"-1,720","2,939",0,5,1/588,78,4.0,+39,"3,522",0,10,1/352,53,5.0,-688,659,0,1,1/659,32,4.0,"-1,340","1,234",0,2,1/617,28,8.0,"-1,284","4,832",0,11,1/439,43,11.0,"-1,126","1,892",0,4,1/473,48,2.0
2026-05-04,月,いいえ,+256,"2,407",0,5,1/481,15,6.0,"-3,173","2,518",0,4,1/630,74,5.0,"-2,157","5,875",0,13,1/452,54,9.0,-736,"2,553",0,6,1/426,45,12.0,"-1,826","2,016",0,2,1/1008,69,2.0,"-1,884","1,479",0,2,1/740,59,3.0,"-1,180",897,0,1,1/897,33,7.0,+515,"3,321",0,7,1/474,26,8.0,"+4,327","7,166",0,11,1/651,1,-,-105,62,0,0,-,56,2.0,"-1,337","2,360",0,5,1/472,79,5.0,-672,"1,616",0,3,1/539,80,1.0,-804,786,0,1,1/786,67,8.0,"+2,572","5,340",0,9,1/593,2,1.0,"+7,679","3,333",0,3,1/1111,9,5.0,-896,"7,558",0,21,1/360,4,2.0,-925,654,0,1,1/654,18,3.0
2026-05-03,日,はい,"+2,802","5,929",0,10,1/593,2,2.0,"-2,696","4,295",0,7,1/614,67,6.0,"-1,758","6,836",0,16,1/427,49,1.0,"+3,685","4,051",0,7,1/579,32,14.0,-997,"6,438",0,13,1/495,55,5.0,-34,"1,886",0,3,1/629,48,16.0,"+1,173","8,504",0,21,1/405,13,11.0,+591,"5,816",0,9,1/646,18,4.0,"-2,023","4,328",0,7,1/618,56,1.0,"-2,116","2,624",0,5,1/525,56,1.0,"-2,705","2,534",0,3,1/845,73,6.0,"-2,633","3,737",0,8,1/467,77,4.0,-519,"3,464",0,6,1/577,50,1.0,+219,"5,225",0,13,1/402,14,1.0,-674,"1,981",0,3,1/660,61,5.0,"+3,569","8,016",0,22,1/364,0,-,"+8,356","5,490",0,8,1/686,0,-
2026-05-01,金,いいえ,"+1,867","5,733",0,11,1/521,33,4.0,"-1,140","5,109",0,9,1/568,65,5.0,"-1,283","3,108",0,4,1/777,46,3.0,"-2,728","4,387",0,7,1/627,80,2.0,"-1,480","1,668",0,3,1/556,75,10.0,-25,"1,732",0,4,1/433,37,2.0,"-2,225","3,087",0,6,1/515,43,1.0,"+2,687","2,808",0,7,1/401,9,-,"-2,069","5,157",0,9,1/573,47,1.0,+715,"2,206",0,7,1/315,29,18.0,-514,"2,946",0,8,1/368,34,1.0,-721,715,0,2,1/358,78,3.0,-670,"4,445",0,12,1/370,35,1.0,"+3,181","5,466",0,11,1/497,11,2.0,"-2,159","4,500",0,8,1/563,60,6.0,-226,"4,202",0,9,1/467,42,5.0,"-1,286","2,763",0,3,1/921,54,7.0
2026-04-30,木,いいえ,"-1,251","2,234",0,4,1/559,63,2.0,"-2,607","5,839",0,13,1/449,68,5.0,+465,"2,060",0,5,1/412,40,4.0,"-1,387","1,154",0,1,1/1154,89,5.0,"-1,172",918,0,1,1/918,61,10.0,+514,"5,600",0,13,1/431,21,1.0,"+1,329","1,347",0,2,1/674,35,13.0,"+5,569","5,430",0,7,1/776,11,-,-468,294,0,0,-,18,3.0,"-1,564","2,131",0,4,1/533,20,2.0,"+3,507","4,281",0,9,1/476,15,4.0,"-1,810","1,303",0,1,1/1303,84,16.0,"+4,878","2,442",0,3,1/814,22,1.0,-478,"5,048",0,13,1/388,51,11.0,"-1,337","2,457",0,5,1/491,63,2.0,-963,957,0,1,1/957,36,1.0,"-1,669","1,936",0,2,1/968,36,1.0
2026-04-29,水,いいえ,"-3,146","4,944",0,10,1/494,52,6.0,"-1,744","3,334",0,5,1/667,69,9.0,-943,"2,180",0,5,1/436,56,2.0,"-1,990","1,554",0,2,1/777,81,8.0,+114,"3,764",0,8,1/471,45,2.0,"+1,153","7,075",0,14,1/505,29,10.0,-472,677,0,1,1/677,43,14.0,"-6,488","7,133",0,13,1/549,46,1.0,"+4,577","7,517",0,15,1/501,0,-,"+5,045","4,401",0,5,1/880,14,8.0,"+1,413","4,428",0,10,1/443,19,2.0,"-1,316","2,135",0,4,1/534,72,3.0,-880,"5,814",0,11,1/529,60,4.0,"-2,064","3,125",0,4,1/781,73,1.0,"-2,531","5,531",0,15,1/369,54,2.0,"+1,325","4,459",0,10,1/446,17,3.0,"+1,102","4,846",0,10,1/485,6,6.0
2026-04-28,火,いいえ,"-3,494","5,331",0,12,1/444,27,1.0,-400,"3,644",0,8,1/456,70,2.0,-732,"2,524",0,4,1/631,48,2.0,"-2,298","3,721",0,6,1/620,59,10.0,-574,838,0,1,1/838,60,1.0,"-3,084","2,584",0,4,1/646,67,7.0,-686,"3,082",0,7,1/440,17,15.0,+654,"4,026",0,11,1/366,26,3.0,-337,"3,673",0,9,1/408,49,1.0,-441,"1,726",0,4,1/432,46,6.0,"+1,221","5,108",0,9,1/568,20,3.0,"-1,671","1,974",0,3,1/658,72,2.0,-747,832,0,2,1/416,68,1.0,-404,257,0,0,-,68,1.0,-223,"6,972",0,17,1/410,40,13.0,-593,"5,625",0,12,1/469,23,3.0,"+1,279","6,095",0,11,1/554,2,-
2026-04-27,月,いいえ,"+5,152","5,943",0,10,1/594,6,3.0,"-1,928","1,981",0,3,1/660,70,8.0,"-1,007","4,277",0,10,1/428,45,1.0,+742,"3,200",0,7,1/457,25,7.0,-485,628,0,3,1/209,36,1.0,"-1,778","1,888",0,5,1/378,59,3.0,"+9,386","4,764",0,11,1/433,3,-,-404,262,0,0,-,35,7.0,"-1,191","3,724",0,8,1/466,56,4.0,-63,41,0,0,-,44,8.0,+848,"6,242",0,17,1/367,28,3.0,"-1,580","2,683",0,4,1/671,52,1.0,-619,"1,674",0,3,1/558,51,6.0,"-2,109","2,368",0,4,1/592,62,2.0,"-1,669","4,027",0,6,1/671,60,1.0,+803,"3,123",0,5,1/625,18,9.0,"+2,652","5,501",0,17,1/324,9,3.0
2026-04-26,日,はい,-679,"7,943",0,18,1/441,48,2.0,"-2,615","6,206",0,14,1/443,46,1.0,"-1,141","6,334",0,13,1/487,50,1.0,"+2,053","5,443",0,14,1/389,21,3.0,"+1,183","7,356",0,15,1/490,11,-,"-4,371","6,876",0,12,1/573,55,1.0,"-4,937","6,407",0,15,1/427,51,1.0,-418,"7,247",0,15,1/483,18,1.0,"-3,272","5,766",0,10,1/577,54,3.0,"-2,087","2,773",0,6,1/462,26,5.0,"+1,139","9,373",0,23,1/408,36,4.0,"-1,073","3,651",0,7,1/522,46,1.0,+359,"7,483",0,17,1/440,45,9.0,"-2,315","8,462",0,20,1/423,49,1.0,"-3,850","3,725",0,7,1/532,50,1.0,-539,"4,926",0,10,1/493,17,6.0,"-1,688","4,927",0,9,1/547,32,6.0
2026-04-25,土,いいえ,"-4,156","4,470",0,8,1/559,56,4.0,"+2,298","4,616",0,9,1/513,22,4.0,-326,"1,466",0,3,1/489,52,1.0,+154,632,0,2,1/316,50,13.0,"+6,834","5,302",0,13,1/408,13,5.0,-771,831,0,2,1/416,52,1.0,"-1,599","2,595",0,6,1/433,67,4.0,"-1,546","1,900",0,2,1/950,18,2.0,-661,"4,969",0,14,1/355,51,1.0,"+5,726","2,303",0,5,1/461,8,8.0,"-2,485","3,229",0,6,1/538,74,7.0,-174,"3,999",0,10,1/400,37,13.0,"-1,867","1,675",0,2,1/838,83,9.0,"-1,144",875,0,1,1/875,63,7.0,+884,"6,549",0,14,1/468,24,2.0,"+2,763","5,421",0,8,1/678,0,-,"+1,792","2,863",0,4,1/716,16,3.0
2026-04-24,金,いいえ,-400,"6,218",0,15,1/415,36,10.0,+760,"8,519",0,23,1/370,41,5.0,-831,"1,311",0,2,1/656,54,1.0,-520,"3,501",0,9,1/389,51,4.0,-407,"2,088",0,3,1/696,55,1.0,-274,"4,506",0,9,1/501,47,6.0,-593,980,0,2,1/490,62,7.0,"+10,668","7,437",0,7,1/1062,0,-,-961,"2,819",0,5,1/564,67,3.0,"+1,878","3,631",0,6,1/605,1,1.0,-286,"3,001",0,8,1/375,64,2.0,+161,"1,849",0,5,1/370,11,7.0,"-1,658","2,741",0,4,1/685,87,20.0,+189,"2,014",0,7,1/288,53,2.0,"-1,947","3,290",0,6,1/548,55,1.0,"+6,119","4,251",0,5,1/850,4,3.0,-211,"6,798",0,16,1/425,26,15.0
2026-04-23,木,はい,-982,"5,797",0,16,1/362,50,1.0,"-1,600","1,722",0,3,1/574,81,14.0,-246,910,0,2,1/455,50,1.0,-34,"2,099",0,6,1/350,57,4.0,-771,"5,754",0,10,1/575,49,8.0,-20,234,0,1,1/234,67,2.0,-751,"2,820",0,5,1/564,53,3.0,+174,738,0,3,1/246,63,6.0,"-1,157",993,0,1,1/993,57,4.0,"+5,851","5,478",0,12,1/457,0,-,"-1,021","2,741",0,7,1/392,82,1.0,"+5,731","6,656",0,17,1/392,0,-,"-1,968","2,550",0,5,1/510,81,14.0,"-2,110","4,472",0,7,1/639,65,2.0,+31,136,0,1,1/136,41,41.0,"-1,546","4,287",0,7,1/612,57,4.0,-332,307,0,1,1/307,50,1.0
2026-04-22,水,いいえ,"-1,121","3,216",0,7,1/459,60,2.0,"-1,693","5,176",0,13,1/398,76,2.0,+436,"1,310",0,2,1/655,58,2.0,-362,321,0,1,1/321,32,1.0,-709,"2,128",0,4,1/532,55,4.0,"-3,346","4,327",0,8,1/541,62,1.0,"-1,234","2,734",0,4,1/684,50,4.0,"-3,405","4,814",0,10,1/481,56,1.0,"-2,254","6,579",0,15,1/439,31,31.0,"-1,175","2,245",0,3,1/748,51,1.0,-558,763,0,3,1/254,67,5.0,"+4,822","6,873",0,16,1/430,0,-,"-1,422","2,637",0,5,1/527,61,1.0,"-2,023","2,322",0,4,1/581,74,7.0,"-1,954","4,272",0,9,1/475,33,1.0,"-1,075","3,966",0,11,1/361,56,1.0,-647,"2,476",0,5,1/495,46,13.0
2026-04-21,火,いいえ,"-1,990","3,994",0,9,1/444,47,1.0,"-2,421","2,414",0,3,1/805,81,19.0,-645,"2,776",0,9,1/308,62,3.0,"+9,777","6,533",0,14,1/467,14,7.0,"+1,263","1,961",0,4,1/490,45,5.0,-805,"3,005",0,6,1/501,59,5.0,+252,"4,350",0,9,1/483,40,13.0,-650,"3,403",0,7,1/486,54,6.0,"+2,917","5,161",0,6,1/860,21,7.0,"-1,391","1,470",0,2,1/735,27,4.0,"-1,014","4,578",0,12,1/382,46,1.0,"+5,044","4,039",0,9,1/449,0,-,"+2,267","2,261",0,4,1/565,48,1.0,-712,"1,634",0,2,1/817,59,5.0,-233,"4,646",0,9,1/516,7,7.0,"-2,328","4,558",0,10,1/456,45,5.0,"-2,161","2,718",0,5,1/544,23,2.0
2026-04-19,日,いいえ,+264,"7,360",0,18,1/409,19,17.0,"-1,079","5,484",0,8,1/686,58,9.0,"-1,726","3,905",0,8,1/488,65,3.0,"-2,280","4,436",0,8,1/555,70,5.0,+114,"2,812",0,6,1/469,49,5.0,-567,831,0,2,1/416,58,9.0,"-2,995","5,234",0,14,1/374,49,5.0,"-2,470","4,545",0,9,1/505,60,2.0,"-3,175","4,238",0,6,1/706,62,2.0,"+2,655","7,421",0,16,1/464,0,-,"+3,774","2,824",0,4,1/706,44,18.0,"+3,633","4,950",0,13,1/381,2,1.0,"-1,900","2,850",0,5,1/570,77,7.0,-781,"2,618",0,8,1/327,60,2.0,"+6,690","4,530",0,4,1/1133,1,1.0,"+1,520","2,783",0,4,1/696,26,7.0,"+5,608","7,019",0,14,1/501,0,-
2026-04-18,土,いいえ,"-1,198","7,315",0,12,1/610,42,5.0,"-1,119","3,815",0,9,1/424,37,24.0,"-2,676","2,979",0,6,1/497,76,4.0,"-2,515","7,315",0,11,1/665,62,3.0,"-1,319","3,710",0,8,1/464,57,1.0,"-1,267","3,263",0,5,1/653,56,7.0,"+1,751","4,930",0,12,1/411,44,2.0,"-2,797","2,922",0,4,1/731,67,5.0,"-2,884","2,883",0,5,1/577,71,4.0,+555,"7,537",0,22,1/343,0,-,"-2,232","2,958",0,6,1/493,85,9.0,"+1,466","4,619",0,12,1/385,13,13.0,"-2,540","3,114",0,7,1/445,72,1.0,"-2,202","3,760",0,8,1/470,59,2.0,"-1,787","3,403",0,5,1/681,44,2.0,"-1,252","8,285",0,18,1/460,47,3.0,"-2,936","4,068",0,7,1/581,49,2.0
2026-04-17,金,いいえ,"-1,381","6,944",0,11,1/631,51,4.0,"+3,239","6,710",0,15,1/447,23,1.0,-513,518,0,1,1/518,74,12.0,-498,755,0,2,1/378,77,2.0,-604,"2,702",0,6,1/450,62,5.0,"-3,231","7,676",0,17,1/452,47,1.0,"-4,655","8,032",0,14,1/574,46,2.0,-865,915,0,3,1/305,53,2.0,"-1,192",826,0,1,1/826,44,21.0,"+4,535","5,363",0,10,1/536,0,-,"-2,515","2,697",0,3,1/899,75,1.0,"+1,015","7,058",0,20,1/353,15,15.0,"-1,494","4,277",0,11,1/389,62,5.0,"-2,076","5,147",0,8,1/643,53,2.0,"-1,756","6,095",0,17,1/359,19,4.0,"-1,675","5,502",0,10,1/550,57,4.0,-490,"4,555",0,10,1/456,22,3.0
2026-04-16,木,はい,"-3,911","6,489",0,12,1/541,51,14.0,"-2,462","5,486",0,11,1/499,68,3.0,"-2,393","3,065",0,6,1/511,69,1.0,"-3,025","5,557",0,9,1/617,68,3.0,-956,"1,453",0,3,1/484,65,3.0,-531,"9,000",0,22,1/409,34,1.0,"-1,972","2,166",0,3,1/722,69,1.0,"-1,639","5,011",0,7,1/716,33,18.0,"-1,244","5,419",0,9,1/602,15,11.0,"-1,967","4,952",0,15,1/330,15,11.0,"-3,554","7,755",0,13,1/597,60,3.0,"-1,492","2,809",0,6,1/468,62,2.0,"-1,583","2,395",0,4,1/599,55,4.0,"-1,601","2,768",0,4,1/692,37,3.0,"+2,220","8,714",0,21,1/415,0,-,"-2,887","3,845",0,6,1/641,57,2.0,"+1,819","6,180",0,12,1/515,4,4.0
2026-04-15,水,いいえ,"-2,367","2,707",0,5,1/541,63,1.0,"-1,119","5,559",0,9,1/618,60,3.0,"-1,973","1,875",0,2,1/938,57,6.0,"-2,023","2,572",0,4,1/643,71,1.0,"-1,053","1,357",0,2,1/679,51,7.0,-222,"2,066",0,4,1/517,70,4.0,"-3,139","3,782",0,5,1/756,66,3.0,"-1,354","1,209",0,2,1/605,14,14.0,"+7,365","5,855",0,10,1/586,0,-,"+8,943","7,215",0,16,1/451,0,-,"-1,304","1,815",0,3,1/605,62,2.0,-863,"1,164",0,1,1/1164,44,6.0,"+2,685","2,995",0,5,1/599,26,12.0,+852,"3,625",0,9,1/403,27,1.0,-30,"1,904",0,5,1/381,26,12.0,"-1,927","2,764",0,5,1/553,28,1.0,"-1,658","2,263",0,4,1/566,38,10.0
2026-04-14,火,いいえ,"-2,673","4,534",0,6,1/756,56,2.0,"-1,861","2,663",0,4,1/666,54,1.0,-173,"2,881",0,6,1/480,51,1.0,"-1,831","6,744",0,16,1/422,53,2.0,+853,"2,478",0,6,1/413,22,5.0,"-2,955","3,241",0,7,1/463,67,4.0,-333,627,0,2,1/314,63,2.0,"+8,998","7,258",0,15,1/484,0,-,"-4,021","2,988",0,3,1/996,61,5.0,"-2,020","3,111",0,7,1/444,54,1.0,+521,"1,682",0,2,1/841,50,17.0,-76,"2,792",0,6,1/465,27,1.0,+99,"2,208",0,4,1/552,26,4.0,-221,"3,679",0,9,1/409,33,6.0,"+2,451","4,240",0,8,1/530,11,11.0,"+4,826","8,515",0,20,1/426,0,-,"+3,238","1,266",0,2,1/633,17,6.0
2026-04-13,月,はい,"-2,633","6,112",0,12,1/509,52,6.0,-178,"5,947",0,12,1/496,23,14.0,-210,"4,755",0,8,1/594,44,6.0,-603,"2,168",0,8,1/271,55,3.0,"+13,506","5,702",0,6,1/950,9,2.0,"-2,046","2,188",0,2,1/1094,66,3.0,"-1,852","2,419",0,3,1/806,63,8.0,+396,"7,966",0,19,1/419,1,-,+485,"4,116",0,9,1/457,46,2.0,"-1,809","6,710",0,15,1/447,31,8.0,-637,"2,372",0,7,1/339,38,1.0,+730,"8,768",0,20,1/438,9,2.0,"+16,420","7,083",0,6,1/1181,7,6.0,+218,"1,394",0,2,1/697,34,1.0,"-1,054","5,500",0,10,1/550,33,2.0,"-3,020","6,070",0,11,1/552,52,6.0,"-2,205","6,843",0,17,1/403,37,3.0
2026-04-12,日,いいえ,"-1,928","5,573",0,10,1/557,53,3.0,"+9,872","4,778",0,5,1/956,19,5.0,"-2,885","3,042",0,5,1/608,35,2.0,"-1,858","4,439",0,9,1/493,33,1.0,-66,"3,288",0,5,1/658,59,6.0,-508,"3,795",0,7,1/542,61,1.0,"-2,672","4,959",0,9,1/551,60,1.0,"+6,167","5,051",0,6,1/842,0,-,"-3,264","3,319",0,6,1/553,46,5.0,+727,"7,920",0,22,1/360,28,6.0,"+1,606","6,696",0,15,1/446,14,4.0,+78,"6,043",0,11,1/549,32,4.0,"-1,107","4,338",0,8,1/542,41,6.0,-343,"2,484",0,4,1/621,10,10.0,"+1,034","6,862",0,13,1/528,22,3.0,"-1,455","4,486",0,8,1/561,50,4.0,-557,"5,074",0,12,1/423,14,4.0
2026-04-11,土,いいえ,"-1,086","5,253",0,10,1/525,51,1.0,"-1,901","2,820",0,6,1/470,57,4.0,"+6,310","6,200",0,16,1/388,12,1.0,"+2,622","4,429",0,8,1/554,11,11.0,"-2,182","5,216",0,11,1/474,65,8.0,"-3,666","4,857",0,12,1/405,67,2.0,"-1,674","1,563",0,3,1/521,53,2.0,-489,"4,290",0,10,1/429,50,7.0,"-2,021","4,741",0,8,1/593,24,6.0,"-4,685","8,337",0,14,1/596,36,7.0,"+3,925","2,473",0,3,1/824,18,6.0,"-2,469","3,049",0,6,1/508,43,7.0,"+2,777","4,046",0,8,1/506,29,5.0,"+9,539","7,229",0,14,1/516,0,-,"-1,089","1,481",0,2,1/741,67,2.0,"-2,441","3,839",0,8,1/480,43,7.0,"+2,896","4,870",0,9,1/541,12,1.0
2026-04-10,金,いいえ,"-2,936","5,294",0,14,1/378,43,2.0,"+1,111","6,151",0,17,1/362,28,6.0,"-1,719","1,963",0,4,1/491,73,3.0,"+3,325","5,091",0,14,1/364,9,4.0,"-1,904","3,711",0,9,1/412,60,4.0,-86,"3,393",0,6,1/566,41,9.0,-702,"3,290",0,6,1/548,22,2.0,"-2,157","2,701",0,6,1/450,61,1.0,"+4,139","3,174",0,9,1/353,5,-,+415,999,0,1,1/999,20,5.0,"+7,312","6,654",0,11,1/605,15,6.0,+710,"6,212",0,15,1/414,20,5.0,-878,"3,562",0,9,1/396,70,9.0,-544,"2,819",0,8,1/352,32,4.0,"-1,040","2,178",0,4,1/545,56,13.0,"+1,700","2,289",0,3,1/763,28,6.0,"+1,652","3,092",0,6,1/515,28,6.0
2026-04-09,木,いいえ,-657,"6,577",0,12,1/548,10,3.0,"-1,144","5,411",0,13,1/416,62,8.0,-243,"2,458",0,4,1/615,76,7.0,+802,"5,832",0,13,1/449,14,4.0,"-1,425","7,229",0,17,1/425,43,4.0,+182,949,0,3,1/316,25,11.0,"+5,437","8,356",0,20,1/418,2,-,"-2,399","4,476",0,7,1/639,37,12.0,"+5,087","4,609",0,10,1/461,10,3.0,"+4,242","3,080",0,5,1/616,7,5.0,"-3,705","3,867",0,7,1/552,66,4.0,-805,"6,544",0,12,1/545,25,11.0,"-1,561","1,951",0,4,1/488,69,3.0,+214,"5,778",0,15,1/385,14,4.0,-556,"3,741",0,8,1/468,52,9.0,"-1,032","4,416",0,9,1/491,39,2.0,"-2,603","5,063",0,10,1/506,54,2.0
