日付,曜日,特定日,862番台,,,,,,863番台,,,,,,865番台,,,,,,866番台,,,,,
2025-09-02,火,いいえ,-187,802,3,1,1/201,3.12,-102,"1,611",6,4,1/161,3.25,-605,938,1,3,1/235,3.24,-234,738,3,0,1/246,2.95
2025-09-01,月,いいえ,-67,"5,194",19,17,1/144,3.65,-244,314,1,0,1/314,3.23,"+1,968","4,062",23,13,1/113,4.43,+90,768,4,0,1/192,3.02
2025-08-31,日,いいえ,-50,972,4,2,1/162,3.28,+692,"6,333",26,21,1/135,4.00,-108,319,1,0,1/319,3.22,-593,"4,338",14,14,1/155,3.40
2025-08-30,土,いいえ,-446,"1,168",3,3,1/195,3.19,-870,"1,253",1,3,1/313,2.89,-697,756,1,0,1/756,2.73,+180,"2,515",8,14,1/114,4.60
2025-08-29,金,いいえ,-665,"1,088",2,1,1/363,2.71,-681,"1,232",3,1,1/308,2.66,-585,"1,259",3,2,1/252,2.85,+74,"1,255",5,4,1/139,3.56
2025-08-28,木,いいえ,+515,"3,171",14,8,1/144,3.29,-180,172,0,0,-,3.29,"+1,545","6,956",27,32,1/118,5.07,-687,"1,461",3,4,1/209,3.10
2025-08-27,水,いいえ,-49,376,1,1,1/188,3.41,-173,"2,584",9,9,1/144,3.66,-293,"1,165",3,4,1/166,3.44,+31,"1,056",5,2,1/151,3.30
2025-08-26,火,はい,-136,"4,623",20,12,1/144,3.25,+98,"4,917",17,20,1/133,4.30,-339,560,1,1,1/280,3.19,+716,"2,345",12,7,1/123,3.80
2025-08-25,月,いいえ,+361,"3,815",18,10,1/136,3.47,-331,761,2,3,1/152,3.56,+58,"5,294",19,17,1/147,3.55,+302,"2,744",13,5,1/152,2.95
2025-08-24,日,いいえ,"+3,328","7,702",41,25,1/117,4.82,+218,"1,067",4,5,1/119,3.91,-438,"1,907",5,7,1/159,3.52,"+2,539","6,004",33,19,1/115,4.63
2025-08-23,土,はい,-331,"3,429",11,13,1/143,3.83,"+3,236","7,745",42,20,1/125,3.98,-693,"2,170",5,8,1/167,3.46,+157,"4,988",21,12,1/151,2.96
2025-08-22,金,いいえ,"-1,225","1,236",1,0,1/1236,2.31,-393,"1,367",3,5,1/171,3.45,-16,714,2,3,1/143,3.62,"+1,545","2,692",18,4,1/122,3.32
2025-08-21,木,いいえ,-313,"3,110",10,9,1/164,3.18,-498,513,0,1,1/513,3.13,+609,775,6,1,1/111,3.51,-194,"2,770",11,7,1/154,3.19
2025-08-20,水,いいえ,-266,728,2,1,1/243,3.10,-7,740,3,1,1/185,3.20,"+3,157","8,388",44,26,1/120,4.67,+194,86,1,1,1/43,3.77
2025-08-19,火,いいえ,-902,"1,319",2,1,1/440,2.50,-279,"1,962",7,5,1/164,3.20,+225,"7,505",26,33,1/127,4.80,-62,596,3,0,1/199,3.12
2025-08-18,月,いいえ,"-1,050","3,950",10,14,1/165,3.41,-466,874,2,2,1/219,3.18,-539,"1,696",4,2,1/283,2.52,+266,"3,074",14,8,1/140,3.41
2025-08-17,日,いいえ,"-1,071","2,593",5,6,1/236,2.60,-970,"2,029",5,3,1/254,2.50,-444,"2,091",7,3,1/209,2.61,-934,"3,035",8,7,1/202,2.65
2025-08-16,土,はい,-227,"5,321",20,13,1/161,2.77,"+1,531","7,993",37,19,1/143,2.95,"-1,086","1,613",2,3,1/323,2.63,"+2,149","7,709",38,21,1/131,3.80
2025-08-15,金,いいえ,-726,"1,108",3,0,1/369,2.57,-733,857,1,0,1/857,2.63,+28,"2,492",12,2,1/178,2.46,-551,"1,906",6,2,1/238,2.49
2025-08-14,木,いいえ,"-1,637","5,848",19,11,1/195,2.02,"+1,060","6,602",27,24,1/129,4.38,-193,610,2,1,1/203,3.24,-170,"2,281",9,4,1/175,2.82
2025-08-13,水,はい,-945,"5,146",16,15,1/166,3.00,"-1,127","2,748",6,7,1/211,2.74,+237,"3,044",12,6,1/169,2.77,-863,"1,041",1,2,1/347,2.89
2025-08-12,火,いいえ,-500,"2,481",7,7,1/177,3.10,-34,"1,093",5,0,1/219,2.76,-159,"4,007",16,10,1/154,3.05,+439,"3,075",13,10,1/134,3.77
2025-08-11,月,いいえ,-158,"5,030",22,8,1/168,2.24,-466,495,0,1,1/495,3.15,-521,"4,590",17,12,1/158,2.99,-445,"1,435",4,4,1/179,3.23
2025-08-10,日,いいえ,-300,"4,140",16,9,1/166,2.70,+161,"3,500",15,8,1/152,3.03,+820,"4,769",25,6,1/154,2.29,-8,"4,408",19,9,1/157,2.71
2025-08-09,土,いいえ,-472,"1,673",5,3,1/209,2.84,-336,"2,125",8,6,1/152,3.36,-759,"1,946",4,5,1/216,2.91,+940,"5,048",23,10,1/153,2.66
2025-08-08,金,いいえ,+110,856,3,3,1/143,3.56,"+2,215","5,660",33,16,1/116,4.42,-134,"1,292",4,2,1/215,2.92,-80,"1,630",6,2,1/204,2.75
2025-08-07,木,いいえ,-263,"1,338",5,2,1/191,2.97,+215,"4,550",18,13,1/147,3.35,"-1,002","1,335",1,3,1/334,2.81,-616,"1,883",5,4,1/209,2.85
2025-08-06,水,はい,+621,"4,858",19,13,1/152,3.13,-496,"1,541",3,6,1/171,3.48,-618,953,2,0,1/477,2.63,-366,724,2,0,1/362,2.86
2025-08-05,火,いいえ,-275,"3,063",13,5,1/170,2.63,-197,303,1,0,1/303,3.24,-131,349,1,1,1/175,3.44,"+1,912","8,611",39,26,1/132,4.00
2025-08-03,日,はい,+691,"3,722",18,9,1/138,3.34,-561,"7,449",25,22,1/158,3.05,-858,"1,217",2,1,1/406,2.59,"-1,103","4,458",14,8,1/203,2.16
2025-08-02,土,いいえ,+428,"3,853",17,7,1/161,2.64,-439,757,1,1,1/379,2.96,+962,"6,242",30,14,1/142,2.97,-279,"1,091",4,1,1/218,2.90
2025-08-01,金,いいえ,"-1,091",966,0,1,1/966,2.65,-417,298,0,0,-,3.13,-124,"3,878",14,11,1/155,3.21,-246,546,1,0,1/546,2.96
2025-07-31,木,いいえ,-366,368,0,1,1/368,3.30,-34,981,4,2,1/164,3.27,+88,584,3,1,1/146,3.39,+123,942,4,3,1/135,3.58
2025-07-30,水,いいえ,-109,"4,649",16,16,1/145,3.70,-75,"1,055",5,0,1/211,2.80,-298,603,1,2,1/201,3.39,+263,"3,977",17,10,1/147,3.18
2025-07-29,火,いいえ,+276,"3,145",14,9,1/137,3.57,-267,312,0,1,1/312,3.37,+76,"1,393",6,4,1/139,3.51,"+1,086","2,565",13,8,1/122,3.90
2025-07-28,月,いいえ,-273,863,3,0,1/288,2.81,-587,572,0,0,-,2.83,-381,"1,158",3,3,1/193,3.20,-205,"1,759",6,5,1/160,3.32
2025-07-27,日,いいえ,+279,"4,862",23,8,1/157,2.43,+209,"1,616",7,3,1/162,3.11,+657,"3,337",16,7,1/145,3.08,-155,"1,207",5,2,1/172,3.12
2025-07-26,土,はい,+374,"3,203",14,7,1/153,3.02,-204,"3,298",13,5,1/183,2.42,-533,"2,098",6,4,1/210,2.73,"+3,442","7,932",40,29,1/115,5.05
2025-07-25,金,いいえ,-427,968,3,1,1/242,2.93,-55,"1,300",6,1,1/186,2.87,+130,"2,617",10,6,1/164,3.02,-623,"1,005",2,1,1/335,2.79
2025-07-24,木,いいえ,+663,"3,665",17,10,1/136,3.54,+570,"2,868",13,8,1/137,3.54,-44,804,4,1,1/161,3.23,-29,"3,260",13,10,1/142,3.56
2025-07-23,水,はい,-349,"1,745",7,3,1/175,2.96,-286,655,2,0,1/328,2.94,-4,"1,540",7,2,1/171,2.95,-238,"1,052",4,0,1/263,2.71
2025-07-22,火,いいえ,-833,"1,779",4,5,1/198,3.09,-78,815,4,1,1/163,3.22,-868,"1,362",3,2,1/272,2.75,-30,"1,626",7,2,1/181,2.86
2025-07-21,月,いいえ,+272,"1,822",9,3,1/152,3.09,-571,617,0,2,1/309,3.26,+84,"4,328",17,11,1/155,3.04,-469,515,0,2,1/258,3.38
2025-07-20,日,いいえ,-119,"1,865",8,2,1/187,2.70,+111,"3,679",16,9,1/147,3.17,+0,557,2,2,1/139,3.56,"+3,241","7,088",38,27,1/109,5.21
2025-07-19,土,いいえ,+170,"3,768",15,7,1/171,2.55,-96,"2,579",11,3,1/184,2.50,+204,"3,929",14,15,1/135,4.03,"+1,278","3,945",17,18,1/113,4.79
2025-07-18,金,いいえ,-380,314,0,0,-,3.12,"+1,452","4,036",21,17,1/106,4.91,-310,"1,268",4,3,1/181,3.18,"+1,068","1,087",9,2,1/99,3.75
2025-07-17,木,いいえ,+25,728,3,1,1/182,3.21,+256,608,3,2,1/122,3.62,-771,"1,042",1,2,1/347,2.89,+356,"3,871",14,17,1/125,4.45
2025-07-16,水,はい,-455,"1,656",4,6,1/166,3.46,"+1,938","7,082",35,21,1/126,4.15,-767,"2,920",8,9,1/172,3.18,-631,915,2,0,1/458,2.66
2025-07-15,火,いいえ,"+3,683","8,364",41,34,1/112,5.30,-190,190,0,0,-,3.26,-534,"1,997",5,6,1/182,3.19,-314,661,2,1,1/220,3.18
2025-07-14,月,いいえ,-264,798,1,4,1/160,3.65,+210,"1,199",6,1,1/171,2.99,-199,175,0,0,-,3.28,"+1,463","4,787",25,11,1/133,3.36
2025-07-13,日,はい,-721,"2,363",8,3,1/215,2.45,"-1,249","4,267",14,5,1/225,1.89,"-1,191","4,399",12,13,1/176,2.94,-932,"1,517",3,2,1/303,2.60
2025-07-12,土,いいえ,-347,"1,809",6,2,1/226,2.58,+173,"2,073",9,7,1/130,3.78,-187,"1,296",3,4,1/185,3.29,"+1,206","5,093",24,14,1/134,3.62
2025-07-11,金,いいえ,-641,905,1,2,1/302,3.03,+90,"2,448",9,8,1/144,3.58,-19,218,1,0,1/218,3.35,-62,"5,017",19,15,1/148,3.40
2025-07-10,木,いいえ,+472,"3,500",16,6,1/159,2.68,-58,"3,023",11,10,1/144,3.61,-39,"4,781",19,10,1/165,2.57,-43,"5,490",20,17,1/148,3.44
2025-07-08,火,いいえ,-137,"1,719",7,2,1/191,2.76,-662,791,1,2,1/264,3.16,-934,"3,469",12,6,1/193,2.39,+251,"3,016",12,10,1/137,3.73
2025-07-07,月,いいえ,+194,"3,386",16,6,1/154,2.79,-543,496,0,0,-,2.91,-445,"2,026",8,4,1/169,2.99,+363,"6,166",24,17,1/150,3.14
2025-07-06,日,はい,-762,"4,524",15,15,1/151,3.52,"+1,607","7,611",32,29,1/125,4.70,+712,"5,630",22,22,1/128,4.45,-803,"2,814",9,6,1/188,2.73
2025-07-05,土,いいえ,-732,"2,126",6,4,1/213,2.70,+196,"2,423",11,5,1/151,3.10,+240,"3,817",15,14,1/132,4.05,-496,550,1,0,1/550,2.95
2025-07-04,金,いいえ,+638,"2,909",16,4,1/145,2.84,-277,581,2,0,1/291,3.02,-132,"1,329",6,1,1/190,2.84,-382,720,2,0,1/360,2.87
2025-07-03,木,はい,-508,469,0,1,1/469,3.18,+345,"5,518",22,18,1/138,3.82,-644,"1,217",4,0,1/304,2.55,"+2,383","3,526",21,16,1/95,5.13
2025-07-02,水,いいえ,-241,642,2,1,1/214,3.20,-289,426,0,1,1/426,3.23,-273,"4,595",16,12,1/164,2.90,"-1,423","3,886",9,9,1/216,2.40
2025-07-01,火,いいえ,"+1,332","1,813",12,5,1/107,3.97,-190,501,2,0,1/251,3.12,-363,962,3,0,1/321,2.71,-585,"3,640",11,11,1/165,3.17
2025-06-30,月,いいえ,-26,"1,261",4,3,1/180,3.19,"+1,314","6,582",28,19,1/140,3.53,+45,"1,916",8,4,1/160,3.11,+196,"3,963",17,8,1/159,2.75
2025-06-29,日,いいえ,-281,"1,909",7,4,1/174,3.02,-40,"3,170",11,12,1/138,3.89,+415,"2,960",16,4,1/148,2.78,+160,"4,838",18,15,1/147,3.49
2025-06-28,土,いいえ,-48,"6,084",21,17,1/160,2.96,-323,"1,812",5,6,1/165,3.39,-422,"2,299",7,5,1/192,2.84,"-1,071","2,013",4,2,1/336,2.27
2025-06-27,金,いいえ,-375,"1,325",5,0,1/265,2.53,-369,"3,226",10,9,1/170,3.06,+248,"1,204",7,1,1/151,3.09,-131,"1,056",4,1,1/211,2.94
2025-06-26,木,はい,+832,"1,364",7,10,1/80,4.86,-587,"2,451",7,5,1/204,2.69,-178,"2,316",9,6,1/154,3.25,+626,"3,033",15,6,1/144,3.08
2025-06-25,水,いいえ,+651,820,6,0,1/137,3.19,"+1,810","4,146",22,12,1/122,4.02,-619,572,0,1,1/572,3.06,+15,"2,799",11,7,1/156,3.16
2025-06-24,火,いいえ,-331,695,2,1,1/232,3.14,-158,"1,477",5,4,1/164,3.30,-45,"3,568",14,7,1/170,2.65,-477,"1,037",3,1,1/259,2.86
2025-06-23,月,はい,"+1,023","2,053",13,2,1/137,3.01,-49,"1,120",5,1,1/187,2.97,-560,"2,491",8,5,1/192,2.74,-410,"1,616",5,4,1/180,3.14
2025-06-22,日,いいえ,+515,"3,231",15,7,1/147,3.09,+248,"4,616",20,12,1/144,3.26,+158,"4,121",16,11,1/153,3.16,+741,"2,166",12,5,1/127,3.52
2025-06-21,土,いいえ,-342,"2,926",10,8,1/163,3.15,-94,"2,266",9,4,1/174,2.83,"-1,045","1,435",2,3,1/287,2.80,+462,"5,349",23,10,1/162,2.40
2025-06-20,金,いいえ,"+1,353","3,516",18,11,1/121,4.06,+83,164,1,0,1/164,3.41,"+1,113","4,364",19,16,1/125,4.29,+387,897,5,1,1/150,3.24
2025-06-19,木,いいえ,-342,"3,966",16,6,1/180,2.29,+902,"3,080",15,11,1/118,4.21,-45,"5,195",19,17,1/144,3.65,-782,"2,678",8,7,1/179,2.99
2025-06-18,水,いいえ,-165,371,1,0,1/371,3.16,-466,"1,231",3,2,1/246,2.88,-436,"2,092",7,5,1/174,3.05,+120,770,3,2,1/154,3.41
2025-06-17,火,いいえ,-282,427,1,0,1/427,3.09,-128,410,1,1,1/205,3.37,+496,"6,122",25,17,1/146,3.28,"+1,203","3,687",19,9,1/132,3.49
2025-06-16,月,はい,-135,"2,429",10,5,1/162,2.99,-192,"2,919",10,6,1/182,2.71,"-1,406","2,223",3,6,1/247,2.77,-241,"6,574",26,21,1/140,3.76
2025-06-15,日,いいえ,+259,"1,979",10,2,1/165,2.78,-970,"2,355",6,4,1/236,2.50,"-1,158","2,372",5,6,1/216,2.80,-586,"4,070",15,8,1/177,2.49
2025-06-14,土,いいえ,+887,"6,136",29,16,1/136,3.45,-549,"1,582",5,2,1/226,2.71,"-2,594","6,739",17,14,1/217,1.89,"-1,368","2,786",6,4,1/279,2.18
2025-06-13,金,はい,+763,"2,745",13,8,1/131,3.68,+632,"3,899",19,7,1/150,2.77,+147,"2,424",10,6,1/152,3.23,+79,"1,412",6,3,1/157,3.24
2025-06-12,木,いいえ,+835,"5,089",23,16,1/130,3.96,-534,"2,314",9,4,1/178,2.78,-320,486,1,1,1/243,3.27,"+1,748","7,967",38,24,1/129,4.15
2025-06-11,水,いいえ,+361,"1,905",9,5,1/136,3.49,-248,"1,265",5,1,1/211,2.81,-462,"1,370",5,1,1/228,2.70,+68,"3,215",12,10,1/146,3.50
2025-06-10,火,いいえ,-109,377,1,1,1/189,3.41,"+1,241","5,454",28,11,1/140,2.93,-316,717,2,1,1/239,3.11,+11,"1,384",5,4,1/154,3.41
2025-06-09,月,いいえ,-372,"3,589",11,12,1/156,3.44,-519,"1,990",7,3,1/199,2.71,-350,"2,658",9,7,1/166,3.11,-782,"1,644",4,4,1/206,3.00
2025-06-08,日,いいえ,+583,"4,488",19,12,1/145,3.29,-56,"3,554",14,8,1/162,2.88,-192,"3,887",14,10,1/162,2.98,+135,"7,501",29,23,1/144,3.54
2025-06-07,土,いいえ,+917,"5,345",27,10,1/144,2.72,-211,"1,054",3,2,1/211,3.08,-538,"3,171",11,6,1/187,2.57,"-1,135","6,500",23,11,1/191,1.88
2025-06-06,金,はい,"+1,135","5,456",25,15,1/136,3.55,"+1,602","5,911",28,18,1/129,4.03,+150,"3,456",15,7,1/157,2.85,-534,"4,227",14,12,1/163,3.08
2025-06-05,木,いいえ,"-1,173","2,497",5,7,1/208,2.89,-444,"1,657",6,2,1/207,2.73,-669,"1,910",5,4,1/212,2.82,-23,"2,079",8,7,1/139,3.66
2025-06-04,水,いいえ,+229,"1,951",10,1,1/177,2.58,"+1,248","3,633",20,9,1/125,3.68,-695,"1,299",3,3,1/217,3.04,+609,"3,059",16,5,1/146,2.91
2025-06-03,火,はい,-583,"5,809",20,18,1/153,3.34,-180,"1,662",8,0,1/208,2.47,"+3,158","8,142",45,21,1/123,4.09,+677,"7,366",32,17,1/150,2.71
2025-06-01,日,いいえ,-485,"1,367",3,4,1/195,3.20,-455,"2,015",7,3,1/202,2.68,-278,"1,284",5,1,1/214,2.79,+440,"6,449",25,15,1/161,2.57
2025-05-31,土,いいえ,-398,"2,325",9,3,1/194,2.56,-816,"5,394",15,20,1/154,3.68,-831,"2,546",6,6,1/212,2.72,+128,"3,296",15,5,1/165,2.58
2025-05-30,金,いいえ,+26,"1,453",6,4,1/145,3.44,-549,"2,353",7,6,1/181,3.00,-320,"1,052",3,2,1/210,3.08,+342,"5,369",22,14,1/149,3.11
2025-05-29,木,いいえ,+925,"4,372",20,15,1/125,4.19,-786,810,0,2,1/405,3.04,-105,902,4,0,1/226,2.87,-357,"1,013",3,2,1/203,3.12
2025-05-28,水,いいえ,"+5,030","8,173",49,32,1/101,5.58,-274,"1,129",3,3,1/188,3.24,-658,"3,097",9,9,1/172,3.10,-508,707,1,2,1/236,3.26
2025-05-27,火,いいえ,-143,"3,505",13,9,1/159,3.06,+970,"2,355",14,5,1/124,3.53,-654,"1,044",1,4,1/209,3.36,-297,673,1,3,1/168,3.55
2025-05-26,月,はい,-778,890,0,1,1/890,2.73,+470,"5,031",21,14,1/144,3.37,+932,"2,044",11,6,1/120,3.81,"+3,353","8,487",42,36,1/109,5.41
2025-05-25,日,いいえ,+282,"1,371",6,7,1/105,4.24,-429,543,1,1,1/272,3.21,-429,586,1,1,1/293,3.16,-226,"2,140",6,7,1/165,3.37
2025-05-24,土,いいえ,-628,872,1,2,1/291,3.07,-192,"2,137",6,7,1/164,3.37,-372,774,2,2,1/194,3.29,-564,618,1,0,1/618,2.88
2025-05-23,金,はい,-222,"4,541",17,10,1/168,2.62,-872,807,0,1,1/807,2.81,+970,"2,811",16,4,1/141,2.95,-380,"1,620",4,6,1/162,3.50
2025-05-22,木,いいえ,-338,"1,759",6,4,1/176,3.08,"-1,075","4,320",12,14,1/166,3.23,-474,469,0,1,1/469,3.18,-293,989,3,1,1/247,2.91
2025-05-21,水,いいえ,-474,709,1,1,1/355,3.01,-169,"1,872",7,4,1/170,3.06,-455,"1,369",4,1,1/274,2.62,-312,"1,389",5,2,1/198,2.91
2025-05-20,火,いいえ,"-1,165","6,160",19,16,1/176,2.56,+102,"2,042",9,6,1/136,3.57,-102,884,4,1,1/177,3.14,-199,463,1,1,1/232,3.30
2025-05-19,月,いいえ,"+4,192","7,627",42,29,1/107,5.32,-34,29,0,0,-,3.46,-207,"1,441",4,4,1/180,3.23,-169,942,3,1,1/236,2.96
2025-05-18,日,いいえ,-169,"1,681",7,3,1/168,3.03,-444,"4,985",17,14,1/161,3.03,-432,"2,336",9,3,1/195,2.55,-662,"1,679",4,4,1/210,2.96
2025-05-17,土,いいえ,"-1,180","2,553",6,5,1/232,2.52,+154,584,3,2,1/117,3.65,"+1,083","2,793",17,1,1/155,2.39,+455,236,3,1,1/59,3.83
2025-05-16,金,はい,+113,"1,714",8,3,1/156,3.10,"+2,289","7,444",36,24,1/124,4.45,-282,"1,230",4,2,1/205,2.98,"+3,444","6,361",36,24,1/106,5.22
2025-05-15,木,いいえ,-15,"3,682",15,10,1/147,3.30,+45,"1,793",6,5,1/163,3.28,-316,"1,963",7,3,1/196,2.73,-173,"2,307",8,6,1/165,3.15
2025-05-14,水,いいえ,+688,"8,128",34,25,1/138,3.80,-267,242,0,0,-,3.20,+278,"2,692",14,2,1/168,2.44,+226,"1,657",7,3,1/166,3.06
2025-05-13,火,はい,-842,"1,460",2,1,1/487,2.38,-827,"5,299",18,9,1/196,2.01,-293,785,2,1,1/262,3.03,+180,"6,626",27,17,1/151,2.97
2025-05-11,日,いいえ,-492,"2,694",10,5,1/180,2.72,-797,"1,364",3,2,1/273,2.75,"+3,459","8,714",46,26,1/121,4.57,-316,579,0,3,1/193,3.55
2025-05-10,土,いいえ,-60,"4,593",18,13,1/148,3.31,-921,787,0,1,1/787,2.83,"-1,857","1,985",3,1,1/496,2.08,"-1,030","2,471",5,7,1/206,2.92
2025-05-09,金,いいえ,+827,"7,188",31,20,1/141,3.42,-120,818,3,1,1/205,3.10,-711,"1,171",2,1,1/390,2.63,+459,"2,652",11,9,1/133,3.80
2025-05-08,木,いいえ,+481,"2,123",10,5,1/142,3.34,-846,934,1,2,1/311,3.00,-947,"2,709",7,6,1/208,2.66,"-1,511","2,241",3,4,1/320,2.37
2025-05-07,水,いいえ,-432,539,1,0,1/539,2.96,-549,471,0,1,1/471,3.18,+372,"2,838",13,4,1/167,2.63,+229,"2,372",12,3,1/158,2.78
2025-05-06,火,はい,"+2,177","8,876",39,34,1/122,4.93,+79,"4,231",17,7,1/176,2.33,-361,"5,536",21,14,1/158,2.86,-669,"3,270",11,4,1/218,2.15
2025-05-05,月,いいえ,-338,"2,513",10,4,1/180,2.68,"-1,301","3,926",11,9,1/196,2.50,"-1,451","7,240",23,19,1/172,2.54,-962,"3,632",12,7,1/191,2.45
