日付,曜日,特定日,1076番台,,,,,1077番台,,,,,1078番台,,,,,1080番台,,,,,1081番台,,,,,1082番台,,,,,1083番台,,,,,1085番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-04-05,日,いいえ,-225,"3,033",13,6,1/160,"+1,224","5,017",26,12,1/132,+179,"8,023",35,19,1/149,"-4,055","9,574",28,22,1/191,"-2,113","7,861",25,23,1/164,"-1,351","3,042",10,5,1/203,"+2,683","4,576",25,19,1/104,"-4,761","5,889",12,7,1/310
2026-04-04,土,いいえ,"-1,285","3,279",11,4,1/219,+230,"1,040",4,5,1/116,"-1,528","7,133",25,16,1/174,"-1,218","6,087",22,14,1/169,"-5,760","7,281",12,18,1/243,-932,"1,740",4,6,1/174,"+1,836","5,070",25,17,1/121,"+1,650","5,871",31,12,1/137
2026-04-03,金,はい,"+2,265","4,041",23,15,1/106,+104,878,3,5,1/110,-102,"1,850",8,6,1/132,"-2,229","3,584",5,16,1/171,"+1,226","1,504",10,4,1/107,-8,639,3,5,1/80,-985,718,0,1,1/718,"-4,478","4,564",7,6,1/351
2026-04-02,木,いいえ,"-2,820","4,615",10,11,1/220,+0,"7,048",31,16,1/150,"+2,874","2,488",18,11,1/86,-319,197,0,0,-,"-2,644","6,357",17,18,1/182,+712,"2,138",10,7,1/126,-911,665,0,1,1/665,"-1,458","1,662",3,2,1/332
2026-04-01,水,いいえ,+426,"3,384",15,9,1/141,"+1,418","6,616",32,17,1/135,-273,"2,920",12,6,1/162,+954,"1,935",10,7,1/114,"-3,402","2,802",2,4,1/467,+585,788,5,3,1/99,"+1,457","6,666",32,18,1/133,-821,"1,457",3,4,1/208
2026-03-31,火,いいえ,"-1,050","1,653",4,3,1/236,-750,"2,690",8,8,1/168,"-3,257","5,117",11,12,1/222,"-1,266","2,601",6,7,1/200,"-1,617","1,524",1,3,1/381,"-1,089","1,754",4,3,1/251,"-5,592","6,717",13,8,1/320,-33,797,5,1,1/133
2026-03-30,月,いいえ,"+1,507","1,367",11,4,1/91,-766,"6,787",28,10,1/179,-970,"2,264",8,4,1/189,+331,"2,029",9,8,1/119,-305,183,0,0,-,"-2,231","4,022",11,9,1/201,"+1,009","1,932",12,4,1/121,"+1,382","1,804",13,4,1/106
2026-03-29,日,いいえ,"+4,240","3,611",29,11,1/90,"+1,616","4,389",20,21,1/107,"-1,181",871,0,2,1/436,"-1,003","4,455",17,8,1/178,-298,183,0,0,-,"-1,427","2,983",10,3,1/229,-281,184,0,0,-,"-3,420","4,549",11,3,1/325
2026-03-28,土,いいえ,"+1,242",985,7,5,1/82,"-5,510","7,095",13,15,1/253,-580,"2,524",10,5,1/168,+978,"1,474",10,2,1/123,"+4,203","2,799",26,7,1/85,+221,"4,271",18,12,1/142,+476,"5,161",23,12,1/147,"+1,016","3,576",16,12,1/128
2026-03-27,金,いいえ,"-2,533","3,373",7,4,1/307,"+2,153","9,249",48,20,1/136,"-1,525","3,230",11,4,1/215,-544,430,0,1,1/430,-280,"2,784",10,8,1/155,"-1,442","3,954",10,15,1/158,"+1,417","1,332",10,4,1/95,"-1,208","1,482",3,1,1/371
2026-03-26,木,はい,"+1,431","3,516",16,17,1/107,"-7,303","8,345",11,23,1/245,"-6,019","5,185",5,8,1/399,-250,140,0,0,-,"-3,084","6,275",18,14,1/196,"+2,334","1,918",15,5,1/96,"-2,010","7,864",27,17,1/179,"-3,113","4,140",8,9,1/244
2026-03-25,水,いいえ,-125,"1,455",5,5,1/146,"-3,202","9,080",29,22,1/178,"-2,276","8,323",30,15,1/185,"+3,186","5,068",31,12,1/118,-648,"1,365",4,3,1/195,-709,870,2,3,1/174,"+2,356","6,106",33,18,1/120,"+4,805","1,867",23,5,1/67
2026-03-24,火,いいえ,"-1,884","2,080",2,6,1/260,-361,"2,292",9,4,1/176,"-2,746","8,986",22,14,1/250,+814,"8,394",25,0,1/336,-150,"1,910",7,5,1/159,"+1,245","4,034",20,11,1/130,"+2,524","1,621",16,3,1/85,-516,"3,838",16,6,1/174
2026-03-23,月,はい,-378,"1,324",4,3,1/189,"-2,563","6,191",21,8,1/213,"-1,122","5,204",19,12,1/168,"+1,159","5,289",23,19,1/126,"+2,886","1,686",13,13,1/65,-25,"4,282",14,17,1/138,+21,"3,500",16,7,1/152,"-2,184","3,011",6,5,1/274
2026-03-22,日,いいえ,"+1,320","6,175",26,26,1/119,+774,656,5,3,1/82,-272,"7,476",30,19,1/153,-231,"4,865",19,15,1/143,"+1,100",644,5,4,1/72,"-3,873","5,244",10,12,1/238,"-1,103","4,226",11,18,1/146,"+3,034","5,330",31,16,1/113
2026-03-21,土,いいえ,"-2,082","4,579",14,7,1/218,+481,"4,693",22,9,1/151,+568,"3,415",16,9,1/137,+376,"6,103",27,17,1/139,-229,133,0,0,-,-632,"5,392",21,15,1/150,"-2,145","4,482",11,13,1/187,-968,"1,854",6,2,1/232
2026-03-20,金,いいえ,-310,205,0,0,-,"-3,258","4,721",8,13,1/225,-359,225,0,0,-,-734,446,0,0,-,"+6,620","6,727",49,20,1/97,"+2,144","1,431",12,7,1/75,-872,"1,725",4,5,1/192,-794,665,1,0,1/665
2026-03-19,木,いいえ,-649,"1,303",3,4,1/186,"-2,727","2,656",2,7,1/295,-717,469,0,1,1/469,"-2,885","2,860",3,5,1/358,"+1,067","5,057",25,12,1/137,"-1,109","2,232",6,3,1/248,-90,62,0,0,-,"-2,085","3,578",10,5,1/239
2026-03-18,水,いいえ,-784,"1,644",3,6,1/183,-996,"2,949",10,4,1/211,"+1,983","2,309",16,7,1/100,-580,429,0,1,1/429,"+2,052","2,118",16,4,1/106,"+4,385","5,168",33,16,1/105,-328,224,0,0,-,"+1,663","2,899",17,8,1/116
2026-03-17,火,いいえ,"+2,145","2,545",15,12,1/94,"-3,256","3,518",4,10,1/251,+19,"1,460",8,0,1/183,-102,370,2,0,1/185,-251,146,0,0,-,"+1,538","2,569",15,7,1/117,"+3,150","8,098",44,20,1/127,"+1,254","1,197",8,5,1/92
2026-03-16,月,はい,"+2,329","7,822",40,20,1/130,+37,892,4,1,1/178,"+1,097","1,400",9,4,1/108,"-1,666","2,341",4,6,1/234,"+2,357","8,891",47,18,1/137,-723,"4,222",15,11,1/162,"-1,057","10,015",37,29,1/152,+683,"4,419",22,9,1/143
2026-03-15,日,いいえ,-689,465,0,1,1/465,+780,"4,837",21,16,1/131,"-2,343","4,153",10,11,1/198,"-1,579","4,850",14,14,1/173,"-1,123","8,707",34,21,1/158,+292,944,6,0,1/157,"-2,159","7,176",25,14,1/184,"+1,079","2,441",14,6,1/122
2026-03-14,土,いいえ,+748,"1,727",8,8,1/108,"-4,905","7,960",16,22,1/209,"-1,905","9,058",34,18,1/174,-204,"6,031",23,17,1/151,"-4,724","8,273",20,20,1/207,"-2,254","5,866",19,9,1/210,"-1,433","2,464",6,4,1/246,"-2,320","3,124",4,11,1/208
2026-03-13,金,はい,"+1,201","4,102",20,12,1/128,"-3,904","4,928",7,13,1/246,+477,"3,154",15,9,1/131,"-1,003","2,222",5,7,1/185,"-3,463","6,978",16,21,1/189,-637,402,0,0,-,"-1,569","2,067",5,3,1/258,"-4,649","4,294",5,5,1/429
2026-03-12,木,いいえ,"+2,385","1,331",12,7,1/70,-930,"4,179",15,11,1/161,"-2,514","1,776",1,1,1/888,"-3,521","3,781",5,7,1/315,"-1,631","2,192",5,2,1/313,+356,661,4,2,1/110,+150,"1,350",5,5,1/135,+688,"1,965",11,4,1/131
2026-03-11,水,いいえ,-857,620,0,1,1/620,+638,585,4,2,1/98,-313,769,2,4,1/128,"-1,472",998,0,1,1/998,"-3,041","7,921",26,14,1/198,"+2,854","5,311",33,7,1/133,+101,"1,510",5,8,1/116,+290,181,2,0,1/91
2026-03-10,火,いいえ,"+1,257","1,377",10,4,1/98,"-1,155","1,770",4,3,1/253,"+5,280","3,678",30,17,1/78,+207,411,3,0,1/137,"-1,103","2,318",7,2,1/258,-334,"1,766",6,5,1/161,-840,649,0,2,1/325,"+3,649","3,203",24,15,1/82
2026-03-09,月,いいえ,+267,"1,672",6,8,1/119,-122,99,0,0,-,"-3,849","3,815",6,4,1/382,+406,858,4,4,1/107,-371,705,2,4,1/118,"-2,869","5,432",15,9,1/226,"+1,395","2,670",16,6,1/121,"+4,733","4,675",31,23,1/87
2026-03-08,日,いいえ,"+1,420","1,282",10,3,1/99,"+7,686","4,751",42,20,1/77,"-1,249","1,643",3,5,1/205,"-1,211","3,567",9,14,1/155,"-2,231","2,192",2,5,1/313,"-2,139","4,667",15,5,1/233,-418,250,0,0,-,"-3,522","8,819",28,15,1/205
2026-03-07,土,いいえ,"-3,949","3,625",3,8,1/330,"-1,932","2,677",5,6,1/243,"+1,138","2,511",13,8,1/120,-645,"2,974",10,8,1/165,-990,"6,304",21,20,1/154,-609,"1,648",5,7,1/137,"+4,946","7,653",44,30,1/103,"-2,931","5,114",11,15,1/197
2026-03-06,金,はい,"+5,855","9,904",55,39,1/105,-722,"3,510",13,9,1/160,"+4,823","7,780",46,26,1/108,"+1,034","7,864",36,20,1/140,"-2,679","2,344",3,3,1/391,-806,"3,840",13,11,1/160,"-1,232","4,199",15,7,1/191,"-4,516","3,738",1,10,1/340
2026-03-05,木,いいえ,"-3,522","3,353",3,7,1/335,"+1,082",467,5,3,1/58,"-3,019","4,215",9,6,1/281,"-3,763","7,309",23,6,1/252,-278,189,0,0,-,-932,689,0,1,1/689,"-1,799","3,100",8,4,1/258,-597,516,1,0,1/516
2026-03-04,水,いいえ,-895,"3,120",10,7,1/184,"-2,535","2,231",2,3,1/446,"-3,069","4,646",12,6,1/258,-648,"1,986",7,4,1/181,-118,"2,051",7,8,1/137,+65,"1,817",8,4,1/151,+695,"1,045",7,1,1/131,+679,"3,582",17,11,1/128
2026-03-03,火,はい,+880,"3,866",19,9,1/138,"+1,384","3,664",19,13,1/115,"-3,174","6,713",21,10,1/217,"+2,474","6,885",36,19,1/125,"+9,003","9,764",67,33,1/98,-302,"1,573",6,3,1/175,"-3,704","6,180",14,16,1/206,+336,"6,885",30,19,1/141
2026-03-01,日,いいえ,-411,"1,604",5,5,1/160,"+4,783","5,532",37,19,1/99,"-1,939","2,432",5,4,1/270,"-2,169","6,435",21,13,1/189,"-4,970","4,410",3,8,1/401,+550,"1,073",6,4,1/107,"+1,790","2,202",15,6,1/105,"-3,581","4,727",9,9,1/263
2026-02-28,土,いいえ,"+4,559","4,003",33,8,1/98,"-2,584","4,614",12,11,1/201,"-1,106",954,1,2,1/318,+226,"2,921",10,13,1/127,"+1,724","3,684",21,11,1/115,"+1,363","1,854",11,8,1/98,"-1,057","5,399",20,12,1/169,"+1,186","2,952",17,7,1/123
2026-02-27,金,いいえ,-254,158,0,0,-,"+2,948","2,750",22,5,1/102,"+2,856","2,762",21,9,1/92,-958,895,1,3,1/224,-562,427,0,1,1/427,"+2,401","2,181",14,11,1/87,"+1,556",791,8,3,1/72,"+2,146","3,383",22,9,1/109
2026-02-26,木,はい,-733,"6,186",27,13,1/155,"+2,056","4,474",26,10,1/124,"-1,003",744,0,2,1/372,"-1,740","2,549",6,4,1/255,"+1,464","3,924",19,16,1/112,"+1,422","5,361",28,12,1/134,-790,"1,933",6,3,1/215,"-1,441","2,091",4,3,1/299
2026-02-25,水,いいえ,+87,"2,723",12,7,1/143,-75,49,0,0,-,"+3,178","4,722",30,14,1/107,"-1,641","3,388",9,10,1/178,-390,240,0,0,-,"-2,873","6,568",21,8,1/226,-575,354,0,0,-,"-1,411","3,510",11,7,1/195
2026-02-24,火,いいえ,-640,404,0,0,-,-394,651,2,2,1/163,"-2,638","3,834",9,7,1/240,-480,410,1,0,1/410,-736,"5,464",22,9,1/176,"-2,820","5,194",14,10,1/216,-499,313,0,0,-,-285,166,0,0,-
2026-02-23,月,はい,-680,"6,172",26,9,1/176,"+1,262","4,478",21,14,1/128,-985,"1,941",7,1,1/243,"-1,855","8,149",28,22,1/163,"-2,440","8,047",28,16,1/183,"-3,259","6,215",18,8,1/239,-787,640,1,0,1/640,"+3,449","5,939",34,17,1/116
2026-02-22,日,いいえ,"+2,973","6,244",36,17,1/118,-379,"2,251",8,7,1/150,"-1,640","4,322",14,7,1/206,+971,"4,511",19,17,1/125,+906,896,6,4,1/90,"-1,246","1,968",5,3,1/246,"+3,122","5,763",34,16,1/115,"-7,992","7,580",9,10,1/399
2026-02-21,土,いいえ,-807,589,0,2,1/295,"+1,184","4,327",21,13,1/127,+626,537,4,2,1/90,-281,"1,341",6,1,1/192,"-1,475","1,562",3,1,1/391,"+1,238","4,325",23,9,1/135,"-1,197","4,947",16,12,1/177,"-1,985","1,442",0,2,1/721
2026-02-20,金,いいえ,"-2,995","3,742",7,6,1/288,+961,"7,561",33,23,1/135,"-1,090",993,2,1,1/331,"-1,496","2,038",4,4,1/255,"+4,630","2,795",25,13,1/74,"-2,876","3,291",6,5,1/299,-826,"2,840",9,7,1/178,"-1,545","3,101",9,6,1/207
2026-02-19,木,いいえ,"+1,067","4,724",23,12,1/135,"+1,172","2,572",14,10,1/107,"-1,110","2,347",6,6,1/196,"-2,583","3,192",8,3,1/290,-435,"4,577",17,14,1/148,"+3,355","2,597",21,10,1/84,"-1,351","1,181",2,0,1/591,"-2,470","7,038",24,10,1/207
2026-02-18,水,いいえ,"-2,630","2,621",4,2,1/437,"+3,334","3,922",30,6,1/109,-379,268,0,0,-,"-1,793","4,708",13,12,1/188,-868,"2,028",5,7,1/169,+130,882,3,5,1/110,"-1,040",742,0,1,1/742,"+1,096","2,743",14,8,1/125
2026-02-17,火,いいえ,-649,407,0,0,-,"-1,811","1,821",2,3,1/364,-804,573,0,1,1/573,"-1,405","3,630",11,8,1/191,-86,"4,686",18,13,1/151,"-1,140","1,820",5,3,1/228,+429,625,4,2,1/104,"-3,802","5,489",14,6,1/274
2026-02-16,月,はい,-108,"1,535",5,7,1/128,"+2,102","4,656",28,10,1/123,+128,"4,208",18,10,1/150,"-2,935","3,390",6,6,1/283,"+1,434","3,350",16,17,1/102,+786,"4,183",21,11,1/131,"+2,055","1,166",11,5,1/73,"+2,267","4,060",23,16,1/104
2026-02-15,日,いいえ,"-2,085","4,009",11,8,1/211,"-1,124","4,052",13,12,1/162,+798,812,6,1,1/116,-132,"3,790",18,3,1/180,+243,"1,313",5,6,1/119,"-2,367","1,809",1,1,1/905,"+3,243","2,000",18,8,1/77,"+3,333","1,889",17,10,1/70
2026-02-14,土,いいえ,-696,"4,904",17,15,1/153,"+2,425","4,197",25,13,1/110,+940,"1,899",9,8,1/112,"-1,529","5,498",20,10,1/183,"+1,908","2,629",17,7,1/110,-92,"2,559",11,4,1/171,"-1,164","1,708",4,3,1/244,"-2,227","3,536",8,7,1/236
2026-02-13,金,はい,+897,627,5,3,1/78,"+2,598","1,604",12,11,1/70,-134,589,2,4,1/98,"-4,578","6,130",13,9,1/279,"-2,090","2,277",5,1,1/380,-446,354,0,1,1/354,+156,"4,894",22,9,1/158,-76,768,4,3,1/110
2026-02-12,木,いいえ,"+1,951","1,875",14,4,1/104,"+1,696","5,523",29,14,1/128,"-1,919","1,273",0,1,1/1273,-491,"3,588",15,7,1/163,"+2,057","3,024",18,9,1/112,"+1,179","5,040",26,11,1/136,"-3,319","2,941",3,3,1/490,+648,"1,865",9,8,1/110
2026-02-11,水,いいえ,+334,"1,759",8,5,1/135,"+1,928","2,662",16,10,1/102,+569,"4,449",17,21,1/117,"-1,817","3,229",9,5,1/231,"-2,549","4,325",10,11,1/206,"-1,121","2,120",6,3,1/236,-933,"1,844",4,6,1/184,"+1,448","3,069",17,10,1/114
2026-02-10,火,いいえ,+863,642,6,0,1/107,"-1,053","4,861",18,10,1/174,+274,"3,183",17,2,1/168,"+1,889","2,123",13,11,1/88,"+3,186","1,742",18,3,1/83,"+1,510","5,302",25,20,1/118,"-3,021","3,522",6,6,1/294,"+1,379","2,935",16,10,1/113
2026-02-09,月,いいえ,"+2,405","5,731",32,17,1/117,"-3,992","5,808",13,10,1/253,"-2,155","3,488",8,8,1/218,"+2,009","2,096",16,6,1/95,"+3,001","2,739",20,10,1/91,"-2,019","4,620",14,10,1/193,+19,"4,174",18,11,1/144,"-2,525","5,135",15,11,1/198
2026-02-08,日,いいえ,-852,"2,427",9,3,1/202,"-3,292","4,469",9,13,1/203,"-3,053","4,575",11,9,1/229,-881,"1,665",5,2,1/238,-775,"1,376",3,4,1/197,"-2,187","4,406",12,7,1/232,"-2,197","5,322",16,11,1/197,"+3,715","9,107",48,27,1/121
2026-02-07,土,いいえ,-83,"6,071",27,10,1/164,-522,"2,822",10,7,1/166,"-3,196","5,369",13,11,1/224,"-3,848","4,549",8,7,1/303,"+3,359","5,318",33,14,1/113,"-1,385","3,335",12,4,1/208,"-1,266","2,275",5,7,1/190,-80,"5,518",21,20,1/135
2026-02-06,金,はい,-468,"2,253",8,5,1/173,"+2,519","2,902",19,12,1/94,"-2,881","3,472",6,7,1/267,"+1,928","2,260",15,8,1/98,-527,"5,169",20,14,1/152,"+2,220","5,890",33,13,1/128,+511,643,3,5,1/80,"+1,774","8,053",36,25,1/132
2026-02-05,木,いいえ,-558,"1,614",5,4,1/179,"+3,301","1,281",14,9,1/56,-418,"1,693",5,5,1/169,-362,742,2,4,1/124,-785,867,2,1,1/289,+428,939,6,2,1/117,-135,"1,756",7,5,1/146,"-1,213",876,1,0,1/876
2026-02-04,水,いいえ,+45,937,3,5,1/117,"-1,987","2,651",7,2,1/295,"-2,934","3,464",5,8,1/266,-519,"5,516",21,16,1/149,-346,813,4,1,1/163,"-2,625","4,855",14,6,1/243,-257,191,0,0,-,-384,"1,981",6,7,1/152
2026-02-03,火,はい,-369,"2,060",8,3,1/187,"-2,140","3,088",7,7,1/221,"+1,979","5,041",25,19,1/115,"-2,915","3,283",6,5,1/298,"-5,828","7,980",18,11,1/275,"+1,174","1,897",12,4,1/119,"+7,255","3,828",38,15,1/72,"+1,138","3,058",16,8,1/127
2026-02-01,日,いいえ,-517,"3,335",12,10,1/152,"-1,470","4,271",14,8,1/194,"-1,002","2,203",6,5,1/200,"-3,819","4,793",10,7,1/282,"+3,737","1,799",19,6,1/72,+994,751,6,3,1/83,"-3,115","3,846",8,4,1/321,"+1,650","1,672",11,8,1/88
2026-01-31,土,いいえ,"+1,448","3,454",20,7,1/128,+959,348,4,2,1/58,"-1,255","9,367",36,27,1/149,+87,"3,005",14,7,1/143,"+1,313","2,385",15,4,1/126,"+1,254","1,589",8,12,1/79,"+4,589","8,660",48,29,1/112,"+1,451","2,100",13,9,1/95
2026-01-30,金,いいえ,"-1,164","2,094",5,4,1/233,"+2,262","8,282",39,27,1/125,+19,933,3,5,1/117,-625,537,0,2,1/269,"-1,425","1,160",1,1,1/580,"-2,069","2,277",3,6,1/253,-220,"1,829",7,4,1/166,"+1,844","1,826",15,1,1/114
2026-01-29,木,いいえ,"-1,961","4,403",13,9,1/200,"+1,260","1,262",9,3,1/105,"-2,274","3,280",7,7,1/234,-513,319,0,0,-,"-1,919","2,835",5,8,1/218,-557,"1,386",4,4,1/173,-93,"1,607",5,7,1/134,"-1,632","1,560",1,4,1/312
2026-01-28,水,いいえ,-289,186,0,0,-,-862,"2,909",10,6,1/182,-275,153,0,0,-,"-1,760","2,398",6,2,1/300,-199,142,0,0,-,"-3,020","5,628",16,11,1/208,+757,"2,956",15,7,1/134,+104,671,3,2,1/134
2026-01-27,火,いいえ,"-2,080","4,162",12,8,1/208,-385,"3,249",13,7,1/162,+675,"2,718",13,8,1/129,"-1,284","3,421",10,7,1/201,"+5,031","2,452",27,9,1/68,"+1,754","1,327",10,7,1/78,"+1,008","2,291",11,9,1/115,+507,678,4,3,1/97
2026-01-26,月,はい,"-1,498","3,456",11,7,1/192,+394,"2,025",8,8,1/127,"-1,993","3,604",10,6,1/225,"-1,757","2,448",4,6,1/245,"+5,816","6,523",46,20,1/99,+55,"2,083",8,7,1/139,+828,"1,752",8,10,1/97,-875,"1,979",6,3,1/220
2026-01-25,日,いいえ,-299,"1,712",6,5,1/156,"+2,621","3,629",23,14,1/98,-167,121,0,0,-,"+1,191","5,737",27,15,1/137,"+4,239","5,965",39,17,1/107,-328,293,0,1,1/293,"+2,198","4,552",23,19,1/108,"+2,481","6,968",36,21,1/122
2026-01-24,土,いいえ,"+1,453","3,635",19,11,1/121,"-3,098","7,272",22,13,1/208,"+4,350","3,686",29,11,1/92,-387,841,3,4,1/120,+101,"8,783",35,27,1/142,"+1,954","3,523",18,14,1/110,-222,"4,016",14,16,1/134,-150,"6,036",26,11,1/163
2026-01-23,金,はい,+148,"1,789",9,3,1/149,"-1,057","1,992",5,5,1/199,"-1,547","2,243",5,5,1/224,-263,909,5,1,1/152,"-2,586","3,835",8,7,1/256,+249,"7,815",33,20,1/147,-68,343,2,1,1/114,"+5,610","6,013",35,34,1/87
2026-01-22,木,いいえ,-840,555,0,0,-,-927,"3,413",10,11,1/163,-301,168,0,0,-,"-1,367","2,982",9,5,1/213,-237,"1,891",8,3,1/172,-67,892,5,3,1/112,"-3,087","4,215",9,7,1/263,"-1,320","1,129",2,0,1/565
2026-01-21,水,いいえ,+538,868,4,5,1/96,-579,"2,975",12,5,1/175,+744,"4,683",23,9,1/146,"-2,327","3,838",8,11,1/202,+222,955,5,2,1/136,"+2,890","2,181",18,6,1/91,-167,588,3,1,1/147,+624,"2,617",12,9,1/125
2026-01-20,火,いいえ,+452,676,4,3,1/97,-434,273,0,0,-,"-2,414","4,527",14,6,1/226,+555,"1,474",9,2,1/134,"-2,891","4,244",9,10,1/223,+622,"1,098",7,2,1/122,-756,"1,783",6,2,1/223,"-2,393","2,371",3,4,1/339
2026-01-19,月,いいえ,-166,894,5,2,1/128,"-1,581","2,502",7,3,1/250,-328,202,0,0,-,-185,"2,178",8,7,1/145,"-2,070","1,910",2,2,1/478,-86,916,4,4,1/115,"+3,185","1,481",15,8,1/64,+73,885,4,2,1/148
2026-01-18,日,いいえ,"+1,785","2,584",14,12,1/99,"-6,727","9,506",20,18,1/250,"+3,640","6,860",39,22,1/112,"-2,161","4,231",12,8,1/212,-754,"3,406",12,8,1/170,-464,"4,463",20,5,1/179,-484,"2,045",7,5,1/170,+53,"5,900",25,16,1/144
2026-01-17,土,いいえ,"+3,990","2,802",25,7,1/88,"-8,173","9,515",16,14,1/317,-578,"5,465",19,17,1/152,"+1,183","5,701",26,18,1/130,"+2,310","3,601",20,15,1/103,"+5,153","7,217",45,25,1/103,"-1,268","4,622",15,13,1/165,"-1,123","3,454",10,10,1/173
2026-01-16,金,はい,"-2,978","5,942",16,12,1/212,"-2,821","5,735",17,9,1/221,+449,"2,740",13,8,1/130,"-1,876","2,437",6,2,1/305,"+2,899","4,351",27,10,1/118,"-2,490","4,618",13,7,1/231,"+1,082","1,660",11,2,1/128,"+1,808","7,474",34,25,1/127
2026-01-15,木,いいえ,-118,"2,456",11,4,1/164,+242,"2,474",11,7,1/137,"-1,281","2,906",10,2,1/242,+783,426,4,2,1/71,+874,"1,933",11,3,1/138,"-2,183","2,459",5,3,1/307,"+3,213","1,827",19,2,1/87,+962,"2,879",17,4,1/137
2026-01-14,水,いいえ,-234,159,0,0,-,-229,141,0,0,-,+833,"2,108",11,6,1/124,-347,819,4,2,1/137,+888,444,5,0,1/89,"+1,184","1,013",7,5,1/84,"-4,197","3,891",5,4,1/432,-549,478,1,0,1/478
2026-01-13,火,はい,+731,"3,093",16,8,1/129,-178,140,0,0,-,"-2,026","4,610",15,6,1/220,-254,170,0,0,-,-697,442,0,0,-,"+2,877","8,075",44,19,1/128,-285,194,0,0,-,+180,"1,849",8,5,1/142
2026-01-12,月,いいえ,"-1,023","4,474",16,12,1/160,"+1,596","4,667",25,12,1/126,-625,"5,833",22,14,1/162,"+3,184","4,084",27,11,1/107,-489,"2,649",10,6,1/166,"-1,031","1,685",4,4,1/211,"+2,263","3,787",23,12,1/108,"+1,722","2,233",14,9,1/97
2026-01-11,日,いいえ,-172,562,2,3,1/112,"+6,311","4,847",41,12,1/91,"+1,085","2,185",12,8,1/109,"+1,807","2,239",15,7,1/102,"+1,957","2,356",15,9,1/98,"-1,221","4,392",15,8,1/191,+663,"2,691",12,8,1/135,"-4,439","4,055",4,6,1/406
2026-01-10,土,いいえ,"+1,576","3,088",16,11,1/114,"+2,392","4,637",27,13,1/116,+190,"5,651",24,16,1/141,"+1,210","4,128",21,14,1/118,-171,"3,681",16,9,1/147,"-2,586","4,584",11,10,1/218,-947,"4,276",15,11,1/164,"-2,233","3,824",11,5,1/239
2026-01-09,金,いいえ,"-1,532","1,046",0,1,1/1046,-414,259,0,0,-,"-2,798","5,220",15,8,1/227,-397,248,0,0,-,-468,285,0,0,-,"-1,215","2,185",5,5,1/219,-890,"1,994",6,4,1/199,+500,"1,125",6,3,1/125
2026-01-08,木,いいえ,-281,"2,134",6,11,1/126,-485,322,0,0,-,"+1,385","1,051",8,6,1/75,"+5,316","3,720",31,12,1/87,-961,679,0,1,1/679,"+1,030","1,460",10,4,1/104,"-1,157",837,0,1,1/837,-262,175,0,0,-
2026-01-07,水,いいえ,"-3,978","5,686",13,11,1/237,+466,"3,530",16,10,1/136,+737,422,3,4,1/60,"+1,796","2,266",15,8,1/99,"+1,793","3,583",21,9,1/119,+333,"1,009",5,4,1/112,-163,"2,206",9,6,1/147,"+3,063","5,169",27,24,1/101
2026-01-06,火,はい,+714,"7,174",32,19,1/141,-892,"6,021",23,13,1/167,"-1,455","6,059",23,10,1/184,"+3,157","6,631",36,20,1/118,-508,"2,207",7,6,1/170,-419,"1,363",4,5,1/151,"+5,656","8,146",51,23,1/110,"-7,090","6,833",9,8,1/402
2026-01-04,日,いいえ,-172,"1,632",7,2,1/181,"-2,131","5,558",14,18,1/174,-432,"1,892",7,3,1/189,+67,"4,031",18,9,1/149,"-3,437","4,144",8,7,1/276,-133,"1,658",6,5,1/151,+563,"2,327",11,6,1/137,"+1,668","5,006",25,17,1/119
2026-01-03,土,はい,"-1,164","3,590",13,7,1/180,-115,"1,545",6,4,1/155,"+2,642","1,867",16,5,1/89,"+1,382","6,647",32,16,1/138,"+1,377","3,007",18,6,1/125,-547,981,3,4,1/140,+608,856,6,1,1/122,+554,"2,313",12,4,1/145
2026-01-02,金,いいえ,"-1,178","3,080",10,6,1/193,+134,"3,960",17,9,1/152,-673,721,1,3,1/180,"-3,052","6,149",15,17,1/192,+18,"1,172",5,4,1/130,-665,"1,851",5,5,1/185,+77,"1,033",6,0,1/172,+580,"3,472",18,7,1/139
2026-01-01,木,いいえ,+0,"4,488",17,16,1/136,-572,"2,081",8,3,1/189,"-1,549","1,326",1,2,1/442,"-3,436","3,634",5,6,1/330,+534,948,6,2,1/119,-428,260,0,0,-,-203,354,1,1,1/177,"-1,782","3,877",11,8,1/204
2025-12-31,水,いいえ,+942,"1,061",8,1,1/118,+548,"1,446",7,7,1/103,-683,"2,171",7,6,1/167,+748,"1,318",7,5,1/110,"-2,323","5,377",16,12,1/192,"+1,085","2,587",14,9,1/112,-678,"4,455",18,8,1/171,-587,"1,555",6,1,1/222
2025-12-30,火,いいえ,"-4,334","7,590",20,14,1/223,"-2,873","4,399",12,5,1/259,"-3,967","3,372",3,4,1/482,"+2,496","4,088",24,13,1/110,"+1,237","1,686",12,3,1/112,+0,"7,353",29,23,1/141,-179,"3,543",12,15,1/131,+685,"5,054",18,27,1/112
