日付,曜日,特定日,587番台,,,,,588番台,,,,,600番台,,,,,601番台,,,,,602番台,,,,,603番台,,,,,605番台,,,,,606番台,,,,,607番台,,,,,608番台,,,,,682番台,,,,,683番台,,,,,687番台,,,,,688番台,,,,,700番台,,,,,701番台,,,,,702番台,,,,,703番台,,,,,1178番台,,,,,1180番台,,,,,1181番台,,,,,1182番台,,,,,1183番台,,,,,1185番台,,,,,1186番台,,,,,1187番台,,,,,1188番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-05-08,金,いいえ,-986,984,0,3,1/328,"-2,112","3,831",0,10,1/383,"+2,760","3,000",0,4,1/750,"+1,009","3,801",0,8,1/475,"+1,150","2,596",0,5,1/519,-572,460,0,1,1/460,-216,233,0,1,1/233,"-1,651","1,990",0,4,1/498,-17,147,0,1,1/147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-07,木,いいえ,-69,726,0,3,1/242,"-1,014",959,0,3,1/320,"-1,366","3,246",0,7,1/464,-339,862,0,4,1/216,"-1,304","1,871",0,4,1/468,"+3,887","5,945",0,8,1/743,+193,"1,342",0,4,1/336,"-1,303","2,258",0,6,1/376,-135,"1,564",0,3,1/521,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-06,水,はい,"-2,132","4,989",0,8,1/624,+482,"6,687",0,16,1/418,"+3,122","2,686",0,4,1/672,+868,"7,589",0,21,1/361,"+2,795","6,186",0,12,1/516,-273,"6,694",0,17,1/394,"+2,451","5,726",0,14,1/409,"-2,877","4,855",0,8,1/607,+213,"4,157",0,8,1/520,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-05,火,いいえ,+609,"4,828",0,13,1/371,-830,"1,912",0,4,1/478,"-1,323","1,818",0,4,1/455,"-1,196","3,828",0,11,1/348,"+1,201","5,320",0,13,1/409,-190,"3,912",0,13,1/301,"-1,252","1,225",0,2,1/613,"-2,438","2,443",0,3,1/814,"-2,043","2,061",0,4,1/515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-04,月,いいえ,-803,"1,584",0,4,1/396,"-1,017","2,713",0,7,1/388,"+2,745","2,703",0,3,1/901,-821,595,0,1,1/595,-592,615,0,2,1/308,-170,727,0,2,1/364,"+1,253","4,508",0,10,1/451,-910,623,0,1,1/623,-242,"1,802",0,4,1/451,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-03,日,はい,"-2,510","4,198",0,10,1/420,"-1,180","1,661",0,5,1/332,"-1,030","3,976",0,10,1/398,-455,"1,709",0,4,1/427,-712,656,0,2,1/328,+149,"6,154",0,16,1/385,-546,475,0,1,1/475,"+2,848","6,017",0,18,1/334,"+8,065","8,791",0,18,1/488,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-01,金,いいえ,+977,"3,127",0,7,1/447,-702,670,0,2,1/335,-545,"1,335",0,5,1/267,-405,322,0,1,1/322,"-1,693","1,659",0,4,1/415,"+5,113","4,916",0,9,1/546,"-1,333","1,556",0,3,1/519,-734,"2,794",0,6,1/466,-939,"1,517",0,2,1/759,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-30,木,いいえ,+584,"3,069",0,4,1/767,-80,"4,297",0,13,1/331,-291,"2,168",0,6,1/361,"-1,337","1,529",0,4,1/382,-644,"2,519",0,4,1/630,"+1,644","3,201",0,7,1/457,-50,368,0,1,1/368,"+2,857","7,213",0,17,1/424,-262,"1,500",0,5,1/300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-29,水,いいえ,-822,"2,276",0,6,1/379,"-3,787","5,852",0,12,1/488,"+2,628","6,687",0,16,1/418,+637,"1,350",0,2,1/675,"+1,421","5,916",0,13,1/455,+194,"2,020",0,3,1/673,"+2,530","6,213",0,16,1/388,"-2,280","3,334",0,6,1/556,"-1,173","4,699",0,10,1/470,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-28,火,いいえ,+808,"1,508",0,4,1/377,-750,734,0,2,1/367,"-1,190","2,267",0,6,1/378,-162,"2,667",0,8,1/333,"+3,360","4,994",0,9,1/555,-152,936,0,2,1/468,-839,902,0,3,1/301,"-1,614","1,617",0,3,1/539,"-1,716","3,285",0,6,1/548,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-27,月,いいえ,-625,"4,554",0,7,1/651,"-1,268","2,490",0,7,1/356,-144,620,0,1,1/620,"+5,742","6,479",0,9,1/720,"+1,088","3,722",0,9,1/414,+104,399,0,1,1/399,+867,"2,751",0,4,1/688,+16,"1,726",0,3,1/575,-364,618,0,2,1/309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-26,日,はい,"-2,042","1,964",0,4,1/491,+310,"7,164",0,13,1/551,-152,"5,361",0,12,1/447,"-1,847","4,103",0,12,1/342,-887,902,0,3,1/301,+253,"5,090",0,15,1/339,-299,"3,582",0,7,1/512,+142,"2,111",0,4,1/528,"+4,836","8,698",0,20,1/435,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-25,土,いいえ,-792,"5,681",0,13,1/437,"+3,683","6,369",0,11,1/579,-187,"2,535",0,7,1/362,"-1,512","2,684",0,8,1/336,+64,696,0,2,1/348,"-1,441","4,050",0,7,1/579,"+1,138","2,825",0,6,1/471,-484,954,0,2,1/477,"-2,093","3,814",0,11,1/347,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-24,金,いいえ,"-1,991","2,824",0,6,1/471,-787,"1,392",0,3,1/464,"-1,004","3,181",0,7,1/454,-420,"1,618",0,2,1/809,"+2,972","4,952",0,13,1/381,-701,611,0,1,1/611,-403,"1,414",0,4,1/354,"-2,182","4,163",0,7,1/595,-520,817,0,4,1/204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-23,木,はい,"-1,974","5,833",0,13,1/449,-590,"1,617",0,4,1/404,-27,235,0,1,1/235,"+3,094","4,025",0,9,1/447,+853,"3,227",0,6,1/538,"-1,763","3,408",0,7,1/487,-189,"1,868",0,4,1/467,-938,"1,578",0,4,1/395,-458,"3,223",0,8,1/403,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-22,水,いいえ,+19,"1,569",0,3,1/523,-690,625,0,1,1/625,+422,"2,761",0,8,1/345,-431,411,0,1,1/411,"+1,943","2,023",0,3,1/674,-414,952,0,2,1/476,"+5,896","4,300",0,10,1/430,+745,"1,105",0,2,1/553,-78,"2,104",0,7,1/301,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-21,火,いいえ,-839,911,0,2,1/456,-344,831,0,3,1/277,+729,"2,034",0,7,1/291,-824,"2,421",0,7,1/346,"-1,296",963,0,2,1/482,"-1,834","2,402",0,6,1/400,"-1,190","2,457",0,6,1/410,-724,"3,076",0,6,1/513,-881,"1,327",0,3,1/442,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-19,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,111","2,924",0,7,1/418,-150,245,0,1,1/245,"-1,157","1,202",0,3,1/401,-578,503,0,1,1/503,-251,453,0,2,1/227,+274,"2,918",0,8,1/365,"+1,044","6,571",0,11,1/597,+73,375,0,1,1/375,"-3,053","6,009",0,17,1/353
2026-04-18,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,896","3,311",0,6,1/552,+85,"1,213",0,2,1/607,"+2,096","3,769",0,8,1/471,+444,"4,729",0,15,1/315,-34,"2,966",0,7,1/424,-561,"6,181",0,18,1/343,-934,"4,104",0,11,1/373,-901,812,0,2,1/406,-15,"6,471",0,9,1/719
2026-04-17,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-682,"3,087",0,7,1/441,"+3,451","3,333",0,9,1/370,"+4,378","3,968",0,3,1/1323,"+1,095",702,0,2,1/351,-145,910,0,4,1/228,-226,"1,470",0,5,1/294,"+10,236","5,740",0,5,1/1148,+360,"1,779",0,4,1/445,"+5,026","4,800",0,8,1/600
2026-04-16,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+3,561","6,531",0,16,1/408,-522,"3,274",0,7,1/468,-204,"6,574",0,18,1/365,-304,758,0,3,1/253,"-1,925","2,119",0,4,1/530,"-2,272","4,711",0,13,1/362,"-1,826","3,380",0,11,1/307,-791,951,0,2,1/476,-502,669,0,2,1/335
2026-04-15,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,809","3,944",0,10,1/394,"+3,126","1,957",0,2,1/979,-666,"1,646",0,4,1/412,"+2,786","3,715",0,9,1/413,+344,363,0,1,1/363,-559,810,0,2,1/405,+534,672,0,1,1/672,"+1,697","6,843",0,17,1/403,+801,"2,276",0,3,1/759
2026-04-14,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,020","2,094",0,7,1/299,-850,"1,484",0,3,1/495,-73,302,0,1,1/302,-209,220,0,1,1/220,+869,"3,015",0,7,1/431,+64,595,0,1,1/595,-606,500,0,1,1/500,-397,623,0,3,1/208,+661,"1,531",0,5,1/306
2026-04-13,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+542,"5,195",0,11,1/472,"-1,529","3,396",0,10,1/340,-752,"6,143",0,12,1/512,"+3,992","6,193",0,9,1/688,-395,"2,526",0,7,1/361,"-1,713","2,626",0,5,1/525,+951,"3,642",0,11,1/331,-791,"4,467",0,7,1/638,"+3,182","5,431",0,8,1/679
2026-04-12,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,530","5,461",0,15,1/364,"-1,943","2,776",0,5,1/555,"-1,904","2,994",0,6,1/499,-103,466,0,3,1/155,"-1,317","5,416",0,14,1/387,"+4,001","4,810",0,7,1/687,"-1,049","1,988",0,6,1/331,"-1,939","2,386",0,4,1/597,+499,"5,135",0,12,1/428
2026-04-11,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-508,"1,366",0,3,1/455,-612,"1,996",0,5,1/399,+362,"3,788",0,7,1/541,"+3,010","3,702",0,7,1/529,-486,"3,152",0,7,1/450,+343,"1,293",0,3,1/431,"+1,386","5,900",0,16,1/369,+19,897,0,2,1/449,-476,"2,001",0,4,1/500
2026-04-10,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,195","5,182",0,12,1/432,-979,"1,284",0,2,1/642,-772,"1,380",0,4,1/345,"+1,672","4,221",0,12,1/352,-615,"1,451",0,3,1/484,-347,259,0,1,1/259,-81,633,0,2,1/317,-948,"1,970",0,5,1/394,-320,"2,097",0,5,1/419
2026-04-09,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,529","2,014",0,4,1/504,-473,"5,182",0,12,1/432,-104,249,0,1,1/249,-167,"4,074",0,13,1/313,-76,600,0,3,1/200,"+3,355","3,567",0,6,1/595,-277,570,0,2,1/285,"-2,027","4,452",0,10,1/445,"-1,391","1,457",0,3,1/486
2026-04-07,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+757,"4,707",0,8,1/588,-673,612,0,1,1/612,"-1,051","5,072",0,14,1/362,"-1,404","1,635",0,3,1/545,"+2,946","4,064",0,6,1/677,-594,"2,776",0,8,1/347,"+3,570","4,071",0,7,1/582,"+1,151","1,717",0,7,1/245,"+3,062","4,920",0,9,1/547
2026-04-06,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,388","5,017",0,14,1/358,-11,"5,449",0,14,1/389,"+2,192","7,592",0,20,1/380,-511,504,0,1,1/504,+538,"3,521",0,6,1/587,-433,"1,440",0,2,1/720,+100,393,0,1,1/393,+194,"2,414",0,4,1/604,"-2,931","7,232",0,20,1/362
2026-04-05,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+5,844","7,429",0,21,1/354,+761,639,0,2,1/320,-774,909,0,4,1/227,-923,785,0,2,1/393,"+3,625","4,146",0,5,1/829,+403,693,0,2,1/347,-674,617,0,1,1/617,-116,670,0,2,1/335,-214,355,0,1,1/355
2026-04-04,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,547","5,080",0,11,1/462,"-2,131","3,945",0,8,1/493,"+1,710","4,089",0,7,1/584,"-3,873","4,491",0,9,1/499,-958,"4,808",0,10,1/481,"-1,245","4,022",0,8,1/503,"+1,178","4,187",0,10,1/419,"-1,875","7,278",0,18,1/404,"-1,367","2,666",0,5,1/533
2026-04-03,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,393","2,690",0,6,1/448,"+3,359","3,760",0,11,1/342,"+1,346","7,947",0,21,1/378,-364,"3,164",0,7,1/452,-602,"2,469",0,5,1/494,"+7,683","8,757",0,13,1/674,"-2,490","2,663",0,6,1/444,"+3,648","6,312",0,18,1/351,-432,597,0,2,1/299
2026-04-02,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,299","3,236",0,6,1/539,"+1,363","3,151",0,5,1/630,-9,"2,968",0,8,1/371,-564,"2,086",0,7,1/298,-540,"2,904",0,7,1/415,-901,869,0,2,1/435,+436,"1,271",0,4,1/318,-546,"1,508",0,4,1/377,"+2,620","7,687",0,18,1/427
2026-04-01,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,084","6,220",0,16,1/389,"+1,014","2,105",0,6,1/351,"+4,660","4,761",0,12,1/397,+305,"4,828",0,8,1/604,-161,750,0,3,1/250,-752,"2,318",0,6,1/386,"-1,304","1,961",0,6,1/327,-433,992,0,2,1/496,-404,"1,400",0,4,1/350
2026-03-31,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-286,"1,482",0,2,1/741,"-1,035",980,0,3,1/327,"-1,566","2,735",0,6,1/456,-163,346,0,1,1/346,-663,734,0,2,1/367,+713,"2,823",0,4,1/706,"-1,248","2,212",0,4,1/553,-699,539,0,1,1/539,-547,605,0,2,1/303
2026-03-30,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,004","1,279",0,3,1/426,-93,150,0,1,1/150,-778,"2,671",0,8,1/334,+596,932,0,1,1/932,"+2,949","2,018",0,5,1/404,+19,799,0,2,1/400,-102,227,0,1,1/227,+16,494,0,3,1/165,-651,"4,375",0,12,1/365
2026-03-29,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,371","3,067",0,8,1/383,-397,529,0,3,1/176,+669,"4,278",0,10,1/428,-291,323,0,1,1/323,"-1,508","2,100",0,5,1/420,+437,"1,306",0,4,1/327,"-1,107","2,719",0,6,1/453,+681,"2,214",0,4,1/554,-517,934,0,2,1/467
2026-03-28,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,331","3,486",0,9,1/387,"-1,544","4,581",0,14,1/327,"-1,287","3,234",0,9,1/359,"-1,567","1,762",0,3,1/587,"-1,972","3,674",0,12,1/306,"+2,975","3,759",0,8,1/470,-874,676,0,1,1/676,"-2,186","3,433",0,7,1/490,-291,"2,847",0,8,1/356
