日付,曜日,特定日,587番台,,,,,588番台,,,,,600番台,,,,,601番台,,,,,602番台,,,,,603番台,,,,,605番台,,,,,606番台,,,,,607番台,,,,,608番台,,,,,682番台,,,,,683番台,,,,,687番台,,,,,688番台,,,,,700番台,,,,,701番台,,,,,702番台,,,,,703番台,,,,,1178番台,,,,,1180番台,,,,,1181番台,,,,,1182番台,,,,,1183番台,,,,,1185番台,,,,,1186番台,,,,,1187番台,,,,,1188番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-05-30,土,いいえ,"+1,381","2,768",0,4,1/692,-37,930,0,3,1/310,"-2,391","3,581",0,8,1/448,"+1,730","2,800",0,8,1/350,-131,"1,653",0,2,1/827,"-1,056","3,481",0,9,1/387,-728,507,0,1,1/507,-320,295,0,1,1/295,"+2,455","4,679",0,9,1/520,+268,"1,686",0,3,1/562,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-29,金,いいえ,"-1,283","1,505",0,2,1/753,-950,"3,431",0,10,1/343,-343,"2,250",0,5,1/450,"+5,043","3,636",0,4,1/909,"+1,013","1,736",0,3,1/579,+92,437,0,1,1/437,-760,619,0,1,1/619,"+1,583","2,519",0,3,1/840,-379,681,0,3,1/227,+595,"3,585",0,5,1/717,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-28,木,いいえ,-237,322,0,1,1/322,-281,231,0,1,1/231,"+1,704","2,100",0,2,1/1050,-228,502,0,1,1/502,"+3,358","3,023",0,6,1/504,-383,505,0,1,1/505,-488,"1,664",0,4,1/416,-264,503,0,1,1/503,"-1,056","1,165",0,3,1/388,-135,633,0,2,1/317,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-27,水,いいえ,-734,"2,659",0,5,1/532,-121,"3,727",0,11,1/339,"+1,833","4,008",0,7,1/573,"+3,766","4,293",0,6,1/716,-167,"1,672",0,4,1/418,"-1,304",949,0,2,1/475,"-1,215","1,240",0,3,1/413,"+1,978","6,604",0,16,1/413,+21,"3,321",0,10,1/332,"+1,099","2,779",0,8,1/347,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-26,火,はい,-921,"4,958",0,13,1/381,+677,"5,400",0,9,1/600,"-1,264","3,105",0,8,1/388,-312,"2,038",0,6,1/340,"-2,040","4,151",0,10,1/415,"-1,406","3,142",0,5,1/628,-403,"2,253",0,5,1/451,"-1,639","4,270",0,10,1/427,+393,"4,672",0,12,1/389,"-2,562","3,312",0,7,1/473,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-25,月,いいえ,-297,"3,972",0,12,1/331,-80,"1,715",0,4,1/429,+37,145,0,1,1/145,+478,828,0,2,1/414,"-1,374","3,741",0,10,1/374,-110,505,0,1,1/505,"+1,702","3,394",0,8,1/424,-684,905,0,4,1/226,-499,502,0,1,1/502,"+2,434","2,241",0,5,1/448,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-24,日,いいえ,+764,"4,446",0,9,1/494,"-1,070","1,802",0,4,1/451,-111,617,0,2,1/309,"-1,567","2,450",0,5,1/490,-346,"1,683",0,4,1/421,-802,673,0,1,1/673,"-2,840","3,427",0,8,1/428,"+1,169","2,527",0,6,1/421,-313,345,0,1,1/345,"+4,098","3,163",0,7,1/452,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-23,土,はい,"+8,241","7,854",0,14,1/561,-756,"3,724",0,7,1/532,"-1,882","3,773",0,8,1/472,+645,"5,127",0,10,1/513,-575,"5,821",0,14,1/416,+904,"4,707",0,16,1/294,"+5,561","6,634",0,13,1/510,"+1,791","4,950",0,11,1/450,+80,"5,130",0,13,1/395,"-3,907","4,105",0,6,1/684,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-22,金,いいえ,"+2,568","4,772",0,10,1/477,"+4,060","3,089",0,5,1/618,"+4,524","3,383",0,9,1/376,-191,"4,295",0,12,1/358,+460,"4,825",0,12,1/402,-562,"3,848",0,8,1/481,"-1,229","2,147",0,4,1/537,-627,"1,754",0,5,1/351,"-1,247","1,439",0,4,1/360,+980,"2,893",0,6,1/482,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-21,木,いいえ,"-1,811","3,529",0,9,1/392,-52,"3,309",0,8,1/414,-488,335,0,1,1/335,+0,"1,728",0,3,1/576,+591,"3,573",0,13,1/275,-972,812,0,2,1/406,"-1,494","1,916",0,7,1/274,-469,"4,177",0,8,1/522,"-1,194","4,254",0,13,1/327,-664,563,0,2,1/282,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
