日付,曜日,特定日,1066番台,,,,,1067番台,,,,,1068番台,,,,,1070番台,,,,,1071番台,,,,,1072番台,,,,,1073番台,,,,,1075番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-06-15,月,いいえ,"-2,087","3,680",12,2,1/263,"+3,208","5,091",30,16,1/111,-348,"5,493",24,9,1/166,-266,197,0,1,1/197,"+1,889","3,383",23,5,1/121,"+1,431","2,813",17,8,1/113,-467,284,0,0,-,"+1,371","3,911",22,6,1/140
2026-06-14,日,いいえ,+175,"5,437",23,14,1/147,-827,"2,821",10,5,1/188,"+2,334","2,018",16,5,1/96,"+2,533","3,846",24,11,1/110,"-1,473","3,367",8,12,1/168,"-3,319","5,388",14,8,1/245,"-4,940","8,923",23,20,1/208,"-2,162","7,828",32,6,1/206
2026-06-13,土,はい,"-2,470","3,695",9,6,1/246,"+2,315","3,147",21,7,1/112,-263,"3,282",16,2,1/182,"-1,097","5,990",24,9,1/182,-149,"2,693",12,3,1/180,"-2,932","7,245",22,14,1/201,"-2,463","2,513",5,1,1/419,"-1,333","3,616",11,7,1/201
2026-06-12,金,いいえ,"+1,382","2,051",12,8,1/103,"+4,325","6,920",41,25,1/105,-662,"1,398",4,3,1/200,+453,590,4,2,1/98,"-2,440","5,159",18,3,1/246,-19,657,4,2,1/110,"-2,323","3,144",7,4,1/286,"+1,242","1,469",9,8,1/86
2026-06-11,木,いいえ,"+2,944","1,203",13,7,1/60,-270,384,1,1,1/192,-793,"1,856",6,4,1/186,-662,"4,688",19,9,1/167,-731,490,0,0,-,-227,"1,588",4,8,1/132,"+2,924","1,619",16,5,1/77,"+1,561","2,697",17,5,1/123
2026-06-10,水,いいえ,+778,"1,414",7,7,1/101,-266,161,0,0,-,+629,"3,378",17,9,1/130,"-2,297","4,737",13,11,1/197,"-1,505","3,506",9,10,1/185,-205,441,2,1,1/147,+291,"3,508",16,9,1/140,-666,587,1,1,1/294
2026-06-09,火,いいえ,"+3,007","2,018",19,3,1/92,"+2,684","4,396",25,17,1/105,"-5,076","7,191",14,17,1/232,"-1,796","2,919",8,5,1/225,"-2,231","5,858",17,16,1/178,-773,"4,104",13,13,1/158,"-1,360","4,697",16,8,1/196,"+4,630","3,115",28,9,1/84
2026-06-06,土,はい,"+4,907","7,076",44,24,1/104,"+2,828","4,158",28,9,1/112,"+5,318","6,285",40,23,1/100,"+1,508","4,869",26,12,1/128,"-1,992","6,092",18,19,1/165,"-4,234","6,508",13,16,1/224,"-4,050","6,844",16,14,1/228,"-3,200","8,328",27,17,1/189
2026-06-05,金,いいえ,-469,"1,393",5,4,1/155,+948,"1,323",8,4,1/110,+675,"1,287",6,7,1/99,"+2,592","3,552",19,18,1/96,"+1,116","2,063",10,10,1/103,"-3,233","4,052",8,6,1/289,"-2,630","7,315",24,14,1/193,"+1,206","1,469",10,4,1/105
2026-06-04,木,いいえ,-192,679,3,2,1/136,-53,178,1,0,1/178,"-3,453","5,947",15,10,1/238,-182,121,0,0,-,-31,480,3,1,1/120,-526,"1,356",4,3,1/194,-984,"1,301",4,0,1/325,"+1,875","3,288",20,8,1/117
2026-06-03,水,はい,"+1,345","3,681",20,10,1/123,-137,959,4,5,1/107,"-2,393","3,957",10,6,1/247,+378,438,3,1,1/110,"-2,275","4,957",15,12,1/184,-187,"2,674",11,5,1/167,"-3,068","7,477",22,18,1/187,-886,630,0,1,1/630
2026-06-02,火,いいえ,-99,"1,701",6,6,1/142,"+2,754","2,840",18,14,1/89,-626,"1,753",5,6,1/159,+926,"3,016",14,11,1/121,"+1,542","1,347",11,4,1/90,-550,404,0,1,1/404,"+1,256","1,552",9,9,1/86,-595,405,0,0,-
