日付,曜日,特定日,1066番台,,,,,1067番台,,,,,1068番台,,,,,1070番台,,,,,1071番台,,,,,1072番台,,,,,1073番台,,,,,1075番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-04-03,金,はい,"-2,110","5,591",16,16,1/175,"+1,085","3,442",18,8,1/132,-81,762,5,1,1/127,"+1,444","3,956",19,15,1/116,+570,"1,370",6,7,1/105,-414,"3,381",15,6,1/161,+786,"9,859",40,31,1/139,"+1,616","2,104",15,3,1/117
2026-04-02,木,いいえ,"-3,349","4,798",12,5,1/282,-263,206,0,0,-,-487,"3,012",11,7,1/167,-621,413,0,0,-,"+1,063","2,221",13,5,1/123,"-1,525","1,708",2,5,1/244,-324,193,0,0,-,-608,403,0,0,-
2026-04-01,水,いいえ,+907,590,6,0,1/98,"-1,105","1,221",2,2,1/305,+0,"1,529",4,10,1/109,"-2,367","2,736",4,7,1/249,+309,"2,553",11,9,1/128,+315,442,3,1,1/111,-286,201,0,0,-,-321,374,1,0,1/374
2026-03-31,火,いいえ,"-1,001","3,661",13,8,1/174,"+1,696","1,018",8,7,1/68,-718,"1,948",5,7,1/162,"-1,446","5,866",22,14,1/163,"-1,364","6,303",19,21,1/158,+701,356,3,2,1/71,"+2,904","3,074",19,17,1/85,+651,540,5,1,1/90
2026-03-30,月,いいえ,-698,"1,958",7,2,1/218,+0,"1,433",7,1,1/179,+469,"2,977",15,5,1/149,"-1,335","1,284",1,3,1/321,"-2,751","9,993",31,28,1/169,"+1,572","2,531",13,14,1/94,-320,192,0,0,-,"+2,688","3,754",23,14,1/101
2026-03-29,日,いいえ,-864,"2,346",9,2,1/213,+727,635,4,3,1/91,-802,"7,461",29,19,1/155,"-1,089",933,1,2,1/311,"+1,138","2,949",11,18,1/102,"-1,408","3,964",14,6,1/198,-634,460,0,1,1/460,"-1,317","4,934",17,13,1/164
2026-03-28,土,いいえ,"+3,770","2,254",20,11,1/73,-599,"1,903",6,5,1/173,"-1,549","3,061",11,1,1/255,+815,729,5,4,1/81,-822,"3,237",10,11,1/154,"+1,678","3,263",19,10,1/113,-690,"7,769",31,21,1/149,-985,"2,632",8,6,1/188
2026-03-27,金,いいえ,"-1,546","2,357",5,6,1/214,"+4,766","3,136",27,12,1/80,"-2,017","2,952",6,7,1/227,+896,"5,519",27,14,1/135,"+1,045","1,076",9,1,1/108,-458,"8,209",30,29,1/139,-63,"3,442",17,5,1/156,-705,"2,975",12,5,1/175
2026-03-26,木,はい,"+4,008","7,413",43,20,1/118,-119,"2,198",9,5,1/157,"-4,369","8,274",21,17,1/218,+726,"3,627",20,4,1/151,+76,"2,204",11,2,1/170,-378,"3,743",12,14,1/144,"-1,599","4,573",15,9,1/191,"-1,308","5,411",17,17,1/159
2026-03-25,水,いいえ,"+1,149","3,475",18,10,1/124,"+5,197","4,314",38,6,1/98,"-1,243","3,628",11,9,1/181,+236,"1,156",5,4,1/128,"+1,700","2,994",18,9,1/111,"-1,735","2,325",4,6,1/233,+856,751,6,2,1/94,"-3,081","4,991",10,13,1/217
2026-03-24,火,いいえ,-181,237,0,2,1/119,"+1,767","2,676",17,6,1/116,-260,"1,497",5,4,1/166,-264,649,2,4,1/108,-445,685,2,2,1/171,-901,597,0,1,1/597,"-2,139","2,805",5,6,1/255,"+4,950","2,456",23,14,1/66
2026-03-23,月,はい,"+1,678","1,533",11,7,1/85,"-2,963","4,509",10,10,1/225,-522,634,2,2,1/159,+63,"2,696",13,4,1/159,-907,"3,717",13,10,1/162,"-1,034",694,0,1,1/694,+925,"2,662",14,8,1/121,-394,"4,914",20,10,1/164
2026-03-22,日,いいえ,"-3,135","6,083",15,16,1/196,"-4,693","5,463",11,9,1/273,"+2,575","7,163",37,21,1/124,"+1,239","3,083",18,5,1/134,"+1,013","2,673",16,2,1/149,"+1,277",834,6,6,1/70,"-2,784","3,662",7,8,1/244,"-4,793","4,781",8,5,1/368
2026-03-21,土,いいえ,+960,"7,117",31,25,1/127,"+1,331","1,073",8,5,1/83,-823,"2,365",8,3,1/215,"-1,278","2,366",7,4,1/215,"-1,968","5,831",22,6,1/208,"+3,948","9,255",47,31,1/119,-717,830,2,2,1/208,"-1,443","4,109",14,7,1/196
2026-03-20,金,いいえ,+51,527,2,2,1/132,"+2,519","2,640",17,12,1/91,+562,"3,058",16,4,1/153,"+1,911","1,623",12,7,1/85,"+6,216","4,982",40,16,1/89,"-1,244","3,367",12,5,1/198,"-1,490","2,089",5,3,1/261,"-3,732","4,378",7,9,1/274
2026-03-19,木,いいえ,"+2,261","2,849",20,7,1/106,"-1,021",750,1,0,1/750,"-1,215","2,780",9,3,1/232,-290,176,0,0,-,"-4,409","3,887",3,6,1/432,+169,"1,042",4,5,1/116,+707,676,5,2,1/97,"-1,073","1,510",3,2,1/302
2026-03-18,水,いいえ,"-1,036","2,636",9,3,1/220,-169,"3,839",14,14,1/137,-524,652,2,1,1/217,-375,231,0,0,-,"-1,284","2,076",5,4,1/231,"+1,205","2,354",13,9,1/107,-80,"2,394",8,9,1/141,+203,767,4,2,1/128
2026-03-17,火,いいえ,"-1,003",580,0,0,-,+257,"2,901",11,13,1/121,+256,551,3,2,1/110,-450,442,1,0,1/442,+617,"1,913",10,4,1/137,-240,154,0,0,-,+556,917,4,5,1/102,-423,792,3,3,1/132
2026-03-16,月,はい,"-1,093","5,770",21,12,1/175,-621,"1,512",4,4,1/189,"+1,726","3,621",18,14,1/113,+822,"3,360",16,7,1/146,"-1,408","2,751",7,6,1/212,"+3,509","2,823",23,9,1/88,"-1,316","2,537",7,5,1/211,-912,"4,823",18,10,1/172
2026-03-15,日,いいえ,"-1,478","2,675",6,7,1/206,+338,"2,156",11,3,1/154,"+1,744","4,018",23,9,1/126,"+1,396","6,912",33,19,1/133,"+2,384","1,734",15,6,1/83,-571,"2,302",9,4,1/177,"-1,922","2,759",7,4,1/251,"+7,148","3,891",37,17,1/72
2026-03-14,土,いいえ,-884,"8,917",35,17,1/171,"+1,511","4,087",23,10,1/124,+519,"3,448",17,8,1/138,"-4,334","7,311",18,13,1/236,+555,"1,218",6,6,1/102,"-2,138","3,952",11,6,1/232,"+1,522","3,343",18,12,1/111,"+1,438","2,727",14,12,1/105
2026-03-13,金,はい,+93,"2,785",12,8,1/139,"+1,557","1,839",13,4,1/108,-116,"4,331",16,13,1/149,"-2,225","3,650",9,6,1/243,+817,"2,803",13,9,1/127,-6,"2,097",9,4,1/161,"-1,642","4,332",14,7,1/206,"-1,600","4,440",15,7,1/202
2026-03-12,木,いいえ,-450,"1,302",3,6,1/145,"+4,275","2,899",27,6,1/88,-75,754,4,3,1/108,+284,581,3,2,1/116,-912,"2,723",10,5,1/182,-818,"2,774",9,6,1/185,"-3,112","2,406",0,5,1/481,"+1,474","1,885",12,7,1/99
2026-03-11,水,いいえ,"+2,402","2,680",19,8,1/99,"-5,182","5,488",8,9,1/323,-302,201,0,0,-,-167,127,0,0,-,"-1,213",844,0,1,1/844,"-1,210","1,534",3,3,1/256,+673,"2,586",14,4,1/144,+556,"6,387",25,26,1/125
2026-03-10,火,いいえ,"-1,159","5,092",19,10,1/176,+622,"4,023",19,9,1/144,"-1,031","4,924",20,6,1/189,+834,"2,778",15,6,1/132,-298,782,3,3,1/130,+231,"1,282",7,1,1/160,-663,"2,593",8,8,1/162,+379,"4,146",18,10,1/148
2026-03-09,月,いいえ,+890,"1,441",8,6,1/103,"-1,096","4,121",11,14,1/165,-864,"2,858",12,2,1/204,+231,"1,937",9,4,1/149,-486,300,0,0,-,"-1,319","2,510",7,4,1/228,-978,"3,997",15,6,1/190,-175,118,0,0,-
2026-03-08,日,いいえ,-562,"2,754",11,4,1/184,"+1,203","2,296",14,5,1/121,+539,"4,890",23,12,1/140,-504,898,4,3,1/128,+618,"4,758",23,9,1/149,"+2,029","1,793",13,7,1/90,"-2,888","4,973",14,8,1/226,"-1,114","5,023",16,14,1/167
2026-03-07,土,いいえ,"+2,355","6,026",35,11,1/131,"+1,347","2,704",12,13,1/108,"-2,887","4,711",12,9,1/224,"+1,064",832,6,5,1/76,"-2,157","7,079",23,15,1/186,"-1,651","3,393",9,8,1/200,-802,"1,469",4,3,1/210,-233,"3,862",16,9,1/154
2026-03-06,金,はい,"+2,316","8,375",43,20,1/133,"+1,510","4,070",20,16,1/113,-112,"4,658",17,17,1/137,"-1,617","2,062",4,5,1/229,"-4,164","5,434",10,11,1/259,"+1,960","2,058",14,8,1/94,"-1,844","3,390",9,5,1/242,-930,"2,493",9,3,1/208
2026-03-05,木,いいえ,"+4,668","2,594",22,16,1/68,-752,450,0,0,-,"-2,373","2,970",6,4,1/297,-804,621,1,0,1/621,"-3,379","5,014",11,12,1/218,"-1,073",764,0,1,1/764,+391,"1,948",9,9,1/108,-981,"1,897",5,4,1/211
2026-03-04,水,いいえ,+675,"3,861",18,11,1/133,"+2,075","4,998",28,14,1/119,"+1,292","4,279",20,15,1/122,-563,822,3,1,1/206,-136,"2,366",10,4,1/169,-628,"3,055",10,8,1/170,-336,933,3,5,1/117,+481,"2,368",11,8,1/125
2026-03-03,火,はい,"-2,346","6,735",22,16,1/177,"-3,169","5,815",13,18,1/188,-687,"8,292",31,25,1/148,-185,"2,808",12,5,1/165,"-1,053","3,858",14,8,1/175,"-2,817","5,452",16,8,1/227,-185,"4,179",16,12,1/149,"-1,053","5,049",19,9,1/180
2026-03-01,日,いいえ,+854,"4,944",23,14,1/134,-905,"6,021",22,17,1/154,+481,"2,377",11,6,1/140,"+1,062","6,403",32,13,1/142,"-1,195","4,107",15,8,1/179,"+1,633","2,410",15,8,1/105,"+2,220","3,201",20,9,1/110,-557,"2,984",9,11,1/149
2026-02-28,土,いいえ,+263,"6,666",29,13,1/159,-292,"1,907",7,5,1/159,"-2,607","4,030",11,7,1/224,+890,"3,137",17,8,1/125,+686,"4,042",18,12,1/135,-842,"3,340",12,5,1/196,"+1,007","3,376",17,10,1/125,-269,"1,344",5,2,1/192
2026-02-27,金,いいえ,"+3,209","4,820",31,13,1/110,-78,"2,756",12,7,1/145,+19,"1,432",7,1,1/179,"-1,951","3,422",10,5,1/228,-386,495,2,0,1/248,-651,"1,809",5,5,1/181,+325,"1,280",6,4,1/128,"+1,326","1,352",10,4,1/97
2026-02-26,木,はい,"-3,084","5,150",12,11,1/224,"-3,143","9,155",30,19,1/187,-326,"3,853",13,15,1/138,+434,"1,098",7,1,1/137,"-1,721","5,420",19,9,1/194,"-1,878","1,352",1,1,1/676,+209,765,4,3,1/109,"+4,992","5,884",37,24,1/96
2026-02-25,水,いいえ,-679,939,3,2,1/188,-183,119,0,0,-,-458,"2,807",11,5,1/175,-110,89,0,0,-,"-1,707","1,591",2,2,1/398,"-2,085","3,191",7,7,1/228,"-1,322","2,704",8,4,1/225,-251,153,0,0,-
2026-02-24,火,いいえ,+815,591,4,3,1/84,"+3,609","6,974",42,16,1/120,+770,940,7,1,1/118,+620,355,3,2,1/71,-728,893,3,0,1/298,-985,"3,771",11,14,1/151,-252,174,0,0,-,-861,"3,724",13,9,1/169
2026-02-23,月,はい,"+3,356","4,267",29,14,1/99,"+2,173","3,136",20,9,1/108,+394,"7,699",32,23,1/140,-355,"1,562",4,6,1/156,"+1,033","3,762",21,5,1/145,"-1,093","2,542",7,7,1/182,-77,440,2,2,1/110,+361,"5,585",24,17,1/136
2026-02-22,日,いいえ,-204,"4,870",18,17,1/139,-259,"6,433",25,20,1/143,-663,"2,920",11,6,1/172,"+1,154","5,131",24,16,1/128,"+1,468","4,830",24,14,1/127,+275,"3,229",15,8,1/140,"+3,996","4,165",31,11,1/99,"-2,037","4,371",10,16,1/168
2026-02-21,土,いいえ,"-1,039","2,014",6,3,1/224,+888,"2,006",11,4,1/134,"+1,114",906,7,3,1/91,"-2,064","2,567",4,6,1/257,"-1,779","2,492",5,5,1/249,-804,"2,375",7,8,1/158,-449,"3,814",12,13,1/153,-168,"2,486",9,8,1/146
2026-02-20,金,いいえ,"-2,797","4,377",10,9,1/230,"-1,973","2,064",4,2,1/344,"-1,757","3,541",9,11,1/177,+549,420,3,2,1/84,"-2,090","2,380",3,6,1/264,"+1,032","2,748",15,5,1/137,+989,"2,386",15,2,1/140,+189,"1,906",10,1,1/173
2026-02-19,木,いいえ,+990,"2,348",13,9,1/107,-168,"1,752",8,2,1/175,+186,"3,918",19,6,1/157,"+1,696","4,160",21,13,1/122,"+1,033",602,5,3,1/75,+799,"2,974",15,6,1/142,-829,510,0,0,-,"-5,474","6,070",10,8,1/337
2026-02-18,水,いいえ,"-1,544","5,201",15,17,1/163,"-2,497","4,088",9,12,1/195,-692,"2,019",6,5,1/184,"-6,109","6,456",8,14,1/293,+591,"1,967",11,3,1/141,-605,419,0,0,-,-363,224,0,0,-,-546,"5,310",20,15,1/152
2026-02-17,火,いいえ,-163,"6,650",27,19,1/145,+367,966,5,4,1/107,"+1,051","2,332",15,3,1/130,-62,"1,768",7,6,1/136,"+4,349","9,062",48,36,1/108,-270,176,0,0,-,"-1,831","7,022",26,13,1/180,-715,433,0,0,-
2026-02-16,月,はい,"-2,579","5,733",15,16,1/185,"-1,077","3,120",10,7,1/184,+39,"2,222",10,5,1/148,"+2,481","4,392",27,14,1/107,"+1,034","4,154",20,12,1/130,+624,"2,200",12,3,1/147,"+3,362","5,702",33,20,1/108,"+1,025","1,527",10,5,1/102
2026-02-15,日,いいえ,-844,"1,524",5,1,1/254,"+6,504","9,641",60,30,1/107,+440,408,3,2,1/82,"+1,064","3,193",17,9,1/123,-575,"1,453",4,3,1/208,+677,"4,156",22,5,1/154,"-2,289","3,008",5,6,1/273,"+2,616","2,542",17,13,1/85
2026-02-14,土,いいえ,+566,"5,646",25,15,1/141,"-2,231","2,271",4,3,1/324,+941,"4,941",24,11,1/141,"-2,656","3,801",9,5,1/272,"-1,393","3,080",9,5,1/220,"-2,498","7,322",22,18,1/183,-790,"1,586",4,4,1/198,"+2,690","2,485",17,15,1/78
2026-02-13,金,はい,+608,710,5,1,1/118,"+2,923","6,119",36,16,1/118,-420,"4,586",19,10,1/158,"-6,112","6,270",9,11,1/314,"+3,916","1,704",19,8,1/63,"-1,757","1,741",2,4,1/290,-621,"2,444",9,5,1/175,+97,649,3,2,1/130
2026-02-12,木,いいえ,-121,"1,729",7,5,1/144,"-2,907","5,206",14,8,1/237,"+1,044","1,238",7,7,1/88,"+1,557","2,466",14,9,1/107,"-2,523","4,826",15,7,1/219,+643,728,4,4,1/91,"-2,234","5,217",16,9,1/209,"-1,145","3,475",11,8,1/183
2026-02-11,水,いいえ,+650,589,3,5,1/74,"-5,593","6,071",10,10,1/304,"-2,249","7,869",27,15,1/187,"-5,021","7,214",17,10,1/267,"-4,549","8,646",22,19,1/211,-133,744,4,2,1/124,-665,"1,795",5,5,1/180,"+2,072","6,994",38,17,1/127
2026-02-10,火,いいえ,"+3,185","6,193",34,23,1/109,"-1,522","4,482",14,12,1/172,+791,"2,183",11,6,1/128,-244,"2,012",7,7,1/144,-51,"2,122",10,3,1/163,+728,302,3,2,1/60,+804,"4,701",23,8,1/152,"+1,130","2,621",14,8,1/119
2026-02-09,月,いいえ,-758,"2,723",9,7,1/170,"-1,268","2,674",7,6,1/206,"+2,688","2,676",18,10,1/96,+919,"1,351",9,3,1/113,+601,539,4,2,1/90,+168,"1,025",5,2,1/146,-2,"2,455",10,5,1/164,-855,"2,654",7,9,1/166
2026-02-08,日,いいえ,"+2,179","6,079",31,19,1/122,"-3,380","4,935",11,11,1/224,"+3,926","2,421",22,11,1/73,"-4,976","6,434",11,13,1/268,"+2,655","4,574",26,15,1/112,"-1,605","7,692",27,19,1/167,-692,411,0,0,-,"+1,061","3,837",19,11,1/128
2026-02-07,土,いいえ,"-4,523","7,569",18,16,1/223,+479,"2,699",13,6,1/142,-816,"4,359",18,7,1/174,"-3,804","5,274",11,10,1/251,"-4,360","6,736",16,11,1/249,"-2,297","3,299",6,8,1/236,"+3,476","6,304",36,20,1/113,"+1,863","1,895",10,14,1/79
2026-02-06,金,はい,+549,"7,309",35,14,1/149,"+1,099","2,012",10,11,1/96,+303,"4,496",19,14,1/136,+98,"4,000",14,17,1/129,-475,"2,844",10,9,1/150,+654,"3,075",14,11,1/123,"-3,494","4,031",6,8,1/288,"-3,256","4,892",9,15,1/204
2026-02-05,木,いいえ,"-2,115","3,476",7,9,1/217,"+3,534","3,138",24,10,1/92,-209,141,0,0,-,-280,517,2,1,1/172,-182,119,0,0,-,-61,"3,058",13,6,1/161,-196,119,0,0,-,"+2,102","2,430",15,10,1/97
2026-02-04,水,いいえ,-755,"7,540",32,12,1/171,-285,180,0,0,-,"+4,490","3,074",27,11,1/81,+710,"1,070",7,4,1/97,"+2,662","2,896",21,7,1/103,-320,305,0,2,1/153,"+3,915","2,158",21,8,1/74,"-4,649","7,444",18,14,1/233
2026-02-03,火,はい,"-5,509","5,756",10,5,1/384,"+1,253","3,449",18,9,1/128,"+1,048","3,302",18,7,1/132,-17,"4,607",20,9,1/159,-748,"3,797",17,5,1/173,"+1,061","2,328",13,6,1/123,-533,"6,823",29,15,1/155,"-1,474","6,459",23,16,1/166
2026-02-01,日,いいえ,+549,"6,610",30,15,1/147,"+4,203","5,204",34,17,1/102,"-1,524","4,795",19,6,1/192,-698,"2,371",8,5,1/182,+716,"2,165",10,11,1/103,"+1,344","1,897",13,4,1/112,+379,"2,680",14,4,1/149,"-1,334","1,527",3,2,1/305
2026-01-31,土,いいえ,"+1,226","1,365",9,4,1/105,"-3,645","8,825",28,17,1/196,"-2,021","2,130",3,5,1/266,"-3,792","6,832",16,17,1/207,"-1,233","3,587",11,9,1/179,-962,"1,679",4,3,1/240,"-2,966","5,713",15,11,1/220,+127,"1,771",8,4,1/148
2026-01-30,金,いいえ,-654,"3,864",14,9,1/168,"-1,298","1,763",4,3,1/252,"+1,699","1,862",13,5,1/103,"-1,357","3,253",8,8,1/203,-492,"2,325",9,4,1/179,-415,290,0,0,-,"+2,617","3,515",20,16,1/98,+91,"3,180",12,11,1/138
2026-01-29,木,いいえ,"-1,021","1,687",3,5,1/211,"-1,525","4,070",12,9,1/194,-204,153,0,0,-,-537,331,0,0,-,"+2,786","2,161",20,4,1/90,-379,255,0,0,-,-815,545,0,0,-,-299,173,0,0,-
2026-01-28,水,いいえ,-666,"1,554",5,2,1/222,+566,693,4,4,1/87,"+1,188","1,625",9,8,1/96,-209,132,0,0,-,-442,"3,929",15,10,1/157,-268,164,0,0,-,"-2,991","3,650",7,7,1/261,-320,"6,803",29,14,1/158
2026-01-27,火,いいえ,"+3,157","4,356",26,16,1/104,-309,"3,461",13,10,1/150,-572,"2,559",10,3,1/197,+591,"3,886",17,12,1/134,"+1,293",626,5,6,1/57,-138,"3,899",15,12,1/144,"-2,321","4,437",11,12,1/193,+920,"6,844",33,14,1/146
2026-01-26,月,はい,"-5,878","7,848",17,11,1/280,"+2,009","2,753",20,2,1/125,"-1,181","1,130",1,2,1/377,+476,798,4,5,1/89,-559,811,2,3,1/162,"+2,287","9,461",48,20,1/139,-379,228,0,0,-,-281,"3,290",13,7,1/165
2026-01-25,日,いいえ,"+1,718","1,035",10,3,1/80,-894,"2,940",9,11,1/147,-564,"3,487",11,13,1/145,+251,"3,119",13,10,1/136,"-2,179","2,908",7,4,1/264,"-1,709","2,970",9,3,1/248,"-1,300","5,859",22,11,1/178,"-3,756","4,117",5,8,1/317
2026-01-24,土,いいえ,"-2,496","3,468",7,6,1/267,-846,"4,815",20,8,1/172,"-2,156","3,076",6,6,1/256,+495,"4,517",20,12,1/141,"-1,732","6,991",24,15,1/179,"-2,443","4,656",13,8,1/222,-240,"2,140",8,6,1/153,"-3,587","3,072",3,4,1/439
2026-01-23,金,はい,"+3,625","3,358",24,13,1/91,-754,"2,770",10,7,1/163,-125,743,3,5,1/93,"-1,023","2,912",9,7,1/182,"-2,158","4,460",12,10,1/203,"-1,995","2,463",5,4,1/274,"+2,897","2,078",18,5,1/90,"+1,913","3,759",19,17,1/104
2026-01-22,木,いいえ,"-3,969","5,108",11,6,1/300,"+1,097","1,265",8,5,1/97,+61,"2,649",12,6,1/147,-149,"2,280",10,4,1/163,-792,"1,367",3,4,1/195,"-1,049","1,367",3,2,1/273,+709,"5,807",27,14,1/142,"-2,796","3,188",5,6,1/290
2026-01-21,水,いいえ,"-1,072","1,500",3,3,1/250,+867,754,6,3,1/84,"-1,876","2,353",6,1,1/336,-230,924,4,4,1/116,+170,524,2,3,1/105,+536,640,4,3,1/91,"+3,565","4,367",27,19,1/95,"-2,861","2,533",1,5,1/422
2026-01-20,火,いいえ,+27,"2,137",9,7,1/134,-736,"1,367",3,4,1/195,-392,254,0,0,-,"-1,002","1,356",2,4,1/226,-321,205,0,0,-,"-2,068","4,267",13,5,1/237,-25,"4,904",20,13,1/149,"-1,265","1,644",3,4,1/235
2026-01-19,月,いいえ,"+2,900","1,535",13,12,1/61,-134,928,5,3,1/116,"+2,242","1,311",11,7,1/73,+138,"2,343",11,3,1/167,"+2,307","1,375",14,1,1/92,+941,"1,812",9,8,1/107,"-3,582","4,972",12,5,1/292,"+2,357","2,609",19,7,1/100
2026-01-18,日,いいえ,"-2,064","5,791",18,14,1/181,-416,"5,744",27,9,1/160,"-1,995","6,559",22,16,1/173,"-2,397","6,662",19,19,1/175,"+2,480","2,997",19,11,1/100,"+3,919","4,931",33,14,1/105,+830,"3,534",18,8,1/136,"+2,125","3,213",17,16,1/97
2026-01-17,土,いいえ,"+1,491","3,619",19,12,1/117,+808,468,4,2,1/78,"-5,020","7,073",18,8,1/272,"-4,937","5,575",10,7,1/328,"+2,449","2,885",19,9,1/103,"-3,171","9,035",28,21,1/184,+648,"6,760",32,14,1/147,"-1,196","4,600",15,11,1/177
2026-01-16,金,はい,"+1,579","3,201",20,6,1/123,-253,"2,979",13,5,1/166,"-2,613","3,996",9,8,1/235,+139,"1,643",8,3,1/149,"+4,992","7,375",45,29,1/100,"+3,960","9,588",49,34,1/116,+110,"1,520",7,4,1/138,-725,"2,403",8,4,1/200
2026-01-15,木,いいえ,"+1,311",945,7,5,1/79,+724,738,6,1,1/105,+160,"3,413",18,2,1/171,"-1,002","1,495",3,4,1/214,+469,318,2,2,1/80,+134,"1,477",6,5,1/134,-419,"5,684",25,9,1/167,-415,741,3,1,1/185
2026-01-14,水,いいえ,"-1,521","5,278",20,6,1/203,-420,259,0,0,-,+761,668,5,2,1/95,+807,786,5,3,1/98,-297,202,0,0,-,"-1,712","3,015",9,4,1/232,-310,"2,811",10,7,1/165,"-1,177","1,683",4,2,1/281
2026-01-13,火,はい,-324,878,4,2,1/146,"+2,028","3,969",24,9,1/120,"-1,421","2,624",7,5,1/219,+272,673,3,3,1/112,-101,509,2,3,1/102,"-2,700","5,003",14,9,1/218,"-1,030","3,440",14,1,1/229,-415,"4,687",20,7,1/174
2026-01-12,月,いいえ,-28,"3,164",11,14,1/127,"-2,965","8,040",27,16,1/187,+517,"1,854",9,6,1/124,"-1,267","5,694",20,14,1/167,-641,404,0,0,-,+267,"2,780",13,5,1/154,"-5,548","8,391",18,18,1/233,"-2,515","2,692",4,5,1/299
2026-01-11,日,いいえ,-927,"2,945",10,5,1/196,-44,"9,098",35,27,1/147,+941,"4,704",21,15,1/131,-562,"6,925",25,21,1/151,"+1,379","3,904",21,10,1/126,"+1,254","4,689",24,13,1/127,-773,"2,861",10,5,1/191,+733,"6,397",28,15,1/149
2026-01-10,土,いいえ,"+1,077","3,281",17,10,1/122,"-1,637","6,384",21,15,1/177,-227,"5,033",19,13,1/157,"-2,229","4,108",11,6,1/242,"+1,226","6,057",29,15,1/138,-539,"3,764",14,11,1/151,"+1,505","1,064",7,8,1/71,"-1,264","3,219",10,6,1/201
2026-01-09,金,いいえ,"-1,760","3,269",8,7,1/218,-26,"2,856",10,9,1/150,"-2,417","2,628",5,3,1/329,+568,"1,404",8,2,1/140,"-2,202","3,219",7,7,1/230,"-2,091","3,152",6,9,1/210,"+2,260","2,443",17,8,1/98,+343,692,4,3,1/99
2026-01-08,木,いいえ,"-1,497","4,326",14,9,1/188,-792,629,1,0,1/629,-840,696,1,0,1/696,"-1,364","2,440",7,3,1/244,"-2,038","2,884",6,5,1/262,"+1,116","3,054",18,3,1/145,"-1,442","4,878",16,10,1/188,-252,318,1,0,1/318
2026-01-07,水,いいえ,"-1,402","4,702",16,9,1/188,"-2,956","3,962",9,6,1/264,-301,898,4,2,1/150,+77,"3,164",15,5,1/158,-26,"5,813",19,25,1/132,-366,"1,567",5,5,1/157,"-1,158","4,491",17,7,1/187,"-2,980","4,565",10,10,1/228
2026-01-06,火,はい,+923,"6,472",30,16,1/141,"-1,036","5,547",20,14,1/163,"-1,528","4,368",13,11,1/182,"+1,508","4,622",23,15,1/122,"-6,716","8,518",18,11,1/294,"-1,504","3,448",11,6,1/203,"-6,061","7,269",14,9,1/316,"+4,943","6,506",42,22,1/102
2026-01-04,日,いいえ,"-3,197","2,677",0,8,1/335,"-3,145","9,372",31,19,1/187,+698,"1,608",8,6,1/115,+277,"1,525",6,7,1/117,-714,"1,842",6,3,1/205,+507,826,5,3,1/103,+201,"3,578",15,10,1/143,-838,"6,281",25,14,1/161
2026-01-03,土,はい,"+3,980","2,894",26,5,1/93,"-1,049","2,974",9,7,1/186,"-1,313","2,650",7,5,1/221,"+1,062","2,814",15,7,1/128,"+2,454","4,349",27,10,1/118,"+5,731","7,331",49,19,1/108,"+1,592","2,205",13,9,1/100,-834,734,1,1,1/367
2026-01-02,金,いいえ,"-2,422","3,423",7,8,1/228,-790,586,0,1,1/586,"-1,238","3,410",11,8,1/179,"+2,547","1,960",16,6,1/89,-134,914,5,2,1/131,-863,"2,603",8,7,1/174,-347,216,0,0,-,+537,564,4,1,1/113
2026-01-01,木,いいえ,-626,"2,650",10,5,1/177,+190,815,4,3,1/116,"+2,167","3,517",21,10,1/113,"-1,532","1,194",1,1,1/597,-323,877,5,1,1/146,+100,"4,955",20,16,1/138,+278,526,3,2,1/105,-315,395,1,1,1/198
2025-12-31,水,いいえ,"-1,092","4,002",14,7,1/191,"-1,085","2,197",6,5,1/200,-512,"4,848",18,13,1/156,+61,690,3,2,1/138,-980,"2,756",10,4,1/197,+617,"1,148",5,7,1/96,+798,"2,765",10,17,1/102,-272,"1,777",8,2,1/178
2025-12-30,火,いいえ,"-2,585","4,439",12,7,1/234,+614,"5,243",23,14,1/142,"-1,829","4,932",15,10,1/197,-419,826,3,3,1/138,"-1,244","2,993",9,6,1/200,-541,"2,260",7,7,1/161,"+2,310","3,188",20,9,1/110,+182,"2,015",10,2,1/168
2025-12-29,月,いいえ,"+2,285","3,900",24,10,1/115,-767,"3,680",13,8,1/175,"-2,462","3,466",8,5,1/267,-223,849,4,2,1/142,"-1,250","3,623",11,9,1/181,"-2,230","4,735",11,15,1/182,"+3,973","3,893",27,15,1/93,-263,"5,567",22,15,1/150
2025-12-28,日,いいえ,"-1,897","5,652",15,20,1/161,"-1,805","7,018",24,17,1/171,"+1,384","1,514",11,4,1/101,"-3,789","5,152",10,10,1/258,-206,"3,765",15,10,1/151,"-1,737","4,412",15,8,1/192,-231,"2,969",14,4,1/165,-484,"2,137",8,4,1/178
2025-12-27,土,いいえ,-397,"3,464",12,12,1/144,"+1,977","6,701",33,22,1/122,"-2,579","4,411",13,6,1/232,"+2,035","4,547",22,19,1/111,-744,"1,910",5,6,1/174,"+4,067","2,806",23,13,1/78,"+1,007","1,637",10,4,1/117,+656,"2,396",12,7,1/126
