日付,曜日,特定日,1178番台,,,,,1180番台,,,,,1181番台,,,,,1182番台,,,,,1183番台,,,,,1185番台,,,,,1186番台,,,,,1187番台,,,,,1188番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-06-05,金,いいえ,"+2,016","9,062",7,0,1/1295,"-4,508","5,045",0,0,-,"-3,804","5,400",0,0,-,"+3,331","5,944",0,0,-,"+3,749","5,253",3,0,1/1751,"+3,283","4,490",17,0,1/264,"-5,714","5,510",3,0,1/1837,"-5,434","6,269",0,0,-,"-3,662","7,595",2,0,1/3798
2026-06-04,木,いいえ,"-4,937","5,205",0,0,-,"+4,782","6,447",7,0,1/921,"-3,437","4,831",3,0,1/1610,-246,"1,310",0,0,-,"+7,044","7,917",4,0,1/1979,"-2,905","4,457",0,0,-,"+5,403","3,923",6,0,1/654,"+1,775","7,130",2,0,1/3565,"-1,015","5,659",0,0,-
2026-06-03,水,はい,"+9,539","6,195",10,0,1/620,-239,"8,745",7,0,1/1249,"-2,495","5,593",0,0,-,"+5,115","8,156",14,0,1/583,"-4,606","7,498",0,0,-,"+8,284","6,842",0,0,-,"-2,325","3,856",0,0,-,"+1,149","6,911",6,0,1/1152,"+1,171","6,426",7,0,1/918
2026-06-02,火,いいえ,"-1,352","4,920",5,0,1/984,"-4,018","4,787",0,0,-,"+7,527","6,540",0,0,-,"-3,197","4,727",0,0,-,"+3,507","4,833",3,0,1/1611,"-2,700","3,289",0,0,-,"+2,655","8,587",22,0,1/390,-576,"3,219",0,0,-,+74,"6,758",0,0,-
2026-06-01,月,いいえ,"-4,195","7,208",0,0,-,"-1,457","3,125",0,0,-,"+1,443","5,584",0,0,-,"+3,267","2,041",0,0,-,-440,"1,439",0,0,-,"-3,467","6,551",5,0,1/1310,"+3,157","5,631",17,0,1/331,+137,"2,639",0,0,-,"-1,600","3,077",0,0,-
2026-05-31,日,いいえ,"+9,325","6,898",6,0,1/1150,"-2,995","5,027",2,0,1/2514,-154,"10,159",0,0,-,"-2,633","4,170",0,0,-,"+13,505","7,245",8,0,1/906,"+4,382","7,713",4,0,1/1928,"-2,019","5,977",0,0,-,"+14,503","6,686",5,0,1/1337,"-3,610","5,884",0,0,-
2026-05-30,土,いいえ,-627,"9,327",0,0,-,"-2,134","8,265",0,0,-,"-3,521","8,082",0,0,-,"+1,385","7,402",0,0,-,"-4,302","7,170",0,0,-,-891,"7,283",9,0,1/809,"-1,494","7,939",0,0,-,"+2,150","9,854",3,0,1/3285,"+5,362","9,254",13,0,1/712
2026-05-29,金,いいえ,"-6,723","6,167",0,0,-,"+2,475","5,638",2,0,1/2819,"+3,062","4,268",11,0,1/388,"+4,241","6,040",0,0,-,"+4,594","4,907",0,0,-,+689,"7,150",0,0,-,"+6,838","5,766",0,0,-,"-7,139","7,280",0,0,-,"-7,091","8,121",0,0,-
2026-05-28,木,いいえ,-970,"6,378",0,0,-,"-3,203","5,490",0,0,-,"-3,808","5,461",0,0,-,"-2,861","5,570",0,0,-,"-2,780","5,006",0,0,-,"-2,667","4,520",0,0,-,"-5,185","7,237",0,0,-,+637,"5,152",0,0,-,"+5,833","5,708",0,0,-
2026-05-27,水,いいえ,"-1,319","8,538",2,0,1/4269,"+4,990","7,219",0,0,-,"-4,066","7,767",0,0,-,"+2,502","5,811",3,0,1/1937,+354,"8,811",2,0,1/4406,"-2,985","6,897",0,0,-,"-6,681","6,646",0,0,-,"-4,933","7,440",4,0,1/1860,"-2,144","6,236",2,0,1/3118
