日付,曜日,特定日,343番台,,,,,,344番台,,,,,,345番台,,,,,,346番台,,,,,,347番台,,,,,,348番台,,,,,,349番台,,,,,,350番台,,,,,,351番台,,,,,,352番台,,,,,,418番台,,,,,,419番台,,,,,,420番台,,,,,,421番台,,,,,,422番台,,,,,,423番台,,,,,,424番台,,,,,,425番台,,,,,,426番台,,,,,,427番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-05-11,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+804,"3,707",14,19,1/112,4.67,-523,492,0,1,1/492,3.22,-753,"1,753",4,5,1/195,3.09,"-1,163","3,504",8,14,1/159,3.62,-547,"2,602",9,6,1/173,2.73,+891,"3,582",18,8,1/138,2.62,"+2,527","4,265",24,22,1/93,5.10,-57,"2,737",12,7,1/144,2.93,-563,"1,655",5,5,1/166,3.23,-380,"1,686",6,4,1/169,3.01
2026-05-10,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-186,"6,945",22,27,1/142,3.82,"+1,343","6,443",30,19,1/131,2.89,+658,"4,627",21,17,1/122,3.81,-32,"4,573",19,14,1/139,3.07,-311,"1,720",6,5,1/156,3.21,+963,"3,440",18,10,1/123,3.21,+434,"3,436",16,7,1/149,2.48,-536,"2,857",8,12,1/143,3.80,-455,"3,779",14,11,1/151,2.94,+396,"3,583",18,6,1/149,2.27
2026-05-09,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+391,"8,427",28,36,1/132,4.44,"+2,079","7,061",30,38,1/104,5.33,"+1,254","5,020",27,12,1/129,2.55,"+1,985","7,797",33,34,1/116,4.78,"-1,368","2,371",6,3,1/263,2.28,-340,"1,567",6,3,1/174,2.89,"+1,291","5,537",30,13,1/129,2.44,-97,"3,993",13,19,1/125,4.41,"-1,128","4,537",10,21,1/146,4.19,"+1,134","6,734",24,30,1/125,4.57
2026-05-08,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-488,"4,563",16,15,1/147,3.18,+196,"2,211",9,7,1/138,3.33,-312,"3,672",14,12,1/141,3.27,+801,"1,966",9,13,1/89,4.81,+268,"5,063",20,19,1/130,3.78,-538,809,2,0,1/405,2.76,"+1,013","3,310",16,13,1/114,3.98,+495,"1,173",7,3,1/117,3.34,"+3,210","6,244",26,47,1/86,5.68,"-1,387","1,681",2,4,1/280,2.86
2026-05-07,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-326,468,1,1,1/234,3.30,-101,500,2,0,1/250,3.06,-64,"3,266",12,13,1/131,3.82,-9,350,2,0,1/175,3.22,"+1,795","6,790",32,25,1/119,4.00,"+1,257","5,466",25,21,1/119,4.07,-491,"1,551",5,3,1/194,2.87,"+1,450","2,715",18,6,1/113,2.98,-269,659,2,1,1/220,3.14,-145,"7,035",26,23,1/144,3.07
2026-05-06,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-409,"2,317",7,7,1/166,3.13,-919,"2,727",6,9,1/182,3.16,-831,"4,104",14,11,1/164,2.67,-198,"3,474",12,12,1/145,3.38,+778,"5,289",25,12,1/143,2.31,-194,"2,720",10,8,1/151,3.10,+275,"4,826",24,10,1/142,2.26,-536,"2,909",11,7,1/162,2.74,+266,"4,492",18,12,1/150,2.68,-792,"5,858",18,20,1/154,3.18
2026-05-05,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,419","8,424",41,28,1/122,3.49,+336,"7,730",29,30,1/131,4.02,-289,"6,434",21,25,1/140,3.82,"-1,651","6,407",18,22,1/160,3.12,-238,"7,116",27,18,1/158,2.20,-33,"8,068",30,31,1/132,3.97,-183,"8,026",28,31,1/136,3.92,+680,"7,735",30,22,1/149,2.49,"+1,626","8,591",40,24,1/134,2.49,+877,"8,127",29,38,1/121,4.88
2026-05-04,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,407","2,069",4,5,1/230,2.80,-596,"2,654",9,5,1/190,2.50,+645,"3,225",15,13,1/115,4.01,-568,"2,339",7,7,1/167,3.11,-320,"1,529",4,6,1/153,3.55,-496,"1,272",3,4,1/182,3.29,-325,"1,320",4,5,1/147,3.53,+251,"2,472",11,8,1/130,3.39,+220,"5,662",18,26,1/129,4.49,-808,"1,627",4,3,1/232,2.76
2026-05-03,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,637","4,369",12,9,1/208,2.15,"+2,125","5,368",27,24,1/105,4.79,-622,"1,241",3,4,1/177,3.32,-749,"2,511",7,7,1/179,2.95,"+1,449","4,195",21,17,1/110,4.24,-57,"2,279",9,7,1/142,3.26,"-1,249","3,526",9,12,1/168,3.20,+286,"4,154",18,13,1/134,3.20,"+1,104","5,892",31,12,1/137,2.10,"-2,416","3,116",4,5,1/346,2.13
2026-05-01,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-51,402,1,1,1/201,3.37,"+2,425","6,410",32,29,1/105,4.97,-421,418,1,0,1/418,3.10,-321,"1,466",5,4,1/163,3.18,-873,"3,650",11,9,1/183,2.56,-752,"1,768",3,7,1/177,3.50,+427,"1,657",8,8,1/104,4.10,+961,"6,037",31,15,1/131,2.46,-440,299,0,0,-,3.18,-737,"4,157",13,13,1/160,3.00
2026-04-30,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+148,"1,393",7,3,1/139,3.10,"-1,001","3,213",9,9,1/179,2.83,+688,"1,142",9,0,1/127,2.73,+316,"4,020",17,13,1/134,3.29,+170,"3,292",15,8,1/143,2.77,-215,"1,302",5,2,1/186,2.87,+920,"1,658",11,3,1/118,3.01,-13,"2,864",12,8,1/143,3.04,"+1,347","5,110",27,13,1/128,2.68,+490,"4,316",19,13,1/135,3.09
2026-04-29,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-272,"1,884",8,4,1/157,2.90,"-1,779","4,883",11,15,1/188,2.75,-80,"1,260",6,2,1/158,2.95,-31,597,3,1,1/149,3.25,-391,"4,237",13,17,1/141,3.81,"+2,832","8,460",42,34,1/111,4.71,-334,"1,889",7,6,1/145,3.32,-705,"3,095",10,13,1/135,3.89,-783,"1,663",4,5,1/185,3.18,"+2,692","6,579",29,40,1/95,5.51
2026-04-28,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,574","6,803",34,26,1/113,4.30,-21,"2,533",12,4,1/158,2.49,-151,"2,128",9,3,1/177,2.52,-180,"3,044",11,9,1/152,3.06,-444,"3,772",14,11,1/151,2.95,"+1,334","3,108",18,9,1/115,3.31,-302,950,3,1,1/238,2.90,-386,"5,797",22,12,1/171,2.01,-191,170,0,0,-,3.31,"+1,772","3,603",21,14,1/103,4.17
2026-04-27,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-692,"3,961",12,12,1/165,2.93,-723,734,1,0,1/734,2.79,+535,"1,514",9,3,1/126,3.07,+180,"2,484",9,9,1/138,3.53,-869,945,1,3,1/236,3.29,-67,835,3,2,1/167,3.25,-404,"1,585",4,7,1/144,3.74,-229,"2,153",7,11,1/120,4.21,+345,"2,783",14,6,1/139,2.75,+264,745,5,0,1/149,2.95
2026-04-26,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+973,"4,452",21,15,1/124,3.51,-559,"1,078",3,1,1/270,2.78,+358,"3,189",15,7,1/145,2.65,-39,"4,794",19,17,1/133,3.54,-700,948,1,2,1/316,3.05,+220,"3,416",14,12,1/131,3.53,+407,"5,406",23,20,1/126,3.81,-481,851,2,1,1/284,2.95,"-1,232","2,713",6,7,1/209,2.74,-822,"4,292",12,17,1/148,3.71
2026-04-25,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+41,"5,119",17,17,1/151,3.15,"-1,618","3,549",9,11,1/177,2.97,-674,"3,682",12,8,1/184,2.39,+473,"7,174",28,27,1/130,3.87,+304,"4,465",17,17,1/131,3.77,"+2,731","8,376",41,33,1/113,4.57,"+1,704","7,314",35,29,1/114,4.47,"+2,641","7,194",38,27,1/111,4.34,+0,"5,944",26,14,1/149,2.25,-898,"3,796",12,8,1/190,2.32
2026-04-24,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-98,309,1,0,1/309,3.21,+607,"6,891",31,24,1/125,3.63,-103,87,0,0,-,3.40,-304,885,2,2,1/221,3.15,+375,"1,218",6,5,1/111,3.74,-369,"3,754",12,14,1/144,3.56,"-1,138","1,818",3,6,1/202,3.22,+96,"2,040",8,7,1/136,3.46,-465,688,1,2,1/229,3.31,-211,"1,038",3,3,1/173,3.29
2026-04-23,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-587,"5,357",18,16,1/158,2.78,+260,"1,988",8,7,1/133,3.51,-733,"1,970",6,2,1/246,2.37,"-1,093","2,396",6,4,1/240,2.42,+104,"1,293",6,2,1/162,2.92,"-1,084","5,488",16,20,1/152,3.42,-350,223,0,0,-,3.26,"+1,574","4,863",21,26,1/103,5.08,"+1,649","6,200",29,21,1/124,3.53,+640,"3,687",18,9,1/137,2.74
2026-04-22,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-586,"1,808",5,5,1/181,3.08,-439,"1,043",3,1,1/261,2.81,"+1,791","5,388",28,18,1/117,3.61,-296,383,0,1,1/383,3.34,"+2,148","6,431",32,23,1/117,3.91,-787,"1,923",4,7,1/175,3.39,-480,454,0,1,1/454,3.26,-255,"1,128",5,0,1/226,2.59,+439,"4,121",20,7,1/153,2.15,+481,"2,721",11,10,1/130,3.62
2026-04-20,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-533,"2,616",7,11,1/145,3.77,+15,"3,514",13,12,1/141,3.38,-185,"1,429",7,1,1/179,2.62,-76,"2,204",9,6,1/147,3.09,-206,"2,698",11,9,1/135,3.40,-196,693,1,5,1/116,4.03,-543,"5,917",19,21,1/148,3.37,-830,"1,830",5,4,1/203,2.83,-326,"1,706",5,6,1/155,3.42,+501,"3,864",19,6,1/155,2.13
2026-04-19,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+292,"2,419",13,6,1/127,3.05,+655,"4,707",21,15,1/131,3.25,-850,"1,806",4,6,1/181,3.27,-670,"3,160",13,3,1/198,2.00,+366,"1,430",8,1,1/159,2.65,"-1,162","2,828",7,6,1/218,2.50,"+3,065","6,898",38,22,1/115,3.49,+500,"1,319",7,5,1/110,3.69,-566,"4,473",16,15,1/144,3.27,+314,"1,535",9,2,1/140,2.81
2026-04-18,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-289,"4,978",19,12,1/161,2.37,-825,"1,602",4,3,1/229,2.78,-381,632,1,1,1/316,3.12,"+1,346","5,148",25,17,1/123,3.47,-410,603,1,1,1/302,3.15,+131,"7,273",25,32,1/128,4.53,"+2,525","8,098",36,37,1/111,5.04,-137,"2,917",12,7,1/154,2.77,-320,833,3,1,1/208,3.01,+639,"7,518",32,28,1/125,3.95
2026-04-17,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-940,"3,134",8,9,1/184,2.87,-378,917,2,2,1/229,3.12,-257,456,1,0,1/456,3.06,-207,386,1,0,1/386,3.13,"+1,818","7,510",35,32,1/112,4.78,-70,324,1,0,1/324,3.20,-11,"2,151",9,4,1/165,2.70,-919,"1,814",3,7,1/181,3.45,-114,"3,496",13,11,1/146,3.17,-30,"2,946",13,7,1/147,2.78
2026-04-16,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,171","5,376",20,32,1/103,5.27,-187,310,1,0,1/310,3.21,-17,843,4,2,1/141,3.29,-270,666,2,0,1/333,2.90,-843,"1,656",3,5,1/207,3.14,+356,"3,688",15,12,1/137,3.30,-701,941,2,0,1/471,2.65,+91,"3,888",15,12,1/144,3.10,-292,403,1,1,1/202,3.36,-321,"1,280",4,5,1/142,3.57
2026-04-15,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-697,"3,517",13,5,1/195,2.07,"+2,429","8,399",39,34,1/115,4.62,+145,"5,343",22,16,1/141,2.93,"+2,944","8,414",39,42,1/104,5.35,-406,"2,394",8,5,1/184,2.67,+280,"5,526",22,18,1/138,3.19,-552,"6,088",20,23,1/142,3.68,"+1,816","8,635",40,25,1/133,2.64,-824,"6,180",20,19,1/158,2.78,+180,"8,189",31,31,1/132,3.91
2026-04-14,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+804,"4,118",20,13,1/125,3.33,+263,"1,539",8,3,1/140,3.00,-90,371,1,1,1/186,3.40,-252,"2,123",7,9,1/133,3.80,-537,707,1,1,1/354,3.05,-335,899,3,1,1/225,2.95,-288,"1,834",7,4,1/167,2.90,+793,862,8,0,1/108,2.96,+288,993,5,5,1/99,3.93,+589,"2,117",13,1,1/151,2.28
2026-04-13,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-125,"4,031",16,15,1/130,3.70,-783,636,0,0,-,2.85,"+1,925","6,058",29,24,1/114,4.33,-620,"2,162",8,4,1/180,2.65,"+1,389","5,138",25,18,1/119,3.72,+614,"3,543",14,16,1/118,4.29,-503,"4,454",18,9,1/165,2.21,-233,173,0,0,-,3.31,-437,823,3,0,1/274,2.79,+171,"3,528",16,10,1/136,3.03
2026-04-12,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,839","7,591",37,25,1/122,3.44,-301,488,1,0,1/488,3.03,+127,"1,101",6,0,1/184,2.65,-79,803,3,3,1/134,3.54,-557,"3,155",10,9,1/166,2.92,-270,496,1,1,1/248,3.27,-273,"4,415",14,19,1/134,4.10,+708,"1,538",9,6,1/103,3.80,+360,"3,899",17,12,1/134,3.18,-76,883,4,0,1/221,2.77
2026-04-11,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,023","1,176",1,3,1/294,3.06,-590,"1,369",4,2,1/228,2.77,-415,"4,944",17,16,1/150,3.09,-270,"3,573",13,9,1/162,2.67,"+2,669","7,986",39,32,1/112,4.62,-814,"3,173",8,9,1/187,2.84,+303,"2,762",12,9,1/132,3.38,-208,346,1,0,1/346,3.17,-890,"3,368",9,12,1/160,3.35,-512,"2,413",8,7,1/161,3.08
2026-04-10,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+428,"3,679",17,8,1/147,2.52,+332,"1,077",6,1,1/154,2.90,-513,338,0,0,-,3.14,"+1,182","5,039",26,13,1/129,2.70,-251,698,1,3,1/175,3.55,+61,"5,285",18,23,1/129,4.29,-445,568,1,1,1/284,3.19,+645,"5,029",24,13,1/136,2.64,"+1,117","5,233",25,20,1/116,4.08,"-1,052","1,126",1,2,1/375,2.88
2026-04-09,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,177","5,363",14,18,1/168,3.05,-652,"2,217",7,4,1/202,2.58,"-1,126","6,757",22,27,1/138,3.98,+336,"1,808",8,5,1/139,3.21,+295,"4,958",21,14,1/142,2.80,-754,"3,294",8,10,1/183,2.94,-392,"5,353",18,20,1/141,3.63,-773,"5,251",19,12,1/169,2.22,-733,731,0,1,1/731,2.98,+642,"8,799",28,44,1/122,5.04
2026-04-08,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,914","8,750",36,34,1/125,4.21,-191,398,1,0,1/398,3.12,"+2,151","6,247",32,26,1/108,4.67,-320,487,1,1,1/244,3.27,-718,"4,468",16,14,1/149,3.05,+567,"2,652",13,7,1/133,3.06,+338,"6,833",25,27,1/131,4.04,-86,"2,466",11,5,1/154,2.71,-205,"1,798",7,5,1/150,3.17,-527,"2,805",8,10,1/156,3.39
2026-04-06,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-481,"1,600",4,4,1/200,3.01,+544,"3,604",19,4,1/157,2.00,-350,575,2,0,1/288,2.99,"+1,438","8,874",38,33,1/125,4.01,-147,"1,098",4,1,1/220,2.80,-557,"7,542",25,23,1/157,2.66,-432,"1,655",5,6,1/150,3.47,-547,"5,654",19,19,1/149,3.18,+303,617,4,0,1/154,3.03,+759,"4,248",22,9,1/137,2.43
2026-04-05,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-747,"7,211",24,23,1/153,2.87,+437,"5,258",24,16,1/131,3.08,-244,"4,339",17,13,1/145,2.99,"-1,461","7,912",19,35,1/147,4.31,-332,"3,610",14,10,1/150,2.88,-736,"4,988",14,19,1/151,3.58,+517,"7,365",27,31,1/127,4.40,+575,"7,981",29,36,1/123,4.75,"+3,853","9,491",43,49,1/103,5.47,"-1,865","4,027",9,12,1/192,2.78
2026-04-04,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-489,"1,561",5,2,1/223,2.64,+830,"5,693",19,30,1/116,4.98,"+3,124","6,548",35,33,1/96,5.35,+209,"4,232",17,18,1/121,4.21,-336,"1,218",4,1,1/244,2.69,-333,"3,119",10,10,1/156,3.17,-628,"4,843",14,19,1/147,3.71,-442,606,1,1,1/303,3.15,"+1,584","7,491",34,26,1/125,3.63,-651,"2,528",7,7,1/181,2.93
2026-04-03,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-825,"5,633",16,22,1/148,3.71,-533,601,1,1,1/301,3.16,+417,"2,384",12,8,1/119,3.54,+855,"3,072",15,13,1/110,4.16,-280,403,1,0,1/403,3.12,-65,"1,206",6,1,1/172,2.78,-607,741,1,1,1/371,3.02,-986,"1,732",3,4,1/247,2.85,-728,923,1,1,1/462,2.84,+343,"2,685",12,10,1/122,3.71
2026-04-02,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+487,"3,527",11,21,1/110,4.91,-276,371,1,0,1/371,3.15,-334,"1,707",6,3,1/190,2.76,+639,"2,370",13,3,1/148,2.45,-240,469,1,0,1/469,3.05,-658,668,0,1,1/668,3.05,+274,"3,368",16,7,1/146,2.54,-93,262,1,0,1/262,3.26,-819,"2,024",4,6,1/202,3.06,+142,"1,535",6,7,1/118,3.89
2026-04-01,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-368,727,1,2,1/242,3.27,-334,263,0,0,-,3.21,+443,"6,107",25,25,1/122,4.28,-390,363,0,1,1/363,3.36,-230,849,2,3,1/170,3.44,+149,"3,105",12,11,1/135,3.51,+583,"4,115",17,16,1/125,3.89,+181,"1,272",6,4,1/127,3.43,-713,"1,823",6,3,1/203,2.66,+515,"2,787",12,12,1/116,4.07
2026-03-31,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-368,613,1,1,1/307,3.14,+963,"5,913",26,21,1/126,3.68,-210,640,3,0,1/213,2.96,+133,"3,290",12,12,1/137,3.56,+146,658,4,0,1/165,2.99,-89,"2,549",8,10,1/142,3.65,-69,"1,718",8,3,1/156,2.83,"+1,770","5,435",29,18,1/116,3.61,"+1,290","4,358",22,16,1/115,3.90,-16,"4,292",19,9,1/153,2.32
2026-03-30,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+389,"2,342",11,6,1/138,3.04,-550,"1,294",3,4,1/185,3.27,"-1,353","4,999",13,18,1/161,3.32,-678,"1,932",5,6,1/176,3.19,+15,825,5,0,1/165,2.87,"-1,743","2,766",4,7,1/251,2.64,+465,"6,447",25,28,1/122,4.52,+676,"6,451",25,27,1/124,4.36,-315,617,0,3,1/206,3.58,+994,"5,411",23,18,1/132,3.35
