日付,曜日,特定日,343番台,,,,,,344番台,,,,,,345番台,,,,,,346番台,,,,,,347番台,,,,,,348番台,,,,,,349番台,,,,,,350番台,,,,,,351番台,,,,,,352番台,,,,,,418番台,,,,,,419番台,,,,,,420番台,,,,,,421番台,,,,,,422番台,,,,,,423番台,,,,,,424番台,,,,,,425番台,,,,,,426番台,,,,,,427番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-05-29,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-351,604,2,0,1/302,2.96,+749,"3,477",17,9,1/134,2.89,+366,"1,844",8,5,1/142,3.17,-249,"1,359",5,2,1/194,2.82,-284,487,1,1,1/244,3.27,-442,"4,236",13,15,1/151,3.37,-348,"1,702",7,3,1/170,2.80,-286,940,3,2,1/188,3.14,-215,"3,175",13,11,1/132,3.49,"+1,131","6,220",26,29,1/113,4.85
2026-05-28,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-293,"1,635",6,4,1/164,3.05,-364,"2,178",9,5,1/156,2.89,-339,"3,454",10,14,1/144,3.76,-222,160,0,0,-,3.32,"+1,986","5,174",25,20,1/115,4.14,-820,"3,715",12,8,1/186,2.37,+468,"2,041",10,6,1/128,3.31,+583,"3,710",18,11,1/128,3.17,-137,"1,050",3,4,1/150,3.52,-357,"3,096",13,4,1/182,2.15
2026-05-27,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-17,"3,308",12,11,1/144,3.31,"-1,693","2,098",2,4,1/350,2.53,-513,"2,116",4,10,1/151,3.89,-218,"1,563",7,1,1/195,2.51,-139,"2,153",6,11,1/127,4.16,-528,"5,872",19,23,1/140,3.83,-192,"1,992",8,3,1/181,2.59,+404,"4,746",19,18,1/128,3.82,-194,"1,674",6,5,1/152,3.26,"+2,877","5,683",29,27,1/101,5.05
2026-05-26,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+714,"3,427",17,12,1/118,3.67,-808,655,0,1,1/655,3.06,+369,"2,101",12,3,1/140,2.63,+295,"2,168",10,6,1/136,3.17,+368,"3,015",14,8,1/137,2.98,+609,"3,517",17,9,1/135,2.86,+991,"1,705",13,1,1/122,2.59,+825,"4,419",20,16,1/123,3.74,-382,"2,633",6,13,1/139,4.13,+431,"4,752",22,14,1/132,3.02
2026-05-25,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,650","5,935",29,23,1/114,4.25,"+1,791","7,362",35,27,1/119,4.03,+433,"8,378",35,28,1/133,3.28,"+2,359","8,523",39,36,1/114,4.81,+218,"5,541",25,13,1/146,2.31,+497,"6,551",23,30,1/124,4.65,+655,"7,356",31,23,1/136,2.97,+756,"3,936",22,4,1/151,1.91,"+1,133","7,123",31,27,1/123,4.06,-686,"7,114",23,27,1/142,3.71
2026-05-24,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-286,536,1,1,1/268,3.22,"-1,199","3,239",8,12,1/162,3.43,-179,"2,640",10,8,1/147,3.18,-221,"1,528",6,3,1/170,2.93,-974,"1,791",4,5,1/199,3.05,-100,617,2,2,1/154,3.44,-434,"4,919",19,12,1/159,2.41,"-1,139","4,090",12,14,1/157,3.24,-210,297,0,2,1/149,3.68,+346,"2,794",12,8,1/140,3.11
2026-05-23,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,065","5,707",26,20,1/124,3.65,-272,"2,285",8,6,1/163,2.97,"-1,675","6,133",20,18,1/161,2.64,-764,892,1,1,1/446,2.87,-614,"3,900",12,14,1/150,3.42,-919,"2,099",4,7,1/191,3.22,-41,"1,059",5,0,1/212,2.65,"+2,053","7,157",30,38,1/105,5.30,+248,"4,022",15,12,1/149,2.98,-704,"5,450",18,17,1/156,2.91
2026-05-22,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-76,599,2,2,1/150,3.46,-284,347,0,1,1/347,3.38,+942,"6,747",24,35,1/114,5.08,-324,"1,090",3,4,1/156,3.48,"+1,009","3,674",18,12,1/122,3.45,-895,"2,189",5,6,1/199,2.95,-449,308,0,0,-,3.17,-264,"3,322",12,10,1/151,3.06,+642,"4,884",20,20,1/122,4.16,+628,"3,548",16,11,1/131,3.25
2026-05-21,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-359,"1,960",5,6,1/178,3.16,+678,902,7,1,1/113,3.12,-42,"3,163",10,15,1/127,4.24,+0,"8,684",34,29,1/138,3.18,+279,"3,531",14,13,1/131,3.65,-444,319,0,0,-,3.16,-532,"1,565",5,3,1/196,2.85,-257,"5,012",19,14,1/152,2.70,-205,"2,821",10,10,1/141,3.47,-321,"3,018",10,9,1/159,3.04
2026-05-20,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,570","3,400",8,9,1/200,2.66,+539,"3,630",16,12,1/130,3.40,-585,"3,190",11,10,1/152,3.15,-327,"2,582",10,5,1/172,2.58,-100,589,2,2,1/147,3.47,+944,"4,718",21,20,1/115,4.36,+413,"4,826",19,16,1/138,3.28,-650,"1,051",1,5,1/175,3.66,-323,397,0,2,1/199,3.57,"+1,609","7,438",36,24,1/124,3.32
2026-05-19,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-209,149,0,0,-,3.34,-297,"3,085",12,9,1/147,3.06,+432,"2,153",12,3,1/144,2.59,-689,"1,100",1,4,1/220,3.37,-467,868,2,2,1/217,3.17,-197,"2,045",9,3,1/170,2.58,-415,326,0,0,-,3.15,"-1,015","2,886",9,6,1/192,2.51,-15,"1,252",4,6,1/125,3.84,+305,"5,366",22,18,1/134,3.35
2026-05-18,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,448","4,491",22,16,1/118,3.77,-98,"2,040",6,8,1/146,3.60,-77,"5,682",18,23,1/139,3.95,-526,"2,880",9,10,1/152,3.36,-938,"1,367",2,3,1/273,2.92,+551,"2,600",12,10,1/118,3.80,-227,554,2,0,1/277,3.01,+17,"1,345",6,1,1/192,2.65,"+2,689","6,089",32,27,1/103,4.93,-363,"2,605",10,6,1/163,2.76
2026-05-17,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+663,"4,772",19,20,1/122,4.21,-650,807,2,0,1/404,2.77,"-1,366","1,921",2,4,1/320,2.66,-214,"5,061",18,19,1/137,3.69,-74,"6,195",23,23,1/135,3.71,-56,"1,910",7,7,1/136,3.55,-157,"1,877",7,6,1/144,3.34,"+2,402","7,648",38,28,1/116,4.12,-464,"1,562",4,3,1/223,2.82,-492,"2,835",10,9,1/149,3.22
2026-05-16,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,827","5,118",32,14,1/111,3.10,+54,"1,822",7,4,1/166,2.92,"+1,257","6,260",29,23,1/120,3.93,-360,280,0,0,-,3.20,-110,"4,889",19,16,1/140,3.22,-524,"1,103",2,3,1/221,3.17,-821,"3,392",12,7,1/179,2.41,+499,"4,287",21,11,1/134,2.75,-89,"4,243",18,11,1/146,2.69,"+1,011","4,008",21,12,1/121,3.25
2026-05-15,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+346,"3,664",16,10,1/141,2.90,"+2,827","8,387",34,45,1/106,5.38,"-1,158","3,668",10,11,1/175,2.90,"+1,682","8,561",36,32,1/126,4.00,"-1,302","6,104",17,24,1/149,3.74,"-1,903","5,003",12,14,1/192,2.52,"-1,056","5,781",17,17,1/170,2.63,+448,"3,840",16,16,1/120,4.11,"+1,473","8,315",37,32,1/121,4.26,"+2,237","9,030",40,37,1/117,4.66
2026-05-13,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-873,"1,617",4,3,1/231,2.77,"-1,093","1,464",2,3,1/293,2.83,+836,"3,265",17,11,1/117,3.59,"+1,752","3,467",21,9,1/116,3.07,"+1,527","8,276",33,35,1/122,4.60,-543,450,0,0,-,3.02,-528,"1,721",5,5,1/172,3.16,-511,"1,929",6,6,1/161,3.24,-464,656,2,0,1/328,2.91,+746,"6,047",25,24,1/123,4.15
2026-05-12,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-608,"2,126",6,6,1/177,3.04,-575,495,0,1,1/495,3.22,-649,"4,319",15,11,1/166,2.54,"+3,507","7,021",34,35,1/102,5.28,"+1,678","4,831",25,18,1/112,4.04,-372,"1,132",3,2,1/226,2.95,+333,"3,662",18,9,1/136,2.76,+769,"5,539",21,22,1/129,4.02,"-1,334","2,606",4,10,1/186,3.41,"-1,335","3,069",8,6,1/219,2.36
