日付,曜日,特定日,327番台,,,,,,328番台,,,,,,329番台,,,,,,330番台,,,,,,331番台,,,,,,332番台,,,,,,333番台,,,,,,334番台,,,,,,335番台,,,,,,336番台,,,,,,337番台,,,,,,338番台,,,,,,339番台,,,,,,340番台,,,,,,341番台,,,,,,342番台,,,,,,402番台,,,,,,403番台,,,,,,404番台,,,,,,405番台,,,,,,406番台,,,,,,407番台,,,,,,408番台,,,,,,409番台,,,,,,410番台,,,,,,411番台,,,,,,412番台,,,,,,413番台,,,,,,414番台,,,,,,415番台,,,,,,416番台,,,,,,417番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-05-29,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-336,"8,480",26,36,1/137,4.60,+88,153,1,0,1/153,3.37,"+1,455","7,473",34,24,1/129,3.80,-331,"1,412",4,4,1/177,3.16,-811,"1,263",3,0,1/421,2.25,-899,"2,138",5,7,1/178,3.20,"-1,092","3,216",8,7,1/214,2.33,-68,"3,443",14,5,1/181,2.09,-21,"5,653",18,22,1/141,4.05,-617,514,0,0,-,2.78,"+1,049","6,943",31,19,1/139,2.93,-489,516,0,1,1/516,3.08,-349,"2,516",8,7,1/168,2.98,-379,"1,140",3,4,1/163,3.44,-157,"2,250",8,5,1/173,2.75,+834,"5,440",25,12,1/147,2.40
2026-05-28,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,579","8,235",32,35,1/123,4.96,-562,873,2,1,1/291,2.79,-551,"3,756",12,10,1/171,2.71,-162,"6,322",22,19,1/154,2.94,-708,"1,924",5,3,1/241,2.41,"+4,062","5,435",37,20,1/95,5.15,"+1,078","6,118",22,32,1/113,5.44,-663,"5,014",16,13,1/173,2.48,+240,"4,455",17,15,1/139,3.60,-997,"2,517",5,6,1/229,2.53,-936,"5,804",20,11,1/187,1.89,-258,"6,978",26,19,1/155,2.61,+31,"4,093",16,10,1/157,2.64,"-1,032","1,720",4,3,1/246,2.54,+191,"5,298",21,14,1/151,2.72,"-1,596","2,873",5,7,1/239,2.44
2026-05-27,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-87,"7,667",24,31,1/139,4.33,"+2,478","8,159",38,30,1/120,4.63,-724,"1,742",4,3,1/249,2.52,"-1,015","1,692",3,5,1/212,3.01,"+1,677","7,664",36,22,1/132,3.26,-714,"5,173",15,14,1/178,2.50,+519,"7,274",30,20,1/145,2.78,"-1,439","6,001",15,24,1/154,3.90,"-2,823","7,775",21,17,1/205,1.82,-984,"5,457",16,17,1/165,2.93,"-1,023","4,439",13,10,1/193,2.23,-563,"3,795",14,4,1/211,1.81,"-1,420","5,621",14,21,1/161,3.55,"-1,178","1,750",3,2,1/350,2.25,-879,"7,258",22,22,1/165,2.76,"-1,160","3,820",13,5,1/212,1.88
2026-05-26,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,257","5,759",26,16,1/137,3.07,+349,"5,063",15,25,1/127,4.96,-206,"4,348",18,6,1/181,1.89,"-1,073","3,118",5,14,1/164,3.92,"-1,950","4,051",9,7,1/253,1.91,-42,"5,628",20,19,1/144,3.52,-441,"2,118",7,5,1/177,2.83,"+1,291","7,344",31,31,1/118,5.00,+596,"5,549",20,20,1/139,3.85,-287,"7,461",23,27,1/149,3.68,-856,"2,246",6,2,1/281,2.05,-623,"3,074",11,8,1/162,2.85,+691,"7,511",32,22,1/139,3.14,-374,"4,562",16,13,1/157,2.88,-281,"4,466",15,13,1/160,2.91,+904,"5,757",27,15,1/137,2.90
2026-05-25,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,163","8,478",25,29,1/157,3.30,"+1,313","6,052",28,18,1/132,3.42,+884,"6,362",30,14,1/145,2.33,-795,"3,148",10,5,1/210,2.12,"-1,122","6,914",24,15,1/177,1.97,+324,"5,584",24,13,1/151,2.43,"+2,915","8,328",41,33,1/113,5.09,"-1,809","6,079",19,10,1/210,1.71,+755,"8,789",31,36,1/131,4.65,-559,"2,774",9,7,1/173,2.77,-451,"7,761",27,19,1/169,2.15,-417,"7,742",25,29,1/143,3.96,-899,"3,133",10,5,1/209,2.13,"+1,219","6,601",31,17,1/138,2.80,"-1,125","6,718",18,25,1/156,3.63,-398,"3,620",14,4,1/201,1.87
2026-05-24,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,174","4,405",11,14,1/176,2.94,-381,"2,170",7,8,1/145,3.63,+973,"6,443",27,18,1/143,2.92,-874,"2,522",5,10,1/168,3.57,-322,"2,803",9,10,1/148,3.57,"-1,282","3,823",11,7,1/212,2.07,+279,"5,531",21,17,1/146,3.20,-323,"6,225",23,16,1/160,2.47,-893,"2,041",3,7,1/204,3.15,"-1,495","6,224",20,16,1/173,2.34,-820,"2,206",6,6,1/184,2.92,-943,"3,245",8,11,1/171,3.21,-646,"6,030",21,15,1/168,2.34,"+2,777","7,177",36,26,1/116,4.66,-702,"3,741",11,13,1/156,3.41,-422,"2,659",9,6,1/177,2.65
2026-05-23,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-987,"3,921",12,10,1/178,2.56,-585,"3,055",11,6,1/180,2.41,-497,646,1,1,1/323,2.99,"+1,981","6,092",28,19,1/130,3.63,"-1,710","3,764",10,5,1/251,1.84,-558,"4,879",17,12,1/168,2.44,-462,"2,394",8,2,1/239,2.04,"+2,219","8,651",34,43,1/112,5.57,-478,"5,235",17,17,1/154,3.22,-217,"1,531",6,1,1/219,2.39,-910,"2,858",7,8,1/191,2.79,+372,"5,383",23,12,1/154,2.35,-449,"4,124",14,10,1/172,2.49,+885,"6,882",27,25,1/132,4.11,-655,"1,487",3,3,1/248,2.71,+225,"5,695",20,21,1/139,3.93
2026-05-22,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+185,"6,046",26,12,1/159,2.06,-662,840,2,0,1/420,2.57,"+1,697","7,816",29,36,1/120,5.20,-735,"2,648",9,6,1/177,2.66,-331,"4,605",17,11,1/164,2.46,+734,"7,232",30,20,1/145,2.82,-558,"1,096",3,1,1/274,2.62,-680,"5,384",17,13,1/179,2.27,-330,"4,028",14,10,1/168,2.58,-516,"1,771",5,4,1/197,2.80,-619,825,2,0,1/413,2.58,"+2,598","7,140",39,21,1/119,3.84,-411,"1,554",4,3,1/222,2.71,-597,"2,645",7,9,1/165,3.30,-732,"3,686",13,4,1/217,1.83,+204,"4,916",18,17,1/140,3.66
2026-05-21,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,316","7,520",21,28,1/153,3.70,-222,"2,011",8,1,1/223,2.12,"+1,119","3,672",17,16,1/111,4.75,+609,"4,707",22,8,1/157,2.09,"+1,785","5,851",26,23,1/119,4.65,+519,"3,759",16,13,1/130,3.83,-230,943,3,1,1/236,2.79,"+1,171","6,733",28,21,1/137,3.42,-97,"8,344",25,36,1/137,4.64,+602,"4,933",19,21,1/123,4.65,"+2,767","8,897",44,24,1/131,3.04,-240,"3,925",13,17,1/131,4.39,-575,892,2,0,1/446,2.52,-646,"1,070",2,1,1/357,2.58,-363,"5,738",17,24,1/140,4.31,-831,"1,066",2,1,1/355,2.58
2026-05-20,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+885,"2,034",12,6,1/113,3.70,+762,"8,936",30,41,1/126,5.13,+84,"3,908",14,10,1/163,2.69,"-1,052","1,681",2,4,1/280,2.68,"+2,434","7,046",37,20,1/124,3.52,+338,"6,294",26,15,1/154,2.37,-407,"4,331",15,8,1/188,2.06,"-1,371","3,402",7,10,1/200,2.73,+442,"5,524",21,19,1/138,3.71,-527,"1,333",4,1,1/267,2.45,"+1,223","7,522",27,39,1/114,5.54,+0,"5,095",22,11,1/154,2.33,-348,"2,295",8,4,1/191,2.47,"+1,642","7,731",32,30,1/125,4.62,"+1,844","4,572",25,10,1/131,2.75,-670,"4,037",15,9,1/168,2.42
