日付,曜日,特定日,319番台,,,,,,320番台,,,,,,321番台,,,,,,322番台,,,,,,323番台,,,,,,324番台,,,,,,325番台,,,,,,326番台,,,,,,465番台,,,,,,466番台,,,,,,467番台,,,,,,468番台,,,,,,469番台,,,,,,470番台,,,,,,471番台,,,,,,472番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-05-29,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+261,"3,877",16,11,1/144,3.40,"+1,189","3,247",18,8,1/125,3.49,-403,581,0,2,1/291,3.36,+473,"4,349",18,12,1/145,3.31,-313,342,0,1,1/342,3.36,-256,"3,785",12,14,1/146,3.92,-560,"1,640",5,4,1/182,3.12,-332,"2,473",8,8,1/155,3.50
2026-05-28,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-555,"1,179",3,0,1/393,2.46,+310,"2,679",11,8,1/141,3.53,-97,"2,296",9,6,1/153,3.25,+107,"3,401",13,11,1/142,3.68,-155,"1,155",4,2,1/193,3.04,-86,"2,607",11,5,1/163,2.82,-239,788,2,2,1/197,3.29,-315,"3,746",15,5,1/187,2.17
2026-05-27,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,114","5,259",25,12,1/142,2.91,"-1,018","1,100",0,2,1/550,2.79,"+1,138","1,940",13,4,1/114,3.49,-556,"2,040",6,5,1/185,3.03,+116,"2,949",12,7,1/155,3.05,-156,"2,177",8,5,1/167,3.04,-683,"5,599",21,9,1/187,1.98,-578,"1,965",7,3,1/197,2.69
2026-05-26,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,545","8,549",35,28,1/136,4.10,-428,851,2,2,1/213,3.21,-277,"1,104",4,2,1/184,3.09,-828,"5,217",16,13,1/180,2.63,-752,"4,532",16,8,1/189,2.21,-620,"3,550",10,15,1/142,4.23,-526,"1,396",3,5,1/175,3.50,+538,"6,062",22,24,1/132,4.58
2026-05-25,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,302","3,538",9,10,1/186,2.98,+179,"6,270",27,13,1/157,2.42,-491,"5,535",18,17,1/158,3.33,"-1,052","5,569",18,12,1/186,2.31,"-1,018","3,242",11,5,1/203,2.31,"-1,472","2,151",2,5,1/307,2.65,-227,"7,980",29,18,1/170,2.28,+403,"6,279",24,18,1/150,3.27
2026-05-24,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+488,"4,783",21,12,1/145,3.09,+441,"1,517",9,1,1/152,2.78,-979,"2,024",3,6,1/225,3.07,+292,"4,539",16,19,1/130,4.57,-253,"3,570",15,5,1/179,2.27,-10,"1,996",7,4,1/181,2.90,-202,"3,105",12,7,1/163,2.89,+511,"3,366",16,7,1/146,2.92
2026-05-23,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-58,"4,863",17,14,1/157,3.21,-557,"1,082",2,1,1/361,2.71,+554,"4,239",18,15,1/128,4.18,-441,920,3,1,1/230,2.95,-297,"3,105",12,5,1/183,2.45,+339,"1,777",9,3,1/148,3.03,+64,"2,214",9,5,1/158,3.08,-478,"2,420",9,4,1/186,2.63
2026-05-22,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,018","1,540",2,3,1/308,2.75,-866,"2,861",8,8,1/179,3.09,+276,"3,339",15,6,1/159,2.64,+572,"5,590",19,24,1/130,4.75,+281,729,4,1,1/146,3.26,-233,"3,365",14,5,1/177,2.37,-133,"2,735",10,8,1/152,3.38,-928,973,1,0,1/973,2.51
2026-05-21,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-51,898,4,2,1/150,3.34,+903,"5,378",26,13,1/138,3.11,-301,239,0,0,-,3.20,+253,"3,333",14,7,1/159,2.81,"+1,308","2,866",16,7,1/125,3.49,-315,635,1,1,1/318,3.10,-956,"2,073",4,5,1/230,2.85,-913,"1,443",3,1,1/361,2.45
2026-05-20,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,303","6,133",29,13,1/146,2.62,-219,476,1,0,1/476,3.01,-476,"2,424",9,5,1/173,2.86,"+1,156","5,829",26,23,1/119,4.89,-326,"1,701",5,4,1/189,3.05,-526,747,1,2,1/249,3.25,-817,"1,643",4,4,1/205,3.03,+137,"2,165",9,6,1/144,3.40
