日付,曜日,特定日,319番台,,,,,,320番台,,,,,,321番台,,,,,,322番台,,,,,,323番台,,,,,,324番台,,,,,,325番台,,,,,,326番台,,,,,,465番台,,,,,,466番台,,,,,,467番台,,,,,,468番台,,,,,,469番台,,,,,,470番台,,,,,,471番台,,,,,,472番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-04-30,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-652,"3,436",12,6,1/191,2.40,-538,710,1,1,1/355,3.02,-422,"2,487",8,6,1/178,2.97,+468,"5,262",19,18,1/142,3.90,-368,"1,445",5,4,1/161,3.34,+83,"2,874",11,8,1/151,3.31,+745,"4,486",21,12,1/136,3.41,+395,"2,664",12,5,1/157,2.84
2026-04-29,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-461,"3,110",10,8,1/173,2.98,+558,"2,970",14,8,1/135,3.46,-558,945,2,1,1/315,2.84,-444,"1,267",3,4,1/181,3.37,-98,"2,805",11,7,1/156,3.12,+185,"3,662",14,12,1/141,3.73,-667,"2,005",5,3,1/251,2.53,"+1,118","4,889",22,15,1/132,3.82
2026-04-28,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,407","2,339",4,5,1/260,2.61,-445,954,2,3,1/191,3.37,"+1,680","7,356",34,21,1/134,3.65,-645,"1,450",3,3,1/242,2.90,"+1,135","2,761",15,8,1/120,3.81,-665,722,0,1,1/722,2.92,"-1,005","1,216",1,1,1/608,2.52,"+1,257","4,675",24,13,1/126,3.72
2026-04-27,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,802","6,165",28,19,1/131,3.92,-149,365,1,0,1/365,3.14,"+1,401","3,857",20,12,1/121,4.05,-182,359,1,0,1/359,3.14,-445,365,0,0,-,3.05,"+2,075","5,942",28,23,1/117,4.93,+613,"3,054",13,10,1/133,3.81,-575,"1,661",6,1,1/237,2.45
2026-04-26,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-360,"2,830",9,9,1/157,3.45,"+1,787","5,200",27,17,1/118,4.40,-338,528,1,1,1/264,3.23,-44,"1,369",4,5,1/152,3.62,"+2,618","5,486",33,13,1/119,3.58,+726,"3,744",16,14,1/125,4.31,-604,500,0,0,-,2.90,-766,"4,897",16,12,1/175,2.68
2026-04-25,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-519,"1,784",7,1,1/223,2.41,+835,"7,361",31,22,1/139,3.65,"+1,084","5,474",24,16,1/137,3.60,"+2,124","6,114",33,17,1/122,3.92,-681,"3,307",12,3,1/220,2.01,+233,"6,668",25,22,1/142,3.87,-269,"3,424",14,7,1/163,2.73,-467,"6,573",24,18,1/157,3.01
2026-04-24,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-270,208,0,0,-,3.24,"+2,880","5,232",27,25,1/101,5.52,-218,411,0,2,1/206,3.57,-344,"1,258",4,2,1/210,2.93,-454,"1,545",4,5,1/172,3.41,-241,435,1,0,1/435,3.05,-338,266,0,0,-,3.16,+444,"3,015",14,8,1/137,3.40
2026-04-23,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+492,"2,121",11,4,1/141,3.08,"+2,222","4,341",23,15,1/114,4.51,+979,"5,267",23,16,1/135,3.74,-595,735,1,1,1/368,2.99,-384,"2,191",7,5,1/183,2.95,-862,"2,171",5,5,1/217,2.83,-219,"1,503",5,4,1/167,3.27,-760,"2,549",6,8,1/182,3.26
2026-04-22,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-280,"2,732",11,3,1/195,2.30,-108,"3,566",13,7,1/178,2.55,-394,616,1,2,1/205,3.41,+596,"2,048",12,2,1/146,2.72,-678,739,1,0,1/739,2.73,+101,"1,151",5,2,1/164,3.13,+768,"2,151",10,7,1/127,3.80,+18,"4,106",14,17,1/132,4.42
2026-04-20,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+185,"1,291",5,5,1/129,3.81,+531,"5,237",22,13,1/150,2.96,+316,882,4,3,1/126,3.65,-477,"4,061",14,12,1/156,3.30,+234,801,4,2,1/134,3.46,+904,"5,494",27,11,1/145,2.61,-253,"2,476",9,6,1/165,3.06,+16,"3,101",13,6,1/163,2.73
2026-04-19,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-556,968,2,0,1/484,2.58,-88,934,4,1,1/187,3.01,+272,"4,903",19,18,1/133,4.26,-513,520,0,0,-,2.88,-332,449,1,0,1/449,3.04,-713,"2,163",5,7,1/180,3.33,-169,328,1,0,1/328,3.18,+104,"3,001",12,7,1/158,2.99
2026-04-18,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+936,"3,640",19,10,1/126,3.67,-313,"2,194",5,10,1/146,4.07,-242,"3,042",11,9,1/152,3.38,-405,"4,407",15,9,1/184,2.41,-959,"2,631",7,7,1/188,3.00,-396,"1,949",7,3,1/195,2.70,-723,"3,959",12,11,1/172,3.02,"-1,038","1,915",3,5,1/239,2.93
2026-04-17,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+407,"1,850",9,4,1/142,3.22,"+2,029","4,380",23,16,1/112,4.69,-11,"3,551",14,8,1/161,2.84,-99,479,2,0,1/240,3.09,"+2,056","5,824",31,18,1/119,4.31,-607,885,2,0,1/443,2.66,-350,"2,394",8,7,1/160,3.33,-350,"1,326",4,3,1/189,3.12
2026-04-16,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-561,710,1,0,1/710,2.76,-397,"3,633",13,10,1/158,3.17,-226,"2,578",11,4,1/172,2.62,-194,349,1,0,1/349,3.16,+255,"1,173",6,2,1/147,3.19,+301,"2,560",11,6,1/151,3.13,+100,772,4,1,1/154,3.21,-321,"1,063",3,2,1/213,3.06
2026-04-15,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+235,"7,923",30,25,1/144,3.71,"-1,179","4,658",13,15,1/166,3.36,+232,"4,931",18,15,1/149,3.45,"+2,968","7,082",36,30,1/107,5.48,"+1,133","7,836",35,23,1/135,3.71,"-1,160","2,049",4,3,1/293,2.44,+431,"8,222",31,30,1/135,4.46,-983,"5,987",20,14,1/176,2.47
2026-04-14,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-73,715,3,0,1/238,2.91,+639,"4,019",19,12,1/130,3.76,-569,"2,112",7,4,1/192,2.78,"+1,259","2,444",15,4,1/129,3.05,-493,490,0,1,1/490,3.18,-445,947,2,2,1/237,3.10,+340,"3,937",17,11,1/141,3.42,-686,"2,372",5,8,1/182,3.37
2026-04-13,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-163,"2,034",8,4,1/170,2.93,-232,"1,341",4,2,1/224,2.84,+464,"4,247",16,13,1/146,3.51,"-1,159","3,194",8,8,1/200,2.78,-493,693,1,0,1/693,2.77,-168,"5,138",17,20,1/139,4.29,+0,945,3,2,1/189,3.19,+17,"2,218",9,6,1/148,3.34
2026-04-12,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+658,"5,182",22,14,1/144,3.25,+276,"2,305",10,6,1/144,3.33,-336,572,1,1,1/286,3.17,-409,"1,224",4,2,1/204,2.96,-150,"2,412",8,9,1/142,3.84,+108,"3,483",13,14,1/129,4.32,-405,"1,621",5,5,1/162,3.41,"+1,664","7,219",32,26,1/124,4.67
2026-04-11,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,554","3,071",18,8,1/118,3.71,-814,"2,570",9,4,1/198,2.51,"+2,566","3,115",23,5,1/111,3.26,-243,450,1,1,1/225,3.32,-462,"1,937",6,2,1/242,2.43,-792,841,1,1,1/421,2.87,"+1,591","4,704",20,21,1/115,5.04,-316,638,2,0,1/319,2.91
2026-04-10,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,785","4,350",22,11,1/132,3.38,-698,"3,048",10,4,1/218,2.22,"-1,075","1,242",0,3,1/414,2.89,-454,667,1,2,1/222,3.34,+36,"4,887",20,13,1/148,3.16,-126,"1,042",4,1,1/208,2.90,-369,"1,235",3,4,1/176,3.41,"+2,757","6,572",37,15,1/126,3.21
2026-04-09,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+84,987,4,3,1/141,3.52,-221,"3,271",9,14,1/142,4.21,+979,"3,321",15,10,1/133,3.68,+441,"1,029",6,3,1/114,3.67,+102,940,5,1,1/157,3.09,-527,"2,071",5,7,1/173,3.44,-101,690,2,3,1/138,3.70,+862,"3,001",15,6,1/143,2.97
2026-04-08,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+725,"4,628",20,14,1/136,3.68,-709,926,1,1,1/463,2.79,+50,"2,235",10,6,1/140,3.41,+309,"3,774",14,13,1/140,3.86,"+1,792","4,562",25,11,1/127,3.39,+783,"4,493",18,17,1/128,4.37,-237,433,1,0,1/433,3.06,-77,"2,297",9,4,1/177,2.74
2026-04-06,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-355,"2,766",10,7,1/163,3.08,-526,"2,264",7,6,1/174,3.12,-442,"1,094",3,3,1/182,3.30,+310,"1,868",8,6,1/133,3.67,+421,"5,932",26,16,1/141,3.28,+214,442,3,0,1/147,3.23,+170,"3,220",11,11,1/146,3.71,+773,"2,003",10,7,1/118,3.98
2026-04-05,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-558,"4,134",14,9,1/180,2.56,+339,"7,702",29,26,1/140,4.04,+389,"6,993",30,12,1/167,2.00,-190,"4,560",17,13,1/152,3.27,"-1,673","6,614",18,17,1/189,2.49,"+2,407","6,246",32,22,1/116,4.81,"+2,978","7,270",38,17,1/132,3.07,"+1,025","8,823",40,25,1/136,3.57
2026-04-04,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-684,884,1,2,1/295,3.09,-475,"3,220",13,5,1/179,2.42,-385,"1,356",3,5,1/170,3.54,-132,"4,777",16,17,1/145,3.92,"+1,362","3,032",17,9,1/117,3.95,+690,"2,773",15,4,1/146,2.70,-292,"2,726",10,5,1/182,2.65,-430,"4,341",13,12,1/174,2.97
2026-04-03,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-449,804,2,1,1/268,2.99,-580,"1,211",2,4,1/202,3.35,-390,310,0,0,-,3.11,"+3,388","6,493",30,37,1/97,5.81,+0,438,2,0,1/219,3.14,-233,314,0,0,-,3.11,-355,329,0,0,-,3.09,-723,"2,014",5,5,1/201,2.98
2026-04-02,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+802,"3,422",17,7,1/143,2.94,+301,"2,792",12,7,1/147,3.22,+142,"2,994",13,7,1/150,3.08,-925,"2,516",7,8,1/168,3.37,"+1,384","3,317",17,13,1/111,4.62,+200,"4,485",16,17,1/136,4.21,-182,708,3,0,1/236,2.91,+696,"3,606",16,8,1/150,2.93
2026-04-01,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-313,305,0,0,-,3.12,+0,"4,605",16,17,1/140,4.09,+381,"2,734",13,6,1/144,3.10,-378,537,1,0,1/537,2.94,+727,"4,195",21,8,1/145,2.71,+123,888,3,5,1/111,4.12,-195,"1,895",7,4,1/172,3.00,-193,"1,374",6,1,1/196,2.71
2026-03-31,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-543,"1,779",6,3,1/198,2.79,-133,726,3,1,1/182,3.17,"+2,217","7,895",38,29,1/118,5.01,+240,811,3,3,1/135,3.65,"-1,107","4,577",14,11,1/183,2.62,-379,258,0,0,-,3.17,+115,"3,212",11,14,1/128,4.43,-709,"2,325",5,8,1/179,3.42
2026-03-30,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,029","3,247",17,7,1/135,3.13,-755,"1,585",3,5,1/198,3.28,-185,122,0,0,-,3.34,"+1,514","7,253",33,23,1/130,4.13,+480,"2,320",12,4,1/145,2.94,-431,566,1,0,1/566,2.91,+522,"3,909",14,17,1/126,4.61,+482,"3,693",16,9,1/148,3.09
2026-03-29,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,845","6,329",31,20,1/124,4.24,-105,"1,527",7,2,1/170,2.87,+501,"2,284",10,6,1/143,3.35,+90,"1,030",5,1,1/172,2.99,-198,"1,503",6,2,1/188,2.82,"+1,519","5,125",24,17,1/125,4.22,+496,"1,395",8,2,1/140,3.10,-981,"2,499",6,5,1/227,2.60
2026-03-28,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-319,"4,041",14,10,1/168,2.85,-127,"3,447",13,10,1/150,3.37,-430,"2,552",8,4,1/213,2.46,-787,"1,103",2,1,1/368,2.69,"+1,489","6,199",27,25,1/119,4.97,-325,"3,083",10,8,1/171,3.01,-229,"3,036",12,7,1/160,2.96,+332,"2,396",13,1,1/171,2.27
2026-03-27,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-225,"3,215",14,5,1/169,2.48,-380,257,0,0,-,3.18,-147,102,0,0,-,3.37,-369,368,0,1,1/368,3.33,"+1,314","2,181",14,7,1/104,4.16,+604,"8,205",27,35,1/132,4.91,-169,156,0,0,-,3.30,+629,"1,299",9,1,1/130,3.02
2026-03-26,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,161","1,977",3,3,1/330,2.44,+198,"1,960",9,4,1/151,3.09,-498,"2,085",7,3,1/209,2.58,-250,"3,567",11,9,1/178,2.86,-429,858,2,2,1/215,3.21,"+1,995","6,139",29,26,1/112,5.25,-63,"2,337",8,7,1/156,3.39,-244,"3,351",14,4,1/186,2.20
2026-03-25,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,666","2,253",4,0,1/563,1.87,"+3,796","8,756",47,27,1/118,4.62,"+1,224","5,392",25,15,1/135,3.52,-997,"4,497",16,8,1/187,2.23,-8,"6,217",22,21,1/145,3.86,-592,"3,144",10,8,1/175,2.95,"+1,049","7,880",32,22,1/146,3.24,"+1,585","6,915",32,19,1/136,3.46
2026-03-24,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,027","6,790",32,26,1/117,5.00,-113,101,0,0,-,3.37,+748,"3,253",16,8,1/136,3.30,-166,780,3,1,1/195,3.11,-439,"2,870",9,7,1/179,2.91,+240,"2,328",11,5,1/146,3.12,-411,404,0,1,1/404,3.28,+333,"2,191",12,3,1/146,2.82
2026-03-23,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-205,"2,085",7,5,1/174,3.06,-164,"1,439",6,1,1/206,2.64,+40,"3,324",13,8,1/158,2.99,+410,"2,074",11,4,1/138,3.13,-441,538,0,2,1/269,3.41,"+1,166","5,483",21,27,1/114,5.31,-10,"2,595",8,9,1/153,3.63,+85,"1,558",8,2,1/156,2.92
2026-03-22,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-949,"4,539",14,12,1/175,2.86,-596,635,1,0,1/635,2.83,-670,"1,734",4,4,1/217,2.94,+501,"5,519",24,14,1/145,3.07,-272,386,1,0,1/386,3.11,-381,"2,485",8,6,1/178,2.97,+222,"2,442",10,9,1/129,3.99,+462,"3,805",18,8,1/146,2.87
2026-03-21,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-763,"3,509",11,5,1/219,2.14,"+1,045","5,396",24,16,1/135,3.68,+202,"6,233",24,20,1/142,3.77,+273,"3,172",14,5,1/167,2.51,-193,"5,400",18,19,1/146,3.91,-580,"2,523",7,7,1/180,3.11,-956,"3,562",10,9,1/187,2.80,"+1,381","8,273",34,31,1/127,4.77
2026-03-20,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-563,"2,436",9,5,1/174,2.85,-160,"4,344",15,14,1/150,3.58,-375,"1,331",3,4,1/190,3.30,-430,"2,570",10,4,1/184,2.56,-281,310,0,1,1/310,3.40,-747,"1,428",3,2,1/286,2.68,+31,"4,509",16,17,1/137,4.19,+336,"4,135",19,8,1/153,2.64
2026-03-19,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-924,"1,656",3,4,1/237,2.94,-592,"3,637",11,10,1/173,3.02,-632,735,0,2,1/368,3.17,+656,"4,764",20,15,1/136,3.78,-638,"1,678",4,5,1/186,3.26,"-1,322","3,715",10,11,1/177,3.12,-287,"4,178",17,9,1/161,2.70,-170,"1,365",4,5,1/152,3.63
2026-03-18,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-113,"4,191",16,10,1/161,2.84,-748,946,1,2,1/315,3.02,-551,"1,261",3,3,1/210,3.10,-152,"6,644",23,26,1/136,4.52,-411,507,1,0,1/507,2.97,+338,"1,475",7,4,1/134,3.49,"+1,668","7,423",32,28,1/124,4.83,-673,"1,213",3,1,1/303,2.65
2026-03-17,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+69,"3,137",14,3,1/185,2.17,-594,930,2,2,1/233,3.12,-173,"1,214",5,0,1/243,2.55,+522,"5,949",23,23,1/129,4.57,-183,353,1,0,1/353,3.15,+382,"1,535",7,4,1/140,3.41,+665,"2,681",14,5,1/141,2.97,+447,"5,395",24,13,1/146,2.95
2026-03-16,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+764,"4,929",21,15,1/137,3.69,-81,297,1,0,1/297,3.22,"+2,006","7,070",31,31,1/114,5.34,+163,"1,198",5,3,1/150,3.35,-380,623,1,1,1/312,3.11,"+1,528","2,261",15,4,1/119,3.27,+143,616,3,1,1/154,3.30,+974,"6,505",29,15,1/148,2.73
2026-03-15,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,573","6,590",35,21,1/118,4.53,"+1,226","9,021",36,32,1/133,4.49,-290,"7,314",27,23,1/146,3.63,-980,"6,971",24,18,1/166,2.70,"+2,594","9,239",45,27,1/128,3.99,"+1,731","7,917",36,24,1/132,3.93,+835,"8,209",33,29,1/132,4.43,-192,"5,320",22,12,1/156,2.67
2026-03-14,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+436,"2,280",10,8,1/127,3.91,"+2,291","6,584",32,28,1/110,5.36,-687,"2,818",7,11,1/157,3.81,+291,"2,319",9,9,1/129,4.04,+832,"5,515",25,16,1/135,3.64,-479,810,1,1,1/405,2.91,-407,"1,013",3,0,1/338,2.61,-840,"5,070",16,12,1/181,2.55
2026-03-13,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+818,"5,666",25,17,1/135,3.72,-534,"2,184",6,7,1/168,3.39,"+1,616","5,400",28,16,1/123,4.03,-639,"1,581",4,2,1/264,2.61,+190,"1,665",7,5,1/139,3.54,-761,"1,114",1,3,1/279,3.10,+802,"1,940",11,6,1/114,3.88,-91,"6,122",19,22,1/149,3.95
2026-03-12,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-618,"1,151",3,1,1/288,2.71,-112,"2,256",9,3,1/188,2.56,+645,"3,234",15,7,1/147,2.98,-275,891,2,2,1/223,3.17,+527,"4,331",20,8,1/155,2.54,-361,"2,024",7,2,1/225,2.42,"+1,173","3,636",20,9,1/125,3.49,-326,806,2,0,1/403,2.73
2026-03-11,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+3,242","7,248",39,24,1/115,4.81,+354,"1,517",8,1,1/169,2.71,+536,"2,639",14,3,1/155,2.53,"+2,055","4,954",26,14,1/124,3.84,-487,"1,114",2,2,1/279,2.92,-477,"2,847",11,4,1/190,2.40,-468,"3,237",11,9,1/162,3.18,+393,"4,387",15,17,1/137,4.23
2026-03-10,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+174,"2,786",12,6,1/155,2.96,"+3,420","7,675",40,29,1/111,5.27,+0,"1,000",4,2,1/167,3.22,+716,"4,402",21,10,1/142,2.98,+765,"5,874",28,9,1/159,2.08,-246,"1,190",4,3,1/170,3.27,+777,"6,828",29,25,1/126,4.61,"+1,792","7,229",33,22,1/131,3.93
