日付,曜日,特定日,394番台,,,,,,395番台,,,,,,396番台,,,,,,397番台,,,,,,398番台,,,,,,399番台,,,,,,400番台,,,,,,401番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-03-23,月,いいえ,-696,"2,361",6,6,1/197,2.80,-297,"2,284",7,8,1/152,3.42,-369,256,0,0,-,3.19,"+1,272","4,510",23,14,1/122,3.85,-325,332,0,1,1/332,3.34,-383,322,0,0,-,3.11,-231,"1,104",4,2,1/184,3.07,"+1,931","4,609",22,21,1/107,4.84
2026-03-22,日,いいえ,-257,"3,733",15,8,1/162,2.60,-149,"2,078",7,5,1/173,2.96,+114,"6,012",23,20,1/140,3.50,-161,521,2,0,1/261,3.08,-587,"3,420",11,11,1/155,3.22,+242,"4,602",20,9,1/159,2.38,+83,"1,881",8,6,1/134,3.52,+910,"6,648",28,20,1/139,3.29
2026-03-21,土,いいえ,-649,"4,081",14,9,1/177,2.42,-52,"5,433",21,18,1/139,3.50,+95,"9,259",32,34,1/140,3.80,+625,"6,783",29,21,1/136,3.45,+868,"6,461",29,17,1/140,2.93,+133,"2,796",13,5,1/155,2.73,-312,"7,223",28,22,1/144,3.12,-395,"3,991",14,14,1/143,3.54
2026-03-20,金,いいえ,-355,"4,565",15,14,1/157,3.03,+319,"3,221",12,13,1/129,3.96,-366,340,0,0,-,3.09,-965,"4,251",11,18,1/147,3.81,-411,"2,206",8,3,1/201,2.49,"+1,860","5,652",30,18,1/118,4.14,-148,"3,669",14,12,1/141,3.45,"-1,175","3,554",9,10,1/187,2.71
2026-03-19,木,いいえ,+744,"2,104",9,13,1/96,4.72,+648,"1,583",7,10,1/93,4.55,-66,529,2,0,1/265,3.07,"+1,522","5,785",26,27,1/109,4.98,-409,395,0,1,1/395,3.26,-417,"2,832",8,10,1/157,3.36,-242,413,1,0,1/413,3.10,-205,"3,774",12,14,1/145,3.58
2026-03-18,水,はい,"+1,133","4,075",19,15,1/120,4.13,"-1,158","7,184",18,29,1/153,3.68,-585,"2,999",10,7,1/176,2.71,-278,"1,566",6,2,1/196,2.75,"+2,654","8,335",41,28,1/121,4.34,"-1,071","2,673",6,10,1/167,3.34,-355,"1,633",4,7,1/148,3.63,+357,"3,425",15,10,1/137,3.37
2026-03-17,火,いいえ,"+2,761","7,420",37,30,1/111,4.98,+629,"1,465",7,6,1/113,3.91,+350,"1,106",6,1,1/158,3.03,-2,"2,170",9,5,1/155,3.05,-853,784,0,1,1/784,2.83,+280,668,4,1,1/134,3.35,"+2,679","5,904",32,20,1/114,4.45,-195,"4,248",16,13,1/146,3.23
2026-03-16,月,いいえ,+442,"3,427",16,8,1/143,3.00,-254,191,0,0,-,3.27,"+1,614","8,895",35,37,1/124,4.67,-249,168,0,0,-,3.29,-126,920,4,1,1/184,3.05,"+3,271","4,117",27,21,1/86,5.38,-592,"3,401",12,7,1/179,2.49,+480,"4,273",19,9,1/153,2.60
2026-03-15,日,はい,"-2,978","5,849",12,15,1/217,2.05,+959,"6,197",30,15,1/138,2.85,+702,"8,791",31,34,1/135,4.10,+681,"7,653",30,27,1/134,3.85,"+1,261","8,233",33,33,1/125,4.52,-75,"5,712",19,21,1/143,3.65,"+1,628","8,485",31,46,1/110,5.28,+0,"9,327",32,35,1/139,3.90
2026-03-14,土,いいえ,-807,"4,092",13,9,1/186,2.35,-384,"1,076",4,1,1/215,2.87,-759,"6,067",18,20,1/160,3.03,+94,"6,084",23,16,1/156,2.62,"+3,358","7,680",39,31,1/110,5.04,+532,"6,972",29,25,1/129,4.05,+418,"5,534",22,19,1/135,3.70,"-1,157","3,582",10,11,1/171,2.96
2026-03-13,金,いいえ,-123,"3,526",14,8,1/160,2.72,-654,434,0,0,-,2.98,-369,"3,030",10,9,1/159,3.10,-219,"2,939",10,8,1/163,2.98,-590,"2,442",8,6,1/174,2.89,-945,"3,930",9,14,1/171,3.16,+275,"2,162",8,12,1/108,4.44,-434,"6,796",27,19,1/148,2.85
2026-03-12,木,いいえ,"+3,919","7,009",39,32,1/99,5.41,-364,"1,134",4,1,1/227,2.81,"-1,192","1,553",1,5,1/259,2.99,-280,"1,589",5,2,1/227,2.64,"+1,229","9,019",36,34,1/129,4.29,-179,"1,279",4,4,1/160,3.35,+480,"4,965",18,17,1/142,3.51,-44,"3,116",10,10,1/156,3.23
2026-03-11,水,いいえ,-2,"1,407",6,2,1/176,2.92,"+2,980","9,636",46,34,1/120,4.55,+468,"4,627",18,18,1/129,4.05,-861,"2,536",6,8,1/181,3.05,+436,"6,160",25,20,1/137,3.53,+60,"4,780",18,13,1/154,2.85,"-1,039","1,314",2,1,1/438,2.47,+514,"2,526",11,7,1/140,3.31
2026-03-10,火,いいえ,-713,"1,358",3,1,1/340,2.50,-620,"5,262",18,15,1/159,2.80,-916,"1,579",3,3,1/263,2.70,-49,"2,491",11,3,1/178,2.45,+328,"6,054",23,18,1/148,3.04,"+2,639","5,355",25,29,1/99,5.28,-320,"1,184",5,1,1/197,2.84,+941,"7,173",33,22,1/130,3.62
2026-03-09,月,いいえ,-946,"4,564",14,12,1/176,2.56,+136,"1,677",7,4,1/152,3.18,"+2,920","8,138",35,41,1/107,5.31,"+3,239","5,289",30,21,1/104,4.93,-122,"5,416",18,21,1/139,3.85,-838,"4,036",11,16,1/149,3.63,+164,"6,262",24,18,1/149,2.92,-285,563,2,0,1/282,3.03
2026-03-08,日,はい,+396,"6,297",26,17,1/146,2.84,+746,"7,360",29,32,1/121,4.72,-873,"4,697",13,17,1/157,3.34,-712,"6,103",23,15,1/161,2.42,"+1,665","7,494",31,32,1/119,4.76,"+1,149","7,643",30,31,1/125,4.48,+883,"6,717",24,33,1/118,4.88,"-1,210","4,604",14,13,1/171,2.71
2026-03-07,土,いいえ,"+4,275","7,749",42,37,1/98,5.51,-260,"7,636",25,25,1/153,3.09,-402,"6,658",21,27,1/139,4.01,"-1,568","9,097",29,32,1/149,3.38,-131,"8,164",30,30,1/136,3.92,-503,"6,509",22,21,1/151,3.13,"+1,867","7,228",32,35,1/108,5.20,"+3,507","9,007",45,36,1/111,5.10
