日付,曜日,特定日,394番台,,,,,,395番台,,,,,,396番台,,,,,,397番台,,,,,,398番台,,,,,,399番台,,,,,,400番台,,,,,,401番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-05-22,金,いいえ,-523,"2,244",6,8,1/160,3.37,+467,"2,085",9,5,1/149,3.15,+14,"3,131",12,9,1/149,3.18,-439,352,0,0,-,3.07,"+1,307","3,253",20,4,1/136,2.64,+535,"1,059",7,0,1/151,2.94,-512,"1,727",5,3,1/216,2.72,-969,"4,337",14,13,1/161,2.96
2026-05-21,木,いいえ,-513,463,0,1,1/463,3.18,+395,"1,226",6,3,1/136,3.38,-138,98,0,0,-,3.38,+928,"7,679",35,20,1/140,2.84,+122,611,4,0,1/153,3.17,-457,618,0,3,1/206,3.48,-75,313,1,0,1/313,3.22,-546,"4,846",14,17,1/156,3.28
2026-05-20,水,いいえ,+486,"2,991",12,8,1/150,3.11,-273,479,1,1,1/240,3.27,-167,98,0,0,-,3.38,"+2,736","7,036",33,30,1/112,4.96,+257,246,2,1,1/82,3.66,-31,"1,636",6,6,1/136,3.60,-226,"1,765",7,3,1/177,2.85,-874,"1,389",2,3,1/278,2.81
2026-05-19,火,いいえ,"-1,262","2,638",6,6,1/220,2.54,-366,565,1,1,1/283,3.16,-298,415,1,0,1/415,3.10,-103,"5,171",20,15,1/148,3.05,+819,"1,600",11,3,1/114,3.46,+619,"3,099",15,8,1/135,3.28,-770,"4,171",12,14,1/160,3.17,+524,"2,369",10,8,1/132,3.62
2026-05-18,月,はい,+25,"6,732",22,30,1/129,4.45,"+1,912","6,379",31,16,1/136,2.97,"+1,046","6,391",28,23,1/125,4.15,-337,"1,739",7,3,1/174,2.88,-53,"2,676",10,9,1/141,3.50,-180,"2,966",12,9,1/141,3.37,+549,"6,925",28,22,1/139,3.42,-515,"4,320",14,13,1/160,2.98
2026-05-17,日,いいえ,"+2,690","5,088",27,21,1/106,4.86,+62,"3,086",11,9,1/154,3.14,+193,"2,222",11,4,1/148,2.95,-745,852,1,1,1/426,2.84,-579,"1,162",3,3,1/194,3.15,-243,273,0,1,1/273,3.41,-197,"8,267",27,34,1/136,4.22,-555,605,0,1,1/605,3.02
2026-05-16,土,いいえ,+203,"6,023",24,21,1/134,3.78,-269,"1,985",7,5,1/165,3.07,-148,"3,441",14,12,1/132,3.70,-372,945,2,3,1/189,3.30,-210,"4,201",16,11,1/156,2.84,-687,924,1,2,1/308,2.99,"+1,662","5,148",23,22,1/114,4.65,-418,638,2,0,1/319,2.94
2026-05-15,金,はい,"+4,880","9,028",52,30,1/110,4.94,"-1,087","2,616",7,5,1/218,2.44,"+2,688","8,206",39,34,1/112,5.02,"+2,621","8,400",37,34,1/118,4.79,-874,"5,508",17,19,1/153,3.28,-44,"3,543",15,10,1/142,3.23,-252,"6,823",23,22,1/152,3.10,+350,"6,961",25,26,1/136,3.90
2026-05-13,水,いいえ,-662,"1,115",2,2,1/279,2.87,+449,"4,310",17,15,1/135,3.69,-207,"2,784",11,6,1/164,2.79,-464,"1,130",2,2,1/283,2.86,+284,"4,573",19,10,1/158,2.52,-387,"1,122",4,0,1/281,2.60,-121,"1,843",7,4,1/168,2.99,-863,"6,259",17,25,1/149,3.72
2026-05-12,火,いいえ,-463,"3,972",12,18,1/132,4.15,-170,"5,146",20,11,1/166,2.30,+173,"3,251",11,15,1/125,4.21,-362,294,0,0,-,3.14,+79,"4,451",16,14,1/148,3.23,+163,"1,830",8,6,1/131,3.58,-386,610,1,2,1/203,3.35,-509,"2,821",8,11,1/148,3.59
