日付,曜日,特定日,566番台,,,,,,,567番台,,,,,,,568番台,,,,,,,570番台,,,,,,,571番台,,,,,,,603番台,,,,,,,605番台,,,,,,,606番台,,,,,,,607番台,,,,,,,608番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-14,木,はい,+30,"5,411",16,25,1/132,1/5.94,5.01,+320,"1,465",6,5,1/133,1/5.76,3.68,-180,145,0,0,-,1/6.19,3.32,+240,"1,512",8,2,1/151,1/6.51,2.75,+350,"1,693",7,6,1/130,1/5.90,3.78,-740,944,1,1,1/472,1/5.80,2.78,-270,224,0,0,-,1/6.02,3.23,+960,"2,688",14,7,1/128,1/6.04,3.26,+750,"5,334",24,13,1/144,1/6.14,2.72,+540,"1,213",8,0,1/152,1/6.09,2.47
2026-05-13,水,いいえ,"+2,010","5,046",24,23,1/107,1/6.19,5.08,+0,0,0,0,-,-,-,-40,34,0,0,-,1/5.89,3.46,-140,143,0,0,-,1/5.15,3.33,+150,"1,479",6,4,1/148,1/5.92,3.34,-240,304,0,1,1/304,1/5.61,3.47,-250,426,1,1,1/213,1/7.09,3.37,+30,153,1,0,1/153,1/7.41,3.36,-480,"2,901",9,7,1/181,1/5.92,2.85,-470,672,0,3,1/224,1/5.70,3.71
2026-05-12,火,いいえ,-160,"4,047",13,15,1/145,1/6.03,4.12,-150,117,0,0,-,1/6.39,3.36,-90,530,2,1,1/177,1/6.51,3.29,+860,"1,170",9,0,1/130,1/6.03,2.54,-230,198,0,1,1/198,1/9.04,3.60,-140,632,2,2,1/158,1/6.62,3.50,-100,"1,265",4,4,1/158,1/5.92,3.51,-360,672,1,2,1/224,1/5.99,3.42,-580,"1,295",3,2,1/259,1/5.92,2.79,+220,830,5,0,1/166,1/6.26,2.74
2026-05-11,月,いいえ,-150,"3,262",12,8,1/163,1/6.05,2.89,-160,90,0,0,-,1/10.58,3.39,-110,148,0,1,1/148,1/7.03,3.66,-920,"1,736",3,6,1/193,1/6.48,3.57,-430,398,0,1,1/398,1/6.61,3.36,-480,680,1,1,1/340,1/6.09,3.07,-10,"2,067",7,9,1/129,1/6.38,4.25,+480,364,3,1,1/91,1/5.31,3.53,+10,317,1,1,1/159,1/5.46,3.50,-780,"1,783",5,3,1/223,1/6.53,2.67
2026-05-10,日,いいえ,"-1,490","2,239",2,6,1/280,1/5.78,2.98,-480,"1,512",3,6,1/168,1/6.00,3.82,-230,396,1,0,1/396,1/6.08,3.07,+680,"1,771",9,5,1/127,1/5.87,3.45,-20,"2,517",11,7,1/140,1/6.93,3.33,-60,"3,344",13,9,1/152,1/6.28,3.13,+30,"1,507",7,2,1/167,1/6.39,2.72,+780,"1,956",11,4,1/130,1/6.08,3.00,-180,"5,846",20,15,1/167,1/5.75,2.66,-140,"2,081",8,2,1/208,1/5.70,2.25
2026-05-09,土,いいえ,"-1,020","2,551",7,3,1/255,1/6.03,2.11,-310,"1,896",6,6,1/158,1/6.32,3.51,+360,"2,301",12,2,1/164,1/6.20,2.19,-220,951,4,0,1/238,1/6.45,2.59,+430,"1,707",9,3,1/142,1/6.23,2.88,-230,"1,908",7,4,1/173,1/6.23,2.90,-670,"1,204",2,3,1/241,1/6.07,3.17,-250,754,2,1,1/251,1/5.70,3.03,-300,736,2,0,1/368,1/5.56,2.73,"+1,230","7,770",35,19,1/144,1/6.07,2.52
2026-05-08,金,いいえ,+320,930,6,0,1/155,1/6.41,2.68,+150,"1,786",7,7,1/128,1/6.40,3.98,-40,236,1,0,1/236,1/6.18,3.26,-40,29,0,0,-,1/6.93,3.46,-360,"1,479",4,4,1/185,1/5.94,3.26,+540,"2,091",8,10,1/116,1/5.86,4.50,-90,67,0,0,-,1/6.72,3.42,"+2,130","3,865",24,6,1/129,1/5.85,2.24,"+1,790","2,400",14,14,1/86,1/6.43,5.07,-150,327,1,0,1/327,1/6.14,3.15
2026-05-07,木,いいえ,"+2,110","3,775",20,17,1/102,1/6.06,4.89,-140,130,0,0,-,1/5.49,3.34,+50,421,2,0,1/211,1/5.50,3.08,-270,399,1,0,1/399,1/6.54,3.06,-900,"1,712",2,7,1/190,1/6.06,3.87,-290,"1,308",4,3,1/187,1/6.07,3.13,-510,583,0,3,1/194,1/6.88,3.81,-590,"1,571",4,2,1/262,1/5.74,2.56,+20,304,2,0,1/152,1/8.53,3.22,+90,343,2,0,1/172,1/6.04,3.17
2026-05-06,水,いいえ,-150,"1,640",4,10,1/117,1/6.46,4.72,-290,726,1,2,1/242,1/5.26,3.35,-140,140,0,0,-,1/5.22,3.33,"+1,190","6,548",30,17,1/139,1/6.11,2.87,-500,499,0,2,1/250,1/6.99,3.58,-40,523,2,0,1/262,1/5.36,2.96,-500,471,0,1,1/471,1/6.31,3.27,-270,"3,722",14,10,1/155,1/6.39,3.07,"+1,170","4,043",19,14,1/123,1/6.14,4.07,-250,950,2,4,1/158,1/6.00,3.79
2026-05-05,火,いいえ,-890,"5,256",15,16,1/170,1/5.92,3.29,+20,"2,474",11,3,1/177,1/6.14,2.26,-390,"2,697",9,7,1/169,1/6.17,3.06,"+4,540","8,734",45,38,1/105,1/6.00,5.32,-370,"1,123",3,2,1/225,1/5.89,2.98,"-1,840","2,679",5,1,1/447,1/5.97,1.71,"-1,090","4,089",10,15,1/164,1/6.17,3.98,"-2,810","5,684",12,8,1/284,1/5.84,1.56,"-1,020","3,255",9,6,1/217,1/5.95,2.29,-310,"4,480",16,13,1/154,1/6.24,3.25
2026-05-04,月,はい,-830,"2,432",5,9,1/174,1/6.07,3.81,-540,"2,025",6,4,1/203,1/6.02,2.75,-140,204,1,0,1/204,1/13.14,3.29,-300,"4,435",14,13,1/164,1/5.77,3.22,+480,"1,348",6,6,1/112,1/5.98,4.11,-110,"2,766",9,12,1/132,1/6.38,4.41,-520,"2,671",8,11,1/141,1/6.75,4.22,-470,507,0,1,1/507,1/5.65,3.23,-240,"3,043",9,13,1/138,1/6.17,4.40,-160,"3,827",15,7,1/174,1/6.03,2.25
2026-05-03,日,いいえ,-630,805,1,2,1/268,1/6.68,3.26,-180,"1,200",4,3,1/171,1/6.15,3.25,+60,"5,978",24,13,1/162,1/6.06,2.25,+30,"1,905",7,6,1/147,1/6.07,3.54,-950,"1,053",0,3,1/351,1/5.90,3.26,-710,602,0,1,1/602,1/6.70,3.12,-160,"1,725",6,5,1/157,1/6.23,3.38,-250,"1,074",3,2,1/215,1/5.65,3.03,-220,150,0,0,-,1/7.50,3.32,"+3,540","6,413",35,25,1/107,1/6.01,4.88
2026-05-02,土,いいえ,"+1,280","3,040",19,5,1/127,1/6.57,2.51,-670,"2,079",5,8,1/160,1/6.49,3.89,-300,300,0,0,-,1/5.22,3.14,-560,"1,271",2,5,1/182,1/6.08,3.74,-620,"1,844",6,2,1/231,1/6.29,2.38,-580,"1,013",1,4,1/203,1/6.01,3.68,+560,"4,714",23,8,1/152,1/6.37,2.07,-320,426,0,2,1/213,1/6.01,3.67,-270,172,0,0,-,1/8.30,3.29,+190,"5,025",21,14,1/144,1/6.41,3.17
2026-05-01,金,いいえ,+50,341,2,0,1/171,1/6.67,3.17,-30,820,4,1,1/164,1/6.97,3.03,+0,327,1,1,1/164,1/5.45,3.49,-470,325,0,0,-,1/7.36,3.11,+390,"1,082",6,2,1/135,1/6.08,3.14,-290,855,3,0,1/285,1/6.11,2.65,-150,778,3,1,1/195,1/6.43,3.04,-210,170,0,0,-,1/6.16,3.29,-550,605,0,1,1/605,1/5.46,3.12,+190,"2,723",12,8,1/136,1/6.62,3.45
2026-04-30,木,いいえ,-450,391,0,0,-,1/5.79,3.03,-270,337,0,1,1/337,1/5.53,3.44,-320,349,0,2,1/175,1/7.52,3.76,"-1,170","2,172",4,6,1/217,1/6.33,3.13,-150,183,0,1,1/183,1/6.74,3.62,"+1,240","3,785",18,11,1/131,1/5.79,3.45,+0,0,0,0,-,-,-,"+1,020","2,336",13,7,1/117,1/6.27,3.61,-500,624,1,0,1/624,1/6.03,2.81,+980,"4,135",19,14,1/125,1/6.23,3.98
2026-04-29,水,いいえ,+360,"3,407",14,12,1/131,1/6.34,3.98,-500,630,0,2,1/315,1/5.58,3.42,-190,347,1,0,1/347,1/6.36,3.12,-410,770,2,1,1/257,1/6.56,3.01,"+2,390","3,912",23,13,1/109,1/5.97,4.07,"-2,110","6,166",13,22,1/176,1/6.08,3.92,-550,856,1,2,1/285,1/5.84,3.20,+780,"2,813",14,11,1/113,1/6.79,4.29,-10,323,2,0,1/162,1/8.52,3.19,"+1,260","8,493",37,28,1/131,1/6.33,4.07
2026-04-28,火,いいえ,+290,"2,516",11,5,1/157,1/5.91,2.73,-80,377,2,0,1/189,1/8.15,3.13,-160,610,2,1,1/203,1/6.22,3.19,-430,403,0,1,1/403,1/6.52,3.36,-250,549,2,0,1/275,1/6.91,2.93,-40,36,0,0,-,1/5.62,3.46,"+1,350","4,082",20,15,1/117,1/6.28,4.31,-310,203,0,0,-,1/7.95,3.25,-290,232,0,0,-,1/6.23,3.22,"-1,120","2,080",4,4,1/260,1/6.04,2.63
2026-04-27,月,いいえ,"+3,250","7,725",36,34,1/110,1/5.91,5.24,-110,127,0,0,-,1/4.80,3.35,-360,445,0,2,1/223,1/6.19,3.64,-410,890,1,3,1/223,1/5.46,3.49,-410,"1,042",3,1,1/261,1/6.06,2.75,+820,"4,733",23,8,1/153,1/6.07,2.06,-40,"2,008",7,7,1/143,1/6.16,3.74,-310,323,0,1,1/323,1/6.27,3.45,+170,"1,550",7,4,1/141,1/6.38,3.30,+700,"3,441",16,8,1/143,1/5.97,2.85
2026-04-26,日,いいえ,-290,"3,402",14,7,1/162,1/6.61,2.55,-340,647,2,0,1/324,1/6.52,2.83,-520,854,2,0,1/427,1/6.00,2.61,-120,"2,711",9,8,1/159,1/5.85,3.35,"-1,100","2,884",6,9,1/192,1/6.03,3.36,-580,"4,188",13,13,1/161,1/6.10,3.43,-640,982,2,0,1/491,1/5.85,2.49,-760,"3,511",12,8,1/176,1/6.48,2.65,-760,"1,945",5,5,1/195,1/6.42,3.10,"+2,340","6,884",36,20,1/123,1/6.28,3.53
2026-04-25,土,いいえ,-10,"3,481",13,10,1/151,1/6.10,3.28,-170,"2,206",8,3,1/201,1/5.67,2.38,-250,336,0,0,-,1/4.47,3.10,-100,492,2,0,1/246,1/6.13,3.00,-290,"4,190",16,6,1/190,1/5.87,1.89,+150,"4,022",18,8,1/155,1/6.40,2.41,+670,"1,799",9,6,1/120,1/6.05,3.74,-120,"1,132",4,1,1/226,1/5.52,2.70,"+1,000","3,435",18,6,1/143,1/6.00,2.40,"-1,140","1,256",1,2,1/419,1/6.29,2.76
2026-04-24,金,はい,+290,"1,934",9,4,1/149,1/6.11,2.95,-690,674,0,0,-,1/5.30,2.72,-290,206,0,0,-,1/7.11,3.25,-110,510,2,1,1/170,1/7.03,3.31,-650,649,0,1,1/649,1/5.78,3.07,-210,179,0,0,-,1/5.88,3.28,-140,200,0,1,1/200,1/5.92,3.60,"+2,250","4,548",23,21,1/103,1/6.12,5.06,+440,105,1,3,1/26,1/5.10,4.35,"+2,250","5,994",30,16,1/130,1/5.76,3.10
2026-04-23,木,いいえ,-240,"2,186",5,9,1/156,1/5.52,4.06,-150,126,0,0,-,1/5.96,3.35,-70,405,1,1,1/203,1/5.33,3.40,-30,24,0,0,-,1/6.23,3.47,-570,"1,185",2,4,1/198,1/6.15,3.52,-40,"1,313",6,1,1/188,1/6.27,2.59,+90,138,1,0,1/138,1/5.90,3.37,-40,854,2,5,1/122,1/6.01,4.19,-80,58,0,0,-,1/6.93,3.43,+350,"1,764",7,7,1/126,1/5.93,4.00
2026-04-22,水,いいえ,-250,"1,948",5,9,1/139,1/6.10,4.29,+570,"1,387",6,6,1/116,1/5.57,4.07,-10,"1,417",5,4,1/157,1/5.87,3.37,-30,803,4,0,1/201,1/6.46,2.73,-340,266,0,0,-,1/6.37,3.18,-420,"1,976",7,5,1/165,1/6.76,3.14,-380,754,1,4,1/151,1/6.76,3.97,-290,"3,378",14,3,1/199,1/6.08,1.81,-280,216,0,0,-,1/6.47,3.24,-690,"1,638",5,1,1/273,1/6.24,2.28
2026-04-21,火,いいえ,-350,321,0,0,-,1/5.54,3.11,-520,"1,381",3,3,1/230,1/5.72,3.01,-360,260,0,0,-,1/6.96,3.19,-440,"2,503",8,7,1/167,1/6.24,3.23,-960,"1,449",2,2,1/362,1/5.76,2.60,-100,"1,320",5,1,1/220,1/5.60,2.55,-680,"2,325",6,7,1/179,1/6.16,3.35,-830,"1,252",3,0,1/417,1/6.32,2.29,-280,244,0,0,-,1/5.77,3.21,"+1,930","3,366",19,14,1/102,1/6.24,4.64
2026-04-20,月,いいえ,-610,731,1,1,1/366,1/6.55,3.01,+320,836,5,1,1/139,1/6.20,3.05,-230,140,0,0,-,1/8.98,3.33,+750,"1,838",10,6,1/115,1/6.38,3.73,+220,"1,331",7,1,1/166,1/6.16,2.60,+450,"2,074",10,5,1/138,1/6.15,3.15,+110,513,2,2,1/128,1/5.76,3.65,+420,"1,842",8,7,1/123,1/6.16,3.96,-110,288,1,0,1/288,1/6.27,3.19,+560,"3,500",16,10,1/135,1/6.33,3.38
2026-04-19,日,いいえ,"+1,030","5,438",23,23,1/118,1/6.41,4.89,-100,759,2,3,1/152,1/5.90,3.69,-760,"2,416",7,3,1/242,1/5.85,2.20,+40,259,1,1,1/130,1/5.96,3.57,-960,"4,230",12,12,1/176,1/6.07,3.07,-880,"1,094",1,3,1/274,1/6.48,3.25,-120,"4,592",15,19,1/135,1/6.23,4.60,-20,"1,536",6,4,1/154,1/6.23,3.27,+750,"3,547",17,8,1/142,1/6.07,2.78,"+1,230","2,324",14,6,1/116,1/6.19,3.34
2026-04-18,土,いいえ,"+1,000","3,945",18,15,1/120,1/6.30,4.37,"-1,230","2,741",5,10,1/183,1/6.29,3.77,-300,620,2,0,1/310,1/6.48,2.85,+190,"1,785",9,2,1/162,1/6.35,2.52,-10,"1,277",5,3,1/160,1/6.10,3.20,-250,"1,802",8,2,1/180,1/6.86,2.47,-620,"1,572",4,5,1/175,1/6.72,3.48,-180,619,2,1,1/206,1/6.29,3.18,+150,797,4,2,1/133,1/6.60,3.39,+470,"4,680",20,13,1/142,1/6.21,3.19
2026-04-17,金,いいえ,-320,"1,439",5,4,1/160,1/6.86,3.35,"+1,010","1,316",9,3,1/110,1/5.90,3.32,-240,273,0,1,1/273,1/6.15,3.51,-180,200,0,0,-,1/4.90,3.26,-310,"1,266",3,4,1/181,1/5.77,3.46,-470,448,0,1,1/448,1/6.30,3.30,+100,543,3,1,1/136,1/6.99,3.31,+440,"3,077",14,7,1/147,1/6.11,2.85,"+1,230","1,855",12,4,1/116,1/5.90,3.15,-140,869,3,2,1/174,1/6.25,3.26
2026-04-16,木,いいえ,-440,659,1,1,1/330,1/5.99,3.10,-120,411,1,2,1/137,1/6.91,3.72,-340,341,0,1,1/341,1/6.38,3.43,-180,214,0,1,1/214,1/6.44,3.58,-250,250,0,0,-,1/5.22,3.20,+200,"1,618",7,5,1/135,1/6.31,3.55,-90,95,0,0,-,1/5.04,3.38,+280,357,3,0,1/119,1/6.69,3.19,+50,"2,687",9,10,1/141,1/5.93,3.98,-220,209,0,1,1/209,1/7.85,3.59
2026-04-15,水,いいえ,"+1,460","3,836",20,10,1/128,1/5.94,3.17,"+1,370","2,829",14,13,1/105,1/6.03,4.70,+0,0,0,0,-,-,-,-10,10,0,0,-,1/5.22,3.49,-180,236,0,0,-,1/4.52,3.21,-420,360,0,1,1/360,1/7.28,3.41,-160,255,0,1,1/255,1/5.23,3.53,-190,451,1,1,1/226,1/5.97,3.34,+100,"1,054",4,3,1/151,1/5.73,3.42,"+1,000","2,387",12,9,1/114,1/6.06,4.11
2026-04-14,火,はい,-740,"3,994",9,15,1/166,1/5.64,4.04,-220,"3,951",13,14,1/146,1/6.13,3.95,-190,"1,036",3,2,1/207,1/5.58,3.07,-140,109,0,0,-,1/6.40,3.37,-790,"1,764",5,1,1/294,1/6.08,2.18,-310,743,1,3,1/186,1/5.76,3.66,-50,747,3,1,1/187,1/6.04,3.07,-230,384,1,0,1/384,1/6.26,3.08,"+1,600","4,185",19,18,1/113,1/5.90,4.79,-380,"1,619",6,1,1/231,1/6.14,2.32
2026-04-13,月,いいえ,-40,652,3,0,1/217,1/6.10,2.86,+240,"3,869",16,9,1/155,1/6.03,2.72,-270,153,0,0,-,1/10.40,3.31,+10,446,2,1,1/149,1/6.62,3.39,+430,715,4,2,1/119,1/5.50,3.49,-140,297,1,0,1/297,1/6.60,3.18,-80,"1,208",4,5,1/134,1/6.49,3.89,-380,516,1,0,1/516,1/6.12,2.93,+110,"2,204",9,4,1/170,1/5.81,2.68,-500,"1,433",3,4,1/205,1/5.77,3.27
2026-04-12,日,いいえ,-520,608,1,0,1/608,1/6.33,2.83,"-1,560","4,851",15,8,1/211,1/6.29,1.86,-220,196,0,0,-,1/5.67,3.26,-320,258,0,0,-,1/6.19,3.19,+40,"1,928",8,4,1/161,1/6.12,2.92,-500,"2,290",8,2,1/229,1/5.93,2.10,+830,"2,256",11,8,1/119,1/6.02,3.92,-180,240,0,1,1/240,1/5.79,3.55,+450,"3,989",17,13,1/133,1/6.37,3.78,+180,"2,914",12,6,1/162,1/5.89,2.66
2026-04-11,土,いいえ,+190,"3,027",13,9,1/138,1/6.53,3.47,-190,"1,078",4,1,1/216,1/6.01,2.75,-390,978,2,2,1/245,1/5.63,3.10,-580,424,0,0,-,1/6.86,3.00,-540,"2,408",8,5,1/185,1/6.30,2.73,+490,"3,010",12,10,1/137,1/5.84,3.75,-160,"1,023",4,1,1/205,1/6.17,2.81,-360,317,0,0,-,1/5.72,3.12,-580,"1,092",2,3,1/218,1/6.27,3.30,-150,"4,295",16,14,1/143,1/6.43,3.72
2026-04-10,金,いいえ,+190,"2,485",12,3,1/166,1/6.28,2.28,-560,710,1,1,1/355,1/6.38,3.04,-210,451,1,1,1/226,1/6.18,3.34,-240,570,2,0,1/285,1/6.52,2.91,"+1,070","3,024",13,10,1/131,1/5.39,3.77,-770,"1,109",2,4,1/185,1/7.72,3.61,-270,"1,339",4,4,1/167,1/6.20,3.42,-540,"1,008",2,3,1/202,1/6.61,3.39,+810,"1,865",11,4,1/124,1/6.29,3.10,"+1,370","4,576",21,17,1/120,1/6.08,4.38
2026-04-09,木,いいえ,"+1,190","4,349",21,16,1/118,1/6.48,4.34,-100,345,1,1,1/173,1/6.49,3.47,-140,876,3,0,1/292,1/5.30,2.62,-80,92,0,0,-,1/4.81,3.39,+70,"1,182",4,5,1/131,1/6.01,3.92,+40,"1,057",5,1,1/176,1/6.22,2.81,-140,335,1,0,1/335,1/5.87,3.14,-90,80,0,0,-,1/5.68,3.40,-140,112,0,0,-,1/6.23,3.36,+570,"3,422",14,14,1/122,1/6.28,4.46
2026-04-08,水,いいえ,-580,"1,253",3,1,1/313,1/5.76,2.54,-250,371,1,0,1/371,1/6.78,3.10,"+1,440","2,224",14,6,1/111,1/6.01,3.46,-50,31,0,0,-,1/8.69,3.46,-70,535,2,1,1/178,1/6.26,3.28,+150,"1,301",6,3,1/145,1/6.34,3.22,-190,151,0,0,-,1/6.27,3.32,-240,720,2,1,1/240,1/5.86,3.07,-140,100,0,0,-,1/7.06,3.38,+540,"5,587",24,20,1/127,1/6.66,4.30
2026-04-07,火,いいえ,-100,"2,256",9,4,1/174,1/6.10,2.63,-30,"2,876",10,8,1/160,1/5.81,3.21,-140,166,0,0,-,1/4.73,3.30,-10,674,3,1,1/169,1/6.39,3.16,-250,777,3,1,1/194,1/7.19,3.04,-250,432,1,0,1/432,1/5.84,3.03,-80,671,3,0,1/224,1/6.22,2.84,-210,163,0,0,-,1/6.42,3.30,-570,780,0,4,1/195,1/6.11,3.90,-290,"1,563",5,3,1/195,1/5.90,2.89
2026-04-06,月,いいえ,-300,"4,883",16,15,1/158,1/5.93,3.41,+230,961,4,4,1/120,1/6.05,3.86,-40,"1,164",5,2,1/166,1/6.40,3.01,+120,"1,254",6,2,1/157,1/6.31,2.95,-340,"3,136",10,11,1/149,1/6.24,3.83,-320,325,0,0,-,1/5.16,3.11,+290,"2,673",12,6,1/149,1/6.19,2.89,-50,679,3,0,1/226,1/5.95,2.83,-410,"1,174",4,2,1/196,1/6.90,2.96,-630,"1,187",3,1,1/297,1/6.23,2.61
2026-04-05,日,いいえ,"+2,840","7,492",34,33,1/112,1/5.96,5.22,-230,464,1,1,1/232,1/6.22,3.32,-320,677,2,0,1/339,1/6.08,2.79,+710,"2,419",12,8,1/121,1/6.37,3.79,+390,"3,531",17,7,1/147,1/6.47,2.53,+670,"4,385",16,19,1/125,1/5.94,4.76,+490,"1,367",8,1,1/152,1/5.95,2.60,"+1,230","2,825",14,7,1/135,1/5.41,3.11,-910,"2,069",5,4,1/230,1/6.17,2.67,+180,"1,258",7,2,1/140,1/7.15,2.98
2026-04-04,土,はい,"+2,480","6,761",33,23,1/121,1/5.97,4.26,-480,"2,023",6,4,1/202,1/5.90,2.75,-550,"1,747",5,2,1/250,1/5.77,2.43,-420,"2,027",7,3,1/203,1/6.10,2.51,-840,"1,852",3,7,1/185,1/6.12,3.75,-500,"1,585",4,2,1/264,1/5.48,2.54,"-1,530","3,477",10,5,1/232,1/6.51,1.99,-700,"2,814",9,6,1/188,1/6.29,2.66,-300,"1,992",8,4,1/166,1/6.81,2.85,"-1,170","4,521",12,14,1/174,1/6.12,3.35
2026-04-03,金,いいえ,+520,"2,862",14,4,1/159,1/5.95,2.27,-190,"1,025",3,3,1/171,1/6.03,3.42,-380,988,3,2,1/198,1/6.74,3.13,-740,718,0,2,1/359,1/6.48,3.32,-790,"1,789",4,6,1/179,1/6.64,3.55,+500,"3,510",16,8,1/146,1/6.13,2.78,+420,"2,664",10,9,1/140,1/5.64,3.75,-380,296,0,0,-,1/6.40,3.14,-900,"1,680",4,3,1/240,1/6.53,2.73,+390,"2,019",11,1,1/168,1/6.14,2.15
2026-04-02,木,いいえ,-580,692,1,1,1/346,1/6.72,3.06,+340,"1,877",9,5,1/134,1/6.41,3.33,+200,"2,991",13,8,1/142,1/6.42,3.20,-290,201,0,0,-,1/7.33,3.26,"+1,000","2,752",16,4,1/138,1/6.21,2.41,+90,"1,059",5,2,1/151,1/6.43,3.13,-390,573,1,1,1/287,1/6.43,3.20,-290,190,0,0,-,1/7.94,3.27,-90,61,0,0,-,1/7.56,3.43,"+1,400","8,618",33,33,1/131,1/5.88,4.76
2026-04-01,水,いいえ,+220,"1,490",6,4,1/149,1/5.69,3.33,-300,258,0,0,-,1/5.84,3.19,-760,"1,363",2,4,1/227,1/6.05,3.31,-540,"1,994",5,8,1/153,1/6.43,3.98,-220,183,0,0,-,1/6.01,3.28,-270,235,0,0,-,1/5.78,3.22,+120,776,4,1,1/155,1/6.34,3.08,-340,224,0,0,-,1/7.88,3.23,-300,"3,316",12,8,1/166,1/6.17,2.83,-300,438,1,0,1/438,1/6.29,3.02
2026-03-31,火,いいえ,-410,629,1,0,1/629,1/5.40,2.81,-300,198,0,0,-,1/7.85,3.26,"+1,090","2,155",12,5,1/127,1/5.67,3.14,-110,164,0,0,-,1/4.29,3.30,"+1,140","4,229",20,14,1/124,1/6.20,3.93,-340,242,0,0,-,1/7.09,3.21,"-1,000","2,159",5,4,1/240,1/6.12,2.59,-550,794,1,1,1/397,1/5.71,2.94,-70,419,1,1,1/210,1/5.21,3.38,+810,"3,900",19,9,1/139,1/6.21,2.79
2026-03-30,月,いいえ,+490,"3,772",17,9,1/145,1/6.17,2.84,"+1,440","4,247",21,12,1/129,1/5.92,3.38,+40,161,1,0,1/161,1/6.59,3.35,-270,"1,128",3,2,1/226,1/5.51,2.97,-100,83,0,0,-,1/6.02,3.40,-630,839,1,1,1/420,1/5.85,2.89,-420,330,0,0,-,1/6.35,3.10,-240,381,1,0,1/381,1/6.45,3.08,+20,550,2,1,1/183,1/5.42,3.26,-320,"1,023",3,2,1/205,1/6.19,3.09
2026-03-29,日,いいえ,"+1,470","5,606",27,19,1/122,1/6.38,4.15,-380,391,0,1,1/391,1/6.08,3.37,-100,243,1,0,1/243,1/7.39,3.25,"+3,040","7,346",42,16,1/127,1/6.18,2.38,+420,"2,559",11,7,1/142,1/5.93,3.28,-590,"1,925",6,2,1/241,1/5.97,2.31,-70,"1,772",6,4,1/177,1/5.63,3.01,-990,949,0,1,1/949,1/5.76,2.74,+20,"2,034",10,2,1/170,1/6.63,2.34,+40,"1,052",5,0,1/210,1/5.83,2.52
2026-03-28,土,いいえ,-340,811,2,2,1/203,1/6.38,3.29,-170,165,0,0,-,1/5.32,3.30,+720,"1,696",10,0,1/170,1/5.44,2.14,"+1,050","4,078",18,13,1/132,1/5.84,3.73,+750,"2,814",14,6,1/141,1/5.98,2.82,-690,698,1,1,1/349,1/7.66,3.05,-50,520,2,1,1/173,1/6.24,3.30,+170,"3,092",13,5,1/172,1/5.83,2.30,+390,"1,825",10,4,1/130,1/6.94,3.11,-510,"1,702",5,5,1/170,1/6.62,3.37
2026-03-27,金,いいえ,-50,220,1,0,1/220,1/6.90,3.28,-140,156,0,1,1/156,1/7.86,3.65,+310,604,4,0,1/151,1/5.82,2.95,+300,622,4,1,1/124,1/6.46,3.26,-240,228,0,0,-,1/5.40,3.22,-220,174,0,0,-,1/6.30,3.29,-90,80,0,0,-,1/5.68,3.40,-520,406,0,0,-,1/6.39,3.02,-90,66,0,0,-,1/6.84,3.42,-220,"1,853",7,3,1/185,1/6.13,2.67
2026-03-26,木,いいえ,-150,"2,754",8,11,1/145,1/5.88,4.15,-140,528,2,0,1/264,1/6.10,2.96,+840,"1,589",10,3,1/122,1/6.19,3.05,+930,"1,944",10,7,1/114,1/5.85,3.92,-190,147,0,0,-,1/6.45,3.32,+40,311,2,0,1/156,1/7.70,3.21,-190,180,0,0,-,1/5.41,3.28,"+1,800","4,070",22,16,1/107,1/6.49,4.59,-190,187,0,0,-,1/5.27,3.27,-770,"1,030",1,3,1/258,1/6.35,3.33
2026-03-25,水,いいえ,-620,866,1,1,1/433,1/5.65,2.86,-100,749,3,1,1/187,1/6.35,3.07,+840,"2,111",11,6,1/124,1/5.96,3.47,+100,194,1,0,1/194,1/4.57,3.31,-310,"1,509",5,4,1/168,1/6.47,3.27,-380,357,0,0,-,1/5.45,3.07,-440,634,0,2,1/317,1/5.21,3.42,-870,"1,163",1,2,1/388,1/5.70,2.86,+40,"1,000",3,5,1/125,1/5.99,4.08,"-1,370","3,887",10,9,1/205,1/6.11,2.52
2026-03-24,火,はい,-170,335,1,0,1/335,1/6.29,3.14,"-1,490","5,611",17,14,1/181,1/6.34,2.53,-350,362,0,1,1/362,1/6.15,3.41,-170,178,0,0,-,1/5.07,3.28,-170,"1,265",5,1,1/211,1/6.04,2.60,-230,384,0,2,1/192,1/5.58,3.72,"+2,670","3,159",21,13,1/93,1/6.13,4.65,-80,45,0,0,-,1/10.58,3.45,-210,172,0,0,-,1/6.09,3.29,"+2,440","2,889",17,13,1/96,1/5.48,4.73
