日付,曜日,特定日,676番台,,,,,,,677番台,,,,,,,678番台,,,,,,,679番台,,,,,,,680番台,,,,,,,681番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-03-31,火,いいえ,-249,859,2,2,1/215,1/5.59,3.24,-386,"3,010",9,11,1/151,1/6.16,3.93,-763,"5,303",19,11,1/177,1/6.23,2.18,+721,"2,265",11,8,1/119,1/6.22,3.91,"+1,135","2,176",12,6,1/121,1/5.72,3.43,+344,"6,334",27,19,1/138,1/6.54,3.48
2026-03-30,月,いいえ,"+3,128","4,743",31,13,1/108,1/6.25,3.52,-116,"4,442",16,13,1/153,1/6.08,3.28,-803,"2,922",8,6,1/209,1/5.84,2.53,-22,"1,600",7,0,1/229,1/5.65,2.14,"+1,228","6,131",29,13,1/146,1/5.99,2.26,-792,"5,472",19,13,1/171,1/6.23,2.47
2026-03-29,日,いいえ,+220,"4,721",18,13,1/152,1/5.92,3.08,"+1,998","7,514",33,32,1/116,1/6.25,5.13,-344,"5,241",15,22,1/142,1/5.97,4.69,"-1,390","4,050",11,6,1/238,1/5.87,1.88,"-1,000","2,083",5,4,1/231,1/6.34,2.66,+531,"3,448",16,8,1/144,1/6.19,2.84
2026-03-28,土,いいえ,-650,"5,054",16,15,1/163,1/6.06,3.24,-938,"4,019",12,11,1/175,1/6.24,2.99,"-1,619","5,002",16,7,1/217,1/6.31,1.70,+869,"6,571",24,27,1/129,1/5.94,4.85,+607,"4,884",22,13,1/140,1/6.33,3.06,-133,"3,970",14,10,1/165,1/5.85,2.83
2026-03-27,金,はい,-383,"2,727",10,5,1/182,1/6.20,2.50,-434,"6,550",24,15,1/168,1/6.05,2.27,+590,"7,933",33,18,1/156,1/5.97,2.19,"+3,274","7,634",35,36,1/108,1/5.92,5.35,"+5,524","7,779",44,42,1/90,1/6.18,5.51,"+4,769","6,698",34,38,1/93,1/5.64,5.48
2026-03-26,木,いいえ,-234,"2,017",7,5,1/168,1/6.14,3.10,-676,"1,549",3,5,1/194,1/6.17,3.46,-252,"4,928",15,21,1/137,1/6.14,4.72,-257,896,3,1,1/224,1/6.18,2.91,-501,"3,176",10,7,1/187,1/5.85,2.63,"-1,225","4,341",14,7,1/207,1/6.24,1.93
2026-03-25,水,いいえ,"+1,045","5,938",25,20,1/132,1/6.05,4.03,"-1,279","2,599",7,3,1/260,1/6.40,2.08,-915,"2,238",5,7,1/187,1/6.35,3.40,+191,"4,541",17,16,1/138,1/6.20,4.05,"+1,595","5,997",27,19,1/130,1/5.89,3.79,-50,"5,720",22,13,1/163,1/5.99,2.37
2026-03-24,火,いいえ,+909,"4,004",17,17,1/118,1/6.25,4.69,-809,"1,689",4,3,1/241,1/6.22,2.72,-852,"5,983",21,16,1/162,1/6.41,2.82,+733,"2,050",10,7,1/121,1/6.01,3.81,"-1,431","3,846",9,9,1/214,1/5.95,2.53,"-3,287","7,193",15,21,1/200,1/6.31,2.85
2026-03-23,月,いいえ,-295,"8,361",30,24,1/155,1/6.08,3.04,-880,"1,071",2,1,1/357,1/6.96,2.69,-521,"2,544",8,5,1/196,1/5.95,2.60,+496,"4,852",20,14,1/143,1/6.07,3.30,-908,"3,942",12,12,1/164,1/6.44,3.36,"-1,758","4,839",13,10,1/210,1/6.19,2.14
2026-03-22,日,いいえ,+0,"3,378",14,6,1/169,1/6.08,2.33,-205,"4,112",16,10,1/158,1/6.31,2.77,-152,"4,663",19,6,1/187,1/5.93,1.74,-763,"3,260",11,6,1/192,1/6.30,2.34,"-1,388","3,997",10,9,1/210,1/5.98,2.44,"-1,066","7,172",22,20,1/171,1/5.96,2.83
2026-03-21,土,いいえ,"+2,125","8,215",36,33,1/119,1/6.16,5.00,+243,"7,044",22,35,1/124,1/6.15,5.30,+763,"6,013",27,15,1/143,1/6.22,2.73,+43,"4,881",19,12,1/157,1/6.05,2.70,-206,"6,659",22,27,1/136,1/6.26,4.77,"-2,156","4,182",7,10,1/246,1/5.86,2.44
2026-03-20,金,いいえ,+409,"4,983",21,12,1/151,1/6.06,2.67,+681,"6,030",25,17,1/144,1/6.02,3.16,-374,"3,031",11,7,1/168,1/6.29,2.79,-489,"3,955",13,13,1/152,1/6.33,3.67,-331,"3,950",15,9,1/165,1/6.29,2.62,"-1,442","4,113",11,7,1/229,1/5.95,2.00
2026-03-19,木,いいえ,-394,"1,907",6,4,1/191,1/6.01,2.87,+695,"5,668",19,27,1/123,1/5.92,5.14,-243,"5,477",17,20,1/148,1/5.91,4.18,"-1,262","4,685",12,15,1/174,1/6.11,3.46,"+1,259","7,326",30,27,1/129,1/6.08,4.54,+416,678,4,1,1/136,1/5.28,3.19
2026-03-18,水,いいえ,+425,"6,067",29,9,1/160,1/6.38,1.71,-205,"4,438",16,11,1/164,1/5.98,2.74,"-1,125","9,388",27,35,1/151,1/6.02,4.47,-625,"3,618",11,9,1/181,1/5.91,2.79,"-1,248","3,483",9,8,1/205,1/6.15,2.58,+68,"7,071",27,25,1/136,1/6.46,4.27
2026-03-17,火,はい,+909,"8,142",30,34,1/127,1/6.10,5.04,+273,"6,495",23,24,1/138,1/6.03,4.39,"+1,210","7,863",30,25,1/143,1/5.64,3.70,+192,"6,814",24,26,1/136,1/6.13,4.56,+443,"4,383",19,12,1/141,1/6.27,3.16,-99,"7,190",25,22,1/153,1/5.94,3.40
2026-03-16,月,いいえ,-193,"2,996",9,12,1/143,1/6.04,4.21,+197,"2,981",14,3,1/175,1/6.07,2.00,"+1,808","8,186",39,21,1/136,1/6.13,2.76,-137,"1,518",6,1,1/217,1/5.79,2.40,"+1,788","4,011",22,14,1/111,1/6.36,4.20,+437,"4,125",19,7,1/159,1/6.09,2.15
2026-03-15,日,いいえ,+680,"5,743",25,17,1/137,1/6.31,3.43,"+2,103","8,073",39,25,1/126,1/6.27,3.80,"-1,616","4,360",12,9,1/208,1/6.30,2.23,"-1,299","3,341",8,8,1/209,1/6.11,2.68,+363,"4,677",17,16,1/142,1/5.86,3.92,"+1,540","5,303",25,16,1/129,1/5.96,3.59
2026-03-14,土,いいえ,"-1,389","5,398",16,14,1/180,1/6.26,2.67,-55,"5,015",18,16,1/148,1/6.11,3.63,+980,"7,088",33,20,1/134,1/6.53,3.25,-831,"4,591",12,15,1/170,1/5.80,3.56,+696,"4,805",21,14,1/137,1/6.18,3.38,+285,"8,352",29,32,1/137,1/6.05,4.68
2026-03-13,金,いいえ,+761,"7,592",31,26,1/133,1/6.28,4.18,-270,"2,160",9,3,1/180,1/6.54,2.45,"-1,107","3,130",8,8,1/196,1/6.21,2.88,"+1,526","7,605",30,34,1/119,1/6.12,5.21,-510,"3,613",13,7,1/181,1/6.17,2.35,+274,"5,355",21,15,1/149,1/6.04,3.12
2026-03-12,木,いいえ,-538,"2,621",7,6,1/202,1/5.58,2.77,+18,"5,301",19,18,1/143,1/6.13,3.92,"+2,473","7,909",36,29,1/122,1/5.95,4.64,+462,"2,851",10,15,1/114,1/6.14,4.91,-818,"1,480",3,2,1/296,1/5.98,2.61,+420,"6,270",25,19,1/143,1/6.14,3.47
2026-03-11,水,いいえ,+641,"7,372",29,20,1/150,1/5.86,2.88,"+2,402","5,490",30,14,1/125,1/5.94,3.03,-439,"7,752",27,26,1/146,1/6.28,3.93,"-1,901","5,165",13,14,1/191,1/6.31,2.78,+536,"7,395",25,33,1/128,1/6.05,5.14,-787,"2,309",7,5,1/192,1/6.57,2.79
2026-03-10,火,いいえ,-572,"5,733",21,15,1/159,1/6.37,2.78,-53,"1,360",6,2,1/170,1/6.46,2.83,-615,"3,571",12,7,1/188,1/6.04,2.36,+685,"2,951",17,2,1/155,1/6.42,1.91,-614,"2,912",8,9,1/171,1/6.01,3.40,-394,"2,002",6,6,1/167,1/6.19,3.39
2026-03-09,月,いいえ,"+1,475","3,734",19,11,1/124,1/5.88,3.54,+367,"1,538",9,0,1/171,1/6.18,2.23,"-1,018","3,330",9,5,1/238,1/5.71,2.05,-748,"1,717",5,4,1/191,1/7.03,3.03,-772,"4,802",16,11,1/178,1/6.10,2.44,-563,"1,141",2,3,1/228,1/5.95,3.24
2026-03-08,日,いいえ,-365,"6,823",21,23,1/155,1/5.80,3.84,-181,"4,726",16,15,1/152,1/5.99,3.56,+677,"7,734",29,28,1/136,1/6.03,4.42,-9,"8,181",33,16,1/167,1/6.03,1.80,-823,"2,768",10,3,1/213,1/6.56,2.04,"+1,489","6,099",30,14,1/139,1/6.09,2.52
2026-03-07,土,はい,"+1,676","5,889",26,21,1/125,1/5.88,4.33,-944,"8,033",27,20,1/171,1/6.03,2.36,"-2,069","5,636",11,21,1/176,1/6.08,4.08,-581,"4,850",16,10,1/187,1/5.79,2.20,"+1,964","5,966",33,11,1/136,1/6.21,2.09,-489,"7,602",26,22,1/158,1/6.03,3.07
2026-03-06,金,いいえ,"+2,732","6,336",30,33,1/101,1/6.31,5.40,-691,"3,617",11,12,1/157,1/6.37,3.66,-640,"5,423",19,14,1/164,1/6.24,2.74,"+1,937","7,165",32,23,1/130,1/5.85,3.89,-174,"3,053",11,8,1/161,1/6.09,3.06,+507,"7,158",31,17,1/149,1/6.24,2.43
2026-03-05,木,いいえ,"+2,148","7,323",33,28,1/120,1/6.06,4.77,-898,"2,826",8,5,1/217,1/6.01,2.36,"-1,161","3,922",12,7,1/206,1/6.19,2.12,-756,"3,085",10,4,1/220,1/5.95,2.03,"-1,632","4,590",12,8,1/230,1/5.93,1.93,+488,"5,725",26,11,1/155,1/6.22,2.08
2026-03-04,水,いいえ,-84,"2,286",9,4,1/176,1/6.00,2.60,-796,"3,843",11,12,1/167,1/6.14,3.42,-857,"1,261",2,3,1/252,1/6.54,3.10,-362,"4,129",14,7,1/197,1/5.61,2.04,-369,"2,186",7,7,1/156,1/6.41,3.54,"+1,279","6,320",28,22,1/126,1/6.24,4.25
2026-03-03,火,はい,"+2,236","3,055",19,12,1/99,1/6.07,4.47,"-1,000","8,088",24,28,1/156,1/6.03,4.00,-79,498,2,1,1/166,1/6.85,3.33,+54,"3,626",15,9,1/151,1/6.33,2.92,-144,"4,138",14,14,1/148,1/6.07,3.80,+86,"2,409",9,7,1/151,1/5.94,3.37
2026-03-02,月,いいえ,-599,"1,381",3,3,1/230,1/5.96,3.01,+410,"5,443",22,13,1/156,1/5.89,2.57,-627,"1,777",6,1,1/254,1/6.28,2.20,"-1,140","3,164",9,6,1/211,1/6.29,2.36,-273,"3,360",12,7,1/177,1/5.93,2.53,-569,"2,978",9,10,1/157,1/6.37,3.67
2026-03-01,日,いいえ,"+1,579","6,973",33,20,1/132,1/6.21,3.35,-66,"6,611",22,23,1/147,1/5.93,4.06,+168,"6,986",26,23,1/143,1/6.15,3.86,"-1,638","5,513",15,14,1/190,1/6.13,2.55,"+3,396","7,901",39,27,1/120,1/5.76,4.37,-168,"3,685",12,9,1/175,1/5.59,2.76
2026-02-28,土,いいえ,-64,"6,408",25,11,1/178,1/5.83,1.76,+54,"6,136",23,17,1/153,1/6.02,3.00,"+1,365","6,284",29,20,1/128,1/6.25,3.85,+620,"6,113",26,15,1/149,1/6.04,2.62,+762,"6,540",25,25,1/131,1/6.08,4.59,"+2,355","6,358",31,20,1/125,1/5.84,3.85
2026-02-27,金,はい,"-1,825","4,147",11,5,1/259,1/6.12,1.71,+358,"6,472",22,26,1/135,1/5.95,4.73,+296,"4,733",17,19,1/131,1/6.14,4.55,"-1,177","5,957",15,25,1/149,1/6.17,4.73,"+1,555","4,862",21,23,1/111,1/6.12,5.10,-661,"5,985",18,17,1/171,1/5.75,2.98
2026-02-26,木,いいえ,-215,"7,082",24,23,1/151,1/5.99,3.71,+584,"3,123",14,10,1/130,1/6.25,3.70,"-1,210","2,645",5,6,1/240,1/5.80,2.68,+855,"3,431",19,2,1/163,1/6.02,1.73,-147,"3,149",13,5,1/175,1/6.19,2.26,+484,"4,985",22,14,1/138,1/6.42,3.24
2026-02-25,水,いいえ,"+3,210","8,432",40,33,1/116,1/5.97,4.98,+863,"4,013",19,8,1/149,1/5.88,2.44,"+1,384","2,540",14,6,1/127,1/5.48,3.11,"-1,230","5,456",18,12,1/182,1/6.33,2.25,"-1,333","5,426",16,14,1/181,1/6.18,2.65,"-1,442","2,629",5,6,1/239,1/6.23,2.70
2026-02-24,火,いいえ,-751,"2,629",7,4,1/239,1/5.60,2.26,"+1,379","3,751",21,9,1/125,1/6.37,3.01,"+1,254","5,270",25,15,1/132,1/6.16,3.35,+562,"2,580",12,5,1/152,1/5.75,2.70,+795,"2,356",13,4,1/139,1/6.09,2.67,"-1,017","6,321",19,19,1/166,1/6.04,3.22
2026-02-23,月,いいえ,+267,"5,234",20,15,1/150,1/5.95,3.21,+146,"5,797",22,17,1/149,1/6.07,3.28,-804,"3,048",10,2,1/254,1/5.80,1.76,+665,"6,928",29,20,1/141,1/6.18,3.26,-649,"3,040",9,4,1/234,1/5.53,2.04,+269,"5,655",25,11,1/157,1/6.26,2.10
2026-02-22,日,いいえ,"+2,124","4,685",25,12,1/127,1/5.74,3.08,"+1,867","6,144",31,15,1/134,1/6.02,2.74,+339,"6,817",26,23,1/139,1/6.17,4.00,"+1,238","5,481",23,19,1/131,1/5.85,4.13,-613,"5,138",16,12,1/184,1/5.70,2.41,-767,"6,065",21,18,1/156,1/6.42,3.26
2026-02-21,土,いいえ,-535,"3,526",13,7,1/176,1/6.35,2.42,+765,"4,908",21,16,1/133,1/6.18,3.84,-651,"3,181",10,7,1/187,1/6.05,2.62,-493,"5,402",18,10,1/193,1/5.62,1.94,-592,"2,533",8,6,1/181,1/6.28,2.89,"-1,760","5,363",13,17,1/179,1/6.21,3.39
2026-02-20,金,いいえ,"-1,216","3,969",9,9,1/221,1/5.57,2.43,-54,"2,116",8,3,1/192,1/5.65,2.46,+255,"5,053",16,22,1/133,1/5.86,4.82,"-1,022",880,1,0,1/880,1/7.37,2.55,-844,"3,336",10,7,1/196,1/6.05,2.49,+181,"5,242",19,17,1/146,1/5.97,3.71
2026-02-19,木,いいえ,"+1,696","3,949",23,9,1/123,1/6.28,2.88,-391,507,1,1,1/254,1/7.45,3.27,-140,"3,660",12,10,1/166,1/5.70,3.06,+967,"4,199",19,13,1/131,1/6.04,3.64,+643,"3,543",17,10,1/131,1/6.50,3.37,-222,895,3,1,1/224,1/6.01,2.91
2026-02-18,水,いいえ,-372,"2,669",10,4,1/191,1/6.14,2.31,+694,"4,374",21,5,1/168,1/5.84,1.76,-108,"1,964",7,4,1/179,1/5.79,2.85,-978,"3,261",9,7,1/204,1/6.02,2.52,-796,"2,035",4,4,1/254,1/5.49,2.67,"-1,109","4,829",14,12,1/186,1/6.00,2.60
2026-02-17,火,はい,-586,"4,502",15,12,1/167,1/6.13,2.91,"-1,992","4,875",11,11,1/222,1/5.98,2.27,-751,"1,835",6,1,1/262,1/6.42,2.16,-171,"5,035",17,15,1/157,1/5.88,3.29,"+1,047","6,150",25,18,1/143,1/5.73,3.32,+385,"6,260",25,17,1/149,1/6.04,2.96
2026-02-16,月,いいえ,"+1,255","6,490",29,19,1/135,1/6.07,3.40,-249,"2,250",6,8,1/161,1/5.68,3.74,"+1,471","4,503",22,12,1/132,1/5.84,3.15,"+1,649","6,191",28,21,1/126,1/6.01,4.14,-500,"1,884",5,6,1/171,1/6.20,3.48,"-1,038","1,572",3,3,1/262,1/6.63,2.81
2026-02-15,日,いいえ,+150,"7,498",27,28,1/136,1/6.23,4.53,-982,"4,480",12,12,1/187,1/5.80,2.83,-226,"7,275",22,31,1/137,1/6.02,4.96,-617,"4,272",15,10,1/171,1/6.26,2.60,"+2,220","8,428",38,29,1/126,1/6.03,4.34,+567,"6,911",29,19,1/144,1/6.20,3.02
2026-02-14,土,いいえ,-994,"4,223",12,11,1/184,1/6.02,2.80,+869,"4,898",25,7,1/153,1/6.23,1.86,-677,"4,528",16,9,1/181,1/6.15,2.21,+997,"6,350",28,19,1/135,1/6.21,3.50,"-1,056","3,822",10,10,1/191,1/5.95,2.84,-272,"5,972",21,18,1/153,1/6.11,3.35
2026-02-13,金,いいえ,-735,"1,125",2,1,1/375,1/5.94,2.63,+477,"7,074",30,14,1/161,1/5.97,1.94,"+1,156","4,877",22,14,1/135,1/5.90,3.35,-416,"4,906",16,14,1/164,1/5.92,3.11,"+1,519","3,598",20,8,1/129,1/5.98,2.84,-578,"4,108",14,10,1/171,1/6.16,2.71
2026-02-12,木,いいえ,-567,"4,873",18,12,1/162,1/6.41,2.68,"+1,702","5,904",29,20,1/120,1/6.37,4.18,-927,"1,635",3,4,1/234,1/6.31,3.05,"+2,214","3,480",22,7,1/120,1/5.80,2.74,-655,"3,834",12,11,1/167,1/6.17,3.18,-379,974,3,0,1/325,1/5.85,2.53
2026-02-11,水,いいえ,+361,"7,488",29,21,1/150,1/6.00,3.02,-210,"5,153",19,17,1/143,1/6.43,3.80,+57,"6,877",28,14,1/164,1/6.07,2.00,+773,"5,210",21,15,1/145,1/5.77,3.26,"+3,149","7,700",37,32,1/112,1/6.02,5.12,+614,"4,437",19,8,1/164,1/5.64,2.15
2026-02-10,火,いいえ,-137,"7,888",26,29,1/143,1/6.02,4.41,"+1,914","5,841",30,19,1/119,1/6.39,4.03,"-1,814","3,881",9,11,1/194,1/6.63,3.03,-6,"2,844",12,4,1/178,1/6.01,2.23,+214,"5,759",19,18,1/156,1/5.57,3.48,-54,"2,608",9,10,1/137,1/6.29,4.06
2026-02-09,月,いいえ,-397,"6,983",21,31,1/134,1/6.20,5.06,+719,"3,094",14,7,1/147,1/5.69,2.83,+419,"4,170",17,15,1/130,1/6.36,4.14,"+1,431","3,952",21,12,1/120,1/6.34,3.68,+185,"3,017",11,11,1/137,1/6.04,3.99,"-2,109","3,527",7,8,1/235,1/6.58,2.49
2026-02-08,日,いいえ,"+1,589","7,545",31,33,1/118,1/6.23,5.17,+369,"2,542",13,3,1/159,1/6.28,2.26,+888,"9,109",37,28,1/140,1/6.11,3.57,"-1,128","1,615",3,3,1/269,1/6.74,2.76,"+2,688","7,996",36,32,1/118,1/5.94,4.99,+737,"4,091",18,13,1/132,1/6.17,3.71
2026-02-07,土,はい,+609,"9,251",29,44,1/127,1/5.93,5.34,"+1,611","5,863",25,24,1/120,1/5.98,4.84,+993,"7,328",27,33,1/122,1/6.13,5.18,"+2,707","8,196",37,32,1/119,1/5.94,4.92,"+2,145","7,694",34,28,1/124,1/5.94,4.57,"+3,126","8,966",39,34,1/123,1/5.64,4.83
2026-02-06,金,いいえ,-492,"1,047",3,1,1/262,1/6.41,2.75,-121,"6,575",25,17,1/157,1/6.13,2.69,"-1,966","5,981",15,19,1/176,1/6.32,3.40,-829,"2,790",8,6,1/199,1/6.13,2.65,-40,"3,519",13,9,1/160,1/5.96,2.95,-364,"2,433",7,6,1/187,1/5.63,2.96
