日付,曜日,特定日,157番台,,,,,,,,,158番台,,,,,,,,,160番台,,,,,,,,,161番台,,,,,,,,,162番台,,,,,,,,,163番台,,,,,,,,,165番台,,,,,,,,,166番台,,,,,,,,,167番台,,,,,,,,,168番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-06-04,木,いいえ,-49,40,0,0,-,-,3.45,23,4.0,-204,168,0,0,-,-,3.30,12,4.0,+620,608,5,1,1/101,-,3.32,12,4.0,+877,891,7,2,1/99,-,3.40,8,-,+176,509,2,3,1/102,-,3.97,19,7.0,-167,"1,128",4,2,1/188,-,3.01,49,10.0,-379,966,2,3,1/193,-,3.44,25,2.0,-151,778,2,3,1/156,-,3.66,62,13.0,-428,"4,789",16,14,1/160,-,3.22,39,12.0,-261,215,0,0,-,-,3.24,27,2.0
2026-06-03,水,いいえ,-181,149,0,0,-,-,3.32,19,8.0,-100,290,1,0,1/290,-,3.19,3,-,+336,"1,050",6,1,1/150,-,2.85,21,2.0,"+1,877","1,870",13,9,1/85,-,4.60,11,8.0,-67,471,2,0,1/236,-,3.02,34,1.0,-777,"2,522",6,8,1/180,-,3.44,51,17.0,"+1,542","1,938",12,9,1/92,-,4.52,31,8.0,-116,908,2,5,1/130,-,4.14,58,7.0,"-2,516","5,481",8,22,1/183,-,4.34,33,2.0,-172,300,0,2,1/150,-,3.81,23,2.0
2026-06-02,火,いいえ,+819,"2,216",12,5,1/130,-,3.07,12,10.0,+303,325,2,2,1/81,-,3.86,2,-,-228,683,2,1,1/228,-,3.11,32,3.0,-78,64,0,0,-,-,3.42,29,4.0,-387,606,1,1,1/303,-,3.16,25,6.0,-369,383,0,1,1/383,-,3.38,29,4.0,+704,"1,143",6,6,1/95,-,4.31,44,12.0,-191,811,2,3,1/162,-,3.63,55,11.0,-829,"1,129",1,3,1/282,-,3.21,14,2.0,-54,747,3,1,1/187,-,3.07,19,5.0
2026-06-01,月,いいえ,"+2,240","3,392",21,11,1/106,-,3.97,11,5.0,"+2,103","8,278",39,24,1/131,-,3.39,6,-,+186,"4,748",19,12,1/153,-,2.82,32,5.0,-289,"2,536",8,8,1/159,-,3.50,27,5.0,"+1,719","8,012",32,35,1/120,-,5.19,22,6.0,-525,"2,284",7,5,1/190,-,2.82,27,5.0,-814,"4,404",13,13,1/169,-,3.21,80,33.0,"-1,423","5,461",13,20,1/165,-,4.07,47,15.0,"+1,087","3,303",16,11,1/122,-,3.88,6,-,"+2,004","7,766",35,27,1/125,-,4.36,16,5.0
2026-05-31,日,いいえ,-149,618,2,1,1/206,-,3.18,36,11.0,-22,513,2,1,1/171,-,3.31,16,6.0,-317,469,1,0,1/469,-,2.98,49,11.0,+536,"1,440",6,8,1/103,-,4.53,25,3.0,-492,900,2,1,1/300,-,2.87,70,13.0,-43,659,3,0,1/220,-,2.85,22,3.0,-644,"1,789",3,8,1/163,-,4.11,57,8.0,+121,811,4,1,1/162,-,3.04,38,2.0,"+2,930","6,935",32,34,1/105,-,5.36,10,-,-,0,0,0,-,-,-,19,3.0
2026-05-30,土,はい,-620,877,1,2,1/292,-,3.17,34,7.0,+577,"3,149",14,9,1/137,-,3.37,15,-,-202,166,0,0,-,-,3.30,27,12.0,-346,285,0,0,-,-,3.16,42,1.0,-694,730,0,2,1/365,-,3.31,67,12.0,+488,380,3,2,1/76,-,3.84,15,-,-345,"2,215",7,6,1/170,-,3.19,54,12.0,-233,766,2,2,1/192,-,3.35,55,1.0,-230,605,2,0,1/303,-,2.87,41,7.0,-536,729,1,1,1/365,-,3.02,41,7.0
2026-05-29,金,いいえ,-287,939,3,1,1/235,-,2.86,28,2.0,"+1,077","3,213",14,15,1/111,-,4.79,20,8.0,+269,194,2,0,1/97,-,3.35,26,6.0,+467,"1,021",6,2,1/128,-,3.21,45,4.0,-228,475,1,1,1/238,-,3.31,50,1.0,+294,"1,322",6,4,1/132,-,3.52,12,-,-256,"3,884",15,7,1/177,-,2.21,40,4.0,-542,"1,149",3,1,1/287,-,2.64,49,4.0,-13,"1,813",6,7,1/139,-,3.91,36,8.0,-455,741,1,2,1/247,-,3.33,41,1.0
2026-05-28,木,いいえ,-495,"1,349",3,4,1/193,-,3.37,17,4.0,+323,"1,170",5,5,1/117,-,3.97,34,11.0,-317,261,0,0,-,-,3.19,51,5.0,-127,263,0,2,1/132,-,3.86,73,22.0,-418,711,1,2,1/237,-,3.37,46,5.0,-439,"1,015",2,3,1/203,-,3.39,13,-,"-1,248","3,167",8,6,1/226,-,2.33,41,1.0,-129,106,0,0,-,-,3.37,40,2.0,-101,83,0,0,-,-,3.40,23,6.0,-174,143,0,0,-,-,3.33,38,4.0
2026-05-27,水,いいえ,"+1,157","2,561",15,5,1/128,-,2.82,15,3.0,-103,659,2,2,1/165,-,3.47,33,2.0,-166,137,0,0,-,-,3.33,48,3.0,-201,324,0,2,1/162,-,3.79,73,25.0,+59,367,2,0,1/184,-,3.14,45,5.0,+215,"1,754",7,6,1/135,-,3.71,7,-,+76,"1,472",7,1,1/184,-,2.47,31,16.0,-80,"2,541",10,5,1/169,-,2.67,40,6.0,+435,"1,414",7,4,1/129,-,3.45,12,5.0,-60,"1,327",5,3,1/166,-,3.15,34,1.0
2026-05-26,火,いいえ,+25,395,2,0,1/198,-,3.11,20,2.0,-34,"1,642",7,2,1/182,-,2.59,31,4.0,-204,584,2,0,1/292,-,2.89,45,8.0,-673,634,0,1,1/634,-,3.08,81,18.0,-310,"4,038",14,11,1/162,-,3.04,63,18.0,-343,"1,144",3,3,1/191,-,3.28,8,-,"-1,067","1,850",2,7,1/206,-,3.72,27,4.0,+119,"5,102",17,21,1/134,-,4.66,37,6.0,+164,281,2,0,1/141,-,3.24,18,10.0,-201,"1,137",2,7,1/126,-,4.44,23,3.0
