日付,曜日,特定日,157番台,,,,,,,,,158番台,,,,,,,,,160番台,,,,,,,,,161番台,,,,,,,,,162番台,,,,,,,,,163番台,,,,,,,,,165番台,,,,,,,,,166番台,,,,,,,,,167番台,,,,,,,,,168番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-05-08,金,いいえ,-1,862,3,3,1/144,-,3.61,4,-,-65,"1,044",4,2,1/174,-,3.10,17,4.0,-271,223,0,0,-,-,3.23,24,2.0,-225,"1,334",4,4,1/167,-,3.43,21,4.0,-206,536,1,2,1/179,-,3.58,43,8.0,"-1,268","2,163",5,1,1/361,-,1.94,21,4.0,-492,"2,049",6,5,1/186,-,3.02,13,7.0,-102,500,2,0,1/250,-,2.99,22,1.0,+161,283,2,0,1/142,-,3.24,35,11.0,+126,"1,718",8,2,1/172,-,2.55,6,2.0
2026-05-07,木,いいえ,+7,697,3,1,1/174,-,3.13,3,-,-8,"1,828",8,2,1/183,-,2.45,14,1.0,-57,47,0,0,-,-,3.44,15,1.0,+705,"4,876",19,19,1/128,-,4.50,12,1.0,-109,90,0,0,-,-,3.39,40,16.0,+541,"1,584",9,2,1/144,-,2.71,13,1.0,+94,"2,012",7,8,1/134,-,4.03,11,7.0,+109,"1,505",5,7,1/125,-,4.19,24,9.0,-96,79,0,0,-,-,3.40,52,12.0,+973,"2,407",12,9,1/115,-,4.09,4,1.0
2026-05-06,水,いいえ,+740,304,4,1,1/61,-,3.64,8,2.0,"+2,363","3,757",22,14,1/104,-,4.42,10,2.0,-199,164,0,0,-,-,3.30,6,5.0,+40,672,3,1,1/168,-,3.16,32,16.0,-173,222,0,1,1/222,-,3.57,39,6.0,"+2,072","5,292",24,25,1/108,-,5.17,16,3.0,-317,341,0,1,1/341,-,3.43,13,3.0,+161,"2,382",9,8,1/140,-,3.71,33,1.0,-193,159,0,0,-,-,3.31,48,9.0,"+1,341","1,858",10,11,1/88,-,4.89,1,-
2026-05-05,火,いいえ,"+1,527","8,398",31,40,1/118,-,5.34,6,-,+297,"2,767",11,9,1/138,-,3.67,33,7.0,+80,"4,067",16,10,1/156,-,2.81,6,-,-694,"2,590",7,7,1/185,-,3.10,44,3.0,-292,"1,522",5,3,1/190,-,2.93,36,3.0,-212,"4,179",15,11,1/161,-,2.94,53,9.0,"+2,110","8,241",36,31,1/123,-,4.75,10,2.0,-280,936,3,1,1/234,-,2.86,26,16.0,-537,"2,092",6,5,1/190,-,2.98,41,5.0,+543,"6,649",26,21,1/141,-,3.67,8,2.0
2026-05-04,月,いいえ,+443,420,3,2,1/84,-,3.80,15,1.0,+31,183,1,0,1/183,-,3.32,43,5.0,-82,693,3,0,1/231,-,2.81,7,-,-221,262,0,1,1/262,-,3.53,26,9.0,+693,"3,545",14,15,1/122,-,4.57,33,7.0,-275,963,2,4,1/161,-,3.77,48,5.0,-177,354,1,0,1/354,-,3.12,16,1.0,+257,365,2,2,1/91,-,3.82,17,1.0,+0,0,0,0,-,-,-,38,5.0,-421,507,0,2,1/254,-,3.57,14,7.0
2026-05-03,日,いいえ,-182,567,2,0,1/284,-,2.91,17,4.0,-137,113,0,0,-,-,3.36,66,18.0,"+1,469","7,004",26,35,1/115,-,5.34,3,-,+73,"1,013",4,3,1/145,-,3.47,27,7.0,-101,83,0,0,-,-,3.40,44,8.0,-315,499,0,3,1/166,-,3.90,48,4.0,+534,"1,547",8,4,1/129,-,3.34,20,3.0,-143,118,0,0,-,-,3.36,29,2.0,-243,568,1,2,1/189,-,3.54,36,7.0,+0,0,0,0,-,-,-,13,10.0
2026-05-02,土,はい,"+1,091","5,461",24,17,1/133,-,3.67,9,1.0,-546,"1,523",4,3,1/218,-,2.89,68,25.0,"+1,108","3,092",15,11,1/119,-,4.06,8,-,-210,798,3,0,1/266,-,2.70,29,2.0,-425,638,1,1,1/319,-,3.12,42,10.0,+130,"2,904",11,9,1/145,-,3.52,43,1.0,-673,"1,419",3,3,1/237,-,2.97,27,1.0,-136,192,0,1,1/192,-,3.61,26,7.0,-5,"8,906",27,41,1/131,-,5.27,32,3.0,+37,546,2,2,1/137,-,3.61,19,10.0
2026-05-01,金,いいえ,-48,"2,954",9,13,1/134,-,4.48,18,4.0,-22,"1,171",4,4,1/146,-,3.61,66,27.0,+66,731,3,2,1/146,-,3.43,14,6.0,+89,"3,834",13,15,1/137,-,4.31,29,5.0,-198,163,0,0,-,-,3.30,39,10.0,-472,"1,045",2,3,1/209,-,3.35,73,7.0,-470,"2,117",6,6,1/176,-,3.26,8,-,-580,"1,919",5,5,1/192,-,3.13,24,2.0,-396,823,2,1,1/274,-,2.95,24,2.0,-660,"1,120",2,2,1/280,-,2.94,22,4.0
2026-04-30,木,いいえ,-174,720,2,2,1/180,-,3.40,16,3.0,-231,190,0,0,-,-,3.27,73,30.0,+17,194,1,0,1/194,-,3.31,20,2.0,-402,491,0,2,1/246,-,3.59,43,13.0,-260,582,1,2,1/194,-,3.52,30,10.0,-515,"2,908",10,5,1/194,-,2.36,75,2.0,+405,"4,328",17,14,1/140,-,3.72,7,-,-194,240,0,1,1/240,-,3.55,18,1.0,-249,285,0,1,1/285,-,3.50,13,6.0,"+1,925","3,218",15,21,1/89,-,5.33,17,1.0
2026-04-29,水,いいえ,+22,"5,428",20,16,1/151,-,3.29,14,5.0,-155,336,1,0,1/336,-,3.14,66,24.0,-326,557,1,1,1/279,-,3.21,20,2.0,-134,"3,202",11,10,1/152,-,3.51,39,19.0,-137,321,1,0,1/321,-,3.16,20,2.0,-185,"4,126",16,8,1/172,-,2.28,74,8.0,-574,"1,338",3,3,1/223,-,3.06,9,2.0,+707,"4,721",22,9,1/152,-,2.23,18,4.0,+161,"1,149",5,3,1/144,-,3.35,7,-,-379,521,1,0,1/521,-,2.93,42,3.0
2026-04-28,火,いいえ,-326,845,2,2,1/211,-,3.25,21,10.0,-491,"1,221",2,5,1/174,-,3.80,73,42.0,+440,"4,042",15,16,1/130,-,4.42,7,-,+185,"2,123",9,5,1/152,-,3.06,22,1.0,-294,690,1,3,1/173,-,3.73,11,1.0,-190,"1,358",5,2,1/194,-,2.80,74,1.0,"+1,225","2,676",15,7,1/122,-,3.31,10,1.0,+477,"1,882",9,5,1/134,-,3.32,28,6.0,-460,587,1,0,1/587,-,2.85,9,2.0,-16,"1,503",6,3,1/167,-,2.99,31,3.0
2026-04-27,月,いいえ,+432,"1,183",7,1,1/148,-,2.75,26,4.0,-249,910,3,1,1/228,-,2.89,67,10.0,-189,"1,309",4,4,1/164,-,3.46,18,8.0,-447,688,0,4,1/172,-,4.00,22,2.0,"+1,379","2,150",15,2,1/126,-,2.39,10,3.0,-372,723,2,0,1/362,-,2.74,57,25.0,-651,745,1,0,1/745,-,2.69,19,1.0,+158,"1,919",6,10,1/120,-,4.57,32,6.0,+875,"1,186",8,3,1/108,-,3.43,7,-,-235,770,2,2,1/193,-,3.34,20,1.0
2026-04-26,日,いいえ,+83,557,3,0,1/186,-,2.96,33,11.0,-206,826,2,3,1/165,-,3.61,60,2.0,-60,338,1,1,1/169,-,3.48,14,1.0,+55,163,1,0,1/163,-,3.34,22,1.0,-501,"1,229",2,5,1/176,-,3.79,21,4.0,-180,853,3,1,1/213,-,2.95,64,4.0,+659,"6,713",26,23,1/137,-,4.09,15,1.0,-316,500,0,3,1/167,-,3.90,58,25.0,-276,724,2,1,1/241,-,3.06,13,-,-666,917,1,2,1/306,-,3.13,17,2.0
2026-04-25,土,はい,+161,"1,309",5,5,1/131,-,3.82,38,2.0,-99,578,2,1,1/193,-,3.23,51,13.0,+437,"5,055",21,13,1/149,-,2.87,9,1.0,-365,"4,191",11,20,1/135,-,4.90,36,16.0,-565,545,0,1,1/545,-,3.19,9,1.0,-752,"4,544",15,10,1/182,-,2.38,69,14.0,"+2,757","8,027",36,35,1/113,-,5.23,20,11.0,-256,211,0,0,-,-,3.24,55,4.0,+261,987,5,2,1/141,-,3.21,7,-,"+1,079","8,736",32,37,1/127,-,5.12,8,1.0
2026-04-24,金,いいえ,-227,187,0,0,-,-,3.27,55,3.0,-644,610,0,1,1/610,-,3.11,51,6.0,-540,525,0,1,1/525,-,3.21,15,7.0,-343,731,1,3,1/183,-,3.68,45,10.0,+725,"3,359",14,13,1/124,-,4.29,6,-,-374,388,0,1,1/388,-,3.37,35,11.0,-322,"3,197",11,8,1/168,-,2.91,24,4.0,-250,494,1,1,1/247,-,3.29,52,1.0,+86,554,3,0,1/185,-,2.97,8,2.0,-72,268,1,0,1/268,-,3.22,20,5.0
2026-04-23,木,いいえ,-33,941,4,1,1/188,-,2.90,36,3.0,-55,254,1,0,1/254,-,3.23,31,14.0,+500,"2,040",11,2,1/157,-,2.36,14,3.0,-133,398,1,1,1/199,-,3.40,31,14.0,+5,"1,003",1,10,1/91,-,5.02,14,3.0,-568,"1,124",2,3,1/225,-,3.26,33,2.0,+769,"3,052",15,7,1/139,-,2.91,17,3.0,-86,71,0,0,-,-,3.41,38,2.0,+22,"1,184",5,2,1/169,-,2.99,8,-,-295,531,1,1,1/266,-,3.25,11,3.0
2026-04-22,水,いいえ,-140,"2,870",9,11,1/144,-,4.07,30,1.0,-546,"1,235",3,2,1/247,-,2.85,29,1.0,"+1,992","3,038",19,9,1/109,-,3.69,18,1.0,+462,"1,478",7,5,1/123,-,3.70,17,5.0,+148,"5,227",18,20,1/138,-,4.41,21,3.0,-556,"1,035",2,2,1/259,-,3.03,28,7.0,"-1,287","2,613",4,9,1/201,-,3.57,30,1.0,-276,884,2,3,1/177,-,3.54,34,4.0,+937,"2,785",14,8,1/127,-,3.46,12,1.0,"+1,400","5,609",29,9,1/148,-,1.89,11,-
2026-04-21,火,いいえ,"-1,020","1,160",0,4,1/290,-,3.47,39,3.0,-97,577,2,1,1/192,-,3.23,21,1.0,-232,271,0,1,1/271,-,3.51,23,2.0,+148,"1,528",6,5,1/139,-,3.61,34,9.0,-296,"1,557",4,6,1/156,-,3.81,25,1.0,"+1,164","3,334",16,12,1/119,-,4.12,24,1.0,-701,"2,356",7,4,1/214,-,2.48,18,9.0,+224,"2,122",8,8,1/133,-,3.95,36,2.0,-420,634,1,1,1/317,-,3.12,20,2.0,+301,"1,930",7,9,1/121,-,4.37,9,-
2026-04-20,月,いいえ,+33,966,4,2,1/161,-,3.19,26,2.0,+158,287,2,0,1/144,-,3.24,12,4.0,-276,516,1,1,1/258,-,3.26,19,3.0,-166,345,1,0,1/345,-,3.13,51,18.0,+18,402,2,0,1/201,-,3.10,24,5.0,-930,"1,374",1,5,1/229,-,3.58,33,7.0,-135,896,3,2,1/179,-,3.23,12,4.0,-266,924,3,1,1/231,-,2.88,53,2.0,-258,421,1,0,1/421,-,3.04,8,-,-271,223,0,0,-,-,3.23,16,4.0
2026-04-19,日,いいえ,-285,235,0,0,-,-,3.22,48,1.0,+167,488,3,0,1/163,-,3.04,17,1.0,+641,"2,820",13,8,1/134,-,3.38,18,1.0,-183,"1,224",4,3,1/175,-,3.22,47,8.0,+65,363,2,0,1/182,-,3.15,39,20.0,"-1,004","2,508",5,8,1/193,-,3.42,19,1.0,-34,"2,782",9,11,1/139,-,4.15,2,-,-193,159,0,0,-,-,3.31,52,4.0,+86,634,3,1,1/159,-,3.21,5,3.0,+66,859,4,1,1/172,-,2.99,16,11.0
2026-04-18,土,はい,-256,628,2,0,1/314,-,2.85,43,6.0,-447,865,2,1,1/288,-,2.90,19,5.0,-582,688,1,0,1/688,-,2.74,29,7.0,"-1,386","3,736",9,9,1/208,-,2.62,46,3.0,-503,623,1,0,1/623,-,2.81,48,2.0,"+2,503","5,850",28,26,1/108,-,5.12,14,8.0,"+2,605","8,073",36,34,1/115,-,5.14,0,-,-194,160,0,0,-,-,3.31,37,8.0,+640,"2,870",14,6,1/144,-,2.77,6,6.0,-357,662,1,2,1/221,-,3.43,22,3.0
2026-04-17,金,いいえ,+926,"2,089",11,7,1/116,-,3.80,33,10.0,+412,"3,040",12,11,1/132,-,4.00,16,14.0,-245,858,2,3,1/172,-,3.57,23,4.0,+25,396,2,0,1/198,-,3.11,33,10.0,+67,362,2,0,1/181,-,3.15,45,3.0,-615,"1,003",2,1,1/334,-,2.76,56,11.0,+205,"2,169",7,11,1/121,-,4.61,1,-,+110,903,4,2,1/151,-,3.27,42,9.0,+60,447,2,1,1/149,-,3.39,2,1.0,"+1,456","1,235",9,7,1/77,-,4.56,19,3.0
2026-04-16,木,いいえ,-78,"2,082",7,7,1/149,-,3.66,65,13.0,-227,187,0,0,-,-,3.27,29,7.0,-223,472,1,1,1/236,-,3.32,13,3.0,+271,819,5,0,1/164,-,2.75,39,6.0,-291,608,1,2,1/203,-,3.49,51,12.0,-21,"2,292",9,5,1/164,-,2.88,33,4.0,+127,"2,601",8,13,1/124,-,4.71,1,-,-385,317,0,0,-,-,3.12,52,1.0,-714,"1,165",2,2,1/291,-,2.89,10,9.0,-488,690,1,1,1/345,-,3.06,22,9.0
2026-04-15,水,いいえ,-616,"2,029",5,6,1/184,-,3.32,63,12.0,-161,966,4,0,1/242,-,2.57,26,11.0,"+2,387","7,068",33,27,1/118,-,4.77,5,-,-363,587,1,1,1/294,-,3.18,66,3.0,+51,"2,247",6,13,1/118,-,4.88,35,9.0,-902,"2,681",7,6,1/206,-,2.71,40,5.0,"+1,008","6,471",22,34,1/116,-,5.35,5,-,-557,459,0,0,-,-,2.96,51,11.0,+105,907,4,2,1/151,-,3.26,7,2.0,"+1,461","5,253",26,13,1/135,-,2.85,15,8.0
2026-04-14,火,いいえ,-393,324,0,0,-,-,3.11,59,16.0,+828,"3,514",14,16,1/117,-,4.77,16,4.0,-127,473,1,2,1/158,-,3.65,23,6.0,-51,"1,115",4,3,1/159,-,3.35,66,7.0,-261,"1,208",4,2,1/201,-,2.92,59,16.0,+222,"1,099",5,3,1/137,-,3.41,17,1.0,-261,"2,184",6,9,1/146,-,4.10,7,-,-241,695,2,1,1/232,-,3.09,27,4.0,+945,"1,993",11,6,1/117,-,3.60,12,5.0,-20,433,2,0,1/217,-,3.06,43,16.0
2026-04-13,月,いいえ,"-1,099","1,065",0,2,1/533,-,2.93,58,1.0,-146,985,3,3,1/164,-,3.46,27,1.0,-314,467,1,0,1/467,-,2.99,20,4.0,-87,"1,145",4,3,1/164,-,3.32,66,8.0,"-1,157","2,506",4,9,1/193,-,3.69,57,30.0,+720,"3,155",13,13,1/121,-,4.43,26,4.0,"+2,422","3,437",23,8,1/111,-,3.11,1,-,-447,368,0,0,-,-,3.06,16,6.0,"+1,055","3,872",17,15,1/121,-,4.40,10,9.0,-237,195,0,0,-,-,3.26,22,2.0
2026-04-12,日,いいえ,-119,98,0,0,-,-,3.38,44,1.0,+233,433,3,0,1/144,-,3.11,18,1.0,+607,702,5,2,1/100,-,3.54,17,7.0,-163,294,0,2,1/147,-,3.82,51,2.0,-54,333,1,1,1/167,-,3.48,43,24.0,-687,"1,511",3,4,1/216,-,3.18,49,5.0,-730,"1,626",3,5,1/203,-,3.38,9,-,+260,"1,981",9,4,1/152,-,2.90,10,1.0,-94,654,2,2,1/164,-,3.48,19,1.0,-134,319,1,0,1/319,-,3.16,18,1.0
2026-04-11,土,はい,+291,"1,747",8,4,1/146,-,3.12,19,3.0,-647,"1,030",2,1,1/343,-,2.73,29,10.0,-471,676,1,1,1/338,-,3.08,34,5.0,-299,455,1,0,1/455,-,3.00,47,7.0,-762,"3,879",11,12,1/169,-,3.39,47,7.0,"-1,185","1,473",2,1,1/491,-,2.32,40,6.0,+764,"2,351",12,6,1/131,-,3.24,7,-,-432,356,0,0,-,-,3.07,16,2.0,"+3,361","8,141",42,27,1/118,-,4.27,10,3.0,-34,525,2,1,1/175,-,3.29,14,4.0
2026-04-10,金,いいえ,-379,809,2,1,1/270,-,2.97,35,2.0,-274,514,1,1,1/257,-,3.27,17,4.0,+344,"2,200",10,5,1/147,-,3.01,13,11.0,-292,529,1,1,1/265,-,3.25,49,14.0,-256,211,0,0,-,-,3.24,32,3.0,+779,"4,436",19,14,1/134,-,3.68,33,1.0,+971,"3,719",19,7,1/143,-,2.44,13,11.0,+172,"1,140",5,3,1/143,-,3.36,2,-,-802,"1,029",1,2,1/343,-,3.00,29,12.0,+187,"2,649",10,9,1/139,-,3.76,13,11.0
2026-04-09,木,いいえ,-255,210,0,0,-,-,3.25,25,6.0,-79,482,2,0,1/241,-,3.01,13,10.0,+16,563,2,2,1/141,-,3.59,19,1.0,-54,333,1,1,1/167,-,3.48,50,12.0,+822,"2,272",13,3,1/142,-,2.48,32,7.0,-991,"1,792",2,7,1/199,-,3.78,38,6.0,-371,"1,042",2,4,1/174,-,3.68,15,2.0,-397,327,0,0,-,-,3.11,3,-,-168,218,0,1,1/218,-,3.58,18,3.0,+25,396,2,0,1/198,-,3.11,13,10.0
2026-04-08,水,いいえ,-454,374,0,0,-,-,3.05,17,3.0,+624,"4,595",18,17,1/131,-,4.27,2,-,-107,505,2,0,1/253,-,2.98,32,15.0,-590,"1,511",3,5,1/189,-,3.51,47,12.0,-192,783,3,0,1/261,-,2.72,52,5.0,+349,"5,155",15,29,1/117,-,5.32,35,3.0,+77,"1,715",7,4,1/156,-,3.11,14,11.0,+468,945,6,1,1/135,-,2.97,3,1.0,-396,"1,479",4,4,1/185,-,3.26,14,11.0,-73,637,2,2,1/159,-,3.50,14,11.0
2026-04-07,火,いいえ,-537,442,0,0,-,-,2.98,9,3.0,-424,"2,159",6,7,1/166,-,3.53,4,1.0,-238,196,0,0,-,-,3.26,22,6.0,-238,196,0,0,-,-,3.26,27,5.0,-113,"2,288",9,4,1/176,-,2.60,40,5.0,-87,"1,850",7,4,1/168,-,2.97,35,8.0,+403,"3,850",17,8,1/154,-,2.51,16,3.0,+118,528,3,0,1/176,-,3.00,3,-,+214,320,2,1,1/107,-,3.54,13,4.0,"+1,982","2,084",14,10,1/87,-,4.67,6,2.0
2026-04-06,月,いいえ,-141,693,2,2,1/173,-,3.43,3,1.0,+296,"2,896",12,8,1/145,-,3.26,3,1.0,-11,9,0,0,-,-,3.49,18,4.0,+756,"4,407",18,16,1/130,-,4.20,23,5.0,-296,324,0,1,1/324,-,3.45,38,7.0,-181,149,0,0,-,-,3.32,31,6.0,+257,"3,793",15,11,1/146,-,3.33,25,1.0,+313,864,5,1,1/144,-,3.02,2,-,-155,336,1,0,1/336,-,3.14,14,11.0,-147,121,0,0,-,-,3.35,24,1.0
2026-04-05,日,いいえ,"+1,733","7,030",31,25,1/126,-,4.41,0,-,+95,"1,075",4,4,1/134,-,3.73,3,3.0,-346,"1,070",3,2,1/214,-,3.03,14,3.0,-22,932,4,1,1/186,-,2.91,44,15.0,-442,"2,719",9,6,1/181,-,2.74,27,6.0,-517,"1,996",6,4,1/200,-,2.78,29,2.0,-202,"4,939",16,18,1/145,-,4.15,17,3.0,-552,694,0,3,1/231,-,3.68,9,6.0,"+1,704","7,901",32,33,1/122,-,5.07,11,2.0,-313,466,1,0,1/466,-,2.99,21,4.0
2026-04-04,土,はい,+112,"7,226",24,29,1/136,-,4.78,1,1.0,+116,481,2,2,1/120,-,3.68,3,2.0,"+1,863","8,316",35,32,1/124,-,4.82,6,3.0,-612,"1,449",3,4,1/207,-,3.25,32,10.0,-131,316,1,0,1/316,-,3.16,17,3.0,-465,"4,947",15,18,1/150,-,4.11,22,4.0,-121,308,1,0,1/308,-,3.17,14,3.0,"+4,736","7,071",40,33,1/97,-,5.36,0,-,-42,"3,751",14,10,1/156,-,3.04,18,1.0,-493,"2,473",8,5,1/190,-,2.67,11,5.0
2026-04-03,金,いいえ,+240,"1,244",5,5,1/124,-,3.89,7,3.0,-313,546,1,1,1/273,-,3.23,4,-,-250,623,2,0,1/312,-,2.85,19,1.0,-495,984,2,2,1/246,-,3.09,27,6.0,-68,633,2,2,1/158,-,3.50,13,1.0,+503,"5,192",20,18,1/137,-,4.05,21,2.0,+133,"4,614",15,20,1/132,-,4.76,12,2.0,+133,884,4,2,1/147,-,3.29,10,2.0,+189,678,4,0,1/170,-,2.87,18,5.0,+390,"2,850",11,11,1/130,-,4.16,8,1.0
2026-04-02,木,いいえ,"+1,915","1,323",12,5,1/78,-,4.07,5,3.0,"+1,593","3,575",20,9,1/123,-,3.15,2,-,+233,961,4,4,1/120,-,3.86,17,1.0,-148,539,2,0,1/270,-,2.94,16,10.0,+535,"2,154",9,9,1/120,-,4.23,6,1.0,-794,"1,807",4,4,1/226,-,2.90,25,8.0,-534,857,2,0,1/429,-,2.61,16,10.0,-202,"1,080",4,1,1/216,-,2.75,17,1.0,-452,789,2,0,1/395,-,2.68,30,5.0,+45,"1,453",6,3,1/161,-,3.05,17,1.0
2026-04-01,水,いいえ,"+2,820","4,485",25,20,1/100,-,5.01,5,-,+28,185,1,0,1/185,-,3.32,9,1.0,+576,"1,721",9,4,1/132,-,3.18,17,2.0,+252,"1,154",5,4,1/128,-,3.67,15,1.0,+216,239,2,0,1/120,-,3.29,12,2.0,"+2,980","3,679",21,22,1/86,-,5.34,10,1.0,+13,694,3,1,1/174,-,3.14,8,3.0,"+1,167","4,228",18,18,1/117,-,4.74,13,1.0,-30,233,1,0,1/233,-,3.26,18,1.0,+351,"3,875",15,13,1/138,-,3.83,14,1.0
2026-03-31,火,いいえ,+819,"1,104",7,4,1/100,-,3.81,10,1.0,+77,305,1,2,1/102,-,3.85,9,1.0,-87,857,3,2,1/171,-,3.28,27,2.0,-110,"2,685",9,9,1/149,-,3.69,11,1.0,-444,366,0,0,-,-,3.06,23,3.0,-423,"1,422",4,3,1/203,-,3.00,44,17.0,-227,475,1,1,1/238,-,3.31,8,-,+427,"2,403",9,11,1/120,-,4.49,20,9.0,+847,"1,560",7,10,1/92,-,4.84,11,1.0,+64,812,3,3,1/135,-,3.66,25,2.0
2026-03-30,月,いいえ,-193,367,1,0,1/367,-,3.10,19,2.0,+166,857,4,2,1/143,-,3.32,9,3.0,-103,85,0,0,-,-,3.40,23,4.0,+352,"2,353",10,7,1/138,-,3.47,10,1.0,+969,"3,255",16,9,1/130,-,3.34,17,5.0,-67,"1,945",6,8,1/139,-,4.06,25,2.0,"+1,933","3,423",21,8,1/118,-,3.05,6,-,-423,428,0,1,1/428,-,3.33,30,4.0,-9,"1,032",3,5,1/129,-,4.04,12,2.0,-154,127,0,0,-,-,3.35,26,1.0
2026-03-29,日,いいえ,-361,377,0,1,1/377,-,3.39,15,1.0,-281,311,0,1,1/311,-,3.47,16,1.0,+267,485,3,1,1/121,-,3.38,22,2.0,+92,133,1,0,1/133,-,3.38,10,-,+451,"1,039",6,2,1/130,-,3.19,36,11.0,-307,"1,694",5,5,1/169,-,3.38,14,2.0,-94,574,2,1,1/191,-,3.24,17,1.0,"+1,061","1,113",8,4,1/93,-,3.84,20,3.0,+70,727,3,2,1/145,-,3.43,12,2.0,+100,991,4,3,1/142,-,3.50,25,3.0
2026-03-28,土,はい,-115,303,1,0,1/303,-,3.18,11,1.0,+115,"2,180",9,5,1/156,-,3.00,10,-,-125,391,1,1,1/196,-,3.41,41,24.0,-442,892,1,4,1/178,-,3.81,16,3.0,-405,542,1,0,1/542,-,2.90,48,7.0,-511,"3,623",10,14,1/151,-,4.16,10,-,-350,368,0,1,1/368,-,3.40,13,2.0,-281,600,1,2,1/200,-,3.50,58,10.0,-296,452,1,0,1/452,-,3.00,17,1.0,-274,226,0,0,-,-,3.23,41,24.0
2026-03-27,金,いいえ,+109,695,3,2,1/139,-,3.47,3,-,+304,"1,111",5,4,1/123,-,3.72,5,2.0,-639,735,1,0,1/735,-,2.70,39,24.0,+9,201,1,0,1/201,-,3.30,15,3.0,+562,"1,395",7,5,1/116,-,3.80,55,14.0,+28,"2,780",10,9,1/146,-,3.62,9,1.0,+100,"1,776",7,5,1/148,-,3.36,12,3.0,-206,170,0,0,-,-,3.29,62,7.0,-435,438,0,1,1/438,-,3.31,8,3.0,-443,445,0,1,1/445,-,3.31,41,2.0
2026-03-26,木,いいえ,"+1,272","5,423",23,21,1/123,-,4.59,6,-,-253,625,2,0,1/313,-,2.85,12,4.0,+238,"1,982",7,9,1/124,-,4.33,35,18.0,-439,"1,067",3,1,1/267,-,2.73,17,5.0,-377,"3,867",14,8,1/176,-,2.42,88,38.0,+109,"1,352",5,5,1/135,-,3.77,17,5.0,"+1,342","2,788",16,7,1/121,-,3.23,17,5.0,-294,"1,364",5,1,1/227,-,2.51,50,9.0,+79,977,5,0,1/195,-,2.59,8,2.0,+420,"2,249",9,9,1/125,-,4.14,41,6.0
2026-03-25,水,いいえ,+829,"6,413",26,21,1/136,-,3.88,13,2.0,+10,"2,107",9,3,1/176,-,2.50,11,3.0,+154,707,4,0,1/177,-,2.84,35,7.0,"+1,467","6,096",27,21,1/127,-,4.19,13,2.0,-981,"1,833",3,5,1/229,-,3.14,73,28.0,+80,"1,744",6,7,1/134,-,3.99,28,2.0,"+2,553","7,862",39,23,1/127,-,3.51,26,13.0,-238,484,1,1,1/242,-,3.30,45,6.0,+65,"3,295",13,8,1/157,-,2.89,8,-,-340,648,1,2,1/216,-,3.44,39,4.0
2026-03-24,火,いいえ,+119,687,3,2,1/137,-,3.48,19,4.0,+97,625,3,1,1/156,-,3.22,15,4.0,-204,168,0,0,-,-,3.30,60,19.0,-80,66,0,0,-,-,3.42,36,17.0,-192,158,0,0,-,-,3.31,67,7.0,+229,"1,670",7,5,1/139,-,3.49,36,17.0,-159,"2,646",9,8,1/156,-,3.42,73,6.0,-275,466,0,3,1/155,-,3.94,41,3.0,+912,"3,333",15,12,1/123,-,4.09,11,-,+0,0,0,0,-,-,-,38,2.0
2026-03-23,月,いいえ,-65,"1,783",6,6,1/149,-,3.64,29,7.0,-39,737,3,1,1/184,-,3.09,22,6.0,-181,149,0,0,-,-,3.32,59,4.0,+17,194,1,0,1/194,-,3.31,35,6.0,-250,286,0,1,1/286,-,3.50,64,5.0,+411,"3,121",12,12,1/130,-,4.19,46,2.0,-327,269,0,0,-,-,3.18,80,16.0,+259,"1,982",9,4,1/152,-,2.90,44,9.0,-185,441,1,1,1/221,-,3.35,16,-,-215,177,0,0,-,-,3.29,55,9.0
2026-03-22,日,いいえ,-130,187,0,1,1/187,-,3.62,20,5.0,+113,275,1,2,1/92,-,3.88,15,6.0,-310,"1,040",3,2,1/208,-,3.07,63,8.0,-478,"1,130",2,4,1/188,-,3.58,48,28.0,-545,737,1,1,1/369,-,3.01,55,7.0,-17,382,1,2,1/127,-,3.76,67,4.0,-250,286,0,1,1/286,-,3.50,74,7.0,-153,126,0,0,-,-,3.35,55,7.0,+373,686,4,2,1/114,-,3.52,9,-,-200,165,0,0,-,-,3.30,55,7.0
2026-03-21,土,はい,"+1,971","9,189",40,31,1/129,-,4.23,17,2.0,"+1,438","2,261",15,4,1/119,-,2.83,15,5.0,-383,524,1,0,1/524,-,2.92,60,2.0,-118,"2,692",9,9,1/150,-,3.68,24,7.0,"-1,413","2,428",3,8,1/221,-,3.43,45,3.0,-797,"1,890",4,5,1/210,-,3.12,73,13.0,-150,"4,576",16,14,1/153,-,3.43,42,18.0,"-1,179","1,996",3,5,1/250,-,2.97,58,13.0,+7,"2,221",8,7,1/148,-,3.54,10,-,-856,"1,153",1,3,1/288,-,3.19,42,18.0
