日付,曜日,特定日,1044番台,,,,,,,1045番台,,,,,,,1046番台,,,,,,,1047番台,,,,,,,1048番台,,,,,,,1050番台,,,,,,,1051番台,,,,,,,1052番台,,,,,,,1053番台,,,,,,,1054番台,,,,,,,1055番台,,,,,,,1056番台,,,,,,,1057番台,,,,,,,1058番台,,,,,,,1059番台,,,,,,,1060番台,,,,,,,1061番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-03,水,いいえ,-,-,-,-,-,-,-,-739,"3,252",10,11,1/155,1/6.64,3.71,-278,208,0,0,-,1/6.68,3.25,+677,"1,904",10,4,1/136,1/5.88,3.02,-228,"2,162",7,8,1/144,1/6.38,3.87,-289,286,0,0,-,1/5.25,3.16,+61,"3,853",13,14,1/143,1/5.94,4.05,+477,"1,492",6,9,1/99,1/6.37,4.69,+111,"1,667",6,4,1/167,1/5.48,3.13,-239,297,0,0,-,1/4.63,3.14,+344,"1,850",8,4,1/154,1/5.64,3.00,+400,"1,304",6,4,1/130,1/5.78,3.54,-317,264,0,0,-,1/6.00,3.18,-367,488,1,1,1/244,1/7.50,3.30,-628,"1,050",2,3,1/210,1/6.78,3.35,-34,440,2,0,1/220,1/6.11,3.06,+677,"3,355",14,10,1/140,1/5.73,3.46
2026-06-02,火,いいえ,-,-,-,-,-,-,-,-167,155,0,0,-,1/5.49,3.31,"+3,111","7,015",40,14,1/130,1/5.95,2.16,+144,738,3,2,1/148,1/5.55,3.42,+211,"1,338",7,1,1/167,1/6.16,2.60,+450,537,4,1,1/107,1/6.10,3.36,-678,"3,749",10,14,1/156,1/6.06,4.04,+177,302,2,0,1/151,1/5.52,3.22,-156,321,1,0,1/321,1/6.34,3.16,-345,437,1,0,1/437,1/6.86,3.02,"+1,566","2,287",16,4,1/114,1/6.23,2.84,+444,"3,915",15,13,1/140,1/5.88,3.79,-239,402,1,0,1/402,1/6.10,3.06,-245,488,1,1,1/244,1/6.08,3.30,-517,674,0,4,1/169,1/6.70,4.02,-89,"1,213",4,4,1/152,1/6.11,3.57,+455,"4,428",19,9,1/158,1/5.89,2.35
2026-06-01,月,はい,-,-,-,-,-,-,-,-939,"1,146",2,0,1/573,1/6.28,2.35,+583,"4,201",16,15,1/136,1/5.85,4.08,+522,"1,511",8,3,1/137,1/5.92,3.06,-262,"3,186",10,9,1/168,1/5.77,3.18,+394,"3,868",15,13,1/138,1/6.00,3.83,"+1,011","5,874",25,17,1/140,1/5.91,3.31,+255,"4,431",16,15,1/143,1/5.91,3.86,+888,"3,244",16,9,1/130,1/6.18,3.35,-156,293,1,0,1/293,1/7.02,3.19,"+1,477","5,434",25,20,1/121,1/6.20,4.45,+100,"1,454",7,1,1/182,1/6.06,2.49,+244,"2,521",11,5,1/158,1/5.98,2.72,-356,"1,129",3,2,1/226,1/5.81,2.97,"+1,433","5,688",29,14,1/132,1/6.34,2.82,-56,"2,255",6,11,1/133,1/5.85,4.52,+544,"8,676",32,28,1/145,1/5.91,3.77
2026-05-31,日,はい,-,-,-,-,-,-,-,+0,724,3,1,1/181,1/5.91,3.10,-545,"4,450",17,10,1/165,1/6.50,2.51,-934,"3,027",8,7,1/202,1/5.99,2.70,-89,"2,173",8,6,1/155,1/6.17,3.28,"-1,823","3,153",6,6,1/263,1/6.19,2.29,"-1,089","2,089",4,5,1/232,1/6.16,2.91,-362,"3,137",11,6,1/185,1/5.93,2.44,+283,"2,758",11,7,1/153,1/5.78,3.07,-245,"1,783",6,5,1/162,1/6.27,3.32,-695,"1,206",2,3,1/241,1/6.16,3.17,+22,900,4,1,1/180,1/6.02,2.94,-306,"2,486",7,7,1/178,1/5.60,3.21,+105,"1,479",7,3,1/148,1/6.59,3.06,"+2,733","5,621",31,16,1/120,1/5.91,3.49,-156,472,1,1,1/236,1/5.46,3.32,+383,"3,196",15,5,1/160,1/6.07,2.27
2026-05-30,土,いいえ,-,-,-,-,-,-,-,-690,722,1,1,1/361,1/7.31,3.02,"-1,660","4,008",7,15,1/182,1/6.07,3.96,-30,"3,313",13,9,1/151,1/6.29,3.16,-700,658,0,1,1/658,1/6.05,3.06,"-1,010","5,096",17,14,1/164,1/6.51,2.96,-10,"1,728",7,2,1/192,1/5.74,2.51,-310,"1,714",6,2,1/214,1/5.90,2.49,-690,"1,007",1,2,1/336,1/5.69,3.03,-230,"4,010",13,12,1/160,1/5.84,3.33,-610,554,0,1,1/554,1/6.36,3.18,+360,"2,039",8,10,1/113,1/6.42,4.54,-610,"2,640",9,5,1/189,1/6.35,2.55,-400,0,0,0,-,-,-,"+1,240","7,062",30,27,1/124,1/6.31,4.71,-200,314,1,0,1/314,1/7.32,3.16,"+1,450","6,598",27,26,1/124,1/5.97,4.76
2026-05-29,金,いいえ,-,-,-,-,-,-,-,+930,"1,707",11,3,1/122,1/6.24,2.96,-520,"2,734",8,8,1/171,1/6.05,3.29,-360,701,2,0,1/351,1/6.16,2.77,+60,"1,558",7,2,1/173,1/6.09,2.67,-640,731,1,1,1/366,1/6.78,3.01,-310,"1,422",4,3,1/203,1/5.71,3.00,+30,"1,069",5,1,1/178,1/6.20,2.80,+260,"5,175",20,14,1/152,1/5.94,2.99,-200,0,0,0,-,-,-,-240,"1,918",6,6,1/160,1/6.07,3.49,-140,"1,578",6,3,1/175,1/6.15,2.91,-910,"1,851",4,2,1/309,1/5.75,2.32,-220,"4,020",13,14,1/149,1/6.03,3.89,-480,"1,008",1,4,1/202,1/5.61,3.68,+260,"2,043",8,7,1/136,1/5.96,3.74,-240,958,3,1,1/240,1/5.75,2.84
2026-05-28,木,いいえ,-,-,-,-,-,-,-,+630,"1,201",8,1,1/133,1/6.17,2.77,+950,"4,564",22,11,1/138,1/6.19,2.82,-160,576,2,0,1/288,1/5.80,2.90,-330,0,0,0,-,-,-,-310,348,0,1,1/348,1/5.86,3.42,-290,0,0,0,-,-,-,-350,455,1,0,1/455,1/6.61,3.00,-90,0,0,0,-,-,-,-150,0,0,0,-,-,-,+600,"1,122",7,3,1/112,1/6.47,3.47,+70,"1,194",5,2,1/171,1/5.82,2.97,+200,360,2,1,1/120,1/5.64,3.49,"-1,070","2,323",4,10,1/166,1/6.54,4.16,"+1,930","3,630",20,13,1/110,1/6.02,4.23,-460,"1,024",3,1,1/256,1/6.40,2.77,+200,"2,407",10,7,1/142,1/6.21,3.41
2026-05-27,水,いいえ,-,-,-,-,-,-,-,-278,524,1,1,1/262,1/5.98,3.25,-345,601,1,1,1/301,1/5.80,3.16,-356,"2,338",8,5,1/180,1/6.10,2.80,-134,400,1,1,1/200,1/6.03,3.40,"+1,455","2,457",13,12,1/98,1/6.06,4.75,+61,"2,234",8,9,1/131,1/6.31,4.12,-134,372,1,1,1/186,1/6.47,3.43,+233,717,3,3,1/120,1/5.72,3.78,-178,398,1,1,1/199,1/6.61,3.40,-317,"1,206",3,3,1/201,1/5.70,3.21,+100,"2,354",11,4,1/157,1/6.49,2.60,-267,559,1,1,1/280,1/5.59,3.21,-739,774,0,2,1/387,1/6.02,3.25,-217,657,2,1,1/219,1/6.21,3.14,-778,"1,340",2,3,1/268,1/5.88,3.02,-734,"3,141",10,8,1/175,1/6.40,2.94
2026-05-26,火,いいえ,-,-,-,-,-,-,-,+477,757,5,1,1/126,1/5.84,3.14,-106,493,2,0,1/247,1/6.18,3.00,-250,668,1,4,1/134,1/6.64,4.06,+33,284,1,1,1/142,1/5.63,3.54,+55,888,3,4,1/127,1/6.11,3.90,-239,185,0,0,-,1/6.44,3.28,+0,0,0,0,-,-,-,"+1,300","2,519",16,3,1/133,1/6.01,2.36,"+1,022","1,102",8,4,1/92,1/6.26,3.85,-46,63,0,0,-,1/4.44,3.42,-239,256,0,1,1/256,1/6.54,3.53,-17,788,3,3,1/131,1/6.76,3.69,+683,"1,270",7,4,1/115,1/5.81,3.62,-28,887,3,2,1/177,1/5.59,3.24,+77,355,2,0,1/178,1/6.02,3.16,-306,216,0,0,-,1/7.16,3.24
2026-05-25,月,いいえ,-,-,-,-,-,-,-,"-1,360","4,232",11,9,1/212,1/5.92,2.29,"+2,120","8,741",36,36,1/121,1/5.97,5.09,-530,"1,990",6,4,1/199,1/6.10,2.78,-130,"7,296",24,25,1/149,1/5.90,3.99,-810,"1,644",4,2,1/274,1/6.11,2.49,-430,"4,417",13,16,1/152,1/5.95,4.03,-320,"1,033",3,1,1/258,1/5.72,2.76,+410,"2,487",10,9,1/131,1/5.99,3.93,-660,"5,254",15,22,1/142,1/6.23,4.68,"+2,340","7,812",37,26,1/124,1/6.07,4.18,-390,637,1,0,1/637,1/5.25,2.80,-350,"2,591",9,5,1/185,1/5.99,2.59,-550,704,1,0,1/704,1/5.74,2.73,-230,"3,903",14,15,1/135,1/6.67,4.28,+210,"4,413",14,14,1/158,1/5.42,3.53,-170,"3,146",12,7,1/166,1/6.14,2.72
2026-05-24,日,いいえ,-,-,-,-,-,-,-,"+2,140","6,772",33,21,1/125,1/6.06,3.79,-460,0,0,0,-,-,-,-50,"3,228",12,9,1/154,1/6.10,3.21,-140,"4,746",14,18,1/148,1/5.74,4.25,-940,"5,794",17,20,1/157,1/6.16,3.90,-450,668,1,1,1/334,1/5.98,3.09,+920,"3,972",16,14,1/132,1/5.68,4.04,-370,"2,682",9,7,1/168,1/6.17,3.07,-460,"1,083",2,3,1/217,1/5.81,3.31,+660,"6,148",20,33,1/116,1/6.14,5.35,-380,0,0,0,-,-,-,+560,"6,116",25,19,1/139,1/6.18,3.61,+930,"1,669",11,2,1/128,1/6.10,2.70,"+1,050","4,809",23,19,1/115,1/6.88,4.65,-80,"5,948",21,18,1/153,1/5.98,3.37,-380,"1,026",3,1,1/257,1/6.01,2.77
2026-05-23,土,いいえ,-,-,-,-,-,-,-,"+1,720","4,029",22,11,1/122,1/6.06,3.34,"+2,210","4,889",28,14,1/116,1/6.33,3.55,+210,"1,449",6,3,1/161,1/5.58,3.05,"+1,270","5,400",24,17,1/132,1/5.95,3.73,"+1,390","6,067",27,21,1/126,1/6.13,4.21,-210,"1,200",3,4,1/171,1/5.69,3.54,-740,"3,650",11,10,1/174,1/6.13,3.04,"-1,290","2,830",6,7,1/218,1/6.14,2.82,-140,"2,954",12,4,1/185,1/6.01,2.16,-530,552,0,2,1/276,1/6.54,3.52,-400,"3,179",12,5,1/187,1/6.14,2.21,+480,"3,458",16,8,1/144,1/6.24,2.83,-170,609,2,0,1/305,1/5.61,2.87,+470,"4,512",18,16,1/133,1/6.21,4.11,+410,"4,108",17,11,1/147,1/6.01,3.08,-340,"2,286",8,4,1/191,1/6.00,2.57
2026-05-22,金,いいえ,-,-,-,-,-,-,-,-250,181,0,0,-,1/6.94,3.28,-45,"1,007",4,2,1/168,1/6.18,3.15,-495,437,0,0,-,1/5.71,2.98,-906,"4,548",11,19,1/152,1/6.06,4.53,-112,"2,048",9,2,1/186,1/6.27,2.30,-184,234,0,1,1/234,1/5.99,3.56,+700,"6,404",25,26,1/126,1/6.32,4.83,-139,423,1,1,1/212,1/5.79,3.37,-650,658,0,2,1/329,1/6.39,3.39,-345,208,0,0,-,1/9.14,3.25,-156,636,2,2,1/159,1/6.72,3.50,"+2,533","6,602",30,29,1/112,1/5.94,5.14,+50,"3,319",10,16,1/128,1/6.05,4.80,-400,322,0,1,1/322,1/8.07,3.45,-12,378,1,2,1/126,1/6.04,3.76,+377,"1,285",6,3,1/143,1/5.62,3.23
2026-05-21,木,はい,-,-,-,-,-,-,-,-223,"1,205",5,1,1/201,1/6.55,2.66,"-1,223","1,227",0,3,1/409,1/6.15,3.06,-12,"3,475",13,9,1/158,1/5.99,3.00,"+1,066","3,122",17,6,1/136,1/6.08,2.63,"+1,522","3,381",18,9,1/125,1/5.78,3.28,+644,"5,927",21,27,1/123,1/6.11,5.08,"+1,788","5,560",23,27,1/111,1/5.96,5.22,-528,"1,063",2,1,1/354,1/5.44,2.70,-123,"1,908",8,4,1/159,1/6.62,2.94,-362,"1,772",6,2,1/222,1/5.86,2.44,-245,"1,507",6,1,1/215,1/6.14,2.41,-117,"1,823",6,4,1/182,1/5.61,2.96,"+2,555","5,714",29,25,1/106,1/6.26,5.09,+977,"2,481",13,6,1/131,1/5.83,3.13,"+4,100","8,520",45,32,1/111,1/6.06,4.90,-223,"1,608",7,3,1/161,1/7.17,2.91
2026-05-20,水,いいえ,-,-,-,-,-,-,-,-84,697,2,2,1/174,1/5.66,3.43,-278,"1,404",4,5,1/156,1/6.28,3.67,-467,"1,931",5,6,1/176,1/5.98,3.43,-123,"3,459",11,11,1/157,1/5.76,3.53,-762,"3,117",8,4,1/260,1/5.27,1.98,-267,626,2,0,1/313,1/6.15,2.85,-973,"1,704",2,7,1/189,1/6.30,3.88,-634,691,1,1,1/346,1/7.20,3.06,-462,363,0,1,1/363,1/8.04,3.40,+200,"1,397",6,5,1/127,1/6.41,3.76,-273,389,0,1,1/389,1/5.05,3.37,-123,"1,314",5,3,1/164,1/6.35,3.16,-17,"1,753",8,3,1/159,1/6.63,2.80,+116,"1,638",7,3,1/164,1/5.93,2.88,-167,"1,189",3,5,1/149,1/5.92,3.87,"+1,800","4,724",24,15,1/121,1/6.03,3.85
2026-05-19,火,いいえ,-,-,-,-,-,-,-,-312,255,0,0,-,1/6.11,3.19,"+3,377","6,996",39,23,1/113,1/6.19,4.24,-328,957,2,3,1/191,1/5.88,3.45,+338,"2,854",14,8,1/130,1/7.00,3.39,"+3,422","6,162",36,18,1/114,1/6.00,3.68,-589,694,0,3,1/231,1/6.31,3.68,"+1,155","1,214",9,3,1/101,1/5.81,3.44,-112,"1,025",4,2,1/171,1/6.39,3.12,-456,677,1,0,1/677,1/5.38,2.76,+966,"2,787",14,8,1/127,1/5.99,3.46,-584,692,0,2,1/346,1/5.67,3.35,-323,804,2,1,1/268,1/5.78,2.97,+816,"1,392",9,2,1/127,1/5.93,2.91,-456,"4,422",13,16,1/152,1/5.97,4.03,-450,508,0,1,1/508,1/5.49,3.23,+711,"2,494",10,13,1/108,1/6.14,4.82
2026-05-18,月,いいえ,-,-,-,-,-,-,-,+183,"1,703",7,4,1/155,1/5.81,3.13,"+2,644","6,942",36,22,1/120,1/6.15,3.98,-189,165,0,0,-,1/5.76,3.30,-84,682,3,0,1/227,1/6.15,2.82,-273,"1,150",4,1,1/230,1/6.00,2.68,-217,"1,354",4,3,1/193,1/5.66,3.08,+283,"1,897",9,5,1/136,1/6.50,3.31,-150,85,0,0,-,1/10.40,3.40,+777,"3,189",14,14,1/114,1/6.42,4.64,-239,292,0,0,-,1/4.66,3.15,+111,"2,717",12,5,1/160,1/6.24,2.57,-350,270,0,0,-,1/6.47,3.17,-767,791,1,0,1/791,1/6.43,2.64,+800,"2,043",12,2,1/146,1/5.93,2.39,+594,"1,268",7,3,1/127,1/5.79,3.29,-889,"1,519",3,3,1/253,1/6.35,2.86
2026-05-17,日,いいえ,-,-,-,-,-,-,-,-750,"3,891",12,12,1/162,1/6.32,3.41,-484,546,0,1,1/546,1/5.44,3.19,+400,"5,613",22,19,1/137,1/6.20,3.98,-178,"2,575",12,4,1/161,1/7.03,2.44,"+1,533","5,973",28,18,1/130,1/6.08,3.59,-623,"3,309",9,11,1/165,1/5.98,3.62,+727,"3,204",15,8,1/139,1/5.98,3.05,-678,"1,613",4,2,1/269,1/5.85,2.52,"+1,100","5,917",27,17,1/134,1/6.20,3.34,-656,"1,511",3,5,1/189,1/6.25,3.51,-678,"3,141",12,4,1/196,1/6.50,2.04,-606,"2,163",6,6,1/180,1/6.22,3.21,-373,"1,472",5,2,1/210,1/6.19,2.68,-789,"1,051",1,3,1/263,1/6.31,3.30,+272,"5,904",19,24,1/137,1/5.82,4.69,-428,"3,395",12,4,1/212,1/5.71,1.91
2026-05-16,土,いいえ,-,-,-,-,-,-,-,-373,"2,183",9,2,1/198,1/6.49,2.20,-762,"1,280",3,0,1/427,1/5.94,2.27,-812,"1,525",3,3,1/254,1/6.08,2.85,"+1,344","7,489",34,21,1/136,1/6.17,3.18,+911,"3,880",18,10,1/139,1/5.93,3.06,"-1,167","2,729",6,8,1/195,1/6.31,3.22,-228,"1,114",3,3,1/186,1/5.76,3.31,"+1,911","4,178",21,19,1/104,1/6.23,4.97,-150,410,1,1,1/205,1/6.07,3.39,"+1,888","4,111",22,11,1/125,1/5.78,3.26,-273,"1,297",4,3,1/185,1/6.05,3.14,-700,"2,093",4,9,1/161,1/6.14,4.12,"+2,311","6,052",30,22,1/116,1/6.09,4.51,-456,363,0,1,1/363,1/7.91,3.40,+100,"4,117",14,13,1/152,1/5.73,3.54,+866,"4,747",21,15,1/132,1/6.18,3.72
2026-05-15,金,いいえ,-,-,-,-,-,-,-,-312,"1,241",4,3,1/177,1/6.48,3.21,"+1,277","5,833",22,31,1/110,1/6.21,5.35,"+5,700","9,044",50,41,1/99,1/6.01,5.42,+688,"3,047",15,9,1/127,1/6.49,3.52,"-1,212","2,345",5,3,1/293,1/5.90,2.20,-73,"2,272",9,4,1/175,1/6.01,2.61,-823,"3,010",10,4,1/215,1/6.19,2.08,"+1,344","2,529",15,6,1/120,1/5.97,3.16,-606,"2,281",7,5,1/190,1/6.24,2.82,-495,451,0,0,-,1/5.57,2.96,"+2,200","7,915",37,30,1/118,1/6.32,4.81,+627,"3,996",16,15,1/129,1/6.07,4.26,-756,823,0,3,1/274,1/6.33,3.53,+433,"4,278",18,10,1/153,1/5.94,2.68,-950,"1,720",4,2,1/287,1/6.24,2.42,"-1,412","1,857",2,4,1/310,1/6.18,2.78
2026-05-14,木,いいえ,-,-,-,-,-,-,-,-345,329,0,0,-,1/5.39,3.11,-112,83,0,0,-,1/6.75,3.40,-484,"3,973",11,17,1/142,1/6.15,4.56,"+1,044","2,911",14,12,1/112,1/6.25,4.44,-645,"1,716",4,5,1/191,1/6.21,3.31,+527,"2,115",10,7,1/124,1/6.30,3.74,-228,430,1,0,1/430,1/5.65,3.03,-317,633,1,3,1/158,1/6.80,3.79,-84,"3,161",8,17,1/126,1/5.93,4.97,-528,"3,799",11,13,1/158,1/6.00,3.76,+16,829,3,2,1/166,1/5.69,3.31,-96,83,0,0,-,1/5.81,3.40,"+2,066","3,991",20,16,1/111,1/5.71,4.60,+272,"1,605",7,7,1/115,1/6.77,4.16,+538,"2,793",10,14,1/116,1/5.97,4.80,-17,"1,534",6,3,1/170,1/5.94,2.96
2026-05-13,水,いいえ,-,-,-,-,-,-,-,+790,"6,646",25,28,1/125,1/6.17,4.96,"+1,030","3,825",18,12,1/128,1/6.09,3.70,-370,"1,125",3,0,1/375,1/5.22,2.40,+310,"1,719",9,2,1/156,1/6.25,2.58,-430,"1,049",3,1,1/262,1/6.11,2.74,+220,"1,266",6,2,1/158,1/5.89,2.93,+760,"1,918",10,7,1/113,1/6.34,3.95,-370,0,0,0,-,-,-,-610,"1,728",4,7,1/157,1/6.63,3.93,-210,508,1,1,1/254,1/5.58,3.27,-200,688,2,2,1/172,1/6.51,3.44,-230,"1,342",4,4,1/168,1/6.05,3.42,-190,"1,135",2,5,1/162,1/5.34,3.89,-220,600,2,0,1/300,1/6.04,2.88,-990,"2,851",8,9,1/168,1/6.82,3.47,"+1,810","3,917",19,17,1/109,1/5.91,4.79
2026-05-12,火,いいえ,-,-,-,-,-,-,-,+838,"5,734",21,29,1/115,1/6.31,5.27,+372,"1,533",6,9,1/102,1/6.55,4.66,-150,516,1,1,1/258,1/5.10,3.26,+944,"3,805",17,16,1/115,1/6.41,4.65,+883,"1,736",7,11,1/96,1/5.66,4.89,+388,"2,108",10,6,1/132,1/6.42,3.43,+933,"2,857",15,8,1/124,1/6.32,3.42,-317,211,0,0,-,1/7.76,3.24,-139,794,3,2,1/159,1/6.89,3.35,-689,"1,161",1,5,1/194,1/6.12,3.83,+144,"2,052",7,8,1/137,1/5.85,3.99,-300,206,0,0,-,1/7.43,3.25,+261,"2,408",9,6,1/161,1/5.48,3.06,-450,695,1,1,1/348,1/5.78,3.05,-56,29,0,0,-,1/13.27,3.46,+277,"4,471",13,24,1/121,1/5.95,5.20
2026-05-11,月,はい,-,-,-,-,-,-,-,-550,967,1,2,1/322,1/5.32,3.07,+500,"1,263",6,5,1/115,1/5.93,3.91,-395,503,1,0,1/503,1/6.42,2.95,"+1,288","4,898",22,15,1/132,1/5.85,3.61,-273,"3,183",11,8,1/168,1/6.00,2.93,+488,"7,991",26,35,1/131,1/5.92,5.12,+666,"4,086",17,13,1/136,1/5.97,3.68,+127,"2,068",8,6,1/148,1/5.97,3.40,-50,817,3,1,1/204,1/5.60,3.00,+261,"1,961",8,7,1/131,1/6.19,3.83,-39,"2,956",11,10,1/141,1/6.37,3.77,"+1,677","4,214",22,13,1/120,1/6.08,3.73,+561,"3,253",15,10,1/130,1/6.42,3.60,-300,"1,427",5,2,1/204,1/6.14,2.73,+144,"1,166",6,1,1/167,1/6.27,2.73,-523,"7,115",24,22,1/155,1/6.10,3.43
2026-05-10,日,いいえ,-,-,-,-,-,-,-,-545,"3,853",11,13,1/161,1/5.94,3.70,-439,870,2,1,1/290,1/5.98,2.90,+988,"3,775",17,15,1/118,1/6.27,4.48,"-1,178","1,690",3,1,1/423,1/6.01,2.19,-617,"2,817",11,3,1/201,1/6.53,2.03,-384,"1,210",4,2,1/202,1/6.55,2.92,+872,"2,257",12,6,1/125,1/6.05,3.34,+11,"2,820",11,6,1/166,1/5.94,2.72,-934,"4,349",12,15,1/161,1/6.20,3.80,-195,484,1,2,1/161,1/6.61,3.64,"-1,078","2,065",4,5,1/229,1/6.21,2.93,-545,789,2,0,1/395,1/6.65,2.68,+172,"1,017",5,1,1/170,1/5.85,2.85,+200,"3,839",16,10,1/148,1/6.24,3.03,-278,463,1,1,1/232,1/6.78,3.33,-112,"3,453",13,9,1/157,1/6.16,3.02
2026-05-09,土,いいえ,-,-,-,-,-,-,-,-420,"1,147",3,3,1/191,1/6.37,3.27,"+3,060","5,655",32,18,1/113,1/5.97,4.02,-600,"1,415",3,3,1/236,1/5.84,2.97,-550,"2,672",7,9,1/167,1/5.96,3.62,+610,"3,458",15,10,1/138,1/5.99,3.38,"+3,370","6,000",30,29,1/102,1/5.85,5.30,-50,"2,781",10,8,1/155,1/6.01,3.31,-520,"2,064",6,6,1/172,1/6.31,3.32,-540,"1,128",2,3,1/226,1/5.92,3.26,-660,"5,879",19,18,1/159,1/6.10,3.37,-240,"1,273",3,5,1/159,1/5.83,3.78,"+1,560","4,406",23,12,1/126,1/6.12,3.29,-780,"3,158",10,5,1/211,1/5.99,2.18,-670,"3,778",10,16,1/145,1/6.25,4.49,-180,"1,718",5,5,1/172,1/5.66,3.35,"+1,050","6,986",24,35,1/118,1/6.00,5.33
2026-05-08,金,いいえ,-,-,-,-,-,-,-,-290,"1,514",5,3,1/189,1/6.07,2.94,-110,0,0,0,-,-,-,+920,"6,277",25,24,1/128,1/6.12,4.60,-290,0,0,0,-,-,-,-500,741,1,0,1/741,1/5.27,2.69,+60,824,4,1,1/165,1/6.33,3.03,+510,"2,134",11,5,1/133,1/6.42,3.12,-120,0,0,0,-,-,-,"+1,240","1,546",9,7,1/97,1/5.59,4.29,+220,"2,174",7,9,1/136,1/5.62,4.14,+280,"5,075",20,15,1/145,1/6.11,3.36,-200,362,1,0,1/362,1/6.23,3.11,-320,"1,243",3,4,1/178,1/5.90,3.49,+600,"2,174",10,6,1/136,1/5.79,3.35,+380,"1,676",8,4,1/140,1/6.04,3.19,-510,625,1,0,1/625,1/6.09,2.81
2026-05-07,木,いいえ,-,-,-,-,-,-,-,-110,"1,357",5,3,1/170,1/6.11,3.11,+740,"1,706",9,6,1/114,1/6.17,3.84,+180,"1,018",5,2,1/145,1/6.24,3.17,-410,"1,647",6,2,1/206,1/6.41,2.55,-330,"1,450",3,6,1/161,1/5.77,3.89,-380,579,1,1,1/290,1/6.28,3.19,+450,"1,693",8,6,1/121,1/6.32,3.82,-580,960,2,1,1/320,1/6.14,2.80,+160,"1,373",6,2,1/172,1/5.69,2.82,+110,959,5,0,1/192,1/6.01,2.61,-580,0,0,0,-,-,-,-300,"2,093",6,6,1/174,1/5.75,3.29,-430,0,0,0,-,-,-,-300,678,2,1,1/226,1/6.64,3.11,+340,"1,538",8,2,1/154,1/6.08,2.72,-610,"1,050",2,1,1/350,1/5.80,2.71
2026-05-06,水,いいえ,-,-,-,-,-,-,-,+610,"4,336",18,9,1/161,1/5.61,2.39,-530,"2,812",8,9,1/165,1/6.07,3.51,-40,"4,219",15,9,1/176,1/5.63,2.40,-560,898,2,0,1/449,1/5.94,2.57,-570,"2,182",7,3,1/218,1/6.02,2.37,-390,"1,553",5,3,1/194,1/6.23,2.90,-650,"2,081",4,8,1/173,1/5.86,3.85,-80,"2,596",8,13,1/124,1/6.44,4.71,-530,610,0,1,1/610,1/5.31,3.11,-10,"4,414",14,21,1/126,1/6.29,4.97,-390,"2,865",10,9,1/151,1/6.59,3.53,-140,"1,334",5,2,1/191,1/5.98,2.82,"-1,440","1,742",1,5,1/290,1/6.22,3.17,-20,"2,178",8,5,1/168,1/5.81,2.96,+700,"1,648",10,4,1/118,1/6.71,3.31,"-1,170","1,417",1,3,1/354,1/6.04,2.90
2026-05-05,火,いいえ,-,-,-,-,-,-,-,"+5,133","8,457",48,31,1/107,1/5.91,4.86,+200,"5,239",20,13,1/159,1/5.84,2.68,"-1,156","8,409",27,27,1/156,1/6.27,3.61,"+1,244","7,545",32,22,1/140,1/5.94,3.31,"+1,077","8,403",33,29,1/136,1/5.98,4.23,"+2,200","8,335",39,29,1/123,1/6.24,4.43,"-1,734","3,747",8,11,1/197,1/6.41,3.12,-245,"5,602",19,17,1/156,1/5.96,3.36,"+3,177","8,617",40,37,1/112,1/6.08,5.24,+800,"8,371",31,33,1/131,1/6.09,4.85,+555,"7,834",30,26,1/140,1/6.07,3.95,"+2,911","7,321",34,31,1/113,1/5.92,5.12,+77,"4,936",17,16,1/150,1/5.85,3.67,"+2,266","8,099",38,24,1/131,1/5.95,3.51,"-1,723","4,212",10,12,1/191,1/6.40,3.02,"+2,066","7,521",35,24,1/127,1/6.03,3.91
2026-05-04,月,いいえ,-,-,-,-,-,-,-,-645,461,0,1,1/461,1/8.65,3.29,"+3,088","6,929",32,30,1/112,1/5.73,5.14,+161,"3,468",14,10,1/145,1/6.24,3.34,"+1,322","6,107",24,23,1/130,1/5.73,4.51,+822,"6,663",28,21,1/136,1/6.19,3.72,-367,632,2,0,1/316,1/6.93,2.84,"+1,755","6,264",31,17,1/131,1/6.14,3.15,-406,513,1,0,1/513,1/6.40,2.93,-700,957,2,0,1/479,1/6.28,2.51,-434,"3,011",7,15,1/137,1/6.05,4.76,+588,"4,985",23,11,1/147,1/6.28,2.49,+177,"2,139",9,5,1/153,1/6.02,3.04,-795,"1,596",3,3,1/266,1/5.80,2.78,-89,"2,880",12,5,1/169,1/6.23,2.43,+305,"3,055",11,11,1/139,1/5.81,3.95,+400,"7,651",30,21,1/150,1/6.01,2.92
