日付,曜日,特定日,1044番台,,,,,,,1045番台,,,,,,,1046番台,,,,,,,1047番台,,,,,,,1048番台,,,,,,,1050番台,,,,,,,1051番台,,,,,,,1052番台,,,,,,,1053番台,,,,,,,1054番台,,,,,,,1055番台,,,,,,,1056番台,,,,,,,1057番台,,,,,,,1058番台,,,,,,,1059番台,,,,,,,1060番台,,,,,,,1061番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-13,土,いいえ,-,-,-,-,-,-,-,"-1,040","1,102",1,0,1/1102,1/5.88,2.36,"-1,110","1,418",1,4,1/284,1/6.15,3.21,-340,"5,457",24,4,1/195,1/6.20,1.43,-920,858,1,0,1/858,1/6.86,2.57,+120,"2,578",11,4,1/172,1/5.91,2.41,-490,742,1,1,1/371,1/5.70,3.00,-530,542,1,0,1/542,1/7.34,2.90,+560,"5,162",21,11,1/161,1/5.67,2.31,-460,902,2,2,1/226,1/6.40,3.19,-90,933,3,1,1/233,1/5.26,2.87,-40,"5,887",21,23,1/134,1/6.40,4.58,-450,"1,836",6,2,1/230,1/5.89,2.39,-390,"1,553",4,3,1/222,1/5.53,2.86,-640,0,0,0,-,-,-,+330,"4,095",16,14,1/137,1/6.16,3.92,-950,"1,340",2,3,1/268,1/6.49,3.02
2026-06-12,金,いいえ,-,-,-,-,-,-,-,-256,794,2,3,1/159,1/6.61,3.65,-89,842,3,1,1/211,1/5.66,2.97,"+1,955","3,847",20,16,1/107,1/6.02,4.69,-706,"1,862",4,6,1/186,1/6.15,3.47,-467,641,1,1,1/321,1/6.35,3.12,-567,872,1,2,1/291,1/5.83,3.18,+344,"4,539",18,15,1/138,1/6.20,3.82,-106,434,1,1,1/217,1/5.38,3.36,-167,"1,849",5,7,1/154,1/5.73,3.84,-67,"1,205",4,5,1/134,1/6.45,3.89,+188,970,5,2,1/139,1/6.52,3.23,-162,"1,424",4,5,1/158,1/5.83,3.65,-373,673,2,0,1/337,1/6.51,2.80,-362,316,0,0,-,1/5.76,3.12,"+1,666","2,799",17,8,1/112,1/6.06,3.56,-473,"2,824",8,9,1/166,1/5.95,3.50
2026-06-11,木,はい,-,-,-,-,-,-,-,-628,831,1,0,1/831,1/5.43,2.60,-356,"1,031",3,3,1/172,1/6.82,3.41,+866,"7,893",33,24,1/138,1/6.18,3.53,-817,642,0,1,1/642,1/7.20,3.08,-578,"1,467",4,3,1/210,1/6.38,2.95,+455,"6,292",25,20,1/140,1/6.17,3.71,-317,663,2,0,1/332,1/6.18,2.81,-750,"2,331",7,3,1/233,1/6.02,2.26,-300,281,0,1,1/281,1/7.13,3.50,"+1,400","7,079",30,20,1/142,1/5.76,3.16,-439,370,0,1,1/370,1/7.36,3.40,-762,"1,990",4,7,1/181,1/6.13,3.64,-389,"5,758",19,17,1/160,1/5.93,3.21,-650,"1,702",4,7,1/155,1/6.88,3.96,"+1,311","4,698",24,11,1/134,1/6.17,2.76,"-1,078","1,371",1,4,1/274,1/6.24,3.26
2026-06-10,水,いいえ,-,-,-,-,-,-,-,-606,"3,374",10,8,1/187,1/5.81,2.71,+377,"3,388",14,11,1/136,1/6.21,3.72,+94,683,3,1,1/171,1/5.63,3.15,+61,"1,921",9,1,1/192,1/6.00,2.17,"+1,066","3,207",17,5,1/146,1/5.81,2.32,+38,"2,439",10,5,1/163,1/6.08,2.77,-356,339,0,1,1/339,1/6.67,3.43,-384,807,2,3,1/161,1/7.45,3.63,-184,906,3,2,1/181,1/6.24,3.22,+150,"1,259",5,3,1/157,1/5.63,3.22,-395,704,0,3,1/235,1/5.12,3.67,-545,568,0,1,1/568,1/5.70,3.16,-484,"1,354",3,4,1/193,1/6.01,3.36,-612,"1,834",4,5,1/204,1/5.77,3.18,-250,721,2,2,1/180,1/6.56,3.40,-567,"1,969",4,5,1/219,1/5.38,3.03
2026-06-09,火,いいえ,-,-,-,-,-,-,-,+0,"1,993",8,5,1/153,1/6.26,3.16,+900,"3,449",16,11,1/128,1/6.08,3.73,-673,"1,791",3,7,1/179,1/5.89,3.82,-178,"1,589",6,4,1/159,1/6.53,3.21,-17,"3,234",9,15,1/135,1/5.80,4.66,-712,"1,405",3,2,1/281,1/5.92,2.68,-173,327,1,0,1/327,1/6.49,3.15,-456,482,0,1,1/482,1/5.77,3.26,-667,987,2,2,1/247,1/6.95,3.09,-373,625,1,1,1/313,1/5.80,3.13,+77,"1,259",5,3,1/157,1/5.87,3.22,+572,"1,468",8,5,1/113,1/6.56,3.76,-373,309,0,0,-,1/6.03,3.13,-306,557,1,1,1/279,1/5.89,3.21,-350,564,1,1,1/282,1/6.18,3.21,"+3,088","4,850",30,15,1/108,1/6.10,3.94
2026-06-08,月,いいえ,-,-,-,-,-,-,-,-262,699,2,1,1/233,1/6.16,3.09,-417,736,1,2,1/245,1/5.87,3.34,"+1,400","4,815",24,10,1/142,1/5.86,2.42,-612,"1,794",4,6,1/179,1/6.12,3.55,-639,"1,735",4,3,1/248,1/5.65,2.68,-362,"1,473",4,5,1/164,1/6.27,3.59,-100,"2,524",9,5,1/180,1/5.70,2.65,-828,"1,726",4,4,1/216,1/6.42,2.99,-534,687,1,0,1/687,1/5.76,2.75,-56,"4,215",19,5,1/176,1/6.31,1.79,-400,526,0,1,1/526,1/5.03,3.21,+755,"4,335",20,8,1/155,1/5.86,2.23,+933,"2,341",12,7,1/123,1/5.92,3.56,-645,550,0,1,1/550,1/6.75,3.18,+188,"1,020",5,2,1/146,1/6.19,3.17,+655,"6,629",25,23,1/138,1/5.94,4.13
2026-06-07,日,いいえ,-,-,-,-,-,-,-,"-1,090","2,073",4,5,1/230,1/6.21,2.92,-290,"1,302",5,1,1/217,1/6.31,2.56,"+2,030","6,049",28,23,1/119,1/6.00,4.65,"+1,260","5,084",21,19,1/127,1/5.80,4.40,-330,"1,614",5,4,1/179,1/6.12,3.15,-540,628,1,0,1/628,1/6.29,2.81,+330,"4,894",19,14,1/148,1/5.95,3.22,+450,"4,821",19,14,1/146,1/5.92,3.30,-850,"3,526",9,12,1/168,1/6.06,3.68,-700,"1,167",1,4,1/233,1/5.77,3.50,-210,637,2,1,1/212,1/6.35,3.16,+600,"5,110",20,15,1/146,1/5.80,3.33,-260,"1,127",3,3,1/188,1/5.82,3.30,-200,"2,332",8,7,1/155,1/6.19,3.42,-670,668,0,2,1/334,1/6.44,3.38,"+2,030","7,482",32,32,1/117,1/6.09,5.12
2026-06-06,土,いいえ,-,-,-,-,-,-,-,-223,"6,549",21,27,1/136,1/6.19,4.81,"-1,200","2,016",3,5,1/252,1/6.04,2.95,-789,"6,717",23,19,1/160,1/6.26,3.00,"-1,200","2,271",5,2,1/324,1/5.86,2.05,-700,"3,891",12,8,1/195,1/5.81,2.35,"+1,155","4,564",21,15,1/127,1/6.11,3.90,+922,"6,364",25,22,1/135,1/5.91,4.13,-123,752,3,1,1/188,1/6.48,3.07,-250,"2,082",9,2,1/189,1/6.51,2.27,+494,"2,778",12,10,1/126,1/6.28,3.99,-823,"4,412",13,14,1/163,1/6.17,3.49,-795,"1,509",3,2,1/302,1/5.81,2.58,+55,"2,396",9,5,1/171,1/5.68,2.77,+338,"2,590",11,6,1/152,1/5.84,2.94,-217,"1,945",6,4,1/195,1/5.54,2.83,+372,"6,856",27,19,1/149,1/6.03,3.00
2026-06-05,金,いいえ,-,-,-,-,-,-,-,"+3,250","7,531",38,29,1/112,1/6.06,4.89,-260,558,2,0,1/279,1/6.88,2.92,"+1,360","8,370",34,28,1/135,1/5.93,4.08,-340,"3,432",10,12,1/156,1/5.87,3.81,-440,650,2,1,1/217,1/8.59,3.15,+420,"2,468",12,5,1/145,1/6.25,2.81,+850,"2,825",13,9,1/128,1/5.86,3.69,"+2,120","4,064",20,20,1/102,1/5.98,5.11,+440,"2,872",13,7,1/144,1/6.11,3.02,+830,"5,784",27,13,1/145,1/6.24,2.45,+690,"4,364",19,16,1/125,1/6.46,4.27,-230,710,3,1,1/178,1/7.95,3.12,"+1,770","4,836",27,13,1/121,1/6.50,3.28,-240,"1,381",5,2,1/197,1/6.12,2.77,-280,589,2,0,1/295,1/6.66,2.89,"+1,390","4,659",21,17,1/123,1/5.96,4.31
2026-06-04,木,いいえ,-,-,-,-,-,-,-,-917,"3,773",10,13,1/164,1/6.20,3.75,-150,"1,355",5,1,1/226,1/5.63,2.52,-612,997,1,3,1/249,1/5.81,3.37,-28,"1,327",6,2,1/166,1/6.53,2.87,+266,"2,447",10,5,1/163,1/5.66,2.76,-456,"1,067",2,3,1/213,1/5.87,3.33,-123,"1,858",7,6,1/143,1/6.64,3.59,-617,523,0,0,-,1/5.91,2.88,-212,389,1,0,1/389,1/5.97,3.08,+11,507,2,0,1/254,1/5.13,2.98,-673,"1,349",3,1,1/337,1/5.71,2.46,-6,461,2,1,1/154,1/6.58,3.37,-123,452,1,1,1/226,1/5.37,3.34,-150,687,3,0,1/229,1/6.60,2.82,"+1,155","1,491",9,6,1/99,1/5.73,4.07,+800,"6,244",25,19,1/142,1/5.89,3.49
