日付,曜日,特定日,186番台,,,,,,,187番台,,,,,,,188番台,,,,,,,189番台,,,,,,,190番台,,,,,,,191番台,,,,,,,192番台,,,,,,,193番台,,,,,,,194番台,,,,,,,195番台,,,,,,,196番台,,,,,,,197番台,,,,,,,198番台,,,,,,,199番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-07,日,いいえ,"+2,219","6,992",35,16,1/137,1/5.85,2.44,"-1,073","1,488",2,2,1/372,1/5.95,2.57,-678,"2,634",7,6,1/203,1/5.77,2.76,-452,"3,465",10,12,1/158,1/5.97,3.78,-504,"4,628",15,16,1/149,1/6.28,3.90,-856,"2,840",7,8,1/189,1/5.98,3.14,"-1,666","4,672",11,12,1/203,1/5.99,2.64,"-1,106","6,260",19,18,1/169,1/6.09,3.02,-782,"4,187",15,7,1/190,1/6.24,2.03,"+1,572","6,155",27,17,1/140,1/5.65,3.12,-474,"2,822",10,5,1/188,1/6.15,2.42,"-1,371","3,404",9,9,1/189,1/6.62,2.93,"-1,475","3,045",6,7,1/234,1/6.01,2.62,-858,"3,704",11,9,1/185,1/6.07,2.71
2026-06-06,土,はい,"+3,155","8,688",39,38,1/113,1/5.96,5.27,"+1,544","7,563",31,28,1/128,1/5.94,4.58,+608,"7,189",29,22,1/141,1/6.13,3.53,+283,"7,336",29,23,1/141,1/6.29,3.65,-490,"7,312",27,22,1/149,1/6.43,3.35,-422,"7,408",24,25,1/151,1/6.00,3.90,"-1,229","7,487",23,19,1/178,1/5.93,2.42,"-2,564","6,902",19,15,1/203,1/6.36,1.99,+0,"6,487",23,23,1/141,1/6.17,4.19,"+1,028","7,847",33,25,1/135,1/6.17,3.81,+95,"8,310",29,27,1/148,1/5.92,3.75,-586,"6,963",24,22,1/151,1/6.28,3.57,"+1,474","8,396",35,26,1/138,1/5.89,3.64,-749,"7,807",25,26,1/153,1/6.11,3.82
2026-06-05,金,いいえ,"+1,263","4,450",22,9,1/144,1/5.82,2.42,-602,"1,892",6,3,1/210,1/6.34,2.60,+569,"5,793",19,27,1/126,1/5.91,5.10,-429,"3,009",9,9,1/167,1/5.94,3.33,+25,"3,465",14,8,1/158,1/6.16,2.76,-281,"3,764",13,10,1/164,1/6.01,3.00,"-1,993","4,848",13,5,1/269,1/5.94,1.54,"-1,702","3,555",9,6,1/237,1/6.39,2.10,"-2,469","4,864",7,16,1/211,1/5.94,3.39,+151,"3,019",13,6,1/159,1/6.13,2.60,"-1,056","2,152",5,2,1/307,1/5.85,2.13,"-2,512","3,746",7,5,1/312,1/6.34,1.81,"-1,267","3,290",7,8,1/219,1/5.81,2.69,-166,"4,361",16,11,1/162,1/6.03,2.81
2026-06-04,木,いいえ,+879,"5,308",21,18,1/136,1/5.82,3.98,-403,"2,549",8,6,1/182,1/5.90,2.88,"+1,872","5,461",25,20,1/121,1/5.85,4.43,-439,"4,203",14,10,1/175,1/5.89,2.62,+802,"7,054",26,26,1/136,1/5.87,4.45,-913,"3,046",7,10,1/179,1/5.98,3.52,"-1,497","4,778",13,8,1/228,1/5.83,1.86,"+1,507","7,507",31,27,1/129,1/5.95,4.44,-623,"1,845",5,6,1/168,1/6.68,3.53,"+1,157","5,260",25,14,1/135,1/6.17,3.08,+662,"2,659",14,4,1/148,1/6.11,2.43,-705,"3,754",12,10,1/171,1/6.24,2.97,-653,"2,075",5,7,1/173,1/6.22,3.59,+163,"5,091",22,12,1/150,1/6.41,2.61
2026-06-03,水,いいえ,-440,"2,828",9,7,1/177,1/5.99,2.92,-561,"4,041",13,9,1/184,1/5.85,2.49,-414,853,2,1,1/284,1/5.96,2.92,+891,"3,459",16,9,1/138,1/5.83,3.12,-466,"2,889",9,8,1/170,1/6.07,3.16,-337,"1,481",4,4,1/185,1/5.87,3.26,-591,"4,461",12,16,1/159,1/5.81,3.95,-547,"2,835",8,8,1/177,1/5.90,3.18,-622,"3,098",11,6,1/182,1/6.40,2.47,+292,"1,655",7,5,1/138,1/5.92,3.50,"+2,892","7,508",40,18,1/129,1/5.96,2.63,-619,"1,305",3,2,1/261,1/6.01,2.78,"-1,510","2,858",7,6,1/220,1/6.76,2.55,"-1,264","2,824",6,8,1/202,1/6.27,3.12
2026-06-02,火,いいえ,+747,"3,988",18,11,1/138,1/6.08,3.24,-925,"3,562",10,9,1/187,1/6.05,2.81,-231,"3,580",13,7,1/179,1/5.87,2.38,+133,"3,703",15,11,1/142,1/6.35,3.42,"+1,174","5,252",22,21,1/122,1/6.09,4.68,"+1,839","4,353",24,13,1/118,1/6.27,3.67,-566,"4,785",17,10,1/177,1/6.08,2.27,-677,"4,244",14,9,1/185,1/5.98,2.36,"-1,761","2,465",4,3,1/352,1/6.19,2.10,-540,"4,423",13,15,1/158,1/5.96,3.76,"+1,291","7,477",29,27,1/134,1/5.80,4.41,"+1,823","5,806",26,23,1/118,1/5.99,4.75,+589,"3,902",16,13,1/135,1/6.02,3.83,+559,"4,320",15,19,1/127,1/5.87,4.78
2026-06-01,月,いいえ,-987,"2,844",9,3,1/237,1/6.22,1.98,-933,"3,077",9,5,1/220,1/5.99,2.21,+457,"3,142",13,10,1/137,1/6.02,3.65,+567,"3,542",17,4,1/169,1/5.83,1.92,+889,"3,602",18,8,1/139,1/6.13,2.76,-533,"5,047",17,13,1/168,1/6.02,2.75,-196,"3,932",15,10,1/157,1/6.27,2.90,-560,"3,943",14,6,1/197,1/5.93,1.98,"-1,104","3,894",10,11,1/185,1/6.02,3.05,-614,"2,646",9,7,1/165,1/6.74,3.11,+672,"3,932",17,12,1/136,1/6.06,3.55,-670,"2,796",10,4,1/200,1/6.38,2.22,+363,"3,913",16,7,1/170,1/5.63,2.22,-373,"2,255",9,2,1/205,1/6.27,2.15
2026-05-31,日,いいえ,"-2,187","4,968",10,16,1/191,1/6.28,3.39,-366,"1,916",5,6,1/174,1/5.79,3.45,"+1,433","5,027",20,24,1/114,1/5.91,5.12,-110,"4,241",18,5,1/184,1/6.05,1.77,-893,"1,408",2,3,1/282,1/5.99,2.94,-492,"5,390",16,19,1/154,1/5.91,3.99,-519,"5,646",20,15,1/161,1/6.20,2.83,"-1,583","6,261",18,18,1/174,1/6.26,2.99,-520,"3,199",10,8,1/178,1/5.97,2.88,"+1,202","3,613",18,7,1/145,1/5.63,2.49,"-1,620","2,394",3,7,1/239,1/6.36,3.16,"-1,392","3,615",8,9,1/213,1/5.93,2.70,"-1,020","2,057",4,4,1/257,1/5.89,2.65,-415,"4,260",16,8,1/178,1/6.12,2.19
2026-05-30,土,いいえ,"-2,885","4,829",6,17,1/210,1/6.23,3.66,-549,"5,746",20,14,1/169,1/6.04,2.51,"-1,525","3,616",10,4,1/258,1/6.12,1.78,"-1,145","3,353",9,8,1/197,1/6.23,2.70,-172,"4,494",18,10,1/161,1/6.30,2.50,"+1,935","6,899",33,24,1/121,1/6.29,4.36,"+1,507","7,528",33,25,1/130,1/6.12,4.07,+397,"6,196",25,19,1/141,1/6.23,3.54,+43,"6,262",21,20,1/153,1/5.77,3.60,"+1,344","7,876",32,29,1/129,1/6.04,4.57,+772,"5,897",26,16,1/140,1/6.20,3.06,-384,"3,304",12,5,1/194,1/5.91,2.13,-62,"3,976",13,12,1/159,1/5.71,3.36,-759,"5,407",17,15,1/169,1/6.01,2.94
2026-05-29,金,いいえ,-858,"1,618",4,1,1/324,1/6.06,2.27,-664,"1,595",5,1,1/266,1/6.32,2.31,"-1,516","3,085",5,9,1/220,1/5.92,3.11,-650,"1,882",4,3,1/269,1/5.34,2.54,-338,"2,277",7,5,1/190,1/5.72,2.82,+731,"4,161",20,7,1/154,1/6.00,2.15,"-1,053","3,434",10,7,1/202,1/6.18,2.41,"-1,216","2,593",6,5,1/236,1/6.18,2.50,"-1,742","1,952",3,0,1/651,1/6.38,1.85,"-1,316","3,059",8,8,1/191,1/6.72,2.95,-210,"2,497",9,5,1/178,1/5.94,2.68,-547,"3,122",12,5,1/184,1/6.49,2.25,-239,"1,789",6,3,1/199,1/5.75,2.69,+425,"5,998",26,13,1/154,1/6.15,2.28
