日付,曜日,特定日,186番台,,,,,,,187番台,,,,,,,188番台,,,,,,,189番台,,,,,,,190番台,,,,,,,191番台,,,,,,,192番台,,,,,,,193番台,,,,,,,194番台,,,,,,,195番台,,,,,,,196番台,,,,,,,197番台,,,,,,,198番台,,,,,,,199番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-18,月,いいえ,+296,"2,700",12,6,1/150,1/6.12,2.87,"-1,195","2,556",5,7,1/213,1/6.12,3.06,-116,"5,086",19,14,1/154,1/6.14,3.04,+304,"3,089",11,13,1/129,1/6.03,4.42,"+1,490","6,350",28,21,1/130,1/5.98,4.00,"-1,670","2,001",1,3,1/500,1/5.60,2.35,"+1,683","7,135",33,22,1/130,1/6.13,3.71,"-1,543","3,510",8,7,1/234,1/6.03,2.30,-877,"4,886",15,12,1/181,1/5.96,2.58,+322,"1,834",8,6,1/131,1/6.19,3.66,"-1,384","3,939",8,14,1/179,1/6.03,3.79,-697,"2,231",7,3,1/223,1/6.16,2.34,-766,"1,582",3,5,1/198,1/6.32,3.43,-615,"7,141",24,21,1/159,1/6.08,3.16
2026-05-17,日,いいえ,"-1,208","2,855",6,8,1/204,1/6.11,3.08,-551,"2,492",8,5,1/192,1/6.11,2.65,-157,"5,250",18,19,1/142,1/6.20,4.17,-322,"3,188",11,9,1/159,1/6.20,3.22,-226,"2,371",9,5,1/169,1/6.27,2.80,"+2,917","8,031",38,31,1/116,1/6.01,4.89,"-1,496","4,955",13,14,1/184,1/6.17,2.96,-422,"6,789",19,23,1/162,1/5.56,3.81,+327,"5,871",24,14,1/155,1/6.03,2.52,-360,"1,567",6,2,1/196,1/6.59,2.62,+157,"2,998",11,8,1/158,1/5.70,3.12,-349,"3,365",11,7,1/187,1/5.70,2.49,-771,"2,253",6,5,1/205,1/6.13,2.81,"-1,623","2,321",4,1,1/464,1/5.89,1.84
2026-05-16,土,はい,"+1,344","8,435",34,28,1/136,1/5.90,4.02,-445,"6,537",23,16,1/168,1/5.96,2.45,"-1,668","6,175",13,22,1/176,1/5.76,3.91,-238,"6,181",22,17,1/158,1/6.01,2.93,+571,"7,563",32,15,1/161,1/5.93,1.90,"-2,658","4,643",7,7,1/332,1/5.57,1.72,-469,"6,660",23,16,1/171,1/5.88,2.37,+239,"8,557",28,34,1/138,1/5.92,4.83,-754,"7,628",27,20,1/162,1/6.21,2.63,"+2,380","7,318",38,19,1/128,1/6.17,2.96,"-1,141","5,834",18,15,1/177,1/6.10,2.62,-368,"7,859",29,23,1/151,1/6.28,3.19,"-1,565","7,151",19,21,1/179,1/5.88,3.00,"+1,417","8,513",38,22,1/142,1/6.04,2.71
2026-05-15,金,いいえ,"-1,163","1,663",3,2,1/333,1/6.34,2.44,-466,"2,516",6,12,1/140,1/6.22,4.53,-451,"4,511",15,12,1/167,1/5.98,2.90,-933,"3,062",11,2,1/236,1/6.35,1.76,-90,"3,513",13,9,1/160,1/6.03,2.96,-690,"2,763",7,9,1/173,1/6.01,3.52,-119,"4,373",16,10,1/168,1/5.87,2.54,"+2,434","3,126",22,5,1/116,1/5.79,2.53,-428,"1,575",4,4,1/197,1/5.81,3.15,-208,"7,397",27,20,1/157,1/6.05,2.80,-579,830,1,2,1/277,1/6.16,3.23,"+1,315","3,767",18,11,1/130,1/5.73,3.47,-804,"1,248",2,2,1/312,1/6.01,2.80,+396,"5,333",24,14,1/140,1/6.57,2.98
2026-05-14,木,いいえ,"+1,138","5,976",25,18,1/139,1/5.81,3.48,+148,"3,821",16,8,1/159,1/6.09,2.51,"-1,957","2,613",4,4,1/327,1/6.40,2.20,+499,"6,449",24,21,1/143,1/5.89,3.78,"-1,003","1,931",5,2,1/276,1/6.35,2.28,"+1,650","3,379",20,6,1/130,1/5.90,2.50,"-1,014","6,576",23,18,1/160,1/6.49,2.87,-103,"5,891",21,14,1/168,1/5.77,2.43,-664,"2,813",11,5,1/176,1/7.03,2.46,-880,"4,059",13,8,1/193,1/6.07,2.25,-860,"1,965",4,6,1/197,1/6.21,3.35,-267,"4,760",17,13,1/159,1/6.09,3.01,+463,"3,424",15,9,1/143,1/6.11,3.12,-223,"6,936",30,9,1/178,1/6.23,1.50
2026-05-13,水,いいえ,"-1,172","5,502",14,18,1/172,1/5.87,3.55,"+1,084","7,922",30,32,1/128,1/6.04,4.92,+595,"2,684",10,13,1/117,1/5.94,4.70,-198,"2,457",10,3,1/189,1/6.12,2.24,-786,"4,880",17,11,1/174,1/6.27,2.41,-642,"4,542",15,15,1/151,1/6.45,3.71,-526,"4,683",17,9,1/180,1/6.06,2.14,-317,"3,143",11,6,1/185,1/5.86,2.43,-203,"1,912",7,3,1/191,1/5.92,2.61,"-1,102","3,878",11,7,1/215,1/5.89,2.13,-561,"1,701",5,2,1/243,1/5.93,2.47,-350,"5,039",14,20,1/148,1/5.80,4.44,-772,"2,689",8,2,1/269,1/5.62,1.88,-480,"5,328",17,18,1/152,1/6.09,3.82
2026-05-12,火,いいえ,-383,"1,987",6,2,1/248,1/5.40,2.27,-843,"2,949",8,8,1/184,1/6.15,3.06,-603,724,1,0,1/724,1/5.92,2.71,+302,"4,617",19,13,1/144,1/6.21,3.22,-227,"2,193",8,5,1/169,1/6.21,2.95,+817,"1,807",11,4,1/120,1/6.48,3.17,"+1,454","7,918",33,27,1/132,1/5.98,4.19,"+1,010","5,079",20,21,1/124,1/5.97,4.74,-192,"4,244",15,12,1/157,1/6.04,3.16,"-1,371","2,060",2,8,1/206,1/6.41,3.79,"+1,167","5,345",24,18,1/127,1/6.18,4.04,-132,"3,257",15,2,1/192,1/6.29,1.74,-920,"1,618",3,2,1/324,1/5.81,2.48,-571,"4,769",15,12,1/177,1/5.81,2.67
2026-05-11,月,いいえ,"-1,584","4,696",12,12,1/196,1/6.13,2.65,-402,"2,932",11,4,1/195,1/6.07,2.15,-793,"6,047",20,16,1/168,1/6.10,2.74,"+3,094","6,460",35,18,1/122,1/5.81,3.37,-704,"3,409",12,7,1/179,1/6.45,2.49,-334,"2,800",10,6,1/175,1/6.13,2.70,"+2,639","6,419",30,35,1/99,1/6.46,5.43,"-1,038","6,011",22,9,1/194,1/6.19,1.65,"+1,132","7,691",27,35,1/124,1/5.90,5.22,"-1,055","3,115",9,6,1/208,1/6.25,2.40,-572,"4,226",13,12,1/169,1/5.93,3.11,+469,"3,284",14,9,1/143,1/5.99,3.23,-133,"3,494",13,9,1/159,1/6.12,2.98,+763,"9,309",35,32,1/139,1/5.99,4.20
2026-05-10,日,いいえ,-725,"3,720",11,10,1/177,1/6.00,2.97,-858,"3,650",11,8,1/192,1/6.03,2.50,-932,"4,755",17,9,1/183,1/6.39,2.10,"+1,432","6,439",27,25,1/124,1/6.05,4.70,-824,"2,448",7,6,1/188,1/6.46,2.94,-709,"5,237",19,11,1/175,1/6.25,2.22,-548,"3,562",12,7,1/187,1/5.97,2.37,"-1,968","5,461",13,16,1/188,1/6.20,3.03,"-1,655","2,402",4,4,1/300,1/6.33,2.35,"-1,197","3,737",11,6,1/220,1/6.08,2.03,"-1,463","2,978",5,8,1/229,1/5.88,2.92,-781,"2,960",10,4,1/211,1/6.22,2.11,+777,"6,396",25,23,1/133,1/6.05,4.32,-275,"5,417",20,10,1/181,1/5.83,1.97
2026-05-09,土,いいえ,"-1,476","5,142",14,15,1/177,1/6.26,3.09,-607,"3,311",12,7,1/174,1/6.50,2.57,+0,"3,697",16,9,1/148,1/6.63,2.88,+351,"1,586",9,1,1/159,1/6.34,2.43,"+2,457","6,004",30,22,1/115,1/6.02,4.55,-984,"3,558",10,8,1/198,1/6.01,2.55,"-1,020","4,404",14,9,1/191,1/6.14,2.25,-662,"3,149",9,7,1/197,1/5.77,2.62,-693,"4,326",16,7,1/188,1/6.23,1.98,-521,"1,332",4,1,1/266,1/6.10,2.50,"+1,244","7,298",29,24,1/138,1/5.78,3.92,+456,"2,270",10,6,1/142,1/5.85,3.25,-583,"2,835",10,4,1/203,1/6.15,2.19,"-1,023","6,079",19,18,1/164,1/6.20,3.18
2026-05-08,金,いいえ,-747,"3,323",11,7,1/185,1/6.30,2.53,+782,"3,132",14,10,1/131,1/5.94,3.69,"-1,375","4,157",10,10,1/208,1/5.87,2.55,+467,"2,371",12,2,1/169,1/5.83,2.14,"-1,796","2,917",5,5,1/292,1/6.06,2.22,+963,"5,951",25,20,1/132,1/6.10,4.02,-967,"4,482",16,7,1/195,1/6.32,1.90,"+1,402","6,381",27,19,1/139,1/5.72,3.43,"-1,444","3,360",7,6,1/258,1/5.69,2.17,-949,"2,483",7,3,1/248,1/6.05,2.15,-208,"1,725",7,1,1/216,1/6.00,2.26,+307,"1,805",10,2,1/150,1/6.68,2.53,-119,"2,108",7,6,1/162,1/5.86,3.31,-477,"5,547",19,15,1/163,1/6.05,2.88
2026-05-07,木,いいえ,-606,"2,022",5,5,1/202,1/5.83,3.01,-687,"1,472",3,2,1/294,1/5.63,2.62,-997,"1,867",3,4,1/267,1/5.77,2.80,+319,"4,432",19,9,1/158,1/6.03,2.35,-502,"1,960",6,6,1/163,1/6.61,3.44,"-1,691","3,106",5,8,1/239,1/6.00,2.80,"-1,072","3,693",9,10,1/194,1/5.85,2.93,-698,"3,072",11,5,1/192,1/6.42,2.26,"-1,120",952,0,1,1/952,1/6.37,2.74,"-1,198","4,565",14,12,1/176,1/6.43,2.82,"+1,279","2,279",14,5,1/120,1/6.00,3.08,+263,"2,015",10,3,1/155,1/6.31,2.61,"+1,598","4,736",20,18,1/125,1/5.56,4.44,-693,"2,471",8,2,1/247,1/5.89,2.00
2026-05-06,水,はい,"+1,523","7,466",30,30,1/124,1/5.99,4.90,"+1,561","7,160",31,22,1/135,1/5.87,3.62,"-2,136","5,320",11,17,1/190,1/6.14,3.36,"-1,320","4,930",15,10,1/197,1/6.14,2.13,-526,"5,637",20,12,1/176,1/5.97,2.18,"-1,568","6,677",21,15,1/185,1/6.21,2.13,"-2,162","6,292",19,10,1/217,1/6.28,1.63,-400,"6,376",21,20,1/156,1/5.98,3.49,"+1,907","4,997",26,11,1/135,1/5.76,2.57,"-1,529","3,952",10,9,1/208,1/6.21,2.47,"+2,143","7,231",31,30,1/119,1/5.94,5.02,+922,"8,017",35,18,1/151,1/6.02,2.18,"+1,934","7,044",34,15,1/144,1/5.78,2.19,+968,"7,546",30,25,1/137,1/5.97,3.97
2026-05-05,火,いいえ,"-1,614","7,453",17,31,1/155,1/5.97,4.79,-874,"6,395",19,17,1/178,1/5.75,2.67,"+1,324","8,115",30,34,1/127,1/5.88,5.05,+429,"6,757",26,21,1/144,1/6.03,3.57,"+2,193","7,436",32,32,1/116,1/6.03,5.14,+772,"6,947",32,14,1/151,1/6.21,2.04,"+1,016","8,673",30,41,1/122,1/6.05,5.33,"-1,321","5,927",18,14,1/185,1/6.08,2.33,"+2,191","8,728",39,29,1/128,1/5.98,4.15,"+3,829","6,973",35,36,1/98,1/6.07,5.43,-617,"8,596",28,29,1/151,1/6.08,3.93,"-2,369","4,935",14,3,1/290,1/6.25,1.40,"-1,314","5,248",16,13,1/181,1/6.28,2.55,"+1,492","7,806",37,19,1/139,1/6.19,2.55
2026-05-04,月,いいえ,"-1,038","1,928",4,3,1/275,1/6.05,2.50,+726,"5,427",23,19,1/129,1/6.35,4.18,-400,"4,224",14,12,1/162,1/6.02,3.14,"-1,245","4,152",11,8,1/219,1/5.80,2.15,"-1,637","6,603",21,13,1/194,1/6.19,1.88,-501,"2,934",10,6,1/183,1/6.13,2.58,+265,"5,506",23,12,1/157,1/6.07,2.33,"-2,540","8,116",23,18,1/198,1/6.20,1.93,"+1,819","6,494",33,16,1/133,1/6.19,2.76,+73,"6,014",20,24,1/137,1/6.05,4.65,"-1,464","1,861",2,2,1/465,1/5.83,2.26,+633,"6,305",22,22,1/143,1/5.64,4.09,-996,"2,435",6,5,1/221,1/6.13,2.64,-291,"7,537",28,20,1/157,1/6.15,2.72
2026-05-03,日,いいえ,+731,"5,318",23,13,1/148,1/5.95,2.70,"-1,674","2,429",4,3,1/347,1/6.11,2.12,-208,"4,940",17,14,1/159,1/5.93,3.11,-564,"3,613",12,8,1/181,1/6.04,2.56,-934,"2,266",6,3,1/252,1/6.04,2.28,"-1,702","5,116",15,9,1/213,1/6.20,1.88,+972,"7,789",36,19,1/142,1/6.37,2.53,"-2,581","8,877",25,19,1/202,1/6.04,1.80,"-1,014","3,474",9,11,1/174,1/6.24,3.44,"+1,648","5,078",26,15,1/124,1/6.25,3.57,"+1,543","6,999",31,23,1/130,1/6.06,4.00,-892,832,1,0,1/832,1/6.91,2.60,"+1,840","6,930",33,19,1/133,1/6.00,3.13,"+1,297","6,232",27,18,1/138,1/5.84,3.31
2026-05-02,土,いいえ,+254,"7,397",28,21,1/151,1/5.98,3.07,"+1,725","7,730",31,29,1/129,1/5.78,4.64,+25,"5,609",20,19,1/144,1/6.10,3.92,"+1,294","5,599",27,15,1/133,1/6.21,3.10,"-1,031","4,089",11,11,1/186,1/5.96,2.89,"-1,725","3,828",9,7,1/239,1/6.09,2.12,-667,"6,735",23,20,1/157,1/6.22,3.23,+940,"6,678",28,24,1/128,1/6.30,4.39,-710,"4,453",15,13,1/159,1/6.44,3.24,-956,"4,946",14,16,1/165,1/6.09,3.55,+321,"3,785",15,11,1/146,1/5.98,3.34,+75,"5,693",20,18,1/150,1/5.90,3.58,"-1,106","2,309",5,4,1/257,1/5.97,2.46,"-1,067","5,316",17,10,1/197,1/5.95,1.97
2026-05-01,金,いいえ,+464,"8,300",28,31,1/141,1/5.81,4.54,"-1,069","5,401",18,13,1/174,1/6.34,2.49,-193,"5,292",21,9,1/176,1/6.01,1.90,-736,"6,953",21,28,1/142,1/6.26,4.73,+425,"5,474",23,15,1/144,1/6.22,3.08,"+1,837","6,528",30,23,1/123,1/6.08,4.36,"-1,849","6,445",19,13,1/201,1/6.12,1.91,-204,"5,232",20,12,1/164,1/6.11,2.45,"-1,921","6,579",17,20,1/178,1/6.17,3.18,-85,"6,651",25,17,1/158,1/6.04,2.64,-646,"4,523",16,9,1/181,1/6.13,2.22,+380,"7,256",30,21,1/142,1/6.33,3.25,-661,"6,173",21,13,1/182,1/5.86,2.07,"-1,567","6,371",19,16,1/182,1/6.19,2.47
2026-04-30,木,いいえ,+13,"6,939",28,19,1/148,1/6.39,2.96,"-1,317","2,565",6,4,1/257,1/6.25,2.28,+605,"7,109",28,24,1/137,1/6.16,4.05,"-1,620","5,920",15,21,1/164,1/6.26,3.96,+301,"6,190",24,20,1/141,1/6.19,3.77,-387,"5,930",24,11,1/169,1/6.31,1.94,"-1,738","4,850",13,7,1/243,1/5.88,1.72,"-1,035","4,316",14,7,1/206,1/6.07,1.95,"-1,651","3,130",7,4,1/285,1/6.07,1.95,"+3,329","6,623",34,31,1/102,1/6.21,5.31,"-1,600","3,995",9,14,1/174,1/6.52,3.77,"-1,440","6,408",19,13,1/200,1/5.86,1.93,"-2,021","4,238",11,4,1/283,1/6.10,1.59,"-2,325","4,809",13,2,1/321,1/6.02,1.37
2026-04-29,水,いいえ,"+1,121","7,583",26,36,1/122,1/5.89,5.28,"+1,965","7,080",35,18,1/134,1/6.07,2.82,-514,"3,734",12,7,1/197,1/5.70,2.24,"-1,352","4,893",14,12,1/188,1/6.16,2.54,-891,"4,928",16,12,1/176,1/6.16,2.57,-528,"6,756",21,21,1/161,1/5.83,3.40,-314,"7,683",28,20,1/160,1/6.05,2.61,"-2,065","5,706",16,11,1/211,1/6.26,1.91,+308,"5,553",24,13,1/150,1/6.29,2.54,"+2,339","7,226",36,18,1/134,1/5.88,2.73,-234,"5,275",20,11,1/170,1/6.01,2.21,+782,"7,213",28,23,1/141,1/5.90,3.72,"-1,622","5,069",13,14,1/188,1/6.15,2.86,-316,"6,296",25,12,1/170,1/6.17,1.93
2026-04-28,火,いいえ,"-1,156","2,102",4,2,1/350,1/5.67,2.14,+415,"4,383",18,11,1/151,1/5.93,2.85,+991,"5,859",26,16,1/140,1/6.06,3.09,-202,"4,834",17,16,1/146,1/6.22,3.77,-678,"2,232",6,6,1/186,1/6.19,3.14,"-1,635","3,258",8,3,1/296,1/6.05,1.77,"+1,724","6,326",28,20,1/132,1/5.78,3.78,-678,"3,727",12,9,1/177,1/6.13,2.72,+763,"5,498",22,18,1/137,1/5.94,3.83,-652,"4,783",15,16,1/154,1/6.23,3.75,"+1,312","4,230",18,18,1/118,1/5.88,4.74,"+2,504","6,651",33,23,1/119,1/6.04,4.35,+222,"5,930",23,17,1/148,1/6.08,3.19,"-1,262","4,001",11,8,1/211,1/6.01,2.24
2026-04-27,月,いいえ,-404,"2,936",10,8,1/163,1/6.28,3.15,-684,"2,494",8,4,1/208,1/6.18,2.39,-560,"2,566",8,7,1/171,1/6.32,3.16,-173,"2,126",9,3,1/177,1/6.41,2.48,-714,"3,329",11,4,1/222,1/5.84,1.92,+655,"3,272",17,3,1/164,1/6.00,1.90,-740,"5,284",15,18,1/160,1/5.93,3.80,"+1,997","5,689",32,11,1/132,1/6.26,2.23,+268,"5,127",21,11,1/160,1/5.95,2.34,+366,"3,813",16,7,1/166,1/5.74,2.29,"+3,710","6,060",35,22,1/106,1/5.98,4.63,+225,"3,739",15,9,1/156,1/5.93,2.81,"-1,544","2,700",5,3,1/338,1/5.77,1.98,"-1,596","4,501",10,13,1/196,1/5.97,3.02
2026-04-26,日,はい,"-1,920","5,722",15,16,1/185,1/6.32,2.86,-475,"6,378",23,15,1/168,1/6.05,2.35,-949,"4,557",16,7,1/198,1/6.20,1.87,-771,"6,704",21,20,1/164,1/5.97,3.20,-487,"7,516",25,21,1/163,1/5.88,2.88,"-1,074","4,904",15,11,1/189,1/6.03,2.34,-608,"6,609",23,18,1/161,1/6.15,2.85,-997,"6,409",20,13,1/194,1/5.74,1.94,"+2,075","6,740",32,20,1/130,1/5.89,3.53,"-1,658","5,173",16,8,1/216,1/6.23,1.75,+383,"5,092",22,9,1/164,1/5.94,2.01,"-2,398","5,132",12,7,1/270,1/5.95,1.62,-719,"8,820",27,31,1/152,1/5.97,4.14,-451,"6,480",22,22,1/147,1/6.25,3.93
2026-04-25,土,いいえ,+357,"5,720",24,14,1/151,1/6.15,2.64,"+1,433","4,973",27,7,1/146,1/6.08,1.86,"+1,291","5,562",24,23,1/118,1/6.26,4.85,-429,"6,312",22,20,1/150,1/6.25,3.59,+268,"3,276",14,5,1/172,1/5.76,2.19,"+1,912","7,407",32,27,1/126,1/5.93,4.54,"+1,666","5,885",29,17,1/128,1/6.18,3.44,-642,"7,746",24,24,1/161,1/5.84,3.37,-524,"5,937",19,18,1/160,1/5.95,3.31,"-2,250","3,468",6,3,1/385,1/5.86,1.67,"-1,155","3,290",8,8,1/206,1/6.00,2.72,-310,"6,373",24,15,1/163,1/6.12,2.38,-308,"5,097",17,20,1/138,1/6.39,4.48,+28,"5,209",19,15,1/153,1/5.97,3.19
2026-04-24,金,いいえ,-143,"2,893",12,4,1/181,1/6.14,2.20,"+1,008","6,483",26,22,1/135,1/5.93,4.06,+598,"2,617",13,3,1/164,1/5.72,2.21,"-1,491","3,984",12,7,1/210,1/6.51,2.09,"+1,413","7,270",31,25,1/130,1/6.06,4.22,-408,"1,708",5,2,1/244,1/5.54,2.46,"-2,014","5,980",14,20,1/176,1/6.23,3.63,-427,"4,474",16,8,1/186,1/5.87,2.06,-202,"4,017",17,7,1/167,1/6.42,2.17,+179,"3,443",14,7,1/164,1/5.87,2.52,"+1,139","4,832",24,14,1/127,1/6.47,3.46,-844,"2,647",7,5,1/221,1/5.86,2.48,-945,"2,383",6,6,1/199,1/6.36,2.98,"-1,058","5,096",15,9,1/212,1/5.66,1.89
2026-04-23,木,いいえ,-403,"4,548",17,8,1/182,1/6.01,2.04,-226,"5,994",20,19,1/154,1/5.93,3.56,-756,"2,082",4,6,1/208,1/5.68,3.22,"-1,402","2,936",8,4,1/245,1/6.47,2.08,-205,"2,861",11,6,1/168,1/6.21,2.68,"+1,863","5,785",28,18,1/126,1/6.00,3.77,"-1,633","3,402",9,5,1/243,1/6.43,2.01,-2,"5,601",20,18,1/147,1/6.05,3.67,"-1,495","4,976",10,19,1/172,1/5.89,4.16,"+1,030","6,856",29,26,1/125,1/6.40,4.65,-528,"2,405",8,5,1/185,1/6.28,2.73,"-1,672","2,911",5,4,1/323,1/5.74,2.03,-160,"2,736",9,9,1/152,1/6.02,3.63,-146,"6,238",25,13,1/164,1/6.17,2.11
2026-04-22,水,いいえ,+885,"7,076",26,24,1/142,1/5.69,4.01,-111,"2,263",10,3,1/174,1/6.45,2.39,"+2,640","8,120",37,28,1/125,1/5.81,4.35,+963,"6,502",28,19,1/138,1/6.09,3.35,+534,"2,831",15,2,1/167,1/6.08,1.94,-790,"3,971",11,11,1/181,1/5.85,3.01,"-1,614","5,148",12,16,1/184,1/6.01,3.29,-759,"2,652",8,6,1/189,1/6.31,2.78,+820,"6,530",28,19,1/139,1/6.17,3.33,"+1,187","5,041",22,20,1/120,1/6.23,4.65,-105,"4,149",17,10,1/154,1/6.44,2.77,+379,"5,879",20,23,1/137,1/5.87,4.56,-652,"3,124",10,7,1/184,1/6.15,2.67,"-1,527","4,840",16,5,1/230,1/6.23,1.56
2026-04-21,火,いいえ,+313,"3,502",13,10,1/152,1/5.67,3.26,"-1,318","3,827",9,12,1/182,1/6.19,3.37,"-1,035","5,864",18,17,1/168,1/6.14,3.08,-478,"2,534",8,5,1/195,1/5.89,2.61,"+1,656","8,300",36,23,1/141,1/5.83,3.04,-705,"3,396",10,9,1/179,1/6.03,2.97,-433,"4,708",17,9,1/181,1/5.94,2.12,+942,"7,063",27,25,1/136,1/5.88,4.27,"+2,316","7,152",27,41,1/105,1/5.92,5.45,-923,"7,877",23,32,1/143,1/6.21,4.82,"+2,597","8,687",37,34,1/122,1/5.80,4.93,"+1,120","6,676",27,24,1/131,1/6.00,4.36,"+1,385","7,328",30,31,1/120,1/6.25,5.06,-490,"5,859",20,16,1/163,1/6.04,2.90
2026-04-20,月,いいえ,"+1,664","6,274",30,17,1/133,1/6.01,3.11,"-1,120","5,349",15,14,1/184,1/5.87,2.68,"+1,574","6,138",22,31,1/116,1/5.72,5.30,+377,"5,467",21,19,1/137,1/6.16,4.08,+278,"6,991",28,19,1/149,1/6.15,2.92,-851,"4,355",15,11,1/168,1/6.53,2.78,"-2,181","7,373",14,30,1/168,1/5.86,4.62,+641,"7,988",29,31,1/133,1/6.05,4.74,-472,"4,612",14,16,1/154,1/6.01,3.88,"-1,285","5,758",17,12,1/199,1/5.86,2.05,+868,"6,194",25,25,1/124,1/6.32,4.80,-788,"6,839",19,27,1/149,1/5.99,4.59,"-1,350","4,706",13,10,1/205,1/5.95,2.23,"+1,274","7,210",34,17,1/141,1/6.19,2.47
2026-04-19,日,いいえ,-570,"4,018",14,7,1/191,1/5.95,2.11,-773,"5,657",18,18,1/157,1/6.22,3.54,-272,"1,620",6,2,1/203,1/6.10,2.57,+782,"5,377",24,15,1/138,1/6.23,3.21,-525,"4,730",17,12,1/163,1/6.30,2.77,-545,"3,184",10,8,1/177,1/6.03,2.89,-919,"4,755",15,13,1/170,1/6.25,2.95,-825,"6,694",22,21,1/156,1/6.26,3.49,-531,"1,739",4,3,1/248,1/5.40,2.67,-246,"5,454",20,13,1/165,1/6.00,2.51,-704,"1,402",4,0,1/351,1/6.10,2.20,-663,"3,549",9,12,1/169,1/5.79,3.66,-268,"1,901",7,3,1/190,1/6.10,2.62,-461,"5,200",19,14,1/158,1/6.33,2.93
2026-04-18,土,いいえ,+375,"5,916",21,20,1/144,1/5.82,3.92,"-1,370","4,000",12,4,1/250,1/5.98,1.67,"+1,085","6,297",27,19,1/137,1/6.00,3.51,-462,"3,036",10,8,1/169,1/6.17,3.04,"+2,596","6,972",33,23,1/125,1/5.74,4.09,-366,"4,639",17,12,1/160,1/6.25,2.85,+290,"7,164",26,24,1/143,1/5.99,3.94,"+1,169","6,912",30,19,1/141,1/5.96,3.05,"-2,020","6,522",14,19,1/198,1/5.71,2.89,-808,"4,287",16,8,1/179,1/6.54,2.17,+974,"6,317",29,14,1/147,1/6.08,2.34,"-1,035","5,147",17,11,1/184,1/6.19,2.23,+36,"5,875",23,13,1/163,1/5.98,2.29,+266,"6,414",28,15,1/149,1/6.41,2.45
2026-04-17,金,いいえ,+619,"4,431",21,9,1/148,1/6.25,2.40,-631,"3,071",9,9,1/171,1/6.13,3.27,"-1,512","4,777",14,10,1/199,1/6.27,2.20,"+3,038","5,066",32,13,1/113,1/6.19,3.24,-122,"3,318",14,6,1/166,1/6.36,2.38,"-1,971","4,864",13,10,1/211,1/6.37,2.13,-223,"4,753",17,11,1/170,1/5.88,2.50,"+1,561","7,318",35,14,1/149,1/5.90,1.92,-877,"3,120",10,7,1/184,1/6.52,2.68,-78,"5,165",20,12,1/161,1/6.07,2.50,-421,"2,085",7,3,1/209,1/5.95,2.45,"-1,264","4,391",12,11,1/191,1/6.09,2.65,"+1,114","6,019",27,19,1/131,1/6.24,3.77,"+1,257","4,539",23,10,1/138,1/6.07,2.61
2026-04-16,木,はい,-410,"2,904",10,6,1/182,1/6.04,2.61,+337,"8,076",29,31,1/135,1/6.16,4.70,-598,"2,915",9,5,1/208,1/5.78,2.32,"-1,138","3,994",10,11,1/190,1/5.92,2.95,"+1,100","6,752",30,21,1/132,1/6.27,3.71,-810,"4,243",15,7,1/193,1/6.20,2.00,"-1,604","4,656",13,8,1/222,1/6.07,1.92,"+1,867","5,912",29,18,1/126,1/6.07,3.68,-174,"3,433",13,7,1/172,1/6.01,2.50,-619,"2,424",7,3,1/242,1/5.59,2.19,"+1,772","7,531",31,32,1/120,1/6.06,5.10,"-1,155","5,272",15,16,1/170,1/6.14,3.27,-117,"2,282",10,1,1/207,1/6.00,1.97,"-1,003","4,615",15,9,1/192,1/6.12,2.14
2026-04-15,水,いいえ,-596,"2,280",7,7,1/163,1/6.66,3.44,-327,"5,315",20,9,1/183,1/5.89,1.87,"-1,195","2,204",3,8,1/200,1/6.16,3.67,+514,"4,158",19,8,1/154,1/6.07,2.33,-657,"1,645",6,1,1/235,1/6.93,2.30,"-1,279","5,546",15,16,1/179,1/5.96,3.01,+417,"3,553",16,5,1/169,1/5.80,2.06,+661,"3,650",16,10,1/140,1/5.95,3.22,-926,"3,256",9,9,1/181,1/6.23,3.07,-245,"4,035",15,10,1/161,1/6.18,2.80,+570,"3,578",17,5,1/163,1/5.89,2.07,-449,"1,672",5,2,1/239,1/5.74,2.50,+874,"4,191",20,11,1/135,1/6.23,3.11,"+1,203","7,344",34,17,1/144,1/6.13,2.38
