日付,曜日,特定日,856番台,,,,,,,,857番台,,,,,,,,858番台,,,,,,,,860番台,,,,,,,,861番台,,,,,,,,862番台,,,,,,,,863番台,,,,,,,,865番台,,,,,,,,866番台,,,,,,,,867番台,,,,,,,,868番台,,,,,,,,870番台,,,,,,,
,,,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差
2026-05-30,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-537,978,3,1,1/245,2.89,67,7.0,+496,"4,592",18,16,1/135,3.69,36,-,+169,"2,582",11,7,1/143,3.24,49,6.0,-28,"2,504",9,11,1/125,4.02,51,1.0,-614,882,1,1,1/441,2.81,50,1.0,+208,"3,943",15,12,1/146,3.24,43,4.0,-462,521,1,0,1/521,2.98,57,6.0,-843,"1,415",3,2,1/283,2.65,60,3.0,-6,"5,337",19,16,1/152,3.01,39,3.0,"-1,126","1,840",4,3,1/263,2.53,72,5.0
2026-05-29,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,304","1,573",1,3,1/393,2.55,68,7.0,-852,"5,331",15,19,1/157,3.29,34,16.0,-928,"2,095",4,6,1/210,2.90,61,3.0,-810,"2,767",9,6,1/184,2.64,56,4.0,+645,"4,499",20,12,1/141,3.10,37,3.0,+579,"3,103",14,13,1/115,4.26,39,2.0,-150,864,3,1,1/216,3.02,58,2.0,+232,"2,156",11,4,1/144,3.02,18,-,+374,"2,422",10,8,1/135,3.56,44,5.0,"-1,684","7,481",19,29,1/156,3.50,52,8.0
2026-05-28,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+638,"2,092",11,5,1/131,3.34,59,6.0,+42,"4,939",19,13,1/154,2.78,35,14.0,-190,166,0,0,-,3.30,53,8.0,-468,"4,188",15,11,1/161,2.78,45,2.0,-152,116,0,0,-,3.36,9,-,+662,"5,501",23,18,1/134,3.62,40,5.0,-428,352,0,0,-,3.07,21,12.0,"+1,840","2,267",15,10,1/91,4.63,9,-,+383,"4,116",19,10,1/142,2.98,43,3.0,-195,632,2,1,1/211,3.19,61,2.0
2026-05-27,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,068","1,897",3,6,1/211,3.02,72,12.0,+89,"1,323",7,1,1/165,2.88,47,9.0,-168,285,1,0,1/285,3.26,38,19.0,-838,"4,580",12,19,1/148,3.76,14,14.0,"+2,503","6,601",34,25,1/112,4.77,0,-,-103,59,0,0,-,3.43,50,3.0,"+1,398","3,943",17,20,1/107,4.83,0,-,-585,562,0,2,1/281,3.31,60,2.0,"-1,158","2,416",5,6,1/220,2.67,19,5.0,-675,"2,440",8,3,1/222,2.29,58,8.0
2026-05-26,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-456,"1,958",7,3,1/196,2.65,59,7.0,+181,"1,400",7,2,1/156,3.03,11,1.0,+186,"7,515",26,31,1/132,4.29,25,14.0,"+1,328","4,431",20,20,1/111,4.70,0,-,"+1,166","1,641",11,6,1/97,4.12,37,12.0,"+1,555","4,597",24,14,1/121,3.85,39,2.0,-6,"5,032",21,9,1/168,2.12,52,13.0,+625,"1,473",9,2,1/134,3.14,52,13.0,"+1,170","6,276",24,32,1/112,5.03,0,-,+450,"4,431",17,17,1/130,3.97,10,10.0
2026-05-25,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-266,227,0,0,-,3.22,48,4.0,+292,"5,382",17,27,1/122,4.67,0,-,-19,15,0,0,-,3.48,43,43.0,-537,926,2,1,1/309,2.85,57,1.0,"+1,595","3,515",21,8,1/121,3.41,43,43.0,-170,654,2,2,1/164,3.40,56,7.0,-411,963,2,2,1/241,3.04,61,4.0,-445,830,2,3,1/166,3.43,49,1.0,+327,"1,890",10,2,1/158,2.76,44,1.0,+572,"6,009",21,29,1/120,4.74,0,-
2026-05-24,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+891,"7,158",28,25,1/135,3.78,34,23.0,-673,"2,272",6,8,1/162,3.34,57,4.0,-480,705,2,0,1/353,2.87,0,-,-516,"3,913",14,10,1/163,2.76,51,5.0,-514,"2,066",7,2,1/230,2.36,46,4.0,"-1,128","4,848",13,15,1/173,2.80,11,11.0,-281,250,0,0,-,3.19,53,2.0,+310,"6,136",23,21,1/139,3.58,38,4.0,+189,"3,465",16,7,1/151,2.73,42,4.0,-758,"3,652",12,7,1/192,2.28,53,2.0
2026-05-23,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-919,"2,601",8,5,1/200,2.53,67,16.0,-446,"2,926",9,12,1/139,3.78,51,3.0,"+4,484","8,601",45,39,1/102,5.45,0,-,+516,"1,998",10,5,1/133,3.35,48,8.0,+725,"6,155",26,17,1/143,2.98,34,11.0,"+2,769","5,385",28,22,1/108,4.84,0,-,"+1,611","2,091",14,8,1/95,4.35,21,21.0,-868,"1,322",1,4,1/264,3.01,23,1.0,-366,"7,007",24,25,1/143,3.59,40,6.0,"-1,156","3,013",5,13,1/167,3.53,22,1.0
2026-05-22,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-195,599,2,0,1/300,2.98,57,2.0,-340,"1,916",7,1,1/240,2.30,55,5.0,-355,921,2,3,1/184,3.33,55,5.0,-419,"4,259",14,15,1/147,3.46,50,32.0,-513,"2,910",8,13,1/139,3.90,59,2.0,+158,956,5,2,1/137,3.35,59,2.0,"+1,649","7,260",32,25,1/127,4.03,18,18.0,"+1,226","5,081",20,23,1/118,4.61,0,-,-52,463,2,1,1/154,3.39,63,4.0,"+1,201","4,876",20,23,1/113,4.75,0,-
2026-05-21,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+19,"4,582",17,16,1/139,3.61,52,-,-204,211,0,0,-,3.24,52,-,-228,900,3,1,1/225,2.97,55,3.0,-501,"2,108",6,6,1/176,3.06,63,2.0,-476,"1,944",6,4,1/194,2.79,57,2.0,-219,399,1,0,1/399,3.12,61,4.0,+114,"1,325",6,2,1/166,3.02,52,-,-243,"1,125",4,2,1/188,3.05,61,4.0,-605,"2,118",6,5,1/193,2.83,61,4.0,-657,"2,357",7,6,1/181,2.89,70,7.0
