日付,曜日,特定日,856番台,,,,,,,,857番台,,,,,,,,858番台,,,,,,,,860番台,,,,,,,,861番台,,,,,,,,862番台,,,,,,,,863番台,,,,,,,,865番台,,,,,,,,866番台,,,,,,,,867番台,,,,,,,,868番台,,,,,,,,870番台,,,,,,,
,,,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差
2026-04-28,火,いいえ,-870,"2,088",5,4,1/232,2.57,67,4.0,-121,"2,218",10,2,1/185,2.43,53,4.0,+54,"1,333",6,2,1/167,3.01,55,2.0,-246,"4,103",12,19,1/132,4.20,48,8.0,+147,"1,701",7,5,1/142,3.39,40,-,-55,490,2,0,1/245,3.11,55,2.0,-190,"2,051",6,7,1/158,3.36,49,1.0,-489,"2,610",7,8,1/174,3.06,57,2.0,-621,"2,401",9,4,1/185,2.59,63,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-27,月,いいえ,-368,630,1,1,1/315,3.09,54,6.0,-221,599,2,0,1/300,2.98,16,16.0,-199,"3,267",12,11,1/142,3.48,56,2.0,-268,686,2,1,1/229,3.12,48,20.0,+764,"6,128",28,16,1/139,2.97,28,12.0,-584,"1,223",2,4,1/204,3.21,16,16.0,+175,"1,393",7,1,1/174,2.80,0,-,-479,"2,206",5,8,1/170,3.31,60,3.0,-499,"2,335",7,6,1/180,2.91,57,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-26,日,はい,+709,"4,579",22,13,1/131,3.44,49,1.0,"+2,474","6,581",31,29,1/110,5.01,0,-,-851,"2,401",7,5,1/200,2.63,55,5.0,+711,"4,098",19,11,1/137,3.23,43,43.0,-316,"3,675",14,9,1/160,2.78,50,1.0,"+2,944","6,231",29,37,1/94,5.51,0,-,"+5,116","8,543",47,40,1/98,5.57,0,-,-125,"3,766",15,10,1/151,2.99,56,1.0,+236,"2,647",13,2,1/176,2.27,48,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-25,土,いいえ,-517,568,1,0,1/568,2.92,63,2.0,-336,321,0,0,-,3.11,55,2.0,+551,"4,653",20,13,1/141,3.16,45,5.0,-407,635,1,0,1/635,2.85,55,2.0,-825,"2,265",6,5,1/206,2.69,40,-,-663,"2,234",8,4,1/186,2.67,61,4.0,"-1,034","1,638",2,3,1/328,2.57,72,9.0,"-1,373","1,429",1,1,1/715,2.31,57,2.0,+432,"3,458",17,6,1/150,2.61,53,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-24,金,いいえ,+313,"1,744",8,6,1/125,3.68,52,1.0,-218,800,3,0,1/267,2.85,53,1.0,-76,"1,668",6,5,1/152,3.33,61,2.0,-175,"1,136",5,2,1/162,3.14,47,7.0,"+1,293","6,307",26,25,1/124,4.39,30,-,-543,563,0,1,1/563,3.07,57,4.0,-311,424,1,0,1/424,3.09,51,4.0,+973,"6,226",24,25,1/127,4.30,40,10.0,-345,350,0,1,1/350,3.32,59,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-23,木,はい,+144,"2,556",12,4,1/160,2.68,59,3.0,-428,326,0,0,-,3.10,50,4.0,+37,453,2,0,1/227,3.16,56,1.0,-786,"3,696",11,11,1/168,2.93,46,-,-466,431,0,0,-,2.98,55,5.0,-112,252,1,0,1/252,3.30,55,5.0,-558,"5,742",17,22,1/147,3.64,50,4.0,-676,962,1,3,1/241,3.18,63,4.0,+119,525,3,0,1/175,3.17,50,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-22,水,いいえ,-273,512,1,1,1/256,3.23,61,4.0,+480,"2,274",11,7,1/126,3.60,44,1.0,"+1,276","2,802",17,3,1/140,2.63,44,1.0,-117,351,1,1,1/176,3.42,47,3.0,-4,595,3,0,1/198,3.09,55,4.0,-136,"1,632",5,5,1/163,3.27,51,4.0,-84,907,4,1,1/181,3.06,57,1.0,+202,500,3,1,1/125,3.45,56,1.0,+732,"4,240",19,17,1/118,4.33,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-21,火,いいえ,-238,570,2,0,1/285,3.02,61,4.0,-193,627,2,1,1/209,3.19,54,1.0,-263,"2,056",9,3,1/171,2.72,57,2.0,-333,"2,165",7,6,1/167,3.09,4,-,-32,"2,790",10,6,1/174,2.70,55,1.0,-396,"2,653",8,7,1/177,2.89,55,1.0,-174,725,2,1,1/242,3.08,39,35.0,+284,"2,355",12,4,1/147,2.89,54,1.0,-387,"1,157",3,4,1/165,3.39,53,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-19,日,いいえ,-391,981,3,1,1/245,2.88,57,2.0,"-1,172","3,978",9,11,1/199,2.53,42,18.0,-166,161,0,1,1/161,3.55,58,1.0,"+2,617","8,533",38,40,1/109,5.24,0,-,-143,307,1,0,1/307,3.23,46,4.0,-240,714,2,1,1/238,3.09,55,4.0,"+1,861","5,829",29,18,1/124,3.84,24,24.0,-96,853,3,1,1/213,3.03,47,1.0,-308,"2,911",9,10,1/153,3.36,51,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-18,土,いいえ,+171,"4,103",16,12,1/147,3.16,50,16.0,-646,"3,119",8,13,1/149,3.69,0,-,-473,"2,118",7,4,1/193,2.70,12,2.0,-710,"2,642",7,8,1/176,3.03,55,3.0,+622,"4,803",21,12,1/146,2.87,33,13.0,-298,"2,511",10,3,1/193,2.37,52,2.0,-319,251,0,0,-,3.19,20,8.0,+50,"7,680",29,28,1/135,3.92,34,1.0,-65,516,2,1,1/172,3.33,10,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-17,金,いいえ,-348,301,0,0,-,3.13,64,11.0,"+5,445","7,500",44,31,1/100,5.38,0,-,"+2,051","3,011",18,13,1/97,4.70,0,-,-216,390,0,2,1/195,3.51,38,1.0,+272,"6,043",21,24,1/134,4.05,37,37.0,+361,685,4,3,1/98,3.82,50,12.0,"+2,641","4,674",28,16,1/106,4.56,0,-,-383,"2,070",7,6,1/159,3.20,53,3.0,"+3,296","5,917",31,28,1/100,5.26,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-16,木,はい,-809,"5,477",19,18,1/148,3.28,51,1.0,-254,"1,371",3,5,1/171,3.37,55,4.0,-381,305,0,0,-,3.13,58,3.0,+925,"8,358",34,28,1/135,3.71,23,-,-408,756,1,3,1/189,3.42,55,4.0,-63,909,3,3,1/152,3.44,50,27.0,"-1,388","1,328",1,1,1/664,2.39,69,8.0,+28,"3,305",14,8,1/150,2.95,50,27.0,-370,970,2,2,1/243,3.03,61,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-15,水,いいえ,-966,"3,018",7,8,1/201,2.66,56,1.0,+114,"1,423",6,4,1/142,3.38,53,5.0,-216,"2,510",8,7,1/167,3.04,15,-,-528,"1,454",4,3,1/208,2.91,60,4.0,-199,"1,768",6,4,1/177,2.98,55,2.0,+676,"1,708",10,3,1/131,3.21,48,3.0,+337,889,5,1,1/148,3.19,56,1.0,-293,440,1,0,1/440,3.07,45,30.0,+103,"1,608",7,3,1/161,3.03,56,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-14,火,いいえ,-22,"1,533",6,2,1/192,2.78,61,2.0,-516,"1,899",5,6,1/173,3.20,58,1.0,+336,"5,839",21,30,1/114,4.93,1,-,-441,946,2,3,1/189,3.30,59,1.0,-649,975,1,2,1/325,2.93,53,2.0,-432,879,2,0,1/440,2.68,51,46.0,+100,567,3,0,1/189,3.12,57,1.0,+733,"6,045",28,15,1/141,2.84,5,4.0,+274,753,5,1,1/126,3.36,56,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-13,月,はい,-133,923,3,2,1/185,3.19,61,2.0,-405,"2,619",9,7,1/164,3.01,64,3.0,-622,"1,224",2,4,1/204,3.21,68,3.0,-651,"1,338",2,5,1/191,3.31,57,6.0,+326,"3,406",13,11,1/142,3.42,46,46.0,-399,608,1,0,1/608,2.88,51,5.0,-672,830,1,2,1/277,3.10,65,1.0,+744,"6,995",27,31,1/121,4.72,0,-,+150,780,4,2,1/130,3.46,59,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-12,日,いいえ,-535,"1,189",3,2,1/238,2.88,63,3.0,-634,"1,108",2,1,1/369,2.66,66,3.0,-840,"3,014",11,5,1/188,2.38,63,3.0,+107,"2,350",11,3,1/168,2.59,53,10.0,-521,"2,220",6,6,1/185,2.94,53,10.0,+128,512,3,0,1/171,3.19,43,-,-736,788,1,1,1/394,2.91,57,2.0,"-1,443","2,370",4,6,1/237,2.63,55,2.0,-637,943,1,3,1/236,3.20,60,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-11,土,いいえ,+369,"1,790",10,4,1/128,3.36,56,4.0,-673,861,1,3,1/215,3.30,57,1.0,-791,"1,666",4,4,1/208,2.91,67,10.0,-297,"1,081",3,3,1/180,3.24,52,2.0,-143,"3,117",11,10,1/148,3.33,52,2.0,-269,241,0,0,-,3.21,0,-,+194,"1,333",7,1,1/167,2.87,50,9.0,-145,"3,843",13,14,1/142,3.60,41,41.0,+681,"2,940",14,11,1/118,4.04,52,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-10,金,いいえ,-343,"1,780",4,7,1/162,3.47,61,6.0,-308,332,0,1,1/332,3.34,55,4.0,-355,"1,237",4,4,1/155,3.40,61,6.0,+762,"1,648",11,2,1/127,3.14,48,11.0,-15,16,0,0,-,3.48,51,1.0,"+4,244","8,878",43,49,1/97,5.66,0,-,-43,36,0,0,-,3.46,37,37.0,+311,"2,497",11,5,1/156,2.87,50,2.0,-326,"1,782",7,1,1/223,2.41,61,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-09,木,いいえ,-380,"1,226",4,1,1/245,2.71,57,2.0,-267,"3,493",13,9,1/159,2.88,52,2.0,+181,"2,062",10,4,1/147,3.03,59,2.0,+714,"2,185",10,8,1/121,3.83,50,11.0,+0,"4,422",16,14,1/147,3.26,39,39.0,-684,532,0,0,-,2.87,66,7.0,"+1,560","5,363",27,19,1/117,4.33,0,-,-162,612,2,1,1/204,3.21,55,3.0,-666,"1,084",2,2,1/271,2.91,57,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-07,火,いいえ,-136,"3,205",13,9,1/146,3.19,55,7.0,-778,896,1,2,1/299,3.02,57,2.0,-692,976,2,0,1/488,2.58,63,6.0,-396,"1,011",3,1,1/253,2.85,48,2.0,+286,"2,646",12,8,1/132,3.50,46,1.0,-676,772,0,2,1/386,3.07,66,3.0,"+3,419","6,514",34,31,1/100,5.33,0,-,-313,443,1,0,1/443,3.07,55,7.0,+548,"3,910",15,17,1/122,4.29,45,45.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-06,月,はい,-173,"1,161",4,2,1/194,3.01,55,2.0,-205,"1,882",7,6,1/145,3.42,53,3.0,-267,731,3,0,1/244,2.93,61,6.0,"+1,097","3,868",19,14,1/117,4.15,39,-,+104,"2,112",10,3,1/162,2.75,46,7.0,"-1,057","1,620",2,4,1/270,2.79,66,3.0,-538,"1,493",4,4,1/187,3.10,63,2.0,-146,"3,421",11,14,1/137,3.86,48,2.0,+13,"4,077",16,10,1/157,2.76,50,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-05,日,いいえ,"-1,353","6,077",16,23,1/156,3.44,43,-,-405,"1,590",4,6,1/159,3.45,44,1.0,-8,"2,744",11,8,1/144,3.29,61,4.0,+181,669,4,0,1/167,3.10,53,3.0,-45,"2,535",10,6,1/158,2.97,47,3.0,-614,"1,902",4,8,1/159,3.55,57,2.0,+198,"1,914",9,3,1/160,2.87,55,2.0,-724,"2,052",4,6,1/205,2.94,64,3.0,-345,785,2,2,1/196,3.25,50,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-04,土,いいえ,+909,"3,108",16,6,1/141,2.89,49,1.0,+573,"5,659",26,14,1/141,2.85,37,1.0,-404,301,0,0,-,3.13,65,8.0,-251,"1,755",5,5,1/176,3.13,48,11.0,-46,"3,707",14,11,1/148,3.18,51,2.0,+73,976,5,1,1/163,3.08,53,2.0,-373,"2,437",8,7,1/162,3.12,57,2.0,-344,318,0,0,-,3.11,55,2.0,"+1,772","6,032",30,18,1/126,3.72,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-03,金,はい,+107,"1,339",6,3,1/149,3.24,59,2.0,+349,"1,404",8,1,1/156,2.88,53,2.0,-693,"1,940",5,4,1/216,2.72,63,2.0,"+1,456","2,833",18,7,1/113,3.68,42,-,-766,"1,361",3,3,1/227,2.92,64,1.0,-710,"1,952",5,4,1/217,2.70,57,2.0,-333,"3,503",10,14,1/146,3.68,51,9.0,-493,481,0,1,1/481,3.16,55,2.0,-274,"1,277",4,3,1/182,3.11,61,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-02,木,いいえ,-262,481,1,1,1/241,3.26,58,1.0,-504,"1,296",4,3,1/185,3.09,57,1.0,+147,"1,379",5,5,1/138,3.57,59,1.0,-379,"2,138",8,3,1/194,2.56,55,1.0,-912,"1,209",1,4,1/242,3.13,61,2.0,+617,"1,132",8,2,1/113,3.46,49,-,+366,"1,939",10,5,1/129,3.42,56,1.0,-313,598,1,1,1/299,3.13,55,1.0,-46,26,0,0,-,3.47,54,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-01,水,いいえ,+849,"2,334",13,4,1/137,3.01,56,1.0,-179,605,2,0,1/303,2.98,52,6.0,-221,713,2,2,1/178,3.33,57,1.0,+17,"1,078",5,1,1/180,2.96,53,1.0,-92,468,2,0,1/234,3.14,55,2.0,-757,"2,994",8,10,1/166,3.18,46,7.0,-304,"1,012",3,2,1/202,3.08,58,1.0,-327,317,0,1,1/317,3.36,55,2.0,"+1,051","5,402",24,21,1/120,4.37,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-31,火,いいえ,-551,"1,307",3,4,1/187,3.21,63,2.0,+351,611,4,2,1/102,3.67,50,4.0,+0,"3,310",13,10,1/144,3.30,46,3.0,-109,145,0,0,-,3.32,52,2.0,-43,529,2,2,1/132,3.56,55,3.0,+762,"4,812",20,19,1/123,4.23,43,-,+465,"2,474",12,3,1/165,2.55,56,1.0,-92,"1,870",9,4,1/144,3.16,61,5.0,-111,"1,118",3,6,1/124,3.89,64,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-30,月,いいえ,-72,648,2,2,1/162,3.41,61,1.0,-333,879,2,3,1/176,3.38,55,4.0,+32,"1,253",5,3,1/157,3.24,41,1.0,+127,"2,548",11,7,1/142,3.28,40,-,-323,"2,769",10,8,1/154,3.16,51,10.0,-67,470,2,0,1/235,3.14,55,4.0,-231,"1,412",5,4,1/157,3.29,60,1.0,-406,"1,638",6,3,1/182,2.90,59,4.0,-691,829,1,1,1/415,2.87,75,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-29,日,いいえ,-202,163,0,0,-,3.30,54,1.0,+18,"2,398",10,6,1/150,3.12,53,5.0,"+2,097","4,458",26,12,1/117,3.77,35,2.0,+291,"4,318",18,15,1/131,3.78,33,-,-22,"2,333",10,3,1/179,2.53,48,11.0,-277,"1,368",6,1,1/195,2.74,55,1.0,"-1,121","3,428",10,7,1/202,2.33,65,10.0,+128,"1,280",5,4,1/142,3.45,37,2.0,"-1,375","1,667",0,7,1/238,3.21,69,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-28,土,いいえ,+514,"2,645",12,7,1/139,3.27,52,8.0,-340,958,2,2,1/240,3.05,44,1.0,-798,"1,299",1,5,1/217,3.26,56,1.0,-290,"5,189",18,19,1/140,3.69,42,20.0,+489,"3,092",13,12,1/124,3.99,43,1.0,-350,959,2,2,1/240,3.05,55,1.0,-336,437,1,0,1/437,3.07,56,1.0,"+1,938","7,612",36,27,1/121,4.40,22,-,-195,183,0,1,1/183,3.52,54,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-27,金,いいえ,+509,753,5,2,1/108,3.61,50,7.0,+909,"5,151",23,16,1/132,3.57,35,18.0,-428,372,0,0,-,3.05,17,2.0,+227,"2,011",8,4,1/168,2.90,53,1.0,-339,940,3,0,1/313,2.70,55,2.0,-262,237,0,0,-,3.21,52,2.0,-277,"2,323",9,4,1/179,2.66,15,-,-104,"2,702",9,9,1/150,3.37,59,4.0,+674,"5,092",23,12,1/145,2.74,43,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-26,木,はい,-229,197,0,1,1/197,3.50,16,16.0,-525,"2,494",8,6,1/178,2.83,53,5.0,"+1,290","4,106",19,19,1/108,4.74,0,-,-410,289,0,0,-,3.15,47,1.0,-369,"1,221",3,3,1/204,3.08,48,1.0,+481,"2,545",12,8,1/127,3.62,46,30.0,"+1,696","7,708",33,34,1/115,4.95,0,-,-216,744,2,1,1/248,3.06,59,6.0,-467,"1,768",5,4,1/196,2.89,61,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-25,水,いいえ,"+2,477","6,121",32,29,1/100,5.28,0,-,+170,"2,061",8,6,1/147,3.31,50,4.0,-298,231,0,0,-,3.22,14,14.0,-167,"5,762",21,17,1/152,2.96,42,28.0,+801,"3,250",15,9,1/135,3.34,43,1.0,+55,"1,969",8,5,1/151,3.18,46,3.0,+109,"1,361",6,2,1/170,2.97,59,2.0,-780,"1,006",2,1,1/335,2.77,69,10.0,-175,967,3,1,1/242,2.90,57,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-24,火,いいえ,-287,313,0,1,1/313,3.36,61,4.0,-161,173,0,1,1/173,3.53,55,2.0,"+2,664","7,665",39,28,1/114,4.73,0,-,-209,375,0,2,1/188,3.53,53,14.0,+37,856,4,1,1/171,3.12,53,14.0,"+1,149","3,136",18,6,1/131,3.06,39,15.0,-275,205,0,0,-,3.25,61,4.0,-332,"2,203",4,11,1/147,3.86,24,24.0,-490,"3,558",13,7,1/178,2.42,57,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-23,月,はい,-544,919,1,3,1/230,3.23,63,6.0,-525,"1,113",2,3,1/223,3.10,54,2.0,-933,"1,439",2,4,1/240,2.97,70,5.0,-581,"1,809",6,3,1/201,2.72,40,24.0,-522,"1,554",4,4,1/194,3.03,57,3.0,-395,"1,184",3,2,1/237,2.89,52,12.0,+179,"2,411",10,7,1/142,3.34,52,12.0,-620,"4,508",11,25,1/125,4.63,16,-,-362,676,2,0,1/338,2.90,65,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-22,日,いいえ,-390,"1,765",5,8,1/136,3.80,57,1.0,+725,"1,819",10,5,1/121,3.57,46,8.0,-292,496,1,0,1/496,3.01,57,1.0,"+1,171","7,914",34,27,1/130,3.95,21,-,-351,292,0,1,1/292,3.39,52,6.0,"+1,150","2,482",14,9,1/108,4.13,38,17.0,-123,"2,917",12,6,1/162,2.74,61,2.0,-297,"1,009",4,1,1/202,2.95,59,2.0,-908,"3,150",8,10,1/175,3.02,56,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-21,土,いいえ,-326,"2,724",10,9,1/143,3.44,57,4.0,+319,"4,014",17,15,1/125,4.00,43,1.0,-663,"4,161",14,13,1/154,3.14,58,1.0,-362,292,0,0,-,3.14,53,2.0,"+1,563","5,009",28,14,1/119,3.79,36,-,+41,"4,668",17,18,1/133,3.92,42,6.0,"-1,228","2,811",5,12,1/165,3.53,59,1.0,"-1,479","1,801",0,7,1/257,3.07,51,1.0,+18,"1,714",7,6,1/132,3.61,50,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-20,金,いいえ,-312,"2,921",10,10,1/146,3.45,57,2.0,-174,"1,428",6,1,1/204,2.67,55,5.0,-372,452,0,1,1/452,3.20,50,3.0,-892,"6,175",18,23,1/151,3.51,47,2.0,-26,237,1,0,1/237,3.32,61,4.0,-987,"1,531",3,3,1/255,2.75,64,3.0,+73,"3,211",11,13,1/134,3.87,45,8.0,+619,"3,985",18,10,1/142,3.03,37,-,+255,"3,049",12,12,1/127,3.93,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-19,木,いいえ,-77,"2,036",6,8,1/145,3.60,61,6.0,-18,162,1,0,1/162,3.41,55,2.0,+940,"6,842",30,19,1/140,3.05,38,1.0,-209,330,1,0,1/330,3.20,55,2.0,-379,"1,595",2,10,1/133,4.10,45,7.0,-407,316,0,0,-,3.12,55,2.0,+804,"3,348",16,12,1/120,4.00,53,8.0,-145,113,0,0,-,3.36,45,7.0,+854,"4,179",19,13,1/131,3.59,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-18,水,いいえ,-272,362,1,0,1/362,3.16,61,3.0,-76,"3,615",15,6,1/172,2.33,46,17.0,-146,447,2,0,1/224,3.16,61,3.0,-286,207,0,0,-,3.25,55,2.0,"+1,979","5,443",28,18,1/118,4.16,29,29.0,-156,"3,077",11,11,1/140,3.59,52,6.0,-391,397,0,0,-,3.02,58,3.0,-272,291,0,1,1/291,3.39,0,-,-677,"1,869",4,6,1/187,3.14,53,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-17,火,いいえ,-178,952,4,1,1/190,3.01,61,2.0,-382,702,1,3,1/176,3.48,51,3.0,-873,"3,495",9,10,1/184,2.76,59,5.0,-433,"3,559",9,16,1/142,3.92,51,3.0,+50,"1,689",7,5,1/141,3.41,48,48.0,-667,643,0,1,1/643,2.98,54,1.0,-287,"3,647",14,8,1/166,2.60,53,2.0,"+4,539","7,556",44,39,1/91,5.68,0,-,-92,52,0,0,-,3.44,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-16,月,はい,-29,878,4,2,1/146,3.34,54,1.0,-55,"5,067",19,18,1/137,3.70,37,37.0,-254,663,2,0,1/332,2.91,58,2.0,-550,447,0,0,-,2.97,61,3.0,+725,"5,370",22,17,1/138,3.45,43,6.0,+676,"3,250",16,8,1/135,3.20,37,37.0,"-1,017","5,137",13,19,1/161,3.31,53,10.0,-943,"1,032",0,3,1/344,3.01,56,2.0,"+2,968","8,486",39,37,1/112,5.11,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-15,日,いいえ,+989,"4,483",20,17,1/121,4.19,49,2.0,+208,"1,905",9,2,1/173,2.66,44,4.0,-661,"2,403",6,6,1/200,2.76,12,3.0,-547,"2,845",9,8,1/167,2.99,47,3.0,-170,"1,784",5,8,1/137,3.78,61,12.0,+184,"3,056",12,9,1/146,3.26,44,4.0,-451,"7,250",26,24,1/145,3.33,40,28.0,-414,387,0,1,1/387,3.27,9,-,+255,974,5,1,1/162,3.09,44,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-14,土,いいえ,-97,846,3,3,1/141,3.52,61,15.0,+407,"3,594",14,8,1/163,2.65,42,4.0,"+2,404","5,751",26,31,1/101,5.28,0,-,-335,"4,320",15,10,1/173,2.46,38,28.0,-803,981,1,2,1/327,2.93,63,2.0,-980,"2,769",6,6,1/231,2.43,46,4.0,-415,591,1,1,1/296,3.13,61,15.0,"+1,027","8,316",28,45,1/114,5.17,0,-,-92,255,1,0,1/255,3.29,10,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-13,金,はい,-287,"2,488",10,2,1/207,2.21,57,4.0,-852,"3,576",10,11,1/170,2.97,57,4.0,-521,"2,155",7,4,1/196,2.67,53,5.0,-436,"4,024",14,10,1/168,2.65,43,18.0,+433,"2,120",11,3,1/151,2.83,48,5.0,"+2,338","3,875",25,8,1/117,3.40,25,25.0,-347,"2,285",7,9,1/143,3.64,61,4.0,-455,861,2,2,1/215,3.16,57,4.0,"+2,242","6,511",31,31,1/105,5.20,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-12,木,いいえ,-78,"2,413",9,5,1/172,2.79,61,4.0,-708,"1,002",1,1,1/501,2.69,61,4.0,-185,"1,908",8,4,1/159,3.02,51,3.0,+738,"1,116",6,5,1/101,3.98,31,-,+128,"4,341",18,9,1/161,2.47,52,1.0,-322,"1,237",4,2,1/206,2.92,48,17.0,-16,620,3,1,1/155,3.31,61,4.0,-291,714,2,0,1/357,2.86,57,5.0,-296,"1,616",6,2,1/202,2.70,57,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-11,水,いいえ,-356,305,0,0,-,3.13,61,2.0,-304,238,0,0,-,3.21,44,5.0,-369,682,1,3,1/171,3.51,51,7.0,"+1,202","7,164",30,27,1/126,4.29,21,-,-147,120,0,0,-,3.35,59,4.0,+362,"3,712",16,9,1/148,2.92,39,18.0,-764,804,1,1,1/402,2.89,59,4.0,-563,702,1,2,1/234,3.24,59,4.0,-258,213,0,0,-,3.24,55,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
