日付,曜日,特定日,1401番台,,,,,1402番台,,,,,1403番台,,,,,1404番台,,,,,1405番台,,,,,1406番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-02-27,金,はい,-591,"1,718",5,6,1/156,+310,659,4,2,1/110,"+1,404","2,385",15,7,1/108,+0,297,1,0,1/297,+0,"2,921",13,2,1/195,-104,495,1,0,1/495
2026-02-26,木,いいえ,-700,"1,092",1,2,1/364,+609,"2,712",13,5,1/151,-502,"1,915",5,5,1/192,+309,"1,447",7,3,1/145,-596,646,0,0,-,-590,"1,172",3,0,1/391
2026-02-25,水,いいえ,-504,"1,375",4,2,1/229,-592,769,0,2,1/385,-498,"3,109",10,7,1/183,-390,821,2,1,1/274,-196,597,2,0,1/299,+408,"4,636",21,8,1/160
2026-02-24,火,はい,-100,"3,725",15,9,1/155,-192,"1,154",5,1,1/192,-101,"1,899",7,3,1/190,-394,"1,148",3,2,1/230,-396,"1,098",2,3,1/220,"-1,496","5,578",15,20,1/159
2026-02-23,月,いいえ,-995,"3,517",10,8,1/195,"+1,007","6,694",28,23,1/131,-795,"1,654",3,4,1/236,"+2,408","5,732",33,13,1/125,"+5,192","8,925",45,40,1/105,-699,"2,568",7,5,1/214
2026-02-22,日,いいえ,"+1,020","7,936",31,23,1/147,-594,"2,165",6,3,1/241,-786,"1,913",5,3,1/239,"+1,007","5,129",25,10,1/147,-301,"6,272",23,20,1/146,-902,"6,151",21,13,1/181
2026-02-21,土,はい,+312,"5,402",22,13,1/154,"-1,193","2,959",7,7,1/211,-696,"3,099",11,2,1/238,"+1,804","6,690",33,17,1/134,-499,"7,434",25,20,1/165,"-1,087","7,585",24,22,1/165
2026-02-20,金,いいえ,"+2,215","8,705",37,27,1/136,-102,862,3,1,1/216,-500,"3,093",12,6,1/172,-399,"6,777",23,24,1/144,-301,"1,462",3,6,1/162,+210,"6,166",21,19,1/154
2026-02-19,木,いいえ,"-1,393","5,203",14,16,1/173,"+1,104","7,138",34,15,1/146,-195,"2,362",9,4,1/182,-299,"6,697",25,17,1/159,-702,"2,167",6,3,1/241,-398,"5,495",17,21,1/145
2026-02-18,水,いいえ,-294,"5,197",19,12,1/168,+514,"1,663",9,2,1/151,"+1,611","7,916",38,18,1/141,-501,577,1,0,1/577,-498,"1,440",3,3,1/240,"+1,909","7,699",33,27,1/128
2026-02-17,火,はい,-990,"2,872",7,7,1/205,"+1,610","7,046",33,21,1/130,"-1,599","3,203",6,8,1/229,-198,570,2,0,1/285,"+3,096","8,160",40,29,1/118,+205,"4,218",17,11,1/151
2026-02-16,月,いいえ,-297,"3,571",13,9,1/162,"+1,204","1,817",12,4,1/114,-390,563,0,2,1/282,"+1,312","1,750",13,3,1/109,-993,"3,662",12,7,1/193,+314,"1,052",6,1,1/150
2026-02-15,日,いいえ,+107,"5,520",17,23,1/138,-702,"2,214",6,6,1/185,+513,"3,055",13,11,1/127,"+2,313","3,812",21,14,1/109,-590,"1,234",4,1,1/247,"+1,007","5,166",22,16,1/136
2026-02-14,土,はい,"+1,007","6,291",27,18,1/140,-304,"1,855",7,1,1/232,+410,"2,379",13,2,1/159,"+2,713","7,669",44,17,1/126,-500,"1,212",2,4,1/202,-101,"6,181",21,17,1/163
2026-02-13,金,いいえ,-905,"2,708",8,4,1/226,+107,450,3,0,1/150,-195,743,3,1,1/186,-785,"3,022",8,9,1/178,+804,"1,258",8,2,1/126,-592,"1,175",2,3,1/235
2026-02-12,木,いいえ,-193,725,3,0,1/242,+205,"1,949",9,5,1/139,+107,"2,196",11,2,1/169,+0,"2,174",9,6,1/145,-196,966,4,0,1/242,-396,"1,270",4,2,1/212
2026-02-11,水,はい,-391,"3,052",11,6,1/180,"+3,707","7,634",39,26,1/117,-300,"1,730",6,3,1/192,-900,"3,322",9,7,1/208,"-1,391","3,425",5,13,1/190,-995,"1,271",1,3,1/318
2026-02-10,火,いいえ,-97,"1,927",7,4,1/175,"-1,092","1,828",4,4,1/229,-391,330,0,0,-,-790,"2,346",4,9,1/180,-297,713,1,3,1/178,-192,"7,142",27,19,1/155
2026-02-09,月,いいえ,-296,"2,344",7,8,1/156,-305,554,1,1,1/277,-505,397,0,0,-,"-1,492","2,604",5,2,1/372,+0,"3,117",12,8,1/156,-305,"1,026",3,2,1/205
2026-02-08,日,いいえ,+204,"3,326",16,3,1/175,-390,"2,556",8,8,1/160,-193,843,3,0,1/281,-797,661,0,1,1/661,+604,"3,816",19,10,1/132,-300,981,3,1,1/245
2026-02-07,土,はい,-997,"2,621",7,5,1/218,-98,"2,780",10,6,1/174,-100,"3,435",13,9,1/156,"+1,009","5,262",24,17,1/128,"+1,103","3,802",18,13,1/123,-899,"2,992",10,4,1/214
2026-02-06,金,いいえ,+205,"1,096",5,1,1/183,-101,"1,386",6,1,1/198,-105,774,3,1,1/194,-696,"1,901",5,3,1/238,+0,"1,595",7,1,1/199,+0,"1,780",7,5,1/148
2026-02-05,木,いいえ,"+1,311","1,518",12,3,1/101,-298,"2,591",7,12,1/136,-502,"1,003",2,2,1/251,-794,"1,343",1,6,1/192,"+1,312","2,678",16,6,1/122,+0,"1,512",6,2,1/189
2026-02-04,水,はい,+210,"4,156",17,12,1/143,+803,"1,302",9,1,1/130,+909,"3,661",16,11,1/136,+201,897,4,2,1/150,-594,"2,189",7,4,1/199,-97,"1,423",5,2,1/203
2026-02-02,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-300,"3,291",12,6,1/183,-101,365,1,0,1/365,-296,"4,255",15,10,1/170
2026-02-01,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,093","2,454",4,6,1/245,+311,"3,077",13,5,1/171,"+2,920","7,938",39,26,1/122
2026-01-31,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-505,"3,243",9,11,1/162,-500,"1,008",2,2,1/252,"+1,999","7,533",34,26,1/126
2026-01-30,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-298,745,2,0,1/373,-995,"2,867",6,10,1/179,-104,"1,103",4,3,1/158
2026-01-29,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-390,614,1,1,1/307,+114,"3,073",15,3,1/171,-795,"1,120",1,4,1/224
2026-01-28,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-592,513,0,0,-,-302,"2,907",9,11,1/145,-705,"1,083",2,1,1/361
2026-01-27,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-100,"1,324",5,2,1/189,-500,"1,448",4,1,1/290,-901,"1,608",4,1,1/322
2026-01-26,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+209,951,3,4,1/136,+305,"4,840",17,20,1/131,-598,847,1,3,1/212
2026-01-25,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,216","4,352",26,11,1/118,-704,"1,593",5,0,1/319,+508,"4,603",21,9,1/153
2026-01-24,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-890,"6,029",20,16,1/167,"-1,387","2,362",3,4,1/337,"+2,716","8,226",39,30,1/119
2026-01-23,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-195,890,3,1,1/223,-391,326,0,0,-,-502,802,2,0,1/401
2026-01-22,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-301,"1,789",7,3,1/179,-305,"1,008",4,1,1/202,"-1,194","2,561",4,9,1/197
2026-01-21,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+314,"1,038",5,2,1/148,"+2,404","7,935",36,25,1/130,-305,"2,315",9,5,1/165
2026-01-20,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-98,476,1,1,1/238,"+1,208","5,859",25,18,1/136,-297,753,1,2,1/251
2026-01-19,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-191,661,1,2,1/220,-298,613,1,2,1/204,+513,"2,084",11,1,1/174
2026-01-18,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+309,"3,830",14,11,1/153,-497,"1,281",4,1,1/256,-102,"3,624",14,9,1/158
2026-01-17,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-698,"1,072",2,2,1/268,"+1,012","3,096",16,6,1/141,"+1,605","4,523",25,10,1/129
2026-01-16,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-390,979,1,3,1/245,-785,"4,103",9,18,1/152,-304,558,2,0,1/279
2026-01-15,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,096","2,782",19,8,1/103,+116,"2,550",10,7,1/150,-503,"1,375",4,1,1/275
2026-01-14,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+307,698,4,2,1/116,-596,719,1,0,1/719,-390,"1,133",4,0,1/283
2026-01-13,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-395,706,1,2,1/235,-296,"1,275",4,3,1/182,-497,"2,340",8,3,1/213
2026-01-12,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-104,"2,864",11,9,1/143,-599,859,1,2,1/286,+204,"1,946",9,2,1/177
2026-01-11,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-395,"4,719",17,13,1/157,+107,"4,919",21,12,1/149,"-1,195","6,210",21,16,1/168
2026-01-10,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-797,"1,017",1,1,1/509,"-1,598","3,299",6,12,1/183,+800,"3,383",18,6,1/141
2026-01-09,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+515,"3,251",18,5,1/141,-97,997,4,2,1/166,-392,734,2,0,1/367
2026-01-08,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-704,"1,765",5,2,1/252,"+1,209","3,255",16,11,1/121,+210,"2,886",9,12,1/137
2026-01-06,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-700,"2,028",6,3,1/225,-502,"1,833",4,6,1/183,+800,"5,718",27,10,1/155
2026-01-05,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"2,384",9,6,1/159,-297,"3,120",12,7,1/164,-190,"1,957",7,6,1/151
2026-01-04,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,193","2,587",6,7,1/199,+116,"6,329",25,12,1/171,"-1,599","3,107",5,7,1/259
2026-01-03,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,904","2,961",3,8,1/269,-599,"2,186",6,5,1/199,-394,"3,588",11,10,1/171
2026-01-02,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-390,"1,467",4,3,1/210,-703,740,1,0,1/740,+203,"4,278",17,9,1/165
2026-01-01,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,610","4,246",24,9,1/129,-304,750,2,1,1/250,-794,"1,202",1,3,1/301
2025-12-31,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+201,"4,452",15,15,1/148,-794,"1,590",3,3,1/265,"-1,093","5,124",14,15,1/177
2025-12-30,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"1,632",8,1,1/181,-499,"1,673",6,1,1/239,+112,"5,035",19,17,1/140
2025-12-29,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-597,"1,700",4,3,1/243,+0,582,3,0,1/194,+495,"5,145",24,11,1/147
2025-12-28,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,299","1,726",2,4,1/288,+402,"5,743",22,15,1/155,"-1,299","1,705",2,5,1/244
2025-12-27,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-392,"1,121",4,0,1/280,-904,"3,147",10,5,1/210,-702,"2,049",6,3,1/228
2025-12-26,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+408,"3,838",16,13,1/132,"-1,499","2,100",2,5,1/300,-598,867,2,0,1/434
2025-12-25,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,501","1,268",11,4,1/85,"-1,196","9,088",31,22,1/171,-298,822,2,2,1/206
2025-12-24,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,198","3,594",8,12,1/180,"-1,493","2,213",2,7,1/246,"+1,696","6,667",35,17,1/128
2025-12-22,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-390,686,2,0,1/343,"-1,196","1,693",3,4,1/242,+800,"3,703",19,8,1/137
2025-12-21,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+800,"6,619",27,20,1/141,-190,"5,133",18,14,1/160,"+1,395","4,895",26,11,1/132
2025-12-20,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-497,"1,040",3,0,1/347,+0,619,2,1,1/206,"+2,307","6,185",32,19,1/121
2025-12-19,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+110,"1,683",7,3,1/168,+410,"1,072",7,1,1/134,+313,"2,217",11,4,1/148
2025-12-18,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-698,"1,201",3,0,1/400,+510,"2,713",13,6,1/143,-101,"1,057",4,3,1/151
2025-12-17,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-103,"1,254",5,2,1/179,-390,"1,222",2,4,1/204,-395,"1,007",2,2,1/252
2025-12-16,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+310,"1,415",7,3,1/142,+312,750,4,4,1/94,-701,"1,496",3,4,1/214
2025-12-15,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,210","5,242",22,24,1/114,+110,633,3,1,1/158,+205,"1,061",5,1,1/177
2025-12-14,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+311,"3,647",14,9,1/159,+311,"2,544",11,7,1/141,-304,"4,537",17,13,1/151
2025-12-13,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-595,"1,008",1,2,1/336,-298,632,1,2,1/211,+715,"5,441",20,22,1/130
2025-12-12,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-297,528,1,0,1/528,"+2,002","4,781",22,23,1/106,-497,746,1,1,1/373
2025-12-11,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+905,"4,214",17,18,1/120,"+1,095","4,007",16,21,1/108,+302,"3,942",18,6,1/164
2025-12-10,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-591,"1,018",1,2,1/339,+115,797,4,0,1/199,-704,"1,221",2,4,1/204
2025-12-09,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+908,"6,135",25,19,1/139,-395,785,2,0,1/393,"+1,502","6,067",28,22,1/121
2025-12-07,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+713,"3,141",14,10,1/131,-794,822,0,2,1/411,-195,"2,131",5,8,1/164
2025-12-06,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,600","4,958",11,18,1/171,+910,"2,172",13,3,1/136,-190,"1,416",5,2,1/202
2025-12-05,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-699,"1,233",3,0,1/411,-397,878,2,1,1/293,-393,"1,518",4,4,1/190
2025-12-04,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,297","1,689",2,2,1/422,-399,"3,820",13,10,1/166,-997,"1,226",1,1,1/613
2025-12-03,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-297,433,0,2,1/217,-96,161,0,0,-,+409,"2,452",11,5,1/153
2025-12-02,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-497,996,2,2,1/249,-504,"1,138",4,0,1/285,-394,846,2,2,1/212
2025-12-01,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-303,"1,204",4,0,1/301,"+3,804","7,149",35,36,1/101,+499,"4,316",21,5,1/166
2025-11-30,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-500,"2,461",5,9,1/176,-300,440,0,1,1/440,+0,"6,956",28,13,1/170
2025-11-29,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+403,"4,858",22,13,1/139,-705,"1,303",3,2,1/261,"-1,596","5,643",15,14,1/195
2025-11-28,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-794,984,1,1,1/492,+711,"3,575",17,13,1/119,+0,760,3,1,1/190
2025-11-27,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-398,900,2,0,1/450,-395,773,2,0,1/387,-793,"1,014",0,4,1/254
2025-11-26,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-97,548,1,2,1/183,-192,"1,598",5,5,1/160,+204,"1,007",5,1,1/168
2025-11-25,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-96,605,2,0,1/303,+0,"2,161",9,3,1/180,-697,"1,498",4,1,1/300
2025-11-24,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-593,"4,388",14,14,1/157,-498,759,1,2,1/253,+0,"1,851",8,4,1/154
2025-11-23,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-791,"1,548",3,3,1/258,-705,"2,261",8,3,1/206,"-1,092","2,871",6,7,1/221
2025-11-22,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-500,"1,929",4,7,1/175,+113,"2,712",11,5,1/170,-900,926,0,3,1/309
2025-11-21,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+803,"6,046",27,12,1/155,+0,"1,182",4,3,1/169,+609,"5,095",22,16,1/134
2025-11-20,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,089","1,024",0,2,1/512,-393,812,3,0,1/271,-891,"3,166",7,9,1/198
2025-11-19,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-593,585,0,1,1/585,-501,"1,754",5,3,1/219,-101,"2,100",8,6,1/150
2025-11-18,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+608,"1,172",7,2,1/130,-598,"1,761",4,4,1/220,+203,"2,058",10,1,1/187
2025-11-17,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-194,737,3,0,1/246,-296,635,2,0,1/318,-398,881,2,3,1/176
2025-11-16,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-303,623,1,1,1/312,-705,661,0,1,1/661,"-1,085","5,179",14,20,1/152
2025-11-15,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,095","4,313",21,9,1/144,+0,695,3,1,1/174,"-1,192","5,636",20,10,1/188
2025-11-14,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-593,"2,127",5,6,1/193,+205,477,3,0,1/159,"+1,209","4,331",22,12,1/127
2025-11-13,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+107,"3,214",12,12,1/134,-96,"1,709",7,2,1/190,-492,"2,937",9,7,1/184
2025-11-12,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-299,703,2,0,1/352,"+1,201","5,277",28,8,1/147,-196,"1,945",7,5,1/162
2025-11-11,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+112,"1,045",4,2,1/174,+309,"3,532",16,4,1/177,+315,"1,329",7,2,1/148
2025-11-10,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-299,354,0,2,1/177,-302,316,0,0,-,-103,415,1,1,1/208
2025-11-09,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+116,"3,030",13,5,1/168,+798,"4,172",18,12,1/139,-993,"4,312",13,10,1/187
2025-11-08,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+408,"2,115",11,4,1/141,+902,"2,972",16,8,1/124,"+1,205","2,229",15,4,1/117
2025-11-07,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-96,"1,246",4,3,1/178,+208,"2,196",9,6,1/146,-399,"4,898",18,11,1/169
2025-11-06,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-199,"1,200",4,2,1/200,-297,902,2,3,1/180,+610,"3,542",16,8,1/148
2025-11-04,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-301,"1,777",5,5,1/178,-399,"1,754",6,3,1/195,-299,"1,666",5,3,1/208
2025-11-03,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+107,994,5,1,1/166,-590,722,1,1,1/361,-305,"1,028",3,2,1/206
2025-11-02,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+412,"2,321",10,5,1/155,+114,"3,112",15,4,1/164,-301,"3,131",9,11,1/157
2025-11-01,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-501,"1,958",6,3,1/218,-497,585,1,0,1/585,"+3,925","6,259",40,14,1/116
2025-10-31,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-502,"1,252",4,2,1/209,+307,"1,863",8,2,1/186,+110,"1,054",4,1,1/211
2025-10-30,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,610","5,105",28,8,1/142,+108,"1,085",5,1,1/181,-904,"3,539",10,9,1/186
2025-10-29,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+402,"1,108",6,3,1/123,+810,970,7,3,1/97,"+1,096","3,999",20,12,1/125
2025-10-28,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-599,"1,367",3,5,1/171,+0,884,4,1,1/177,+604,"4,219",19,12,1/136
2025-10-27,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-198,159,0,0,-,+305,"4,524",18,12,1/151,-198,"1,331",4,3,1/190
2025-10-26,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,011","3,443",16,12,1/123,+0,"2,752",10,8,1/153,-596,"1,347",2,4,1/225
2025-10-25,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+408,"1,605",9,1,1/161,+514,"2,101",11,3,1/150,"-1,195","1,786",3,4,1/255
2025-10-24,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+314,755,5,0,1/151,+307,"3,309",13,9,1/150,"+2,613","7,074",33,29,1/114
2025-10-23,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-102,"1,343",5,1,1/224,-592,"1,333",4,2,1/222,-102,847,3,1,1/212
2025-10-22,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+604,"4,702",21,12,1/142,-599,"2,081",4,8,1/173,+796,"4,354",19,11,1/145
2025-10-21,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-498,"2,589",7,6,1/199,+206,"1,904",8,6,1/136,-597,"1,193",2,3,1/239
2025-10-20,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+116,"1,324",6,2,1/166,+795,"3,438",16,10,1/132,-498,"1,012",1,3,1/253
2025-10-19,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-591,"2,907",10,5,1/194,-393,"4,222",15,13,1/151,-498,"2,168",7,4,1/197
2025-10-18,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-899,"2,221",6,4,1/222,-590,"1,902",5,4,1/211,+116,"2,126",9,3,1/177
2025-10-17,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-702,"2,140",4,4,1/268,-105,372,1,1,1/186,"+1,696","4,690",26,11,1/127
2025-10-16,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-501,548,0,1,1/548,-399,745,2,1,1/248,"+1,099","5,156",23,16,1/132
2025-10-15,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-492,"1,458",3,5,1/182,+107,799,4,1,1/160,-198,"1,266",4,3,1/181
2025-10-14,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+903,"2,525",12,10,1/115,+308,"1,269",6,2,1/159,-795,"1,645",3,5,1/206
2025-10-13,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-596,"1,023",2,2,1/256,+0,"1,363",5,2,1/195,-797,"2,856",9,7,1/179
2025-10-12,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-196,"2,522",8,9,1/148,+0,387,1,2,1/129,+0,"5,260",20,13,1/159
2025-10-11,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,091","3,321",5,7,1/277,-896,"2,138",6,4,1/214,-797,"1,711",4,2,1/285
2025-10-10,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+795,"5,254",24,14,1/138,+511,"1,997",10,6,1/125,+0,"4,820",19,9,1/172
2025-10-09,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-302,"1,989",6,7,1/153,"+2,314","8,636",40,33,1/118,+209,583,4,0,1/146
2025-10-08,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-703,"1,184",2,2,1/296,+0,"1,198",5,1,1/200,"+1,205","5,930",28,19,1/126
2025-10-07,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+516,"3,098",13,7,1/155,+497,"2,663",12,10,1/121,-593,"5,798",18,16,1/171
2025-10-05,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,208","6,458",30,19,1/132,-791,"4,549",13,13,1/175,"-1,302","2,706",7,4,1/246
2025-10-04,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-504,"5,523",20,12,1/173,-96,"4,137",16,9,1/165,-396,"5,510",23,8,1/178
2025-10-03,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,012","5,830",29,10,1/149,-996,"2,707",7,4,1/246,"+1,008","4,671",23,7,1/156
2025-10-02,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,092","3,806",10,9,1/200,-901,"2,952",8,3,1/268,-702,776,1,1,1/388
2025-10-01,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,601","4,807",12,11,1/209,-99,"2,870",11,6,1/169,"+6,594","8,406",50,40,1/93
2025-09-30,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-399,"3,853",12,12,1/161,-496,"2,169",7,4,1/197,-897,"4,271",11,12,1/186
2025-09-29,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-98,"1,368",6,3,1/152,+408,783,3,4,1/112,+0,536,1,4,1/107
2025-09-28,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+606,"1,987",10,5,1/132,+116,358,2,0,1/179,-594,"4,415",13,13,1/170
2025-09-27,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+312,"3,174",13,6,1/167,-301,794,2,1,1/265,"+1,104","6,192",30,16,1/135
