日付,曜日,特定日,1401番台,,,,,1402番台,,,,,1403番台,,,,,1404番台,,,,,1405番台,,,,,1406番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-06-05,金,いいえ,-97,614,2,0,1/307,+601,"3,252",12,15,1/120,-103,786,3,1,1/197,-399,"3,341",13,6,1/176,-392,717,2,0,1/359,-500,"1,682",5,3,1/210
2026-06-04,木,はい,-905,"1,188",2,2,1/297,"+2,408","7,583",34,29,1/120,-105,"4,922",20,11,1/159,-390,"1,963",6,3,1/218,-596,"2,369",8,1,1/263,+115,"7,144",32,10,1/170
2026-06-03,水,いいえ,-105,"2,595",8,9,1/153,+603,"1,793",8,6,1/128,"-1,387","2,839",8,3,1/258,+0,976,5,0,1/195,-702,"2,036",4,8,1/170,-302,576,1,1,1/288
2026-06-02,火,いいえ,+109,"2,877",12,4,1/180,+0,0,0,0,-,-191,"2,677",10,7,1/157,+108,"3,110",13,7,1/156,-299,"1,138",4,1,1/228,-395,911,2,1,1/304
2026-06-01,月,はい,-391,"2,135",8,2,1/214,"+3,503","7,948",38,36,1/107,-305,"3,295",10,10,1/165,"+1,813","4,118",24,12,1/114,"-1,305","1,385",1,2,1/462,"+1,607","7,336",32,26,1/126
2026-05-31,日,はい,-599,"6,053",20,17,1/164,-502,"4,355",14,12,1/168,-497,"4,899",16,15,1/158,-596,"2,691",8,5,1/207,+606,"5,966",24,18,1/142,"+2,707","9,076",43,30,1/124
2026-05-30,土,いいえ,+610,"4,458",20,11,1/144,-796,"3,174",9,9,1/176,-793,"3,434",11,6,1/202,+115,"4,668",20,10,1/156,-104,"1,204",5,1,1/201,+804,"7,372",29,25,1/137
2026-05-29,金,いいえ,"-1,693","5,764",17,14,1/186,+402,"6,022",26,15,1/147,-396,"1,772",5,5,1/177,"-1,092","1,222",1,2,1/407,"+1,996","4,097",24,14,1/108,+312,"7,862",28,24,1/151
2026-05-28,木,いいえ,"+1,208","6,764",29,22,1/133,-392,"2,769",9,6,1/185,-391,"3,069",11,6,1/181,-697,"2,429",5,10,1/162,-99,"3,050",12,9,1/145,"+1,297","8,573",35,28,1/136
2026-05-27,水,はい,-197,"3,676",13,12,1/147,-497,"3,747",14,11,1/150,"+1,805","9,193",41,30,1/129,-398,927,2,2,1/232,-190,"2,074",7,3,1/207,"-1,000","5,361",17,12,1/185
2026-05-26,火,いいえ,+208,"2,858",13,6,1/150,-499,"1,036",2,2,1/259,+802,"4,567",19,11,1/152,+313,"2,985",14,5,1/157,-704,"1,837",5,2,1/262,-302,"2,612",9,7,1/163
2026-05-25,月,いいえ,-97,"4,439",17,13,1/148,-191,"3,517",11,9,1/176,-599,"4,721",16,6,1/215,-302,"2,163",8,4,1/180,+0,"3,899",17,5,1/177,"-1,299","2,373",5,6,1/216
2026-05-24,日,はい,+795,"8,296",35,22,1/146,"+3,097","8,297",36,36,1/115,"-1,597","2,453",5,0,1/491,+803,"8,183",36,21,1/144,"+3,300","8,338",39,33,1/116,"-1,191","5,443",16,15,1/176
