日付,曜日,特定日,1401番台,,,,,,,1402番台,,,,,,,1403番台,,,,,,,1427番台,,,,,,,1428番台,,,,,,,1429番台,,,,,,,1430番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-15,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-500,"1,922",6,5,1/175,1/6.31,3.04,-703,"1,059",1,3,1/265,1/5.86,3.07,-197,907,2,2,1/227,1/5.10,3.10,-702,"2,217",4,8,1/185,1/5.59,3.21
2026-06-14,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+107,"1,672",6,4,1/167,1/5.33,3.09,"+1,205","6,285",29,17,1/137,1/5.92,3.11,-698,"1,356",2,5,1/194,1/6.13,3.29,-591,"5,167",17,18,1/148,1/6.21,3.42
2026-06-13,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-702,"2,687",5,10,1/179,1/5.47,3.24,-502,"3,171",11,7,1/176,1/6.04,2.62,"+1,401","7,149",28,30,1/123,1/5.80,4.57,-797,"1,803",4,3,1/258,1/5.74,2.56
2026-06-12,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"1,222",4,4,1/153,1/5.61,3.41,+0,201,1,0,1/201,1/6.00,3.36,"+1,096","2,605",15,7,1/118,1/6.13,3.63,+310,"1,994",8,7,1/133,1/5.79,3.62
2026-06-11,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,498","5,180",12,17,1/179,1/5.85,2.81,-300,"2,005",6,7,1/154,1/6.05,3.41,-305,"2,429",7,8,1/162,1/5.74,3.26,+514,"2,618",13,4,1/154,1/5.78,2.70
2026-06-10,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+311,"1,904",7,7,1/136,1/5.50,3.62,-196,283,1,0,1/283,1/8.11,3.26,-497,818,1,2,1/273,1/5.75,3.11,-102,"1,094",4,2,1/182,1/5.79,3.09
2026-06-09,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,409","5,066",16,9,1/203,1/6.06,1.89,"+1,402","5,591",25,21,1/122,1/5.96,4.29,+799,"3,559",19,5,1/148,1/5.99,2.47,+305,"3,992",18,7,1/160,1/5.91,2.39
2026-06-07,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-592,"2,870",7,10,1/169,1/5.71,3.22,-698,"2,257",7,3,1/226,1/5.94,2.38,-799,"3,712",9,13,1/169,1/5.74,3.17,-595,"1,960",5,3,1/245,1/5.46,2.49
2026-06-06,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-303,"1,503",5,3,1/188,1/5.99,2.95,+210,"2,111",11,4,1/141,1/6.71,3.08,-591,"1,693",4,5,1/188,1/6.03,3.11,"+1,311","7,488",35,20,1/136,1/6.05,3.03
2026-06-05,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-103,"1,011",5,0,1/202,1/6.46,2.81,-305,313,0,0,-,1/5.15,3.12,-498,"1,383",3,4,1/198,1/5.85,3.13,-391,634,1,2,1/211,1/6.51,3.32
