日付,曜日,特定日,1401番台,,,,,,,1402番台,,,,,,,1403番台,,,,,,,1427番台,,,,,,,1428番台,,,,,,,1429番台,,,,,,,1430番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-04-13,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-103,772,3,1,1/193,1/5.99,3.12,"+2,001","2,344",15,12,1/87,1/5.92,4.86,-194,"1,194",5,2,1/171,1/6.68,3.07,-194,200,0,0,-,1/5.13,3.25
2026-04-12,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,314","6,088",28,27,1/111,1/5.82,4.92,"+2,809","6,494",34,25,1/110,1/6.01,4.84,+409,"1,753",7,7,1/125,1/5.64,3.80,-98,"5,008",21,9,1/167,1/6.02,2.14
2026-04-11,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-304,578,1,1,1/289,1/5.63,3.15,+201,"5,307",20,16,1/147,1/5.84,3.12,-98,468,1,0,1/468,1/4.43,3.04,+196,"4,567",19,12,1/147,1/6.07,2.94
2026-04-10,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-498,488,0,0,-,1/5.30,2.92,-99,107,0,0,-,1/4.99,3.37,+0,"1,785",7,3,1/179,1/5.62,2.83,-192,448,1,1,1/224,1/5.93,3.30
2026-04-09,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+314,"3,675",14,14,1/131,1/6.01,3.87,"+2,214","4,173",24,13,1/113,1/5.81,4.12,+207,"4,043",16,14,1/135,1/6.18,3.67,"+1,016","3,124",16,11,1/116,1/6.24,4.04
2026-04-08,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-503,"6,274",16,29,1/139,1/5.76,4.25,-499,"1,426",3,4,1/204,1/5.70,3.08,-305,"1,302",5,2,1/186,1/6.54,2.95,-696,"1,455",2,4,1/243,1/5.50,2.96
2026-04-07,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-96,470,2,0,1/235,1/6.15,3.14,-97,857,4,1,1/171,1/6.77,3.12,-96,866,3,1,1/217,1/5.43,3.01,-296,588,1,0,1/588,1/4.95,2.90
2026-04-05,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+209,772,4,0,1/193,1/5.15,2.98,-192,186,0,0,-,1/5.35,3.27,"+2,315","7,184",32,34,1/109,1/6.04,5.15,"+3,090","6,125",32,26,1/106,1/5.85,5.05
2026-04-04,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,011","8,399",36,29,1/129,1/6.22,4.02,"+2,220","9,064",42,32,1/122,1/6.06,4.42,-703,"6,464",24,15,1/166,1/6.13,2.22,"+1,013","5,720",29,9,1/151,1/5.99,2.08
2026-04-03,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-101,350,1,0,1/350,1/5.15,3.18,-496,438,0,0,-,1/5.73,2.98,-398,753,1,4,1/151,1/6.85,3.66,-594,"1,079",2,1,1/360,1/5.54,2.69
2026-04-02,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-496,920,2,1,1/307,1/5.87,2.86,-501,"1,240",4,0,1/310,1/5.93,2.49,-905,"2,947",10,2,1/246,1/5.97,1.92,-96,"3,006",10,8,1/167,1/5.55,2.91
2026-04-01,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-395,"1,164",3,1,1/291,1/5.38,2.69,-192,"6,313",22,23,1/140,1/6.11,3.71,-298,"4,005",13,14,1/148,1/5.98,3.43,+708,"2,070",9,9,1/115,1/5.69,4.08
2026-03-31,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+313,"1,364",7,2,1/152,1/5.78,3.07,+203,"3,778",16,9,1/151,1/5.99,2.85,-501,"1,733",5,7,1/144,1/6.92,3.62,-593,"1,498",4,3,1/214,1/6.16,2.87
2026-03-30,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,004","1,722",2,6,1/215,1/6.01,3.12,-398,"1,445",4,4,1/181,1/6.06,3.15,+208,"1,156",6,1,1/165,1/5.81,2.97,+610,"1,724",9,4,1/133,1/5.70,3.33
2026-03-29,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"3,429",13,9,1/156,1/5.86,2.95,-100,330,1,0,1/330,1/5.34,3.20,-396,"1,006",2,3,1/201,1/5.84,3.23,-190,"2,942",10,8,1/163,1/5.78,2.98
2026-03-28,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-790,"4,826",17,10,1/179,1/6.07,2.20,-192,"1,386",4,3,1/198,1/5.38,2.99,-98,"2,572",10,7,1/151,1/6.18,3.16,"+2,495","7,733",34,37,1/109,1/6.00,5.20
2026-03-27,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-299,"3,404",11,13,1/142,1/6.17,3.67,-498,534,0,2,1/267,1/6.48,3.34,-697,"3,587",10,13,1/156,1/6.08,3.38,-96,"2,093",6,7,1/161,1/5.44,3.31
2026-03-26,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-301,"1,072",3,2,1/214,1/5.73,3.01,-398,654,1,2,1/218,1/6.36,3.30,-501,867,1,2,1/289,1/5.51,3.05,-395,745,1,2,1/248,1/5.64,3.19
2026-03-25,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-198,599,2,0,1/300,1/5.73,2.98,-500,"1,775",4,6,1/178,1/5.80,3.24,-99,"4,050",16,9,1/162,1/5.97,2.58,-190,399,1,0,1/399,1/5.52,3.12
2026-03-24,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+196,"4,864",19,17,1/135,1/6.19,3.71,+203,660,4,0,1/165,1/5.80,3.11,"+2,713","3,372",24,10,1/99,1/5.99,4.38,+796,"2,670",15,4,1/141,1/6.01,2.82
2026-03-23,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-197,276,0,0,-,1/4.41,3.16,+511,"1,320",8,3,1/120,1/6.45,3.48,-298,721,1,3,1/180,1/5.79,3.46,+115,"2,383",8,8,1/149,1/5.53,3.40
2026-03-22,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+203,"1,330",7,2,1/148,1/6.29,3.11,-392,"1,292",4,2,1/215,1/6.01,2.86,-298,"1,260",4,3,1/180,1/6.16,3.13,-590,"2,776",8,9,1/163,1/6.10,3.19
2026-03-21,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,012","6,359",28,19,1/135,1/5.96,3.38,-198,"1,036",1,6,1/148,1/5.17,3.78,"-1,197","1,100",0,1,1/1100,1/5.91,2.52,+202,"6,671",25,18,1/155,1/5.72,2.62
2026-03-20,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-198,"1,627",6,4,1/163,1/6.23,3.14,-105,"2,224",9,5,1/159,1/6.19,2.99,"+2,806","4,945",28,20,1/103,1/5.95,4.91,+0,"6,721",22,25,1/143,1/5.78,3.70
2026-03-19,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+208,"1,050",5,2,1/150,1/5.72,3.24,-190,245,0,1,1/245,1/5.88,3.44,+112,"3,226",14,8,1/147,1/6.24,3.03,+808,"3,294",13,16,1/114,1/5.90,4.50
2026-03-18,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-195,159,0,0,-,1/6.14,3.30,-96,645,2,2,1/161,1/5.99,3.41,-297,"1,585",6,3,1/176,1/6.41,2.96,-904,804,1,0,1/804,1/7.24,2.67
2026-03-17,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-103,"1,397",4,7,1/127,1/6.23,3.89,-592,"3,411",11,8,1/180,1/5.91,2.60,+112,485,2,1,1/162,1/5.09,3.36,+507,"2,347",13,3,1/147,1/6.20,2.76
2026-03-16,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-500,"1,526",3,5,1/191,1/5.66,3.20,+315,"1,087",5,2,1/155,1/5.21,3.20,-190,947,3,2,1/189,1/5.87,3.16,-705,661,0,1,1/661,1/6.08,2.96
2026-03-15,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+715,"4,862",19,16,1/139,1/5.64,3.50,-198,641,2,1,1/214,1/6.06,3.18,"+2,313","6,553",31,25,1/117,1/5.81,4.58,-500,478,0,1,1/478,1/6.24,3.17
2026-03-14,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-101,"4,050",15,11,1/156,1/5.92,2.91,"+1,696","6,073",28,23,1/119,1/6.00,4.44,-393,"1,362",4,4,1/170,1/6.39,3.25,+601,"5,473",22,18,1/137,1/5.90,3.55
2026-03-13,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-193,179,0,0,-,1/5.51,3.28,-194,244,0,0,-,1/4.61,3.20,-391,"1,036",2,4,1/173,1/6.08,3.43,+713,"1,063",6,3,1/118,1/5.09,3.58
2026-03-12,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-301,913,3,1,1/228,1/6.14,2.96,+0,"1,758",8,4,1/147,1/6.58,3.19,-104,396,2,0,1/198,1/7.61,3.23,+107,791,3,4,1/113,1/6.33,3.82
2026-03-11,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+907,"6,687",26,26,1/129,1/5.91,4.22,"+1,996","6,696",31,28,1/113,1/6.10,4.84,+210,"6,967",24,27,1/137,1/5.89,3.98,-902,"3,945",10,14,1/164,1/5.93,3.23
2026-03-10,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-300,281,0,0,-,1/5.47,3.16,+201,477,3,0,1/159,1/5.56,3.23,+307,"1,084",5,4,1/120,1/5.94,3.68,-595,"1,054",1,5,1/176,1/6.26,3.54
2026-03-09,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-303,244,0,1,1/244,1/8.97,3.45,+111,908,4,1,1/182,1/5.38,3.06,-97,"1,452",6,3,1/161,1/6.30,3.11,-96,791,3,0,1/264,1/5.35,2.86
2026-03-08,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,834,4,0,1/209,1/5.81,2.91,-196,"2,887",11,6,1/170,1/5.95,2.69,-195,"3,695",11,17,1/132,1/6.08,4.15,-97,"1,683",5,6,1/153,1/5.66,3.45
2026-03-07,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"1,665",7,2,1/185,1/5.70,2.73,"-1,092","2,515",5,9,1/180,1/6.29,3.20,-193,"3,524",13,10,1/153,1/6.09,3.07,"-1,299","1,947",4,1,1/389,1/6.07,2.10
2026-03-06,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,209","5,236",25,17,1/125,1/6.16,3.89,-97,101,0,0,-,1/5.10,3.38,-697,"1,602",2,6,1/200,1/5.58,3.25,"+1,006","1,242",9,2,1/113,1/5.55,3.43
2026-03-05,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-496,"1,567",4,4,1/196,1/5.91,3.02,+0,"2,690",10,7,1/158,1/5.78,3.02,-593,939,2,0,1/470,1/5.77,2.62,-397,"1,955",7,2,1/217,1/5.85,2.45
2026-03-04,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-190,476,1,1,1/238,1/5.62,3.27,"+1,206","6,994",29,27,1/125,1/6.01,4.35,-198,566,2,0,1/283,1/6.02,3.02,"+1,010","7,456",31,24,1/136,1/5.91,3.56
2026-03-03,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-192,279,0,0,-,1/4.35,3.16,-100,"3,634",13,8,1/173,1/5.60,2.54,"+1,014","1,260",10,1,1/115,1/5.93,3.27,-504,"1,078",2,1,1/359,1/5.24,2.69
2026-03-01,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-498,"1,458",4,2,1/243,1/5.73,2.69,+0,"4,895",17,15,1/153,1/5.72,3.07,"-1,194","3,053",9,3,1/254,1/5.99,1.94,+609,"4,253",22,8,1/142,1/6.41,2.65
2026-02-28,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+401,"5,567",22,16,1/147,1/5.82,3.03,-591,638,1,0,1/638,1/6.53,2.85,"-1,089","1,667",3,2,1/333,1/6.03,2.42,-594,"3,924",12,11,1/171,1/5.83,2.79
2026-02-27,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+108,"2,702",8,13,1/129,1/5.74,4.11,-504,449,0,0,-,1/5.69,2.96,-698,877,0,2,1/439,1/5.29,2.95,+307,"1,918",9,4,1/148,1/5.88,3.10
2026-02-26,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-97,"2,620",9,10,1/138,1/6.16,3.68,-99,403,1,0,1/403,1/4.74,3.11,-305,628,1,0,1/628,1/4.82,2.86,-191,524,1,1,1/262,1/5.26,3.21
2026-02-25,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,197","2,134",3,6,1/237,1/5.89,2.78,-191,973,3,2,1/195,1/5.74,3.13,-198,437,1,0,1/437,1/5.24,3.07,-303,"3,587",13,9,1/163,1/6.01,2.79
2026-02-24,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-195,173,0,0,-,1/5.71,3.29,-190,"3,885",14,12,1/149,1/6.08,3.21,"+1,096","1,353",11,0,1/123,1/5.78,3.00,-196,"3,845",14,9,1/167,1/5.81,2.62
2026-02-23,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-790,"1,794",3,7,1/179,1/6.11,3.35,-305,"4,854",16,14,1/162,1/5.73,2.83,"+1,611","8,429",36,26,1/136,1/5.73,3.42,"-2,087","3,452",6,9,1/230,1/6.37,2.41
2026-02-22,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-500,"6,191",22,19,1/151,1/6.16,3.03,"+1,504","6,904",29,26,1/126,1/5.82,4.28,+605,"8,129",31,24,1/148,1/5.71,2.90,+516,"6,828",26,27,1/129,1/6.12,4.26
2026-02-21,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,393","4,702",13,11,1/196,1/5.96,2.23,-992,"6,410",21,18,1/164,1/6.08,2.57,-899,"4,340",13,14,1/161,1/6.20,3.08,-696,"6,034",18,23,1/147,1/6.02,3.64
2026-02-20,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+515,"4,458",20,9,1/154,1/5.83,2.51,-705,"2,690",8,6,1/192,1/5.98,2.64,"+2,220","6,516",29,29,1/112,1/5.84,4.93,"-1,194","2,176",3,4,1/311,1/5.43,2.36
2026-02-19,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,502","6,556",30,20,1/131,1/5.87,3.57,"+1,099","8,398",33,32,1/129,1/5.94,4.27,+715,"8,667",36,26,1/140,1/6.04,3.18,"-1,195","2,381",5,5,1/238,1/6.06,2.51
2026-02-18,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-496,"2,248",7,4,1/204,1/5.76,2.58,"-1,299","6,628",17,25,1/158,1/5.91,3.39,+712,"2,448",12,11,1/106,1/6.63,4.36,+902,"7,328",32,19,1/144,1/5.92,2.74
2026-02-17,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+601,"7,842",34,25,1/133,1/6.37,3.63,+0,"1,499",5,5,1/150,1/5.69,3.43,+0,"6,047",24,14,1/159,1/5.92,2.36,-102,"1,462",5,5,1/146,1/6.12,3.47
2026-02-16,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+114,"2,680",11,7,1/149,1/6.00,3.13,+0,"1,229",5,4,1/137,1/6.47,3.51,-300,425,1,0,1/425,1/6.36,3.09,-196,866,2,2,1/217,1/5.25,3.15
2026-02-15,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"2,055",8,4,1/171,1/5.69,2.85,-597,"1,708",4,5,1/190,1/6.00,3.09,-595,"1,563",3,5,1/195,1/5.80,3.16,+0,"2,708",9,12,1/129,1/6.14,4.01
2026-02-14,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-300,"2,523",7,9,1/158,1/5.72,3.38,+209,"1,643",9,0,1/183,1/5.97,2.49,-97,"3,918",15,12,1/145,1/6.21,3.27,"+2,712","5,896",33,17,1/118,1/5.86,3.96
2026-02-13,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-597,"1,244",2,5,1/178,1/6.28,3.42,+116,"2,592",9,8,1/152,1/5.55,3.27,-199,174,0,0,-,1/5.78,3.29,"+1,810","3,300",21,5,1/127,1/5.71,2.92
2026-02-12,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-502,698,0,3,1/233,1/5.73,3.38,-304,190,0,0,-,1/8.61,3.27,-396,677,2,0,1/339,1/6.48,2.90,"+1,310","5,425",25,17,1/129,1/5.88,3.68
2026-02-11,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-795,912,1,1,1/456,1/6.21,2.78,"+1,013","2,877",15,9,1/120,1/6.03,3.78,-196,"1,142",4,1,1/228,1/5.59,2.80,+113,"5,747",20,21,1/140,1/5.88,3.70
2026-02-10,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,456,1,2,1/152,1/5.07,3.54,+115,713,3,3,1/119,1/6.29,3.68,+609,"1,295",7,3,1/130,1/5.42,3.40,+202,"1,458",6,4,1/146,1/5.66,3.34
2026-02-09,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-191,"1,859",5,9,1/133,1/6.09,3.91,-597,"2,436",8,5,1/187,1/6.17,2.68,+112,"1,442",5,5,1/144,1/5.56,3.49,+0,701,3,1,1/175,1/5.87,3.21
2026-02-08,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-898,"3,413",10,9,1/180,1/6.12,2.72,+0,862,3,3,1/144,1/5.90,3.50,-194,"1,546",6,2,1/193,1/5.94,2.77,-399,"1,620",4,5,1/180,1/5.75,3.19
2026-02-07,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+401,"1,519",7,5,1/127,1/5.85,3.61,-395,"3,792",15,8,1/165,1/6.30,2.55,-305,"1,317",5,1,1/220,1/6.10,2.70,"+1,201","4,827",25,14,1/124,1/6.39,3.69
2026-02-06,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-301,"2,689",10,4,1/192,1/5.80,2.40,"-1,194","1,161",1,2,1/387,1/7.10,2.74,-398,"1,133",3,1,1/283,1/5.49,2.72,-196,304,1,0,1/304,1/7.32,3.23
2026-02-05,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-498,"3,418",11,12,1/149,1/6.29,3.44,+904,"1,852",9,10,1/97,1/6.02,4.48,+0,"3,750",16,9,1/150,1/6.29,2.88,"+1,204","2,396",15,3,1/133,1/5.69,2.90
2026-02-04,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+512,"1,257",7,3,1/126,1/5.85,3.45,-196,761,2,1,1/254,1/5.29,3.04,+497,"5,009",18,19,1/135,1/5.72,3.87,-903,"1,872",4,3,1/267,1/5.80,2.50
2026-02-02,月,いいえ,-392,"1,212",4,1,1/242,1/6.00,2.73,-305,673,2,0,1/337,1/5.88,2.90,-501,"1,209",3,3,1/202,1/6.26,3.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-01,日,はい,-699,"3,708",11,9,1/185,1/5.74,2.53,-195,"2,016",8,3,1/183,1/5.99,2.67,-296,"2,739",9,8,1/161,1/5.93,3.10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-31,土,はい,"-1,301","4,649",13,15,1/166,1/6.32,2.99,-193,956,3,2,1/191,1/5.83,3.15,"+1,505","7,119",34,20,1/132,1/6.05,3.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-30,金,いいえ,-497,"1,496",3,4,1/214,1/5.49,3.00,"+2,313","4,993",28,19,1/106,1/6.27,4.74,-101,543,1,3,1/136,1/5.85,3.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-29,木,いいえ,-301,"4,389",16,11,1/163,1/5.96,2.66,+0,"2,144",7,8,1/143,1/5.78,3.58,"+1,399","5,340",27,16,1/124,1/6.22,3.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-28,水,いいえ,"+1,003","2,639",15,7,1/120,1/6.22,3.59,-101,967,4,2,1/161,1/6.50,3.24,+205,"3,055",13,8,1/145,1/6.06,3.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-27,火,いいえ,"+1,100","3,747",20,9,1/129,1/6.12,3.26,+204,"1,134",6,1,1/162,1/5.92,3.00,-698,901,1,2,1/300,1/6.28,3.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-26,月,いいえ,+206,"2,559",12,6,1/142,1/6.37,3.13,"+1,700","4,641",23,17,1/116,1/5.92,4.31,"-1,492","1,919",2,4,1/320,1/6.15,2.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-25,日,いいえ,+514,"4,175",19,8,1/155,1/5.82,2.49,-104,"1,252",6,0,1/209,1/6.18,2.64,-496,"1,215",2,4,1/203,1/5.68,3.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-24,土,はい,-398,"6,913",24,27,1/136,1/6.35,4.03,"-1,386","2,710",4,6,1/271,1/5.52,2.35,+514,"5,881",23,20,1/137,1/5.93,3.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-23,金,いいえ,-998,"1,754",2,6,1/219,1/5.90,3.08,-391,706,2,0,1/353,1/6.18,2.86,"+1,509","3,679",20,14,1/108,1/6.32,4.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-22,木,いいえ,-500,"1,515",5,2,1/216,1/6.26,2.72,-96,"2,118",8,7,1/141,1/6.37,3.48,+210,"1,763",8,2,1/176,1/5.52,2.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-21,水,はい,-305,"2,234",7,7,1/160,1/5.98,3.25,+0,"1,167",5,2,1/167,1/6.00,3.10,+0,893,5,0,1/179,1/6.76,2.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-20,火,いいえ,-499,909,2,0,1/455,1/5.51,2.65,+514,"1,857",10,0,1/186,1/5.29,2.37,-899,"1,801",4,4,1/225,1/6.24,2.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-19,月,いいえ,-98,671,2,2,1/168,1/5.80,3.38,-396,547,1,1,1/274,1/6.73,3.19,-303,"1,374",5,3,1/172,1/6.54,3.10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-18,日,いいえ,+207,"4,913",20,16,1/136,1/6.26,3.54,"+1,501","3,450",19,12,1/111,1/6.13,4.19,-904,"2,218",6,4,1/222,1/6.17,2.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-17,土,いいえ,"+2,495","7,125",33,30,1/113,1/5.88,4.91,"+1,007","2,407",14,5,1/127,1/5.93,3.28,+0,515,2,0,1/258,1/5.01,3.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-16,金,いいえ,-798,"1,522",4,0,1/381,1/5.83,2.25,-193,"1,225",4,3,1/175,1/5.92,3.17,"-1,004","1,001",1,0,1/1001,1/6.22,2.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-15,木,いいえ,-193,515,1,1,1/258,1/5.33,3.22,-393,999,2,3,1/200,1/5.86,3.23,-96,747,3,0,1/249,1/5.57,2.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-14,水,はい,-98,554,2,0,1/277,1/5.39,3.04,+601,"5,050",18,24,1/120,1/6.00,4.61,"+2,310","6,102",32,19,1/120,1/5.94,4.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-13,火,いいえ,-103,"1,037",4,2,1/173,1/6.08,3.15,+110,"1,572",7,4,1/143,1/6.24,3.31,-297,307,0,1,1/307,1/6.41,3.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
