日付,曜日,特定日,1501番台,,,,,,,1502番台,,,,,,,1503番台,,,,,,,1504番台,,,,,,,1505番台,,,,,,,1506番台,,,,,,,1507番台,,,,,,,1508番台,,,,,,,1509番台,,,,,,,1510番台,,,,,,
,,,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差
2026-05-01,金,はい,"+2,707","5,668",0,14,1/405,-,-,"-3,199","4,169",0,15,1/278,-,-,"+2,497","5,984",0,18,1/332,-,-,+715,"6,085",0,17,1/358,-,-,"+4,913","6,436",0,18,1/358,-,-,"-3,994","5,269",0,20,1/263,-,-,"-1,686","2,755",0,5,1/551,-,-,"-1,391","5,105",0,17,1/300,-,-,"-1,702","5,023",0,16,1/314,-,-,-702,"4,795",0,16,1/300,-,-
2026-04-30,木,いいえ,"-1,000","5,488",0,20,1/274,-,-,-210,"3,489",0,8,1/436,-,-,-905,"1,443",0,8,1/180,-,-,-597,"3,832",0,14,1/274,-,-,-699,"1,612",0,8,1/202,-,-,-485,"3,863",0,11,1/351,-,-,-186,"3,479",0,8,1/435,-,-,"+1,402","5,437",0,26,1/209,-,-,"-1,090",936,0,2,1/468,-,-,+314,"1,128",0,6,1/188,-,-
2026-04-29,水,いいえ,+803,"4,342",0,14,1/310,-,-,+909,"4,066",0,15,1/271,-,-,"-1,407","3,532",0,11,1/321,-,-,"-1,007","4,958",0,14,1/354,-,-,-502,773,0,3,1/258,-,-,"+3,090","6,210",0,19,1/327,-,-,"-2,701","3,171",0,8,1/396,-,-,"-2,886","5,911",0,16,1/369,-,-,+499,"3,291",0,10,1/329,-,-,"+3,327","5,031",0,13,1/387,-,-
2026-04-28,火,いいえ,"+2,401","4,313",0,16,1/270,-,-,"+2,405","3,407",0,12,1/284,-,-,-97,"2,266",0,5,1/453,-,-,+200,"3,688",0,15,1/246,-,-,"-1,904","2,017",0,5,1/403,-,-,-786,"1,710",0,10,1/171,-,-,-484,"4,237",0,14,1/303,-,-,"-1,305","1,419",0,2,1/710,-,-,"+3,326","6,280",0,24,1/262,-,-,"+6,094","3,333",0,7,1/476,-,-
2026-04-27,月,はい,"-1,296","2,113",0,6,1/352,-,-,-700,"2,807",0,13,1/216,-,-,"-1,190","1,879",0,10,1/188,-,-,"+1,612","6,051",0,21,1/288,-,-,"+1,102","6,143",0,23,1/267,-,-,+113,749,0,3,1/250,-,-,"-5,513","4,788",0,19,1/252,-,-,"+2,803","3,639",0,10,1/364,-,-,+405,"2,212",0,11,1/201,-,-,"-1,190","3,446",0,12,1/287,-,-
2026-04-26,日,いいえ,"-1,291","3,767",0,16,1/235,-,-,"-3,079","5,413",0,19,1/285,-,-,"-2,207","3,838",0,12,1/320,-,-,+197,"3,214",0,10,1/321,-,-,-796,"5,337",0,21,1/254,-,-,"-2,491","5,253",0,16,1/328,-,-,"-2,399","4,095",0,12,1/341,-,-,"-1,493","3,140",0,8,1/393,-,-,"+1,100","4,635",0,14,1/331,-,-,"-2,484","3,094",0,12,1/258,-,-
2026-04-25,土,いいえ,"-2,395","5,114",0,17,1/301,-,-,-298,"4,261",0,15,1/284,-,-,"-1,286","2,699",0,6,1/450,-,-,"+1,090","3,885",0,15,1/259,-,-,"-1,389","5,927",0,25,1/237,-,-,"-1,086",950,0,2,1/475,-,-,"-1,301","2,394",0,12,1/200,-,-,+0,"2,829",0,12,1/236,-,-,"-2,210","4,725",0,14,1/338,-,-,"-1,087","4,852",0,11,1/441,-,-
2026-04-24,金,はい,"-1,689","4,350",0,11,1/395,-,-,"+2,621","6,059",0,21,1/289,-,-,"+1,809","4,232",0,19,1/223,-,-,+411,"6,554",0,23,1/285,-,-,"-1,296","5,646",0,24,1/235,-,-,"-2,486","3,853",0,11,1/350,-,-,-595,"1,255",0,4,1/314,-,-,"+2,714","6,073",0,22,1/276,-,-,+0,"3,930",0,14,1/281,-,-,-998,"5,626",0,23,1/245,-,-
2026-04-23,木,いいえ,"+1,916","5,231",0,14,1/374,-,-,"-1,493","2,934",0,9,1/326,-,-,"-1,688","1,985",0,6,1/331,-,-,"+1,609",647,0,2,1/324,-,-,"-1,086","2,268",0,9,1/252,-,-,"-2,393","2,673",0,6,1/446,-,-,"+2,913","4,414",0,15,1/294,-,-,"-1,085","1,791",0,6,1/299,-,-,"-1,903","1,765",0,4,1/441,-,-,+0,0,0,0,-,-,-
2026-04-22,水,いいえ,+408,"3,789",0,17,1/223,-,-,"-4,195","5,543",0,13,1/426,-,-,"+2,003","4,973",0,18,1/276,-,-,-488,"2,563",0,10,1/256,-,-,"-1,199","1,972",0,6,1/329,-,-,"+2,799","5,781",0,18,1/321,-,-,"-1,797","1,730",0,4,1/433,-,-,"-2,605","2,921",0,8,1/365,-,-,"-1,194","3,088",0,12,1/257,-,-,"-1,193","1,792",0,5,1/358,-,-
2026-04-21,火,はい,"-1,087","5,254",0,24,1/219,-,-,"+1,297","6,340",0,23,1/276,-,-,"+4,420","6,143",0,23,1/267,-,-,"-1,497","5,992",0,24,1/250,-,-,"-2,398","4,663",0,12,1/389,-,-,+711,"5,215",0,20,1/261,-,-,"-1,304","5,435",0,22,1/247,-,-,-896,"5,617",0,22,1/255,-,-,"-1,003","6,527",0,22,1/297,-,-,"+3,920","6,184",0,22,1/281,-,-
2026-04-19,日,いいえ,"+1,508","4,426",0,15,1/295,-,-,"-1,402","4,148",0,15,1/277,-,-,"-1,687","5,132",0,17,1/302,-,-,"+1,917","5,633",0,16,1/352,-,-,"+1,014","2,935",0,10,1/294,-,-,"+5,816","6,795",0,14,1/485,-,-,"+1,801","3,589",0,13,1/276,-,-,"-2,203","4,097",0,10,1/410,-,-,-886,"4,413",0,13,1/339,-,-,"-2,603","3,344",0,9,1/372,-,-
2026-04-18,土,いいえ,+609,"5,879",0,23,1/256,-,-,"-1,007","4,149",0,15,1/277,-,-,"-3,086","5,648",0,16,1/353,-,-,"+3,509","5,788",0,16,1/362,-,-,+897,"4,724",0,20,1/236,-,-,"+8,001","5,694",0,17,1/335,-,-,"-1,597","5,427",0,15,1/362,-,-,-484,"4,706",0,18,1/261,-,-,"+2,508","6,163",0,23,1/268,-,-,"-2,790","6,058",0,20,1/303,-,-
2026-04-17,金,はい,"+4,097","2,961",0,10,1/296,-,-,"-3,084","2,647",0,8,1/331,-,-,"-1,996","2,663",0,8,1/333,-,-,"-4,403","4,181",0,14,1/299,-,-,"-1,687","3,888",0,12,1/324,-,-,"-3,080","4,021",0,14,1/287,-,-,+409,"3,414",0,9,1/379,-,-,"+2,622","4,708",0,11,1/428,-,-,"-1,085","1,556",0,5,1/311,-,-,"+1,909","2,642",0,4,1/661,-,-
2026-04-16,木,いいえ,"-1,003","2,326",0,8,1/291,-,-,-194,348,0,2,1/174,-,-,-787,"2,017",0,9,1/224,-,-,-398,761,0,3,1/254,-,-,-595,613,0,3,1/204,-,-,+111,"2,041",0,12,1/170,-,-,-302,608,0,1,1/608,-,-,"+4,525","2,433",0,8,1/304,-,-,"+2,003","2,715",0,10,1/272,-,-,-502,"1,313",0,5,1/263,-,-
2026-04-15,水,いいえ,-297,"1,780",0,5,1/356,-,-,"+4,202","4,040",0,8,1/505,-,-,-485,"5,798",0,22,1/264,-,-,"+1,209","1,580",0,7,1/226,-,-,-199,"2,151",0,8,1/269,-,-,"+1,999","3,648",0,9,1/405,-,-,"-1,684","3,245",0,12,1/270,-,-,-898,"3,095",0,11,1/281,-,-,+199,"2,935",0,9,1/326,-,-,+805,"1,731",0,7,1/247,-,-
2026-04-14,火,はい,+502,"7,368",0,23,1/320,-,-,"-1,291","6,641",0,31,1/214,-,-,-592,"6,074",0,24,1/253,-,-,"-3,402","6,865",0,22,1/312,-,-,"+7,103","6,350",0,18,1/353,-,-,"-5,178","6,212",0,21,1/296,-,-,"-1,994","6,895",0,21,1/328,-,-,"-2,091","7,396",0,28,1/264,-,-,+315,"6,774",0,22,1/308,-,-,"+5,606","7,044",0,23,1/306,-,-
2026-04-13,月,いいえ,"+2,504","5,422",0,18,1/301,-,-,-195,"1,277",0,6,1/213,-,-,"+1,316","5,671",0,24,1/236,-,-,"+3,921","5,161",0,20,1/258,-,-,"-1,299","2,608",0,9,1/290,-,-,+916,"4,034",0,9,1/448,-,-,-897,"4,852",0,12,1/404,-,-,+0,375,0,2,1/188,-,-,"-1,898","1,838",0,8,1/230,-,-,"-1,600","1,997",0,10,1/200,-,-
2026-04-12,日,いいえ,-96,"3,962",0,12,1/330,-,-,"-1,084","6,975",0,23,1/303,-,-,-599,629,0,4,1/157,-,-,-895,"4,806",0,15,1/320,-,-,"+1,202","4,366",0,19,1/230,-,-,-591,"3,990",0,15,1/266,-,-,"+2,596","4,401",0,14,1/314,-,-,"+6,219","4,454",0,13,1/343,-,-,"+2,497","7,347",0,24,1/306,-,-,"-1,596","2,509",0,9,1/279,-,-
2026-04-11,土,はい,"-1,903","5,362",0,19,1/282,-,-,+89,"7,063",0,23,1/307,-,-,"+1,508","6,834",0,26,1/263,-,-,+116,"5,476",0,17,1/322,-,-,"+6,124","6,560",0,19,1/345,-,-,"+1,010","5,355",0,22,1/243,-,-,+0,"5,012",0,18,1/278,-,-,-104,"6,137",0,21,1/292,-,-,"-3,287","5,431",0,17,1/319,-,-,+606,"5,150",0,18,1/286,-,-
2026-04-10,金,いいえ,"+7,830","3,453",0,7,1/493,-,-,-596,"1,305",0,4,1/326,-,-,"-1,385","4,990",0,22,1/227,-,-,"+1,314","5,743",0,21,1/273,-,-,-799,"1,533",0,7,1/219,-,-,"+4,313","4,290",0,12,1/358,-,-,"-4,692","4,746",0,17,1/279,-,-,"-1,005","1,884",0,5,1/377,-,-,"-1,390","6,555",0,22,1/298,-,-,-497,"3,213",0,14,1/230,-,-
2026-04-09,木,いいえ,"-2,092","4,974",0,15,1/332,-,-,"-1,002","3,889",0,11,1/354,-,-,"-2,090","3,957",0,15,1/264,-,-,"+2,312","3,976",0,11,1/361,-,-,+0,"5,810",0,25,1/232,-,-,"-1,004","6,610",0,19,1/348,-,-,"+1,100","6,562",0,23,1/285,-,-,"-2,091","3,627",0,12,1/302,-,-,"-2,700","5,301",0,19,1/279,-,-,"-3,581","5,492",0,20,1/275,-,-
2026-04-08,水,いいえ,"+2,404","5,505",0,21,1/262,-,-,"-1,896","1,846",0,6,1/308,-,-,+905,"3,529",0,12,1/294,-,-,"-3,080","3,306",0,8,1/413,-,-,"-2,411","5,954",0,23,1/259,-,-,"-1,685","4,969",0,22,1/226,-,-,+309,"2,033",0,7,1/290,-,-,"-1,497","1,656",0,6,1/276,-,-,"-1,004","1,982",0,7,1/283,-,-,"-1,088","1,401",0,5,1/280,-,-
2026-04-07,火,はい,"+6,709","7,332",0,18,1/407,-,-,"+6,782","5,807",0,15,1/387,-,-,"-1,795","4,037",0,17,1/237,-,-,+309,"4,548",0,10,1/455,-,-,+900,"5,406",0,17,1/318,-,-,+198,"6,167",0,23,1/268,-,-,"-2,607","2,014",0,5,1/403,-,-,"+1,420","6,466",0,26,1/249,-,-,-497,"4,793",0,15,1/320,-,-,"+5,892","6,411",0,15,1/427,-,-
2026-04-05,日,いいえ,"-1,686","4,882",0,21,1/232,-,-,"+3,212","6,217",0,16,1/389,-,-,"+1,608","6,604",0,32,1/206,-,-,+502,"5,691",0,18,1/316,-,-,"-2,398","7,069",0,23,1/307,-,-,"+2,724","6,258",0,20,1/313,-,-,"+1,416","6,578",0,21,1/313,-,-,"+5,322","7,144",0,26,1/275,-,-,"+1,112","5,091",0,12,1/424,-,-,"-2,393","4,451",0,15,1/297,-,-
2026-04-04,土,はい,-784,"5,796",0,18,1/322,-,-,"-1,087","6,057",0,24,1/252,-,-,"-2,794","4,706",0,17,1/277,-,-,-485,"6,517",0,26,1/251,-,-,"-1,392","5,934",0,20,1/297,-,-,"-4,799","5,123",0,17,1/301,-,-,-398,"5,956",0,17,1/350,-,-,+714,"6,491",0,22,1/295,-,-,"+6,125","6,307",0,19,1/332,-,-,"+5,319","6,595",0,29,1/227,-,-
2026-04-03,金,いいえ,+615,"6,643",0,26,1/256,-,-,-184,"1,695",0,7,1/242,-,-,"-2,486","2,904",0,14,1/207,-,-,"-1,389","4,281",0,12,1/357,-,-,"-1,200","6,143",0,15,1/410,-,-,"-2,091","3,293",0,15,1/220,-,-,"+3,116","4,911",0,18,1/273,-,-,"-2,611","4,727",0,16,1/295,-,-,"-2,393","2,781",0,11,1/253,-,-,"+1,515","5,330",0,21,1/254,-,-
2026-04-02,木,いいえ,"-1,684","4,057",0,15,1/270,-,-,"-1,599","3,491",0,11,1/317,-,-,"-1,499","4,181",0,16,1/261,-,-,"-2,785","3,877",0,11,1/352,-,-,"-1,002","1,418",0,2,1/709,-,-,"-1,408","3,836",0,13,1/295,-,-,"+1,614","5,967",0,26,1/230,-,-,+810,"6,189",0,23,1/269,-,-,-696,"5,022",0,18,1/279,-,-,-916,"7,356",0,28,1/263,-,-
2026-04-01,水,はい,"-2,084","6,714",0,21,1/320,-,-,"-2,587","5,491",0,17,1/323,-,-,"+1,111","6,921",0,21,1/330,-,-,"-2,697","4,852",0,14,1/347,-,-,"+8,995","4,492",0,12,1/374,-,-,"+1,421","4,348",0,17,1/256,-,-,"+1,015","6,725",0,21,1/320,-,-,-791,"5,850",0,20,1/293,-,-,"-2,703","7,170",0,24,1/299,-,-,"+2,010","5,672",0,14,1/405,-,-
2026-03-31,火,はい,+0,"5,749",0,21,1/274,-,-,"+1,805","4,457",0,14,1/318,-,-,"+2,597","5,805",0,24,1/242,-,-,"+5,726","5,965",0,17,1/351,-,-,"+3,712","6,075",0,19,1/320,-,-,"+4,994","5,294",0,18,1/294,-,-,"-2,092","4,873",0,19,1/256,-,-,+110,"5,844",0,19,1/308,-,-,"+2,896","5,600",0,16,1/350,-,-,"-5,390","4,708",0,15,1/314,-,-
2026-03-30,月,いいえ,"-1,002","1,834",0,4,1/459,-,-,"+2,502","4,630",0,15,1/309,-,-,-396,477,0,1,1/477,-,-,-104,"4,565",0,22,1/208,-,-,+302,"6,266",0,26,1/241,-,-,"-1,491","2,752",0,10,1/275,-,-,-703,"3,055",0,11,1/278,-,-,"-1,090","1,192",0,5,1/238,-,-,"+4,411","5,510",0,16,1/344,-,-,+908,"4,304",0,13,1/331,-,-
2026-03-29,日,いいえ,"+1,095","5,743",0,20,1/287,-,-,"+1,212","5,533",0,21,1/263,-,-,"-1,691","4,091",0,11,1/372,-,-,"+3,296","5,722",0,15,1/381,-,-,"-1,284","6,353",0,19,1/334,-,-,"+4,901","6,349",0,23,1/276,-,-,"+2,216","5,319",0,17,1/313,-,-,"-3,702","6,620",0,18,1/368,-,-,-394,"6,372",0,22,1/290,-,-,"-3,980","6,730",0,18,1/374,-,-
2026-03-28,土,いいえ,"-3,997","6,161",0,26,1/237,-,-,"+3,391","4,538",0,13,1/349,-,-,"+2,310","5,969",0,25,1/239,-,-,"-1,300","5,686",0,25,1/227,-,-,"-1,692","4,691",0,16,1/293,-,-,"+1,915","4,468",0,11,1/406,-,-,"+4,096","4,879",0,16,1/305,-,-,"+1,310","5,903",0,26,1/227,-,-,-85,"3,825",0,13,1/294,-,-,-703,"4,634",0,14,1/331,-,-
2026-03-27,金,はい,"+3,918","5,591",0,17,1/329,-,-,"-2,488","2,444",0,9,1/272,-,-,"-1,495","5,772",0,22,1/262,-,-,+712,"4,651",0,18,1/258,-,-,"+3,815","6,704",0,15,1/447,-,-,"+4,909","3,623",0,12,1/302,-,-,"+1,922","3,477",0,11,1/316,-,-,"-1,991","2,681",0,8,1/335,-,-,"-1,190","3,036",0,10,1/304,-,-,"-1,685","5,203",0,15,1/347,-,-
2026-03-26,木,いいえ,+908,"4,072",0,18,1/226,-,-,+107,"1,854",0,7,1/265,-,-,"-1,491","1,769",0,5,1/354,-,-,+113,"2,653",0,9,1/295,-,-,-892,"3,137",0,10,1/314,-,-,-297,607,0,3,1/202,-,-,+601,"2,089",0,9,1/232,-,-,+109,"5,580",0,22,1/254,-,-,-197,728,0,3,1/243,-,-,-194,"3,340",0,10,1/334,-,-
2026-03-25,水,いいえ,"-2,607","4,442",0,14,1/317,-,-,+115,"3,904",0,16,1/244,-,-,"+6,406","4,047",0,11,1/368,-,-,"+1,204","5,102",0,15,1/340,-,-,-591,"1,405",0,4,1/351,-,-,"+3,593","4,524",0,13,1/348,-,-,"-3,002","3,758",0,11,1/342,-,-,-704,"5,168",0,19,1/272,-,-,"+1,822","5,693",0,23,1/248,-,-,"+4,004","7,459",0,21,1/355,-,-
2026-03-24,火,はい,"-1,297","3,983",0,12,1/332,-,-,"-1,384","4,633",0,17,1/273,-,-,"-1,197","4,869",0,17,1/286,-,-,+903,"6,144",0,22,1/279,-,-,+112,"4,997",0,16,1/312,-,-,+109,"3,087",0,9,1/343,-,-,"-2,906","4,458",0,18,1/248,-,-,"-2,394","3,841",0,13,1/295,-,-,-701,"5,664",0,23,1/246,-,-,"+5,319","4,000",0,11,1/364,-,-
2026-03-23,月,いいえ,"-1,594","6,491",0,33,1/197,-,-,"+2,495","4,624",0,14,1/330,-,-,"+1,008","3,567",0,9,1/396,-,-,"-1,409","4,837",0,20,1/242,-,-,"-1,693","2,812",0,11,1/256,-,-,-305,472,0,3,1/157,-,-,"+3,421","5,517",0,17,1/325,-,-,"-1,089","4,788",0,18,1/266,-,-,-492,"2,776",0,8,1/347,-,-,"-1,191","5,592",0,17,1/329,-,-
2026-03-22,日,いいえ,"-2,394","4,887",0,16,1/305,-,-,+0,"3,494",0,10,1/349,-,-,-791,"6,980",0,27,1/259,-,-,"-2,087","4,715",0,22,1/214,-,-,"-1,297","2,453",0,10,1/245,-,-,"-3,006","6,375",0,20,1/319,-,-,"-1,591","3,794",0,12,1/316,-,-,+712,"2,824",0,12,1/235,-,-,"-1,390","4,779",0,22,1/217,-,-,"+1,296","5,121",0,18,1/285,-,-
2026-03-21,土,はい,"-5,674","6,177",0,22,1/281,-,-,"+5,524","5,993",0,20,1/300,-,-,"-2,792","6,401",0,25,1/256,-,-,"-3,587","6,219",0,20,1/311,-,-,"+10,037","4,874",0,13,1/375,-,-,"-1,903","6,031",0,20,1/302,-,-,"+1,822","6,567",0,17,1/386,-,-,"-4,586","6,183",0,19,1/325,-,-,"-1,194","6,599",0,21,1/314,-,-,"-1,898","6,013",0,22,1/273,-,-
2026-03-20,金,いいえ,"+3,001","5,455",0,20,1/273,-,-,"+2,405","5,979",0,19,1/315,-,-,-101,"3,453",0,14,1/247,-,-,"+3,501","6,706",0,25,1/268,-,-,"+4,203","4,643",0,14,1/332,-,-,"+1,607","5,897",0,20,1/295,-,-,"+5,811","5,398",0,11,1/491,-,-,-791,"5,948",0,19,1/313,-,-,"+1,697","6,654",0,28,1/238,-,-,"-2,701","4,153",0,13,1/319,-,-
2026-03-19,木,いいえ,"-2,700","3,231",0,7,1/462,-,-,+307,"2,185",0,6,1/364,-,-,+207,"2,820",0,9,1/313,-,-,+708,"1,815",0,6,1/303,-,-,-596,"6,001",0,25,1/240,-,-,"-1,296","6,434",0,23,1/280,-,-,+715,"3,020",0,14,1/216,-,-,"+1,701","2,249",0,6,1/375,-,-,-593,"1,729",0,6,1/288,-,-,"-1,192","5,470",0,21,1/260,-,-
2026-03-18,水,いいえ,"-1,805","2,101",0,9,1/233,-,-,"-2,499","5,437",0,20,1/272,-,-,-697,"2,882",0,7,1/412,-,-,"+5,687","6,986",0,25,1/279,-,-,-102,"2,849",0,9,1/317,-,-,"+1,504","6,340",0,17,1/373,-,-,"-1,389","5,410",0,20,1/271,-,-,"+2,620","6,776",0,22,1/308,-,-,-299,"6,526",0,24,1/272,-,-,"-1,808","3,856",0,15,1/257,-,-
2026-03-17,火,はい,+802,"4,537",0,18,1/252,-,-,"+1,013","4,067",0,16,1/254,-,-,"-1,404","4,679",0,13,1/360,-,-,+598,"5,219",0,15,1/348,-,-,"+1,510","5,108",0,20,1/255,-,-,"+1,510","7,427",0,34,1/218,-,-,-705,"2,427",0,7,1/347,-,-,"+1,822","4,879",0,12,1/407,-,-,-493,"3,174",0,12,1/265,-,-,"-1,287","4,863",0,13,1/374,-,-
2026-03-16,月,いいえ,"+5,022","3,312",0,9,1/368,-,-,"+3,216","2,919",0,9,1/324,-,-,+0,729,0,2,1/365,-,-,"-3,985","4,363",0,12,1/364,-,-,"-2,488","2,795",0,11,1/254,-,-,-897,"2,948",0,11,1/268,-,-,"+2,713","4,955",0,17,1/291,-,-,-996,"1,091",0,4,1/273,-,-,"+5,816","5,218",0,18,1/290,-,-,-304,907,0,5,1/181,-,-
2026-03-15,日,いいえ,+503,"6,222",0,25,1/249,-,-,"-2,392","5,074",0,20,1/254,-,-,"-1,191","5,765",0,20,1/288,-,-,+804,"4,583",0,22,1/208,-,-,"-3,912","6,374",0,25,1/255,-,-,"-1,598","6,242",0,22,1/284,-,-,-405,"6,039",0,22,1/275,-,-,+500,"5,382",0,18,1/299,-,-,"-2,084","7,514",0,29,1/259,-,-,"+1,102","4,024",0,14,1/287,-,-
2026-03-14,土,はい,"+6,217","6,955",0,26,1/268,-,-,"+3,803","7,870",0,28,1/281,-,-,"+2,497","6,887",0,21,1/328,-,-,"+3,595","5,542",0,18,1/308,-,-,"-1,989","5,654",0,22,1/257,-,-,"+2,404","6,653",0,24,1/277,-,-,"+3,302","7,071",0,30,1/236,-,-,"+3,301","6,156",0,19,1/324,-,-,"-1,002","5,883",0,25,1/235,-,-,"+8,609","7,226",0,24,1/301,-,-
2026-03-13,金,いいえ,"+2,213","3,715",0,11,1/338,-,-,"-1,493","2,747",0,13,1/211,-,-,-390,"2,505",0,7,1/358,-,-,"-1,692","1,760",0,5,1/352,-,-,"+2,807","5,190",0,14,1/371,-,-,-592,801,0,3,1/267,-,-,"+4,202","6,182",0,20,1/309,-,-,-791,"2,039",0,4,1/510,-,-,"+1,702","3,603",0,8,1/450,-,-,-791,"3,026",0,15,1/202,-,-
2026-03-12,木,いいえ,"-1,304","3,465",0,10,1/347,-,-,"-1,197","4,986",0,16,1/312,-,-,-791,"1,143",0,3,1/381,-,-,+204,"1,573",0,5,1/315,-,-,"+1,395","4,732",0,17,1/278,-,-,"-1,990","2,478",0,6,1/413,-,-,"-1,196","2,108",0,5,1/422,-,-,-997,"2,647",0,11,1/241,-,-,"-2,397","2,431",0,9,1/270,-,-,+403,"2,390",0,7,1/341,-,-
2026-03-11,水,はい,-599,"7,539",0,25,1/302,-,-,"-3,410","5,374",0,15,1/358,-,-,"+3,596","6,134",0,25,1/245,-,-,+798,"6,376",0,19,1/336,-,-,-399,"6,154",0,22,1/280,-,-,"-3,498","6,551",0,23,1/285,-,-,"-3,290","4,732",0,15,1/315,-,-,+799,"5,828",0,19,1/307,-,-,"-3,404","5,290",0,19,1/278,-,-,-100,"5,249",0,16,1/328,-,-
2026-03-10,火,いいえ,-912,"5,429",0,20,1/271,-,-,-697,608,0,2,1/304,-,-,-492,"2,120",0,8,1/265,-,-,"-1,995","2,373",0,9,1/264,-,-,"-2,705","2,878",0,9,1/320,-,-,"-2,300","2,902",0,7,1/415,-,-,"-1,685","2,865",0,8,1/358,-,-,-894,"2,351",0,8,1/294,-,-,"-2,092","5,012",0,15,1/334,-,-,"-1,087","1,345",0,5,1/269,-,-
2026-03-09,月,いいえ,"-1,495","4,202",0,15,1/280,-,-,-395,882,0,3,1/294,-,-,-298,"3,048",0,10,1/305,-,-,"+2,795","3,794",0,10,1/379,-,-,-101,"3,291",0,11,1/299,-,-,+0,"5,113",0,15,1/341,-,-,-298,"4,248",0,11,1/386,-,-,"-3,288","4,161",0,11,1/378,-,-,"+2,403","5,210",0,17,1/306,-,-,-102,"3,745",0,8,1/468,-,-
2026-03-08,日,いいえ,-492,"5,874",0,25,1/235,-,-,"+5,320","6,121",0,14,1/437,-,-,"-2,091","5,486",0,15,1/366,-,-,"+1,810","6,258",0,20,1/313,-,-,-102,"6,334",0,20,1/317,-,-,"-1,008","7,503",0,17,1/441,-,-,+99,"6,947",0,20,1/347,-,-,"+4,911","6,895",0,22,1/313,-,-,"-2,603","6,510",0,23,1/283,-,-,"-3,378","5,129",0,15,1/342,-,-
2026-03-07,土,はい,"-3,404","7,123",0,26,1/274,-,-,"-3,987","6,830",0,23,1/297,-,-,"-4,195","7,114",0,29,1/245,-,-,"+4,696","6,231",0,18,1/346,-,-,"-2,485","7,732",0,26,1/297,-,-,"-2,911","7,222",0,27,1/267,-,-,-296,"6,704",0,22,1/305,-,-,"-2,990","6,848",0,22,1/311,-,-,"+2,597","6,727",0,17,1/396,-,-,"+2,920","6,903",0,25,1/276,-,-
2026-03-06,金,いいえ,+0,"4,888",0,12,1/407,-,-,"+1,008","4,340",0,10,1/434,-,-,-894,"4,614",0,17,1/271,-,-,"-1,409","6,022",0,24,1/251,-,-,"+6,029","5,120",0,15,1/341,-,-,"+1,597","4,484",0,15,1/299,-,-,"+3,213","5,300",0,18,1/294,-,-,"-2,606","3,542",0,13,1/272,-,-,"-2,910","5,864",0,18,1/326,-,-,"+1,399","5,521",0,19,1/291,-,-
2026-03-05,木,いいえ,"-2,494","5,045",0,15,1/336,-,-,"+1,910","6,192",0,25,1/248,-,-,"+4,104","5,850",0,14,1/418,-,-,+0,"6,210",0,23,1/270,-,-,"+4,009","5,900",0,22,1/268,-,-,"+1,009","6,979",0,22,1/317,-,-,"+2,296","5,280",0,18,1/293,-,-,"-2,785","5,123",0,14,1/366,-,-,"-1,087","7,012",0,26,1/270,-,-,"-2,885","5,547",0,17,1/326,-,-
2026-03-04,水,はい,"+1,606","6,792",0,29,1/234,-,-,"-2,084","6,513",0,24,1/271,-,-,"-3,381","7,028",0,23,1/306,-,-,"-2,607","5,569",0,23,1/242,-,-,+103,"6,437",0,22,1/293,-,-,+0,"6,256",0,23,1/272,-,-,"+1,591","6,475",0,17,1/381,-,-,+0,"6,652",0,18,1/370,-,-,+402,"6,289",0,21,1/299,-,-,"+1,509","6,321",0,23,1/275,-,-
2026-03-03,火,いいえ,"-3,494","6,317",0,20,1/316,-,-,"+5,322","5,411",0,17,1/318,-,-,"+1,604","6,762",0,19,1/356,-,-,+96,"6,290",0,23,1/273,-,-,+497,"6,997",0,26,1/269,-,-,"-5,509","6,905",0,22,1/314,-,-,"+3,634","6,591",0,14,1/471,-,-,"+4,902","5,979",0,18,1/332,-,-,"+5,114","7,086",0,24,1/295,-,-,"+7,177","6,995",0,17,1/411,-,-
