日付,曜日,特定日,1501番台,,,,,,,1502番台,,,,,,,1503番台,,,,,,,1504番台,,,,,,,1505番台,,,,,,,1506番台,,,,,,,1507番台,,,,,,,1508番台,,,,,,,1509番台,,,,,,,1510番台,,,,,,
,,,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差
2026-06-03,水,いいえ,+408,465,0,1,1/465,-,-,-599,"2,047",0,9,1/227,-,-,+0,"1,130",0,8,1/141,-,-,+409,"1,486",0,3,1/495,-,-,"-1,092","1,630",0,6,1/272,-,-,+0,0,0,0,-,-,-,+0,706,0,3,1/235,-,-,-305,"1,316",0,5,1/263,-,-,-191,419,0,3,1/140,-,-,"-2,091","2,760",0,10,1/276,-,-
2026-06-02,火,いいえ,+608,"2,252",0,7,1/322,-,-,+0,"2,538",0,8,1/317,-,-,+208,634,0,2,1/317,-,-,+315,"3,901",0,11,1/355,-,-,+0,"1,073",0,5,1/215,-,-,"-1,901","2,572",0,6,1/429,-,-,"+1,103","2,251",0,8,1/281,-,-,"+1,714","3,617",0,8,1/452,-,-,+0,0,0,0,-,-,-,-484,"5,046",0,13,1/388,-,-
2026-06-01,月,はい,-899,797,0,3,1/266,-,-,"+2,315","2,478",0,6,1/413,-,-,"+2,922","3,527",0,10,1/353,-,-,+516,537,0,2,1/269,-,-,"+1,096","3,335",0,13,1/257,-,-,"+2,802","4,704",0,13,1/362,-,-,-503,"1,646",0,4,1/412,-,-,"+4,697","5,239",0,15,1/349,-,-,"-2,394","2,305",0,12,1/192,-,-,"+1,911","3,189",0,10,1/319,-,-
2026-05-31,日,はい,"+2,098","4,325",0,11,1/393,-,-,+209,556,0,3,1/185,-,-,"+3,709","3,758",0,10,1/376,-,-,"+1,700","5,537",0,23,1/241,-,-,"+1,404","4,887",0,13,1/376,-,-,"+2,406","2,887",0,6,1/481,-,-,"-1,003","2,064",0,9,1/229,-,-,"+9,128","6,023",0,16,1/376,-,-,+110,"1,308",0,5,1/262,-,-,-390,"4,804",0,22,1/218,-,-
2026-05-30,土,いいえ,"-1,809","4,174",0,11,1/379,-,-,-198,612,0,1,1/612,-,-,"+3,713","2,706",0,10,1/271,-,-,-798,"1,200",0,4,1/300,-,-,"+2,296","5,854",0,14,1/418,-,-,+0,199,0,1,1/199,-,-,"+5,602","4,685",0,16,1/293,-,-,"-1,693","1,748",0,4,1/437,-,-,"+3,004","3,765",0,9,1/418,-,-,+801,"1,182",0,4,1/296,-,-
2026-05-29,金,いいえ,-788,"2,946",0,11,1/268,-,-,-105,321,0,1,1/321,-,-,"-1,004",826,0,4,1/207,-,-,-596,989,0,4,1/247,-,-,+0,726,0,2,1/363,-,-,"-2,087","2,821",0,10,1/282,-,-,"-1,190","1,901",0,6,1/317,-,-,-596,931,0,5,1/186,-,-,-199,708,0,2,1/354,-,-,-699,"5,504",0,20,1/275,-,-
2026-05-28,木,いいえ,+513,279,0,2,1/140,-,-,"+3,089","5,341",0,12,1/445,-,-,+409,275,0,1,1/275,-,-,-300,351,0,1,1/351,-,-,+0,540,0,1,1/540,-,-,+0,"1,888",0,5,1/378,-,-,+711,"1,566",0,6,1/261,-,-,"-1,092","2,214",0,8,1/277,-,-,"-1,988","2,396",0,9,1/266,-,-,"-1,597","2,460",0,8,1/308,-,-
2026-05-27,水,はい,+707,997,0,5,1/199,-,-,"+1,209","4,843",0,14,1/346,-,-,+0,0,0,0,-,-,-,-704,"2,487",0,8,1/311,-,-,"-2,299","2,733",0,9,1/304,-,-,-197,688,0,2,1/344,-,-,+607,"2,022",0,6,1/337,-,-,"-1,299","1,239",0,5,1/248,-,-,+512,369,0,2,1/185,-,-,"+1,404","2,954",0,8,1/369,-,-
2026-05-26,火,いいえ,+913,"2,332",0,12,1/194,-,-,-396,640,0,2,1/320,-,-,+196,"3,506",0,9,1/390,-,-,-591,"1,914",0,5,1/383,-,-,-104,489,0,1,1/489,-,-,-302,500,0,3,1/167,-,-,"-1,190","2,780",0,8,1/348,-,-,+606,"1,289",0,4,1/322,-,-,"+2,802","2,765",0,8,1/346,-,-,-496,"2,835",0,11,1/258,-,-
2026-05-25,月,いいえ,"+2,495","1,795",0,5,1/359,-,-,-503,"1,351",0,4,1/338,-,-,+0,291,0,2,1/146,-,-,"-1,193","1,575",0,4,1/394,-,-,"-1,691","1,707",0,6,1/285,-,-,+0,0,0,0,-,-,-,+908,"1,325",0,6,1/221,-,-,+0,0,0,0,-,-,-,"+1,610","4,491",0,19,1/236,-,-,-103,224,0,1,1/224,-,-
2026-05-24,日,はい,"+7,418","4,963",0,11,1/451,-,-,+202,"4,113",0,14,1/294,-,-,-490,"5,672",0,21,1/270,-,-,-702,"4,257",0,15,1/284,-,-,-792,"6,307",0,22,1/287,-,-,"+5,190","4,672",0,11,1/425,-,-,"+2,309","4,308",0,18,1/239,-,-,-895,"3,636",0,11,1/331,-,-,"-1,191","4,207",0,19,1/221,-,-,"+2,097","5,484",0,18,1/305,-,-
2026-05-23,土,いいえ,+708,"3,475",0,11,1/316,-,-,+310,"4,375",0,19,1/230,-,-,"-2,086","4,200",0,18,1/233,-,-,"-1,289","4,142",0,13,1/319,-,-,"+1,102","3,711",0,11,1/337,-,-,-595,"1,962",0,4,1/491,-,-,-895,"2,092",0,7,1/299,-,-,"+3,002","3,621",0,15,1/241,-,-,-305,845,0,3,1/282,-,-,+916,"2,111",0,6,1/352,-,-
2026-05-22,金,いいえ,+605,"3,627",0,7,1/518,-,-,+0,540,0,2,1/270,-,-,"-1,303","1,380",0,8,1/173,-,-,-705,"1,516",0,3,1/505,-,-,+208,537,0,2,1/269,-,-,-591,602,0,1,1/602,-,-,-505,515,0,2,1/258,-,-,-390,483,0,4,1/121,-,-,-598,606,0,3,1/202,-,-,+605,245,0,1,1/245,-,-
2026-05-21,木,はい,"-2,486","4,632",0,18,1/257,-,-,"-4,515","5,550",0,15,1/370,-,-,-697,"4,309",0,13,1/331,-,-,"+3,817","5,459",0,16,1/341,-,-,"+1,204","5,235",0,20,1/262,-,-,"-2,393","4,294",0,17,1/253,-,-,"-1,093","3,391",0,10,1/339,-,-,"+1,505","5,282",0,23,1/230,-,-,"+4,010","6,122",0,23,1/266,-,-,"+2,009","6,382",0,23,1/277,-,-
2026-05-20,水,いいえ,"-2,205","3,823",0,16,1/239,-,-,-593,957,0,2,1/479,-,-,-105,611,0,3,1/204,-,-,"+1,204","1,533",0,3,1/511,-,-,-697,"2,604",0,10,1/260,-,-,-789,"1,913",0,9,1/213,-,-,+0,0,0,0,-,-,-,-792,"1,687",0,4,1/422,-,-,-799,607,0,3,1/202,-,-,-300,"2,186",0,8,1/273,-,-
2026-05-19,火,いいえ,"-1,193","2,208",0,6,1/368,-,-,"+1,616","2,731",0,9,1/303,-,-,+803,"2,341",0,10,1/234,-,-,"+1,099","1,490",0,5,1/298,-,-,+309,493,0,1,1/493,-,-,"+1,397","1,958",0,6,1/326,-,-,+0,0,0,0,-,-,-,+404,"1,001",0,4,1/250,-,-,"-2,796","5,580",0,16,1/349,-,-,+0,0,0,0,-,-,-
2026-05-18,月,いいえ,+907,973,0,3,1/324,-,-,+116,412,0,2,1/206,-,-,+0,"3,241",0,12,1/270,-,-,+0,754,0,2,1/377,-,-,+0,0,0,0,-,-,-,"-1,598","1,832",0,4,1/458,-,-,"+4,311","1,708",0,4,1/427,-,-,"-1,001","1,513",0,3,1/504,-,-,-397,380,0,2,1/190,-,-,+201,303,0,2,1/152,-,-
2026-05-17,日,はい,"+2,101","4,483",0,10,1/448,-,-,-100,"4,060",0,12,1/338,-,-,"-1,792","3,665",0,15,1/244,-,-,"-1,089","5,995",0,21,1/285,-,-,"+1,819","3,908",0,9,1/434,-,-,-194,"4,183",0,20,1/209,-,-,"+2,714","3,790",0,9,1/421,-,-,"-2,091","2,561",0,10,1/256,-,-,-391,"3,369",0,13,1/259,-,-,"+4,989","5,448",0,13,1/419,-,-
2026-05-16,土,いいえ,"-3,289","4,711",0,15,1/314,-,-,+402,366,0,1,1/366,-,-,"+4,695","3,660",0,9,1/407,-,-,"-1,300","1,163",0,5,1/233,-,-,"-1,195","4,024",0,16,1/252,-,-,"+1,104","1,019",0,2,1/510,-,-,-391,756,0,5,1/151,-,-,-891,"4,756",0,16,1/297,-,-,+0,511,0,3,1/170,-,-,"-1,384","1,348",0,5,1/270,-,-
2026-05-15,金,いいえ,+0,0,0,0,-,-,-,"+2,513","4,866",0,19,1/256,-,-,-305,186,0,0,-,-,-,-593,"3,900",0,15,1/260,-,-,+116,"2,448",0,7,1/350,-,-,-102,680,0,4,1/170,-,-,-997,942,0,4,1/236,-,-,"-1,302","1,715",0,5,1/343,-,-,"-1,498","2,008",0,4,1/502,-,-,-793,"2,296",0,6,1/383,-,-
2026-05-14,木,はい,"+2,218","6,557",0,23,1/285,-,-,"-1,296","6,556",0,29,1/226,-,-,"+2,414","5,482",0,19,1/289,-,-,"-2,605","6,343",0,24,1/264,-,-,"-4,605","4,886",0,17,1/287,-,-,"+9,708","6,655",0,27,1/246,-,-,-491,"6,861",0,21,1/327,-,-,"-1,303","3,778",0,16,1/236,-,-,-395,"6,068",0,18,1/337,-,-,"+6,016","6,299",0,28,1/225,-,-
2026-05-12,火,いいえ,"-1,688","5,392",0,20,1/270,-,-,"-1,194","5,368",0,12,1/447,-,-,-791,"2,593",0,9,1/288,-,-,"-1,384","3,713",0,15,1/248,-,-,"-1,995","4,610",0,15,1/307,-,-,"-1,797","6,086",0,23,1/265,-,-,"+2,095","5,992",0,24,1/250,-,-,"-2,209","2,592",0,6,1/432,-,-,"-4,407","4,763",0,20,1/238,-,-,"+4,524","2,981",0,6,1/497,-,-
2026-05-11,月,はい,"+1,018","5,604",0,19,1/295,-,-,+716,"3,518",0,11,1/320,-,-,"-1,194","3,184",0,15,1/212,-,-,-305,"6,403",0,27,1/237,-,-,"+1,603","6,011",0,17,1/354,-,-,"-2,303","2,262",0,5,1/452,-,-,-696,"3,732",0,16,1/233,-,-,"-1,197","3,379",0,10,1/338,-,-,"+2,215","7,043",0,20,1/352,-,-,"-1,403","6,547",0,20,1/327,-,-
2026-05-10,日,いいえ,"-1,409","2,607",0,8,1/326,-,-,+708,"5,258",0,14,1/376,-,-,-697,"2,357",0,4,1/589,-,-,+111,"2,564",0,10,1/256,-,-,"+1,090","5,642",0,20,1/282,-,-,"-1,087","1,817",0,5,1/363,-,-,-392,"1,198",0,2,1/599,-,-,"+3,820","5,281",0,16,1/330,-,-,-199,"1,239",0,4,1/310,-,-,"-1,807","3,526",0,11,1/321,-,-
2026-05-09,土,いいえ,+610,"3,287",0,9,1/365,-,-,"+1,096","3,513",0,13,1/270,-,-,-995,"2,214",0,8,1/277,-,-,"-1,297","3,253",0,12,1/271,-,-,-396,"3,100",0,14,1/221,-,-,+102,"5,025",0,15,1/335,-,-,"-1,198","3,833",0,16,1/240,-,-,-799,"4,398",0,12,1/367,-,-,"+9,326","3,810",0,8,1/476,-,-,"-1,598","3,033",0,12,1/253,-,-
2026-05-08,金,いいえ,-500,797,0,3,1/266,-,-,"+3,914","1,572",0,3,1/524,-,-,"+1,604","3,664",0,12,1/305,-,-,-98,887,0,3,1/296,-,-,"+1,813","3,799",0,10,1/380,-,-,-999,"1,123",0,6,1/187,-,-,"-2,609","2,497",0,6,1/416,-,-,+508,"1,052",0,3,1/351,-,-,+513,680,0,2,1/340,-,-,-705,"2,265",0,7,1/324,-,-
2026-05-07,木,はい,+115,624,0,3,1/208,-,-,-895,"1,518",0,3,1/506,-,-,+713,"2,152",0,6,1/359,-,-,+111,"2,714",0,12,1/226,-,-,"-1,691","3,282",0,8,1/410,-,-,"-1,199","3,043",0,12,1/254,-,-,+0,196,0,1,1/196,-,-,+0,0,0,0,-,-,-,"-1,387","2,917",0,10,1/292,-,-,-793,"2,213",0,9,1/246,-,-
2026-05-06,水,いいえ,+0,"4,345",0,13,1/334,-,-,-699,"2,338",0,9,1/260,-,-,+414,"2,849",0,6,1/475,-,-,"-1,697","7,604",0,26,1/292,-,-,"-1,192","1,881",0,4,1/470,-,-,"-1,693","4,979",0,22,1/226,-,-,"+2,804","5,467",0,18,1/304,-,-,"+2,801","4,895",0,19,1/258,-,-,"+4,099","4,533",0,19,1/239,-,-,"-1,494","2,666",0,7,1/381,-,-
2026-05-05,火,いいえ,"+1,402","2,893",0,7,1/413,-,-,"-1,905","2,168",0,5,1/434,-,-,-796,"4,918",0,20,1/246,-,-,-598,"2,680",0,8,1/335,-,-,"-1,084","3,820",0,10,1/382,-,-,"-2,486","3,228",0,12,1/269,-,-,"-1,897","3,180",0,9,1/353,-,-,"+3,418","3,013",0,9,1/335,-,-,"+4,101","3,720",0,9,1/413,-,-,"+2,295","3,355",0,13,1/258,-,-
2026-05-04,月,はい,+795,"5,479",0,22,1/249,-,-,"+7,097","6,358",0,17,1/374,-,-,+222,"4,596",0,11,1/418,-,-,"-1,304","3,911",0,9,1/435,-,-,+203,"4,433",0,17,1/261,-,-,-891,"5,539",0,22,1/252,-,-,"-1,305","5,919",0,23,1/257,-,-,"-5,596","6,491",0,18,1/361,-,-,"-1,901","2,876",0,6,1/479,-,-,"+2,711","6,760",0,21,1/322,-,-
2026-05-03,日,いいえ,"+6,122","5,630",0,17,1/331,-,-,-698,"2,145",0,9,1/238,-,-,"+4,591","2,083",0,7,1/298,-,-,"+1,395","3,102",0,9,1/345,-,-,"-2,085","3,057",0,13,1/235,-,-,"+1,400","4,872",0,12,1/406,-,-,-905,"2,582",0,5,1/516,-,-,"-1,404","2,680",0,8,1/335,-,-,-597,"1,213",0,4,1/303,-,-,"-1,494","2,525",0,9,1/281,-,-
2026-05-02,土,いいえ,+307,"2,807",0,8,1/351,-,-,-794,"1,408",0,4,1/352,-,-,"+1,715","4,176",0,11,1/380,-,-,+502,"3,302",0,12,1/275,-,-,-793,"2,401",0,4,1/600,-,-,+201,"3,392",0,13,1/261,-,-,"-1,199","1,865",0,7,1/266,-,-,-97,"1,836",0,10,1/184,-,-,+801,"3,990",0,17,1/235,-,-,-697,"1,161",0,3,1/387,-,-
