日付,曜日,特定日,1214番台,,,,,1215番台,,,,,1216番台,,,,,1217番台,,,,,1218番台,,,,,1219番台,,,,,1317番台,,,,,1318番台,,,,,1319番台,,,,,1422番台,,,,,1423番台,,,,,1424番台,,,,,1425番台,,,,,1426番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-05-03,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+407,"1,521",7,4,1/138,+204,"3,844",16,9,1/154,+316,"2,939",11,12,1/128,-593,"1,406",3,3,1/234,-997,"1,889",5,3,1/236
2026-05-02,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-199,"1,692",6,3,1/188,-903,"4,400",14,10,1/183,-599,"1,606",5,3,1/201,-503,"2,164",7,4,1/197,"-1,196","1,541",2,2,1/385
2026-05-01,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-104,"5,267",19,9,1/188,-791,"3,727",9,13,1/169,"+1,007","5,806",27,16,1/135,"-1,598","4,316",12,8,1/216,-304,"4,319",17,8,1/173
2026-04-30,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,091","4,023",10,14,1/168,-193,914,3,1,1/229,"+1,206","2,289",13,7,1/114,-701,"3,371",10,11,1/161,+512,"1,111",7,1,1/139
2026-04-29,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+307,"1,634",6,7,1/126,"+1,700","7,356",32,23,1/134,-497,970,1,4,1/194,-503,562,1,0,1/562,+313,"4,600",17,13,1/153
2026-04-28,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-391,"2,799",9,7,1/175,-501,"3,065",9,10,1/161,"-1,300","1,316",1,2,1/439,-592,644,1,0,1/644,-793,"2,739",7,9,1/171
2026-04-27,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-304,324,0,0,-,-296,"1,870",6,5,1/170,+408,810,5,2,1/116,+115,196,1,0,1/196,-299,634,1,2,1/211
2026-04-26,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-191,"3,056",10,6,1/191,"-1,390","4,248",11,10,1/202,+210,"2,041",10,2,1/170,+499,"4,404",19,13,1/138,+313,"2,543",11,6,1/150
2026-04-25,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,190","2,337",4,7,1/212,-592,"1,820",4,6,1/182,+799,"5,567",24,17,1/136,-296,528,1,1,1/264,"+1,115","6,571",29,20,1/134
2026-04-24,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+514,"4,624",22,8,1/154,-503,534,0,0,-,-504,"1,485",3,5,1/186,+209,"4,727",19,12,1/152,-993,"4,186",11,13,1/174
2026-04-23,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-505,"1,262",3,2,1/252,+307,982,5,2,1/140,+713,"2,054",12,2,1/147,-497,611,0,2,1/306,-390,372,0,0,-
2026-04-22,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-593,"2,513",9,3,1/209,+709,"3,910",17,10,1/145,+198,"4,585",19,13,1/143,+715,"4,254",19,12,1/137,+504,"4,785",19,17,1/133
2026-04-21,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-96,"1,850",7,4,1/168,"+1,801","4,950",23,22,1/110,+707,"3,596",16,10,1/138,"+2,808","5,987",30,26,1/107,+0,"5,166",20,12,1/161
2026-04-19,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,515","5,648",27,18,1/126,-391,"1,663",5,5,1/166,"+1,696","4,534",22,13,1/130,-999,"2,638",6,5,1/240,-302,"3,504",13,10,1/152
2026-04-18,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,104","3,738",19,12,1/121,-105,"4,361",16,16,1/136,-897,"3,574",10,10,1/179,-192,"2,571",9,6,1/171,-97,"1,229",4,3,1/176
2026-04-17,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-597,505,0,0,-,-305,"1,885",6,6,1/157,-698,670,1,0,1/670,-792,"1,733",3,5,1/217,+513,"1,550",8,3,1/141
2026-04-16,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-499,"4,633",16,10,1/178,-496,"1,439",5,1,1/240,-597,675,0,1,1/675,-302,937,4,0,1/234,-304,"2,170",6,7,1/167
2026-04-15,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-499,398,0,0,-,-393,"3,876",13,12,1/155,-195,442,1,1,1/221,-197,309,0,1,1/309,-394,"1,743",6,5,1/158
2026-04-14,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+601,"5,065",21,14,1/145,+311,"2,665",13,4,1/157,+408,"6,611",24,21,1/147,-594,"2,840",9,6,1/189,+809,"4,271",22,7,1/147
2026-04-13,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+113,"3,796",17,7,1/158,+108,"2,389",11,1,1/199,+206,789,3,3,1/132,-392,746,2,0,1/373,+408,"1,488",7,4,1/135
2026-04-12,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-195,"3,407",12,12,1/142,+312,"4,753",22,10,1/149,+0,"1,303",5,3,1/163,-498,893,1,2,1/298,-904,"2,350",6,7,1/181
2026-04-11,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-502,"1,221",3,2,1/244,-391,"1,715",4,6,1/172,"+2,001","5,479",26,18,1/125,"+2,803","9,098",39,37,1/120,"+1,010","4,214",20,14,1/124
2026-04-10,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-99,619,2,0,1/310,+0,"2,603",9,9,1/145,"+2,215","5,037",26,20,1/110,-301,505,0,2,1/253,+495,"4,646",19,17,1/129
2026-04-09,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-597,453,0,0,-,"+1,011","4,783",22,14,1/133,-98,"2,396",9,6,1/160,-298,"1,919",6,3,1/213,-397,"2,303",7,5,1/192
2026-04-08,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+3,016","5,724",31,21,1/110,"+1,095","5,534",27,15,1/132,+308,"1,995",8,5,1/153,-703,"1,681",3,4,1/240,"-1,088","5,922",17,16,1/179
2026-04-07,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-99,"1,730",7,2,1/192,-596,892,1,3,1/223,-98,"4,642",16,16,1/145,-195,"1,495",4,5,1/166,-198,"1,130",4,2,1/188
2026-04-05,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-701,"1,431",3,3,1/239,+405,"2,125",8,8,1/133,+114,"4,125",17,9,1/159,+316,"1,261",5,7,1/105,-199,"3,572",13,7,1/179
2026-04-04,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+714,"5,082",23,14,1/137,+202,"4,013",14,15,1/138,"-1,902","3,629",7,8,1/242,-699,"3,459",10,12,1/157,"-3,082","5,480",8,16,1/228
2026-04-03,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,788,3,1,1/197,-298,"1,923",8,2,1/192,-303,253,0,0,-,+116,"2,668",11,5,1/167,+309,"3,450",14,12,1/133
2026-04-02,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-894,"3,782",13,7,1/189,-194,243,0,0,-,-405,"5,461",18,16,1/161,-594,590,0,1,1/590,-502,"1,344",2,5,1/192
2026-04-01,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+310,"3,490",13,8,1/166,-96,738,3,0,1/246,+210,"5,199",21,12,1/158,-393,"1,766",6,4,1/177,-192,"4,926",17,14,1/159
2026-03-31,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-303,"1,504",5,2,1/215,+606,"2,766",13,9,1/126,-703,958,1,3,1/240,"+1,009","3,484",18,6,1/145,-104,"1,115",4,1,1/223
2026-03-30,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,402","5,262",28,11,1/135,-398,980,2,1,1/327,+714,"3,379",15,12,1/125,+116,153,1,0,1/153,+904,"3,317",17,8,1/133
2026-03-29,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+207,"4,780",20,11,1/154,-97,"1,185",4,2,1/198,-497,"1,730",6,2,1/216,-305,364,0,1,1/364,"+1,095","6,276",24,27,1/123
2026-03-28,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+200,"5,689",20,18,1/150,"+3,510","4,863",29,21,1/97,-905,"1,385",2,3,1/277,+312,"2,894",11,7,1/161,+407,"5,750",23,16,1/147
2026-03-27,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+610,"1,283",7,3,1/128,-399,"1,578",6,2,1/197,+0,824,3,2,1/165,+602,"5,849",25,18,1/136,-193,129,0,0,-
2026-03-26,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-97,"5,007",19,12,1/162,+0,"2,544",11,5,1/159,"+1,316","5,309",23,17,1/133,-391,316,0,0,-,-591,"1,901",4,8,1/158
2026-03-25,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+410,"3,213",14,9,1/140,+711,"4,720",22,11,1/143,-193,666,2,2,1/167,-499,"1,839",5,4,1/204,-590,"1,097",2,2,1/274
2026-03-24,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-398,875,2,1,1/292,+108,"3,527",13,13,1/136,-104,880,3,3,1/147,"+1,610","3,039",18,7,1/122,-197,"1,451",6,2,1/181
2026-03-23,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-99,"2,201",9,4,1/169,+409,486,4,0,1/122,"+1,103","2,893",16,7,1/126,+512,"2,495",10,10,1/125,-393,"4,551",16,12,1/163
2026-03-22,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-797,"4,950",14,17,1/160,-299,626,1,1,1/313,+0,"1,107",4,3,1/158,"-1,086",885,0,1,1/885,-699,"2,392",4,9,1/184
2026-03-21,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-697,"3,320",9,9,1/184,-301,"1,254",4,3,1/179,"+1,613","5,038",22,21,1/117,"-1,493","2,221",4,2,1/370,"-1,088","3,090",9,6,1/206
2026-03-20,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-100,"1,497",5,3,1/187,+209,"3,107",12,9,1/148,-192,"1,295",4,4,1/162,-795,"1,247",3,0,1/416,-104,830,3,0,1/277
2026-03-19,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+709,"2,171",12,4,1/136,-698,"2,360",6,8,1/169,-299,391,0,0,-,+908,"3,192",14,13,1/118,-299,303,0,0,-
2026-03-18,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-394,"1,198",4,2,1/200,+802,"2,360",12,4,1/148,+195,"3,252",13,10,1/141,-101,166,0,0,-,"+3,005","5,192",33,10,1/121
2026-03-17,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-498,578,0,1,1/578,+314,"2,002",10,4,1/143,-195,"1,522",6,3,1/169,-393,755,1,2,1/252,+804,"1,361",8,6,1/97
2026-03-16,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-296,"1,902",6,5,1/173,+408,"3,826",15,14,1/132,-96,149,0,0,-,-399,342,0,0,-,+204,548,2,4,1/91
2026-03-15,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,300","1,883",2,4,1/314,-699,"1,489",3,3,1/248,+910,"2,364",13,6,1/124,-299,"2,905",10,8,1/161,-594,"2,960",9,5,1/211
2026-03-14,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+4,001","5,874",36,17,1/111,-195,"6,779",25,14,1/174,+601,"5,700",22,20,1/136,-701,"1,677",5,3,1/210,-794,"3,037",7,11,1/169
2026-03-13,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+206,"4,633",17,15,1/145,-399,"1,708",4,5,1/190,-195,"1,377",5,3,1/172,+309,"1,809",8,7,1/121,-391,601,0,2,1/301
2026-03-12,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-500,980,0,6,1/163,+107,"2,808",12,5,1/165,-391,"1,317",3,4,1/188,-395,267,0,0,-,-397,591,1,0,1/591
2026-03-11,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-701,587,0,0,-,+309,"4,579",18,17,1/131,-392,594,1,1,1/297,+307,"3,734",16,10,1/144,-298,659,1,2,1/220
2026-03-10,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,616","6,304",31,28,1/107,+315,"2,449",12,2,1/175,-794,"1,892",4,6,1/189,-399,680,1,1,1/340,-104,"1,835",7,5,1/153
2026-03-09,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-190,"1,794",6,4,1/179,+0,"2,090",8,4,1/174,+111,"1,290",6,1,1/184,+0,434,2,0,1/217,-596,"3,626",12,9,1/173
2026-03-08,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-301,"1,238",4,2,1/206,-498,"2,213",8,3,1/201,-499,447,0,0,-,+504,"7,064",30,23,1/133,-298,630,1,2,1/210
2026-03-07,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-902,"2,262",5,4,1/251,-502,"1,523",3,6,1/169,+0,"4,194",18,9,1/155,-305,238,0,0,-,-487,"6,515",23,20,1/152
2026-03-06,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-790,"3,239",9,10,1/170,-296,"1,733",5,5,1/173,+116,"1,888",7,6,1/145,-302,778,3,0,1/259,-799,"1,654",2,4,1/276
2026-03-05,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+200,"6,454",27,16,1/150,-299,605,0,2,1/303,-999,"1,355",2,2,1/339,"+1,201","7,167",28,29,1/126,-901,"2,398",5,3,1/300
2026-03-04,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+809,"2,106",12,3,1/140,"+2,401","7,087",32,26,1/122,+902,"6,409",28,22,1/128,-391,"1,161",3,1,1/290,-397,"3,131",11,6,1/184
2026-03-03,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-198,421,1,0,1/421,-396,752,2,1,1/251,"+1,313","3,477",16,11,1/129,-100,548,2,0,1/274,"-1,092","3,161",8,10,1/176
2026-03-01,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+3,596","9,112",44,35,1/115,+0,"4,426",15,14,1/153,"-1,301","2,274",3,7,1/227,+500,"5,206",23,13,1/145,-297,"1,530",5,1,1/255
2026-02-28,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-199,"1,010",4,1,1/202,+608,"3,552",14,11,1/142,-191,"1,020",4,0,1/255,+404,"2,468",12,4,1/154,+113,"1,654",8,2,1/165
2026-02-27,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+114,"3,433",13,12,1/137,-98,"1,185",3,7,1/119,+903,"4,259",20,13,1/129,-390,928,1,4,1/186,-196,594,1,1,1/297
2026-02-26,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-792,"3,695",12,11,1/161,-501,663,2,0,1/332,-496,729,1,0,1/729,-298,717,1,1,1/359,-105,210,0,1,1/210
2026-02-25,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-696,646,0,0,-,+208,"1,331",7,1,1/166,-501,"3,217",8,12,1/161,"-1,499","1,315",0,1,1/1315,-304,918,2,2,1/230
2026-02-24,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+712,"6,431",25,19,1/146,-595,"1,655",3,7,1/166,-197,"4,811",19,10,1/166,-296,"1,182",4,0,1/296,+307,"7,007",28,21,1/143
2026-02-23,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-405,"4,547",13,17,1/152,-598,"1,846",4,7,1/168,-899,"1,294",1,3,1/324,+514,"1,597",8,5,1/123,"+1,097","6,386",26,24,1/128
2026-02-22,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,314","7,997",33,30,1/127,-696,"2,714",7,6,1/209,-704,"1,627",3,5,1/203,"+1,508","4,922",24,14,1/130,+0,"3,828",14,14,1/137
2026-02-21,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,101","3,831",19,9,1/137,-498,"4,585",16,11,1/170,-184,"5,599",20,17,1/151,"+2,716","5,134",27,23,1/103,-195,"1,696",4,5,1/188
2026-02-20,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-702,"6,310",23,13,1/175,+507,"1,620",7,6,1/125,-299,360,0,0,-,+0,"1,271",4,4,1/159,+0,"1,057",4,3,1/151
2026-02-19,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,389","2,753",5,5,1/275,-703,"1,136",2,1,1/379,+206,"3,276",14,6,1/164,+606,"3,892",15,12,1/144,-191,300,0,1,1/300
2026-02-18,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-702,"2,236",8,1,1/248,-292,"2,061",7,7,1/147,+511,556,5,0,1/111,+107,"4,412",18,12,1/147,-891,"3,151",9,6,1/210
2026-02-17,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-497,"1,881",5,5,1/188,-190,"2,666",9,8,1/157,-793,"1,301",2,5,1/186,+204,"1,076",5,2,1/154,-190,612,1,2,1/204
2026-02-16,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-591,"2,952",8,9,1/174,-196,121,0,0,-,-497,613,1,0,1/613,+403,654,4,0,1/164,+802,"2,148",12,4,1/134
2026-02-15,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-394,"1,884",7,3,1/188,+906,"5,424",20,21,1/132,-99,"1,492",5,4,1/166,"+1,012","3,926",18,15,1/119,-397,"4,219",14,15,1/145
