日付,曜日,特定日,1214番台,,,,,1215番台,,,,,1216番台,,,,,1217番台,,,,,1218番台,,,,,1219番台,,,,,1317番台,,,,,1318番台,,,,,1319番台,,,,,1422番台,,,,,1423番台,,,,,1424番台,,,,,1425番台,,,,,1426番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-06-18,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-195,"1,061",5,0,1/212,+311,"1,928",10,3,1/148,-302,"1,156",3,3,1/193,-191,436,1,0,1/436,+0,685,3,1,1/171
2026-06-17,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-98,"1,612",7,4,1/147,-393,289,0,0,-,-191,421,1,0,1/421,-293,"3,732",14,9,1/162,-99,"3,606",13,11,1/150
2026-06-16,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+111,"3,164",14,7,1/151,-100,"1,923",5,7,1/160,-198,"1,799",5,8,1/138,-705,"2,562",8,6,1/183,-305,"1,381",5,2,1/197
2026-06-15,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"3,291",14,5,1/173,-100,464,2,0,1/232,+208,"2,641",9,9,1/147,-390,"3,597",10,10,1/180,-505,441,0,1,1/441
2026-06-14,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-787,"9,285",27,31,1/160,+903,"7,884",38,16,1/146,+901,"7,276",28,25,1/137,"+3,713","7,793",35,40,1/104,"+2,806","8,677",37,40,1/113
2026-06-13,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-199,974,4,1,1/195,"+3,501","7,857",39,31,1/112,+0,"2,661",9,11,1/133,"-1,687","5,621",14,19,1/170,-298,365,0,1,1/365
2026-06-12,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-196,"1,812",6,5,1/165,-96,"3,131",9,13,1/142,-196,392,1,0,1/392,-591,"2,129",4,8,1/177,-697,"1,522",3,2,1/304
2026-06-11,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,808","7,149",35,17,1/137,-592,807,1,1,1/404,-705,"1,084",2,2,1/271,-504,"1,348",4,0,1/337,+0,810,4,0,1/203
2026-06-10,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+107,"2,778",12,7,1/146,+204,"1,085",6,0,1/181,+0,392,2,0,1/196,"+1,015","5,580",23,22,1/124,-102,652,1,3,1/163
2026-06-09,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,304","2,817",7,3,1/282,"-1,005","3,381",7,13,1/169,-899,"2,043",6,2,1/255,"-1,301","3,875",10,8,1/215,-298,"3,571",11,13,1/149
2026-06-07,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-190,"5,608",20,16,1/156,-496,"1,367",3,6,1/152,-593,926,1,2,1/309,-590,"2,825",7,9,1/177,+206,"3,731",15,11,1/144
2026-06-06,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-792,852,1,0,1/852,+608,"2,495",13,4,1/147,-794,"1,433",3,1,1/358,+402,"1,495",8,1,1/166,+0,"3,488",14,6,1/174
2026-06-05,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-194,"1,026",4,1,1/205,-296,257,0,0,-,+406,"2,013",10,6,1/126,+314,"2,156",10,4,1/154,"+1,316","5,371",22,23,1/119
2026-06-04,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+606,"7,005",28,22,1/140,+500,"5,212",22,15,1/141,-391,880,2,1,1/293,"-1,196","3,003",7,5,1/250,+808,"2,295",13,4,1/135
2026-06-03,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+203,"1,633",8,2,1/163,+510,"2,287",11,7,1/127,-396,"1,352",3,6,1/150,+0,330,1,0,1/330,+712,"2,780",13,8,1/132
2026-06-02,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-394,"1,067",3,1,1/267,-300,"1,591",5,5,1/159,+108,"3,952",15,14,1/136,+0,446,2,0,1/223,"-1,197","2,423",6,4,1/242
2026-06-01,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+511,"2,284",12,5,1/134,"+1,814","7,393",33,20,1/139,-505,550,0,2,1/275,+708,"6,393",24,21,1/142,-302,"4,032",15,8,1/175
2026-05-31,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+204,"2,229",9,6,1/149,-297,974,3,0,1/325,-393,638,1,1,1/319,"+4,206","6,233",38,21,1/106,-697,"2,111",5,7,1/176
2026-05-30,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,499","4,066",10,14,1/169,-497,616,1,0,1/616,+902,"5,126",20,17,1/139,"+1,609","3,074",16,14,1/102,-901,"1,629",3,2,1/326
2026-05-29,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+806,"4,535",21,11,1/142,+0,"1,804",5,5,1/180,+409,955,6,1,1/136,+0,774,4,0,1/194,-192,"1,155",3,2,1/231
2026-05-28,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+113,"6,879",24,24,1/143,+203,"1,727",7,4,1/157,-98,"3,562",11,15,1/137,-496,"1,631",4,7,1/148,-596,"1,822",5,3,1/228
2026-05-27,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-400,"2,441",6,10,1/153,-497,747,1,1,1/374,+0,"1,093",4,2,1/182,-96,870,2,3,1/174,+110,669,3,1,1/167
2026-05-26,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+112,801,4,0,1/200,+314,"1,781",9,2,1/162,+0,"1,335",6,0,1/223,+0,"2,857",11,8,1/150,-504,"1,402",3,4,1/200
2026-05-25,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-393,964,3,0,1/321,-98,"1,630",6,3,1/181,-184,"3,920",13,12,1/157,-196,"2,657",9,9,1/148,-296,278,0,0,-
2026-05-24,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+301,"4,014",17,10,1/149,"-1,299","3,463",10,6,1/216,-902,"1,752",2,3,1/350,-993,"1,978",3,6,1/220,"+1,101","5,386",23,16,1/138
2026-05-23,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+113,"3,900",13,15,1/139,+711,"5,790",27,10,1/156,+210,526,3,0,1/175,-197,907,2,4,1/151,+109,"4,400",16,15,1/142
2026-05-22,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-591,"2,940",9,8,1/173,"+1,010","3,775",19,12,1/122,-904,"2,088",5,6,1/190,-296,806,2,2,1/202,+604,"4,435",22,10,1/139
2026-05-21,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+495,"4,324",17,15,1/135,-892,"3,073",8,10,1/171,-701,"1,643",4,5,1/183,-502,945,2,3,1/189,+603,"5,729",25,15,1/143
2026-05-20,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-296,"1,471",4,3,1/210,+217,"5,868",20,24,1/133,-300,"1,035",3,3,1/173,+410,"3,654",16,10,1/141,-98,"2,227",7,8,1/148
2026-05-19,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-97,"2,644",10,9,1/139,-992,"2,137",4,5,1/237,-102,899,4,0,1/225,-503,"1,573",3,5,1/197,-399,"1,545",6,2,1/193
2026-05-18,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-192,"1,640",6,3,1/182,-302,716,0,5,1/143,+0,161,0,1,1/161,-194,"2,792",9,10,1/147,+513,"1,490",7,4,1/135
2026-05-17,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-701,"2,706",7,6,1/208,+714,"4,429",18,17,1/127,-300,"1,725",5,4,1/192,-497,"1,597",5,1,1/266,-499,"4,107",17,6,1/179
2026-05-16,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+502,"4,666",21,10,1/151,-499,"1,681",4,4,1/210,+206,"4,040",17,10,1/150,-195,"1,622",5,3,1/203,-297,"1,190",4,2,1/198
2026-05-15,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-499,660,1,0,1/660,-96,"4,401",15,17,1/138,-394,"2,341",8,3,1/213,+309,"1,852",9,2,1/168,+610,"3,299",14,9,1/143
