日付,曜日,特定日,1226番台,,,,,,,1227番台,,,,,,,1228番台,,,,,,,1229番台,,,,,,
,,,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差
2026-06-01,月,はい,-594,"3,053",8,9,1/180,58,23.0,+900,"7,960",33,25,1/137,17,-,-796,"2,357",6,6,1/196,35,3.0,"+1,808","5,418",29,15,1/123,32,15.0
2026-05-31,日,はい,-496,"5,852",20,19,1/150,25,3.0,"-1,088","3,376",10,5,1/225,22,1.0,"-1,089","2,658",7,6,1/204,21,-,"-1,389","3,518",9,6,1/235,56,31.0
2026-05-30,土,いいえ,"-1,686","7,341",21,19,1/184,14,-,+408,"2,670",14,3,1/157,19,5.0,-496,"1,444",4,5,1/160,20,1.0,-404,"6,139",23,14,1/166,26,6.0
2026-05-29,金,いいえ,"-1,190","5,003",15,16,1/161,10,-,-393,"3,798",12,13,1/152,21,2.0,+414,"5,459",23,16,1/140,12,2.0,-903,"2,294",6,5,1/209,19,7.0
2026-05-28,木,いいえ,+0,"1,223",5,2,1/175,4,-,-395,"2,123",6,4,1/212,18,5.0,-393,"1,027",2,3,1/205,13,9.0,-396,"6,287",22,22,1/143,13,9.0
2026-05-27,水,はい,+406,"1,273",5,5,1/127,2,-,"+1,908","6,514",33,20,1/123,10,5.0,+909,"6,665",28,20,1/139,3,1.0,-102,"2,776",11,7,1/154,5,2.0
2026-05-26,火,いいえ,+410,860,5,3,1/108,7,3.0,-894,"2,820",6,11,1/166,18,11.0,+602,"3,840",16,11,1/142,3,-,+112,"1,556",6,2,1/195,4,1.0
2026-05-25,月,いいえ,"+2,100","5,045",25,13,1/133,16,4.0,+210,"3,675",14,12,1/141,12,3.0,+0,"5,777",22,17,1/148,9,7.0,"+1,097","3,443",17,12,1/119,2,-
2026-05-24,日,はい,"+1,314","8,151",36,23,1/138,34,18.0,-999,"2,536",7,5,1/211,15,14.0,"-1,990","2,927",5,7,1/244,16,1.0,"+1,914","8,132",29,39,1/120,1,-
2026-05-23,土,いいえ,"-1,684","4,673",10,15,1/187,69,59.0,"+3,508","6,456",35,23,1/111,10,1.0,+115,"4,100",16,10,1/158,9,9.0,"+1,101","6,952",29,26,1/126,0,-
2026-05-22,金,いいえ,-102,"1,596",6,3,1/177,40,21.0,-198,"1,549",4,5,1/172,19,6.0,+114,"1,214",5,3,1/152,13,4.0,-503,794,1,3,1/199,9,-
2026-05-21,木,はい,+109,"6,465",26,17,1/150,31,13.0,"+2,620","7,566",32,33,1/116,10,1.0,"+1,607","7,274",31,25,1/130,18,8.0,+0,"3,947",15,9,1/164,9,-
2026-05-20,水,いいえ,-195,"2,532",8,8,1/158,30,18.0,-591,"4,022",14,12,1/155,32,2.0,+713,"2,321",11,7,1/129,50,18.0,+111,"2,263",8,9,1/133,12,-
2026-05-19,火,いいえ,-592,"1,633",4,3,1/233,23,3.0,-193,644,2,0,1/322,20,6.0,-101,"3,316",13,7,1/166,75,52.0,-499,940,2,1,1/313,14,-
2026-05-18,月,いいえ,-390,612,1,1,1/306,8,-,"+1,699","7,701",34,25,1/131,8,-,-397,713,0,4,1/178,67,59.0,+205,"1,828",9,2,1/166,8,-
2026-05-17,日,はい,"-1,088","4,044",10,12,1/184,7,1.0,-596,"3,057",7,11,1/170,33,26.0,-393,"4,604",16,13,1/159,52,19.0,"+2,617","7,810",39,23,1/126,6,-
2026-05-16,土,いいえ,+502,"5,688",24,12,1/158,4,-,-391,"2,479",9,3,1/207,24,20.0,-996,"2,876",7,9,1/180,44,8.0,-499,"5,163",15,19,1/152,36,12.0
2026-05-15,金,いいえ,+207,"1,757",8,4,1/146,3,-,+113,"2,820",12,6,1/157,20,17.0,-96,"6,092",20,23,1/142,27,3.0,-391,964,2,2,1/241,24,4.0
2026-05-14,木,はい,"+1,511","7,712",38,19,1/135,3,-,-890,"6,776",22,20,1/161,22,2.0,"-1,494","7,149",20,23,1/166,26,4.0,-396,"6,998",21,26,1/149,20,17.0
