日付,曜日,特定日,1511番台,,,,,,,1512番台,,,,,,,1513番台,,,,,,,1514番台,,,,,,,1515番台,,,,,,,1516番台,,,,,,,1517番台,,,,,,,1518番台,,,,,,
,,,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差
2026-06-16,火,いいえ,"+4,120","5,308",0,8,1/664,5,-,+801,"1,456",0,5,1/291,6,1.0,+403,514,0,2,1/257,15,1.0,-504,529,0,2,1/265,48,17.0,"-1,192","1,931",0,4,1/483,75,27.0,-590,494,0,1,1/494,31,16.0,+112,"1,654",0,4,1/414,14,8.0,-,-,-,-,-,-,-
2026-06-15,月,いいえ,"+2,401","2,587",0,3,1/862,14,2.0,-302,360,0,1,1/360,12,-,-102,429,0,1,1/429,26,4.0,-785,"2,532",0,6,1/422,30,2.0,-598,507,0,1,1/507,61,31.0,"+2,617","2,450",0,4,1/613,28,2.0,"+1,204",838,0,2,1/419,22,8.0,-,-,-,-,-,-,-
2026-06-14,日,はい,-191,"2,703",0,6,1/451,16,11.0,"+2,126","6,611",0,13,1/509,5,-,"+9,814","8,810",0,17,1/518,18,2.0,"+1,013","5,556",0,13,1/427,18,2.0,-592,860,0,2,1/430,48,15.0,"-1,003","5,644",0,10,1/564,55,7.0,"-1,495","2,027",0,5,1/405,33,15.0,-,-,-,-,-,-,-
2026-06-13,土,いいえ,"+6,997","7,580",0,19,1/399,9,2.0,-393,838,0,3,1/279,7,-,"-1,389","1,814",0,4,1/454,53,13.0,-190,"3,391",0,6,1/565,40,10.0,"-1,384","2,075",0,5,1/415,17,8.0,"-1,190","2,835",0,5,1/567,40,10.0,+406,"1,704",0,4,1/426,30,13.0,-,-,-,-,-,-,-
2026-06-12,金,いいえ,-597,643,0,1,1/643,39,7.0,"+6,218","5,452",0,9,1/606,0,-,-188,"3,546",0,7,1/507,31,10.0,"-1,085","1,473",0,3,1/491,47,8.0,-499,417,0,1,1/417,10,10.0,-785,"3,710",0,8,1/464,21,11.0,-701,882,0,3,1/294,32,1.0,-,-,-,-,-,-,-
2026-06-11,木,はい,-896,683,0,1,1/683,30,7.0,-186,"3,442",0,8,1/430,7,-,-790,"1,547",0,3,1/516,23,3.0,+209,"1,218",0,3,1/406,51,21.0,+0,739,0,2,1/370,20,2.0,"-1,005","1,409",0,3,1/470,13,6.0,"+3,298","2,618",0,4,1/655,18,5.0,-,-,-,-,-,-,-
2026-06-10,水,いいえ,+0,634,0,1,1/634,22,4.0,+910,"3,863",0,9,1/429,6,6.0,+107,"1,593",0,6,1/266,18,2.0,"-1,300","1,388",0,3,1/463,54,4.0,+203,"4,369",0,10,1/437,16,10.0,"+3,712","5,051",0,6,1/842,0,-,"-1,297","3,046",0,10,1/305,50,28.0,-,-,-,-,-,-,-
2026-06-09,火,いいえ,"-1,297","1,748",0,4,1/437,24,3.0,-496,"3,113",0,7,1/445,19,4.0,-697,"1,958",0,5,1/392,20,1.0,+801,"5,976",0,13,1/460,21,1.0,-97,964,0,3,1/321,15,8.0,-491,"5,531",0,12,1/461,7,-,-990,"1,252",0,2,1/626,20,1.0,-,-,-,-,-,-,-
2026-06-07,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-101,"3,280",0,7,1/469,54,39.0,+204,"7,133",0,15,1/476,14,10.0,-598,"1,887",0,3,1/629,4,-,-198,256,0,1,1/256,15,1.0,"-2,392","3,677",0,9,1/409,97,43.0
2026-06-06,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-198,"2,169",0,5,1/434,34,4.0,"+1,208","5,875",0,12,1/490,30,13.0,"+1,704","4,839",0,8,1/605,1,-,"-1,298","2,031",0,4,1/508,17,16.0,"-2,609","3,025",0,4,1/756,97,63.0
2026-06-05,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,087","4,224",0,10,1/422,32,18.0,-594,"2,221",0,8,1/278,44,12.0,+0,266,0,1,1/266,5,-,+209,"3,965",0,14,1/283,14,9.0,-97,"2,352",0,6,1/392,94,50.0
2026-06-04,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,204","2,227",0,4,1/557,29,6.0,"-1,987","2,808",0,6,1/468,41,12.0,+302,"5,289",0,15,1/353,8,-,+604,"1,977",0,5,1/395,23,15.0,-899,"4,601",0,10,1/460,95,54.0
2026-06-03,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+310,541,0,1,1/541,16,-,+108,"6,807",0,16,1/425,31,13.0,+404,"1,694",0,4,1/424,18,2.0,+512,887,0,2,1/444,32,1.0,"-1,494","2,605",0,6,1/434,96,64.0
2026-06-02,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,795","4,254",0,8,1/532,26,-,+615,"5,750",0,11,1/523,40,12.0,+907,"1,685",0,5,1/337,28,2.0,"+6,683","7,727",0,17,1/455,40,12.0,-299,"2,709",0,8,1/339,94,54.0
2026-06-01,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,088","1,332",0,4,1/333,50,1.0,-391,"1,868",0,5,1/374,49,1.0,"+1,301","5,814",0,10,1/581,48,-,"-1,302","2,424",0,7,1/346,96,2.0,-187,"6,822",0,19,1/359,94,44.0
2026-05-31,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,821","7,304",0,18,1/406,42,12.0,-899,"1,726",0,4,1/432,46,4.0,+95,"6,786",0,16,1/424,30,-,-896,"2,559",0,8,1/320,89,5.0,"-1,602","3,366",0,6,1/561,84,38.0
2026-05-30,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-191,"5,556",0,16,1/347,62,5.0,+196,"8,158",0,18,1/453,55,9.0,"-1,497","3,431",0,8,1/429,46,-,-996,891,0,2,1/446,87,25.0,"-2,301","3,543",0,8,1/443,57,2.0
2026-05-29,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-700,"2,271",0,6,1/379,56,6.0,-192,"3,360",0,11,1/305,60,2.0,-998,"2,265",0,5,1/453,32,-,"-1,298","2,711",0,7,1/387,58,2.0,"-1,497","2,558",0,6,1/426,50,18.0
2026-05-28,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-298,728,0,2,1/364,40,6.0,"-1,198",941,0,1,1/941,58,11.0,-890,"2,236",0,4,1/559,25,-,"-1,087","3,352",0,6,1/559,34,9.0,"-1,490","2,732",0,5,1/546,47,7.0
2026-05-27,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,687","3,310",0,8,1/414,45,7.0,-197,"1,637",0,3,1/546,55,10.0,-497,"1,973",0,5,1/395,24,-,"-1,192","4,092",0,9,1/455,33,9.0,-999,"4,244",0,10,1/424,38,5.0
2026-05-26,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-699,"2,110",0,6,1/352,37,3.0,+308,"2,249",0,7,1/321,57,20.0,"-1,004","5,046",0,12,1/421,22,-,"-1,385","1,054",0,2,1/527,29,7.0,-999,"3,476",0,11,1/316,34,5.0
2026-05-25,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-400,"1,855",0,5,1/371,45,10.0,-390,346,0,1,1/346,59,14.0,"+4,201","6,101",0,12,1/508,14,-,+0,364,0,1,1/364,27,13.0,"+1,698","3,612",0,7,1/516,35,8.0
2026-05-24,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,420","3,494",0,5,1/699,45,6.0,"-2,305","2,060",0,4,1/515,39,5.0,"+2,617","5,297",0,14,1/378,24,-,"-1,196","2,608",0,6,1/435,29,5.0,"+4,415","6,697",0,16,1/419,34,5.0
2026-05-23,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+204,870,0,3,1/290,51,25.0,+909,"2,389",0,7,1/341,23,-,"+1,814","2,454",0,5,1/491,26,1.0,"+3,598","4,130",0,6,1/688,25,2.0,"-2,086","2,912",0,7,1/416,53,2.0
2026-05-22,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+205,163,0,1,1/163,27,2.0,-398,461,0,1,1/461,28,1.0,-396,"1,441",0,3,1/480,52,7.0,"+4,099","3,677",0,8,1/460,25,-,-591,502,0,1,1/502,45,17.0
2026-05-21,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,192","3,299",0,9,1/367,40,4.0,"-1,794","1,965",0,4,1/491,26,-,"-1,393","3,858",0,10,1/386,29,3.0,"-1,298","2,844",0,6,1/474,43,3.0,-699,"4,455",0,6,1/743,36,7.0
2026-05-20,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,388","4,218",0,11,1/383,29,9.0,-390,886,0,4,1/222,12,-,-397,503,0,1,1/503,20,8.0,"-1,392","3,407",0,10,1/341,30,1.0,"-1,089",919,0,2,1/460,33,3.0
2026-05-19,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,210","3,857",0,7,1/551,22,10.0,+402,"1,641",0,4,1/410,6,-,-502,974,0,4,1/244,12,6.0,"-1,685","1,491",0,3,1/497,22,10.0,"-2,085","4,553",0,7,1/650,22,10.0
2026-05-18,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-699,"2,255",0,5,1/451,12,5.0,"+1,309","4,678",0,9,1/520,18,6.0,-393,434,0,2,1/217,7,3.0,+0,278,0,1,1/278,7,3.0,"+5,092","4,111",0,5,1/822,4,-
2026-05-17,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+905,"1,852",0,3,1/617,10,1.0,-704,512,0,1,1/512,21,7.0,"+1,013","3,537",0,7,1/505,14,1.0,"-1,005","1,461",0,4,1/365,9,-,"+11,326","6,925",0,9,1/769,13,3.0
2026-05-16,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+3,711","4,997",0,10,1/500,18,4.0,"+3,995","4,218",0,7,1/603,25,3.0,+113,525,0,3,1/175,14,14.0,"+5,834","7,011",0,10,1/701,0,-,"-1,300","3,809",0,13,1/293,22,4.0
2026-05-15,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+3,592","5,010",0,9,1/557,18,5.0,-502,502,0,1,1/502,56,36.0,"+2,302","4,137",0,7,1/591,13,6.0,-302,503,0,1,1/503,7,-,+403,"2,941",0,8,1/368,20,2.0
2026-05-14,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+6,832","6,782",0,12,1/565,28,6.0,-298,632,0,1,1/632,51,23.0,-393,"3,781",0,11,1/344,15,10.0,"+10,597","6,068",0,7,1/867,5,-,"-1,388","1,434",0,2,1/717,22,7.0
2026-05-12,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-501,658,0,1,1/658,62,25.0,"+3,214","4,446",0,9,1/494,37,27.0,+0,"1,314",0,4,1/329,10,3.0,-395,760,0,2,1/380,7,-,+203,"4,912",0,13,1/378,10,3.0
2026-05-11,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,088","4,658",0,10,1/466,40,17.0,"-1,692","2,681",0,7,1/383,67,27.0,-403,"4,787",0,8,1/598,23,1.0,+305,"2,626",0,7,1/375,6,-,"+2,809","4,875",0,10,1/488,22,16.0
2026-05-10,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,199","1,479",0,2,1/740,39,7.0,+0,"4,482",0,11,1/407,53,14.0,"-2,791","4,109",0,11,1/374,25,19.0,+308,"5,209",0,12,1/434,6,-,-391,"3,137",0,9,1/349,32,7.0
2026-05-09,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-703,763,0,2,1/382,25,15.0,"-3,286","6,680",0,16,1/418,64,36.0,"+2,408","4,394",0,8,1/549,4,-,"+2,804","7,193",0,12,1/599,10,6.0,-297,"2,721",0,5,1/544,28,3.0
2026-05-08,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,311","3,841",0,7,1/549,13,-,"-1,191","2,377",0,5,1/475,25,5.0,"+1,608","7,730",0,24,1/322,20,4.0,-198,512,0,2,1/256,16,3.0,"-1,902","2,596",0,4,1/649,26,1.0
2026-05-07,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,293","3,381",0,9,1/376,21,1.0,-598,514,0,1,1/514,20,6.0,"+3,502","2,805",0,3,1/935,48,20.0,"-1,084","1,327",0,5,1/265,14,-,"+4,695","4,708",0,8,1/589,28,7.0
2026-05-06,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-396,"1,376",0,3,1/459,6,-,+810,"5,390",0,9,1/599,9,3.0,+407,602,0,2,1/301,60,26.0,"+7,996","8,377",0,17,1/493,10,1.0,"+2,403","4,649",0,9,1/517,34,24.0
2026-05-05,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+5,608","9,899",0,22,1/450,12,-,"-1,684","3,048",0,9,1/339,12,-,"-1,084","2,193",0,3,1/731,43,21.0,-301,"8,199",0,27,1/304,22,10.0,"-1,599","2,044",0,4,1/511,47,4.0
2026-05-04,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,904","1,891",0,5,1/378,16,13.0,"+1,313","6,356",0,12,1/530,3,-,"-1,798","3,273",0,9,1/364,39,5.0,"+4,100","8,785",0,24,1/366,24,8.0,"+8,298","9,423",0,19,1/496,34,10.0
2026-05-03,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,697","5,272",0,13,1/406,4,-,+113,"2,339",0,6,1/390,9,5.0,+316,722,0,2,1/361,33,24.0,-298,"1,407",0,3,1/469,35,2.0,"-1,000","2,571",0,10,1/257,86,51.0
2026-05-02,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,697","4,530",0,10,1/453,4,-,+507,"1,329",0,3,1/443,33,29.0,"-2,284","3,862",0,12,1/322,50,10.0,"+4,415","5,355",0,11,1/487,40,7.0,-296,"1,531",0,4,1/383,81,31.0
2026-05-01,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+798,"5,198",0,14,1/371,5,-,"-1,194","3,181",0,9,1/353,55,12.0,"-4,305","7,522",0,21,1/358,43,38.0,-103,"1,848",0,4,1/462,77,22.0,"-3,809","5,563",0,12,1/464,81,4.0
2026-04-30,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+604,"2,975",0,4,1/744,5,-,+115,"2,070",0,4,1/518,52,20.0,+497,"7,063",0,16,1/441,32,27.0,"-1,085","5,541",0,18,1/308,82,8.0,-196,679,0,2,1/340,74,22.0
2026-04-29,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,399","6,089",0,15,1/406,9,-,+315,751,0,3,1/250,61,22.0,"+6,219","5,614",0,6,1/936,39,30.0,-996,"2,029",0,4,1/507,73,5.0,"-2,696","3,613",0,9,1/401,68,7.0
2026-04-28,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+5,512","7,811",0,15,1/521,0,-,+107,317,0,1,1/317,61,61.0,"-1,499","1,257",0,2,1/629,88,18.0,-596,"3,200",0,8,1/400,70,6.0,+513,"2,110",0,5,1/422,64,3.0
2026-04-27,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+509,"2,807",0,8,1/351,9,-,-591,"2,362",0,6,1/394,84,7.0,-390,580,0,1,1/580,76,2.0,"-1,190","3,009",0,9,1/334,74,65.0,-700,"1,485",0,3,1/495,77,1.0
2026-04-26,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+116,"3,061",0,8,1/383,23,-,"-1,385","2,956",0,5,1/591,44,21.0,-997,"2,351",0,6,1/392,77,3.0,"-1,796","2,073",0,3,1/691,70,26.0,-998,"5,194",0,11,1/472,74,4.0
2026-04-25,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+407,"1,979",0,5,1/396,28,-,"-1,685","4,420",0,9,1/491,30,2.0,"-1,195","2,217",0,4,1/554,59,29.0,"+1,397","3,747",0,9,1/416,66,7.0,"-3,698","5,095",0,10,1/510,66,7.0
2026-04-24,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,298","6,545",0,18,1/364,33,7.0,-992,"1,289",0,3,1/430,21,-,"-1,798","3,866",0,8,1/483,49,16.0,-793,"2,127",0,4,1/532,62,13.0,-591,"6,222",0,12,1/519,26,5.0
2026-04-23,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-496,"1,698",0,5,1/340,67,16.0,-591,"1,641",0,4,1/410,13,1.0,-190,346,0,1,1/346,12,-,-488,"2,458",0,4,1/615,51,27.0,+504,"2,913",0,6,1/486,24,11.0
2026-04-22,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+210,"2,448",0,8,1/306,50,7.0,+204,"1,370",0,3,1/457,6,-,+809,"5,129",0,14,1/366,6,-,"-1,086","1,616",0,3,1/539,43,16.0,"-1,392","1,789",0,4,1/447,27,21.0
2026-04-21,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,300","2,999",0,6,1/500,70,37.0,-302,"4,848",0,12,1/404,7,-,-392,"5,604",0,13,1/431,20,13.0,"-4,091","4,681",0,8,1/585,33,13.0,+410,"6,371",0,18,1/354,7,-
2026-04-19,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-598,"1,709",0,4,1/427,38,17.0,"+4,315","6,691",0,8,1/836,5,-,-792,719,0,2,1/360,21,12.0,-696,"1,591",0,3,1/530,7,2.0,-891,"3,729",0,12,1/311,9,2.0
2026-04-18,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-395,"2,595",0,9,1/288,22,8.0,"+1,515","6,417",0,16,1/401,5,3.0,+608,508,0,1,1/508,14,9.0,-398,335,0,1,1/335,2,-,+115,"4,528",0,11,1/412,26,4.0
2026-04-17,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+112,"1,359",0,3,1/453,25,4.0,-503,658,0,1,1/658,21,5.0,-591,"3,111",0,8,1/389,16,16.0,"+6,219","3,745",0,4,1/936,0,-,+0,"1,942",0,4,1/486,41,16.0
