日付,曜日,特定日,1511番台,,,,,,,1512番台,,,,,,,1513番台,,,,,,,1514番台,,,,,,,1515番台,,,,,,,1516番台,,,,,,,1517番台,,,,,,,1518番台,,,,,,
,,,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差
2026-04-16,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,290","4,773",0,9,1/530,29,13.0,-197,318,0,2,1/159,16,3.0,"+2,504","5,320",0,13,1/409,13,12.0,+199,"2,134",0,4,1/534,1,-,-598,704,0,2,1/352,42,13.0
2026-04-15,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,697","4,604",0,12,1/384,4,4.0,"+2,095","4,884",0,10,1/488,9,5.0,+904,"1,335",0,1,1/1335,14,5.0,"+1,395","4,167",0,9,1/463,0,-,+714,793,0,2,1/397,30,16.0
2026-04-14,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,601","2,049",0,6,1/342,17,12.0,"+5,194","9,025",0,25,1/361,25,8.0,-901,"1,479",0,3,1/493,25,8.0,"+7,829","7,758",0,17,1/456,5,-,+111,"4,811",0,13,1/370,47,22.0
2026-04-13,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,098","2,671",0,5,1/534,9,-,-184,"2,709",0,7,1/387,60,36.0,"-1,596","3,286",0,7,1/469,13,2.0,+512,691,0,3,1/230,11,2.0,+402,"2,437",0,7,1/348,24,11.0
2026-04-12,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,004","2,078",0,3,1/693,9,9.0,+208,"2,383",0,6,1/397,59,16.0,"+1,699","2,667",0,3,1/889,0,-,-195,227,0,1,1/227,26,17.0,"-3,010","3,732",0,7,1/533,43,17.0
2026-04-11,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,287","5,829",0,11,1/530,30,2.0,"-1,387","5,577",0,16,1/349,76,46.0,"+4,524","3,203",0,3,1/1068,0,-,"+4,590","8,860",0,22,1/403,28,5.0,"-1,003","6,371",0,16,1/398,23,23.0
2026-04-10,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,756,0,1,1/756,15,11.0,"-1,092","1,264",0,2,1/632,72,42.0,"-1,196","2,526",0,5,1/505,4,-,+0,674,0,2,1/337,30,15.0,+203,"3,921",0,9,1/436,15,11.0
2026-04-09,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+514,811,0,3,1/270,23,22.0,+605,"4,726",0,9,1/525,59,15.0,+207,680,0,3,1/227,1,-,-304,"2,483",0,6,1/414,44,21.0,+114,"3,901",0,10,1/390,44,21.0
2026-04-08,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-899,"2,098",0,5,1/420,29,27.0,"-2,398","2,483",0,4,1/621,89,32.0,-190,"2,716",0,9,1/302,2,-,-704,"4,246",0,7,1/607,36,7.0,-899,722,0,1,1/722,57,21.0
2026-04-07,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-795,606,0,1,1/606,25,2.0,-196,376,0,1,1/376,75,21.0,+112,"1,637",0,6,1/273,1,-,-96,"4,613",0,13,1/355,23,22.0,"+2,712","2,979",0,10,1/298,54,29.0
2026-04-05,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+4,415","6,476",0,13,1/498,22,5.0,-392,635,0,1,1/635,48,26.0,+708,"5,892",0,12,1/491,1,-,"-2,207","4,985",0,10,1/499,17,16.0,-702,"6,054",0,16,1/378,95,47.0
2026-04-04,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,305","5,017",0,14,1/358,45,37.0,"-1,302","4,402",0,12,1/367,55,10.0,"+1,204","6,924",0,16,1/433,5,-,"-1,085","6,581",0,14,1/470,8,3.0,-496,"8,168",0,23,1/355,94,39.0
2026-04-03,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,607","3,212",0,8,1/402,29,11.0,"-1,599","2,563",0,7,1/366,51,22.0,"+2,725","4,278",0,10,1/428,18,18.0,"+5,889","4,541",0,4,1/1135,0,-,-898,"2,208",0,6,1/368,95,44.0
2026-04-02,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-998,"2,586",0,6,1/431,51,21.0,+304,"3,790",0,10,1/379,19,9.0,-196,"2,230",0,4,1/558,30,11.0,+916,"3,210",0,8,1/401,10,-,"-2,791","2,700",0,6,1/450,97,46.0
2026-04-01,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,618","8,086",0,16,1/505,57,22.0,-404,"6,665",0,19,1/351,35,4.0,"+1,915","5,724",0,11,1/520,31,13.0,"+3,215","6,791",0,15,1/453,18,-,-704,"5,840",0,18,1/324,85,28.0
2026-03-31,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-399,642,0,1,1/642,75,11.0,-498,645,0,2,1/323,37,-,"+3,998","4,996",0,7,1/714,40,3.0,+0,"6,210",0,15,1/414,54,14.0,"-1,105","4,282",0,10,1/428,64,10.0
2026-03-30,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,085","4,358",0,11,1/396,52,27.0,"+1,805","3,236",0,7,1/462,25,-,-197,670,0,2,1/335,81,17.0,+808,"2,370",0,8,1/296,64,1.0,-705,577,0,1,1/577,63,11.0
2026-03-29,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,384","6,796",0,16,1/425,40,6.0,"-1,899","4,723",0,13,1/363,34,-,-792,"4,233",0,10,1/423,85,27.0,-997,"1,268",0,2,1/634,92,7.0,"-1,991","3,010",0,8,1/376,58,18.0
2026-03-28,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,003","2,104",0,5,1/421,34,13.0,-791,682,0,1,1/682,21,-,"-2,798","5,504",0,15,1/367,81,29.0,-791,753,0,2,1/377,52,15.0,"-2,609","7,474",0,16,1/467,37,3.0
2026-03-27,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-705,"4,331",0,8,1/541,29,12.0,"+2,497","3,644",0,12,1/304,9,-,-797,"2,899",0,7,1/414,68,18.0,-697,"1,870",0,3,1/623,50,21.0,"-1,691","6,141",0,16,1/384,17,8.0
2026-03-26,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,486","6,666",0,12,1/556,27,10.0,"-1,298","4,972",0,11,1/452,17,8.0,-592,520,0,1,1/520,64,25.0,"-1,498","1,284",0,2,1/642,39,12.0,"+1,402","2,668",0,6,1/445,9,-
2026-03-25,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,498","5,035",0,12,1/420,9,5.0,"-1,086","3,113",0,7,1/445,4,-,-105,888,0,5,1/178,59,39.0,-98,461,0,1,1/461,20,11.0,"+3,098","6,338",0,9,1/704,9,5.0
2026-03-24,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+7,786","8,160",0,21,1/389,18,5.0,"+1,415","8,418",0,18,1/468,0,-,+809,"5,280",0,10,1/528,64,34.0,"-1,285","6,393",0,18,1/355,13,13.0,"-1,903","5,929",0,14,1/424,30,12.0
2026-03-23,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+708,"1,208",0,3,1/403,51,40.0,+405,802,0,3,1/267,6,4.0,"-1,391","1,225",0,2,1/613,87,36.0,-195,258,0,1,1/258,2,-,-295,"2,442",0,7,1/349,11,5.0
2026-03-22,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-497,"7,050",0,20,1/353,73,3.0,-504,"2,570",0,5,1/514,8,4.0,-194,"1,665",0,4,1/416,70,62.0,"+6,780","4,406",0,5,1/881,0,-,"+2,804","6,588",0,15,1/439,4,4.0
2026-03-21,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-792,"5,601",0,15,1/373,70,5.0,"+1,501","7,193",0,16,1/450,0,-,"-1,390","1,915",0,3,1/638,65,53.0,-301,"5,563",0,15,1/371,2,2.0,"+1,205","3,276",0,6,1/546,12,10.0
2026-03-20,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,088","2,197",0,3,1/732,32,32.0,"+7,208","8,385",0,21,1/399,0,-,-794,812,0,2,1/406,43,11.0,"+1,695","6,278",0,15,1/419,0,-,-704,"4,488",0,13,1/345,56,13.0
2026-03-19,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+810,"1,593",0,4,1/398,25,19.0,+314,"2,764",0,5,1/553,6,4.0,-591,501,0,1,1/501,55,17.0,+0,345,0,1,1/345,2,-,"+1,403","1,748",0,3,1/583,38,13.0
2026-03-18,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,492","1,912",0,3,1/637,48,27.0,-503,516,0,1,1/516,21,11.0,"-1,089","1,610",0,3,1/537,52,4.0,+199,"5,212",0,12,1/434,10,-,"-1,389","3,914",0,9,1/435,55,3.0
2026-03-17,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-899,"3,615",0,10,1/362,44,3.0,-98,343,0,2,1/172,12,2.0,+0,138,0,1,1/138,41,8.0,+203,220,0,1,1/220,10,-,+113,"1,085",0,4,1/271,33,21.0
2026-03-16,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-886,"2,879",0,6,1/480,31,20.0,"+5,528","3,378",0,4,1/845,5,-,+402,390,0,1,1/390,40,9.0,-496,511,0,2,1/256,11,6.0,"+1,103","1,107",0,4,1/277,40,9.0
2026-03-15,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-195,302,0,1,1/302,16,-,+197,"4,375",0,10,1/438,18,1.0,-84,"5,604",0,12,1/467,52,34.0,"+3,597","2,376",0,2,1/1188,17,1.0,-903,"3,361",0,10,1/336,59,7.0
2026-03-14,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+5,605","8,203",0,14,1/586,18,-,"+1,206","8,428",0,26,1/324,37,19.0,+316,"7,584",0,19,1/399,61,12.0,+116,"6,143",0,12,1/512,49,7.0,"-4,790","5,832",0,14,1/417,42,5.0
2026-03-13,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-99,882,0,5,1/176,63,50.0,-896,"3,131",0,8,1/391,77,11.0,"-2,486","3,157",0,7,1/451,83,6.0,-696,784,0,2,1/392,66,3.0,"+1,209","3,574",0,8,1/447,13,-
2026-03-12,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-885,"3,377",0,6,1/563,63,9.0,-702,"2,416",0,6,1/403,73,1.0,-797,651,0,2,1/326,72,9.0,-993,719,0,1,1/719,54,19.0,-190,179,0,1,1/179,35,-
2026-03-11,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,297","1,794",0,3,1/598,44,1.0,-102,"2,779",0,8,1/347,55,11.0,-99,"3,188",0,6,1/531,31,-,"+1,001","6,115",0,11,1/556,38,7.0,"+1,202","6,884",0,14,1/492,43,5.0
2026-03-10,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+403,"2,135",0,5,1/427,18,-,"+1,096","6,628",0,18,1/368,57,1.0,+208,303,0,1,1/303,36,18.0,+502,"3,528",0,8,1/441,58,1.0,-303,"1,491",0,5,1/298,56,20.0
2026-03-09,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+805,"1,266",0,3,1/422,32,-,-502,771,0,3,1/257,78,2.0,-500,502,0,1,1/502,62,21.0,"-3,080","5,636",0,13,1/434,76,14.0,-105,368,0,2,1/184,41,9.0
2026-03-08,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,191","5,078",0,10,1/508,49,1.0,"-1,799","4,274",0,11,1/389,76,27.0,"-1,302","5,285",0,17,1/311,43,6.0,"-1,088","2,891",0,9,1/321,37,-,+495,"5,827",0,18,1/324,48,5.0
2026-03-07,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,693","6,165",0,14,1/440,30,3.0,"-3,287","5,370",0,13,1/413,66,27.0,"-1,190","6,499",0,19,1/342,39,4.0,"-1,303","2,922",0,10,1/292,27,-,-297,"5,814",0,13,1/447,35,5.0
2026-03-06,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-898,"2,139",0,4,1/535,6,-,"-1,085","3,241",0,6,1/540,59,33.0,"-1,191","1,852",0,4,1/463,26,12.0,+711,"6,185",0,19,1/326,14,8.0,"-2,303","4,023",0,10,1/402,26,12.0
2026-03-05,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,012","2,395",0,3,1/798,3,-,"+1,608","4,565",0,7,1/652,50,31.0,"+3,589","5,423",0,13,1/417,13,10.0,+113,"2,134",0,7,1/305,19,2.0,"-1,686","4,296",0,11,1/391,17,4.0
2026-03-04,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+798,"7,435",0,16,1/465,6,-,"-3,079","5,120",0,13,1/394,81,54.0,-899,"3,782",0,10,1/378,20,10.0,"-2,700","4,101",0,10,1/410,27,7.0,+621,"6,159",0,16,1/385,10,4.0
2026-03-03,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-498,458,0,1,1/458,19,2.0,"-1,793","4,178",0,11,1/380,71,48.0,"-1,195","1,351",0,3,1/450,17,-,-592,776,0,2,1/388,21,2.0,+713,"2,494",0,4,1/624,23,2.0
2026-03-01,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-795,"2,834",0,6,1/472,71,40.0,"+4,206","8,738",0,26,1/336,4,-,"+3,213","7,705",0,17,1/453,22,18.0,-998,"3,970",0,8,1/496,31,9.0
2026-02-28,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+800,"4,996",0,13,1/384,69,45.0,"-1,497","1,900",0,6,1/317,13,-,-98,268,0,1,1/268,24,6.0,"+8,538","6,467",0,11,1/588,18,5.0
2026-02-27,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-496,830,0,2,1/415,94,54.0,+203,"1,523",0,4,1/381,6,-,"+11,399","8,092",0,8,1/1012,28,22.0,"+2,310","6,870",0,19,1/362,40,12.0
2026-02-26,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-185,"2,676",0,5,1/535,94,13.0,"+6,684","5,545",0,8,1/693,5,-,-192,"2,094",0,5,1/419,48,43.0,"-1,092","4,014",0,13,1/309,81,33.0
2026-02-25,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,085","4,303",0,11,1/391,97,47.0,+803,"4,107",0,10,1/411,19,-,+496,"4,888",0,14,1/349,47,28.0,-398,783,0,2,1/392,50,3.0
2026-02-24,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-300,"3,687",0,6,1/615,94,48.0,-701,"5,630",0,13,1/433,35,2.0,"-2,795","2,777",0,5,1/555,46,11.0,"-1,604","4,572",0,12,1/381,33,-
2026-02-23,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,484","2,734",0,4,1/684,97,62.0,"+2,714","3,532",0,7,1/505,18,-,-998,824,0,2,1/412,35,11.0,-488,"6,509",0,15,1/434,24,6.0
2026-02-22,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,290","5,255",0,11,1/478,88,63.0,-704,"4,064",0,13,1/313,25,1.0,"+2,618","4,140",0,5,1/828,24,11.0,"+1,095","6,016",0,11,1/547,13,-
2026-02-21,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-599,"1,454",0,4,1/364,48,27.0,-304,"1,744",0,4,1/436,11,-,"-4,406","9,225",0,24,1/384,48,27.0,"-1,905","4,037",0,10,1/404,21,10.0
2026-02-20,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-405,"2,260",0,3,1/753,50,21.0,+513,"2,448",0,5,1/490,18,14.0,+609,"2,298",0,3,1/766,29,11.0,"-1,387","3,558",0,7,1/508,4,-
2026-02-19,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,305","1,141",0,2,1/571,66,33.0,"-1,297",909,0,2,1/455,33,9.0,-305,"2,836",0,7,1/405,24,24.0,"+2,501","6,297",0,19,1/331,0,-
2026-02-18,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-501,557,0,2,1/279,56,30.0,"-1,297","1,270",0,3,1/423,26,1.0,"+2,501","4,196",0,9,1/466,25,20.0,"+3,921","3,358",0,4,1/840,5,-
2026-02-17,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-391,620,0,1,1/620,54,25.0,"+1,816","6,344",0,15,1/423,13,-,"-1,302","1,115",0,3,1/372,29,13.0,-395,"2,544",0,7,1/363,16,3.0
2026-02-16,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-296,333,0,1,1/333,37,23.0,"+5,687","3,259",0,2,1/1630,13,3.0,+114,"1,388",0,5,1/278,14,1.0,+208,"2,706",0,7,1/387,10,-
2026-02-15,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+3,590","5,015",0,14,1/358,43,14.0,+404,"1,181",0,3,1/394,14,5.0,-897,"7,022",0,20,1/351,29,15.0,"+2,217","4,417",0,8,1/552,9,-
2026-02-14,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,495","4,185",0,10,1/419,83,49.0,"-1,693","1,911",0,3,1/637,34,4.0,"-2,299","7,319",0,17,1/431,30,21.0,"+5,014","7,606",0,15,1/507,9,-
2026-02-13,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,792","2,460",0,5,1/492,81,51.0,"-1,087","1,340",0,4,1/335,30,6.0,"+5,114","4,077",0,6,1/680,13,-,-97,989,0,4,1/247,24,11.0
2026-02-12,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-394,440,0,1,1/440,66,37.0,-298,364,0,1,1/364,11,-,-699,"1,514",0,4,1/379,29,5.0,-190,"3,046",0,6,1/508,24,13.0
2026-02-11,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-793,"1,953",0,3,1/651,38,12.0,+713,"3,878",0,7,1/554,18,1.0,"+2,900","3,594",0,5,1/719,26,8.0,"-1,807","4,610",0,13,1/355,17,-
2026-02-10,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+514,498,0,2,1/249,32,5.0,"+8,304","5,158",0,7,1/737,17,16.0,+307,"2,679",0,8,1/335,27,10.0,+205,917,0,3,1/306,1,-
2026-02-09,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-701,"2,182",0,6,1/364,38,20.0,+497,"2,270",0,7,1/324,18,18.0,-393,898,0,2,1/449,40,2.0,"+5,607","4,741",0,8,1/593,0,-
2026-02-08,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,499","1,574",0,3,1/525,26,12.0,-996,"2,153",0,4,1/538,29,3.0,"-2,087","5,732",0,14,1/409,51,22.0,+500,"5,881",0,15,1/392,14,-
2026-02-07,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-396,"4,023",0,11,1/366,16,-,"-1,689","3,883",0,9,1/431,26,7.0,+115,"2,017",0,4,1/504,19,3.0,-602,"5,445",0,10,1/545,16,-
2026-02-06,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-904,"1,640",0,6,1/273,8,-,+404,532,0,1,1/532,23,11.0,"-1,384","3,137",0,8,1/392,26,3.0,-991,"1,649",0,4,1/412,12,4.0
2026-02-05,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,916","3,515",0,11,1/320,5,4.0,"-1,687","4,543",0,12,1/379,32,21.0,-496,"1,755",0,5,1/351,11,6.0,+310,"6,557",0,17,1/386,1,-
2026-02-04,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-97,514,0,2,1/257,7,-,"+5,895","6,719",0,14,1/480,14,1.0,"+2,920","3,523",0,6,1/587,13,3.0,+113,"2,912",0,5,1/582,10,3.0
2026-02-02,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+3,418","6,416",0,14,1/458,5,-,+507,"6,079",0,15,1/405,29,5.0,-394,"3,393",0,10,1/339,24,10.0,"+1,303","6,042",0,11,1/549,14,9.0
2026-02-01,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+3,222","6,071",0,8,1/759,10,-,-501,"3,377",0,7,1/482,47,20.0,"-1,693","1,439",0,2,1/720,26,16.0,-887,"4,609",0,9,1/512,27,1.0
2026-01-31,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-302,700,0,2,1/350,12,3.0,-798,"1,972",0,3,1/657,48,34.0,"+7,309","8,640",0,15,1/576,9,-,"+6,314","8,010",0,17,1/471,14,2.0
2026-01-30,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+5,314","2,832",0,2,1/1416,5,-,"-1,596","2,084",0,5,1/417,60,37.0,+107,421,0,1,1/421,23,18.0,-500,"1,432",0,5,1/286,61,1.0
2026-01-29,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-101,915,0,2,1/458,15,-,-100,265,0,1,1/265,24,9.0,"+2,405","1,441",0,2,1/721,29,2.0,+113,"4,097",0,8,1/512,27,3.0
2026-01-28,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+409,"3,909",0,10,1/391,28,1.0,+114,663,0,1,1/663,27,-,"-1,691","2,311",0,5,1/462,63,26.0,-897,"1,700",0,4,1/425,37,9.0
2026-01-27,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-795,"1,506",0,4,1/377,43,2.0,+516,"4,327",0,8,1/541,38,15.0,-191,308,0,1,1/308,41,3.0,-393,"2,537",0,9,1/282,23,-
2026-01-26,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-397,317,0,1,1/317,19,7.0,+303,"2,509",0,7,1/358,52,24.0,-793,"1,618",0,3,1/539,28,9.0,"-1,085","2,955",0,8,1/369,12,-
2026-01-25,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,422","5,849",0,12,1/487,12,-,"-1,385","2,172",0,5,1/434,72,58.0,"+2,216","4,494",0,8,1/562,14,1.0,+911,"3,353",0,9,1/373,13,1.0
2026-01-24,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+305,"2,901",0,5,1/580,31,14.0,"-2,395","4,748",0,9,1/528,54,1.0,"-1,986","4,302",0,9,1/478,53,22.0,"-2,609","5,902",0,12,1/492,17,-
2026-01-23,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-505,429,0,1,1/429,59,26.0,"+1,398","2,380",0,3,1/793,33,12.0,-190,240,0,1,1/240,21,13.0,"+2,596","4,357",0,9,1/484,8,-
2026-01-22,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,798","2,069",0,5,1/414,56,12.0,-403,"3,717",0,8,1/465,44,26.0,-597,463,0,1,1/463,18,9.0,+204,"4,636",0,9,1/515,9,-
2026-01-21,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-190,778,0,3,1/259,38,12.0,-391,308,0,1,1/308,26,18.0,-99,"2,384",0,6,1/397,8,-,"+2,504","3,876",0,9,1/431,8,-
2026-01-20,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,209","6,735",0,19,1/354,18,4.0,-999,"1,708",0,4,1/427,23,5.0,+710,"1,787",0,5,1/357,11,-,+709,"5,289",0,11,1/481,14,3.0
2026-01-19,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+210,217,0,1,1/217,19,2.0,-997,"1,713",0,5,1/343,9,-,+805,789,0,2,1/395,11,2.0,"-1,810","4,762",0,11,1/433,17,6.0
