日付,曜日,特定日,337番台,,,,,,,,,338番台,,,,,,,,,350番台,,,,,,,,,351番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-06-17,水,いいえ,-125,981,4,0,1/245,1/5.81,2.56,21,-,-625,"1,576",4,4,1/197,1/6.39,3.15,22,1.0,-458,"2,169",7,5,1/181,1/6.22,2.93,34,12.0,-166,505,2,0,1/253,1/6.64,2.98,34,12.0
2026-06-16,火,いいえ,+555,"2,278",11,3,1/163,1/5.59,2.41,24,4.0,+284,"1,758",7,6,1/135,1/5.88,3.70,15,-,-333,"1,602",4,5,1/178,1/5.74,3.44,20,5.0,-14,"3,775",14,13,1/140,1/6.34,3.89,24,4.0
2026-06-15,月,いいえ,"+1,739","4,223",23,11,1/124,1/6.06,3.18,23,7.0,-857,"1,163",2,1,1/388,1/6.25,2.60,16,1.0,+471,"2,958",11,14,1/118,1/6.16,4.72,9,-,-368,"1,197",3,2,1/239,1/5.58,2.90,15,6.0
2026-06-14,日,はい,-710,"1,135",2,2,1/284,1/6.19,2.92,67,48.0,+201,"4,432",16,15,1/143,1/5.96,3.86,13,-,-50,"3,865",13,14,1/143,1/6.05,4.04,19,4.0,"+1,812","5,869",27,20,1/125,1/5.91,4.15,15,2.0
2026-06-13,土,いいえ,-282,"1,070",3,3,1/178,1/6.19,3.36,36,6.0,"+1,413","5,173",23,18,1/126,1/5.93,4.16,17,-,-74,812,4,0,1/203,1/6.67,2.72,17,-,-336,"1,664",5,2,1/238,1/5.49,2.50,30,13.0
2026-06-12,金,いいえ,-329,801,2,1,1/267,1/5.83,2.97,38,4.0,-455,778,2,0,1/389,1/6.16,2.69,39,1.0,+247,"2,402",11,6,1/141,1/6.45,3.14,15,-,-465,527,0,2,1/264,1/6.22,3.55,34,19.0
2026-06-11,木,いいえ,-407,"1,112",3,1,1/278,1/5.71,2.68,22,1.0,-142,109,0,0,-,1/6.50,3.37,23,1.0,-308,"2,619",10,5,1/175,1/6.31,2.60,17,-,-442,"3,333",11,6,1/196,1/5.74,2.29,21,4.0
2026-06-10,水,いいえ,-467,419,0,0,-,1/5.64,3.00,21,6.0,-213,424,1,1,1/212,1/6.62,3.37,23,2.0,+342,"3,173",12,11,1/138,1/5.91,3.87,15,1.0,"+1,013","2,416",13,6,1/127,1/5.90,3.20,14,-
2026-06-09,火,いいえ,+6,"1,489",5,7,1/124,1/6.47,4.21,15,-,"+1,664","3,897",19,16,1/111,1/6.00,4.64,20,3.0,"+1,030","1,934",11,6,1/114,1/6.01,3.66,25,5.0,+567,"1,369",8,3,1/124,1/6.34,3.22,17,2.0
2026-06-08,月,いいえ,-446,648,1,1,1/324,1/6.12,3.11,16,-,-837,"1,306",3,0,1/435,1/6.09,2.25,33,15.0,-157,504,2,0,1/252,1/6.56,2.98,53,20.0,"-1,194","1,813",2,5,1/259,1/6.01,3.13,18,2.0
2026-06-07,日,いいえ,"+1,180","3,140",18,7,1/126,1/6.41,2.93,10,6.0,-83,"4,198",15,11,1/161,1/5.89,2.92,18,8.0,-457,"1,355",4,3,1/194,1/6.46,3.08,48,30.0,+803,"4,602",19,16,1/131,1/6.01,4.06,4,-
2026-06-06,土,いいえ,-404,418,0,2,1/209,1/7.24,3.68,13,3.0,-382,"1,747",6,3,1/194,1/6.24,2.74,18,5.0,-246,"4,440",16,15,1/143,1/6.44,3.85,51,33.0,"-1,463","2,374",5,2,1/339,1/6.13,1.99,10,-
2026-06-05,金,いいえ,+419,"3,248",14,6,1/162,1/5.73,2.43,8,3.0,"+2,583","2,652",21,8,1/91,1/6.57,3.88,10,2.0,+800,"1,729",9,7,1/108,1/6.19,4.11,49,39.0,+426,"1,456",8,3,1/132,1/6.45,3.12,5,-
2026-06-04,木,はい,-829,"1,522",3,3,1/254,1/6.15,2.86,12,6.0,-835,"2,514",6,6,1/210,1/5.84,2.84,27,15.0,-882,"4,012",9,17,1/154,1/5.97,4.48,80,53.0,-278,702,2,1,1/234,1/6.25,3.09,6,-
2026-06-03,水,いいえ,-151,443,2,0,1/222,1/7.60,3.05,6,-,-48,776,3,2,1/155,1/6.41,3.37,11,5.0,-388,"1,268",4,3,1/181,1/6.65,3.17,80,69.0,+564,"1,808",10,3,1/139,1/6.21,2.82,6,-
2026-06-02,火,いいえ,+791,"3,099",15,7,1/141,1/5.93,2.86,6,2.0,"+1,180","5,202",25,14,1/133,1/6.21,3.13,4,1.0,-541,"2,710",9,7,1/169,1/6.42,3.04,68,62.0,"+1,014","3,465",18,6,1/144,1/5.94,2.38,3,-
2026-06-01,月,いいえ,-,-,-,-,-,-,-,-,-,+750,"2,976",14,10,1/124,1/6.28,3.86,15,6.0,-83,"4,840",15,20,1/138,1/5.99,4.61,64,49.0,+959,"3,179",16,5,1/151,1/5.66,2.31,9,-
2026-05-31,日,いいえ,+544,"3,765",17,9,1/145,1/6.12,2.85,11,-,"-1,276","3,938",7,19,1/151,1/6.17,4.82,36,18.0,"-1,129","4,037",9,14,1/176,1/5.89,3.73,64,28.0,+562,"3,596",16,9,1/144,1/6.04,2.98,18,7.0
2026-05-30,土,いいえ,+316,"4,747",17,16,1/144,1/5.83,3.85,7,-,+122,"3,466",14,7,1/165,1/5.91,2.50,16,9.0,-331,"5,022",17,17,1/148,1/6.22,3.85,56,26.0,-473,"2,024",7,3,1/202,1/6.23,2.51,30,14.0
2026-05-29,金,いいえ,"+1,043","4,710",20,13,1/143,1/5.64,3.16,11,-,-35,"1,363",5,3,1/170,1/5.84,3.11,18,7.0,-437,901,3,0,1/300,1/6.62,2.60,49,17.0,+705,"4,247",15,18,1/129,1/5.72,4.66,32,14.0
2026-05-28,木,いいえ,+217,"6,599",23,28,1/129,1/6.26,4.94,21,14.0,+152,740,3,1,1/185,1/5.04,3.08,7,-,-385,660,1,2,1/220,1/6.27,3.43,44,23.0,-313,394,1,0,1/394,1/7.28,3.07,49,5.0
2026-05-27,水,いいえ,-307,628,1,1,1/314,1/5.37,3.13,31,24.0,+247,"2,126",9,5,1/152,1/5.91,3.05,7,-,+255,"2,648",11,6,1/156,1/5.87,2.88,44,13.0,"+1,570","3,795",22,8,1/127,1/6.25,2.72,48,4.0
2026-05-26,火,いいえ,-131,882,3,2,1/176,1/6.12,3.25,27,8.0,-553,"1,541",4,4,1/193,1/6.30,3.19,19,-,-137,109,0,0,-,1/6.27,3.37,40,13.0,"-1,010","4,725",15,13,1/169,1/6.38,2.97,81,41.0
2026-05-25,月,いいえ,-391,577,1,1,1/289,1/6.39,3.19,23,14.0,-361,"1,227",4,2,1/205,1/6.35,2.90,9,-,-426,"2,693",10,5,1/180,1/6.36,2.53,39,16.0,-825,"1,971",4,7,1/179,1/6.35,3.66,63,24.0
2026-05-24,日,はい,"+2,896","7,499",36,27,1/119,1/5.88,4.57,25,18.0,+150,"4,298",16,12,1/154,1/5.88,3.14,7,-,-402,"2,501",6,9,1/167,1/5.63,3.77,40,15.0,-538,"4,119",14,10,1/172,1/6.10,2.70,61,21.0
2026-05-23,土,いいえ,"-1,101","5,865",19,17,1/163,1/6.41,3.12,64,20.0,+83,"4,820",21,7,1/172,1/6.10,1.83,9,-,-63,"2,336",10,4,1/167,1/6.35,2.59,37,28.0,"-1,042","6,506",16,24,1/163,1/5.72,4.18,44,7.0
2026-05-22,金,いいえ,-465,574,1,0,1/574,1/6.23,2.87,56,23.0,+603,"1,822",10,3,1/140,1/6.06,2.80,4,-,-341,280,0,0,-,1/6.08,3.16,33,11.0,-614,"1,919",4,8,1/160,1/6.22,4.02,22,18.0
2026-05-21,木,いいえ,+259,"1,418",5,7,1/118,1/5.92,4.28,30,12.0,+58,"1,460",6,4,1/146,1/6.29,3.36,3,-,-233,165,0,0,-,1/7.13,3.30,33,3.0,-75,"1,226",4,4,1/153,1/5.99,3.55,18,15.0
2026-05-20,水,いいえ,-320,349,0,0,-,1/4.95,3.08,67,31.0,-261,161,0,0,-,1/8.77,3.30,4,-,"+2,365","6,104",33,17,1/122,1/6.21,3.37,36,9.0,+322,"1,765",8,4,1/147,1/5.91,3.10,27,23.0
2026-05-19,火,いいえ,-375,"1,172",3,2,1/234,1/5.70,2.92,65,10.0,+10,"1,694",7,4,1/154,1/6.31,3.14,3,-,-283,991,3,2,1/198,1/6.21,3.12,55,15.0,+429,"5,651",20,21,1/138,1/5.89,4.34,40,37.0
2026-05-18,月,いいえ,-902,"2,515",7,6,1/193,1/6.44,2.88,52,20.0,+596,"3,973",18,10,1/142,1/6.17,2.96,4,-,"-1,188","2,384",5,6,1/217,1/6.33,2.94,56,4.0,-903,"1,706",3,3,1/284,1/5.75,2.67,32,28.0
2026-05-17,日,いいえ,-524,"3,610",11,11,1/164,1/6.03,3.37,44,1.0,+569,"6,433",29,18,1/137,1/6.59,3.19,8,-,-82,"3,871",15,11,1/149,1/6.35,3.25,43,23.0,+97,"4,477",18,12,1/149,1/6.24,3.04,20,12.0
2026-05-16,土,いいえ,-610,"1,254",2,4,1/209,1/5.98,3.44,19,13.0,"+1,613","6,012",23,31,1/111,1/5.98,5.33,6,-,-800,"1,969",4,6,1/197,1/6.06,3.35,48,11.0,+251,"2,376",9,9,1/132,1/6.07,4.01,37,18.0
2026-05-15,金,いいえ,"+1,265","5,592",24,19,1/130,1/5.93,4.06,15,1.0,+267,"2,575",10,10,1/129,1/6.24,4.12,14,-,-504,"2,370",8,4,1/198,1/6.13,2.49,29,14.0,-911,"1,786",4,3,1/255,1/6.17,2.63,46,17.0
2026-05-14,木,はい,"-1,409","3,714",11,6,1/218,1/6.40,2.05,26,1.0,+27,"5,387",20,16,1/150,1/6.08,3.33,39,13.0,-591,"1,101",2,2,1/275,1/5.87,2.96,25,-,"-1,181","2,191",4,7,1/199,1/6.53,3.42,42,3.0
2026-05-13,水,いいえ,-435,"2,822",9,9,1/157,1/6.31,3.54,14,-,-307,251,0,0,-,1/6.10,3.20,56,36.0,"+1,825","4,543",22,20,1/108,1/6.21,4.93,20,2.0,-58,69,0,0,-,1/4.72,3.42,18,4.0
2026-05-12,火,いいえ,+303,"2,656",12,5,1/156,1/6.04,2.63,9,-,"-1,221","2,629",4,8,1/219,1/5.75,3.25,54,23.0,-231,159,0,0,-,1/7.40,3.31,31,11.0,"+1,192","4,217",21,14,1/120,1/6.45,3.97,20,11.0
2026-05-11,月,いいえ,-317,385,0,1,1/385,1/5.48,3.38,14,-,-308,"1,448",5,2,1/207,1/6.08,2.71,26,1.0,-588,"1,251",3,2,1/250,1/6.14,2.84,33,7.0,-12,"5,195",16,23,1/133,1/6.03,4.88,25,11.0
2026-05-10,日,いいえ,"+1,615","6,065",29,16,1/135,1/5.98,3.00,17,5.0,+508,"3,170",13,12,1/127,1/6.18,4.18,12,-,-501,840,2,0,1/420,1/5.99,2.63,33,9.0,"-1,156","3,112",7,9,1/195,1/6.08,3.15,24,7.0
2026-05-09,土,いいえ,-86,"3,185",14,6,1/159,1/6.58,2.49,32,1.0,+155,"1,985",9,3,1/165,1/6.05,2.61,31,2.0,"+3,173","7,081",34,32,1/107,1/6.00,5.26,29,8.0,+768,"1,926",10,6,1/120,1/6.05,3.63,21,-
2026-05-08,金,いいえ,+181,"3,795",17,6,1/165,1/6.16,2.12,31,1.0,"-1,584","2,363",3,6,1/263,1/6.16,2.89,32,1.0,-835,"5,006",15,15,1/167,1/6.05,3.25,65,33.0,-794,970,1,2,1/323,1/6.37,3.07,30,-
2026-05-07,木,いいえ,-43,"1,883",8,1,1/209,1/5.77,2.17,32,12.0,-75,"4,381",16,15,1/141,1/6.33,3.91,20,-,-107,86,0,0,-,1/6.20,3.40,52,16.0,"+1,709","4,084",23,10,1/124,1/6.18,3.03,36,4.0
2026-05-06,水,いいえ,+214,"3,256",13,9,1/148,1/6.04,3.22,30,19.0,-315,"3,789",13,12,1/152,1/6.25,3.55,11,-,"+1,567","5,952",29,14,1/138,1/5.97,2.60,37,7.0,"-1,073","3,607",11,7,1/200,1/6.25,2.31,41,4.0
2026-05-05,火,いいえ,"-1,334","2,708",6,5,1/246,1/6.14,2.40,28,19.0,+727,"6,486",26,22,1/135,1/6.12,4.06,9,-,"-1,495","3,538",9,10,1/186,1/6.69,3.08,47,11.0,"+1,499","6,555",29,20,1/134,1/5.92,3.60,36,8.0
2026-05-04,月,はい,"-1,010","2,976",8,8,1/186,1/6.37,3.03,23,3.0,+26,"2,308",9,4,1/178,1/5.74,2.58,20,-,"-1,312","3,142",9,7,1/196,1/6.79,2.62,36,13.0,-633,"5,843",17,21,1/154,1/5.95,4.10,52,16.0
2026-05-03,日,いいえ,+579,"7,625",32,19,1/150,1/6.11,2.55,11,-,-440,978,3,0,1/326,1/6.11,2.53,28,4.0,"-1,110","2,231",4,7,1/203,1/6.25,3.37,24,13.0,-922,"5,341",17,14,1/172,1/6.13,2.75,51,23.0
2026-05-02,土,いいえ,-115,"2,779",10,5,1/185,1/5.67,2.46,18,3.0,"+1,152","4,648",23,12,1/133,1/6.23,3.04,34,8.0,-999,"6,305",21,13,1/185,1/5.99,2.01,15,-,-110,"4,958",18,17,1/142,1/6.33,3.95,26,8.0
2026-05-01,金,いいえ,+395,"2,712",12,6,1/151,1/5.93,2.85,17,4.0,-554,"3,497",13,8,1/167,1/6.58,2.70,51,29.0,+60,"4,673",20,9,1/161,1/6.25,2.21,13,-,"-2,245","3,408",5,4,1/379,1/5.75,1.79,22,5.0
2026-04-30,木,いいえ,-212,767,2,2,1/192,1/5.94,3.34,32,19.0,"+1,191","5,218",26,13,1/134,1/6.33,2.88,46,14.0,+437,"2,935",13,7,1/147,1/6.00,2.96,13,6.0,"+1,719","4,182",23,11,1/123,1/6.14,3.22,7,-
2026-04-29,水,いいえ,"+1,054","6,801",31,13,1/155,1/5.91,1.94,23,10.0,-609,"6,471",18,25,1/150,1/5.86,4.47,71,48.0,"+2,247","7,150",28,32,1/119,1/5.60,5.18,10,-,-689,"2,647",9,4,1/204,1/6.30,2.30,13,3.0
2026-04-28,火,いいえ,-847,"2,959",7,9,1/185,1/5.89,3.31,32,1.0,-535,"4,070",14,11,1/163,1/6.28,3.01,56,24.0,-444,"1,360",4,1,1/272,1/5.74,2.48,31,21.0,+611,"3,062",11,11,1/139,1/5.40,3.95,10,-
2026-04-27,月,いいえ,+105,"2,000",10,0,1/200,1/6.04,1.96,22,10.0,-495,"2,744",9,5,1/196,1/5.93,2.46,35,5.0,-279,"4,509",15,16,1/145,1/6.20,4.01,30,8.0,-542,711,1,2,1/237,1/6.99,3.37,12,-
2026-04-26,日,いいえ,-440,"2,334",8,5,1/180,1/6.28,2.80,36,18.0,"-1,235","6,797",15,31,1/148,1/5.90,5.04,37,1.0,-20,"2,199",10,2,1/183,1/6.21,2.21,18,8.0,"+1,448","5,316",26,12,1/140,1/5.91,2.55,10,-
2026-04-25,土,いいえ,-411,703,2,0,1/352,1/6.50,2.77,19,6.0,-183,"5,934",17,22,1/152,1/5.62,4.24,22,3.0,-129,"1,094",4,2,1/182,1/6.08,3.05,8,-,+238,"3,954",15,10,1/158,1/5.75,2.88,13,5.0
2026-04-24,金,はい,-395,"1,949",7,2,1/217,1/6.04,2.32,9,-,-222,"2,413",8,5,1/186,1/5.69,2.72,24,4.0,"+3,677","5,558",31,27,1/96,1/6.07,5.30,9,-,-555,"3,534",14,6,1/177,1/6.60,2.22,20,11.0
2026-04-23,木,いいえ,+40,"1,634",6,5,1/149,1/5.99,3.49,7,-,+457,"2,340",10,7,1/138,1/5.87,3.49,14,2.0,+271,"1,417",8,1,1/157,1/6.50,2.56,17,3.0,+925,"1,930",11,5,1/121,1/6.04,3.35,12,5.0
2026-04-22,水,いいえ,+825,"5,702",26,13,1/146,1/6.12,2.48,8,-,+368,"1,316",7,3,1/132,1/6.40,3.24,20,6.0,-797,"1,680",2,5,1/240,1/5.43,3.28,22,2.0,-622,981,1,2,1/327,1/5.53,3.06,14,6.0
2026-04-21,火,いいえ,-275,276,0,1,1/276,1/6.73,3.51,17,9.0,+958,"5,245",24,16,1/131,1/6.31,3.61,35,18.0,-961,"1,562",2,7,1/174,1/6.88,4.03,8,1.0,+498,"5,838",23,18,1/142,1/6.03,3.54,7,-
2026-04-20,月,いいえ,-92,107,0,0,-,1/4.78,3.37,8,-,"-1,197","2,469",5,7,1/206,1/6.33,3.15,66,53.0,+353,"1,254",7,1,1/157,1/6.02,2.68,8,-,-149,"1,035",3,3,1/173,1/5.80,3.40,13,5.0
2026-04-19,日,いいえ,"+1,554","2,855",17,6,1/124,1/5.83,2.89,7,-,-298,"3,551",13,9,1/161,1/6.24,2.92,54,44.0,"+2,398","6,683",30,24,1/124,1/5.66,4.44,10,3.0,+391,"5,230",22,15,1/141,1/6.30,3.28,7,-
2026-04-18,土,いいえ,"+3,072","4,913",29,15,1/112,1/5.82,3.84,6,-,-710,"1,438",3,4,1/205,1/6.43,3.27,40,20.0,-406,"3,848",11,13,1/160,1/5.79,3.71,20,7.0,-332,"4,812",17,16,1/146,1/6.39,3.79,13,7.0
2026-04-17,金,いいえ,-239,211,0,0,-,1/5.71,3.24,13,-,"+1,059","6,536",23,31,1/121,1/5.93,5.22,14,1.0,-124,882,3,2,1/176,1/6.08,3.25,16,2.0,+543,"1,979",11,2,1/152,1/6.12,2.41,18,2.0
