日付,曜日,特定日,31番台,,,,,,,32番台,,,,,,,33番台,,,,,,,35番台,,,,,,,36番台,,,,,,,37番台,,,,,,,38番台,,,,,,,50番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-23,土,いいえ,+80,"7,818",29,27,1/140,1/6.28,4.15,-230,342,1,0,1/342,1/7.13,3.13,-960,"1,871",2,6,1/234,1/5.55,3.38,+320,"2,828",13,6,1/149,1/6.24,2.78,-110,"2,739",10,6,1/171,1/5.88,2.76,+740,"1,186",7,1,1/148,1/5.04,2.75,-70,567,2,1,1/189,1/5.93,3.24,+960,"5,261",23,13,1/146,1/5.82,2.75
2026-05-22,金,いいえ,+200,"1,622",7,4,1/147,1/6.02,3.22,-500,452,0,0,-,1/5.61,2.96,-190,210,0,0,-,1/4.91,3.25,+0,"1,229",5,1,1/205,1/5.60,2.63,-190,189,0,0,-,1/5.23,3.27,-470,686,1,2,1/229,1/6.67,3.40,-290,"1,690",4,6,1/169,1/5.62,3.66,-360,546,1,1,1/273,1/6.48,3.23
2026-05-21,木,いいえ,+0,4,0,0,-,1/3.16,3.50,-510,407,0,0,-,1/6.25,3.01,+50,193,1,0,1/193,1/5.39,3.31,+0,1,0,0,-,1/3.16,3.50,-100,"1,013",4,1,1/203,1/5.96,2.82,-60,207,1,0,1/207,1/7.81,3.29,-120,123,0,0,-,1/5.13,3.35,-110,"1,863",6,5,1/169,1/5.70,3.23
2026-05-20,水,いいえ,-110,105,0,0,-,1/5.38,3.37,+200,705,4,0,1/176,1/5.78,2.84,+220,492,3,1,1/123,1/6.42,3.37,-430,391,0,0,-,1/5.58,3.03,-220,472,1,2,1/157,1/7.12,3.65,-250,344,1,0,1/344,1/7.46,3.13,+0,847,4,0,1/212,1/5.96,2.69,-100,"1,453",5,4,1/161,1/6.01,3.33
2026-05-19,火,いいえ,+370,347,3,0,1/116,1/5.64,3.21,-220,"1,108",3,2,1/222,1/5.41,2.99,-300,433,0,2,1/217,1/5.73,3.66,-390,541,1,0,1/541,1/5.94,2.90,+740,"1,587",7,6,1/122,1/5.25,3.89,-340,"2,513",8,6,1/180,1/5.86,2.91,+960,"1,556",10,4,1/111,1/6.25,3.41,-290,871,2,2,1/218,1/5.72,3.22
2026-05-18,月,いいえ,-230,164,0,0,-,1/7.07,3.30,-320,442,0,1,1/442,1/5.03,3.31,-300,257,0,0,-,1/5.86,3.19,+0,982,5,0,1/196,1/6.41,2.59,+130,624,3,1,1/156,1/5.82,3.22,-260,967,3,2,1/193,1/6.24,3.15,+80,933,5,1,1/156,1/6.88,2.94,+50,459,2,1,1/153,1/6.00,3.37
2026-05-17,日,いいえ,-310,"1,785",6,3,1/198,1/5.93,2.70,-510,"5,061",19,12,1/163,1/6.37,2.55,-810,"3,562",10,11,1/170,1/6.15,3.39,"-1,630","3,008",7,4,1/273,1/6.27,2.02,+380,"2,380",10,8,1/132,1/6.11,3.75,+340,"5,103",20,15,1/146,1/6.03,3.33,-870,"4,956",16,12,1/177,1/6.11,2.55,+40,"3,524",13,9,1/160,1/5.85,2.95
2026-05-16,土,いいえ,-60,"7,859",30,16,1/171,1/5.86,1.88,-340,"1,275",4,1,1/255,1/5.72,2.56,+670,"4,021",17,10,1/149,1/5.74,2.88,-700,865,0,2,1/433,1/5.33,3.15,"+1,230","7,232",28,29,1/127,1/5.97,4.85,-790,933,1,0,1/933,1/5.65,2.50,-370,"2,402",8,6,1/172,1/6.16,3.03,+710,"3,278",15,6,1/156,1/5.64,2.44
2026-05-15,金,いいえ,"-1,030","1,138",1,3,1/285,1/6.94,3.20,+40,"2,660",10,7,1/156,1/5.94,3.13,-540,344,0,0,-,1/8.30,3.09,-600,868,1,2,1/289,1/6.02,3.19,"+1,550","2,043",12,8,1/102,1/5.58,4.18,+950,"2,698",13,8,1/128,1/5.78,3.52,+990,"2,687",15,9,1/112,1/6.84,3.91,-250,601,1,2,1/200,1/5.81,3.50
2026-05-14,木,はい,+260,"3,142",11,12,1/137,1/5.86,4.14,"+1,550","4,120",21,13,1/121,1/6.06,3.79,-80,"1,673",6,5,1/152,1/6.19,3.44,+150,"3,109",12,9,1/148,1/6.02,3.34,+570,"2,151",9,9,1/120,1/5.97,4.23,"-1,210","3,595",7,16,1/156,1/6.27,4.54,"+1,310","2,664",13,10,1/116,1/5.59,4.14,"-1,460","3,095",6,9,1/206,1/6.19,3.13
2026-05-13,水,いいえ,-740,"2,350",5,9,1/168,1/6.09,3.89,-150,350,1,0,1/350,1/5.78,3.12,+50,"5,084",17,18,1/145,1/5.89,4.05,+110,722,3,1,1/181,1/5.32,3.10,-440,"1,586",4,4,1/198,1/5.81,3.14,+40,"1,044",4,3,1/149,1/6.02,3.43,-10,"2,251",8,6,1/161,1/5.82,3.19,-810,"4,378",14,11,1/175,1/6.16,2.73
