日付,曜日,特定日,31番台,,,,,,,32番台,,,,,,,33番台,,,,,,,35番台,,,,,,,36番台,,,,,,,37番台,,,,,,,38番台,,,,,,,50番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-04-05,日,いいえ,-10,"1,999",8,4,1/167,1/6.04,2.85,+790,"5,399",22,16,1/142,1/5.86,3.39,-600,845,1,1,1/423,1/5.67,2.89,-220,"4,303",16,12,1/154,1/6.28,3.14,"+2,200","3,998",25,8,1/121,1/6.10,2.63,+360,"2,638",12,4,1/165,1/5.82,2.39,"-1,590","3,996",10,8,1/222,1/6.10,2.22,"-1,330","3,869",10,12,1/176,1/6.46,3.36
2026-04-04,土,はい,"+1,010","6,819",29,20,1/139,1/6.04,3.36,-100,"4,592",18,13,1/148,1/6.40,3.20,"-1,040","2,958",7,9,1/185,1/6.20,3.31,+20,"5,705",21,17,1/150,1/6.06,3.33,-740,"1,753",4,2,1/292,1/5.61,2.40,"+1,140","6,145",30,11,1/150,1/6.09,1.94,+580,"6,639",27,20,1/141,1/6.13,3.45,+180,"4,239",15,16,1/137,1/6.06,4.26
2026-04-03,金,いいえ,-320,635,1,1,1/318,1/5.40,3.12,+460,"1,027",4,8,1/86,1/6.42,4.78,"+1,100","4,333",22,11,1/131,1/6.34,3.04,+0,180,1,0,1/180,1/7.07,3.32,-10,"1,084",5,1,1/181,1/6.29,2.78,+460,"1,718",8,3,1/156,1/5.49,2.84,-820,"2,000",6,4,1/200,1/6.82,2.77,-700,675,0,2,1/338,1/6.61,3.37
2026-04-02,木,いいえ,+50,"1,440",6,4,1/144,1/6.41,3.38,-330,200,0,0,-,1/9.05,3.26,-230,434,1,1,1/217,1/6.67,3.36,-250,407,1,0,1/407,1/6.16,3.05,"+1,020","1,063",8,1,1/118,1/5.32,2.92,-220,457,1,0,1/457,1/5.33,3.00,-270,197,0,0,-,1/6.88,3.26,-110,856,4,1,1/171,1/7.19,2.99
2026-04-01,水,いいえ,+150,"1,911",8,5,1/147,1/6.14,3.25,-220,204,0,0,-,1/5.50,3.25,-160,132,0,0,-,1/6.05,3.34,-200,187,0,0,-,1/5.46,3.27,-370,269,0,0,-,1/6.91,3.18,-60,"2,228",9,5,1/159,1/6.30,2.95,+200,"1,180",5,3,1/148,1/5.76,3.32,-80,508,2,1,1/169,1/6.71,3.31
2026-03-31,火,いいえ,-170,917,3,1,1/229,1/5.64,2.88,-80,647,3,0,1/216,1/6.46,2.86,-330,293,0,0,-,1/5.68,3.15,-280,283,0,0,-,1/5.18,3.16,-240,278,0,0,-,1/4.79,3.16,-170,"2,128",6,8,1/152,1/5.80,3.87,+300,"1,312",5,6,1/119,1/5.88,4.11,-100,486,1,1,1/243,1/4.97,3.30
2026-03-30,月,いいえ,-320,455,1,0,1/455,1/6.27,3.00,-130,"2,539",9,7,1/159,1/6.05,3.23,+220,513,3,1,1/128,1/6.16,3.35,+180,311,2,0,1/156,1/5.37,3.21,-330,434,1,0,1/434,1/6.71,3.02,-120,430,1,2,1/143,1/6.56,3.70,+510,"3,807",16,12,1/136,1/6.14,3.65,+60,639,3,1,1/160,1/6.19,3.20
2026-03-29,日,いいえ,-300,797,2,1,1/266,1/5.70,2.98,-530,"2,494",9,4,1/192,1/6.37,2.42,-880,"1,496",4,0,1/374,1/6.30,2.14,"+1,210","5,598",27,15,1/133,1/6.28,3.10,-640,"1,938",5,6,1/176,1/6.38,3.42,-850,"1,956",4,5,1/217,1/5.99,3.05,"+1,720","6,056",26,22,1/126,1/5.78,4.41,-400,"2,383",8,4,1/199,1/5.90,2.48
2026-03-28,土,いいえ,-10,"3,279",11,8,1/173,1/5.52,2.83,-650,"1,170",2,3,1/234,1/6.16,3.21,+150,"7,338",27,23,1/147,1/6.05,3.58,-990,843,0,0,-,1/5.89,2.56,+300,"4,118",18,9,1/153,1/6.19,2.57,-600,"2,997",10,5,1/200,1/6.01,2.29,"-1,120","2,692",7,5,1/224,1/6.24,2.44,-390,"4,587",16,15,1/148,1/6.38,3.70
2026-03-27,金,いいえ,-370,"1,882",5,5,1/188,1/5.67,3.17,+930,"3,593",16,10,1/138,1/5.71,3.28,+160,809,3,2,1/162,1/5.14,3.34,+400,"3,988",17,8,1/160,1/5.86,2.41,+710,332,4,1,1/66,1/5.97,3.61,-440,540,1,1,1/270,1/7.46,3.23,-480,"5,802",20,16,1/161,1/6.08,2.95,-580,601,0,1,1/601,1/5.68,3.12
2026-03-26,木,いいえ,-480,"1,624",4,5,1/180,1/6.06,3.42,-510,574,0,0,-,1/4.86,2.83,-460,"1,417",3,3,1/236,1/5.44,2.97,"-1,020","1,066",1,1,1/533,1/6.40,2.66,-860,"2,127",6,3,1/236,1/6.25,2.39,-410,618,1,0,1/618,1/5.47,2.82,"-1,710","3,058",3,12,1/204,1/5.93,3.94,-680,"1,774",5,4,1/197,1/6.55,2.97
2026-03-25,水,いいえ,-120,110,0,0,-,1/5.54,3.37,+330,"1,772",8,5,1/136,1/6.11,3.41,-220,175,0,0,-,1/6.27,3.29,-320,254,0,0,-,1/6.28,3.19,-250,530,1,1,1/265,1/5.70,3.25,+480,"2,876",11,10,1/137,1/5.71,3.85,+600,"1,982",8,10,1/110,1/6.01,4.58,-10,508,2,1,1/169,1/6.01,3.31
2026-03-24,火,はい,+450,"3,336",17,6,1/145,1/6.62,2.45,+40,"3,079",14,8,1/140,1/6.97,3.14,-780,"1,828",4,4,1/229,1/5.95,2.88,-750,"2,276",6,7,1/175,1/6.44,3.40,+20,"8,925",29,37,1/135,1/6.08,5.01,-410,654,2,0,1/327,1/7.05,2.82,-240,"1,554",7,2,1/173,1/7.16,2.67,-620,"1,420",3,3,1/237,1/5.88,2.97
2026-03-23,月,いいえ,-50,49,0,0,-,1/5.29,3.44,+640,"5,858",26,16,1/139,1/6.35,3.09,-360,267,0,0,-,1/6.75,3.18,-550,626,0,1,1/626,1/5.33,3.09,-450,606,1,0,1/606,1/5.82,2.83,-100,"1,911",8,3,1/174,1/6.28,2.64,"+1,360","2,298",14,7,1/109,1/6.18,3.69,-310,495,1,0,1/495,1/5.73,2.95
2026-03-22,日,いいえ,+230,"2,369",10,4,1/169,1/5.70,2.56,+330,"1,612",8,2,1/161,1/5.86,2.65,+120,"4,664",17,16,1/141,1/6.11,3.93,-260,"3,797",15,9,1/158,1/6.46,2.75,-890,"1,495",2,5,1/214,1/6.26,3.49,+470,"2,197",11,4,1/146,1/6.12,2.75,"+1,610","5,094",26,14,1/127,1/6.17,3.27,-220,"2,822",8,12,1/141,1/6.01,4.33
2026-03-21,土,いいえ,-880,"2,609",6,7,1/201,1/5.89,3.04,-950,"2,638",7,4,1/240,1/5.89,2.25,-360,"1,316",3,3,1/219,1/5.46,3.08,"+1,380","2,344",13,10,1/102,1/6.10,4.43,+0,"1,838",7,3,1/184,1/5.65,2.68,-500,"1,177",2,2,1/294,1/5.28,2.88,-590,851,1,1,1/426,1/5.59,2.88,"+1,100","5,922",26,13,1/152,1/5.72,2.33
2026-03-20,金,いいえ,+490,"4,335",21,8,1/149,1/6.42,2.26,+120,"1,896",7,5,1/158,1/5.67,3.23,+500,"1,294",7,2,1/144,1/5.69,2.94,-370,"1,079",4,1,1/216,1/6.87,2.75,-680,"1,418",3,3,1/236,1/6.08,2.97,-80,"1,976",7,5,1/165,1/5.90,3.14,-380,511,1,0,1/511,1/6.17,2.94,"+1,390","4,118",21,11,1/129,1/6.03,3.22
2026-03-19,木,いいえ,-70,"1,944",7,4,1/177,1/5.75,2.87,+80,674,3,1,1/169,1/5.77,3.16,-270,439,1,0,1/439,1/5.95,3.02,-220,186,0,0,-,1/5.92,3.27,-200,201,0,0,-,1/5.20,3.26,"+1,190","4,789",20,22,1/114,1/6.23,5.02,"-1,190","2,765",7,5,1/230,1/6.20,2.38,-270,540,1,2,1/180,1/6.62,3.57
2026-03-18,水,いいえ,"+1,680","5,907",27,20,1/126,1/5.98,4.12,-610,594,0,1,1/594,1/5.95,3.13,-640,"3,087",10,8,1/172,1/6.36,2.99,-120,"1,259",4,2,1/210,1/5.39,2.87,"+2,470","6,601",34,17,1/129,1/5.89,2.95,-630,"3,443",10,10,1/172,1/5.98,3.21,-260,"1,068",4,2,1/178,1/6.87,3.08,+30,"7,928",34,13,1/169,1/6.17,1.60
2026-03-17,火,いいえ,-130,692,2,1,1/231,1/5.42,3.10,-560,"1,301",3,4,1/186,1/6.53,3.42,-150,"1,107",4,2,1/185,1/6.10,3.03,+500,"3,050",14,9,1/133,1/6.38,3.48,"-1,430","4,341",9,14,1/189,1/5.84,3.42,-700,"4,879",13,16,1/168,1/5.71,3.58,-530,"2,072",6,3,1/230,1/5.68,2.44,-360,761,2,1,1/254,1/6.30,3.02
2026-03-16,月,いいえ,-380,910,2,3,1/182,1/6.43,3.51,-250,"1,767",6,5,1/161,1/6.34,3.34,+120,"1,527",7,2,1/170,1/6.02,2.70,+60,583,3,0,1/194,1/5.98,2.93,-380,471,1,0,1/471,1/6.72,2.98,+430,"3,329",12,19,1/107,1/6.66,5.16,-460,984,2,1,1/328,1/5.50,2.78,-490,398,0,0,-,1/6.14,3.03
2026-03-15,日,いいえ,-140,"3,440",14,7,1/164,1/6.30,2.52,-190,"3,506",11,12,1/152,1/5.89,3.77,-60,"5,344",20,17,1/144,1/6.29,3.65,-550,"2,806",9,4,1/216,1/5.75,2.19,-80,"2,318",9,6,1/155,1/6.30,3.16,"-1,360","3,095",7,7,1/221,1/6.13,2.60,"-1,260","1,483",2,1,1/494,1/6.26,2.32,"+2,570","6,878",33,21,1/127,1/5.71,3.69
2026-03-14,土,はい,"-1,600","4,843",13,10,1/211,1/6.03,2.14,"-1,360","3,281",10,4,1/234,1/6.49,1.93,-770,"1,508",4,2,1/251,1/6.53,2.61,"-1,050","4,550",16,10,1/175,1/6.65,2.41,+130,"3,220",12,9,1/153,1/5.87,3.22,"-1,710","5,945",17,11,1/212,1/5.94,1.83,+180,"4,414",19,11,1/147,1/6.41,2.86,-990,"2,736",8,3,1/249,1/6.03,2.02
2026-03-13,金,いいえ,"+4,080","5,072",34,15,1/104,1/5.88,3.86,-160,292,0,2,1/146,1/6.03,3.82,-540,"1,193",3,3,1/199,1/6.65,3.22,-400,707,1,2,1/236,1/5.98,3.37,-220,918,3,2,1/184,1/6.35,3.21,-300,390,0,1,1/390,1/5.27,3.37,-320,908,3,2,1/182,1/7.05,3.22,"-1,340","1,665",2,2,1/416,1/6.11,2.41
2026-03-12,木,いいえ,+770,"1,743",8,7,1/116,1/5.59,4.06,+560,843,6,1,1/120,1/6.22,3.08,-90,104,0,0,-,1/4.80,3.37,+10,806,2,4,1/134,1/5.55,3.95,+720,"1,441",9,3,1/120,1/6.37,3.18,-310,319,0,1,1/319,1/6.35,3.46,+100,"1,339",6,3,1/149,1/6.34,3.17,-270,198,0,0,-,1/6.84,3.26
2026-03-11,水,いいえ,-750,"1,391",3,2,1/278,1/6.10,2.69,"+1,800","5,542",27,19,1/120,1/6.16,4.20,-190,185,0,0,-,1/5.31,3.28,-710,"1,259",3,0,1/420,1/5.85,2.28,-860,"1,106",2,0,1/553,1/6.16,2.38,+0,"2,051",8,5,1/158,1/6.09,3.10,+910,723,6,2,1/90,1/5.59,3.56,-390,258,0,0,-,1/7.83,3.19
2026-03-10,火,いいえ,+0,"1,105",4,4,1/138,1/6.29,3.69,-160,566,2,0,1/283,1/5.89,2.91,-330,677,2,0,1/339,1/6.15,2.79,-220,384,1,0,1/384,1/6.14,3.08,-100,541,2,1,1/180,1/6.47,3.27,-330,553,1,1,1/277,1/6.13,3.22,-80,358,1,0,1/358,1/4.98,3.11,"+1,650","4,472",24,13,1/121,1/6.31,3.54
2026-03-09,月,いいえ,+130,"3,104",10,18,1/111,1/6.65,5.13,-460,"6,309",20,23,1/147,1/6.11,4.24,-20,869,3,1,1/217,1/5.23,2.94,-370,620,1,1,1/310,1/5.82,3.14,-390,"7,766",24,29,1/147,1/5.95,4.45,"+1,380","5,715",26,16,1/136,1/5.90,3.22,+40,897,4,1,1/179,1/5.95,2.94,+590,"2,167",11,4,1/144,1/5.94,2.78
2026-03-08,日,いいえ,-520,"2,586",7,7,1/185,1/5.76,3.10,"-1,340","3,214",7,9,1/201,1/6.17,3.05,+800,"2,488",13,6,1/131,1/6.14,3.13,-790,"4,399",12,15,1/163,1/5.98,3.75,-830,"2,103",4,7,1/191,1/5.98,3.52,"-1,440","3,697",9,8,1/217,1/6.06,2.41,"-1,170","3,317",8,6,1/237,1/5.72,2.23,"-1,920","4,752",10,13,1/207,1/5.99,2.79
2026-03-07,土,いいえ,-390,"4,087",13,12,1/163,1/5.92,3.25,-140,"3,878",16,3,1/204,1/5.79,1.65,-270,"2,860",11,3,1/204,1/5.85,2.01,+470,"3,317",14,10,1/138,1/6.06,3.50,-120,"4,502",14,18,1/141,1/5.99,4.45,"-1,040","5,720",16,22,1/151,1/6.27,4.38,-210,"2,333",8,7,1/156,1/6.21,3.42,+10,"3,916",14,10,1/163,1/5.77,2.88
2026-03-06,金,いいえ,-160,416,1,1,1/208,1/6.10,3.38,-270,234,0,0,-,1/5.80,3.22,-190,625,2,1,1/208,1/6.31,3.18,-10,802,3,2,1/160,1/5.99,3.34,+450,"1,864",10,1,1/169,1/5.84,2.24,+10,260,1,0,1/260,1/5.00,3.23,+310,500,3,1,1/125,1/5.53,3.36,"+1,430","4,018",20,12,1/126,1/5.95,3.58
2026-03-05,木,いいえ,+720,"2,847",13,10,1/124,1/6.17,3.96,-250,384,1,0,1/384,1/6.53,3.08,-300,220,0,0,-,1/6.84,3.23,-70,379,1,0,1/379,1/4.75,3.09,"-1,270","4,184",12,6,1/232,1/5.85,1.83,+330,920,5,2,1/131,1/6.10,3.29,-40,639,3,0,1/213,1/6.22,2.87,-110,"1,799",8,3,1/164,1/6.73,2.75
2026-03-04,水,はい,+770,"3,637",17,10,1/135,1/6.15,3.27,-860,"2,742",8,7,1/183,1/6.47,2.98,-290,568,2,0,1/284,1/7.06,2.91,"+2,600","5,346",26,25,1/105,1/5.96,5.17,-320,333,0,0,-,1/5.09,3.10,-450,"3,756",11,15,1/144,1/6.20,4.32,-200,358,1,0,1/358,1/6.30,3.11,-880,"3,741",12,8,1/187,1/6.24,2.46
2026-03-03,火,いいえ,-790,"3,425",13,4,1/201,1/6.49,1.91,+270,855,5,0,1/171,1/5.83,2.72,"+1,190","3,733",17,12,1/129,1/5.74,3.76,+0,0,0,0,-,-,-,+160,"6,640",24,20,1/151,1/5.90,3.35,+0,0,0,0,-,-,-,+390,"2,549",12,5,1/150,1/6.11,2.73,"-1,100","1,906",4,4,1/238,1/6.54,2.80
2026-03-02,月,いいえ,"+1,170","3,397",17,11,1/121,1/6.14,3.82,-80,78,0,0,-,1/5.30,3.41,+170,"4,806",18,16,1/141,1/6.14,3.83,-70,"1,426",5,3,1/178,1/5.73,3.04,-170,"1,234",3,5,1/154,1/5.75,3.82,-500,433,0,0,-,1/5.80,2.99,-720,831,0,3,1/277,1/6.06,3.52,-480,"1,841",5,6,1/167,1/6.28,3.53
2026-03-01,日,いいえ,-230,"2,873",11,5,1/180,1/6.06,2.41,"-1,410","2,365",3,8,1/215,1/6.20,3.50,"-1,150","3,589",10,7,1/211,1/6.05,2.30,+490,"1,788",8,4,1/149,1/5.47,3.07,-850,"4,078",10,12,1/185,1/5.62,3.15,-760,"5,981",19,18,1/162,1/6.09,3.27,-530,"2,345",5,8,1/180,1/5.55,3.60,+310,"5,511",23,15,1/145,1/6.28,3.05
2026-02-28,土,いいえ,-140,937,3,1,1/234,1/5.43,2.86,+490,"3,948",17,7,1/165,1/5.71,2.22,+340,"1,331",6,3,1/148,1/5.58,3.18,-30,"2,170",8,2,1/217,1/5.33,2.18,-130,"6,237",23,19,1/149,1/6.21,3.43,-310,"1,967",6,6,1/164,1/6.10,3.43,+130,"3,627",14,6,1/181,1/5.57,2.16,-320,"5,794",20,17,1/157,1/6.04,3.21
2026-02-27,金,いいえ,-280,883,3,1,1/221,1/6.40,2.92,-370,"1,397",5,2,1/200,1/6.52,2.76,-90,881,3,2,1/176,1/5.91,3.25,"+1,520","3,518",20,10,1/117,1/6.37,3.51,-280,384,0,1,1/384,1/5.15,3.38,+560,"3,098",14,7,1/148,1/5.90,2.83,-290,496,1,0,1/496,1/5.56,2.95,-740,"1,882",5,4,1/209,1/6.33,2.86
2026-02-26,木,いいえ,+110,409,2,1,1/136,1/6.00,3.43,-190,342,1,0,1/342,1/6.45,3.13,+210,"3,149",14,9,1/137,1/6.65,3.37,-70,788,2,2,1/197,1/5.13,3.32,-110,"1,927",6,7,1/148,1/5.97,3.79,+930,"1,553",8,9,1/91,1/6.28,4.70,-80,300,1,0,1/300,1/5.61,3.18,-130,730,2,2,1/183,1/5.71,3.39
2026-02-25,水,いいえ,+110,"1,741",7,7,1/124,1/6.70,4.03,+100,349,2,1,1/116,1/7.29,3.50,-660,"1,997",4,6,1/200,1/5.68,3.32,-120,573,2,0,1/287,1/5.54,2.91,+600,"1,056",6,4,1/106,1/6.14,3.83,-160,267,1,0,1/267,1/8.09,3.22,-80,271,1,0,1/271,1/6.12,3.21,-250,469,1,1,1/235,1/6.37,3.32
2026-02-24,火,はい,+600,"6,985",25,22,1/149,1/5.66,3.58,-390,"2,505",8,8,1/157,1/6.33,3.54,+770,"5,627",25,16,1/137,1/6.28,3.27,"-1,230","2,405",6,2,1/301,1/6.10,1.99,+250,"6,009",25,18,1/140,1/6.47,3.45,-480,"2,803",10,5,1/187,1/6.20,2.44,"-1,120","4,404",13,9,1/200,1/5.98,2.22,+690,"2,510",12,8,1/126,1/6.18,3.69
2026-02-23,月,いいえ,+210,"1,016",4,2,1/169,1/5.14,3.14,"-1,020","2,345",5,3,1/293,1/5.57,2.20,+130,"2,570",11,3,1/184,1/5.75,2.19,-30,"1,523",6,3,1/169,1/6.02,2.97,"-1,180","2,306",4,8,1/192,1/6.40,3.60,-340,"3,600",13,7,1/180,1/5.97,2.36,-980,"1,244",2,1,1/415,1/6.34,2.52,-730,"2,833",9,6,1/189,1/6.30,2.64
2026-02-22,日,いいえ,"+2,560","5,726",29,19,1/119,1/5.78,4.10,-580,"2,608",8,7,1/174,1/6.26,3.12,-120,"5,896",22,15,1/159,1/6.03,2.68,"-1,230","1,639",2,2,1/410,1/5.89,2.43,+640,"5,151",23,12,1/147,1/6.13,2.59,-640,"3,461",11,9,1/173,1/6.17,2.94,+500,"4,356",19,12,1/141,1/6.24,3.19,-810,"3,837",11,12,1/167,1/6.17,3.43
2026-02-21,土,いいえ,+820,"3,387",15,8,1/147,1/5.59,2.87,+530,"1,941",10,4,1/139,1/6.12,2.98,-460,"1,907",5,3,1/238,1/5.41,2.55,"+1,730","3,488",22,7,1/120,1/6.43,2.73,"-1,520","2,901",6,6,1/242,1/6.21,2.49,"-1,380","4,062",10,11,1/193,1/6.10,2.89,"-1,140","1,149",1,1,1/575,1/6.46,2.58,+680,"4,143",17,14,1/134,1/5.99,3.90
2026-02-20,金,いいえ,-230,221,0,0,-,1/5.36,3.23,-720,"1,114",2,1,1/371,1/5.94,2.64,-720,859,1,1,1/430,1/6.21,2.87,+160,"1,282",6,2,1/160,1/6.03,2.92,-40,38,0,0,-,1/5.40,3.45,+0,2,0,0,-,1/3.16,3.50,+400,"2,935",14,8,1/133,1/6.65,3.30,-250,518,1,0,1/518,1/5.12,2.93
2026-02-19,木,いいえ,-400,678,1,1,1/339,1/5.60,3.07,-10,27,0,0,-,1/3.70,3.47,-10,274,1,0,1/274,1/5.08,3.21,-160,121,0,0,-,1/6.60,3.35,"+2,060","4,881",28,9,1/132,1/6.02,2.27,-130,110,0,0,-,1/5.92,3.37,-410,719,2,0,1/360,1/6.34,2.75,-70,79,0,0,-,1/4.86,3.40
2026-02-18,水,いいえ,+680,"1,639",9,5,1/117,1/6.31,3.60,-240,894,2,4,1/149,1/6.30,3.85,-760,"2,314",7,5,1/193,1/6.49,2.79,-670,"3,478",12,8,1/174,1/6.41,2.68,-50,313,1,0,1/313,1/5.10,3.16,-370,754,2,1,1/251,1/6.42,3.03,-170,429,1,1,1/215,1/6.04,3.37,-200,"1,434",6,2,1/179,1/6.65,2.76
2026-02-17,火,いいえ,-250,501,1,2,1/167,1/6.98,3.62,-450,"2,159",5,8,1/166,1/5.78,3.80,+670,"4,201",16,17,1/127,1/5.96,4.53,-430,"2,282",4,12,1/143,1/5.73,4.65,-520,652,0,2,1/326,1/5.55,3.40,-540,"1,398",3,4,1/200,1/6.02,3.31,"-1,340","1,962",3,4,1/280,1/6.31,2.71,-430,"1,772",5,2,1/253,1/5.44,2.41
2026-02-16,月,いいえ,"+1,130","4,391",21,14,1/125,1/6.27,3.80,-60,190,0,1,1/190,1/4.67,3.61,+840,"3,189",15,8,1/139,1/5.85,3.07,-390,404,0,0,-,1/5.10,3.02,-470,866,2,1,1/289,1/6.17,2.90,-390,584,1,1,1/292,1/6.31,3.18,"+1,100","4,427",22,13,1/126,1/6.43,3.52,-340,"2,795",9,8,1/164,1/6.05,3.26
2026-02-15,日,いいえ,-100,"2,246",10,0,1/225,1/5.86,1.83,"-1,070","3,153",9,6,1/210,1/6.20,2.37,-360,"1,265",3,3,1/211,1/5.63,3.14,-650,"3,099",9,9,1/172,1/6.10,3.24,+570,937,6,2,1/117,1/6.06,3.31,"+1,300","6,596",29,19,1/137,1/5.96,3.30,-770,"2,045",5,7,1/170,1/6.61,3.62,+190,"4,130",15,16,1/133,1/6.20,4.35
2026-02-14,土,はい,-160,"3,430",13,9,1/156,1/6.26,3.04,-340,"3,488",15,4,1/184,1/6.45,1.91,"-1,220","1,416",2,2,1/354,1/6.79,2.64,-580,"5,122",18,9,1/190,1/5.87,1.93,"-1,180","2,278",4,6,1/228,1/6.07,3.01,-470,"4,964",16,13,1/171,1/5.83,2.79,+180,"1,566",8,1,1/174,1/6.17,2.42,-180,"4,502",16,12,1/161,1/5.97,2.94
2026-02-13,金,いいえ,-330,695,1,2,1/232,1/5.64,3.39,-70,"2,165",8,5,1/167,1/5.94,2.97,-630,470,0,1,1/470,1/8.10,3.28,+70,"1,014",4,5,1/113,1/7.07,4.10,+730,"4,830",19,17,1/134,1/5.91,4.10,-180,270,0,1,1/270,1/5.30,3.52,-130,888,4,1,1/178,1/7.01,2.95,-220,"1,506",6,1,1/215,1/6.07,2.41
2026-02-12,木,いいえ,-260,884,2,3,1/177,1/5.96,3.54,-230,402,1,0,1/402,1/6.00,3.06,-120,324,1,0,1/324,1/5.78,3.15,-420,407,0,0,-,1/5.33,3.01,-370,405,0,1,1/405,1/5.79,3.35,-110,653,2,1,1/218,1/5.54,3.14,-290,506,1,1,1/253,1/6.29,3.27,+70,742,3,2,1/148,1/5.94,3.41
2026-02-11,水,いいえ,+840,"1,094",8,0,1/137,1/5.50,2.58,-230,"1,039",4,1,1/208,1/6.41,2.79,-60,"1,084",3,4,1/155,1/5.62,3.68,-130,"4,898",16,17,1/148,1/5.93,3.94,-450,"1,536",4,4,1/192,1/6.00,3.20,+220,513,3,1,1/128,1/6.16,3.35,-740,"4,063",10,14,1/169,1/5.72,3.74,-510,"5,337",18,13,1/172,1/5.92,2.54
2026-02-10,火,いいえ,-510,439,0,0,-,1/5.83,2.98,-570,"1,147",2,2,1/287,1/5.60,2.91,-550,876,1,1,1/438,1/5.31,2.85,-270,215,0,0,-,1/6.26,3.24,-340,261,0,1,1/261,1/9.29,3.53,+80,"1,928",8,4,1/161,1/6.03,2.92,"+1,680","3,413",19,8,1/126,1/5.74,2.98,-330,"1,561",5,4,1/173,1/6.32,3.21
2026-02-09,月,いいえ,+620,"1,186",7,5,1/99,1/6.90,4.03,-50,342,1,1,1/171,1/5.85,3.47,-120,112,0,0,-,1/5.47,3.36,-730,"1,361",3,3,1/227,1/6.51,3.03,-90,387,1,1,1/194,1/5.71,3.42,+610,"1,164",7,2,1/129,1/5.82,3.09,+20,364,2,0,1/182,1/6.66,3.15,+200,662,4,1,1/132,1/6.87,3.21
2026-02-08,日,いいえ,+10,"3,138",13,6,1/165,1/6.12,2.50,+460,"5,823",25,17,1/139,1/6.41,3.36,-500,812,1,2,1/271,1/5.84,3.25,"-1,370","2,256",5,5,1/226,1/6.94,2.77,-590,"3,499",11,10,1/167,1/6.17,3.19,-390,445,1,0,1/445,1/7.34,3.01,+280,"4,575",20,8,1/163,1/6.05,2.09,+430,"2,806",11,9,1/140,1/5.76,3.63
2026-02-07,土,いいえ,-30,"4,228",16,9,1/169,1/5.86,2.42,-770,"4,734",15,14,1/163,1/6.22,3.24,+10,"7,694",27,24,1/151,1/5.93,3.51,"+1,240","6,411",27,22,1/131,1/6.00,4.15,+580,"4,955",22,8,1/165,1/5.82,1.93,"-1,160","3,136",6,9,1/209,1/5.70,3.09,-540,"7,296",24,26,1/146,1/6.22,4.21,-310,"4,378",17,8,1/175,1/6.12,2.14
2026-02-06,金,いいえ,-310,277,0,0,-,1/5.66,3.17,-130,"1,549",5,5,1/155,1/6.04,3.54,-430,"1,315",3,3,1/219,1/5.67,3.08,-420,659,1,0,1/659,1/5.29,2.78,-140,308,1,0,1/308,1/6.35,3.17,+990,"5,649",22,23,1/126,1/6.00,4.76,-100,534,1,1,1/267,1/4.72,3.24,-190,375,1,0,1/375,1/5.91,3.09
2026-02-05,木,いいえ,-220,158,0,0,-,1/7.01,3.31,"+1,450","4,332",23,11,1/127,1/6.23,3.07,+230,298,2,0,1/149,1/4.96,3.22,-170,147,0,0,-,1/5.81,3.32,"+1,760","4,301",22,14,1/119,1/5.98,3.92,-170,95,0,0,-,1/10.75,3.38,-170,"2,232",7,6,1/172,1/5.69,3.17,"-1,470","2,137",3,5,1/267,1/6.32,2.82
