日付,曜日,特定日,667番台,,,,,,668番台,,,,,,670番台,,,,,,671番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-05-06,水,いいえ,+861,"5,069",24,13,1/137,3.41,-432,705,1,2,1/235,3.26,+507,"4,504",20,11,1/145,3.15,-135,"2,568",10,7,1/151,3.31
2026-05-05,火,いいえ,+75,"7,656",27,28,1/139,4.13,-684,"6,039",19,22,1/147,3.81,-610,"5,293",18,13,1/171,2.64,"+1,774","7,614",37,21,1/131,3.80
2026-05-04,月,いいえ,"-1,285","1,939",3,4,1/277,2.62,+749,"6,518",28,20,1/136,3.81,"+1,026","5,526",21,27,1/115,5.04,+248,"7,273",28,22,1/145,3.47
2026-05-03,日,いいえ,-605,"4,401",15,11,1/169,2.79,-992,"1,832",3,3,1/305,2.52,-190,"2,953",10,9,1/155,3.35,+56,"4,946",15,20,1/141,4.09
2026-05-02,土,いいえ,"+2,001","6,797",35,18,1/128,3.82,-281,"3,647",15,6,1/174,2.47,"-1,050","2,441",5,6,1/222,2.73,"-1,039","2,600",6,4,1/260,2.31
2026-05-01,金,いいえ,+332,"4,859",22,9,1/157,2.54,+407,"5,664",22,18,1/142,3.67,"+1,157","2,487",15,5,1/124,3.48,-463,"5,797",19,20,1/149,3.66
2026-04-30,木,はい,-758,"3,301",9,11,1/165,3.33,-591,"2,482",8,5,1/191,2.74,"+1,450","4,885",26,13,1/125,3.85,-171,"1,799",6,5,1/164,3.28
2026-04-29,水,いいえ,-593,"2,966",11,5,1/185,2.55,+849,"5,462",26,12,1/144,2.95,-160,"4,919",15,21,1/137,4.28,+441,"2,410",11,7,1/134,3.61
2026-04-28,火,いいえ,+390,"5,956",23,17,1/149,3.26,-270,601,2,0,1/301,3.00,-39,"1,244",5,2,1/178,3.07,+54,"1,663",7,3,1/166,3.05
2026-04-27,月,いいえ,-143,"2,469",10,3,1/190,2.51,+234,"3,366",16,5,1/160,2.60,-66,"1,247",4,4,1/156,3.46,+890,"5,316",23,19,1/127,4.32
