日付,曜日,特定日,763番台,,,,,,765番台,,,,,,766番台,,,,,,767番台,,,,,,768番台,,,,,,770番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-05-16,土,いいえ,-373,"5,414",18,19,1/146,3.90,-897,"3,454",12,5,1/203,2.22,"-1,322","3,573",8,10,1/199,2.89,"-1,176","3,387",7,13,1/169,3.70,-997,"2,280",4,7,1/207,3.13,"+1,402","4,196",21,13,1/123,4.00
2026-05-15,金,いいえ,-171,"3,560",14,5,1/187,2.24,"-1,126","1,796",2,6,1/225,3.23,"-1,137","2,417",4,6,1/242,2.77,"+1,009","6,190",26,19,1/138,3.74,+0,"2,000",9,3,1/167,2.79,+91,"5,699",23,14,1/154,2.84
2026-05-14,木,いいえ,-490,"5,341",19,16,1/153,3.36,+467,"5,921",21,24,1/132,4.63,"+1,438","5,276",31,10,1/129,2.84,+44,"5,347",20,16,1/149,3.42,"+1,486","6,642",33,18,1/130,3.58,+177,"6,148",25,15,1/154,2.79
2026-05-13,水,いいえ,-429,"3,489",12,10,1/159,3.24,"-1,005","1,576",3,2,1/315,2.55,+815,"5,857",28,12,1/146,2.58,+501,"5,641",24,16,1/141,3.43,-137,"2,875",10,9,1/151,3.49,-347,"5,926",23,13,1/165,2.47
2026-05-12,火,いいえ,-291,"3,483",12,10,1/158,3.25,-956,"1,575",3,2,1/315,2.56,+941,"5,844",28,12,1/146,2.59,+619,"5,630",24,16,1/140,3.44,-139,"2,869",10,9,1/151,3.49,-253,"5,920",23,13,1/164,2.47
2026-05-11,月,いいえ,+324,"3,990",18,7,1/160,2.49,"+1,084","6,325",29,16,1/141,3.11,+490,"6,024",24,21,1/134,4.20,"-1,018","3,868",12,9,1/184,2.66,-749,"3,630",14,5,1/191,2.19,"+1,310","5,238",24,13,1/142,3.10
2026-05-10,日,はい,-491,"5,337",19,14,1/162,2.91,-951,"4,362",12,12,1/182,2.89,-750,"7,023",22,26,1/146,4.14,-124,"5,908",25,11,1/164,2.23,-434,"4,646",18,10,1/166,2.58,"-1,387","6,723",20,20,1/168,3.08
2026-05-09,土,いいえ,-50,"5,297",21,14,1/151,3.07,+33,"4,145",18,8,1/159,2.57,"-1,476","5,798",16,16,1/181,2.78,"-1,439","3,870",10,10,1/194,2.75,"+1,413","5,446",26,17,1/127,4.05,-439,"5,696",21,13,1/168,2.53
2026-05-08,金,いいえ,-969,"1,765",2,5,1/252,3.01,-807,"1,732",5,1,1/289,2.34,-732,"5,404",18,16,1/159,3.23,-374,"2,832",12,5,1/167,2.68,+530,"5,004",21,13,1/147,3.12,-504,"5,762",19,19,1/152,3.64
2026-05-07,木,いいえ,+790,"5,944",24,25,1/121,4.96,"+1,959","6,161",33,14,1/131,3.08,-394,"2,566",9,4,1/197,2.51,-300,"5,165",19,15,1/152,3.29,"-1,337","1,678",2,2,1/420,2.42,"-1,638","5,538",11,26,1/150,4.58
2026-05-06,水,いいえ,-779,"4,997",17,13,1/167,2.86,-602,"4,324",15,11,1/166,2.88,"+1,275","5,775",28,16,1/131,3.60,+692,"3,510",18,5,1/153,2.47,-792,"3,614",11,9,1/181,2.82,-454,"4,781",17,13,1/159,3.05
2026-05-05,火,いいえ,+479,"5,168",23,13,1/144,3.10,-917,"5,040",16,12,1/180,2.57,"+3,944","7,469",39,29,1/110,5.34,"+1,173","6,913",29,23,1/133,4.15,+130,"7,725",26,28,1/143,4.19,"-1,916","5,039",11,11,1/229,2.19
2026-05-04,月,いいえ,+927,"5,080",25,12,1/137,3.09,+121,"4,763",20,12,1/149,3.04,-299,"7,627",27,23,1/153,3.36,"-2,023","6,369",16,14,1/212,2.11,"-1,810","2,707",4,7,1/246,2.73,"+2,429","7,052",36,21,1/124,4.13
2026-05-03,日,いいえ,"+1,678","7,639",32,29,1/125,4.81,"-2,509","4,282",8,7,1/285,1.94,-78,"5,332",17,21,1/140,4.31,"+1,007","7,885",33,22,1/143,3.30,"-1,092","3,976",11,10,1/189,2.72,"+1,422","7,015",35,16,1/138,2.87
2026-05-02,土,いいえ,-872,"4,090",10,16,1/157,3.91,-585,"6,224",19,22,1/152,3.86,-674,"5,287",17,16,1/160,3.27,"-1,056","4,786",12,17,1/165,3.62,"+2,475","6,277",34,18,1/121,4.08,"-1,458","3,664",9,8,1/216,2.46
2026-05-01,金,いいえ,"+1,043","7,646",34,21,1/139,3.36,+867,"2,896",17,5,1/132,2.98,-439,"5,230",20,10,1/174,2.28,+608,"6,266",27,13,1/157,2.43,+625,"3,108",14,8,1/141,3.30,+29,"6,131",24,15,1/157,2.75
2026-04-30,木,はい,+433,"5,027",21,12,1/152,2.86,"+1,720","7,200",30,30,1/120,5.12,-926,"2,146",6,2,1/268,2.28,"-1,655","6,588",18,22,1/165,3.48,"-1,164","4,399",10,17,1/163,3.84,-234,"5,664",21,17,1/149,3.42
2026-04-29,水,いいえ,+411,"7,462",27,25,1/144,3.91,-591,"3,696",14,4,1/205,2.01,+386,"5,644",23,17,1/141,3.59,-580,"7,343",22,25,1/156,3.69,-93,"5,635",21,15,1/157,2.99,"+2,171","7,400",35,20,1/135,3.44
2026-04-28,火,いいえ,-950,"3,746",10,9,1/197,2.65,+257,"2,261",10,5,1/151,3.11,"+1,349","5,979",28,16,1/136,3.38,"-1,051","4,893",13,16,1/169,3.36,"+3,333","5,507",30,27,1/97,5.65,-632,"1,343",4,2,1/224,2.84
2026-04-27,月,いいえ,-243,"6,888",26,17,1/160,2.67,-615,"6,366",21,21,1/152,3.66,-359,"5,228",20,14,1/154,3.07,+924,"7,705",34,22,1/138,3.53,"-1,331","3,447",8,9,1/203,2.78,-533,"4,927",17,16,1/149,3.62
2026-04-26,日,いいえ,-17,"7,121",26,18,1/162,2.69,-436,"5,521",22,11,1/167,2.34,+345,"7,935",29,28,1/139,4.22,-269,"6,554",25,14,1/168,2.32,"-1,084","2,539",6,3,1/282,2.20,"+2,123","6,399",31,24,1/116,4.94
2026-04-25,土,いいえ,-435,"3,228",13,4,1/190,2.24,"+1,183","5,910",28,16,1/134,3.46,"-1,014","2,828",7,9,1/177,3.29,"+1,930","8,118",35,31,1/123,4.94,"+1,967","6,571",30,24,1/122,4.73,-16,"6,338",21,22,1/147,3.89
2026-04-24,金,いいえ,-960,"2,031",5,5,1/203,2.96,"+1,700","5,316",25,20,1/118,4.74,"+2,315","5,561",28,22,1/111,5.08,-669,"5,505",18,20,1/145,4.02,-999,"2,074",5,5,1/207,2.92,"-1,102","5,804",18,15,1/176,2.68
2026-04-23,木,いいえ,-120,"5,234",21,15,1/145,3.37,-685,"3,266",10,9,1/172,3.07,-97,"2,340",9,3,1/195,2.49,-592,"4,833",15,17,1/151,3.79,-626,"7,073",24,18,1/168,2.63,-638,"2,689",8,6,1/192,2.78
2026-04-22,水,いいえ,"+1,560","5,412",24,19,1/126,4.37,-578,"6,729",26,13,1/173,2.12,"+2,025","7,518",34,25,1/127,4.37,+977,"8,181",33,27,1/136,4.09,-475,"5,072",14,23,1/137,4.66,"+1,346","7,797",32,30,1/126,4.84
2026-04-20,月,はい,-914,"1,456",3,2,1/291,2.66,+519,"5,836",26,14,1/146,2.91,+586,"7,827",31,25,1/140,3.86,"-1,920","6,972",17,18,1/199,2.40,-22,"2,269",9,4,1/175,2.77,+457,"6,586",29,12,1/161,2.16
2026-04-19,日,いいえ,+428,"7,112",30,20,1/142,3.36,-190,"4,777",18,11,1/165,2.68,-932,"4,382",15,7,1/199,2.11,-559,"5,735",22,14,1/159,2.75,-911,"4,741",16,10,1/182,2.41,+75,"6,421",24,15,1/165,2.54
2026-04-18,土,いいえ,-621,"1,774",5,3,1/222,2.73,+942,"6,926",29,25,1/128,4.53,"+2,806","6,088",33,23,1/109,5.16,-696,923,1,0,1/923,2.56,"+1,238","6,526",27,24,1/128,4.55,+853,"6,335",25,25,1/127,4.73
2026-04-17,金,いいえ,+299,"7,244",23,32,1/132,4.93,-292,"4,601",18,6,1/192,1.97,"-1,495","2,245",4,3,1/321,2.30,"+1,535","7,617",34,26,1/127,4.47,-560,"3,307",12,7,1/174,2.70,"+1,207","5,501",25,18,1/128,4.14
2026-04-16,木,いいえ,-689,"2,962",9,8,1/174,3.06,+537,"6,512",26,18,1/148,3.19,+954,"5,434",25,18,1/126,4.21,-570,"5,120",20,9,1/177,2.19,-945,"4,889",14,19,1/148,4.10,-349,"5,534",22,11,1/168,2.34
2026-04-15,水,いいえ,+761,"3,969",17,12,1/137,3.64,-25,"3,794",14,13,1/141,3.84,+783,"6,892",26,25,1/135,4.34,+296,"5,526",25,9,1/163,2.15,+108,"2,732",12,7,1/144,3.28,+449,"5,955",20,31,1/117,5.38
2026-04-14,火,いいえ,"+1,278","2,950",17,8,1/118,3.77,-309,"2,768",10,7,1/163,3.08,+167,"7,325",28,19,1/156,2.84,-473,"2,530",9,2,1/230,2.17,-661,"4,492",15,15,1/150,3.67,-534,"4,013",12,11,1/174,2.97
2026-04-13,月,いいえ,"-1,234","2,484",6,4,1/248,2.41,+198,"2,998",13,8,1/143,3.34,"+1,437","4,634",22,14,1/129,3.85,-761,"4,061",14,8,1/185,2.43,"+2,901","4,559",26,20,1/99,5.36,"-1,071","3,220",9,5,1/230,2.23
2026-04-12,日,いいえ,-196,"1,805",7,1,1/226,2.39,-143,"4,986",17,14,1/161,3.09,"-1,621","3,593",6,13,1/189,3.42,+948,"5,785",26,17,1/135,3.68,-827,"1,400",4,1,1/280,2.55,-381,"3,595",12,10,1/163,3.13
2026-04-11,土,いいえ,+131,"7,236",24,31,1/132,4.87,-121,"4,756",18,11,1/164,2.70,"-1,215","2,702",6,7,1/208,2.86,"+1,663","2,527",18,2,1/126,2.68,"-1,356","4,312",13,10,1/187,2.57,"+2,502","6,958",34,26,1/116,5.01
2026-04-10,金,はい,-609,"1,883",5,5,1/188,3.12,+793,"6,135",23,26,1/125,4.90,-985,"3,521",9,11,1/176,3.23,+48,"7,545",26,28,1/140,4.33,-368,"6,303",24,15,1/162,2.62,+393,"6,145",25,18,1/143,3.47
2026-04-09,木,いいえ,"+1,468","5,088",26,15,1/124,3.95,+655,"2,734",15,4,1/144,2.74,+20,"2,569",11,6,1/151,3.12,-78,"3,865",16,8,1/161,2.69,"+1,081","4,840",24,13,1/131,3.53,+90,"4,486",20,10,1/150,2.84
