日付,曜日,特定日,763番台,,,,,,765番台,,,,,,766番台,,,,,,767番台,,,,,,768番台,,,,,,770番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-03-10,火,はい,+979,"5,238",25,10,1/150,2.50,+173,"3,576",16,6,1/163,2.51,"-1,125","2,799",8,2,1/280,1.99,"-1,455","6,301",17,17,1/185,2.65,+692,"4,379",22,8,1/146,2.61,-909,"4,177",11,14,1/167,3.45
2026-03-09,月,いいえ,-689,"1,263",3,3,1/211,3.10,-749,"2,561",8,4,1/213,2.46,+711,"4,144",17,16,1/126,4.42,-438,"2,970",11,5,1/186,2.50,-514,"1,931",5,4,1/215,2.82,-761,"2,679",9,6,1/179,2.85
2026-03-08,日,いいえ,+742,"6,106",25,21,1/133,4.19,+292,"3,242",13,9,1/147,3.33,"+1,726","8,231",38,24,1/133,3.77,-505,"4,932",17,12,1/170,2.70,"+1,748","5,099",28,11,1/131,3.05,-140,"6,706",26,17,1/156,2.81
2026-03-07,土,いいえ,-9,"5,732",21,15,1/159,2.91,"-1,180","5,090",16,14,1/170,2.94,-148,"3,483",15,4,1/183,2.17,+381,"7,518",31,17,1/157,2.47,+75,"3,120",12,8,1/156,3.12,+310,"4,717",21,10,1/152,2.69
2026-03-06,金,いいえ,-105,"5,972",21,19,1/149,3.58,+425,"4,354",18,13,1/140,3.56,+890,"6,190",29,11,1/155,2.23,-304,"4,983",16,14,1/166,3.03,"+1,817","5,541",30,11,1/135,2.76,+960,"6,397",29,16,1/142,3.04
2026-03-05,木,いいえ,-278,"2,574",9,6,1/172,2.96,"+1,436","5,656",28,16,1/129,3.74,+0,"3,112",12,8,1/156,3.13,-631,"5,482",18,16,1/161,3.16,"-1,086","1,708",2,4,1/285,2.82,-609,"4,373",13,14,1/162,3.40
2026-03-04,水,いいえ,"+1,438","2,690",17,4,1/128,2.94,-102,"4,949",16,17,1/150,3.75,+218,"5,759",27,9,1/160,2.10,-503,"6,722",28,11,1/172,1.94,"+1,775","6,961",36,13,1/142,2.38,"-1,038","6,251",22,14,1/174,2.39
2026-03-02,月,いいえ,"+1,201","5,419",24,17,1/132,3.90,-552,"2,044",6,6,1/170,3.28,+95,"4,779",21,8,1/165,2.27,+956,"5,915",24,22,1/129,4.50,-328,"4,288",16,14,1/143,3.72,"+1,683","6,198",26,30,1/111,5.45
2026-03-01,日,いいえ,+249,"5,731",24,13,1/155,2.66,-646,"4,577",17,11,1/163,2.79,"-1,867","3,775",9,8,1/222,2.39,"-1,742","5,286",12,18,1/176,3.39,"-1,516","3,933",12,4,1/246,1.85,+561,"7,148",29,21,1/143,3.48
2026-02-28,土,いいえ,-617,"2,734",7,9,1/171,3.39,-508,"5,758",20,14,1/169,2.63,"+2,238","5,703",31,17,1/119,4.21,+338,"4,792",21,6,1/177,1.98,"+1,483","5,804",32,9,1/142,2.27,"-1,720","4,963",15,12,1/184,2.58
2026-02-27,金,いいえ,-666,"2,275",5,7,1/190,3.21,"+3,472","6,764",41,16,1/119,3.61,-746,"2,239",7,2,1/249,2.27,+547,"4,617",22,10,1/144,2.85,+467,"6,935",29,20,1/142,3.46,"-1,181","2,181",4,3,1/312,2.34
2026-02-26,木,いいえ,"+1,911","6,885",33,24,1/121,4.68,"+1,415","5,797",29,9,1/153,2.15,+360,"5,838",24,16,1/146,3.23,-379,"8,966",32,24,1/160,2.79,+126,"2,416",9,6,1/161,3.12,-30,"5,292",22,11,1/160,2.50
2026-02-25,水,いいえ,-277,"2,068",8,4,1/172,2.90,"+1,160","6,125",29,11,1/153,2.27,"+2,238","6,339",28,27,1/115,5.19,"+2,363","7,891",43,14,1/138,2.26,+591,"4,526",21,8,1/156,2.44,"+1,474","5,076",25,13,1/134,3.35
2026-02-24,火,いいえ,-491,"1,415",4,3,1/202,3.02,-667,"2,950",8,7,1/197,2.77,-348,"2,747",11,4,1/183,2.48,-890,"5,675",17,19,1/158,3.58,-970,959,0,2,1/480,2.93,-795,"3,524",13,8,1/168,2.80
2026-02-23,月,いいえ,-49,"7,262",28,20,1/151,3.09,"-1,356","3,322",8,9,1/195,2.89,-230,"6,317",22,16,1/166,2.70,+414,"5,425",21,19,1/136,4.12,-14,"7,416",28,25,1/140,4.02,"-1,246","4,640",16,9,1/186,2.31
2026-02-22,日,いいえ,"-2,234","5,834",14,15,1/201,2.48,+274,"6,334",23,21,1/144,3.82,-382,"8,357",30,20,1/167,2.41,"+1,664","7,696",34,21,1/140,3.31,"+1,191","5,242",26,11,1/142,2.77,"+3,738","6,912",43,19,1/111,4.44
2026-02-21,土,いいえ,-276,"3,826",15,10,1/153,3.12,+134,"7,104",24,27,1/139,4.38,-639,"4,617",16,11,1/171,2.70,"-1,085","6,091",19,18,1/165,3.12,-720,"1,731",4,4,1/216,2.94,"+3,035","7,578",42,20,1/122,3.82
2026-02-20,金,はい,-51,"4,639",20,7,1/172,2.16,"+1,815","6,139",31,18,1/125,3.96,-393,"5,142",17,20,1/139,4.29,-616,"3,138",10,9,1/165,3.20,+334,"5,104",24,9,1/155,2.36,"+1,061","4,935",22,15,1/133,3.77
2026-02-19,木,いいえ,-628,"3,366",14,3,1/198,2.04,-910,"4,530",13,12,1/181,2.80,-925,"2,308",5,6,1/210,2.93,-727,"3,687",13,6,1/194,2.28,+404,"4,146",17,10,1/154,2.95,-698,"5,363",20,7,1/199,1.83
2026-02-18,水,いいえ,"-1,526","2,828",4,10,1/202,3.32,-286,"2,459",11,2,1/189,2.31,+998,"6,333",27,18,1/141,3.43,"-1,618","3,859",10,6,1/241,2.07,-210,"4,890",19,10,1/169,2.45,"-1,709","2,760",5,2,1/394,1.91
2026-02-17,火,いいえ,+220,"1,824",9,1,1/182,2.49,"+1,351","6,937",33,17,1/139,3.04,"-1,161","2,688",6,7,1/207,2.88,+784,"5,752",24,19,1/134,4.03,"-1,531","3,229",7,8,1/215,2.69,+604,"5,470",24,11,1/156,2.47
2026-02-16,月,いいえ,+201,"5,411",22,15,1/146,3.27,-646,"2,031",6,3,1/226,2.56,-378,"3,370",13,6,1/177,2.50,"-1,476","3,569",9,7,1/223,2.35,-664,955,2,0,1/478,2.59,-559,"5,190",18,14,1/162,2.97
2026-02-15,日,いいえ,"+1,096","6,045",28,18,1/131,3.81,-263,"1,477",6,2,1/185,2.85,+357,"7,145",30,18,1/149,2.89,-146,"5,948",22,18,1/149,3.45,+584,"6,284",24,21,1/140,3.95,"+1,081","6,544",31,15,1/142,2.82
2026-02-14,土,いいえ,-679,"3,066",11,3,1/219,2.09,"+2,125","5,074",28,15,1/118,4.15,"-2,206","3,772",7,6,1/290,2.01,-598,"4,594",15,10,1/184,2.47,"+2,220","6,079",31,19,1/122,4.27,"+1,138","6,043",31,13,1/137,2.82
2026-02-13,金,いいえ,"+1,865","6,517",35,16,1/128,3.37,-498,"1,538",4,5,1/171,3.42,-115,"5,233",19,16,1/150,3.46,"-1,719","4,198",10,9,1/221,2.33,-379,"3,325",10,13,1/145,4.00,"+1,950","5,887",30,16,1/128,3.65
2026-02-12,木,いいえ,-818,"2,136",4,7,1/194,3.28,-654,"6,740",22,22,1/153,3.60,-766,916,1,1,1/458,2.80,"-1,384","6,359",19,15,1/187,2.36,-187,"4,203",15,12,1/156,3.23,"-1,144","2,851",6,9,1/190,3.20
2026-02-11,水,いいえ,"+1,720","7,391",35,23,1/127,4.15,+267,"6,487",27,14,1/158,2.45,+711,"3,967",21,5,1/153,2.29,-855,"5,408",18,12,1/180,2.41,-279,"5,664",18,21,1/145,4.08,+148,"6,624",26,17,1/154,2.88
2026-02-10,火,はい,"-1,721","2,992",5,7,1/249,2.56,"+1,349","6,144",29,17,1/134,3.54,"+1,733","9,005",44,16,1/150,2.01,"-2,040","4,506",13,5,1/250,1.77,-402,"3,464",13,7,1/173,2.63,-152,"5,749",21,17,1/151,3.34
2026-02-09,月,いいえ,-216,"3,143",12,6,1/175,2.63,"-1,015","1,816",4,2,1/303,2.42,"+1,117","8,224",34,28,1/133,4.31,"-1,160","3,037",9,4,1/234,2.18,"+2,032","7,087",37,16,1/134,2.94,+252,"6,764",28,15,1/157,2.49
2026-02-08,日,いいえ,"-1,233","2,680",5,8,1/206,3.05,-661,"3,825",13,7,1/191,2.36,"+1,062","6,928",32,14,1/151,2.39,-139,"6,908",25,21,1/150,3.43,-116,"5,081",19,17,1/141,3.85,+749,"6,837",29,23,1/131,4.22
2026-02-07,土,いいえ,-892,"3,051",7,8,1/203,2.84,"-1,216","1,685",1,6,1/241,3.27,+398,"6,901",28,17,1/153,2.77,+24,"3,492",14,8,1/159,2.90,-773,"3,770",8,15,1/164,3.85,-230,"5,860",22,15,1/158,2.86
2026-02-06,金,いいえ,+905,"5,077",22,14,1/141,3.36,+837,"4,228",17,19,1/117,4.90,"+1,418","6,521",24,29,1/123,5.08,+939,"4,788",23,13,1/133,3.50,-642,"3,586",12,9,1/171,2.91,+428,"5,559",25,13,1/146,2.87
2026-02-05,木,いいえ,"-1,586","3,898",8,13,1/186,3.27,+625,"5,915",25,19,1/134,3.94,-982,"4,619",15,13,1/165,3.07,"+1,528","6,148",28,23,1/121,4.77,-866,"1,387",2,3,1/277,2.89,+874,"6,021",27,17,1/137,3.51
2026-02-04,水,いいえ,-225,"5,152",19,7,1/198,1.89,+296,"4,640",19,14,1/141,3.59,"-2,744","6,314",16,12,1/226,1.89,-670,"4,634",15,11,1/178,2.63,-609,"2,201",6,6,1/183,3.11,"+1,466","8,224",40,14,1/152,2.00
2026-02-02,月,いいえ,+61,"4,388",15,17,1/137,4.23,-352,"2,980",9,8,1/175,3.04,"-1,386","5,101",15,12,1/189,2.48,-533,"2,370",8,5,1/182,2.84,+185,"3,061",11,10,1/146,3.63,"+1,679","7,257",32,25,1/127,4.46
2026-02-01,日,いいえ,-333,"3,097",12,5,1/182,2.46,+31,"4,130",17,9,1/159,2.74,"+1,104","6,283",28,15,1/146,2.86,+641,"7,590",30,23,1/143,3.58,+67,"4,069",15,15,1/136,4.11,-596,"7,991",25,27,1/154,3.73
2026-01-31,土,いいえ,+549,"5,633",21,22,1/131,4.52,-366,"5,172",16,20,1/144,4.19,"-1,315","5,363",15,13,1/192,2.48,"+1,061","4,639",23,8,1/150,2.46,"+3,209","8,155",39,34,1/112,5.44,-534,"5,026",17,14,1/162,3.06
2026-01-30,金,はい,+85,"4,489",18,11,1/155,2.93,+301,"6,242",27,11,1/164,2.13,"+1,149","6,632",27,26,1/125,4.79,-763,"7,084",23,18,1/173,2.58,"-1,477","3,312",7,6,1/255,2.26,"-1,386","5,924",15,17,1/185,2.83
2026-01-29,木,いいえ,-43,"4,574",16,18,1/135,4.34,"-1,016","4,105",13,6,1/216,2.04,-366,"5,055",19,14,1/153,3.16,"+2,660","7,814",38,27,1/120,4.77,"-3,291","6,226",9,22,1/201,3.26,"-1,437","5,324",16,12,1/190,2.38
2026-01-28,水,いいえ,-135,"4,940",16,18,1/145,3.98,+592,"3,368",14,14,1/120,4.52,"+1,907","5,985",32,16,1/125,3.71,-622,"3,767",13,7,1/188,2.40,"+1,583","6,033",27,20,1/128,4.21,-16,"4,850",19,11,1/162,2.68
2026-01-27,火,いいえ,-259,"6,525",25,19,1/148,3.34,"-1,250","3,728",10,10,1/186,2.87,-864,"3,126",11,3,1/223,2.06,"-1,756","4,546",10,9,1/239,2.13,-771,"3,686",10,12,1/168,3.38,"-1,614","2,813",5,8,1/216,2.93
2026-01-26,月,いいえ,-370,"1,327",4,1,1/265,2.61,-817,"3,389",9,10,1/178,3.12,+276,"5,175",24,13,1/140,3.16,-34,"5,655",23,15,1/149,3.10,"-1,105","3,103",7,10,1/183,3.26,-982,"2,414",6,5,1/219,2.67
2026-01-25,日,いいえ,+720,"7,425",30,22,1/143,3.52,"+2,221","4,641",29,11,1/116,3.68,"-1,693","4,083",11,8,1/215,2.28,-503,"6,667",23,18,1/163,2.88,"-1,215","2,554",7,2,1/284,2.08,"+1,662","6,922",32,21,1/131,3.93
2026-01-24,土,いいえ,"-1,617","4,610",11,13,1/192,2.83,+530,"8,217",34,20,1/152,2.67,+977,"5,216",26,12,1/137,3.03,"-1,287","4,270",13,8,1/203,2.25,+360,"5,623",28,8,1/156,2.07,"-1,166","7,907",23,23,1/172,2.92
2026-01-23,金,いいえ,+372,"2,778",15,4,1/146,2.70,-722,"3,785",10,12,1/172,3.28,"+3,002","5,707",35,12,1/121,3.22,"+1,580","7,443",34,23,1/131,4.02,-665,"1,116",2,3,1/223,3.18,-91,"5,213",20,17,1/141,3.79
2026-01-22,木,いいえ,+945,"6,706",23,32,1/122,5.24,-344,613,1,1,1/307,3.13,"+1,748","6,590",33,14,1/140,2.69,-458,"5,738",20,13,1/174,2.46,+806,"4,884",26,8,1/144,2.44,+394,"6,212",25,18,1/144,3.41
2026-01-21,水,いいえ,-369,"1,499",6,0,1/250,2.38,"+1,009","5,299",25,12,1/143,2.88,-368,"2,903",12,3,1/194,2.23,"+1,367","6,761",31,21,1/130,4.02,"-1,492","3,399",7,9,1/212,2.76,-242,"5,618",21,18,1/144,3.70
2026-01-20,火,はい,-703,"1,310",3,2,1/262,2.80,+81,"6,379",25,14,1/164,2.43,"+1,293","3,165",16,10,1/122,3.96,+278,"4,866",18,14,1/152,3.28,+958,"5,609",26,14,1/140,3.12,+716,"5,844",25,17,1/139,3.54
2026-01-18,日,いいえ,"+1,203","6,354",29,19,1/132,3.81,"-1,139","1,943",5,2,1/278,2.38,"+2,241","8,479",40,29,1/123,4.70,"+2,049","6,302",31,22,1/119,4.68,+161,"6,250",22,19,1/152,3.39,"-1,038","4,447",13,13,1/171,3.10
2026-01-17,土,いいえ,"-1,406","4,319",11,10,1/206,2.47,+530,"3,588",15,10,1/144,3.38,-810,"6,989",22,22,1/159,3.38,-138,"7,437",28,19,1/158,2.75,-615,"4,654",15,14,1/160,3.27,+167,"7,436",25,26,1/146,4.00
2026-01-16,金,いいえ,+620,"4,209",18,13,1/136,3.72,+906,"3,614",15,12,1/134,3.87,"-1,460","3,258",7,9,1/204,2.88,-229,"3,524",13,8,1/168,2.80,+137,"6,217",25,17,1/148,3.17,-538,"5,054",17,11,1/181,2.43
2026-01-15,木,いいえ,-313,"2,192",8,5,1/169,3.02,+22,"4,969",20,14,1/146,3.32,-590,"4,581",15,11,1/176,2.67,-273,"2,184",8,4,1/182,2.78,-56,"5,409",21,11,1/169,2.37,"-1,032","6,216",22,9,1/201,1.78
2026-01-14,水,いいえ,"-1,355","6,424",21,12,1/195,1.98,-751,"1,311",3,2,1/262,2.80,-320,"6,563",23,18,1/160,2.96,"+1,255","6,338",34,8,1/151,1.93,-249,"5,234",19,13,1/164,2.78,"-1,103","6,778",23,17,1/169,2.61
2026-01-13,火,いいえ,+355,"7,158",26,25,1/140,4.11,"+2,735","5,634",31,23,1/104,5.33,"+2,337","4,853",28,12,1/121,3.60,+172,"6,668",24,20,1/152,3.36,-270,"2,053",8,3,1/187,2.67,+249,"4,527",18,12,1/151,3.13
2026-01-12,月,いいえ,+463,"6,954",26,23,1/142,3.89,+95,"4,106",17,12,1/142,3.49,"+2,003","8,115",37,27,1/127,4.44,+0,"6,688",25,18,1/156,2.98,+712,"4,967",23,13,1/138,3.30,-908,"6,474",23,12,1/185,2.02
2026-01-11,日,いいえ,+603,"5,586",24,13,1/151,2.78,-11,"6,725",25,17,1/160,2.74,-970,"4,133",12,11,1/180,2.87,+322,"7,326",31,17,1/153,2.60,"+1,168","6,269",30,14,1/142,2.78,"-1,393","4,748",11,16,1/176,3.36
2026-01-10,土,はい,+239,"6,800",26,21,1/145,3.60,-66,"5,659",20,20,1/141,4.03,-149,"5,260",18,15,1/159,3.13,+336,"7,629",25,37,1/123,5.31,"+1,030","6,795",30,18,1/142,3.20,"+1,400","7,731",35,24,1/131,4.03
2026-01-09,金,いいえ,-705,"2,037",7,1,1/255,2.23,-676,"6,217",22,14,1/173,2.41,"+1,616","5,647",29,14,1/131,3.31,"-1,463","2,976",8,3,1/271,2.03,"+1,116","5,353",21,23,1/122,4.91,"-1,245","5,372",15,15,1/179,2.86
2026-01-08,木,いいえ,+751,"3,632",19,9,1/130,3.40,+371,"7,236",26,31,1/127,4.99,"-1,216","2,709",6,5,1/246,2.44,+939,"6,484",30,17,1/138,3.27,-537,"5,610",17,23,1/140,4.44,-615,"4,313",14,14,1/154,3.53
2026-01-07,水,いいえ,+386,"3,223",13,8,1/153,3.09,"-1,316","4,031",11,9,1/202,2.48,+484,"7,215",29,19,1/150,2.98,-912,"5,079",17,11,1/181,2.41,-827,"2,590",8,4,1/216,2.44,"-2,652","5,053",11,11,1/230,2.19
2026-01-05,月,いいえ,-519,"1,678",5,3,1/210,2.82,-132,"4,294",17,10,1/159,2.81,"+2,173","7,588",39,18,1/133,3.07,-255,"4,126",15,11,1/159,3.07,-453,"5,961",20,18,1/157,3.30,-463,"3,432",10,12,1/156,3.65
2026-01-04,日,いいえ,-689,"4,246",16,7,1/185,2.22,-896,"6,973",22,21,1/162,3.19,-299,"6,418",27,11,1/169,2.04,"-1,085","5,746",17,13,1/192,2.33,-291,"3,348",15,5,1/167,2.43,"+1,839","8,027",38,27,1/123,4.59
2026-01-03,土,いいえ,+712,"6,752",32,14,1/147,2.51,-656,"4,537",17,8,1/181,2.25,"+2,522","6,942",38,17,1/126,3.41,"+3,535","6,580",38,28,1/100,5.61,-532,"4,642",17,8,1/186,2.19,"-1,779","7,645",21,21,1/182,2.64
2026-01-02,金,いいえ,"+2,616","6,328",35,20,1/115,4.58,"+2,826","7,251",36,29,1/112,5.30,-415,"5,034",19,10,1/174,2.36,-837,"6,698",27,10,1/181,1.82,"+1,437","5,976",26,21,1/127,4.40,-138,"6,087",21,22,1/142,4.12
2026-01-01,木,いいえ,+337,"3,444",16,8,1/144,3.09,-458,"4,039",15,8,1/176,2.49,+587,"2,550",14,2,1/159,2.40,-51,"4,007",16,8,1/167,2.57,-508,"4,364",15,13,1/156,3.31,-111,"5,909",21,17,1/156,3.19
2025-12-31,水,いいえ,"+3,990","6,701",37,29,1/102,5.60,-292,"3,054",11,8,1/161,3.11,-860,"5,313",16,11,1/197,2.23,-109,"5,081",20,11,1/164,2.55,-622,"2,839",10,4,1/203,2.36,-580,"2,637",9,5,1/188,2.66
2025-12-30,火,はい,"-1,020","6,061",18,21,1/155,3.73,"-1,921","5,500",15,10,1/220,1.97,-190,"7,443",28,15,1/173,2.11,+239,"6,200",24,13,1/168,2.34,-468,"7,076",25,20,1/157,3.07,-419,"7,258",25,25,1/145,3.96
2025-12-29,月,いいえ,+98,"6,913",22,24,1/150,3.86,"+1,492","6,640",29,22,1/130,4.20,-137,"6,186",23,20,1/144,3.75,-951,"3,288",10,8,1/183,2.82,+19,"4,320",17,11,1/154,3.02,-584,"6,672",26,11,1/180,1.91
2025-12-28,日,いいえ,"+1,578","8,138",32,33,1/125,5.00,"-1,244","2,223",5,5,1/222,2.78,+186,"4,902",19,16,1/140,3.80,+677,"5,473",21,19,1/137,4.07,"-1,355","1,632",2,1,1/544,2.27,+975,"5,693",28,14,1/136,3.18
2025-12-27,土,いいえ,-490,"3,767",15,5,1/188,2.15,+220,"5,211",20,14,1/153,3.08,"-1,603","4,290",11,10,1/204,2.49,+941,"4,901",25,10,1/140,2.78,+760,"6,798",25,28,1/128,4.83,+427,"5,979",24,18,1/142,3.56
2025-12-26,金,いいえ,+731,"2,349",13,5,1/131,3.27,+674,"3,467",16,6,1/158,2.60,+136,"2,688",13,3,1/168,2.44,+550,"4,975",23,11,1/146,2.81,-746,"2,677",7,7,1/191,2.95,+133,"2,821",12,5,1/166,2.69
2025-12-25,木,いいえ,-135,"3,295",14,5,1/173,2.42,-935,"2,921",7,9,1/183,3.20,+163,"4,899",21,11,1/153,2.75,+323,"5,170",22,12,1/152,2.80,-698,"3,508",11,7,1/195,2.49,-326,"4,481",15,13,1/160,3.20
2025-12-24,水,いいえ,+157,"4,421",17,13,1/147,3.41,-698,"1,596",4,3,1/228,2.83,"-1,039","4,221",14,6,1/211,2.02,-476,"6,086",20,21,1/148,3.84,+159,"2,872",13,4,1/169,2.49,-152,"5,654",22,14,1/157,2.82
2025-12-22,月,いいえ,-644,"1,353",2,4,1/226,3.19,+567,"7,148",31,17,1/149,2.74,-731,"3,126",12,1,1/240,1.85,-457,"6,225",21,21,1/148,3.78,+214,"6,522",23,25,1/136,4.44,"+1,825","4,330",24,12,1/120,3.86
2025-12-21,日,いいえ,+693,"4,319",20,12,1/135,3.51,-689,"3,334",11,5,1/208,2.25,+122,"7,060",25,20,1/157,3.09,-869,"2,933",9,7,1/183,2.85,-845,"2,191",7,3,1/219,2.49,"-1,567","7,844",25,20,1/174,2.52
2025-12-20,土,はい,+939,"6,348",30,13,1/148,2.51,+34,"5,099",19,16,1/146,3.60,-852,"3,653",12,5,1/215,2.10,+924,"7,712",33,24,1/135,3.90,"-1,622","3,066",5,7,1/256,2.51,-968,"7,704",23,24,1/164,3.26
2025-12-19,金,いいえ,+460,"5,575",26,10,1/155,2.32,-62,"4,340",17,11,1/155,3.00,+0,"2,085",8,4,1/174,2.88,"+1,060","4,486",23,8,1/145,2.58,"+2,690","7,011",35,21,1/125,4.09,-770,"3,131",12,1,1/241,1.85
2025-12-18,木,いいえ,-267,"2,198",9,5,1/157,3.10,-32,"4,774",18,15,1/145,3.61,"+2,875","4,805",29,14,1/112,4.31,+244,"3,562",17,3,1/178,2.05,+396,"3,531",16,7,1/154,2.76,-557,"1,771",5,4,1/197,2.98
2025-12-17,水,いいえ,"-1,057","2,657",6,7,1/204,2.90,"+1,509","6,309",32,15,1/134,3.10,+539,"6,460",23,27,1/129,4.81,"-1,141","3,231",9,6,1/215,2.40,"-1,285","5,252",16,12,1/188,2.42,+521,"4,566",20,12,1/143,3.24
2025-12-16,火,いいえ,"-1,405","4,317",8,17,1/173,3.77,"+1,911","7,321",32,30,1/118,5.16,-255,"6,148",21,21,1/146,3.85,+888,"5,791",27,14,1/141,3.01,"-1,004","1,983",5,4,1/220,2.77,-32,"3,912",16,9,1/156,2.87
2025-12-15,月,いいえ,"+1,033","6,707",32,15,1/143,2.74,-76,"2,557",9,9,1/142,3.76,"-1,296","2,453",6,3,1/273,2.25,"+1,837","5,466",31,12,1/127,3.15,"-1,052","3,249",7,10,1/191,3.12,+978,"3,929",20,9,1/135,3.15
2025-12-14,日,いいえ,+926,"5,587",24,17,1/136,3.73,+110,"2,151",8,6,1/154,3.33,-550,"4,059",15,6,1/193,2.14,"+1,415","6,343",29,17,1/138,3.33,-598,"3,548",9,13,1/161,3.69,"+3,216","5,817",38,10,1/121,2.82
2025-12-13,土,いいえ,"-1,125","4,376",11,15,1/168,3.48,"-1,512","2,726",4,7,1/248,2.72,+321,"5,861",22,22,1/133,4.40,-912,"4,374",13,12,1/175,2.94,"+1,491","5,153",24,21,1/115,4.97,"+1,289","6,441",29,22,1/126,4.39
2025-12-12,金,いいえ,-409,"1,763",6,2,1/220,2.58,+461,"4,694",18,15,1/142,3.69,+444,"3,613",18,5,1/157,2.39,+693,"4,956",21,16,1/134,3.91,-420,"5,248",20,12,1/164,2.62,-337,"5,511",18,22,1/138,4.41
2025-12-11,木,いいえ,-207,"2,456",9,6,1/164,3.08,"+2,166","6,176",31,22,1/117,4.79,-253,"5,271",18,20,1/139,4.24,"+1,298","8,151",39,14,1/154,2.00,+316,"3,121",14,6,1/156,2.78,"-1,968","2,981",6,3,1/331,1.97
2025-12-10,水,はい,+183,"4,596",18,13,1/148,3.30,"-1,199","4,871",13,14,1/180,2.94,+625,"6,943",29,19,1/145,3.22,"-1,897","5,598",16,12,1/200,2.22,+725,"7,414",27,26,1/140,4.15,-634,"2,663",8,4,1/222,2.38
2025-12-08,月,いいえ,-538,"3,221",12,4,1/201,2.20,"-1,744","2,543",4,5,1/283,2.46,"-1,905","3,761",7,7,1/269,2.15,-564,"2,789",9,6,1/186,2.75,-328,"6,375",20,23,1/148,3.99,+594,"6,291",28,14,1/150,2.64
2025-12-07,日,いいえ,-323,"6,171",26,10,1/171,2.00,+296,"2,063",8,9,1/121,4.24,-383,"6,454",21,25,1/140,4.36,+216,"4,375",17,13,1/146,3.46,"-1,320","2,844",5,4,1/316,2.14,-984,"1,806",4,2,1/301,2.43
2025-12-06,土,いいえ,-581,"3,359",11,8,1/177,2.82,-228,"3,501",13,11,1/146,3.57,+328,"5,505",21,11,1/172,2.31,-613,"5,319",18,13,1/172,2.66,"-1,102","3,231",7,8,1/215,2.69,-867,"4,008",14,7,1/191,2.29
2025-12-05,金,いいえ,"+2,663","6,842",32,25,1/120,4.81,-573,"1,824",6,2,1/228,2.53,-454,"5,197",19,12,1/168,2.61,-597,"5,515",18,16,1/162,3.13,+127,"4,908",21,13,1/144,3.21,"+1,736","5,846",30,16,1/127,3.70
2025-12-04,木,いいえ,"-1,901","3,378",8,4,1/282,1.97,-590,"2,183",7,4,1/198,2.72,-312,"5,688",20,17,1/154,3.33,-255,"3,084",11,9,1/154,3.34,-719,"3,993",12,13,1/160,3.46,+681,"3,177",17,4,1/151,2.48
2025-12-03,水,いいえ,"-1,068","3,820",12,7,1/201,2.32,+327,"4,578",16,16,1/143,3.89,-31,"4,513",20,7,1/167,2.23,+835,"5,104",23,15,1/134,3.67,-64,"3,571",16,6,1/162,2.51,"+1,767","5,541",28,14,1/132,3.34
2025-12-02,火,いいえ,+304,"4,365",18,12,1/146,3.29,-145,"2,074",9,4,1/160,2.97,-583,"1,089",2,1,1/363,2.70,-521,"2,022",6,2,1/253,2.37,-595,"1,290",3,3,1/215,3.07,"-1,209","1,217",1,2,1/406,2.75
2025-12-01,月,いいえ,"-1,287","3,936",9,13,1/179,3.30,-490,"1,711",4,5,1/190,3.22,+697,"5,343",23,14,1/144,3.17,+479,"4,150",21,6,1/154,2.34,+289,"4,514",16,15,1/146,3.72,-69,"4,819",19,13,1/151,3.15
2025-11-30,日,はい,"-2,134","3,874",7,9,1/242,2.41,"+1,558","5,786",29,13,1/138,2.92,-595,"5,856",20,13,1/177,2.38,-665,"5,816",20,14,1/171,2.59,"-1,267","4,463",15,7,1/203,2.07,"+1,043","8,105",36,21,1/142,3.07
2025-11-29,土,いいえ,+507,"5,086",23,13,1/141,3.18,-538,"1,888",5,4,1/210,2.86,+389,"5,477",24,11,1/156,2.47,"+2,219","7,981",35,31,1/121,5.03,"+1,828","4,045",23,8,1/130,3.00,"+1,333","6,051",28,17,1/134,3.56
2025-11-28,金,いいえ,-509,"1,694",5,2,1/242,2.58,-610,960,1,2,1/320,3.01,+571,"4,442",22,5,1/165,2.05,"-2,253","4,340",7,10,1/255,2.28,-326,802,2,1,1/267,3.00,"+1,469","7,340",32,23,1/133,3.97
2025-11-27,木,いいえ,-151,"1,710",7,4,1/155,3.21,"+1,063","6,882",30,22,1/132,4.04,+886,"5,728",27,15,1/136,3.32,"-1,176","1,999",5,1,1/333,2.16,"+1,724","7,185",35,20,1/131,3.66,"-1,072","4,289",11,16,1/159,3.80
2025-11-26,水,いいえ,"+1,154","6,191",27,26,1/117,5.11,-228,"1,506",6,2,1/188,2.82,"-1,049","2,746",8,3,1/250,2.16,+267,"3,963",19,5,1/165,2.20,-760,"2,080",4,5,1/231,2.84,+926,"5,354",25,17,1/127,4.06
2025-11-25,火,いいえ,+20,601,2,1,1/200,3.23,-508,916,2,2,1/229,3.14,-44,"4,700",18,11,1/162,2.74,-80,"3,635",13,11,1/151,3.42,-407,"1,159",3,2,1/232,2.95,-278,"4,858",17,16,1/147,3.69
