日付,曜日,特定日,715番台,,,,,,716番台,,,,,,717番台,,,,,,718番台,,,,,,720番台,,,,,,721番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-06-08,月,いいえ,-208,"5,055",18,13,1/163,2.68,-350,"4,297",15,14,1/148,3.38,+557,"4,565",21,11,1/143,2.96,"-1,423","2,596",5,6,1/236,2.55,"+1,132","5,194",25,14,1/133,3.35,"-1,050","3,019",9,5,1/216,2.29
2026-06-07,日,いいえ,"+1,168","4,092",20,12,1/128,3.65,+615,"4,029",20,6,1/155,2.36,+533,"2,460",10,10,1/123,4.04,+201,"5,617",23,11,1/165,2.21,-449,"2,328",10,0,1/233,2.03,-832,"3,400",8,11,1/179,3.03
2026-06-06,土,いいえ,"+2,809","6,425",35,23,1/111,4.86,-250,979,3,1,1/245,2.89,"+2,363","6,258",29,23,1/120,4.51,-548,"1,725",4,4,1/216,2.87,-227,"3,049",11,6,1/179,2.57,-440,"3,961",13,11,1/165,2.90
2026-06-05,金,いいえ,-887,"1,928",4,7,1/175,3.33,"+1,225","6,803",28,21,1/139,3.46,-374,"1,285",4,2,1/214,2.88,"+2,433","5,964",29,23,1/115,4.76,+184,"1,546",7,2,1/172,2.87,-872,"3,585",8,14,1/163,3.48
2026-06-04,木,いいえ,"+1,204","4,619",22,17,1/118,4.37,-112,"1,493",6,2,1/187,2.83,"+1,155","6,120",26,22,1/128,4.19,+95,"1,260",6,2,1/158,3.10,"+3,926","8,545",41,40,1/105,5.50,-249,727,2,1,1/242,3.07
2026-06-03,水,いいえ,"+2,333","5,579",30,17,1/119,4.13,-717,"2,932",8,8,1/183,2.86,-240,"3,966",14,9,1/172,2.57,+627,"3,277",17,6,1/142,2.83,-397,"2,496",7,8,1/166,3.22,-983,"3,511",9,11,1/176,3.01
2026-06-02,火,いいえ,"-1,549","2,940",5,6,1/267,2.29,-734,"3,029",9,8,1/178,2.85,"-1,055","3,020",7,8,1/201,2.70,+464,"4,068",18,10,1/145,3.00,-465,"2,577",9,2,1/234,2.12,"+1,421","6,280",27,22,1/128,4.12
2026-06-01,月,いいえ,"-1,351","3,048",6,8,1/218,2.61,+92,"3,458",16,4,1/173,2.21,-625,"2,391",5,9,1/171,3.38,+362,"2,171",10,5,1/145,3.17,-384,"2,325",9,2,1/211,2.30,+155,"1,221",5,4,1/136,3.55
2026-05-31,日,いいえ,"-1,015","4,646",15,9,1/194,2.15,+267,"3,574",15,10,1/143,3.26,"+3,650","8,341",42,25,1/124,4.02,-278,"2,040",8,4,1/170,2.89,-440,"3,952",15,9,1/165,2.65,-66,"5,081",20,17,1/137,3.67
2026-05-30,土,はい,+374,"7,424",26,25,1/146,3.48,-909,"1,275",2,1,1/425,2.51,"-1,128","2,086",3,6,1/232,2.86,"+2,330","6,281",33,18,1/123,3.86,-547,"3,161",10,10,1/158,3.24,"+1,726","6,060",25,30,1/110,5.21
2026-05-29,金,いいえ,-379,"5,084",18,14,1/159,2.84,+585,"4,602",18,19,1/124,4.39,-185,"1,723",7,1,1/215,2.48,"-1,209","2,999",6,11,1/176,3.26,+31,"4,060",14,14,1/145,3.54,"+1,289","6,506",30,17,1/138,3.07
2026-05-28,木,いいえ,-646,"3,880",12,13,1/155,3.32,-196,"2,627",8,9,1/155,3.41,"+1,187","2,060",13,2,1/137,2.86,-232,"4,251",16,10,1/164,2.65,"-1,156","2,748",5,8,1/211,2.80,+182,"1,880",9,3,1/157,2.92
2026-05-27,水,いいえ,+198,"6,162",22,23,1/137,3.97,-693,"1,714",5,3,1/214,2.74,"+3,002","8,327",40,31,1/117,4.87,-190,"2,607",9,7,1/163,3.06,-386,"3,455",11,11,1/157,3.24,+495,"3,815",15,15,1/127,4.13
