日付,曜日,特定日,718番台,,,,,,,,,720番台,,,,,,,,,721番台,,,,,,,,,722番台,,,,,,,,,723番台,,,,,,,,,725番台,,,,,,,,,726番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-03-31,火,いいえ,-223,"6,856",22,20,1/163,-,3.47,14,2.0,-301,"1,232",3,4,1/176,-,3.46,62,25.0,+330,"3,887",15,11,1/150,-,3.66,37,11.0,-313,"2,555",8,6,1/183,-,3.29,8,-,-457,"1,267",3,2,1/253,-,3.19,26,9.0,"-1,161","1,806",2,2,1/452,-,2.79,17,3.0,+594,"2,593",12,4,1/162,-,3.35,12,4.0
2026-03-30,月,はい,-557,"4,709",14,11,1/188,-,3.06,8,1.0,"-1,567","6,391",15,22,1/173,-,3.43,51,7.0,-670,"4,790",13,16,1/165,-,3.54,44,24.0,+713,"5,207",21,10,1/168,-,3.20,7,-,-504,"4,881",21,7,1/174,-,3.04,20,6.0,"+4,453","6,870",39,22,1/113,-,5.00,8,1.0,"+1,154","3,060",16,7,1/133,-,3.78,14,6.0
2026-03-29,日,はい,+333,"2,298",9,3,1/192,-,3.17,7,1.0,"-1,314","1,885",3,2,1/377,-,2.82,41,6.0,-914,"3,458",9,8,1/203,-,3.06,18,4.0,+184,"6,123",20,23,1/142,-,4.15,6,-,-650,"2,814",7,7,1/201,-,3.17,14,7.0,-394,"4,839",13,16,1/167,-,3.50,18,4.0,+363,"7,047",23,23,1/153,-,3.81,35,17.0
2026-03-28,土,はい,"+2,863","6,282",29,20,1/128,-,4.42,8,1.0,-72,"3,973",13,6,1/209,-,2.84,22,6.0,+143,"8,819",27,30,1/155,-,3.89,11,1.0,+134,"3,017",11,7,1/168,-,3.37,7,-,+375,"2,902",11,5,1/181,-,3.20,10,2.0,"-2,367","5,319",9,16,1/213,-,2.89,16,5.0,-346,"7,434",25,17,1/177,-,3.00,29,7.0
2026-03-27,金,いいえ,"+2,331","5,477",24,16,1/137,-,4.03,8,-,-866,870,0,1,1/870,-,3.07,19,5.0,"-1,066","2,367",4,7,1/215,-,3.20,22,3.0,"+2,922","6,169",31,16,1/131,-,4.18,9,1.0,-279,"1,722",6,3,1/191,-,3.28,9,1.0,+692,"4,585",18,12,1/153,-,3.59,9,1.0,-90,"5,123",16,17,1/155,-,3.70,14,5.0
2026-03-26,木,いいえ,+589,"2,612",9,10,1/137,-,3.85,9,1.0,"+3,209","7,384",31,32,1/117,-,5.14,16,1.0,"-1,426","1,417",1,3,1/354,-,3.06,9,1.0,-256,"1,488",5,2,1/213,-,3.22,15,6.0,+596,"6,121",22,20,1/146,-,3.95,9,1.0,"+1,060","1,813",10,4,1/130,-,3.69,8,-,+34,"4,758",16,12,1/170,-,3.31,15,6.0
2026-03-25,水,いいえ,+514,"4,939",19,12,1/159,-,3.45,9,2.0,"-1,914","2,551",3,3,1/425,-,2.58,42,17.0,+866,"3,600",15,9,1/150,-,3.59,7,-,"+1,383","4,887",22,10,1/153,-,3.48,9,2.0,+168,"3,528",12,13,1/141,-,3.89,7,-,"+1,360","6,252",24,17,1/152,-,3.65,7,-,-922,"5,279",14,15,1/182,-,3.19,25,16.0
2026-03-24,火,いいえ,-957,"5,618",15,13,1/201,-,2.84,11,2.0,+801,"5,048",20,13,1/153,-,3.59,27,11.0,+265,"1,752",8,2,1/175,-,3.30,7,-,"+1,430","5,913",25,16,1/144,-,3.83,9,2.0,+716,"3,752",14,8,1/171,-,3.28,12,1.0,+901,"6,502",21,24,1/144,-,4.11,12,1.0,-137,"4,066",13,11,1/169,-,3.37,16,4.0
2026-03-23,月,いいえ,"+2,620","5,361",25,14,1/137,-,3.94,6,-,-51,946,3,2,1/189,-,3.40,35,19.0,"+1,207","1,939",11,5,1/121,-,3.82,12,1.0,"+1,082","4,689",19,10,1/162,-,3.36,15,1.0,-579,397,0,0,-,-,3.24,14,2.0,+959,"5,598",20,16,1/156,-,3.61,16,1.0,-171,"1,645",5,3,1/206,-,3.24,11,5.0
2026-03-22,日,はい,"-1,069","2,620",5,8,1/202,-,3.25,16,4.0,"+1,067","5,167",27,10,1/140,-,3.73,45,11.0,+589,"4,612",17,11,1/165,-,3.36,12,6.0,-731,"6,179",19,16,1/177,-,3.16,34,10.0,+101,"3,379",10,14,1/141,-,3.94,12,6.0,-833,"1,202",1,2,1/401,-,3.07,24,8.0,"+2,151","7,318",30,25,1/133,-,4.45,6,-
2026-03-21,土,はい,+963,"5,535",22,14,1/154,-,3.57,9,-,-932,"5,906",17,13,1/197,-,2.82,78,47.0,-333,"4,946",16,15,1/160,-,3.56,13,4.0,-497,"2,063",6,3,1/229,-,3.07,31,14.0,"+1,157","4,223",20,7,1/156,-,3.36,17,3.0,-818,"1,374",2,3,1/275,-,3.17,14,1.0,"+2,920","5,499",26,20,1/120,-,4.64,9,-
2026-03-20,金,はい,"+1,473","7,404",29,24,1/140,-,4.21,11,3.0,-477,"6,810",25,16,1/166,-,3.26,77,49.0,"+2,220","8,273",32,28,1/138,-,4.39,6,-,-218,"3,241",10,8,1/180,-,3.27,28,17.0,-854,"6,201",16,21,1/168,-,3.51,28,17.0,+122,"5,268",17,15,1/165,-,3.44,8,2.0,-825,"2,284",5,6,1/208,-,3.21,11,3.0
2026-03-19,木,いいえ,+442,"3,981",16,8,1/166,-,3.30,17,9.0,-573,"1,920",5,5,1/192,-,3.32,66,40.0,"+1,068","3,870",14,17,1/125,-,4.33,8,2.0,"+2,707","8,277",34,25,1/140,-,4.20,26,9.0,"+4,139","3,720",29,8,1/101,-,4.56,26,9.0,"+1,803","4,256",19,16,1/122,-,4.38,6,-,"+3,829","7,345",34,31,1/113,-,5.24,6,-
2026-03-18,水,いいえ,"+1,149","5,854",24,17,1/143,-,3.91,16,1.0,-62,"1,331",5,2,1/190,-,3.32,64,15.0,"-1,420","2,665",4,9,1/205,-,3.26,18,2.0,"+1,167","5,657",22,17,1/145,-,3.87,49,7.0,-718,"2,173",3,9,1/181,-,3.49,42,24.0,-560,"2,912",8,7,1/194,-,3.19,15,6.0,"+2,613","6,168",27,23,1/123,-,4.66,9,-
2026-03-17,火,いいえ,-652,"2,416",5,8,1/186,-,3.38,23,11.0,-563,"2,791",8,5,1/215,-,3.02,79,39.0,-516,"1,959",5,3,1/245,-,3.05,11,2.0,-666,"3,207",8,11,1/169,-,3.50,83,4.0,"+1,581","5,448",20,23,1/127,-,4.55,40,17.0,-751,"2,544",5,7,1/212,-,3.17,9,-,-688,"2,341",5,7,1/195,-,3.30,12,1.0
2026-03-16,月,いいえ,-980,"1,014",1,0,1/1014,-,2.95,20,9.0,-630,"2,388",5,7,1/199,-,3.27,54,34.0,+681,"5,540",23,6,1/191,-,2.70,11,1.0,-630,"3,084",7,8,1/206,-,3.12,64,10.0,-457,"1,212",3,0,1/404,-,2.98,78,14.0,+997,"5,848",22,20,1/139,-,4.12,7,-,"+1,014","5,428",22,12,1/160,-,3.39,10,3.0
2026-03-15,日,はい,"+1,418","5,975",26,12,1/157,-,3.37,12,3.0,-898,"1,424",3,2,1/285,-,3.09,29,13.0,+973,"6,189",22,21,1/144,-,4.03,9,1.0,-585,"3,545",8,12,1/177,-,3.41,43,14.0,"-1,286","4,981",11,13,1/208,-,2.90,79,36.0,+261,"2,802",10,8,1/156,-,3.55,8,-,-187,"6,416",20,19,1/165,-,3.46,16,4.0
2026-03-14,土,はい,-245,"2,779",10,2,1/232,-,2.84,20,2.0,"-1,038","4,132",10,7,1/243,-,2.64,18,3.0,+772,"4,725",17,11,1/169,-,3.29,13,5.0,"-1,280","2,847",5,7,1/237,-,2.99,46,26.0,-50,"2,664",8,6,1/190,-,3.22,73,27.0,+63,"6,404",21,19,1/160,-,3.55,8,-,"+1,891","6,900",31,12,1/160,-,3.21,15,2.0
2026-03-13,金,いいえ,-992,"1,824",3,3,1/304,-,2.97,11,5.0,+805,"3,205",15,5,1/160,-,3.34,13,2.0,+747,"5,442",20,13,1/165,-,3.33,19,6.0,-488,"5,057",16,15,1/163,-,3.49,31,3.0,-797,"3,053",8,7,1/204,-,3.10,81,50.0,"+1,934","7,897",30,29,1/134,-,4.56,6,-,"+1,783","3,652",19,7,1/140,-,3.65,28,9.0
2026-03-12,木,いいえ,+513,"5,929",21,17,1/156,-,3.61,7,-,-69,"4,205",12,14,1/162,-,3.58,25,6.0,+320,"6,930",26,14,1/173,-,3.03,19,11.0,-681,"1,799",4,1,1/360,-,2.84,26,1.0,-575,"3,010",6,12,1/167,-,3.58,84,40.0,+41,"2,653",9,6,1/177,-,3.31,8,1.0,-43,"5,156",17,13,1/172,-,3.27,44,18.0
2026-03-11,水,いいえ,"+1,805","3,354",19,4,1/146,-,3.46,9,1.0,-912,"3,045",8,5,1/234,-,2.88,38,5.0,-734,"4,358",10,15,1/174,-,3.43,31,15.0,+483,"6,998",25,21,1/152,-,3.76,16,7.0,-685,"1,864",5,4,1/207,-,3.23,47,9.0,-396,"2,605",9,4,1/200,-,3.10,8,-,"+1,607","4,117",21,7,1/147,-,3.52,33,2.0
2026-03-10,火,はい,"-1,249","2,399",6,3,1/267,-,2.87,12,5.0,+398,"6,908",24,17,1/168,-,3.24,36,5.0,+504,"5,804",22,12,1/171,-,3.15,31,15.0,+202,"4,907",17,10,1/182,-,3.06,16,4.0,"-1,038","3,053",7,8,1/204,-,3.14,41,5.0,+692,"7,944",30,23,1/150,-,3.83,7,-,-864,"2,020",4,4,1/253,-,3.05,64,23.0
2026-03-09,月,いいえ,"+1,297","1,553",9,7,1/97,-,4.16,8,-,+463,"5,018",19,12,1/162,-,3.40,54,16.0,-374,"5,354",16,16,1/167,-,3.43,38,3.0,+430,"2,337",11,3,1/167,-,3.31,15,7.0,-286,"5,105",16,12,1/182,-,3.10,32,17.0,-321,"3,238",9,11,1/162,-,3.57,8,-,"-1,107","2,958",6,6,1/247,-,2.89,35,3.0
2026-03-08,日,はい,"+1,315","6,498",26,18,1/148,-,3.79,16,9.0,+209,"3,031",11,7,1/168,-,3.36,54,28.0,-698,"1,946",5,3,1/243,-,3.06,26,3.0,"-1,014","2,397",4,7,1/218,-,3.18,23,1.0,-208,"5,545",16,20,1/154,-,3.81,16,9.0,+51,"2,871",11,4,1/191,-,3.10,7,-,-944,"3,486",10,6,1/218,-,2.89,22,6.0
2026-03-07,土,はい,"+4,660","7,877",43,22,1/121,-,4.77,22,3.0,-264,"4,206",10,19,1/145,-,4.03,92,70.0,-276,"3,227",10,9,1/170,-,3.41,19,5.0,-418,"4,092",13,12,1/164,-,3.48,14,2.0,+277,"2,954",11,11,1/134,-,3.92,19,5.0,+520,"4,646",19,14,1/141,-,3.89,12,-,-512,"6,145",17,23,1/154,-,3.88,14,2.0
2026-03-06,金,いいえ,+453,"3,077",12,7,1/162,-,3.42,34,13.0,-473,"4,181",12,13,1/167,-,3.46,86,52.0,+902,"5,401",21,16,1/146,-,3.82,12,1.0,-851,"1,575",4,0,1/394,-,2.85,9,-,"-1,721","2,078",1,5,1/346,-,2.90,21,9.0,"+1,648","4,513",22,11,1/137,-,3.85,12,1.0,-669,"3,216",7,14,1/153,-,3.79,11,2.0
2026-03-05,木,いいえ,"-1,315","4,307",12,9,1/205,-,2.91,38,16.0,"-1,631","4,695",11,9,1/235,-,2.63,82,44.0,-221,"2,690",8,10,1/149,-,3.71,22,7.0,+644,"7,994",29,19,1/167,-,3.22,7,-,"+1,750","5,313",22,18,1/133,-,4.21,15,1.0,"+3,123","7,589",35,23,1/131,-,4.45,14,7.0,+537,"6,357",24,20,1/144,-,3.96,7,-
2026-03-04,水,いいえ,"+2,879","6,143",32,12,1/140,-,3.78,21,7.0,"-1,552","2,704",3,7,1/270,-,2.92,69,31.0,-909,"3,484",8,9,1/205,-,3.08,14,7.0,+696,"5,219",20,13,1/158,-,3.48,7,-,-501,"2,789",8,5,1/215,-,3.03,38,5.0,-144,"4,626",14,14,1/165,-,3.47,33,12.0,+602,"6,163",22,16,1/162,-,3.42,7,-
2026-03-03,火,いいえ,"-1,022","4,634",11,14,1/185,-,3.22,53,3.0,"-1,374","3,186",6,10,1/199,-,3.22,50,9.0,+778,"6,489",23,19,1/155,-,3.67,12,4.0,+662,"3,523",11,18,1/121,-,4.42,6,-,-137,"5,619",21,11,1/176,-,3.07,32,20.0,"+1,136","4,153",16,13,1/143,-,3.83,41,9.0,"+2,271","6,379",28,19,1/136,-,4.16,8,2.0
2026-03-01,日,はい,"-1,724","5,381",13,16,1/186,-,3.17,56,12.0,+436,"7,763",26,20,1/169,-,3.24,44,3.0,+126,"2,790",10,4,1/199,-,3.07,15,7.0,"+1,510","4,677",24,8,1/146,-,3.54,6,-,+665,"3,863",17,8,1/155,-,3.46,41,26.0,-900,"1,936",4,4,1/242,-,3.10,56,12.0,"+3,004","7,466",33,25,1/129,-,4.59,8,2.0
2026-02-28,土,はい,"-2,839","4,016",5,8,1/309,-,2.47,46,22.0,"-1,781","6,111",14,20,1/180,-,3.28,58,12.0,"-1,003","7,230",20,21,1/176,-,3.20,17,5.0,"+3,561","7,529",38,21,1/128,-,4.50,6,-,"-1,143","3,058",6,8,1/218,-,3.06,58,12.0,"-1,303","7,887",23,17,1/197,-,2.62,24,7.0,+51,"7,765",24,21,1/173,-,3.20,12,6.0
2026-02-27,金,いいえ,+132,"6,810",22,18,1/170,-,3.26,36,11.0,+637,"7,365",23,26,1/150,-,3.98,52,16.0,"+2,242","5,660",25,20,1/126,-,4.47,14,6.0,-305,"7,097",22,22,1/161,-,3.57,8,-,+904,"4,728",20,12,1/148,-,3.67,62,10.0,+805,"5,961",21,20,1/145,-,3.96,19,5.0,"-1,456","4,799",10,19,1/165,-,3.65,25,6.0
2026-02-26,木,いいえ,+17,"2,836",8,10,1/158,-,3.61,21,3.0,-360,"3,299",10,6,1/206,-,3.00,82,39.0,-579,"2,499",7,5,1/208,-,3.12,43,12.0,"+1,716","6,437",26,18,1/146,-,3.83,6,-,-466,"4,503",15,12,1/167,-,3.39,86,4.0,-508,"4,571",12,17,1/158,-,3.72,31,10.0,"+2,711","7,394",37,12,1/151,-,3.39,18,12.0
2026-02-25,水,いいえ,"+1,243","6,129",25,10,1/175,-,2.96,21,15.0,"-1,092","2,707",6,7,1/208,-,3.15,91,4.0,+815,"5,916",21,19,1/148,-,3.87,24,3.0,+161,"6,519",20,24,1/148,-,4.02,6,-,-520,"2,926",9,6,1/195,-,3.14,87,52.0,-558,"5,074",15,10,1/203,-,2.81,29,5.0,+161,"4,719",16,15,1/152,-,3.71,35,6.0
2026-02-24,火,いいえ,-712,"5,479",17,11,1/196,-,2.84,36,12.0,-3,"4,483",15,13,1/160,-,3.53,89,1.0,-897,"4,686",12,14,1/180,-,3.27,42,6.0,+622,"7,137",27,15,1/170,-,3.10,10,-,-663,"3,866",13,3,1/242,-,2.58,88,46.0,"-1,385","3,835",10,3,1/295,-,2.40,24,5.0,-981,"5,278",14,14,1/189,-,3.07,19,9.0
2026-02-23,月,いいえ,"-1,287","2,277",3,5,1/285,-,2.94,28,10.0,-374,"3,154",9,9,1/175,-,3.37,83,55.0,-366,"6,299",18,21,1/162,-,3.62,28,10.0,"+3,065","5,248",28,16,1/119,-,4.49,14,-,-819,"2,689",8,4,1/224,-,2.97,88,5.0,+111,"6,293",19,20,1/161,-,3.58,16,2.0,+19,"5,655",20,12,1/177,-,3.08,18,2.0
2026-02-22,日,はい,"-1,411","3,388",8,5,1/261,-,2.69,21,-,"-1,410","7,504",21,16,1/203,-,2.58,72,44.0,+85,"3,453",13,6,1/182,-,3.14,27,1.0,"+1,151","6,645",23,24,1/141,-,4.19,26,5.0,"-2,066","3,513",4,10,1/251,-,2.87,94,22.0,"+1,508","5,475",20,23,1/127,-,4.53,28,1.0,-240,"4,783",16,11,1/177,-,3.17,26,5.0
2026-02-21,土,はい,-662,"1,900",4,5,1/211,-,3.25,14,-,-923,"3,109",9,4,1/239,-,2.80,65,13.0,"-1,086","2,884",7,5,1/240,-,2.89,32,4.0,-254,"6,770",23,16,1/174,-,3.12,28,14.0,"-1,404","5,363",12,15,1/199,-,2.98,92,27.0,-675,"2,706",6,7,1/208,-,3.15,52,20.0,"-1,605","5,702",13,18,1/184,-,3.21,28,14.0
2026-02-20,金,はい,"+1,843","5,248",23,16,1/135,-,4.09,6,-,+689,"8,022",27,28,1/146,-,4.14,60,6.0,-15,"5,550",19,13,1/173,-,3.19,18,4.0,"+2,119","7,082",29,22,1/139,-,4.17,14,8.0,"-2,016","4,962",10,15,1/198,-,3.06,90,30.0,+75,"7,642",28,16,1/174,-,3.00,54,32.0,-913,"5,015",16,7,1/218,-,2.60,22,4.0
2026-02-19,木,いいえ,"+1,026","5,512",21,17,1/145,-,3.88,6,-,"-2,136","6,313",14,19,1/191,-,3.04,94,23.0,+0,"4,906",17,10,1/182,-,3.06,11,5.0,-108,"3,475",13,5,1/193,-,3.01,32,17.0,"-1,287","4,134",9,12,1/197,-,3.12,71,19.0,-571,"3,286",9,9,1/183,-,3.28,52,20.0,+901,"7,137",28,20,1/149,-,3.80,15,4.0
2026-02-18,水,いいえ,"+2,918","8,465",39,24,1/134,-,4.36,6,-,"-1,285","3,444",9,3,1/287,-,2.53,89,38.0,+0,"3,632",13,6,1/191,-,3.03,14,8.0,"-1,175","5,895",15,15,1/197,-,2.90,24,5.0,-773,"5,829",17,10,1/216,-,2.56,37,13.0,-585,"2,479",6,7,1/191,-,3.30,51,14.0,"+2,995","7,345",36,18,1/136,-,4.09,19,5.0
2026-02-17,火,いいえ,-156,"6,575",20,22,1/157,-,3.73,8,-,-393,"5,080",17,6,1/221,-,2.53,82,37.0,-114,"3,618",12,10,1/164,-,3.45,19,11.0,-933,"3,564",9,11,1/178,-,3.36,20,1.0,-925,"5,098",14,15,1/176,-,3.30,31,11.0,-187,"3,470",10,10,1/174,-,3.38,42,11.0,-853,"4,873",14,12,1/187,-,3.08,45,3.0
2026-02-16,月,いいえ,+304,"4,385",16,10,1/169,-,3.30,7,-,"-1,087","2,359",5,5,1/236,-,3.05,58,14.0,-52,"3,593",12,10,1/163,-,3.47,14,5.0,-685,"1,641",3,4,1/234,-,3.20,9,2.0,"+1,225","4,833",19,15,1/142,-,3.89,15,1.0,-809,"1,589",2,4,1/265,-,3.15,41,26.0,"+1,890","6,929",34,9,1/161,-,3.07,44,3.0
2026-02-15,日,はい,"-1,217","7,431",22,14,1/206,-,2.49,9,2.0,"-2,366","5,963",13,16,1/206,-,2.83,43,1.0,+297,"7,909",25,29,1/146,-,4.17,15,6.0,"+1,601","6,424",28,17,1/143,-,3.88,7,-,-148,"6,885",22,21,1/160,-,3.58,42,4.0,"-1,143","3,615",10,4,1/258,-,2.60,38,23.0,-687,"3,300",10,5,1/220,-,2.88,55,12.0
2026-02-14,土,はい,+813,"4,367",19,9,1/156,-,3.44,7,-,+73,"7,718",29,22,1/151,-,3.76,15,4.0,-119,"5,302",18,11,1/183,-,3.02,28,2.0,+88,"4,549",16,9,1/182,-,3.08,11,4.0,"-1,663","6,525",15,21,1/181,-,3.23,29,1.0,-762,"5,644",17,13,1/188,-,2.97,31,2.0,"-1,674","4,503",8,11,1/237,-,2.73,26,11.0
2026-02-13,金,いいえ,"+1,043","5,076",21,13,1/149,-,3.65,9,-,"-3,263","3,454",1,7,1/432,-,2.40,18,3.0,"+2,101","7,090",29,24,1/134,-,4.40,26,8.0,+487,"5,190",18,15,1/157,-,3.58,15,2.0,-39,"3,440",10,12,1/156,-,3.65,13,4.0,"+4,004","6,470",32,27,1/110,-,5.18,26,8.0,+295,"3,929",16,10,1/151,-,3.59,26,8.0
2026-02-12,木,いいえ,+100,"4,235",15,7,1/193,-,2.95,10,2.0,+74,"2,017",7,5,1/168,-,3.42,8,-,-23,"4,723",18,9,1/175,-,3.13,29,1.0,+397,"7,349",23,23,1/160,-,3.62,28,14.0,"+1,466","4,189",21,7,1/150,-,3.47,14,4.0,-796,"2,170",4,6,1/217,-,3.20,56,27.0,"-1,425","2,860",5,5,1/286,-,2.76,69,13.0
2026-02-11,水,いいえ,"+2,879","7,933",36,20,1/142,-,3.97,9,-,-999,"2,324",6,3,1/258,-,2.91,9,-,"+1,400","7,892",32,16,1/164,-,3.16,40,9.0,-792,"7,416",20,19,1/190,-,2.86,31,1.0,-606,"2,529",8,2,1/253,-,2.83,19,10.0,+304,"8,378",28,20,1/175,-,3.03,46,6.0,"-1,107","3,655",10,8,1/203,-,3.02,30,11.0
2026-02-10,火,はい,-693,"4,553",13,11,1/190,-,3.07,11,5.0,"+1,227","8,349",32,23,1/152,-,3.74,6,-,"-1,004","5,506",12,18,1/184,-,3.25,87,36.0,+90,"4,941",16,16,1/154,-,3.69,29,5.0,"+1,649","7,403",30,22,1/142,-,4.05,14,3.0,"-1,656","4,210",9,9,1/234,-,2.74,51,22.0,-728,"2,832",7,4,1/257,-,2.81,24,10.0
2026-02-09,月,いいえ,"+1,079","7,758",32,20,1/149,-,3.74,6,-,+366,"1,821",7,5,1/152,-,3.55,9,3.0,"-1,181","7,211",19,27,1/157,-,3.87,72,41.0,-385,"5,005",15,14,1/173,-,3.32,16,7.0,"-2,091","4,257",8,9,1/250,-,2.65,23,1.0,-404,"4,027",13,9,1/183,-,3.15,31,8.0,"+1,650","5,401",23,13,1/150,-,3.61,22,6.0
2026-02-08,日,はい,+496,"6,192",23,17,1/155,-,3.61,-,-,"+1,650","4,744",19,17,1/132,-,4.20,-,-,-878,"3,865",10,9,1/203,-,3.01,-,-,+171,"5,734",20,15,1/164,-,3.40,-,-,"+1,272","3,401",16,7,1/148,-,3.55,-,-,-456,"4,192",13,11,1/175,-,3.29,-,-,"+1,484","6,988",29,17,1/152,-,3.61,-,-
2026-02-07,土,はい,"-1,657","5,725",16,11,1/212,-,2.64,-,-,+263,"7,307",27,15,1/174,-,3.00,-,-,-734,"5,896",20,9,1/203,-,2.62,-,-,-444,"4,014",12,10,1/182,-,3.20,-,-,"+5,360","9,235",44,31,1/123,-,5.01,-,-,-240,"3,342",10,7,1/197,-,3.09,-,-,"-2,113","5,229",10,15,1/209,-,2.91,-,-
2026-02-06,金,いいえ,"+2,096","7,580",34,17,1/149,-,3.65,-,-,-440,"8,307",28,24,1/160,-,3.55,-,-,"+1,814","8,115",29,22,1/159,-,3.51,-,-,-486,"6,183",18,16,1/182,-,3.08,-,-,"-1,178","7,041",20,16,1/196,-,2.75,-,-,"-1,316","5,131",14,14,1/183,-,3.16,-,-,"-1,834","5,837",13,20,1/177,-,3.37,-,-
2026-02-05,木,いいえ,+591,"7,760",27,21,1/162,-,3.44,-,-,"+3,089","7,600",36,20,1/136,-,4.18,-,-,"-1,445","4,998",11,15,1/192,-,3.12,-,-,+108,"6,976",26,16,1/166,-,3.24,-,-,-113,"4,769",16,8,1/199,-,2.83,-,-,+967,"7,388",31,12,1/172,-,2.92,-,-,"+2,173","7,901",32,27,1/134,-,4.49,-,-
2026-02-04,水,いいえ,+624,"5,991",21,23,1/136,-,4.31,-,-,"+2,768","8,369",32,34,1/127,-,4.94,-,-,"-2,469","3,967",6,7,1/305,-,2.47,-,-,"-1,031","6,239",20,13,1/189,-,2.86,-,-,+739,"8,186",29,25,1/152,-,3.84,-,-,"+2,051","7,013",27,28,1/128,-,4.72,-,-,-825,"5,823",15,17,1/182,-,3.18,-,-
2026-02-03,火,いいえ,"+2,002","8,241",31,28,1/140,-,4.33,-,-,"-1,739","6,682",15,20,1/191,-,3.02,-,-,+324,"8,632",25,34,1/146,-,4.32,-,-,"+4,985","8,647",47,22,1/125,-,4.64,-,-,-843,"7,972",24,23,1/170,-,3.31,-,-,+407,"7,413",28,19,1/158,-,3.50,-,-,"-1,164","8,356",21,30,1/164,-,3.68,-,-
