日付,曜日,特定日,873番台,,,,,,,,875番台,,,,,,,,876番台,,,,,,,,877番台,,,,,,,,878番台,,,,,,,,880番台,,,,,,,,881番台,,,,,,,,882番台,,,,,,,,883番台,,,,,,,,885番台,,,,,,,,886番台,,,,,,,,887番台,,,,,,,,1078番台,,,,,,,,1080番台,,,,,,,,1081番台,,,,,,,,1082番台,,,,,,,,1083番台,,,,,,,,1085番台,,,,,,,,1086番台,,,,,,,,1087番台,,,,,,,,1088番台,,,,,,,,1100番台,,,,,,,,1101番台,,,,,,,,1102番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-03-11,水,いいえ,-676,"1,986",0,5,1/397,-,22,1.0,-852,"1,980",0,4,1/495,-,33,2.0,-709,"2,032",0,4,1/508,-,39,3.0,"-1,880","4,703",0,12,1/392,-,54,15.0,+966,"2,279",0,7,1/326,-,60,6.0,-669,937,0,2,1/469,-,15,-,-884,"2,274",0,5,1/455,-,78,18.0,"-1,209","3,867",0,8,1/483,-,36,3.0,"-1,360","2,608",0,3,1/869,-,23,1.0,-898,656,0,1,1/656,-,31,1.0,"+2,481","6,620",0,13,1/509,-,21,6.0,-114,"3,640",0,8,1/455,-,30,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-10,火,はい,"-1,591","3,386",0,8,1/423,-,14,-,+638,"5,580",0,11,1/507,-,32,1.0,-948,"3,263",0,7,1/466,-,32,1.0,-664,"4,721",0,10,1/472,-,49,4.0,"-1,757","3,949",0,8,1/494,-,35,3.0,"+1,699","3,573",0,13,1/275,-,14,-,"-2,604","4,663",0,10,1/466,-,45,9.0,-484,"2,746",0,4,1/687,-,35,3.0,"+1,800","4,006",0,8,1/501,-,21,7.0,"+2,244","2,790",0,4,1/698,-,36,1.0,-769,"7,034",0,17,1/414,-,52,3.0,"+5,811","8,913",0,22,1/405,-,31,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-09,月,いいえ,"+10,031","7,684",0,12,1/640,-,14,-,"-2,279","2,210",0,4,1/553,-,34,2.0,"+4,125","4,081",0,6,1/680,-,32,1.0,-747,576,0,1,1/576,-,42,8.0,+393,"3,197",0,7,1/457,-,31,1.0,"-1,000","2,513",0,5,1/503,-,22,8.0,"-1,022","5,660",0,17,1/333,-,34,2.0,-509,723,0,2,1/362,-,30,8.0,"+1,166","4,630",0,13,1/356,-,34,2.0,+252,"1,860",0,3,1/620,-,49,4.0,-477,618,0,1,1/618,-,45,3.0,-768,"3,791",0,8,1/474,-,83,34.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-08,日,はい,+672,"6,547",0,16,1/409,-,21,2.0,"-2,675","3,545",0,7,1/506,-,19,3.0,"-2,324","6,596",0,20,1/330,-,52,4.0,"-1,727","1,828",0,5,1/366,-,25,4.0,"-1,409","4,351",0,13,1/335,-,52,4.0,"+1,068","4,003",0,5,1/801,-,19,3.0,"+1,281","6,634",0,15,1/442,-,31,3.0,"+2,049","4,063",0,8,1/508,-,16,-,"-1,458","2,514",0,5,1/503,-,48,2.0,"-2,390","4,758",0,12,1/397,-,28,3.0,+386,"4,746",0,10,1/475,-,46,15.0,-382,"4,201",0,12,1/350,-,91,39.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-07,土,はい,-34,"6,343",0,14,1/453,-,48,2.0,"+1,158","6,847",0,17,1/403,-,16,-,-762,725,0,2,1/363,-,34,6.0,-223,"3,228",0,9,1/359,-,16,-,"-3,085","6,503",0,19,1/342,-,46,1.0,+216,"8,502",0,29,1/293,-,45,11.0,"-2,179","4,138",0,8,1/517,-,51,3.0,-778,"5,121",0,15,1/341,-,24,3.0,"+3,183","4,432",0,12,1/369,-,28,4.0,+961,"5,531",0,11,1/503,-,21,5.0,"-3,872","3,696",0,9,1/411,-,67,16.0,"-1,054","3,211",0,8,1/401,-,90,23.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-06,金,いいえ,-560,"3,048",0,6,1/508,-,24,4.0,-194,918,0,2,1/459,-,20,5.0,"+5,774","5,167",0,10,1/517,-,32,1.0,-397,464,0,1,1/464,-,7,-,-192,"3,029",0,8,1/379,-,38,3.0,"-1,458","1,449",0,2,1/725,-,34,2.0,"+1,240","3,583",0,11,1/326,-,41,3.0,-620,"2,734",0,7,1/391,-,15,8.0,-687,"2,980",0,7,1/426,-,78,37.0,"-1,808","1,787",0,3,1/596,-,31,7.0,-26,"5,560",0,19,1/293,-,35,1.0,-987,"1,885",0,5,1/377,-,83,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-05,木,いいえ,"+4,060","6,580",0,15,1/439,-,19,11.0,"+2,125","5,472",0,12,1/456,-,21,2.0,"-1,513","2,331",0,5,1/466,-,91,22.0,"+5,231","3,998",0,5,1/800,-,6,-,"-1,003","4,712",0,10,1/471,-,35,3.0,"+2,640","6,331",0,13,1/487,-,32,6.0,-917,"2,524",0,5,1/505,-,56,15.0,"+3,299","6,009",0,14,1/429,-,8,2.0,"-1,637","3,879",0,9,1/431,-,58,2.0,-470,"3,580",0,8,1/448,-,26,5.0,"+2,288","7,555",0,21,1/360,-,41,6.0,-9,"7,963",0,18,1/442,-,69,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-04,水,いいえ,+939,"5,374",0,9,1/597,-,22,11.0,"-1,243","1,968",0,3,1/656,-,23,1.0,-433,"4,594",0,13,1/353,-,82,17.0,-543,"2,272",0,5,1/454,-,11,-,"+6,890","8,234",0,15,1/549,-,33,8.0,"-1,298","3,754",0,11,1/341,-,52,19.0,+715,"5,721",0,10,1/572,-,55,3.0,"-1,966","3,961",0,10,1/396,-,24,1.0,"-1,920","4,027",0,12,1/336,-,64,9.0,"-3,053","3,580",0,10,1/358,-,25,1.0,"-1,263","3,679",0,9,1/409,-,89,7.0,"-1,744","5,344",0,10,1/534,-,65,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-03,火,いいえ,"-2,564","5,819",0,13,1/448,-,31,3.0,"+1,512","4,258",0,6,1/710,-,19,2.0,"-1,688","2,627",0,8,1/328,-,70,7.0,"+1,531","5,843",0,16,1/365,-,6,-,-276,"5,466",0,13,1/420,-,86,1.0,-915,"2,908",0,7,1/415,-,42,11.0,"-1,565","3,939",0,11,1/358,-,85,9.0,-508,"2,604",0,5,1/521,-,13,7.0,-493,"2,774",0,6,1/462,-,28,9.0,+762,"4,017",0,10,1/402,-,17,4.0,"-1,034","3,963",0,7,1/566,-,76,6.0,+785,"3,204",0,12,1/267,-,63,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-01,日,はい,"-2,207","6,657",0,18,1/370,-,26,7.0,"+6,077","5,478",0,5,1/1096,-,19,8.0,"-1,703","2,760",0,4,1/690,-,29,1.0,"+1,648","5,662",0,11,1/515,-,11,5.0,"-1,849","6,935",0,15,1/462,-,94,5.0,"-1,105","4,409",0,13,1/339,-,38,9.0,-952,"6,094",0,15,1/406,-,82,43.0,"+3,920","4,287",0,11,1/390,-,6,-,-83,"5,234",0,12,1/436,-,19,8.0,"+4,991","8,503",0,11,1/773,-,28,2.0,"-1,419","2,889",0,5,1/578,-,39,1.0,"-2,556","5,671",0,12,1/473,-,89,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-28,土,はい,"-2,275","5,138",0,11,1/467,-,22,3.0,"-2,652","2,984",0,7,1/426,-,41,9.0,+24,"4,997",0,11,1/454,-,25,3.0,"+3,298","7,488",0,23,1/326,-,19,4.0,-559,563,0,1,1/563,-,85,34.0,"-1,478","2,517",0,7,1/360,-,32,1.0,-40,"3,736",0,11,1/340,-,44,1.0,"+2,707","6,588",0,11,1/599,-,6,-,"+4,069","4,711",0,8,1/589,-,15,9.0,-252,"2,362",0,6,1/394,-,43,2.0,"-1,425","3,637",0,9,1/404,-,31,6.0,-789,"4,654",0,10,1/465,-,51,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-27,金,いいえ,"+3,922","5,431",0,13,1/418,-,20,6.0,-822,"3,442",0,8,1/430,-,34,2.0,-855,"4,412",0,13,1/339,-,40,6.0,"+1,649","4,082",0,8,1/510,-,32,2.0,"-1,084","4,213",0,10,1/421,-,58,8.0,"+7,714","8,950",0,21,1/426,-,28,6.0,"-1,265","4,212",0,9,1/468,-,34,2.0,"+1,961","4,740",0,9,1/527,-,11,-,"-3,346","4,100",0,9,1/456,-,22,2.0,"+3,360","7,729",0,18,1/429,-,30,2.0,"+1,161","3,632",0,7,1/519,-,14,3.0,-327,"4,855",0,11,1/441,-,50,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-26,木,いいえ,+331,"3,048",0,9,1/339,-,46,4.0,-433,"1,945",0,5,1/389,-,15,3.0,-502,"2,202",0,6,1/367,-,22,3.0,-627,"3,254",0,5,1/651,-,58,4.0,-540,"1,432",0,4,1/358,-,26,1.0,"-1,427","4,377",0,8,1/547,-,61,3.0,-861,"2,213",0,6,1/369,-,19,3.0,+658,"3,175",0,8,1/397,-,12,-,+762,"1,244",0,2,1/622,-,16,1.0,"-1,156","3,514",0,9,1/390,-,54,8.0,"-1,051","3,913",0,13,1/301,-,25,3.0,-797,"1,637",0,4,1/409,-,42,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-25,水,いいえ,+779,"5,777",0,12,1/481,-,56,1.0,"+1,593","3,014",0,5,1/603,-,11,-,-75,"3,849",0,8,1/481,-,21,2.0,-680,"3,474",0,8,1/434,-,54,9.0,-964,"1,628",0,5,1/326,-,34,3.0,"-1,127","3,741",0,12,1/312,-,55,1.0,-757,590,0,1,1/590,-,14,3.0,"-1,527","1,696",0,4,1/424,-,19,5.0,"-1,990","2,776",0,8,1/347,-,23,2.0,"-1,950","3,125",0,6,1/521,-,45,11.0,-219,284,0,1,1/284,-,21,2.0,"-2,723","5,207",0,13,1/401,-,31,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-24,火,いいえ,"+2,197","5,318",0,12,1/443,-,55,3.0,-880,"1,349",0,4,1/337,-,13,6.0,-598,"1,483",0,5,1/297,-,18,5.0,"+1,440","3,755",0,9,1/417,-,52,13.0,"-1,756","3,826",0,9,1/425,-,28,7.0,"+2,219","5,699",0,13,1/438,-,39,11.0,-208,551,0,3,1/184,-,7,-,-464,673,0,2,1/337,-,7,-,"+3,814","5,591",0,9,1/621,-,19,1.0,-454,939,0,3,1/313,-,39,11.0,-892,897,0,2,1/449,-,13,6.0,"-3,990","3,539",0,9,1/393,-,21,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-23,月,いいえ,"-1,390","3,006",0,9,1/334,-,89,2.0,"+4,069","4,974",0,8,1/622,-,6,-,"+2,756","3,750",0,6,1/625,-,16,5.0,"-1,264","1,582",0,4,1/396,-,84,52.0,+419,"5,389",0,15,1/359,-,32,4.0,-96,"5,275",0,11,1/480,-,87,3.0,+306,"2,275",0,3,1/758,-,6,-,"+3,567","5,853",0,13,1/450,-,6,-,"+2,287","7,121",0,18,1/396,-,19,3.0,-325,"3,212",0,7,1/459,-,28,9.0,"+3,066","4,578",0,5,1/916,-,11,5.0,"+3,392","7,520",0,12,1/627,-,11,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-22,日,はい,"-3,169","6,666",0,15,1/444,-,88,8.0,-227,"3,881",0,14,1/277,-,16,7.0,-807,"3,737",0,6,1/623,-,41,9.0,"-1,613","5,195",0,12,1/433,-,80,10.0,-327,"5,890",0,17,1/346,-,32,9.0,"-1,652","2,982",0,9,1/331,-,70,26.0,"+2,213","5,552",0,11,1/505,-,9,3.0,"+2,876","6,258",0,13,1/481,-,6,-,+433,"7,831",0,18,1/435,-,44,3.0,"-1,439","2,369",0,5,1/474,-,23,1.0,-737,"5,016",0,12,1/418,-,16,7.0,"+4,733","6,993",0,18,1/389,-,22,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-21,土,はい,"-3,020","4,827",0,9,1/536,-,81,1.0,"-1,034","1,687",0,4,1/422,-,8,-,"+1,629","4,024",0,10,1/402,-,43,1.0,-653,843,0,4,1/211,-,43,1.0,"+1,268","4,109",0,4,1/1027,-,33,2.0,-667,"3,296",0,9,1/366,-,31,10.0,+84,"4,189",0,10,1/419,-,9,1.0,-665,"4,856",0,11,1/441,-,8,-,-890,"2,455",0,5,1/491,-,80,37.0,"+7,356","9,244",0,19,1/487,-,21,6.0,+323,674,0,1,1/674,-,15,6.0,"-1,545","4,536",0,9,1/504,-,42,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-20,金,はい,"-2,728","4,369",0,11,1/397,-,68,16.0,+325,"5,472",0,13,1/421,-,9,3.0,+591,"5,629",0,16,1/352,-,34,3.0,-578,"3,311",0,9,1/368,-,36,1.0,"+2,472","7,050",0,8,1/881,-,52,16.0,"-1,902","2,620",0,6,1/437,-,31,19.0,+502,"2,669",0,5,1/534,-,12,3.0,+613,"3,863",0,10,1/386,-,6,-,"-2,016","1,575",0,3,1/525,-,81,13.0,-815,682,0,2,1/341,-,34,3.0,+361,"5,194",0,14,1/371,-,31,19.0,-7,"1,596",0,5,1/319,-,35,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-19,木,いいえ,"-1,585","3,906",0,9,1/434,-,54,12.0,"+1,420","3,733",0,8,1/467,-,14,2.0,"-1,141",939,0,2,1/470,-,61,7.0,-699,856,0,2,1/428,-,34,2.0,"-3,087","4,141",0,9,1/460,-,83,17.0,"-1,575","2,634",0,3,1/878,-,20,6.0,+825,"2,796",0,9,1/311,-,12,6.0,"+2,332","3,828",0,7,1/547,-,6,-,-987,"1,497",0,4,1/374,-,66,5.0,"+5,404","5,731",0,14,1/409,-,32,12.0,-561,431,0,1,1/431,-,35,1.0,"+2,383","3,136",0,7,1/448,-,42,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-18,水,いいえ,+885,"4,074",0,11,1/370,-,44,10.0,"+3,777","3,824",0,8,1/478,-,16,3.0,"-1,177","3,020",0,8,1/378,-,75,6.0,-841,812,0,2,1/406,-,28,12.0,-945,"3,449",0,9,1/383,-,69,7.0,"+1,579","5,377",0,16,1/336,-,13,2.0,-361,816,0,2,1/408,-,33,5.0,"+1,116","6,881",0,21,1/328,-,11,-,-815,790,0,3,1/263,-,61,6.0,"-2,656","3,156",0,8,1/395,-,62,1.0,"+5,397","6,000",0,12,1/500,-,34,1.0,"+4,039","7,252",0,18,1/403,-,55,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-17,火,いいえ,+0,923,0,2,1/462,-,55,5.0,+98,"4,160",0,9,1/462,-,50,10.0,-788,"1,923",0,6,1/321,-,40,7.0,"+1,091","4,819",0,11,1/438,-,29,14.0,"-2,696","6,140",0,13,1/472,-,64,5.0,"-1,265","1,855",0,5,1/371,-,15,6.0,-421,"3,029",0,8,1/379,-,33,4.0,+115,911,0,3,1/304,-,9,-,"+1,753","4,583",0,9,1/509,-,59,4.0,"+1,931","4,060",0,6,1/677,-,59,4.0,"-1,156",965,0,3,1/322,-,55,5.0,"-1,357","1,908",0,3,1/636,-,93,29.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-16,月,いいえ,-64,247,0,1,1/247,-,54,1.0,-544,929,0,3,1/310,-,63,9.0,-666,994,0,3,1/331,-,38,7.0,-653,"1,868",0,7,1/267,-,31,2.0,"+1,192","3,711",0,11,1/337,-,29,13.0,"+2,339","2,378",0,3,1/793,-,8,-,-509,628,0,1,1/628,-,16,6.0,-125,398,0,1,1/398,-,10,2.0,-604,530,0,1,1/530,-,94,5.0,-428,437,0,1,1/437,-,86,23.0,-84,814,0,3,1/271,-,53,15.0,"-3,256","3,454",0,7,1/493,-,89,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-15,日,はい,"-1,240","6,453",0,15,1/430,-,75,14.0,"+1,257","5,828",0,12,1/486,-,61,15.0,"-1,618","3,711",0,8,1/464,-,34,3.0,"+2,310","6,531",0,24,1/272,-,31,17.0,"-1,775","2,736",0,6,1/456,-,61,15.0,"+3,651","3,666",0,5,1/733,-,13,7.0,"+3,504","5,644",0,15,1/376,-,14,1.0,+996,"3,145",0,10,1/315,-,6,-,"-1,105","2,565",0,8,1/321,-,93,5.0,"-2,084","2,672",0,4,1/668,-,88,1.0,-278,"4,778",0,12,1/398,-,46,12.0,"-1,285","3,732",0,8,1/467,-,87,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-14,土,はい,"-1,335","5,468",0,12,1/456,-,76,30.0,"-2,233","3,718",0,8,1/465,-,95,4.0,"+2,920","4,224",0,7,1/603,-,32,16.0,-331,"4,668",0,12,1/389,-,76,30.0,"-1,162",859,0,2,1/430,-,43,1.0,"-2,982","6,783",0,17,1/399,-,16,7.0,-284,466,0,2,1/233,-,45,2.0,"+1,204","2,484",0,4,1/621,-,9,-,"-1,581","5,507",0,13,1/424,-,91,7.0,"-1,035","1,190",0,2,1/595,-,84,8.0,"-2,963","3,413",0,7,1/488,-,42,10.0,"-2,234","2,028",0,4,1/507,-,46,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-13,金,いいえ,-881,"3,716",0,11,1/338,-,68,3.0,-527,"3,561",0,6,1/594,-,46,4.0,-148,745,0,3,1/248,-,42,6.0,-540,862,0,2,1/431,-,65,5.0,-488,"3,976",0,10,1/398,-,24,2.0,"+6,312","3,179",0,5,1/636,-,13,-,+32,"1,415",0,4,1/354,-,22,9.0,-607,"2,267",0,7,1/324,-,22,9.0,"-2,091","3,704",0,7,1/529,-,84,16.0,"-1,499","1,960",0,4,1/490,-,60,14.0,-874,"1,403",0,3,1/468,-,36,9.0,"-1,353","3,649",0,8,1/456,-,27,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
