日付,曜日,特定日,873番台,,,,,,,,875番台,,,,,,,,876番台,,,,,,,,877番台,,,,,,,,878番台,,,,,,,,880番台,,,,,,,,881番台,,,,,,,,882番台,,,,,,,,883番台,,,,,,,,885番台,,,,,,,,886番台,,,,,,,,887番台,,,,,,,,1078番台,,,,,,,,1080番台,,,,,,,,1081番台,,,,,,,,1082番台,,,,,,,,1083番台,,,,,,,,1085番台,,,,,,,,1086番台,,,,,,,,1087番台,,,,,,,,1088番台,,,,,,,,1100番台,,,,,,,,1101番台,,,,,,,,1102番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-05-23,土,はい,-639,"5,136",0,16,1/321,-,42,10.0,"+2,593","4,579",0,8,1/572,-,26,1.0,"+2,271","3,434",0,9,1/382,-,24,3.0,-445,979,0,2,1/490,-,55,13.0,"+1,655","2,609",0,3,1/870,-,6,-,+394,"3,816",0,9,1/424,-,15,1.0,"+2,100","5,424",0,10,1/542,-,14,8.0,"-1,243","1,727",0,5,1/345,-,42,10.0,+808,"2,486",0,4,1/622,-,26,1.0,"-1,686","2,093",0,5,1/419,-,25,1.0,-305,820,0,4,1/205,-,21,6.0,"+9,454","5,836",0,8,1/730,-,32,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-22,金,いいえ,-405,405,0,1,1/405,-,24,6.0,-252,569,0,3,1/190,-,42,6.0,"+1,099","3,607",0,9,1/401,-,57,3.0,-708,577,0,2,1/289,-,54,4.0,+19,"1,526",0,5,1/305,-,9,-,-347,"1,429",0,6,1/238,-,15,6.0,-179,176,0,1,1/176,-,46,4.0,-76,975,0,3,1/325,-,36,12.0,-255,242,0,1,1/242,-,50,4.0,-618,"2,610",0,7,1/373,-,18,1.0,"-1,085","2,400",0,10,1/240,-,17,2.0,"-4,018","5,486",0,10,1/549,-,65,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-21,木,いいえ,"-1,091","1,239",0,4,1/310,-,27,14.0,-301,433,0,1,1/433,-,34,4.0,"-1,198","1,974",0,4,1/494,-,66,14.0,-45,277,0,2,1/139,-,47,1.0,-207,256,0,1,1/256,-,13,2.0,"+2,662","3,473",0,7,1/496,-,9,-,-256,363,0,1,1/363,-,30,3.0,-139,510,0,1,1/510,-,36,2.0,"+1,472","2,750",0,7,1/393,-,46,10.0,"+2,935","4,095",0,8,1/512,-,11,1.0,-3,162,0,1,1/162,-,10,1.0,+850,"2,193",0,7,1/313,-,52,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-20,水,はい,-933,"3,003",0,7,1/429,-,21,2.0,"+2,363","4,189",0,8,1/524,-,29,5.0,+215,"3,690",0,7,1/527,-,62,11.0,+850,"1,850",0,5,1/370,-,51,16.0,"+2,651","6,735",0,15,1/449,-,12,3.0,-651,"2,567",0,5,1/513,-,24,3.0,-678,"1,806",0,5,1/361,-,21,2.0,"+3,996","6,083",0,11,1/553,-,35,6.0,-156,"1,893",0,6,1/316,-,92,7.0,"+3,749","6,031",0,13,1/464,-,19,7.0,"+4,942","7,162",0,19,1/377,-,9,-,"-1,128","7,610",0,24,1/317,-,85,23.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-19,火,いいえ,+41,304,0,1,1/304,-,23,2.0,"-1,139","2,211",0,6,1/369,-,84,3.0,-819,"1,565",0,4,1/391,-,86,2.0,-703,592,0,2,1/296,-,84,3.0,"+1,248","4,815",0,9,1/535,-,21,1.0,-784,656,0,2,1/328,-,26,3.0,"-1,074",938,0,2,1/469,-,20,5.0,-427,"3,104",0,9,1/345,-,84,3.0,-410,653,0,2,1/327,-,90,4.0,"-1,023","3,088",0,7,1/441,-,36,10.0,+614,874,0,2,1/437,-,15,-,-417,"1,502",0,3,1/501,-,81,45.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-18,月,いいえ,-489,724,0,1,1/724,-,24,2.0,"-1,244","1,808",0,3,1/603,-,82,1.0,"-1,511","2,079",0,4,1/520,-,87,1.0,-824,"1,534",0,2,1/767,-,83,1.0,-335,951,0,3,1/317,-,22,2.0,-257,888,0,2,1/444,-,20,2.0,"+1,650","5,032",0,9,1/559,-,18,-,-718,"2,908",0,8,1/364,-,86,2.0,-766,"1,972",0,5,1/394,-,84,1.0,-18,303,0,2,1/152,-,27,2.0,-226,"1,973",0,6,1/329,-,25,1.0,"-1,084","1,288",0,2,1/644,-,81,54.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-17,日,はい,"+5,560","6,379",0,16,1/399,-,23,2.0,-382,294,0,1,1/294,-,74,2.0,"-1,957","3,514",0,11,1/319,-,62,12.0,-490,"1,853",0,4,1/463,-,81,2.0,"+2,237","4,936",0,10,1/494,-,21,4.0,+76,"1,452",0,4,1/363,-,16,-,+307,"6,210",0,14,1/444,-,50,24.0,"-2,018","3,018",0,7,1/431,-,92,11.0,"-1,363","3,510",0,9,1/390,-,72,10.0,+184,993,0,2,1/497,-,17,1.0,"+2,002","4,860",0,12,1/405,-,26,3.0,-309,"4,083",0,10,1/408,-,79,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-16,土,はい,+690,"7,061",0,18,1/392,-,25,3.0,-788,965,0,3,1/322,-,54,3.0,-913,"8,286",0,21,1/395,-,48,23.0,-523,"1,379",0,4,1/345,-,66,2.0,-366,302,0,1,1/302,-,59,5.0,"+2,050","4,086",0,9,1/454,-,22,3.0,"-1,160","3,605",0,10,1/361,-,63,4.0,-492,815,0,4,1/204,-,81,15.0,"-2,015","3,747",0,9,1/416,-,64,1.0,"-1,742","2,172",0,6,1/362,-,19,-,+334,"3,996",0,8,1/500,-,51,3.0,-441,363,0,1,1/363,-,82,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-15,金,いいえ,"-2,046","3,046",0,8,1/381,-,36,4.0,-75,"2,147",0,6,1/358,-,47,9.0,-566,"5,228",0,14,1/373,-,50,1.0,"-1,119",852,0,2,1/426,-,37,1.0,-125,938,0,3,1/313,-,38,1.0,"+7,525","7,174",0,13,1/552,-,32,11.0,+66,528,0,3,1/176,-,49,1.0,"-1,351","1,747",0,3,1/582,-,79,19.0,+75,179,0,1,1/179,-,21,7.0,"+4,562","8,281",0,19,1/436,-,14,-,-512,468,0,2,1/234,-,48,1.0,"-1,119","3,548",0,11,1/323,-,60,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-14,木,いいえ,"-1,265","2,296",0,5,1/459,-,28,3.0,+58,"2,170",0,2,1/1085,-,34,6.0,-117,"4,044",0,10,1/404,-,44,9.0,-419,885,0,3,1/295,-,12,-,-204,"3,413",0,7,1/488,-,25,13.0,"-1,230","2,568",0,5,1/514,-,81,14.0,+13,"1,181",0,4,1/295,-,25,13.0,-284,274,0,1,1/274,-,35,1.0,"-1,780","3,237",0,6,1/540,-,49,5.0,"-1,691","3,863",0,7,1/552,-,67,18.0,-775,628,0,2,1/314,-,49,5.0,"-1,086","2,609",0,8,1/326,-,49,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
