日付,曜日,特定日,837番台,,,,,,,,838番台,,,,,,,,850番台,,,,,,,,851番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-02-16,月,いいえ,-272,"2,197",8,4,1/183,1/6.11,65,26.0,-184,"3,540",13,8,1/169,1/6.01,21,-,-545,"5,715",23,14,1/154,1/6.76,32,11.0,-531,"4,600",17,10,1/170,1/6.30,39,7.0
2026-02-15,日,はい,"-1,227","5,077",16,12,1/181,1/6.37,55,35.0,"-1,474","4,330",12,12,1/180,1/6.62,14,-,-925,"3,612",9,13,1/164,1/6.24,16,2.0,-864,"4,891",15,13,1/175,1/6.09,20,4.0
2026-02-14,土,はい,"-1,003","3,405",11,5,1/213,1/6.30,47,36.0,+254,"4,484",17,18,1/128,1/6.58,9,1.0,-453,"4,485",15,13,1/160,1/6.16,8,-,"-1,511","4,759",10,21,1/154,1/6.62,11,2.0
2026-02-13,金,いいえ,"+1,724","9,297",35,38,1/127,1/5.95,26,17.0,"+1,237","2,769",16,8,1/115,1/6.47,9,4.0,+802,"6,587",26,28,1/122,1/6.56,9,4.0,+857,"4,194",21,8,1/145,1/6.15,5,-
2026-02-12,木,いいえ,"-1,746","2,486",2,9,1/226,1/6.46,42,16.0,"+3,535","5,992",35,20,1/109,1/6.05,20,8.0,-281,"1,833",7,2,1/204,1/6.12,26,6.0,-723,"1,971",6,2,1/246,1/6.22,12,-
2026-02-11,水,いいえ,-187,"6,579",24,21,1/146,1/6.30,36,16.0,"-1,658","2,272",3,5,1/284,1/6.54,45,9.0,-823,"4,305",12,15,1/159,1/6.22,20,13.0,"+1,468","6,419",30,18,1/134,1/6.07,7,-
2026-02-10,火,はい,-823,"1,951",3,6,1/217,1/5.73,34,2.0,-732,"5,438",18,14,1/170,1/6.13,32,14.0,"+2,007","8,058",30,36,1/122,1/5.79,18,10.0,-485,"1,916",6,5,1/174,1/6.53,8,-
2026-02-09,月,いいえ,-846,"2,451",6,9,1/163,1/6.69,19,15.0,-123,309,1,0,1/309,1/6.12,25,2.0,"+4,007","8,237",41,36,1/107,1/6.03,23,4.0,"+1,507","8,459",36,32,1/124,1/6.41,4,-
2026-02-08,日,はい,-404,"3,244",12,7,1/171,1/6.34,8,-,-393,"3,982",13,12,1/159,1/6.11,20,12.0,-29,"6,143",22,18,1/154,1/5.99,47,27.0,-240,"4,470",19,6,1/179,1/6.26,8,-
2026-02-07,土,はい,+479,"3,270",15,8,1/142,1/6.20,7,1.0,"+2,096","7,797",34,33,1/116,1/6.30,6,-,"-1,212","4,677",12,13,1/187,1/5.97,56,46.0,+464,"5,716",24,13,1/154,1/5.99,10,3.0
2026-02-06,金,いいえ,"+3,509","5,853",33,28,1/96,1/6.45,11,-,-314,"4,802",17,12,1/166,1/6.03,26,9.0,-496,"4,940",16,16,1/154,1/6.19,45,19.0,-572,"4,570",14,17,1/147,1/6.47,17,6.0
2026-02-05,木,いいえ,"-1,140","2,726",6,6,1/227,1/6.04,21,10.0,-470,"1,360",3,3,1/227,1/5.74,26,5.0,-322,"5,693",19,19,1/150,1/6.14,37,11.0,-446,"2,613",9,5,1/187,1/6.15,11,-
2026-02-04,水,いいえ,-805,"2,291",6,6,1/191,1/6.40,20,10.0,-751,"1,454",4,1,1/291,1/6.46,21,1.0,-308,"6,261",22,22,1/142,1/6.53,44,23.0,+589,"4,893",21,14,1/140,1/6.17,10,-
2026-02-03,火,いいえ,+797,"5,737",26,16,1/137,1/6.33,19,7.0,"+1,139","5,711",26,17,1/133,1/6.15,7,-,"-1,246","4,252",12,10,1/193,1/6.23,28,9.0,+519,"7,165",31,19,1/143,1/6.35,12,5.0
2026-02-01,日,はい,"+1,893","8,131",38,25,1/129,1/6.17,16,-,-152,"5,267",21,15,1/146,1/6.55,21,1.0,"+1,910","5,346",26,20,1/116,1/6.23,24,3.0,+883,"7,694",31,25,1/137,1/6.08,20,4.0
2026-01-31,土,はい,-691,"3,034",10,5,1/202,1/6.13,55,21.0,"+1,840","7,917",36,25,1/130,1/6.07,22,-,"-1,233","2,489",7,4,1/226,1/6.92,77,22.0,"-1,199","6,376",19,18,1/172,1/6.12,34,12.0
2026-01-30,金,はい,"-1,019","4,739",12,20,1/148,1/6.52,44,24.0,-39,"5,060",21,10,1/163,1/6.22,64,20.0,-245,"6,815",21,27,1/142,1/6.16,64,20.0,+51,"7,079",26,25,1/139,1/6.45,20,-
2026-01-29,木,いいえ,+222,"5,842",21,17,1/154,1/5.81,43,25.0,-689,"3,450",11,9,1/173,1/6.32,44,1.0,-190,"1,919",7,3,1/192,1/5.90,56,12.0,"-1,199","2,835",7,6,1/218,1/6.34,18,-
2026-01-28,水,いいえ,"-1,990","7,549",19,28,1/161,1/6.37,44,9.0,-809,"2,875",7,9,1/180,1/6.09,35,26.0,-896,"1,164",2,0,1/582,1/6.15,44,9.0,-140,"3,348",12,12,1/140,1/6.62,9,-
2026-01-27,火,いいえ,-514,"1,049",2,2,1/262,1/5.92,28,3.0,"+1,187","6,839",28,28,1/122,1/6.39,25,7.0,+432,"4,125",15,16,1/133,1/6.09,18,9.0,+303,"4,348",18,10,1/155,1/5.99,9,-
2026-01-26,月,いいえ,+849,"5,490",24,18,1/131,1/6.43,14,6.0,"-1,229","2,755",5,8,1/212,1/6.06,68,54.0,"-1,227","2,591",5,3,1/324,1/5.58,70,2.0,-502,"2,445",8,7,1/163,1/6.58,8,-
2026-01-25,日,はい,"-1,261","3,487",8,11,1/184,1/6.32,25,2.0,-721,"1,530",4,1,1/306,1/6.06,52,27.0,-792,"2,052",6,1,1/293,1/5.94,23,15.0,+135,"6,929",25,19,1/157,1/5.83,8,-
2026-01-24,土,はい,-28,"5,151",19,15,1/152,1/6.11,19,1.0,-984,"6,172",20,16,1/171,1/6.18,31,12.0,-611,"4,465",16,13,1/154,1/6.64,15,-,-96,"3,319",14,6,1/166,1/6.32,18,3.0
2026-01-23,金,いいえ,-596,"1,557",3,3,1/260,1/5.51,16,7.0,+533,"5,826",23,21,1/132,1/6.39,25,5.0,"-1,192","1,700",2,5,1/243,1/6.58,9,-,"+1,364","6,572",29,24,1/124,1/6.39,20,4.0
2026-01-22,木,いいえ,"+1,259","4,822",23,18,1/118,1/6.60,7,-,-149,"2,432",8,7,1/162,1/5.91,34,6.0,+769,"6,160",29,12,1/150,1/6.21,8,1.0,-65,"2,549",10,6,1/159,1/6.21,28,20.0
2026-01-21,水,いいえ,"-1,334","2,355",4,4,1/294,1/5.95,11,1.0,-112,"4,729",18,12,1/158,1/6.15,31,18.0,+784,"7,773",30,25,1/141,1/5.94,10,-,-290,"2,921",11,5,1/183,1/6.09,13,2.0
2026-01-20,火,はい,+496,"5,653",22,22,1/128,1/6.48,5,-,-929,"4,551",13,18,1/147,1/6.75,35,7.0,"-1,075","7,065",23,22,1/157,1/6.41,28,17.0,"+3,709","8,173",43,37,1/102,1/6.61,11,6.0
2026-01-19,月,いいえ,+531,"6,331",26,18,1/144,1/6.13,12,-,-842,"1,076",2,1,1/359,1/6.87,29,7.0,"+1,523","7,137",33,23,1/127,1/6.41,21,9.0,-766,"3,103",11,8,1/163,1/7.05,22,1.0
2026-01-18,日,はい,-975,"3,941",12,9,1/188,1/6.23,44,5.0,+925,"4,433",21,13,1/130,1/6.30,14,-,+163,"8,183",29,24,1/154,1/5.85,39,18.0,-343,"3,845",14,10,1/160,1/6.31,21,7.0
2026-01-17,土,はい,-140,"4,021",14,12,1/155,1/6.04,15,-,-432,"3,171",10,11,1/151,1/6.38,24,8.0,-187,"8,132",28,24,1/156,1/5.93,42,18.0,"-1,792","2,873",3,9,1/239,1/6.12,16,1.0
2026-01-16,金,いいえ,+236,"1,591",7,5,1/133,1/6.30,12,-,"+3,148","9,474",45,36,1/117,1/6.24,13,1.0,"-1,032","2,916",8,6,1/208,1/6.29,28,14.0,"+3,186","5,458",34,16,1/109,1/6.34,14,1.0
2026-01-15,木,いいえ,"+1,260","3,129",18,7,1/125,1/6.22,26,8.0,"-1,561","4,487",9,15,1/187,1/6.01,40,14.0,-68,"1,303",6,1,1/186,1/6.40,18,4.0,"+1,755","6,578",31,22,1/124,1/6.31,14,-
2026-01-14,水,いいえ,-656,"4,445",13,12,1/178,1/5.83,44,12.0,"-1,316","2,009",4,2,1/335,1/6.38,32,3.0,-945,"2,257",7,1,1/282,1/6.27,12,-,-454,"3,951",15,6,1/188,1/6.11,29,17.0
2026-01-13,火,いいえ,-985,"2,044",4,5,1/227,1/6.18,45,9.0,"-1,139","1,626",4,1,1/325,1/7.07,24,22.0,-385,"6,686",23,23,1/145,1/6.31,2,-,+284,"6,185",23,17,1/155,1/5.84,36,12.0
2026-01-12,月,いいえ,"-1,281","3,167",6,11,1/186,1/6.21,11,10.0,"+1,883","6,600",31,24,1/120,1/6.33,20,9.0,+226,"5,107",20,16,1/142,1/6.23,1,-,"-1,830","6,481",20,12,1/203,1/6.25,62,42.0
2026-01-11,日,はい,"+1,139","6,987",34,15,1/143,1/6.30,7,7.0,-243,"2,993",13,4,1/176,1/6.51,26,19.0,"+1,351","6,630",27,33,1/111,1/6.66,0,-,-894,"4,265",12,9,1/203,1/5.74,46,20.0
2026-01-10,土,はい,-11,"6,082",24,15,1/156,1/6.18,26,5.0,"+2,472","8,412",39,26,1/129,1/5.86,21,20.0,"+1,209","7,277",31,23,1/135,1/6.06,1,-,-823,"6,939",21,22,1/161,1/6.01,29,3.0
2026-01-09,金,いいえ,-607,"1,585",3,4,1/226,1/5.71,21,7.0,"-1,825","4,937",13,12,1/197,1/6.42,44,23.0,-135,"7,026",30,12,1/167,1/6.29,6,-,"+3,707","8,143",44,28,1/113,1/6.24,14,8.0
2026-01-08,木,いいえ,+159,"4,085",19,8,1/151,1/6.58,25,24.0,-186,"3,999",16,8,1/167,1/6.24,32,7.0,"+2,128","3,606",22,11,1/109,1/6.22,1,-,"-1,140","5,128",14,15,1/177,1/6.05,74,42.0
2026-01-07,水,いいえ,"-1,074","2,013",4,3,1/288,1/6.02,26,10.0,-226,"6,895",24,24,1/144,1/6.26,16,7.0,+222,"5,755",20,21,1/140,1/6.11,9,-,"-1,503","5,600",15,16,1/181,1/6.18,44,18.0
2026-01-06,火,いいえ,"+3,626","8,534",47,23,1/122,1/6.04,9,2.0,-591,"6,673",23,20,1/155,1/6.26,15,6.0,"+1,027","7,289",27,30,1/128,1/6.10,7,-,"-1,021","6,976",21,23,1/159,1/6.18,17,2.0
2026-01-04,日,はい,-61,"6,782",21,29,1/136,1/6.19,36,18.0,-267,"4,539",18,10,1/162,1/6.36,8,-,-910,"4,031",14,8,1/183,1/6.50,18,7.0,"-1,320","4,302",10,13,1/187,1/6.03,11,3.0
2026-01-03,土,はい,"-1,160","3,462",10,6,1/216,1/6.22,22,12.0,"+2,666","7,449",40,22,1/120,1/6.45,4,1.0,+800,"7,596",31,27,1/131,1/6.46,10,6.0,+852,"6,801",28,26,1/126,1/6.53,3,-
2026-01-02,金,いいえ,-37,"7,104",23,29,1/137,1/6.25,15,4.0,-349,"4,115",15,10,1/165,1/6.21,11,4.0,-658,"6,834",22,21,1/159,1/6.08,19,4.0,+339,"6,035",27,12,1/155,1/6.29,7,-
2026-01-01,木,いいえ,"-1,726","2,073",2,2,1/518,1/6.03,12,7.0,"+2,285","4,673",25,18,1/109,1/6.21,5,-,+26,"2,446",10,4,1/175,1/5.91,12,7.0,-756,"3,480",12,6,1/193,1/6.30,19,7.0
2025-12-31,水,いいえ,"+1,946","3,908",21,18,1/100,1/6.56,6,-,"+2,668","7,206",39,17,1/129,1/6.04,6,-,-584,"2,757",9,4,1/212,1/5.94,23,14.0,+39,"3,196",13,9,1/145,1/6.42,9,3.0
2025-12-30,火,はい,"+1,651","6,664",32,22,1/123,1/6.49,18,4.0,-209,"4,870",19,11,1/162,1/6.23,14,1.0,+702,"7,317",31,19,1/146,1/6.11,9,-,"+2,626","7,397",36,29,1/114,1/6.33,13,4.0
2025-12-29,月,いいえ,-604,"2,595",9,6,1/173,1/6.70,21,12.0,-795,"4,426",15,10,1/177,1/6.29,9,-,-839,"2,269",6,4,1/227,1/6.12,9,-,"-1,442","6,567",20,18,1/173,1/6.31,35,14.0
2025-12-28,日,はい,"+3,207","6,934",35,27,1/112,1/6.01,15,7.0,+396,"4,685",20,12,1/146,1/6.18,8,-,+277,"4,650",20,11,1/150,1/6.25,8,-,+171,"3,927",15,8,1/171,1/5.66,25,10.0
2025-12-27,土,はい,-170,"6,730",25,24,1/137,1/6.69,46,17.0,"-1,210","1,664",2,4,1/277,1/6.48,12,-,-278,"7,101",27,19,1/154,1/6.29,16,4.0,-616,"4,458",15,14,1/154,1/6.49,29,13.0
2025-12-26,金,いいえ,-468,"3,519",11,10,1/168,1/6.04,36,12.0,"+1,634","4,077",20,17,1/110,1/6.27,3,-,-180,"4,635",17,12,1/160,1/6.09,14,11.0,"-1,583","3,314",7,10,1/195,1/6.63,24,10.0
2025-12-25,木,いいえ,-627,745,1,0,1/745,1/6.07,19,10.0,"+1,047","6,551",27,24,1/128,1/6.28,6,1.0,-25,"2,363",11,1,1/197,1/6.09,5,-,"+2,284","7,725",39,25,1/121,1/6.52,9,3.0
2025-12-24,水,いいえ,-364,"3,032",11,6,1/178,1/6.15,13,9.0,+98,"2,846",12,6,1/158,1/6.15,19,6.0,"+1,310","5,943",27,17,1/135,1/5.99,4,-,-692,"3,447",13,5,1/192,1/6.47,21,2.0
2025-12-23,火,いいえ,"+1,279","6,930",29,18,1/147,1/5.67,6,3.0,-878,"2,609",8,8,1/163,1/7.18,31,18.0,"+2,167","5,798",30,21,1/114,1/6.46,3,-,-458,"5,528",21,12,1/168,1/6.26,13,7.0
2025-12-21,日,はい,-52,"5,184",20,17,1/140,1/6.51,19,8.0,-70,"2,986",12,2,1/213,1/5.60,26,7.0,-407,"2,279",7,6,1/175,1/6.10,11,6.0,-590,"6,584",20,19,1/169,1/5.78,5,-
2025-12-20,土,はい,"-1,526","4,824",12,16,1/172,1/6.41,9,1.0,-249,"4,129",17,11,1/147,1/6.80,8,6.0,"+3,302","8,340",44,24,1/123,1/6.00,9,1.0,"+1,033","7,078",30,22,1/136,1/6.10,2,-
2025-12-19,金,いいえ,+305,"3,619",14,16,1/121,1/6.75,6,-,"+3,067","5,326",31,16,1/113,1/5.95,11,4.0,-963,"1,983",4,6,1/198,1/6.55,13,2.0,-409,"2,701",11,3,1/193,1/6.42,7,1.0
2025-12-18,木,いいえ,+414,"4,674",21,9,1/156,1/6.13,10,4.0,-245,"1,978",6,7,1/152,1/6.21,21,11.0,+15,"5,663",23,13,1/157,1/6.21,6,-,+484,"3,457",18,3,1/165,1/6.21,6,-
2025-12-17,水,いいえ,-225,"4,187",17,9,1/161,1/6.42,11,4.0,-634,"2,289",6,4,1/229,1/5.68,17,6.0,-393,"1,633",5,2,1/233,1/5.76,7,2.0,"+1,383","4,701",22,15,1/127,1/6.07,5,-
2025-12-16,火,いいえ,"+1,259","5,411",26,16,1/129,1/6.27,6,1.0,-816,"1,431",3,2,1/286,1/6.28,8,2.0,+608,"4,638",22,9,1/150,1/6.22,6,1.0,+363,"6,371",27,15,1/152,1/6.18,5,-
2025-12-15,月,いいえ,"-1,058","3,258",8,12,1/163,1/6.60,8,3.0,"+2,590","5,836",28,27,1/106,1/6.15,5,-,-676,"1,004",1,2,1/335,1/5.80,19,11.0,+75,"5,434",22,12,1/160,1/6.10,5,-
2025-12-14,日,はい,"+3,620","7,460",40,27,1/111,1/6.13,5,-,+782,"2,650",12,8,1/133,1/5.72,9,4.0,-232,"2,119",8,3,1/193,1/6.02,9,4.0,-850,"3,133",9,4,1/241,1/5.72,17,8.0
2025-12-13,土,はい,"-1,075","2,468",5,5,1/247,1/5.86,18,7.0,"-1,305","5,300",13,19,1/166,1/6.15,8,6.0,"+1,385","6,865",32,22,1/127,1/6.51,2,-,-423,"4,051",14,10,1/169,1/6.11,11,3.0
2025-12-12,金,いいえ,-146,"1,044",3,4,1/149,1/6.36,8,3.0,+278,"1,637",8,1,1/182,1/5.64,5,-,+198,"5,549",22,14,1/154,1/6.05,9,1.0,-134,"1,523",4,5,1/169,1/5.53,5,-
2025-12-11,木,いいえ,+325,"3,289",14,12,1/127,1/6.77,7,2.0,-81,"1,082",3,4,1/155,1/5.77,5,5.0,+923,"7,601",33,23,1/136,1/6.30,13,6.0,"+1,313","2,420",13,10,1/105,1/6.11,0,-
2025-12-10,水,はい,"+2,260","7,095",34,29,1/113,1/6.51,18,15.0,+926,"5,796",26,19,1/129,1/6.54,1,-,"-1,005","5,217",17,15,1/163,1/6.50,23,5.0,"+2,407","5,781",30,21,1/113,1/6.27,3,2.0
2025-12-09,火,いいえ,+571,"8,205",35,25,1/137,1/6.49,31,15.0,-652,"1,823",5,3,1/228,1/6.12,6,-,-980,"2,975",11,4,1/198,1/7.05,16,10.0,+739,"5,933",25,16,1/145,1/5.99,6,-
2025-12-07,日,はい,"-1,160","2,901",9,5,1/207,1/6.83,60,53.0,+327,"4,888",19,17,1/136,1/6.38,4,-,"+1,045","6,260",23,29,1/120,1/6.18,5,1.0,-408,"4,653",16,13,1/160,1/6.16,7,2.0
2025-12-06,土,はい,-92,"5,397",22,16,1/142,1/6.67,35,26.0,"+2,097","5,771",32,15,1/123,1/6.33,9,3.0,+68,"3,112",13,8,1/148,1/6.39,6,-,+262,"6,595",26,16,1/157,1/5.96,6,-
2025-12-05,金,いいえ,-366,"3,054",9,10,1/161,1/5.97,18,6.0,-875,"2,364",7,7,1/169,1/7.17,21,3.0,-712,"2,962",8,11,1/156,1/6.48,12,4.0,"-1,212","2,773",4,11,1/185,1/6.07,8,-
2025-12-04,木,いいえ,-195,919,3,1,1/230,1/5.79,16,10.0,"+1,880","7,556",32,34,1/114,1/6.38,6,1.0,-265,"1,767",5,6,1/161,1/6.03,5,-,+583,"5,596",20,24,1/127,1/6.21,5,-
2025-12-03,水,いいえ,-520,"2,179",8,2,1/218,1/6.28,11,4.0,"+1,824","7,213",30,30,1/120,1/6.11,16,5.0,+689,"4,129",18,11,1/142,1/5.95,2,-,-79,"2,573",10,6,1/161,1/6.19,7,5.0
2025-12-02,火,いいえ,+219,"2,121",10,4,1/152,1/6.29,9,3.0,-256,"4,338",13,15,1/155,1/5.84,56,47.0,-879,"2,658",8,6,1/190,1/6.61,6,5.0,"+1,025","5,651",26,16,1/135,1/6.22,1,-
2025-12-01,月,いいえ,-305,"1,414",5,2,1/202,1/6.25,24,19.0,-391,"3,742",12,9,1/178,1/5.81,51,27.0,"+1,289","3,167",17,13,1/106,1/6.79,3,-,+480,"5,932",26,16,1/141,1/6.40,5,2.0
2025-11-30,日,はい,+997,"5,494",23,22,1/122,1/6.42,11,3.0,"-1,071","5,411",15,18,1/164,1/6.16,28,17.0,+233,"3,618",15,8,1/157,1/5.98,8,3.0,-329,"4,390",19,7,1/169,1/6.59,5,-
2025-11-29,土,はい,"+1,015","8,567",31,32,1/136,1/5.94,11,5.0,-58,"3,236",10,13,1/141,1/6.11,20,9.0,"+1,520","5,835",28,20,1/122,1/6.48,6,1.0,+556,"5,584",23,16,1/143,1/6.08,5,-
2025-11-28,金,いいえ,-733,"2,608",8,6,1/186,1/6.44,41,19.0,+779,"6,332",26,23,1/129,1/6.44,22,13.0,-597,531,1,0,1/531,1/8.83,9,4.0,-449,"2,203",8,2,1/220,1/6.07,5,-
2025-11-27,木,いいえ,-369,"2,159",7,5,1/180,1/6.11,16,8.0,-181,"4,198",14,13,1/155,1/5.97,31,15.0,"+2,100","9,443",33,43,1/124,1/5.71,8,1.0,+923,"3,773",20,9,1/130,1/6.54,7,-
2025-11-26,水,いいえ,-327,"2,212",9,3,1/184,1/6.52,16,11.0,"-1,197","1,873",4,3,1/268,1/6.80,31,2.0,-382,"1,679",5,2,1/240,1/5.61,29,13.0,"+2,808","7,103",34,28,1/115,1/6.05,5,-
2025-11-25,火,いいえ,"-1,146","2,328",7,4,1/212,1/7.26,12,2.0,-399,"3,433",13,7,1/172,1/6.35,21,9.0,-269,"6,873",22,24,1/149,1/5.98,26,5.0,-734,"2,832",9,5,1/202,1/6.20,10,-
2025-11-24,月,いいえ,"+1,257","7,574",27,33,1/126,1/5.94,3,1.0,"+1,913","6,737",31,22,1/127,1/6.06,7,4.0,-193,"3,088",9,13,1/140,1/6.21,11,4.0,"+1,148","7,060",33,17,1/141,1/6.20,2,-
2025-11-23,日,はい,+178,"2,187",11,2,1/168,1/6.31,10,1.0,-517,"3,570",13,7,1/179,1/6.28,15,4.0,"+1,866","3,459",20,13,1/105,1/6.43,9,-,-548,"3,310",9,11,1/166,1/5.95,11,1.0
2025-11-22,土,はい,-9,"5,412",21,15,1/150,1/6.24,11,6.0,-827,"3,361",10,8,1/187,1/6.19,11,6.0,+871,"6,914",28,22,1/138,1/6.02,16,5.0,+640,"6,178",28,17,1/137,1/6.49,5,-
2025-11-21,金,いいえ,"+2,899","6,389",30,29,1/108,1/5.95,11,7.0,+501,"1,856",10,4,1/133,1/6.40,4,-,"-1,269","1,471",1,2,1/490,1/6.03,64,52.0,-791,"4,859",16,15,1/157,1/6.50,12,1.0
2025-11-20,木,はい,-526,"4,796",16,11,1/178,1/5.92,34,15.0,-197,"4,416",17,10,1/164,1/6.18,16,9.0,-172,"3,423",15,5,1/171,1/6.46,19,3.0,+650,"6,840",27,25,1/132,1/6.39,7,-
2025-11-19,水,いいえ,"-1,019","3,513",10,9,1/185,1/6.34,17,7.0,-178,"3,748",14,11,1/150,1/6.38,7,-,-386,"5,027",21,8,1/173,1/6.41,10,3.0,+168,"3,418",15,5,1/171,1/5.99,19,2.0
2025-11-18,火,いいえ,+415,"5,342",22,16,1/141,1/6.24,16,1.0,+821,"4,505",23,10,1/137,1/6.54,7,4.0,+370,"4,922",20,16,1/137,1/6.31,3,-,"+1,794","6,333",35,10,1/141,1/6.22,15,8.0
2025-11-16,日,はい,-774,"5,575",15,24,1/143,1/6.37,35,5.0,"+2,455","7,786",39,24,1/124,1/6.29,6,-,-860,"3,737",12,8,1/187,1/6.28,11,5.0,"-1,813","5,344",14,11,1/214,1/6.08,30,19.0
2025-11-15,土,はい,"+2,921","7,649",36,32,1/112,1/6.13,38,20.0,"-1,460","4,021",9,11,1/201,1/6.07,18,12.0,+304,"5,453",22,14,1/151,1/6.05,6,-,+469,"7,935",26,35,1/130,1/6.14,18,12.0
2025-11-14,金,いいえ,"-1,657","4,320",11,11,1/196,1/6.44,64,18.0,+696,"4,029",18,11,1/139,1/6.07,13,2.0,"-1,069","5,939",19,15,1/175,1/6.20,11,-,-556,"3,521",10,14,1/147,1/6.49,46,33.0
2025-11-13,木,いいえ,-611,"4,486",17,6,1/195,1/6.12,39,11.0,-716,"2,781",3,17,1/139,1/5.92,28,8.0,"+1,420","3,915",19,17,1/109,1/6.48,13,-,-604,"7,923",28,26,1/147,1/6.45,20,7.0
2025-11-12,水,いいえ,+54,"6,221",23,20,1/145,1/6.19,12,-,+976,"7,505",31,28,1/127,1/6.48,29,1.0,+0,"5,037",19,16,1/144,1/6.30,31,2.0,"-1,228","3,615",9,11,1/181,1/6.39,28,16.0
2025-11-11,火,いいえ,"-1,711","2,806",5,7,1/234,1/6.64,27,2.0,-183,"2,145",9,3,1/179,1/6.38,28,1.0,+537,"5,068",21,16,1/137,1/6.21,25,7.0,+943,"7,900",33,26,1/134,1/6.37,18,-
2025-11-10,月,はい,"-1,122","3,285",9,5,1/235,1/5.99,17,3.0,+563,"8,149",26,35,1/134,1/5.95,14,-,-985,"2,455",7,4,1/223,1/6.46,19,2.0,+479,"6,633",26,21,1/141,1/6.12,35,16.0
2025-11-09,日,はい,"-1,512","2,739",6,2,1/342,1/6.00,12,-,-699,"4,635",16,12,1/166,1/6.39,56,24.0,+238,"6,671",23,24,1/142,1/6.07,26,14.0,"-1,371","7,475",18,33,1/147,1/6.30,32,6.0
2025-11-08,土,はい,+113,"5,957",27,8,1/170,1/6.24,5,-,"-1,016","5,991",18,19,1/162,1/6.22,28,2.0,-917,"3,258",10,8,1/181,1/6.52,48,20.0,-296,"5,753",21,15,1/160,1/6.14,26,21.0
2025-11-07,金,いいえ,+170,"5,750",22,19,1/140,1/6.28,9,-,-393,"5,171",19,13,1/162,1/6.24,20,11.0,"-1,335","4,279",13,8,1/204,1/6.35,28,8.0,"+1,696","7,162",32,28,1/119,1/6.44,28,8.0
2025-11-06,木,いいえ,"+3,450","7,573",43,23,1/115,1/6.37,9,-,-799,"2,570",8,4,1/214,1/6.28,9,-,-634,"2,908",10,6,1/182,1/6.45,11,2.0,"-2,490","5,829",13,16,1/201,1/6.37,70,59.0
2025-11-05,水,いいえ,-570,"3,301",13,3,1/206,1/6.27,21,17.0,"+1,033","6,491",26,29,1/118,1/6.54,4,-,+975,"4,863",25,10,1/139,1/6.40,4,-,-317,"5,763",21,16,1/156,1/6.23,29,8.0
2025-11-03,月,いいえ,"+2,287","7,035",34,25,1/119,1/6.26,8,-,+40,"6,446",23,23,1/140,1/6.34,8,-,"+1,398","7,402",32,28,1/123,1/6.44,8,-,-10,"6,134",26,16,1/146,1/6.61,14,6.0
2025-11-02,日,はい,"-1,054","3,881",11,6,1/228,1/5.79,32,9.0,"-1,158","2,676",7,3,1/268,1/6.09,22,10.0,"-2,160","4,465",9,17,1/172,1/6.97,23,1.0,"+1,795","7,550",34,23,1/132,1/5.95,12,-
2025-11-01,土,はい,-20,"5,085",20,14,1/150,1/6.31,26,4.0,+695,"6,511",24,23,1/139,1/5.98,19,8.0,-311,"4,206",15,11,1/162,1/6.16,11,-,"-1,156","6,701",22,15,1/181,1/6.13,22,3.0
2025-10-31,金,いいえ,-607,"2,149",6,8,1/154,1/6.99,21,6.0,-227,"1,409",5,4,1/157,1/6.69,26,5.0,+480,"7,218",30,23,1/136,1/6.44,6,-,"-1,196","4,870",15,8,1/212,1/5.98,15,9.0
2025-10-30,木,はい,"+1,980","5,433",28,18,1/118,1/6.33,9,3.0,"+1,523","9,252",36,34,1/132,1/6.00,18,6.0,"+3,590","7,183",44,17,1/118,1/6.24,12,3.0,-890,"3,241",10,7,1/191,1/6.36,6,-
2025-10-29,水,いいえ,-587,"2,037",5,5,1/204,1/5.85,11,7.0,-197,"4,832",18,13,1/156,1/6.21,42,4.0,+403,"7,391",27,29,1/132,1/6.37,38,27.0,"+1,225","5,516",25,19,1/125,1/6.36,4,-
2025-10-28,火,いいえ,"+1,069","7,645",32,23,1/139,1/6.03,4,-,-350,"2,922",11,6,1/172,1/6.35,35,25.0,"-1,440","5,468",13,18,1/176,1/6.01,69,34.0,+138,"3,963",17,10,1/147,1/6.43,10,6.0
2025-10-27,月,いいえ,-737,"3,477",11,7,1/193,1/6.08,17,-,-472,"2,595",8,6,1/185,1/5.98,31,8.0,-585,"5,061",20,8,1/181,1/6.32,38,7.0,-396,"3,334",12,7,1/175,1/6.17,23,6.0
2025-10-26,日,はい,-75,"4,574",20,9,1/158,1/6.53,14,3.0,-811,"3,502",12,7,1/184,1/6.48,18,4.0,-569,"3,768",12,8,1/188,1/5.87,11,-,"+2,620","6,708",32,28,1/112,1/6.16,11,-
2025-10-25,土,はい,-679,"4,761",14,14,1/170,1/5.92,11,5.0,-594,"2,052",6,6,1/171,1/6.62,11,5.0,+736,"8,414",31,33,1/131,1/6.24,6,-,+902,"6,575",32,15,1/140,1/6.50,15,4.0
2025-10-24,金,いいえ,"+2,525","4,174",24,15,1/107,1/6.00,8,1.0,"+1,723","7,309",36,21,1/128,1/6.36,7,-,-477,"2,522",8,6,1/180,1/6.14,19,11.0,-651,"3,955",14,8,1/180,1/6.29,31,12.0
