日付,曜日,特定日,837番台,,,,,,,,838番台,,,,,,,,850番台,,,,,,,,851番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-05-09,土,はい,-748,"1,839",3,6,1/204,1/5.84,36,10.0,-717,"2,738",9,5,1/196,1/6.37,6,4.0,-270,"2,181",9,4,1/168,1/6.72,26,20.0,"+1,768","6,811",36,16,1/131,1/6.42,2,-
2026-05-08,金,いいえ,-439,"5,737",17,22,1/147,1/6.16,25,3.0,+531,"5,208",22,16,1/137,1/6.28,4,-,"+1,474","5,653",24,24,1/118,1/6.21,22,13.0,-639,"3,235",11,5,1/202,1/6.06,9,5.0
2026-05-07,木,いいえ,-284,"1,919",8,2,1/192,1/6.49,20,13.0,-547,"2,108",7,3,1/211,1/6.21,6,-,+677,"6,888",27,25,1/132,1/6.33,44,24.0,-967,"4,022",10,14,1/168,1/6.11,7,1.0
2026-05-06,水,いいえ,"+1,188","5,518",26,18,1/125,1/6.53,7,3.0,"+1,334","3,757",19,10,1/130,1/5.86,1,-,-352,"4,880",18,13,1/157,1/6.31,72,65.0,"+1,457","5,952",30,14,1/135,1/6.20,4,3.0
2026-05-05,火,いいえ,-325,"6,133",22,19,1/150,1/6.30,33,29.0,"+2,593","7,196",36,24,1/120,1/6.18,4,-,-855,"6,006",19,20,1/154,1/6.35,61,28.0,"+1,277","7,316",32,20,1/141,1/5.96,4,-
2026-05-04,月,いいえ,-158,"4,028",14,8,1/183,1/5.65,32,23.0,"+2,386","7,318",35,25,1/122,1/6.13,8,-,"-1,053","3,649",11,9,1/182,1/6.49,55,23.0,+216,"5,498",26,9,1/157,1/6.52,9,1.0
2026-05-03,日,はい,-276,"5,994",23,13,1/167,1/6.13,14,2.0,-124,"3,631",14,11,1/145,1/6.50,19,5.0,-596,"3,579",11,11,1/163,1/6.24,47,28.0,+837,"6,490",27,21,1/135,1/6.15,12,-
2026-05-02,土,はい,+434,"5,759",25,15,1/144,1/6.33,10,-,-743,"2,211",7,3,1/221,1/6.37,12,2.0,-192,"5,768",22,13,1/165,1/6.08,31,5.0,"+2,569","7,769",38,29,1/116,1/6.39,26,14.0
2026-05-01,金,いいえ,-903,"2,684",6,8,1/192,1/6.05,20,1.0,+996,"4,098",21,7,1/146,1/6.02,2,-,-794,"2,804",8,7,1/187,1/6.28,19,17.0,"-2,652","4,388",8,11,1/231,1/6.67,58,38.0
2026-04-30,木,はい,"+1,684","9,021",37,29,1/137,1/5.82,18,5.0,+191,"6,693",25,19,1/152,1/5.97,5,-,-652,"4,949",17,11,1/177,1/6.10,13,8.0,-2,"6,298",25,16,1/154,1/6.23,18,5.0
2026-04-29,水,いいえ,"-1,423","4,410",13,8,1/210,1/6.27,51,32.0,"-1,068","2,467",5,6,1/224,1/6.02,15,10.0,"+1,419","8,311",34,30,1/130,1/6.17,5,-,+94,"6,135",21,20,1/150,1/5.88,19,4.0
