日付,曜日,特定日,1165番台,,,,,,,,,1166番台,,,,,,,,,1167番台,,,,,,,,,1168番台,,,,,,,,,1170番台,,,,,,,,,1171番台,,,,,,,,,1172番台,,,,,,,,,1173番台,,,,,,,,,1175番台,,,,,,,,,1176番台,,,,,,,,,1177番台,,,,,,,,,1178番台,,,,,,,,,1180番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-05-24,日,はい,+778,"7,292",31,16,1/155,-,3.53,18,9.0,-665,"2,361",7,4,1/215,-,2.90,50,19.0,+78,"3,115",13,5,1/173,-,3.11,19,1.0,-398,"1,991",6,2,1/249,-,2.74,27,8.0,-544,541,0,0,-,-,2.96,31,4.0,-496,733,1,0,1/733,-,2.90,9,-,-804,"2,796",8,6,1/200,-,3.02,31,4.0,-162,"3,248",9,13,1/148,-,4.11,31,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-23,土,はい,"+1,324","6,780",28,17,1/151,-,3.83,17,1.0,+588,"6,240",22,20,1/149,-,4.19,48,17.0,-166,"2,760",10,5,1/184,-,3.08,17,1.0,+546,"5,105",18,12,1/170,-,3.25,25,4.0,+897,"5,507",23,12,1/157,-,3.46,16,8.0,+679,"4,988",21,9,1/166,-,3.12,8,-,"-1,104","2,569",6,6,1/214,-,2.99,21,4.0,-375,989,3,1,1/247,-,3.10,31,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-22,金,いいえ,+198,"1,976",6,8,1/141,-,3.98,46,14.0,-25,"4,599",14,14,1/164,-,3.64,77,31.0,+531,"3,656",17,5,1/166,-,3.08,20,7.0,-205,451,1,0,1/451,-,3.17,32,1.0,+582,"4,559",16,14,1/152,-,3.91,31,6.0,+55,"1,613",6,4,1/161,-,3.50,13,2.0,-144,485,1,0,1/485,-,3.13,11,-,-192,"1,167",4,2,1/195,-,3.26,25,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-21,木,いいえ,-156,"6,278",21,15,1/174,-,3.12,81,3.0,-358,"3,244",11,6,1/191,-,2.96,78,30.0,-222,"1,079",4,0,1/270,-,2.93,25,1.0,-51,55,0,0,-,-,3.44,16,3.0,-325,"5,646",14,21,1/161,-,4.02,48,23.0,-328,366,0,1,1/366,-,3.34,16,3.0,+27,990,2,5,1/141,-,3.83,13,-,"+2,126","6,730",33,22,1/122,-,5.06,24,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-20,水,はい,"-1,128","1,939",4,3,1/277,-,2.75,69,17.0,-174,"2,006",7,4,1/182,-,3.23,77,8.0,-347,"4,489",17,7,1/187,-,2.74,22,4.0,+295,"4,949",21,9,1/165,-,3.15,16,1.0,-367,"1,043",2,2,1/261,-,3.13,29,7.0,"+1,095","7,150",28,18,1/155,-,3.69,15,-,-979,"2,078",3,4,1/297,-,2.71,18,2.0,-691,"1,219",3,0,1/406,-,2.69,52,23.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-19,火,いいえ,-454,"1,483",3,3,1/247,-,3.04,55,15.0,-970,"3,691",8,11,1/194,-,3.18,85,30.0,-793,"1,704",3,3,1/284,-,2.84,12,1.0,-297,"2,770",11,4,1/185,-,2.99,40,3.0,-144,831,3,1,1/208,-,3.26,26,10.0,"+1,771","7,034",34,15,1/144,-,3.90,16,4.0,+0,176,1,0,1/176,-,3.45,11,-,-251,930,2,3,1/186,-,3.46,37,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-18,月,いいえ,-615,"2,607",8,5,1/201,-,2.99,28,4.0,-853,"1,255",1,3,1/314,-,3.02,79,40.0,+130,"2,342",10,4,1/167,-,3.28,10,-,-167,"1,586",5,3,1/198,-,3.18,39,11.0,"-1,074","1,142",1,1,1/571,-,2.73,24,9.0,+739,"1,376",9,2,1/125,-,3.69,15,2.0,"+1,884","5,420",29,9,1/143,-,3.65,15,2.0,+243,"2,732",14,3,1/161,-,3.18,13,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-17,日,はい,+372,"4,008",14,12,1/154,-,3.80,18,3.0,-645,616,1,0,1/616,-,3.01,47,2.0,+609,"4,195",15,11,1/161,-,3.54,15,2.0,-108,"4,026",16,5,1/192,-,2.66,45,11.0,+814,"4,292",21,8,1/148,-,3.56,13,-,-594,"2,012",5,4,1/224,-,2.99,32,6.0,"+1,281","6,566",26,17,1/153,-,3.80,26,8.0,-534,959,2,1,1/320,-,3.01,34,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-16,土,はい,-853,"2,522",5,4,1/280,-,2.56,26,3.0,"-1,035","1,763",3,3,1/294,-,2.79,27,1.0,-823,"1,135",2,0,1/568,-,2.66,29,2.0,+504,"6,656",25,15,1/166,-,3.23,44,3.0,-828,"2,387",7,3,1/239,-,2.69,15,-,"-1,389","2,364",7,1,1/296,-,2.38,23,8.0,-699,"2,581",7,5,1/215,-,2.90,41,10.0,-378,875,3,0,1/292,-,3.00,31,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-15,金,いいえ,"-1,234","1,321",0,3,1/440,-,2.84,18,2.0,-662,543,0,0,-,-,2.95,21,3.0,"+2,193","4,298",24,11,1/123,-,4.47,24,3.0,+394,"6,204",24,17,1/151,-,3.90,31,5.0,+408,934,6,0,1/156,-,3.32,10,-,-440,"1,701",4,5,1/189,-,3.37,16,6.0,-441,"1,380",3,4,1/197,-,3.35,37,6.0,-474,"1,340",4,1,1/268,-,2.89,26,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
