日付,曜日,特定日,1165番台,,,,,,,,,1166番台,,,,,,,,,1167番台,,,,,,,,,1168番台,,,,,,,,,1170番台,,,,,,,,,1171番台,,,,,,,,,1172番台,,,,,,,,,1173番台,,,,,,,,,1175番台,,,,,,,,,1176番台,,,,,,,,,1177番台,,,,,,,,,1178番台,,,,,,,,,1180番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-04-30,木,はい,+392,"6,383",25,16,1/156,-,3.66,34,6.0,-628,832,1,2,1/277,-,3.22,55,1.0,-908,"1,684",2,5,1/241,-,3.14,78,23.0,+962,"6,207",27,14,1/151,-,3.67,20,3.0,+237,"1,441",8,0,1/180,-,3.07,13,-,+950,"3,712",17,9,1/143,-,3.84,17,4.0,+307,"7,101",25,17,1/169,-,3.22,54,20.0,+42,"4,019",15,7,1/183,-,2.92,28,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-29,水,いいえ,-228,"2,478",8,3,1/225,-,2.73,52,6.0,-346,"1,330",5,0,1/266,-,2.82,54,2.0,-547,"2,320",7,5,1/193,-,3.14,61,7.0,-273,"3,420",10,10,1/171,-,3.47,24,-,-369,749,2,1,1/250,-,3.21,34,8.0,-267,"3,975",14,9,1/173,-,3.23,26,2.0,-183,"1,451",5,3,1/181,-,3.32,77,16.0,-702,"1,189",3,1,1/297,-,2.91,46,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-28,火,いいえ,"-2,587","3,593",3,9,1/299,-,2.41,59,1.0,"-1,031","1,324",2,2,1/331,-,2.87,58,11.0,-620,"3,530",11,8,1/186,-,3.09,47,6.0,+501,"3,878",17,5,1/176,-,2.88,24,-,-620,"1,651",5,1,1/275,-,2.73,35,9.0,-62,"5,094",18,13,1/164,-,3.45,26,2.0,-255,"1,851",7,1,1/231,-,2.78,62,3.0,-25,"3,775",12,12,1/157,-,3.78,41,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-27,月,いいえ,-819,"1,938",4,4,1/242,-,2.94,21,-,-363,694,1,1,1/347,-,3.14,42,10.0,-492,"5,220",17,14,1/168,-,3.42,32,4.0,-491,"1,370",3,3,1/228,-,3.15,42,10.0,-392,"3,657",11,7,1/203,-,2.79,26,5.0,-458,"1,489",2,5,1/213,-,3.33,21,-,-231,"2,232",6,7,1/172,-,3.52,50,8.0,-538,480,0,1,1/480,-,3.23,28,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-26,日,はい,+991,"6,933",28,18,1/151,-,3.88,16,-,"-1,654","5,280",11,15,1/203,-,2.90,51,16.0,"-1,552","1,668",2,2,1/417,-,2.58,25,2.0,-840,"3,469",10,5,1/231,-,2.50,25,2.0,"+4,210","8,247",44,24,1/121,-,5.17,26,1.0,"+1,099","6,836",28,19,1/145,-,4.14,23,7.0,"-1,798","1,844",2,1,1/615,-,2.30,35,9.0,"+1,753","6,603",29,17,1/144,-,4.09,26,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-25,土,はい,+620,"3,883",15,11,1/149,-,3.83,29,3.0,-224,"4,423",15,9,1/184,-,2.94,37,8.0,-309,"1,380",5,1,1/230,-,2.97,19,-,"-1,245","3,272",9,5,1/234,-,2.55,23,4.0,-405,"1,201",3,2,1/240,-,3.10,48,2.0,"+1,487","6,466",28,15,1/150,-,3.74,41,4.0,"-1,709","3,361",7,7,1/240,-,2.62,26,3.0,-262,"2,507",7,6,1/193,-,3.16,46,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-24,金,いいえ,-420,"4,834",17,8,1/193,-,2.64,42,7.0,"+2,331","8,896",41,21,1/143,-,4.13,35,16.0,-385,772,2,0,1/386,-,2.98,10,-,+420,"4,725",20,12,1/148,-,3.83,14,4.0,+939,"7,166",30,15,1/159,-,3.34,47,3.0,"-1,280","3,331",6,7,1/256,-,2.55,58,11.0,-7,"3,802",12,11,1/165,-,3.55,19,5.0,"-1,057","1,519",1,3,1/380,-,2.78,44,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-23,木,いいえ,-220,"4,467",16,12,1/160,-,3.60,39,15.0,-408,"1,378",4,2,1/230,-,3.06,81,15.0,"+1,489","4,891",23,13,1/136,-,4.21,8,-,+326,"6,435",25,14,1/165,-,3.24,24,10.0,-602,"6,231",18,16,1/183,-,3.02,66,19.0,+521,"4,229",19,7,1/163,-,3.18,47,8.0,-269,"1,167",3,3,1/195,-,3.35,14,6.0,"-1,122","2,316",5,2,1/331,-,2.39,39,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-22,水,いいえ,-980,"4,675",15,6,1/223,-,2.28,35,7.0,-963,"3,854",11,5,1/241,-,2.33,79,13.0,"+1,046","5,313",23,15,1/140,-,4.20,8,-,-198,"6,250",19,17,1/174,-,3.30,24,10.0,"-1,162","2,928",6,7,1/225,-,2.87,66,16.0,"-1,283","4,429",12,9,1/211,-,2.63,50,15.0,"+2,008","7,476",30,28,1/129,-,5.10,14,6.0,-443,"1,051",3,1,1/263,-,3.04,28,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-20,月,はい,+691,"3,767",16,11,1/140,-,4.06,15,4.0,-385,"3,824",13,4,1/225,-,2.37,64,12.0,"+1,031","5,176",21,17,1/136,-,4.45,11,-,+27,"5,419",16,20,1/151,-,4.25,26,11.0,-238,"4,354",14,9,1/189,-,2.89,52,19.0,-701,"2,433",5,6,1/221,-,3.00,33,1.0,+583,"7,026",25,25,1/141,-,4.65,32,6.0,"+2,055","7,283",33,21,1/135,-,4.60,15,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-19,日,はい,-113,"2,930",13,3,1/183,-,2.88,23,4.0,"-1,156","4,618",11,11,1/210,-,2.73,42,16.0,+644,"3,275",15,8,1/142,-,3.81,19,-,+679,"7,001",25,23,1/146,-,4.37,48,3.0,-646,"2,718",7,8,1/181,-,3.37,45,3.0,"-1,067","3,166",7,9,1/198,-,3.15,26,3.0,+639,"3,895",17,7,1/162,-,3.25,50,2.0,-668,"5,035",16,12,1/180,-,3.09,48,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-18,土,はい,-574,"3,823",15,2,1/225,-,2.25,18,-,-999,"3,457",9,8,1/203,-,2.93,24,6.0,-880,"1,841",4,2,1/307,-,2.65,42,13.0,"-1,551","3,265",7,7,1/233,-,2.70,78,17.0,-226,"4,812",16,11,1/178,-,3.09,29,5.0,-196,"2,138",7,3,1/214,-,2.91,18,-,-463,"2,750",9,3,1/229,-,2.61,61,17.0,+236,"5,857",22,12,1/172,-,3.04,44,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-17,金,いいえ,+244,"1,614",9,0,1/179,-,3.02,16,1.0,-195,715,2,1,1/238,-,3.24,16,1.0,+907,"4,872",18,16,1/143,-,4.22,32,16.0,-68,"3,550",11,11,1/161,-,3.67,62,8.0,-844,"1,683",1,4,1/337,-,2.83,15,6.0,-681,562,0,0,-,-,2.94,9,-,-622,"2,111",6,2,1/264,-,2.64,46,14.0,-784,"1,850",3,5,1/231,-,3.10,54,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-16,木,いいえ,-232,"2,934",11,6,1/173,-,3.24,21,5.0,+625,"3,966",17,7,1/165,-,3.19,16,1.0,+383,"5,786",22,14,1/161,-,3.48,25,4.0,-504,"2,703",8,4,1/225,-,2.72,65,20.0,+956,"4,084",19,8,1/151,-,3.52,15,5.0,+29,"3,461",11,8,1/182,-,3.15,10,-,-605,"1,048",2,1,1/349,-,2.92,45,20.0,-567,"1,239",3,3,1/207,-,3.28,45,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-15,水,いいえ,-225,"2,106",8,2,1/211,-,2.86,13,1.0,-152,"3,011",12,3,1/201,-,2.71,32,7.0,-53,"5,378",16,21,1/145,-,4.45,41,4.0,+217,"4,483",17,11,1/160,-,3.51,57,16.0,-208,"5,358",21,9,1/179,-,2.80,37,5.0,"+1,963","4,473",27,6,1/136,-,3.71,12,-,-585,"1,418",3,3,1/236,-,3.10,25,11.0,-569,680,1,1,1/340,-,3.15,14,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-14,火,いいえ,+637,"7,032",24,23,1/150,-,4.25,11,1.0,-310,"2,644",9,6,1/176,-,3.28,15,4.0,-634,"4,210",12,11,1/183,-,3.17,43,7.0,-687,"2,651",7,6,1/204,-,3.03,56,13.0,-25,423,1,2,1/141,-,3.63,24,5.0,+356,"7,607",32,16,1/158,-,3.36,36,12.0,-305,209,0,0,-,-,3.28,19,4.0,+155,"2,981",10,9,1/157,-,3.69,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-13,月,いいえ,+595,"3,830",15,11,1/147,-,3.88,18,1.0,+830,"2,702",12,10,1/123,-,4.38,11,-,-811,"2,704",7,7,1/193,-,3.18,25,7.0,"-1,214","2,196",4,4,1/275,-,2.72,54,7.0,-440,682,1,1,1/341,-,3.15,18,1.0,-587,"2,625",9,3,1/219,-,2.71,47,22.0,"-1,066","1,605",2,2,1/401,-,2.63,12,1.0,-647,"1,539",3,5,1/192,-,3.40,17,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-12,日,はい,-657,"2,847",7,9,1/178,-,3.45,39,15.0,+878,"5,295",26,6,1/165,-,2.84,15,4.0,"-1,015","1,953",4,2,1/326,-,2.56,24,8.0,"-1,175","3,065",7,4,1/279,-,2.36,52,7.0,"+2,480","6,564",33,18,1/129,-,4.68,16,1.0,+276,"3,801",14,9,1/165,-,3.39,45,6.0,"+1,308","8,748",37,22,1/148,-,4.01,6,-,-347,674,2,0,1/337,-,3.07,11,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-11,土,はい,-285,"1,981",7,1,1/248,-,2.67,18,7.0,-172,"4,405",16,11,1/163,-,3.46,24,6.0,-379,924,2,1,1/308,-,3.04,11,2.0,-703,"3,692",11,8,1/194,-,2.95,45,13.0,"+1,219","5,317",21,17,1/140,-,4.34,32,1.0,+463,"4,459",20,8,1/159,-,3.28,31,7.0,"+1,698","7,769",34,21,1/141,-,4.33,6,-,+401,"5,440",19,17,1/151,-,4.02,9,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-10,金,はい,"+1,119","5,636",27,11,1/148,-,3.61,16,2.0,-701,"3,863",15,4,1/203,-,2.52,25,9.0,"+2,361","6,420",33,17,1/128,-,4.64,11,-,-958,"1,429",3,0,1/476,-,2.52,42,17.0,"-1,372","2,648",5,5,1/265,-,2.63,52,10.0,"-1,710","3,110",5,5,1/311,-,2.31,62,10.0,"-1,004","2,367",6,5,1/215,-,2.98,16,2.0,-395,"3,704",11,8,1/195,-,2.94,14,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-09,木,いいえ,+751,"4,361",20,10,1/145,-,3.78,18,2.0,-105,382,1,0,1/382,-,3.24,15,1.0,"+1,132","4,182",17,13,1/139,-,4.17,16,1.0,-267,920,3,0,1/307,-,2.96,34,16.0,"-1,738","7,749",21,15,1/215,-,2.14,38,4.0,-391,909,2,2,1/227,-,3.27,62,24.0,+712,"4,423",20,10,1/147,-,3.72,12,-,"+3,184","6,478",33,20,1/122,-,4.98,14,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-08,水,いいえ,-625,"1,646",5,3,1/206,-,3.13,52,18.0,"+1,062","5,458",25,9,1/161,-,3.15,14,-,-558,781,1,1,1/391,-,3.06,34,6.0,"+3,329","7,231",34,24,1/125,-,5.07,26,10.0,"+1,602","5,759",29,12,1/140,-,3.92,28,2.0,-532,"2,821",6,8,1/202,-,3.16,71,19.0,"+1,439","6,122",21,23,1/139,-,4.66,16,2.0,"+1,468","4,613",21,18,1/118,-,4.98,26,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-07,火,いいえ,"-1,017","1,312",2,2,1/328,-,2.88,24,5.0,+322,"2,264",8,7,1/151,-,3.73,13,-,+928,"5,411",21,14,1/155,-,3.70,19,2.0,-228,"2,598",9,2,1/236,-,2.56,57,9.0,-244,"3,819",13,9,1/174,-,3.25,59,2.0,-449,"1,051",4,0,1/263,-,2.96,48,24.0,+531,"2,423",10,6,1/151,-,3.62,17,4.0,+604,"6,076",20,22,1/145,-,4.45,48,24.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-05,日,はい,-747,"2,066",6,2,1/258,-,2.67,17,-,-579,"4,185",15,7,1/190,-,2.78,26,9.0,-728,"1,320",2,3,1/264,-,3.07,26,9.0,"-1,086","1,381",2,2,1/345,-,2.82,59,18.0,-391,"5,913",20,14,1/174,-,3.14,64,5.0,-148,"1,635",7,3,1/164,-,3.39,41,15.0,+659,"5,164",20,13,1/156,-,3.62,17,-,-139,"3,421",11,8,1/180,-,3.19,65,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-04,土,はい,"+1,015","5,767",24,12,1/160,-,3.34,15,3.0,"+1,102","5,350",22,19,1/130,-,4.72,12,-,+463,"6,054",22,16,1/159,-,3.62,25,6.0,"-1,179","3,656",9,8,1/215,-,2.76,45,20.0,-392,"1,943",6,3,1/216,-,2.97,63,18.0,"+1,577","8,542",34,29,1/136,-,4.90,19,4.0,-737,"2,100",6,2,1/263,-,2.65,45,20.0,-347,"3,456",14,4,1/192,-,2.73,78,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-03,金,いいえ,-58,"2,056",6,5,1/187,-,3.27,25,-,-745,858,1,1,1/429,-,2.98,35,1.0,-856,"1,734",3,3,1/289,-,2.81,56,6.0,-854,"1,553",3,3,1/259,-,2.98,36,1.0,-414,"2,635",9,5,1/188,-,3.08,34,9.0,"-1,216","3,157",4,10,1/226,-,3.01,50,12.0,-820,872,1,1,1/436,-,2.97,38,2.0,-524,"3,735",9,13,1/170,-,3.66,76,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-02,木,いいえ,+77,"6,290",24,13,1/170,-,3.07,25,3.0,-26,"2,750",10,7,1/162,-,3.50,31,6.0,-537,"5,665",18,16,1/167,-,3.51,25,3.0,-496,"1,837",5,2,1/262,-,2.76,16,-,-420,"2,652",10,5,1/177,-,3.18,31,6.0,"-1,792","2,301",3,4,1/329,-,2.53,40,9.0,-208,"3,047",12,4,1/190,-,2.86,22,6.0,"-1,425","8,346",24,20,1/190,-,2.67,58,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-01,水,いいえ,-827,631,0,0,-,-,2.87,26,8.0,-595,"1,169",3,1,1/292,-,2.93,26,8.0,-191,"2,369",9,5,1/169,-,3.33,16,6.0,+42,"4,307",15,9,1/179,-,3.04,10,-,-289,"3,037",11,6,1/179,-,3.14,16,6.0,"-1,072","2,260",5,4,1/251,-,2.77,18,2.0,-444,"1,034",3,1,1/259,-,3.06,18,2.0,-464,413,0,1,1/413,-,3.29,46,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-31,火,いいえ,"+3,331","6,518",36,16,1/125,-,4.69,21,3.0,"+2,239","3,135",22,4,1/121,-,3.99,24,3.0,+238,"2,825",14,3,1/166,-,3.09,18,1.0,"+1,468","4,808",19,16,1/137,-,4.38,12,-,+478,"3,503",16,6,1/159,-,3.30,15,3.0,+525,"1,265",6,3,1/141,-,3.63,15,3.0,"+1,349","5,886",27,12,1/151,-,3.57,17,2.0,-180,259,0,1,1/259,-,3.45,40,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-30,月,はい,-497,"3,084",7,11,1/171,-,3.64,46,1.0,-292,300,0,0,-,-,3.19,28,2.0,+217,"3,710",14,8,1/169,-,3.27,28,2.0,-451,"1,062",3,0,1/354,-,2.83,32,4.0,-875,"1,613",2,5,1/230,-,3.21,22,-,-598,532,0,0,-,-,2.96,26,1.0,+295,"3,891",15,6,1/185,-,2.84,25,3.0,+676,"7,303",28,19,1/155,-,3.74,45,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-29,日,はい,-666,"8,810",29,20,1/180,-,2.80,41,7.0,"+1,802","7,413",32,24,1/132,-,4.83,15,1.0,-743,"5,185",18,9,1/192,-,2.64,34,3.0,-291,"2,466",9,4,1/190,-,3.04,31,10.0,-538,572,0,1,1/572,-,3.13,14,-,"+2,477","7,064",32,23,1/128,-,4.92,21,6.0,-186,"4,328",14,10,1/180,-,3.10,49,8.0,-764,"2,340",4,7,1/213,-,3.17,74,25.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-28,土,はい,-266,"3,517",12,9,1/167,-,3.42,29,1.0,-840,"1,535",2,3,1/307,-,2.88,48,2.0,-870,763,0,1,1/763,-,2.95,28,5.0,-359,"1,796",5,5,1/180,-,3.40,23,11.0,"+3,736","5,299",33,12,1/118,-,4.71,12,-,-658,580,0,0,-,-,2.92,35,6.0,-806,"2,664",4,8,1/222,-,3.07,46,11.0,-470,"1,142",2,3,1/228,-,3.25,69,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-27,金,いいえ,-45,"1,647",8,0,1/206,-,2.88,14,-,-439,868,1,2,1/289,-,3.18,25,11.0,"+1,398","4,330",19,14,1/131,-,4.44,25,11.0,+301,703,4,0,1/176,-,3.30,25,11.0,-531,"1,253",3,3,1/209,-,3.26,32,6.0,-58,"6,107",23,15,1/161,-,3.49,26,1.0,+457,"2,118",11,3,1/151,-,3.41,25,11.0,-55,"1,804",8,0,1/226,-,2.74,54,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-26,木,いいえ,"+1,416","2,861",16,8,1/119,-,4.32,14,1.0,-419,484,1,0,1/484,-,3.13,25,1.0,-102,"1,068",3,2,1/214,-,3.23,34,9.0,"+2,006","4,521",20,17,1/122,-,4.84,24,8.0,+779,"5,645",21,18,1/145,-,4.24,16,2.0,+313,"2,962",12,8,1/148,-,3.75,13,-,-834,828,0,1,1/828,-,2.89,53,1.0,-451,828,1,1,1/414,-,3.01,52,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-25,水,いいえ,-516,"1,382",3,3,1/230,-,3.14,37,2.0,-913,"1,131",1,3,1/283,-,3.13,19,-,-645,773,1,1,1/387,-,3.06,35,3.0,-57,"2,371",11,2,1/182,-,2.96,45,8.0,-296,"3,731",13,8,1/178,-,3.14,45,8.0,-764,"1,074",1,3,1/269,-,3.19,32,13.0,-548,"2,418",7,6,1/186,-,3.25,19,-,-454,"2,045",6,5,1/186,-,3.28,50,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-24,火,いいえ,-244,791,2,2,1/198,-,3.38,22,4.0,+226,"3,345",15,6,1/159,-,3.33,18,6.0,-52,539,2,1,1/180,-,3.42,26,4.0,-783,"2,651",6,7,1/204,-,3.11,46,2.0,+326,"1,026",6,0,1/171,-,3.23,44,15.0,-219,"2,128",9,2,1/193,-,2.95,29,3.0,+421,"2,771",11,6,1/163,-,3.40,12,-,-793,"1,618",2,5,1/231,-,3.20,44,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-23,月,いいえ,-442,"1,420",5,1,1/237,-,2.93,14,-,"+1,730","1,796",13,5,1/100,-,4.38,27,2.0,"+1,137","7,332",27,19,1/159,-,3.61,28,1.0,-572,542,1,0,1/542,-,3.08,38,10.0,-501,"1,227",3,2,1/245,-,3.08,47,6.0,-274,927,1,4,1/185,-,3.55,25,11.0,-536,"3,608",11,6,1/212,-,2.66,25,11.0,-324,410,0,1,1/410,-,3.30,41,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-22,日,はい,"+2,355","6,227",34,14,1/130,-,4.41,11,-,-403,407,0,0,-,-,3.09,44,6.0,-552,616,0,1,1/616,-,3.09,38,3.0,-69,"1,619",6,3,1/180,-,3.28,35,7.0,-375,674,2,0,1/337,-,3.07,23,4.0,+854,"5,701",23,14,1/154,-,3.67,25,2.0,-689,"5,669",18,12,1/189,-,2.78,19,8.0,-339,249,0,0,-,-,3.24,28,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-21,土,はい,+357,"5,885",22,17,1/151,-,3.96,23,5.0,"+1,856","7,180",29,26,1/131,-,4.98,27,1.0,-710,742,1,0,1/742,-,2.89,18,2.0,-528,"4,877",13,16,1/168,-,3.66,26,3.0,-414,"4,118",16,4,1/206,-,2.43,18,2.0,-266,"2,428",8,3,1/221,-,2.77,29,2.0,+292,"3,902",18,7,1/156,-,3.37,18,2.0,"+1,026","7,071",28,21,1/144,-,4.29,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-20,金,はい,"-1,702","3,568",10,5,1/238,-,2.43,50,17.0,"-1,320","6,268",17,17,1/184,-,3.07,58,8.0,"+1,983","6,238",30,18,1/130,-,4.65,9,-,"+2,666","9,449",43,30,1/129,-,5.11,24,6.0,+27,"6,313",22,17,1/162,-,3.58,10,1.0,"+2,473","8,715",39,23,1/141,-,4.39,24,6.0,-468,"2,356",7,6,1/181,-,3.31,18,8.0,-245,"4,447",15,9,1/185,-,2.92,33,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-19,木,いいえ,-370,"1,884",5,3,1/236,-,2.91,21,10.0,-426,"3,071",9,7,1/192,-,3.08,34,8.0,"-1,091","2,595",6,3,1/288,-,2.44,25,2.0,-630,"2,005",6,2,1/251,-,2.72,64,13.0,-837,"1,322",3,0,1/441,-,2.61,23,2.0,-113,"1,419",5,3,1/177,-,3.35,51,17.0,"+1,432","3,908",20,9,1/135,-,4.01,11,-,-114,976,3,1,1/244,-,3.11,26,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
