日付,曜日,特定日,1118番台,,,,,,,,1120番台,,,,,,,,1121番台,,,,,,,,1122番台,,,,,,,,1123番台,,,,,,,,1125番台,,,,,,,,1126番台,,,,,,,,1127番台,,,,,,,,1128番台,,,,,,,,1130番台,,,,,,,,1131番台,,,,,,,,1132番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-05-23,土,はい,-925,"1,548",3,4,1/221,-,18,7.0,-856,683,1,0,1/683,-,57,24.0,"+2,311","2,925",20,4,1/122,-,11,-,"-2,438","5,269",12,16,1/188,-,22,4.0,"-1,847","4,664",13,11,1/194,-,62,5.0,"-2,626","4,895",11,11,1/223,-,25,3.0,+166,"2,399",11,3,1/171,-,33,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-22,金,いいえ,"+3,958","3,589",27,7,1/106,-,22,6.0,-456,282,0,0,-,-,41,5.0,-808,710,1,1,1/355,-,16,9.0,"+3,034","1,672",14,9,1/73,-,16,9.0,+727,"4,427",21,7,1/158,-,36,14.0,-187,"1,470",6,3,1/163,-,7,-,+994,"4,332",22,6,1/155,-,59,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-21,木,いいえ,+179,"2,658",11,6,1/156,-,36,10.0,"+1,774","2,647",13,13,1/102,-,20,1.0,"+2,244","1,775",15,2,1/104,-,19,13.0,"-2,999","6,402",20,8,1/229,-,26,6.0,-79,"3,161",13,6,1/166,-,76,17.0,"+2,480","3,600",21,13,1/106,-,6,-,"-1,945","4,460",14,6,1/223,-,59,23.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-20,水,はい,"+1,331","3,440",17,8,1/138,-,29,8.0,-910,"2,898",9,6,1/193,-,77,25.0,"+1,611","3,417",21,4,1/137,-,32,3.0,"+2,759","3,461",23,9,1/108,-,21,-,-859,"2,821",9,5,1/202,-,45,13.0,+954,"2,393",14,2,1/150,-,21,-,+958,"2,429",13,6,1/128,-,52,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-19,火,いいえ,"-2,015","3,328",11,1,1/277,-,49,19.0,"-1,005","4,663",17,9,1/179,-,66,13.0,"+1,792","1,922",14,3,1/113,-,53,4.0,"+1,651","3,313",16,13,1/114,-,30,13.0,"-2,346","2,646",5,2,1/378,-,49,19.0,"-1,812","3,224",8,5,1/248,-,17,-,"-2,108","6,473",21,13,1/190,-,73,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-18,月,いいえ,+163,"2,599",13,2,1/173,-,34,9.0,-368,"1,606",6,2,1/201,-,63,14.0,"-1,568","5,145",18,7,1/206,-,84,21.0,"-1,361","5,719",22,7,1/197,-,25,4.0,+815,"2,158",11,5,1/135,-,21,7.0,+590,"3,233",13,11,1/135,-,14,-,-250,"5,660",22,14,1/157,-,49,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-17,日,はい,"-1,527","3,348",8,8,1/209,-,40,6.0,"-1,782","3,986",10,11,1/190,-,34,15.0,-225,"5,116",19,12,1/165,-,87,24.0,"+1,045","3,780",18,10,1/135,-,16,-,"-3,668","4,970",11,4,1/331,-,34,15.0,"+1,043","4,461",22,8,1/149,-,19,3.0,-310,"9,976",41,19,1/166,-,63,23.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-16,土,はい,"-3,521","4,016",7,4,1/365,-,35,1.0,+314,"4,442",19,13,1/139,-,18,-,-183,"3,588",14,7,1/171,-,85,50.0,-537,"4,658",18,11,1/161,-,26,2.0,"+1,822","1,464",12,2,1/105,-,21,3.0,"+1,291","2,658",16,3,1/140,-,24,3.0,"-3,006","7,305",21,16,1/197,-,34,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-15,金,いいえ,+980,"3,356",19,4,1/146,-,15,-,"+1,910","3,127",16,11,1/116,-,18,3.0,"-2,446","3,348",5,11,1/209,-,82,36.0,"-1,285","4,235",15,5,1/212,-,26,1.0,-806,971,2,3,1/194,-,46,20.0,+254,"2,791",13,2,1/186,-,25,7.0,"+1,167","6,297",27,20,1/134,-,18,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-14,木,いいえ,"+1,598","3,094",17,9,1/119,-,15,-,"-2,559","5,522",17,8,1/221,-,29,8.0,-563,"6,170",22,17,1/158,-,52,18.0,"-2,489","3,803",8,6,1/272,-,21,6.0,+109,"2,791",12,5,1/164,-,21,6.0,"-4,093","4,818",10,3,1/371,-,33,4.0,"-1,081","3,118",10,6,1/195,-,34,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-13,水,いいえ,"-4,657","4,750",6,7,1/365,-,31,6.0,-490,"1,762",6,2,1/220,-,21,2.0,"-1,107","5,745",23,7,1/192,-,25,2.0,+455,"1,200",6,2,1/150,-,11,-,"-1,803","4,256",13,6,1/224,-,23,2.0,"+2,756","5,945",32,14,1/129,-,19,8.0,"+1,863","4,577",23,11,1/135,-,25,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
