日付,曜日,特定日,1118番台,,,,,,,,1120番台,,,,,,,,1121番台,,,,,,,,1122番台,,,,,,,,1123番台,,,,,,,,1125番台,,,,,,,,1126番台,,,,,,,,1127番台,,,,,,,,1128番台,,,,,,,,1130番台,,,,,,,,1131番台,,,,,,,,1132番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-04-17,金,いいえ,"-1,157","2,288",6,3,1/254,-,8,2.0,"+1,121","8,830",42,14,1/158,-,48,4.0,"-1,918","1,303",0,1,1/1303,-,22,1.0,-811,"8,290",32,17,1/169,-,44,22.0,"+1,255","2,846",16,7,1/124,-,6,-,"-1,885","2,293",3,6,1/255,-,13,5.0,-667,"1,831",6,2,1/229,-,21,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-16,木,いいえ,"+2,123","4,375",24,11,1/125,-,6,-,+517,"2,908",14,6,1/145,-,34,6.0,"+3,300","6,032",35,14,1/123,-,20,1.0,"-2,253","5,325",16,10,1/205,-,28,8.0,+426,"2,707",12,7,1/142,-,6,-,"+2,219","2,655",17,7,1/111,-,6,-,"+2,503","4,171",25,8,1/126,-,19,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-15,水,いいえ,"+1,968","3,045",19,6,1/122,-,6,-,-723,"6,770",24,18,1/161,-,82,54.0,"+1,794","3,692",22,5,1/137,-,19,8.0,-792,"5,443",16,21,1/147,-,11,4.0,-226,"1,714",7,2,1/190,-,7,1.0,"-1,764","2,514",4,7,1/229,-,11,4.0,"-6,720","7,148",9,15,1/298,-,28,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-14,火,いいえ,-278,"2,140",8,5,1/165,-,7,1.0,"-3,466","5,139",11,10,1/245,-,54,32.0,"-1,497","2,266",6,3,1/252,-,22,4.0,"+3,154","5,120",30,12,1/122,-,14,7.0,"+4,033","6,166",40,9,1/126,-,6,-,+839,925,7,1,1/116,-,14,7.0,"-1,845","4,930",18,4,1/224,-,18,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-13,月,いいえ,+700,"2,747",13,6,1/145,-,6,-,"-1,631","1,574",2,2,1/394,-,28,9.0,"+1,168","6,895",33,13,1/150,-,19,3.0,+128,"4,256",19,6,1/170,-,14,1.0,+617,"1,204",7,2,1/134,-,6,-,"+2,269","1,583",13,6,1/83,-,13,7.0,+915,"1,362",7,5,1/114,-,16,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-12,日,はい,"+1,361","6,269",29,16,1/139,-,8,2.0,"-2,131","3,162",6,7,1/243,-,16,3.0,"-5,183","6,456",10,13,1/281,-,38,17.0,-490,"5,154",19,13,1/161,-,21,5.0,"+1,083","4,280",21,10,1/138,-,6,-,"+3,478","5,658",37,5,1/135,-,13,5.0,"+4,104","7,580",43,21,1/118,-,16,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-11,土,はい,"+1,794","3,743",24,4,1/134,-,8,2.0,+668,551,5,0,1/110,-,9,1.0,"+2,238","6,764",35,15,1/135,-,19,10.0,-669,"1,718",4,6,1/172,-,19,10.0,"+1,437","3,325",17,9,1/128,-,6,-,+218,"1,100",5,4,1/122,-,20,1.0,"+3,185","4,200",24,15,1/108,-,21,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-10,金,はい,+640,"3,227",16,5,1/154,-,16,1.0,"+2,826","5,897",33,16,1/120,-,11,5.0,"-2,787","7,145",21,13,1/210,-,44,12.0,+837,"1,719",9,5,1/123,-,15,4.0,+72,"6,969",27,20,1/148,-,6,-,"+1,717","1,220",10,3,1/94,-,23,7.0,"-1,127","6,589",26,9,1/188,-,32,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-09,木,いいえ,"+2,452","4,963",29,10,1/127,-,16,10.0,"-2,131","4,260",12,6,1/237,-,16,10.0,"+5,651","5,317",37,19,1/95,-,41,23.0,"+2,691","1,573",13,7,1/79,-,18,2.0,+642,"2,196",12,4,1/137,-,6,-,-603,"5,826",24,8,1/182,-,52,11.0,"+1,916","6,590",34,11,1/146,-,16,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-08,水,いいえ,+339,"3,712",16,7,1/161,-,32,5.0,+198,"2,710",12,6,1/151,-,9,3.0,+518,"4,344",18,14,1/136,-,60,5.0,"-1,858","2,315",5,2,1/331,-,27,2.0,"+5,647","3,396",31,10,1/83,-,6,-,"-3,409","4,476",8,9,1/263,-,55,23.0,"-1,502","2,756",8,3,1/251,-,25,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-07,火,いいえ,-253,"7,828",34,13,1/167,-,51,17.0,"+1,119",559,6,1,1/80,-,23,7.0,-28,"5,655",26,5,1/182,-,69,18.0,+313,"7,206",30,19,1/147,-,16,3.0,-726,"4,108",13,12,1/164,-,13,2.0,+533,"3,077",15,5,1/154,-,34,11.0,"-1,810","5,098",14,11,1/204,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-05,日,はい,"-2,710","8,043",23,22,1/179,-,55,25.0,"+1,108","5,668",27,10,1/153,-,21,5.0,"-4,510","7,292",19,10,1/251,-,62,7.0,"+2,386","5,997",31,14,1/133,-,16,9.0,"+1,030","3,780",19,9,1/135,-,6,-,"+4,950","3,477",28,13,1/85,-,30,9.0,+473,"6,456",27,16,1/150,-,7,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-04,土,はい,"+3,944","8,358",48,14,1/135,-,44,3.0,"+2,429","4,739",26,12,1/125,-,41,17.0,+989,"5,916",29,9,1/156,-,60,16.0,"-3,316","5,731",16,4,1/287,-,24,13.0,"+2,887","3,407",23,7,1/114,-,6,-,"-2,134","4,314",15,2,1/254,-,86,26.0,"-1,145","6,360",24,13,1/172,-,11,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-03,金,いいえ,"-1,863","5,739",21,6,1/213,-,65,46.0,-893,"4,029",14,10,1/168,-,72,7.0,"-6,582","6,713",9,8,1/395,-,88,10.0,"+2,308","4,066",25,7,1/127,-,19,7.0,+215,"4,600",21,9,1/153,-,12,3.0,"-1,742","5,912",21,7,1/211,-,78,6.0,+735,"4,043",19,8,1/150,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-02,木,いいえ,+711,"4,248",19,9,1/152,-,63,26.0,-259,"5,028",18,14,1/157,-,65,2.0,"-2,955","8,317",25,18,1/193,-,81,16.0,-393,"4,831",20,7,1/179,-,37,21.0,-513,"4,116",17,5,1/187,-,16,-,"-1,825","4,834",14,11,1/193,-,65,2.0,"+1,789","6,105",31,12,1/142,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-01,水,いいえ,"-2,562","4,368",11,7,1/243,-,88,20.0,-204,"6,017",25,10,1/172,-,54,33.0,"-2,955","8,600",25,19,1/195,-,68,8.0,"-1,161","2,858",9,2,1/260,-,21,5.0,+59,"7,137",28,16,1/162,-,12,-,"-3,558","6,818",19,11,1/227,-,60,6.0,"+1,067","5,006",23,11,1/147,-,16,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-31,火,いいえ,"-1,490","8,260",31,16,1/176,-,87,46.0,"-4,374","4,925",8,7,1/328,-,38,13.0,"-4,772","5,372",10,8,1/298,-,41,3.0,"+4,768","8,451",48,20,1/124,-,21,5.0,"-1,110","1,617",4,1,1/323,-,14,-,+719,"3,210",18,3,1/153,-,25,4.0,"+1,069","7,189",33,16,1/147,-,16,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-30,月,はい,"-1,923","6,943",27,4,1/224,-,87,57.0,"+1,625","1,732",12,4,1/108,-,30,6.0,+855,"3,108",15,7,1/141,-,19,3.0,+712,"5,168",21,17,1/136,-,22,3.0,"+3,418","4,042",26,11,1/109,-,16,-,"+1,307","7,238",37,6,1/168,-,24,2.0,"+1,254","3,430",18,6,1/143,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-29,日,はい,"-1,055","2,106",7,2,1/234,-,64,11.0,-556,"1,733",7,0,1/248,-,53,13.0,-721,"6,100",24,9,1/185,-,40,2.0,-855,"2,751",9,4,1/212,-,31,3.0,"+1,156","4,813",24,9,1/146,-,28,-,"-1,874","7,659",24,20,1/174,-,38,5.0,-929,"2,386",8,4,1/199,-,33,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-28,土,はい,"-1,083","4,299",15,6,1/205,-,78,19.0,"+1,156","4,098",19,11,1/137,-,51,13.0,+396,"6,632",29,11,1/166,-,15,-,"-2,254","4,447",11,10,1/212,-,25,1.0,"-1,121","1,742",3,4,1/249,-,59,8.0,-962,"7,348",26,16,1/175,-,24,9.0,"-1,515","3,641",11,6,1/214,-,38,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-27,金,いいえ,-628,"4,024",12,13,1/161,-,55,23.0,"-1,152","2,941",10,3,1/226,-,71,16.0,-885,"3,160",12,2,1/226,-,22,7.0,-594,"1,771",6,1,1/253,-,15,-,-237,"1,928",6,6,1/161,-,32,10.0,"-1,428","5,054",16,11,1/187,-,22,7.0,"-2,517","3,005",4,8,1/250,-,22,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-26,木,いいえ,-121,"3,649",15,6,1/174,-,28,10.0,-758,"2,032",7,3,1/203,-,53,20.0,-681,"2,899",10,5,1/193,-,13,2.0,+849,"5,568",26,12,1/147,-,11,-,+451,"4,607",21,11,1/144,-,33,5.0,"-1,270","5,832",21,9,1/194,-,11,-,"+4,449","3,960",28,15,1/92,-,18,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-25,水,いいえ,"-1,338","3,076",9,4,1/237,-,24,3.0,+551,776,5,2,1/111,-,52,5.0,"+1,262","5,692",29,8,1/154,-,11,-,"-1,511","2,463",6,4,1/246,-,13,2.0,+467,"2,702",13,5,1/150,-,47,23.0,"+1,756","2,921",17,7,1/122,-,13,2.0,+586,"3,254",13,12,1/130,-,21,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-24,火,いいえ,-980,"2,177",7,1,1/272,-,19,6.0,"-3,457","5,054",9,12,1/241,-,79,19.0,-775,"4,231",14,11,1/169,-,24,5.0,"+2,786","4,078",24,11,1/117,-,6,-,"-3,462","3,868",5,8,1/298,-,60,28.0,"+1,136","1,761",11,3,1/126,-,13,7.0,"+2,061","6,684",36,11,1/142,-,32,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-23,月,いいえ,"+2,339","1,575",13,4,1/93,-,18,2.0,-602,"5,380",21,9,1/179,-,41,17.0,-628,845,3,0,1/282,-,16,10.0,"+4,990","4,861",36,10,1/106,-,6,-,+290,"1,551",8,1,1/172,-,24,6.0,"+3,039","3,751",25,9,1/110,-,18,2.0,"-2,750","4,089",10,5,1/273,-,41,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-22,日,はい,"-2,395","2,639",5,1,1/440,-,24,6.0,-202,"3,285",13,7,1/164,-,55,13.0,"+2,028","6,027",28,19,1/128,-,11,2.0,+869,"5,178",25,9,1/152,-,9,-,"-2,183","3,423",8,6,1/245,-,42,17.0,"+2,384","6,729",29,26,1/122,-,18,7.0,"-2,724","3,826",7,7,1/273,-,25,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-21,土,はい,+477,386,3,1,1/97,-,14,3.0,"-1,205","5,690",20,12,1/178,-,54,32.0,+765,"3,635",19,6,1/145,-,15,1.0,"-1,713","3,651",11,6,1/215,-,11,-,"+1,524","2,925",18,5,1/127,-,22,2.0,-739,"1,335",3,4,1/191,-,20,1.0,"+8,476","8,624",57,28,1/101,-,19,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-20,金,はい,"+4,634","7,861",45,21,1/119,-,14,8.0,"+1,066","4,222",21,8,1/146,-,31,3.0,"+3,208","5,340",31,14,1/119,-,24,9.0,"+2,029","5,228",27,14,1/128,-,6,-,-880,"5,270",17,16,1/160,-,63,32.0,"+1,845","3,292",18,9,1/122,-,15,1.0,-259,"4,350",16,13,1/150,-,28,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-19,木,いいえ,"+1,398","3,266",19,4,1/142,-,14,8.0,"-1,142","2,481",7,6,1/191,-,59,27.0,-859,"3,194",11,4,1/213,-,72,13.0,"+1,385","4,855",21,15,1/135,-,6,-,"-1,592","3,254",9,4,1/250,-,31,9.0,"-3,378","5,078",12,6,1/282,-,22,8.0,-244,"3,218",13,6,1/169,-,32,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-18,水,いいえ,"-1,914","3,217",7,8,1/214,-,24,8.0,+801,"6,454",30,11,1/157,-,58,2.0,-893,"4,289",13,12,1/172,-,56,20.0,+850,"6,074",29,9,1/160,-,6,-,"-2,539","3,699",9,4,1/285,-,26,2.0,+677,"5,376",25,10,1/154,-,16,10.0,"-2,785","5,791",18,5,1/252,-,36,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-17,火,いいえ,-752,"3,948",15,8,1/172,-,14,8.0,-175,"3,271",12,8,1/164,-,77,51.0,-258,"7,424",31,12,1/173,-,26,8.0,"+1,404","3,654",17,12,1/126,-,6,-,"+4,730","3,276",27,9,1/91,-,18,4.0,"-1,727","2,428",6,3,1/270,-,18,4.0,+780,"5,626",26,12,1/148,-,18,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-16,月,いいえ,-446,"1,956",7,3,1/196,-,7,-,"-2,696","4,268",8,11,1/225,-,53,5.0,+574,"2,678",12,7,1/141,-,16,4.0,-791,504,0,0,-,-,12,5.0,"-1,702","6,949",23,15,1/183,-,48,26.0,+869,936,6,4,1/94,-,16,4.0,"+1,130","2,354",12,7,1/124,-,22,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-15,日,はい,"+1,245","6,464",26,21,1/138,-,6,-,"-1,233","4,882",16,9,1/195,-,32,2.0,-123,"4,948",19,11,1/165,-,30,5.0,"+3,149","7,456",39,20,1/126,-,8,2.0,+714,"3,662",18,5,1/159,-,43,7.0,"+2,028","7,771",39,15,1/144,-,25,17.0,"-1,211","3,934",13,7,1/197,-,36,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-14,土,はい,+390,985,6,0,1/164,-,6,-,"+1,066","3,841",20,5,1/154,-,20,11.0,-807,"5,858",24,6,1/195,-,31,9.0,+260,"3,318",15,6,1/158,-,9,3.0,"-2,296","3,469",8,6,1/248,-,36,1.0,"+3,211","5,800",34,12,1/126,-,35,4.0,"+3,415","1,807",18,4,1/82,-,22,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-13,金,いいえ,"+2,048","5,420",28,13,1/132,-,11,-,"-2,703","5,179",13,9,1/235,-,45,18.0,"-1,617","4,229",12,10,1/192,-,27,8.0,+637,"5,487",24,12,1/152,-,16,5.0,"+2,222","3,768",25,3,1/135,-,19,3.0,"-1,472","2,942",8,6,1/210,-,69,18.0,"-2,469","4,259",12,5,1/251,-,51,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-12,木,いいえ,"+1,257","3,251",17,9,1/125,-,19,-,"-2,495","4,363",12,4,1/273,-,21,1.0,-178,811,5,1,1/135,-,20,1.0,"+4,025","3,310",23,13,1/92,-,21,1.0,"-1,229","3,002",9,6,1/200,-,25,4.0,-857,"5,855",24,8,1/183,-,62,18.0,"-2,066","2,158",3,3,1/360,-,44,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-11,水,いいえ,+852,"3,664",15,14,1/126,-,22,1.0,"+1,083","5,905",31,5,1/164,-,13,-,"+1,886","1,755",13,5,1/98,-,16,3.0,"+3,504","6,382",39,9,1/133,-,21,1.0,+785,"3,427",17,6,1/149,-,20,4.0,+125,"7,023",29,14,1/163,-,61,32.0,"+2,589","3,461",22,9,1/112,-,29,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-10,火,はい,"+2,051","3,488",24,3,1/129,-,22,6.0,"+1,342","4,424",21,11,1/138,-,35,4.0,+175,"1,789",8,4,1/149,-,16,-,"-2,350","4,513",9,14,1/196,-,53,5.0,"-5,846","8,440",17,16,1/256,-,31,9.0,"-1,967","4,472",13,8,1/213,-,69,16.0,-802,"5,288",21,9,1/176,-,48,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-09,月,いいえ,-616,411,0,0,-,-,86,22.0,+937,"3,010",16,5,1/143,-,60,7.0,"+4,484","4,855",34,7,1/118,-,25,4.0,-520,"3,159",10,9,1/166,-,18,-,-647,"2,338",9,1,1/234,-,21,3.0,"-2,991","4,572",11,5,1/286,-,64,4.0,-978,"3,247",10,7,1/191,-,53,28.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-08,日,はい,-78,"7,549",31,14,1/168,-,52,11.0,-210,"5,089",22,7,1/175,-,69,17.0,"-2,553","4,897",14,7,1/233,-,80,11.0,+198,"4,388",16,15,1/142,-,14,-,"+3,060","4,095",25,9,1/120,-,14,-,+290,"4,635",22,7,1/160,-,41,20.0,"+1,403","4,085",21,9,1/136,-,21,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-07,土,はい,"-1,361","3,029",10,3,1/233,-,58,16.0,"-1,714","3,963",11,9,1/198,-,65,7.0,-618,"2,198",6,8,1/157,-,42,11.0,"-1,935","3,716",7,11,1/206,-,31,17.0,"+4,003","2,414",19,12,1/78,-,14,-,"-1,911","4,604",15,8,1/200,-,77,12.0,-738,"3,938",13,10,1/171,-,31,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-06,金,いいえ,"-2,132","4,327",12,7,1/228,-,50,12.0,+501,"3,431",16,7,1/149,-,56,6.0,-914,"2,829",10,4,1/202,-,30,9.0,-932,"4,699",17,10,1/174,-,21,-,-641,"2,156",7,4,1/196,-,21,-,"-1,807","7,270",28,9,1/196,-,38,7.0,"-1,727","4,118",11,10,1/196,-,31,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-05,木,いいえ,+50,671,3,1,1/168,-,34,8.0,-807,"4,126",16,5,1/196,-,87,53.0,"+1,279","2,175",10,10,1/109,-,21,6.0,"+2,385","2,368",18,4,1/108,-,15,1.0,"+5,602","2,962",30,4,1/87,-,14,-,"-2,140","2,294",3,4,1/328,-,26,4.0,-715,"1,895",5,5,1/190,-,22,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-04,水,いいえ,+586,"8,133",34,18,1/156,-,31,10.0,"-3,082","6,373",15,17,1/199,-,52,4.0,+161,"3,528",15,8,1/153,-,48,17.0,-493,"6,222",22,17,1/160,-,21,9.0,-846,"2,873",11,3,1/205,-,21,9.0,+100,"3,887",16,9,1/155,-,12,-,+785,"5,603",26,10,1/156,-,21,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-03,火,いいえ,"-2,407","4,781",11,12,1/208,-,44,1.0,"-2,793","6,166",20,6,1/237,-,43,22.0,"-2,937","7,709",25,13,1/203,-,51,7.0,"+5,684","6,592",47,12,1/112,-,16,2.0,"-2,276","6,158",19,12,1/199,-,21,5.0,"-1,020","6,221",21,14,1/178,-,14,-,"-2,351","4,610",12,7,1/243,-,44,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-01,日,はい,+432,"5,263",25,7,1/164,-,31,15.0,-943,"5,599",21,10,1/181,-,36,2.0,"-1,217","4,907",16,11,1/182,-,42,6.0,"+1,915","4,615",25,10,1/132,-,16,7.0,+818,"5,638",26,11,1/152,-,9,3.0,"+1,844","3,970",23,6,1/137,-,6,-,"+4,489","6,114",39,13,1/118,-,34,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-28,土,はい,"-3,346","5,808",14,11,1/232,-,54,5.0,"-1,424","4,207",10,13,1/183,-,19,1.0,"+1,061","6,996",33,14,1/149,-,49,16.0,"-4,855","5,949",11,9,1/297,-,33,14.0,"+3,564","5,164",31,16,1/110,-,18,11.0,-90,"4,945",20,10,1/165,-,7,-,+885,"6,393",29,11,1/160,-,63,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-27,金,いいえ,+462,"2,097",10,4,1/150,-,39,20.0,"+2,032","4,196",25,4,1/145,-,11,5.0,+380,"3,711",16,7,1/161,-,61,22.0,"+2,167","6,402",32,16,1/133,-,11,5.0,-500,991,4,1,1/198,-,19,8.0,+782,"5,001",22,12,1/147,-,6,-,"-2,182","5,810",20,7,1/215,-,92,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-26,木,いいえ,+263,"3,392",14,9,1/147,-,24,3.0,-507,"3,844",14,9,1/167,-,16,5.0,-298,"4,372",17,9,1/168,-,71,47.0,"+1,363","7,892",36,20,1/141,-,11,3.0,+419,"2,808",13,4,1/165,-,21,5.0,-983,"3,120",12,1,1/240,-,8,-,-152,"5,714",22,16,1/150,-,80,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-25,水,いいえ,+478,"5,570",24,11,1/159,-,24,5.0,"+4,910","5,905",39,14,1/111,-,16,3.0,"-2,156","5,104",15,10,1/204,-,55,4.0,"-1,287","2,826",7,8,1/188,-,13,4.0,"+2,919","5,076",28,15,1/118,-,19,3.0,+946,"1,906",10,4,1/136,-,9,-,-925,"5,970",24,5,1/206,-,51,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
