日付,曜日,特定日,1052番台,,,,,,,,,1053番台,,,,,,,,,1055番台,,,,,,,,,1056番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-03-09,月,いいえ,"+2,446","9,015",42,31,1/123,1/5.93,4.31,15,7.0,-367,603,1,2,1/201,1/6.66,3.36,2,-,-340,"1,566",4,4,1/196,1/5.51,3.02,5,3.0,"+1,277","7,292",27,31,1/126,1/5.70,4.52,8,3.0
2026-03-08,日,はい,"-2,112","4,867",11,14,1/195,1/6.28,2.47,70,62.0,+992,"5,043",23,16,1/129,1/6.05,3.69,2,-,"+1,432","7,017",31,22,1/132,1/5.85,3.60,4,2.0,"+1,664","5,616",26,21,1/119,1/5.92,4.35,8,4.0
2026-03-07,土,はい,"-2,183","4,453",8,14,1/202,1/6.14,2.61,36,18.0,"+1,275","5,597",28,14,1/133,1/6.09,3.10,1,-,+498,"6,751",28,21,1/138,1/6.13,3.39,4,3.0,"-2,274","4,942",14,11,1/198,1/6.82,2.13,18,14.0
2026-03-06,金,いいえ,-784,"3,363",11,8,1/177,1/6.25,2.64,21,12.0,+568,"5,130",24,13,1/139,1/6.30,3.01,2,-,-25,"3,937",16,7,1/171,1/5.82,2.31,8,6.0,"-1,017","5,747",18,15,1/174,1/5.94,2.39,9,1.0
2026-03-05,木,いいえ,-574,"1,234",2,4,1/206,1/5.88,3.20,16,7.0,"+1,536","7,102",30,31,1/116,1/6.11,4.84,9,2.0,+453,"2,856",13,8,1/136,1/6.05,3.36,7,-,"+1,785","5,223",27,16,1/121,1/6.00,3.89,9,2.0
2026-03-04,水,いいえ,"+1,377","4,785",24,16,1/120,1/6.21,4.07,8,-,+124,"6,757",27,18,1/150,1/6.02,2.69,27,10.0,-49,"4,843",18,15,1/147,1/6.03,3.21,17,9.0,-431,"5,362",21,14,1/153,1/6.37,2.73,17,9.0
2026-03-03,火,いいえ,"+1,935","7,279",30,28,1/126,1/5.58,4.35,16,8.0,-104,"5,650",19,23,1/135,1/6.11,4.07,43,27.0,"+2,190","7,841",39,26,1/121,1/6.19,4.28,6,-,"+1,541","5,856",29,19,1/122,1/6.21,4.02,8,2.0
2026-03-01,日,はい,"-2,202","3,914",7,11,1/217,1/6.32,2.46,31,2.0,"+1,138","6,146",29,16,1/137,1/6.02,3.04,33,2.0,"-1,123","4,277",12,13,1/171,1/6.16,2.86,29,20.0,+537,"8,359",33,26,1/142,1/5.95,3.23,9,-
2026-02-28,土,はい,+361,"5,817",25,17,1/139,1/6.27,3.25,25,4.0,+357,"6,290",22,26,1/131,1/5.94,4.24,38,13.0,+856,"7,056",29,26,1/128,1/6.12,4.14,21,7.0,+662,"8,106",32,31,1/129,1/6.19,4.28,14,-
2026-02-27,金,いいえ,-328,"7,015",24,25,1/143,1/6.08,3.58,49,25.0,"-1,146","4,017",13,7,1/201,1/6.16,2.09,52,2.0,-42,"6,016",21,21,1/143,1/5.94,3.52,50,1.0,-717,"7,201",23,28,1/141,1/6.22,3.87,24,-
2026-02-26,木,いいえ,"-1,316","5,361",15,17,1/168,1/6.13,2.87,30,2.0,"-2,108","4,049",9,11,1/202,1/6.60,2.47,28,8.0,-79,"8,081",28,30,1/139,1/6.02,3.83,52,22.0,"-1,999","3,327",7,7,1/238,1/6.56,2.24,20,-
2026-02-25,水,いいえ,+996,"6,820",32,17,1/139,1/6.12,2.82,11,2.0,"-1,072","4,150",13,9,1/189,1/6.11,2.30,18,7.0,-191,"5,165",18,17,1/148,1/5.98,3.30,46,28.0,-786,"5,458",20,10,1/182,1/6.03,1.96,9,-
2026-02-24,火,いいえ,-473,"3,122",9,8,1/184,1/5.56,2.71,19,10.0,-719,"2,252",6,4,1/225,1/5.72,2.50,9,3.0,+160,"7,341",29,19,1/153,1/5.92,2.52,48,29.0,"+2,445","6,778",31,27,1/117,1/5.69,4.67,6,-
2026-02-23,月,いいえ,+381,"5,506",24,14,1/145,1/6.13,2.84,21,17.0,+0,"3,791",16,8,1/158,1/6.10,2.62,4,-,"-1,040","4,776",13,17,1/159,1/6.09,3.27,46,22.0,"+1,385","5,001",24,13,1/135,1/5.71,3.15,24,3.0
2026-02-22,日,はい,"-1,849","3,007",6,7,1/231,1/6.61,2.42,20,17.0,+148,"3,838",14,11,1/154,1/5.66,3.04,3,-,-187,"9,868",35,27,1/159,1/5.74,2.32,42,22.0,-590,"5,553",19,16,1/159,1/6.05,2.80,48,6.0
2026-02-21,土,はい,-428,"3,400",14,5,1/179,1/6.29,2.26,13,7.0,+992,"6,911",30,22,1/133,1/6.05,3.62,6,-,-914,"5,472",20,13,1/166,1/6.38,2.39,41,3.0,+850,"9,136",36,37,1/125,1/6.23,4.58,38,25.0
2026-02-20,金,はい,+319,"6,967",29,16,1/155,1/5.91,2.30,12,6.0,+762,"5,820",26,20,1/127,1/6.38,3.97,6,-,-898,"2,967",9,3,1/247,1/5.71,1.99,35,23.0,-400,"9,593",35,30,1/148,1/6.11,3.02,73,38.0
2026-02-19,木,いいえ,+669,"5,264",22,12,1/155,1/5.59,2.51,22,6.0,-748,"3,955",11,14,1/158,1/6.02,3.30,16,-,-384,"2,257",7,5,1/188,1/5.71,2.78,26,4.0,-81,"7,548",27,26,1/142,1/6.03,3.52,55,29.0
2026-02-18,水,いいえ,-22,"1,104",5,2,1/158,1/6.42,3.17,28,5.0,-125,"7,198",27,26,1/136,1/6.34,3.85,6,-,-590,773,1,2,1/258,1/6.64,3.16,22,16.0,-733,"5,701",22,11,1/173,1/6.22,2.04,23,1.0
2026-02-17,火,いいえ,-867,"1,234",1,5,1/206,1/6.45,3.33,13,8.0,"+1,184","7,373",31,28,1/125,1/6.10,4.35,5,-,"+3,449","8,351",46,25,1/118,1/6.02,4.24,20,5.0,"-1,422","3,638",9,7,1/227,1/5.89,2.13,15,2.0
2026-02-16,月,いいえ,"+2,409","6,468",30,28,1/112,1/5.84,4.92,8,-,+302,"4,177",18,9,1/155,1/5.89,2.61,9,1.0,-643,"5,422",16,21,1/147,1/6.03,3.68,49,40.0,"-1,033","6,063",17,21,1/160,1/5.92,3.15,9,1.0
2026-02-15,日,はい,"-1,872","5,412",12,20,1/169,1/6.18,3.17,38,9.0,-234,"5,620",22,8,1/187,1/5.68,1.75,20,18.0,-237,"7,518",26,25,1/147,1/5.95,3.27,29,9.0,+78,"6,286",24,20,1/143,1/6.08,3.31,2,-
2026-02-14,土,はい,-385,"3,981",16,8,1/166,1/6.29,2.45,16,13.0,"+1,158","8,517",38,23,1/140,1/6.01,2.88,18,2.0,-678,"2,312",8,2,1/231,1/6.06,2.22,29,11.0,-211,"5,382",20,15,1/154,1/6.03,2.84,3,-
2026-02-13,金,いいえ,-63,"4,138",12,18,1/138,1/5.73,4.00,5,3.0,-115,"4,161",14,14,1/149,1/5.85,3.35,21,16.0,"+1,115","4,760",23,15,1/125,1/6.17,3.78,26,5.0,+554,"3,613",16,8,1/151,1/5.70,2.80,2,-
2026-02-12,木,いいえ,"+1,418","5,445",29,12,1/133,1/6.17,2.90,7,6.0,+743,"6,768",32,14,1/147,1/6.14,2.29,9,2.0,"-1,087","1,840",4,2,1/307,1/6.10,2.34,48,39.0,"+1,816","7,179",31,27,1/124,1/5.79,4.36,1,-
2026-02-11,水,いいえ,+72,"6,858",24,24,1/143,1/5.88,3.54,11,9.0,-139,"6,469",24,20,1/147,1/6.07,3.13,36,4.0,-704,"7,526",24,24,1/157,1/5.88,2.93,32,21.0,"+1,351","6,109",27,25,1/117,1/6.19,4.62,2,-
2026-02-10,火,はい,-322,"8,507",33,24,1/149,1/6.22,2.71,17,6.0,-204,"2,269",8,8,1/142,1/6.39,3.53,20,3.0,-372,"6,846",21,28,1/140,1/5.96,4.02,22,2.0,"-1,067","4,020",10,11,1/191,1/5.71,2.56,11,-
2026-02-09,月,いいえ,-781,"2,391",6,8,1/171,1/6.27,3.20,14,12.0,-302,774,3,0,1/258,1/6.63,2.88,18,4.0,"+1,868","8,283",38,30,1/122,1/6.14,4.45,26,8.0,+198,"5,357",22,14,1/149,1/6.03,2.82,2,-
2026-02-08,日,はい,+453,"4,338",18,14,1/136,1/6.04,3.54,13,5.0,-784,"4,308",15,13,1/154,1/6.56,3.08,8,3.0,"-1,421","5,034",13,17,1/168,1/6.15,3.02,47,34.0,"+1,033","5,842",25,22,1/124,1/6.09,4.23,5,-
2026-02-07,土,はい,"+1,703","8,654",39,29,1/127,1/6.07,4.04,12,4.0,+448,"3,405",17,3,1/170,1/5.82,2.11,8,-,-644,"4,285",16,8,1/179,1/6.15,2.21,17,3.0,+710,"8,229",31,30,1/135,1/5.89,3.94,14,2.0
2026-02-06,金,いいえ,-962,"1,830",4,4,1/229,1/6.31,2.74,44,20.0,"+1,435","6,057",30,15,1/135,1/5.99,3.00,9,1.0,-621,"1,784",5,4,1/198,1/6.20,2.87,8,-,+813,"8,119",33,27,1/135,1/6.01,3.66,24,15.0
2026-02-05,木,いいえ,-728,"1,220",3,1,1/305,1/6.34,2.63,15,14.0,-783,"1,836",4,5,1/204,1/6.08,2.95,22,7.0,+798,"5,936",25,17,1/141,1/5.82,3.12,1,-,-927,"1,341",2,3,1/268,1/6.33,2.86,32,10.0
2026-02-04,水,いいえ,+650,"4,457",21,13,1/131,1/6.35,3.48,12,3.0,+620,"2,946",15,4,1/155,1/5.78,2.54,8,-,-559,"4,243",15,10,1/170,1/6.06,2.53,9,1.0,-821,"2,161",6,4,1/216,1/6.14,2.58,25,13.0
2026-02-03,火,いいえ,-845,"8,830",30,26,1/158,1/6.00,2.61,21,12.0,-572,"5,851",21,16,1/158,1/6.13,2.68,9,6.0,-893,"4,759",15,12,1/176,1/5.97,2.46,3,-,"+3,813","9,477",50,30,1/118,1/5.89,4.41,22,1.0
2026-02-01,日,はい,"-1,180","2,037",3,4,1/291,1/5.69,2.48,13,7.0,"+1,841","8,502",40,28,1/125,1/6.17,4.09,6,5.0,+745,"3,725",17,12,1/128,1/6.06,3.68,1,-,-879,"5,982",20,12,1/187,1/5.78,1.93,68,55.0
2026-01-31,土,はい,"+1,098","6,814",31,20,1/134,1/6.09,3.39,9,9.0,-755,"3,234",9,11,1/162,1/6.16,3.23,29,20.0,"+2,662","7,746",40,25,1/119,1/6.06,4.28,0,-,"-1,455","3,602",9,6,1/240,1/5.86,2.02,38,9.0
2026-01-30,金,はい,-664,"3,223",11,4,1/215,1/5.78,2.07,12,3.0,-432,"3,603",13,9,1/164,1/6.15,2.77,27,15.0,"+1,509","7,963",33,28,1/131,1/5.78,4.00,4,-,-819,"4,638",14,15,1/160,1/6.08,3.08,9,5.0
2026-01-29,木,いいえ,"+1,557","8,642",34,36,1/123,1/5.88,4.66,4,-,-217,393,1,1,1/197,1/7.15,3.37,23,13.0,+226,"5,302",22,12,1/156,1/5.90,2.48,10,5.0,+732,"7,745",35,17,1/149,1/6.03,2.24,5,1.0
2026-01-28,水,いいえ,-364,"2,069",7,5,1/172,1/6.12,2.97,13,4.0,"+1,109","8,329",31,38,1/121,1/6.03,4.85,9,-,+891,"2,940",14,11,1/118,1/6.03,4.04,18,1.0,-84,"5,580",21,11,1/174,1/5.64,2.06,17,4.0
2026-01-27,火,いいえ,+69,"1,774",7,5,1/148,1/5.94,3.31,14,-,+66,"5,557",17,25,1/132,1/5.83,4.30,19,4.0,-525,"6,220",21,22,1/145,1/6.19,3.52,20,1.0,-802,"4,229",13,10,1/184,1/5.83,2.41,15,1.0
2026-01-26,月,いいえ,-594,"1,446",5,1,1/241,1/6.56,2.57,21,3.0,-27,"4,073",11,20,1/131,1/5.72,4.30,31,10.0,"+2,215","6,103",31,23,1/113,1/6.12,4.65,18,10.0,-37,"3,956",15,12,1/147,1/6.08,3.23,8,-
2026-01-25,日,はい,-714,"1,696",3,5,1/212,1/5.72,3.01,9,-,-564,"6,048",19,18,1/163,1/5.74,2.74,18,7.0,-397,"3,316",11,11,1/151,1/6.19,3.33,34,16.0,+514,"5,432",25,9,1/160,1/5.89,2.07,11,2.0
2026-01-24,土,はい,"+1,413","8,219",37,27,1/128,1/6.15,3.92,2,-,-687,"7,566",25,24,1/154,1/5.98,2.96,15,13.0,-878,"4,204",13,12,1/168,1/6.15,2.81,31,6.0,"+1,827","7,377",35,26,1/121,1/6.17,4.36,25,10.0
2026-01-23,金,いいえ,"+1,208","5,087",25,16,1/124,1/6.24,3.84,10,1.0,-575,"2,187",7,2,1/243,1/5.68,2.26,9,-,-453,"3,047",11,5,1/190,1/5.91,2.35,16,6.0,"+1,539","8,492",37,28,1/131,1/5.95,3.84,42,26.0
2026-01-22,木,いいえ,"-1,176","1,905",4,4,1/238,1/6.64,2.67,17,10.0,+0,"1,735",6,5,1/158,1/5.63,3.25,2,-,-226,"6,554",23,21,1/149,1/5.96,3.16,7,5.0,-794,"4,433",14,13,1/164,1/6.12,2.87,78,61.0
2026-01-21,水,いいえ,-550,"3,186",11,6,1/187,1/5.95,2.42,8,4.0,+401,"6,403",26,19,1/142,1/6.02,3.15,4,2.0,"+2,500","4,709",21,31,1/91,1/5.91,5.44,2,-,-363,"6,842",25,21,1/149,1/6.15,3.05,44,36.0
2026-01-20,火,はい,+431,"6,789",27,24,1/133,1/6.18,3.87,1,-,+449,"5,747",24,16,1/144,1/5.99,3.02,7,6.0,"-1,014","4,548",14,10,1/190,1/5.91,2.23,11,4.0,-164,"8,363",29,30,1/142,1/6.02,3.66,42,31.0
2026-01-19,月,いいえ,"+1,238","6,183",26,24,1/124,1/5.95,4.34,5,-,+870,"5,902",25,24,1/120,1/6.32,4.49,6,1.0,"+2,618","6,159",35,16,1/121,1/5.98,3.63,8,2.0,-752,"3,452",12,7,1/182,1/6.25,2.44,37,29.0
2026-01-18,日,はい,"+1,019","6,502",30,16,1/141,1/5.97,2.76,12,-,-268,"6,568",26,17,1/153,1/6.22,2.60,14,2.0,"-1,141","4,447",12,15,1/165,1/6.16,3.10,16,2.0,"-2,468","3,056",4,5,1/340,1/6.40,1.99,21,5.0
2026-01-17,土,はい,"-1,393","4,994",13,15,1/178,1/5.99,2.67,14,1.0,-311,"2,639",9,8,1/155,1/6.16,3.21,5,-,"+2,311","6,973",37,20,1/122,1/6.12,3.80,8,3.0,-305,"3,763",12,11,1/164,1/5.72,2.95,13,5.0
2026-01-16,金,いいえ,"+3,950","5,419",35,18,1/102,1/5.78,4.82,8,5.0,"+2,003","7,771",34,32,1/118,1/5.98,4.78,3,-,+726,"7,002",26,33,1/119,1/6.23,4.84,34,20.0,+689,"5,229",21,20,1/128,1/6.03,4.10,14,6.0
2026-01-15,木,いいえ,-208,"6,384",22,20,1/152,1/5.86,3.05,22,6.0,-913,"2,122",3,9,1/177,1/5.93,3.44,16,-,+905,"9,355",33,41,1/126,1/5.90,4.68,54,28.0,"+2,075","6,482",34,20,1/120,1/6.20,4.05,26,4.0
2026-01-14,水,いいえ,+394,"4,687",19,18,1/127,1/6.31,4.09,24,17.0,-73,"3,965",16,10,1/153,1/6.17,2.87,7,-,-874,"4,282",14,13,1/159,1/6.42,3.02,76,27.0,-478,"2,541",9,7,1/159,1/6.54,3.09,49,25.0
2026-01-13,火,いいえ,-923,"1,303",1,3,1/326,1/5.66,2.81,45,1.0,+79,"4,201",16,11,1/156,1/5.80,2.84,4,-,"-1,085","4,315",13,15,1/154,1/6.57,3.32,64,19.0,-728,"1,926",5,5,1/193,1/6.27,2.95,44,40.0
2026-01-12,月,いいえ,-536,"3,238",11,6,1/190,1/5.85,2.37,26,1.0,+629,"4,457",19,14,1/135,1/5.96,3.50,8,-,"-1,299","7,567",22,23,1/168,1/5.86,2.59,56,30.0,"+2,663","9,624",47,32,1/122,1/6.10,4.35,25,17.0
2026-01-11,日,はい,"+2,978","8,052",41,29,1/115,1/6.03,4.72,23,10.0,"+1,085","4,670",18,24,1/111,1/5.98,4.86,13,-,+287,"6,877",28,18,1/150,1/5.97,2.66,36,13.0,"-2,370","6,620",17,21,1/174,1/6.41,2.67,72,36.0
2026-01-10,土,はい,-902,"7,835",26,25,1/154,1/6.11,2.99,73,8.0,-634,"6,123",22,14,1/170,1/5.96,2.20,48,8.0,"-2,470","4,843",11,6,1/285,1/5.91,1.59,65,17.0,"-1,356","8,414",25,31,1/150,1/6.16,3.49,40,-
2026-01-09,金,いいえ,-960,"3,418",11,6,1/201,1/6.13,2.24,34,2.0,-310,698,2,0,1/349,1/5.73,2.87,45,11.0,-616,"7,645",26,26,1/147,1/6.14,3.35,32,13.0,-951,"3,403",10,6,1/213,1/5.83,2.19,19,-
2026-01-08,木,いいえ,-915,"2,879",8,8,1/180,1/6.27,2.87,29,4.0,+865,"2,921",14,10,1/122,1/5.96,3.85,29,4.0,+177,"3,018",11,11,1/137,1/5.88,3.66,25,14.0,-335,"4,360",14,13,1/161,1/5.74,2.94,11,-
2026-01-07,水,いいえ,"-1,266","3,359",9,7,1/210,1/6.12,2.33,14,10.0,+680,"8,713",34,32,1/132,1/6.09,4.08,35,3.0,-950,"2,928",8,7,1/195,1/6.07,2.62,32,18.0,-826,"4,344",17,6,1/189,1/6.32,1.95,4,-
2026-01-06,火,いいえ,"+1,069","7,405",29,28,1/130,1/5.85,4.16,11,9.0,"-1,763","6,406",22,10,1/200,1/6.26,1.64,55,35.0,-234,"6,973",22,26,1/145,1/5.81,3.65,20,9.0,"+2,594","8,385",37,35,1/116,1/5.82,4.89,2,-
2026-01-04,日,はい,-498,"6,808",21,25,1/148,1/5.88,3.54,31,11.0,-803,"6,259",22,21,1/146,1/6.49,3.37,46,15.0,+237,"6,960",29,14,1/162,1/5.85,2.02,20,15.0,-621,"4,016",13,7,1/201,1/5.60,2.09,5,-
2026-01-03,土,はい,-504,"5,915",21,16,1/160,1/6.02,2.62,14,12.0,"-1,003","4,250",14,10,1/177,1/6.28,2.46,29,7.0,"-1,773","3,685",6,12,1/205,1/5.96,2.76,22,8.0,"+3,180","8,625",45,29,1/117,1/6.07,4.58,2,-
2026-01-02,金,いいえ,"+2,357","7,769",40,23,1/123,1/6.11,3.87,11,2.0,"-1,334","3,310",9,5,1/236,1/6.03,2.06,16,5.0,+166,"7,799",27,31,1/134,1/5.99,4.15,9,-,+549,"6,439",28,18,1/140,1/6.16,3.08,9,-
2026-01-01,木,いいえ,-752,"3,263",10,12,1/148,1/6.63,3.51,41,32.0,+186,"1,915",8,4,1/160,1/5.63,3.01,9,1.0,+43,"4,744",19,13,1/148,1/6.10,2.97,9,1.0,"+1,536","6,378",30,23,1/120,1/6.20,4.34,8,-
2025-12-31,水,いいえ,"+1,345","4,835",20,21,1/118,1/5.74,4.53,13,6.0,+0,"2,724",11,6,1/160,1/5.94,2.85,16,1.0,+193,"3,101",12,11,1/135,1/6.07,3.66,7,-,+168,"5,253",19,21,1/131,1/6.13,4.09,15,2.0
2025-12-30,火,はい,"-1,684","5,844",16,14,1/195,1/5.92,2.09,48,11.0,+413,"8,397",32,33,1/129,1/6.24,4.33,28,14.0,-54,"7,736",27,27,1/143,1/5.94,3.53,14,-,"-2,157","8,168",19,32,1/160,1/6.02,3.44,37,9.0
2025-12-29,月,いいえ,-747,"6,302",22,16,1/166,1/6.03,2.38,15,-,"-1,580","3,945",10,8,1/219,1/6.04,2.13,29,10.0,-569,"2,607",9,5,1/186,1/6.17,2.59,15,-,"+1,892","8,355",38,27,1/129,1/5.92,3.87,19,4.0
2025-12-28,日,はい,+158,"4,997",19,17,1/139,1/6.07,3.57,6,-,"+1,046","5,895",27,17,1/134,1/6.03,3.35,8,2.0,+196,"3,251",15,5,1/163,1/6.01,2.45,6,-,-480,"6,630",20,31,1/130,1/6.25,4.51,33,25.0
2025-12-27,土,はい,-404,"4,706",18,7,1/188,1/5.79,1.92,19,5.0,-265,"4,548",15,19,1/134,1/6.28,4.05,42,23.0,-344,"8,012",28,28,1/143,1/6.11,3.54,5,-,-633,"5,164",18,15,1/156,1/6.21,2.89,14,9.0
2025-12-26,金,いいえ,-748,"3,398",10,12,1/154,1/6.35,3.37,13,9.0,-443,"2,146",7,4,1/195,1/5.89,2.67,48,35.0,+306,"6,754",25,26,1/132,1/6.09,4.08,4,-,+182,"5,235",19,16,1/150,1/5.73,3.11,4,-
2025-12-25,木,いいえ,"+1,174","6,639",32,12,1/151,1/5.83,2.07,14,-,-364,"1,041",4,0,1/260,1/6.37,2.68,45,26.0,+633,"6,050",23,25,1/126,1/6.06,4.36,14,-,-724,"5,995",22,15,1/162,1/6.23,2.45,19,5.0
2025-12-24,水,いいえ,-735,"2,383",4,11,1/159,1/5.83,3.68,44,13.0,-478,"2,015",6,5,1/183,1/5.98,2.94,44,13.0,+74,"4,681",16,19,1/134,1/6.01,4.01,31,17.0,-345,"5,110",18,17,1/146,1/6.18,3.36,14,-
2025-12-23,火,いいえ,+426,"3,425",13,12,1/137,1/5.70,3.62,42,11.0,+631,"5,411",20,20,1/135,1/5.71,3.84,25,14.0,"-1,439","4,401",12,10,1/200,1/6.03,2.23,31,6.0,-204,"4,402",19,8,1/163,1/6.30,2.30,11,-
2025-12-21,日,はい,+713,"5,636",27,11,1/148,1/6.08,2.35,51,34.0,+658,"6,196",25,21,1/135,1/5.98,3.70,17,11.0,+0,"8,502",27,37,1/133,1/5.95,4.42,5,-,+839,"5,905",26,17,1/137,1/5.99,3.25,6,1.0
2025-12-20,土,はい,-775,"7,592",25,25,1/152,1/6.07,3.13,81,27.0,"-1,422","4,199",13,6,1/221,1/6.11,1.87,54,44.0,+367,"6,966",27,21,1/145,1/5.89,3.09,10,4.0,+180,"7,220",26,27,1/136,1/6.03,3.92,6,-
2025-12-19,金,いいえ,-639,"2,726",10,5,1/182,1/6.47,2.56,71,49.0,"-1,261","2,114",3,5,1/264,1/5.87,2.60,22,1.0,-512,"3,221",11,7,1/179,1/5.97,2.57,21,10.0,"+3,244","8,611",37,44,1/106,1/5.80,5.37,11,-
2025-12-18,木,いいえ,"-1,109","4,020",10,13,1/175,1/5.96,2.95,29,1.0,-181,"3,136",14,6,1/157,1/6.59,2.69,16,2.0,-461,"3,284",8,15,1/143,1/5.87,3.92,14,-,"-1,000","2,101",4,6,1/210,1/6.06,2.89,28,12.0
2025-12-17,水,いいえ,"-1,373","2,904",5,10,1/194,1/6.11,3.01,16,8.0,-960,"2,116",5,3,1/265,1/5.84,2.36,8,2.0,-740,"1,495",4,4,1/187,1/7.06,3.10,6,-,-14,"6,109",22,21,1/142,1/6.02,3.52,24,8.0
2025-12-16,火,いいえ,-832,742,0,1,1/742,1/6.26,2.87,14,2.0,+159,"6,837",29,21,1/137,1/6.47,3.39,3,-,+547,"3,415",15,10,1/137,1/5.92,3.38,5,2.0,"-1,216","5,636",19,12,1/182,1/6.16,2.08,12,7.0
2025-12-15,月,いいえ,-345,"1,253",4,3,1/179,1/6.37,3.14,7,2.0,"+1,431","5,553",29,13,1/132,1/6.13,3.01,5,1.0,"+1,750","3,386",18,15,1/103,1/5.97,4.68,4,-,+244,"4,420",18,11,1/152,1/5.86,2.79,5,1.0
2025-12-14,日,はい,+126,"6,512",24,24,1/136,1/6.12,3.87,4,-,-528,"3,544",11,10,1/169,1/5.87,2.87,8,4.0,-832,"2,524",8,5,1/194,1/6.42,2.60,24,14.0,+25,"6,115",23,16,1/157,1/5.81,2.59,10,2.0
2025-12-13,土,はい,+975,"6,301",25,23,1/131,1/5.81,3.98,4,2.0,"+1,084","5,293",25,16,1/129,1/6.12,3.60,2,-,+90,"7,227",23,31,1/134,1/5.87,4.30,7,3.0,"-1,514","2,957",5,8,1/227,1/5.93,2.57,19,12.0
2025-12-12,金,いいえ,"+4,416","8,145",43,39,1/99,1/5.97,5.51,8,2.0,-272,400,1,0,1/400,1/6.41,3.12,6,-,+362,"1,312",7,3,1/131,1/6.15,3.38,8,2.0,"+1,542","4,907",24,19,1/114,1/6.18,4.49,14,6.0
2025-12-11,木,いいえ,+307,"2,878",13,5,1/160,1/5.79,2.65,26,6.0,+720,"7,162",32,18,1/143,1/6.09,2.69,4,-,-314,"1,460",5,1,1/243,1/5.61,2.56,15,11.0,-996,"1,779",4,3,1/254,1/6.32,2.59,20,5.0
2025-12-10,水,はい,"-1,649","4,285",10,14,1/179,1/6.31,2.90,52,43.0,+469,"6,954",28,23,1/136,1/6.11,3.60,6,-,-251,"7,201",27,23,1/144,1/6.23,3.26,8,2.0,"+1,256","6,571",28,27,1/119,1/6.16,4.61,9,1.0
2025-12-09,火,いいえ,-597,"6,356",25,14,1/163,1/6.26,2.20,40,16.0,"-1,139","5,117",16,12,1/183,1/6.02,2.26,8,-,+417,"7,510",26,32,1/129,1/5.97,4.43,9,1.0,"+1,554","9,783",37,45,1/119,1/5.99,4.98,24,15.0
2025-12-07,日,はい,+620,"5,972",26,15,1/146,1/5.95,2.75,19,17.0,"+1,169","7,382",31,25,1/132,1/5.92,3.83,2,-,"-1,334","2,012",4,4,1/252,1/6.69,2.57,22,3.0,"-1,304","4,618",14,8,1/210,1/5.92,1.93,44,22.0
2025-12-06,土,はい,+674,"6,046",25,24,1/123,1/6.33,4.37,25,7.0,+769,"6,535",31,12,1/152,1/6.02,2.09,6,-,+876,"7,331",31,25,1/131,1/6.14,3.88,6,-,"-1,464","8,180",24,28,1/157,1/6.09,3.09,18,12.0
2025-12-05,金,いいえ,"-1,351","2,442",3,8,1/222,1/5.86,2.89,29,15.0,-322,"3,880",14,11,1/155,1/6.13,3.00,12,3.0,+160,"5,078",19,20,1/130,1/6.25,4.07,14,2.0,"-1,072","3,597",11,6,1/212,1/5.99,2.11,9,-
2025-12-04,木,いいえ,-329,"7,921",27,26,1/149,1/5.92,3.17,18,10.0,+449,"4,818",21,13,1/142,1/6.09,3.07,8,-,+242,"4,515",18,17,1/129,1/6.35,3.98,28,10.0,+48,"3,406",14,6,1/170,1/5.77,2.43,8,-
2025-12-03,水,いいえ,"-1,122","3,095",6,11,1/182,1/5.89,3.12,20,8.0,-119,"2,220",8,6,1/159,1/5.93,3.13,12,5.0,-118,"2,993",12,9,1/143,1/6.48,3.33,32,12.0,+697,"6,184",25,19,1/141,1/5.82,3.29,7,-
2025-12-02,火,いいえ,-504,"2,055",7,4,1/187,1/6.26,2.77,14,-,+504,"6,235",29,13,1/148,1/6.20,2.35,15,1.0,-592,"1,955",6,3,1/217,1/5.97,2.57,34,19.0,-819,"3,571",11,7,1/198,1/5.84,2.29,14,-
2025-12-01,月,いいえ,+502,"4,587",20,11,1/148,1/5.89,2.79,7,-,"+1,133","7,490",32,24,1/134,1/5.95,3.61,11,4.0,"-1,194","1,856",3,4,1/265,1/6.20,2.64,29,18.0,+625,"4,598",18,17,1/131,1/5.85,3.89,7,-
2025-11-30,日,はい,+104,"5,187",18,20,1/137,1/5.96,3.88,12,1.0,"-1,246","6,853",20,22,1/163,1/5.99,2.86,20,8.0,"+1,290","7,359",33,24,1/129,1/6.10,3.84,11,-,"+1,662","6,741",33,19,1/130,1/6.03,3.44,12,1.0
2025-11-29,土,はい,"+2,549","7,691",33,39,1/107,1/5.97,5.29,11,-,-721,"3,262",8,10,1/181,1/5.62,2.91,11,-,-897,"3,505",9,11,1/175,1/5.91,2.96,34,5.0,-466,"6,159",22,16,1/162,1/5.95,2.49,29,18.0
2025-11-28,金,いいえ,-677,"2,440",7,8,1/163,1/6.42,3.24,35,5.0,+519,"6,408",27,20,1/136,1/6.17,3.45,9,-,-391,"2,124",6,6,1/177,1/5.74,3.05,26,17.0,"-1,055","2,511",8,3,1/228,1/6.52,2.24,30,4.0
