日付,曜日,特定日,716番台,,,,,,,,,717番台,,,,,,,,,731番台,,,,,,,,,732番台,,,,,,,,,733番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-05-09,土,はい,+350,"2,598",11,8,1/137,-,3.55,32,23.0,+204,"1,409",7,2,1/157,-,3.21,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-08,金,いいえ,-785,"2,996",8,7,1/200,-,2.79,59,51.0,"+2,027","5,512",24,22,1/120,-,4.48,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-07,木,いいえ,-119,"3,425",14,8,1/156,-,3.09,51,13.0,-112,"1,641",6,2,1/205,-,2.93,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-06,水,いいえ,-523,"2,441",7,9,1/153,-,3.52,51,35.0,-125,"2,734",9,7,1/171,-,3.09,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-05,火,いいえ,-414,"5,689",19,16,1/163,-,2.94,43,27.0,+669,"4,062",18,13,1/131,-,3.74,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-04,月,いいえ,-455,"7,369",24,24,1/154,-,3.27,42,14.0,-210,"3,788",15,6,1/180,-,2.57,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-03,日,はい,+383,"3,747",16,8,1/156,-,2.99,32,15.0,"-1,602","5,103",13,10,1/222,-,2.12,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-02,土,はい,-117,"1,136",4,3,1/162,-,3.36,37,33.0,+38,879,4,0,1/220,-,3.07,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-01,金,いいえ,-586,"1,771",4,6,1/177,-,3.33,36,28.0,-570,"3,465",10,11,1/165,-,3.23,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-30,木,はい,-369,"2,175",7,4,1/198,-,2.90,32,28.0,+756,"4,408",18,15,1/134,-,3.78,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-29,水,いいえ,-314,"1,626",4,6,1/163,-,3.46,28,23.0,-466,"1,656",5,3,1/207,-,3.00,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
