日付,曜日,特定日,837番台,,,,,,838番台,,,,,,850番台,,,,,,851番台,,,,,
2026-05-20,水,はい,-126,"2,051",8,5,1/158,3.01,-253,"7,024",23,22,1/156,2.87,-255,"5,513",20,17,1/149,3.03,-226,"5,795",22,12,1/170,2.14
2026-05-19,火,いいえ,-516,"1,570",4,3,1/224,2.78,-972,"2,702",5,11,1/169,3.57,-623,"1,810",7,0,1/259,2.22,-773,"5,021",17,15,1/157,2.89
2026-05-18,月,いいえ,"+3,890","5,938",36,26,1/96,5.21,-297,"2,496",8,7,1/166,3.02,-737,"2,560",7,5,1/213,2.49,-479,"5,156",16,15,1/166,2.71
2026-05-17,日,はい,"+1,258","5,924",28,14,1/141,2.57,+380,"4,672",20,15,1/133,3.44,-620,"4,741",16,11,1/176,2.36,+249,"6,861",26,21,1/146,2.99
2026-05-16,土,はい,-470,"6,061",24,16,1/152,2.60,+250,"4,328",18,9,1/160,2.41,-241,"2,274",8,4,1/190,2.59,"-1,336","3,983",10,10,1/199,2.43
2026-05-15,金,いいえ,+163,"4,727",18,14,1/148,3.01,+661,"4,981",21,19,1/125,4.14,+383,"5,341",22,16,1/141,3.11,"+1,898","4,393",26,12,1/116,3.45
2026-05-14,木,いいえ,"-1,549","7,094",16,27,1/165,3.42,-599,"4,303",15,12,1/159,2.80,-214,"1,025",4,1,1/205,2.87,"+1,201","6,804",29,25,1/126,4.14
2026-05-13,水,いいえ,-627,"3,936",12,13,1/157,3.19,-604,"5,857",20,16,1/163,2.56,"+2,807","4,727",31,11,1/113,3.20,"-1,368","3,917",10,11,1/187,2.65
2026-05-12,火,いいえ,-608,"4,594",14,15,1/158,3.11,+580,"3,364",16,8,1/140,2.90,"+1,960","7,965",35,32,1/119,4.76,+95,"5,047",19,18,1/136,3.69
2026-05-10,日,はい,"+3,919","9,000",51,22,1/123,2.80,+695,"7,415",33,19,1/143,2.56,-633,"4,964",18,13,1/160,2.61,"+2,169","8,236",41,20,1/135,2.53
2026-05-09,土,はい,-748,"1,839",3,6,1/204,3.13,-717,"2,738",9,5,1/196,2.46,-270,"2,181",9,4,1/168,2.73,"+1,768","6,811",36,16,1/131,2.65
2026-05-08,金,いいえ,-439,"5,737",17,22,1/147,3.76,+531,"5,208",22,16,1/137,3.25,"+1,474","5,653",24,24,1/118,4.71,-639,"3,235",11,5,1/202,2.22
2026-05-07,木,いいえ,-284,"1,919",8,2,1/192,2.51,-547,"2,108",7,3,1/211,2.48,+677,"6,888",27,25,1/132,3.92,-967,"4,022",10,14,1/168,3.20
2026-05-06,水,いいえ,"+1,188","5,518",26,18,1/125,3.67,"+1,334","3,757",19,10,1/130,3.16,-352,"4,880",18,13,1/157,2.68,"+1,457","5,952",30,14,1/135,2.65
2026-05-05,火,いいえ,-325,"6,133",22,19,1/150,3.00,"+2,593","7,196",36,24,1/120,3.97,-855,"6,006",19,20,1/154,3.14,"+1,277","7,316",32,20,1/141,2.75
2026-05-04,月,いいえ,-158,"4,028",14,8,1/183,2.28,"+2,386","7,318",35,25,1/122,4.00,"-1,053","3,649",11,9,1/182,2.56,+216,"5,498",26,9,1/157,2.07
2026-05-03,日,はい,-276,"5,994",23,13,1/167,2.19,-124,"3,631",14,11,1/145,3.18,-596,"3,579",11,11,1/163,3.03,+837,"6,490",27,21,1/135,3.41
2026-05-02,土,はい,+434,"5,759",25,15,1/144,2.71,-743,"2,211",7,3,1/221,2.41,-192,"5,768",22,13,1/165,2.27,"+2,569","7,769",38,29,1/116,4.56
2026-05-01,金,いいえ,-903,"2,684",6,8,1/192,2.92,+996,"4,098",21,7,1/146,2.39,-794,"2,804",8,7,1/187,2.72,"-2,652","4,388",8,11,1/231,2.25
2026-04-30,木,はい,"+1,684","9,021",37,29,1/137,3.32,+191,"6,693",25,19,1/152,2.69,-652,"4,949",17,11,1/177,2.27,-2,"6,298",25,16,1/154,2.49
2026-04-29,水,いいえ,"-1,423","4,410",13,8,1/210,2.06,"-1,068","2,467",5,6,1/224,2.64,"+1,419","8,311",34,30,1/130,4.04,+94,"6,135",21,20,1/150,3.15
2026-04-28,火,いいえ,-720,"2,210",7,4,1/201,2.58,-526,"4,710",17,9,1/181,2.15,-563,"1,511",4,2,1/252,2.62,-704,"4,364",16,9,1/175,2.30
2026-04-27,月,いいえ,+437,"7,466",25,28,1/141,3.87,+568,"4,274",20,8,1/153,2.38,-267,"2,854",12,6,1/159,2.71,-81,"6,343",25,16,1/155,2.46
2026-04-26,日,はい,+603,"6,552",25,22,1/139,3.44,+60,"5,403",20,17,1/146,3.14,+601,"7,704",29,27,1/138,3.67,-696,"5,151",18,11,1/178,2.20
2026-04-25,土,はい,"-1,300","5,396",18,13,1/174,2.32,"+2,741","5,909",34,17,1/116,3.57,"+1,309","6,655",32,16,1/139,2.57,-453,"5,945",20,21,1/145,3.51
2026-04-24,金,いいえ,-731,971,2,1,1/324,2.79,-25,"5,045",19,16,1/144,3.21,-689,"1,928",5,6,1/175,3.18,"+2,948","9,061",45,31,1/119,4.19
2026-04-23,木,いいえ,-628,800,0,2,1/400,3.07,-150,"4,146",16,8,1/173,2.29,+566,"5,374",23,16,1/138,3.15,"-1,004","4,186",11,12,1/182,2.68
2026-04-22,水,いいえ,+581,"5,201",22,17,1/133,3.49,-222,"4,963",20,8,1/177,2.03,+111,"4,753",19,10,1/164,2.33,"-2,179","5,739",14,17,1/185,2.52
2026-04-20,月,はい,+822,"7,455",29,31,1/124,4.71,+940,"5,468",26,13,1/140,2.64,+484,"6,157",27,15,1/147,2.52,-325,"5,830",22,15,1/158,2.51
2026-04-19,日,はい,-560,"4,055",13,13,1/156,3.13,+626,"7,229",31,20,1/142,2.77,"-1,245","4,293",12,9,1/204,2.19,-837,"2,548",8,4,1/212,2.38
2026-04-18,土,はい,+333,"4,482",18,12,1/149,2.82,"-1,245","2,325",6,3,1/258,2.29,+890,"6,577",28,17,1/146,2.59,"+2,266","7,463",35,27,1/120,4.29
2026-04-17,金,いいえ,-886,"5,399",18,14,1/169,2.46,"-1,491","2,359",6,1,1/337,2.03,+884,"5,757",27,15,1/137,2.83,"+1,122","7,904",33,23,1/141,2.88
2026-04-16,木,いいえ,"+1,062","7,065",27,28,1/128,4.40,"+1,308","7,353",31,27,1/127,4.15,"+1,225","5,027",25,13,1/132,2.96,-717,"5,515",16,18,1/162,2.99
2026-04-15,水,いいえ,-434,"3,488",12,7,1/184,2.39,+392,"4,436",18,15,1/134,3.56,+377,"8,896",29,31,1/148,3.36,-352,"3,455",11,8,1/182,2.53
2026-04-14,火,いいえ,-291,"3,098",11,9,1/155,3.06,"+2,614","7,050",40,16,1/126,2.67,"-1,904","2,855",4,6,1/286,2.31,+358,"3,721",17,7,1/155,2.46
2026-04-13,月,いいえ,-96,"3,323",12,10,1/151,3.13,+0,"6,303",21,19,1/158,2.79,-369,"2,845",11,6,1/167,2.66,-681,"6,063",21,14,1/173,2.20
2026-04-12,日,はい,+657,"6,540",26,20,1/142,3.08,+782,"5,904",27,20,1/126,3.80,-360,"6,901",23,23,1/150,3.18,"+1,119","8,472",38,25,1/134,3.07
2026-04-11,土,はい,+714,"4,614",20,11,1/149,2.63,"+1,610","6,783",35,15,1/136,2.46,"-1,138","2,473",5,6,1/225,2.63,-509,"4,325",16,8,1/180,2.20
2026-04-10,金,はい,-666,"6,584",19,22,1/161,3.02,"+2,618","6,689",34,22,1/119,3.91,+340,"7,115",25,25,1/142,3.55,"-1,157","3,922",10,10,1/196,2.48
2026-04-09,木,いいえ,+308,"2,057",10,4,1/147,2.91,-872,"7,025",23,23,1/153,3.07,-534,"1,054",2,2,1/264,2.94,-971,"6,083",17,23,1/152,3.62
2026-04-08,水,いいえ,-771,"1,907",4,6,1/191,3.13,+275,"3,749",14,14,1/134,3.80,-551,"4,989",16,14,1/166,2.66,+66,"3,937",17,8,1/157,2.47
2026-04-07,火,いいえ,"+1,507","7,301",35,24,1/124,3.80,-984,"3,035",9,7,1/190,2.58,"+1,327","6,462",28,30,1/111,5.16,"+1,330","7,767",31,34,1/119,5.01
2026-04-05,日,はい,"-1,265","4,706",14,13,1/174,2.60,-486,"4,475",15,15,1/149,3.30,"-1,142","4,798",14,14,1/171,2.71,"-1,475","3,881",11,8,1/204,2.25
2026-04-04,土,はい,+63,"4,976",15,20,1/142,3.98,-133,"6,511",24,19,1/151,2.79,-423,"4,386",14,14,1/157,3.09,"+1,049","5,785",27,15,1/138,2.80
2026-04-03,金,いいえ,"-1,656","2,784",4,7,1/253,2.51,+699,"6,011",27,15,1/143,2.62,+762,"4,952",22,14,1/138,3.05,"-1,213","2,962",7,9,1/185,2.93
2026-04-02,木,いいえ,"+3,510","7,199",36,37,1/99,5.53,"+1,309","6,701",27,25,1/129,4.11,-154,"2,602",12,2,1/186,2.22,+779,"4,551",19,18,1/123,4.23
2026-04-01,水,いいえ,-440,"3,422",13,9,1/156,2.87,+100,"4,553",19,13,1/142,3.03,-331,"4,252",18,5,1/185,1.97,-908,"2,107",6,3,1/234,2.44
2026-03-31,火,いいえ,-187,"4,934",20,9,1/170,2.14,-348,"3,494",12,12,1/146,3.43,+831,"4,759",19,19,1/125,4.24,"+2,169","7,469",37,24,1/122,3.76
2026-03-30,月,はい,-744,"1,312",3,2,1/262,2.74,"+2,289","9,349",41,30,1/132,3.47,+707,"4,466",21,11,1/140,2.81,"-1,901","3,020",4,6,1/302,2.21
2026-03-29,日,はい,"-1,997","3,087",5,5,1/309,2.09,-573,"5,185",18,16,1/153,3.01,+786,"6,103",26,17,1/142,2.86,+357,"5,841",24,19,1/136,3.42
2026-03-28,土,はい,"+1,210","6,695",28,26,1/124,4.39,-573,"2,162",7,4,1/197,2.63,-367,"2,351",8,5,1/181,2.72,+794,"5,890",27,15,1/140,2.72
2026-03-27,金,いいえ,-876,"2,478",6,8,1/177,3.13,-515,"7,498",25,27,1/144,3.61,+784,"7,864",32,23,1/143,2.86,-722,"1,630",5,1,1/272,2.40
2026-03-26,木,いいえ,-411,"4,656",15,19,1/137,4.09,+884,"4,030",20,9,1/139,2.74,"-1,797","3,060",5,8,1/235,2.53,"+1,012","3,673",18,11,1/127,3.42
2026-03-25,水,いいえ,+254,"6,557",25,17,1/156,2.47,-685,"2,839",8,5,1/218,2.34,-464,"7,343",24,27,1/144,3.71,-132,"6,426",23,21,1/146,3.21
2026-03-24,火,いいえ,-317,"1,786",6,3,1/198,2.70,-357,"4,657",16,13,1/161,2.75,-674,"3,649",13,8,1/174,2.49,"+1,430","7,943",31,33,1/124,4.76
2026-03-23,月,いいえ,+485,"7,237",31,20,1/142,2.76,"+1,328","7,080",29,23,1/136,3.40,+48,"2,055",9,4,1/158,2.84,"-1,069","2,976",7,8,1/198,2.71
2026-03-22,日,はい,"+2,245","7,079",39,14,1/134,2.31,-870,"3,356",10,10,1/168,2.96,+126,"5,407",21,13,1/159,2.44,"-1,138","3,652",9,11,1/183,2.83
2026-03-21,土,はい,-127,"4,678",18,13,1/151,2.85,"-1,051","3,565",12,7,1/188,2.34,-539,"1,329",3,3,1/222,2.95,-202,"5,412",19,19,1/142,3.53
2026-03-20,金,はい,"-1,262","5,869",15,17,1/183,2.47,"-1,192","3,555",9,9,1/198,2.53,"+2,026","7,627",38,19,1/134,2.65,+980,"7,880",32,23,1/143,2.85
2026-03-19,木,いいえ,"+1,333","4,111",17,22,1/105,5.17,+328,"3,655",18,3,1/174,2.02,-544,"2,319",9,4,1/178,2.60,"-1,036","4,438",13,11,1/185,2.42
2026-03-18,水,いいえ,+573,"4,691",19,16,1/134,3.60,-862,"2,342",6,6,1/195,2.81,"+1,273","5,909",26,18,1/134,3.26,+607,"4,028",17,15,1/126,3.95
2026-03-17,火,いいえ,"-1,391","3,631",11,6,1/214,2.14,-440,"2,224",6,8,1/159,3.42,+783,"7,110",27,28,1/129,4.35,-948,"2,739",7,6,1/211,2.53
2026-03-16,月,いいえ,-308,"2,233",8,7,1/149,3.31,+697,"6,446",29,17,1/140,2.74,-691,"1,936",5,4,1/215,2.71,+63,"6,487",23,25,1/135,4.07
2026-03-15,日,はい,"-1,774","3,719",9,6,1/248,2.04,-455,"2,766",8,10,1/154,3.46,-945,"7,078",23,22,1/157,2.82,"+1,208","6,318",32,13,1/140,2.34
2026-03-14,土,はい,+889,"6,254",28,19,1/133,3.27,"+1,651","6,236",30,17,1/133,2.98,"-1,949","3,015",3,9,1/251,2.64,+86,"7,560",27,26,1/143,3.45
2026-03-13,金,いいえ,+531,"4,556",20,11,1/147,2.68,+621,"6,742",28,23,1/132,3.68,-115,"1,526",5,4,1/170,3.13,"-2,112","5,453",12,15,1/202,2.32
2026-03-12,木,いいえ,-369,"4,784",15,17,1/150,3.45,-851,"1,690",3,5,1/211,3.05,"+2,244","7,716",35,32,1/115,4.92,-605,"2,564",7,5,1/214,2.49
2026-03-11,水,いいえ,+906,"5,161",22,19,1/126,4.02,-446,"2,196",7,5,1/183,2.80,+27,"5,555",20,20,1/139,3.69,+446,"6,186",26,18,1/141,2.99
2026-03-10,火,はい,"+1,183","6,181",29,15,1/140,2.60,+975,"6,346",26,24,1/127,4.19,-594,"5,388",16,22,1/142,4.07,-349,"6,212",23,17,1/155,2.61
2026-03-09,月,いいえ,-546,"1,596",4,4,1/200,2.98,+145,"3,066",12,10,1/139,3.41,"+1,220","6,172",28,18,1/134,3.13,+605,"3,913",16,13,1/135,3.50
2026-03-08,日,はい,+230,"4,401",17,14,1/142,3.28,-566,"1,350",4,2,1/225,2.77,-631,"3,490",11,12,1/152,3.36,+433,"5,535",23,21,1/126,4.15
2026-03-07,土,はい,"+1,888","5,535",29,19,1/115,4.09,"+1,727","7,575",33,31,1/118,4.80,-484,"1,489",4,3,1/213,2.86,-396,"5,614",20,16,1/156,2.74
2026-03-06,金,いいえ,"+1,208","6,428",30,22,1/124,3.91,+304,"4,161",16,16,1/130,3.98,+608,"3,690",14,17,1/119,4.57,+940,"8,044",26,39,1/124,5.26
2026-03-05,木,いいえ,+425,"6,890",25,26,1/135,4.02,-602,"1,288",3,2,1/258,2.77,"+1,313","5,991",30,17,1/127,3.21,+924,"7,588",30,31,1/124,4.66
2026-03-04,水,いいえ,"+2,048","7,405",34,28,1/119,4.48,"-1,268","4,108",15,7,1/187,2.15,+484,"5,018",24,12,1/139,2.71,-913,"7,051",22,24,1/153,3.19
2026-03-03,火,いいえ,"-1,173","1,309",1,2,1/436,2.63,"+2,427","6,645",35,24,1/113,4.43,"-1,160","4,232",12,7,1/223,2.01,"-2,419","5,667",10,16,1/218,2.26
2026-03-01,日,はい,"+1,117","7,929",28,31,1/134,4.26,+48,"3,857",14,10,1/161,2.74,+795,"7,592",35,21,1/136,2.88,-240,"4,265",11,16,1/158,3.49
2026-02-28,土,はい,+661,"6,634",28,19,1/141,2.91,+890,"7,218",27,26,1/136,3.81,-77,"4,939",18,14,1/154,2.82,+874,"7,394",32,19,1/145,2.53
2026-02-27,金,いいえ,-343,"2,010",7,5,1/168,2.99,-279,"6,041",18,21,1/155,3.27,+265,"3,786",16,10,1/146,2.93,+260,"4,545",20,9,1/157,2.36
2026-02-26,木,いいえ,"-1,049","6,006",18,17,1/172,2.52,-602,"4,168",15,9,1/174,2.38,+390,"3,266",15,7,1/148,2.72,"+1,103","5,525",25,14,1/142,2.72
2026-02-25,水,いいえ,-407,"3,928",14,10,1/164,2.68,-328,"2,029",8,1,1/225,2.27,"+1,655","7,721",34,26,1/129,3.75,"+2,194","5,213",26,20,1/113,4.44
2026-02-24,火,いいえ,+169,"6,801",28,17,1/151,2.44,"-1,320","2,056",4,4,1/257,2.55,"+1,011","4,867",23,17,1/122,3.93,-789,"3,641",11,11,1/166,2.97
2026-02-23,月,いいえ,-583,"4,884",15,16,1/158,3.11,+975,"7,066",32,18,1/141,2.60,+430,"3,902",18,6,1/163,2.25,+490,"4,183",16,16,1/131,3.95
2026-02-22,日,はい,-632,"3,419",11,8,1/180,2.56,+434,"6,909",26,24,1/138,3.60,+344,"2,984",11,11,1/136,3.69,"+2,664","6,812",38,20,1/117,3.59
2026-02-21,土,はい,+81,"4,094",16,13,1/141,3.30,"-1,121","3,286",7,11,1/183,3.06,"+2,151","7,484",35,22,1/131,3.17,+485,"5,377",23,15,1/142,2.93
2026-02-20,金,はい,"+1,644","4,885",24,18,1/116,4.21,+266,"8,672",30,32,1/140,3.87,-946,"2,232",4,6,1/223,2.79,-25,"5,941",23,16,1/152,2.64
2026-02-19,木,いいえ,"+1,746","8,346",35,31,1/126,4.28,-593,"2,175",7,4,1/198,2.61,-828,"2,677",6,8,1/191,2.93,"+1,773","8,608",35,34,1/125,4.61
2026-02-18,水,いいえ,+159,"6,778",22,31,1/128,4.90,-461,"4,246",15,11,1/163,2.66,-104,"4,326",12,24,1/120,5.13,-723,"6,390",17,29,1/139,4.64
2026-02-17,火,いいえ,-311,"4,291",15,12,1/159,2.81,-917,"1,850",4,5,1/206,2.95,"+1,061","5,175",27,9,1/144,2.27,-190,"4,032",12,14,1/155,3.33
2026-02-16,月,いいえ,-272,"2,197",8,4,1/183,2.65,-184,"3,540",13,8,1/169,2.57,-545,"5,715",23,14,1/154,2.48,-531,"4,600",17,10,1/170,2.34
2026-02-15,日,はい,"-1,227","5,077",16,12,1/181,2.29,"-1,474","4,330",12,12,1/180,2.61,-925,"3,612",9,13,1/164,3.33,-864,"4,891",15,13,1/175,2.52
2026-02-14,土,はい,"-1,003","3,405",11,5,1/213,2.13,+254,"4,484",17,18,1/128,4.17,-453,"4,485",15,13,1/160,2.84,"-1,511","4,759",10,21,1/154,4.11
2026-02-13,金,いいえ,"+1,724","9,297",35,38,1/127,4.73,"+1,237","2,769",16,8,1/115,3.54,+802,"6,587",26,28,1/122,4.75,+857,"4,194",21,8,1/145,2.48
2026-02-12,木,いいえ,"-1,746","2,486",2,9,1/226,3.08,"+3,535","5,992",35,20,1/109,4.23,-281,"1,833",7,2,1/204,2.52,-723,"1,971",6,2,1/246,2.37
2026-02-11,水,いいえ,-187,"6,579",24,21,1/146,3.13,"-1,658","2,272",3,5,1/284,2.50,-823,"4,305",12,15,1/159,3.27,"+1,468","6,419",30,18,1/134,3.02
2026-02-10,火,はい,-823,"1,951",3,6,1/217,3.01,-732,"5,438",18,14,1/170,2.44,"+2,007","8,058",30,36,1/122,5.05,-485,"1,916",6,5,1/174,3.02
2026-02-09,月,いいえ,-846,"2,451",6,9,1/163,3.42,-123,309,1,0,1/309,3.20,"+4,007","8,237",41,36,1/107,5.25,"+1,507","8,459",36,32,1/124,4.42
2026-02-08,日,はい,-404,"3,244",12,7,1/171,2.57,-393,"3,982",13,12,1/159,2.98,-29,"6,143",22,18,1/154,2.79,-240,"4,470",19,6,1/179,2.01
2026-02-07,土,はい,+479,"3,270",15,8,1/142,2.93,"+2,096","7,797",34,33,1/116,4.97,"-1,212","4,677",12,13,1/187,2.52,+464,"5,716",24,13,1/154,2.37
2026-02-06,金,いいえ,"+3,509","5,853",33,28,1/96,5.34,-314,"4,802",17,12,1/166,2.51,-496,"4,940",16,16,1/154,3.12,-572,"4,570",14,17,1/147,3.62
2026-02-05,木,いいえ,"-1,140","2,726",6,6,1/227,2.49,-470,"1,360",3,3,1/227,2.92,-322,"5,693",19,19,1/150,3.23,-446,"2,613",9,5,1/187,2.55
2026-02-04,水,いいえ,-805,"2,291",6,6,1/191,2.86,-751,"1,454",4,1,1/291,2.48,-308,"6,261",22,22,1/142,3.54,+589,"4,893",21,14,1/140,3.05
2026-02-03,火,いいえ,+797,"5,737",26,16,1/137,2.99,"+1,139","5,711",26,17,1/133,3.23,"-1,246","4,252",12,10,1/193,2.35,+519,"7,165",31,19,1/143,2.65
2026-02-01,日,はい,"+1,893","8,131",38,25,1/129,3.38,-152,"5,267",21,15,1/146,2.91,"+1,910","5,346",26,20,1/116,4.31,+883,"7,694",31,25,1/137,3.36
2026-01-31,土,はい,-691,"3,034",10,5,1/202,2.30,"+1,840","7,917",36,25,1/130,3.46,"-1,233","2,489",7,4,1/226,2.37,"-1,199","6,376",19,18,1/172,2.47
2026-01-30,金,はい,"-1,019","4,739",12,20,1/148,4.03,-39,"5,060",21,10,1/163,2.23,-245,"6,815",21,27,1/142,4.06,+51,"7,079",26,25,1/139,3.65
2026-01-29,木,いいえ,+222,"5,842",21,17,1/154,2.80,-689,"3,450",11,9,1/173,2.72,-190,"1,919",7,3,1/192,2.64,"-1,199","2,835",7,6,1/218,2.45
2026-01-28,水,いいえ,"-1,990","7,549",19,28,1/161,3.38,-809,"2,875",7,9,1/180,3.02,-896,"1,164",2,0,1/582,2.43,-140,"3,348",12,12,1/140,3.60
2026-01-27,火,いいえ,-514,"1,049",2,2,1/262,2.94,"+1,187","6,839",28,28,1/122,4.64,+432,"4,125",15,16,1/133,3.95,+303,"4,348",18,10,1/155,2.56
2026-01-26,月,いいえ,+849,"5,490",24,18,1/131,3.56,"-1,229","2,755",5,8,1/212,2.79,"-1,227","2,591",5,3,1/324,2.10,-502,"2,445",8,7,1/163,3.07
2026-01-25,日,はい,"-1,261","3,487",8,11,1/184,2.92,-721,"1,530",4,1,1/306,2.42,-792,"2,052",6,1,1/293,2.18,+135,"6,929",25,19,1/157,2.53
2026-01-24,土,はい,-28,"5,151",19,15,1/152,2.89,-984,"6,172",20,16,1/171,2.35,-611,"4,465",16,13,1/154,2.92,-96,"3,319",14,6,1/166,2.44
2026-01-23,金,いいえ,-596,"1,557",3,3,1/260,2.73,+533,"5,826",23,21,1/132,3.84,"-1,192","1,700",2,5,1/243,2.97,"+1,364","6,572",29,24,1/124,4.15
2026-01-22,木,いいえ,"+1,259","4,822",23,18,1/118,4.21,-149,"2,432",8,7,1/162,3.08,+769,"6,160",29,12,1/150,2.19,-65,"2,549",10,6,1/159,2.87
2026-01-21,水,いいえ,"-1,334","2,355",4,4,1/294,2.33,-112,"4,729",18,12,1/158,2.62,+784,"7,773",30,25,1/141,3.22,-290,"2,921",11,5,1/183,2.42
2026-01-20,火,はい,+496,"5,653",22,22,1/128,4.19,-929,"4,551",13,18,1/147,3.82,"-1,075","7,065",23,22,1/157,2.83,"+3,709","8,173",43,37,1/102,5.38
2026-01-19,月,いいえ,+531,"6,331",26,18,1/144,2.86,-842,"1,076",2,1,1/359,2.69,"+1,523","7,137",33,23,1/127,3.61,-766,"3,103",11,8,1/163,2.83
2026-01-18,日,はい,-975,"3,941",12,9,1/188,2.40,+925,"4,433",21,13,1/130,3.29,+163,"8,183",29,24,1/154,2.64,-343,"3,845",14,10,1/160,2.75
2026-01-17,土,はい,-140,"4,021",14,12,1/155,3.01,-432,"3,171",10,11,1/151,3.40,-187,"8,132",28,24,1/156,2.63,"-1,792","2,873",3,9,1/239,2.76
2026-01-16,金,いいえ,+236,"1,591",7,5,1/133,3.46,"+3,148","9,474",45,36,1/117,4.73,"-1,032","2,916",8,6,1/208,2.44,"+3,186","5,458",34,16,1/109,3.81
2026-01-15,木,いいえ,"+1,260","3,129",18,7,1/125,3.04,"-1,561","4,487",9,15,1/187,2.89,-68,"1,303",6,1,1/186,2.73,"+1,755","6,578",31,22,1/124,3.82
2026-01-14,水,いいえ,-656,"4,445",13,12,1/178,2.58,"-1,316","2,009",4,2,1/335,2.26,-945,"2,257",7,1,1/282,2.10,-454,"3,951",15,6,1/188,2.11
2026-01-13,火,いいえ,-985,"2,044",4,5,1/227,2.76,"-1,139","1,626",4,1,1/325,2.36,-385,"6,686",23,23,1/145,3.40,+284,"6,185",23,17,1/155,2.63
2026-01-12,月,いいえ,"-1,281","3,167",6,11,1/186,3.11,"+1,883","6,600",31,24,1/120,4.25,+226,"5,107",20,16,1/142,3.22,"-1,830","6,481",20,12,1/203,1.85
2026-01-11,日,はい,"+1,139","6,987",34,15,1/143,2.30,-243,"2,993",13,4,1/176,2.31,"+1,351","6,630",27,33,1/111,5.33,-894,"4,265",12,9,1/203,2.21
2026-01-10,土,はい,-11,"6,082",24,15,1/156,2.43,"+2,472","8,412",39,26,1/129,3.39,"+1,209","7,277",31,23,1/135,3.33,-823,"6,939",21,22,1/161,2.83
2026-01-09,金,いいえ,-607,"1,585",3,4,1/226,2.92,"-1,825","4,937",13,12,1/197,2.26,-135,"7,026",30,12,1/167,1.88,"+3,707","8,143",44,28,1/113,4.37
2026-01-08,木,いいえ,+159,"4,085",19,8,1/151,2.46,-186,"3,999",16,8,1/167,2.39,"+2,128","3,606",22,11,1/109,3.79,"-1,140","5,128",14,15,1/177,2.63
2026-01-07,水,いいえ,"-1,074","2,013",4,3,1/288,2.41,-226,"6,895",24,24,1/144,3.48,+222,"5,755",20,21,1/140,3.71,"-1,503","5,600",15,16,1/181,2.50
2026-01-06,火,いいえ,"+3,626","8,534",47,23,1/122,3.15,-591,"6,673",23,20,1/155,2.78,"+1,027","7,289",27,30,1/128,4.58,"-1,021","6,976",21,23,1/159,2.99
