日付,曜日,特定日,1078番台,,,,,,,,1080番台,,,,,,,,1081番台,,,,,,,,1082番台,,,,,,,,1083番台,,,,,,,,1085番台,,,,,,,,1086番台,,,,,,,,1087番台,,,,,,,,1088番台,,,,,,,,1100番台,,,,,,,,1101番台,,,,,,,,1102番台,,,,,,,,1103番台,,,,,,,,1105番台,,,,,,,,1106番台,,,,,,,,1107番台,,,,,,,,1108番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-05-23,土,はい,"-2,232","3,737",0,6,1/623,-,25,11.0,"-1,146","3,740",0,9,1/416,-,25,11.0,"-1,544","2,056",0,5,1/411,-,49,3.0,"+2,652","3,229",0,5,1/646,-,14,5.0,"-1,172","3,772",0,6,1/629,-,36,4.0,+509,"2,337",0,7,1/334,-,14,5.0,-17,"4,715",0,8,1/589,-,46,10.0,+119,236,0,1,1/236,-,9,3.0,+455,"4,659",0,10,1/466,-,6,-,"-2,414","3,541",0,8,1/443,-,84,13.0,"+2,149","4,960",0,10,1/496,-,30,5.0,"-3,234","5,290",0,11,1/481,-,68,10.0,"-2,463","7,840",0,17,1/461,-,58,7.0,"-1,411","3,397",0,6,1/566,-,71,3.0,-609,776,0,2,1/388,-,51,2.0,"+3,480","4,833",0,7,1/690,-,32,1.0,"-1,691","4,397",0,9,1/489,-,31,1.0
2026-05-22,金,いいえ,+29,"1,618",0,3,1/539,-,21,7.0,"+9,518","8,928",0,17,1/525,-,22,1.0,-131,796,0,4,1/199,-,22,1.0,"-1,228","1,221",0,2,1/611,-,32,4.0,-151,"6,944",0,16,1/434,-,35,3.0,"-1,882","4,779",0,10,1/478,-,23,1.0,"-1,586","1,936",0,5,1/387,-,21,7.0,-699,618,0,1,1/618,-,14,8.0,"+1,609","3,170",0,5,1/634,-,6,-,"-1,971","6,329",0,15,1/422,-,60,9.0,-819,"9,347",0,24,1/389,-,51,1.0,-795,705,0,1,1/705,-,61,1.0,"+6,451","9,119",0,22,1/415,-,50,2.0,-908,"7,348",0,17,1/432,-,48,1.0,"+1,280","4,212",0,9,1/468,-,28,3.0,"-2,252","4,557",0,11,1/414,-,47,12.0,"-1,158","2,451",0,6,1/409,-,25,2.0
2026-05-21,木,いいえ,-866,"7,106",0,16,1/444,-,42,10.0,"-1,211",933,0,1,1/933,-,60,8.0,"+1,704","4,973",0,12,1/414,-,22,3.0,+342,497,0,1,1/497,-,31,7.0,-881,"2,233",0,6,1/372,-,32,1.0,+524,"7,966",0,20,1/398,-,23,1.0,+337,"4,551",0,9,1/506,-,19,10.0,"+4,485","4,561",0,6,1/760,-,9,3.0,+620,"1,496",0,3,1/499,-,6,-,-901,665,0,1,1/665,-,52,10.0,-786,"2,044",0,5,1/409,-,42,10.0,+361,"7,907",0,25,1/316,-,60,8.0,"-2,814","9,669",0,21,1/460,-,94,33.0,-722,"1,427",0,3,1/476,-,24,1.0,"-1,481","3,679",0,7,1/526,-,61,1.0,"+1,189",973,0,1,1/973,-,31,7.0,"+2,033","5,947",0,14,1/425,-,32,1.0
2026-05-20,水,はい,"-2,586","4,181",0,11,1/380,-,41,4.0,"-3,440","3,654",0,5,1/731,-,58,7.0,"-2,399","7,449",0,18,1/414,-,41,4.0,+822,"3,290",0,8,1/411,-,22,10.0,"+1,342","2,679",0,8,1/335,-,28,2.0,"+6,673","7,629",0,19,1/402,-,32,4.0,-305,616,0,1,1/616,-,26,1.0,+21,"6,524",0,15,1/435,-,12,6.0,+763,"3,380",0,7,1/483,-,6,-,+730,"9,303",0,21,1/443,-,51,9.0,-151,470,0,2,1/235,-,37,5.0,+942,"8,501",0,20,1/425,-,60,1.0,"-4,439","9,531",0,21,1/454,-,92,32.0,"-1,374","2,589",0,5,1/518,-,25,3.0,"-1,053","2,706",0,7,1/387,-,59,1.0,-292,"3,155",0,5,1/631,-,42,1.0,"-3,843","3,587",0,7,1/512,-,42,1.0
2026-05-19,火,いいえ,-675,"1,870",0,5,1/374,-,34,1.0,"+3,571","6,325",0,13,1/487,-,55,9.0,"-1,496","2,207",0,7,1/315,-,32,8.0,-444,789,0,1,1/789,-,46,7.0,-63,43,0,0,-,-,33,1.0,"+12,610","7,573",0,11,1/688,-,32,8.0,-67,46,0,0,-,-,24,2.0,-75,46,0,0,-,-,33,1.0,-564,"6,980",0,15,1/465,-,21,3.0,-267,"3,149",0,5,1/630,-,39,5.0,-737,"3,403",0,6,1/567,-,34,1.0,"-2,464","3,840",0,5,1/768,-,94,9.0,"-1,427","8,525",0,27,1/316,-,85,30.0,-484,578,0,1,1/578,-,18,-,"-1,034","5,194",0,11,1/472,-,39,5.0,"-1,898","3,355",0,8,1/419,-,39,5.0,"-1,498","3,846",0,5,1/769,-,22,1.0
2026-05-18,月,いいえ,+138,"2,492",0,5,1/498,-,32,2.0,+163,"5,265",0,12,1/439,-,45,6.0,"+2,385","4,568",0,9,1/508,-,30,1.0,"-1,866","4,793",0,13,1/369,-,24,2.0,"+3,766","7,583",0,21,1/361,-,32,2.0,"-1,267","1,121",0,2,1/561,-,93,2.0,"+1,795","5,890",0,11,1/535,-,22,3.0,-406,775,0,2,1/388,-,27,3.0,-807,"2,222",0,4,1/556,-,19,4.0,"-1,282","2,013",0,5,1/403,-,29,2.0,"+8,241","9,650",0,26,1/371,-,32,2.0,"-1,925","3,742",0,8,1/468,-,91,27.0,"-1,761","1,574",0,2,1/787,-,64,19.0,+155,660,0,2,1/330,-,12,-,-458,"5,255",0,13,1/404,-,39,7.0,"-1,000",717,0,1,1/717,-,22,3.0,"+4,272","5,296",0,10,1/530,-,15,3.0
2026-05-17,日,はい,"+15,504","10,351",0,19,1/545,-,32,3.0,"-2,062","3,473",0,9,1/386,-,52,1.0,"-1,286","1,824",0,2,1/912,-,32,3.0,"+1,862","8,196",0,19,1/431,-,14,-,"-1,475","3,798",0,8,1/475,-,51,16.0,-304,"1,586",0,3,1/529,-,69,11.0,"-2,534","6,518",0,14,1/466,-,25,4.0,"+3,142","9,738",0,22,1/443,-,29,4.0,"+11,550","4,928",0,4,1/1232,-,19,5.0,"-1,140","4,773",0,8,1/597,-,21,1.0,"-3,453","8,813",0,17,1/518,-,70,1.0,"-2,637","9,677",0,21,1/461,-,82,12.0,"-2,392","3,006",0,4,1/752,-,58,6.0,"+1,699","6,788",0,16,1/424,-,19,5.0,-328,"4,252",0,12,1/354,-,35,3.0,-387,"2,586",0,5,1/517,-,20,1.0,"+1,456","8,397",0,19,1/442,-,19,5.0
2026-05-16,土,はい,"-1,446","3,168",0,5,1/634,-,51,1.0,-336,891,0,2,1/446,-,48,6.0,"+5,114","6,766",0,17,1/398,-,30,1.0,"-1,637","3,205",0,8,1/401,-,29,1.0,"-1,780","2,780",0,4,1/695,-,50,2.0,"-1,780","4,231",0,9,1/470,-,42,8.0,"+3,123","2,808",0,7,1/401,-,18,2.0,-614,"1,369",0,2,1/685,-,31,1.0,"+14,316","7,704",0,14,1/550,-,22,1.0,+357,774,0,1,1/774,-,21,3.0,"-1,040","6,287",0,15,1/419,-,52,1.0,"-1,173","7,207",0,24,1/300,-,61,9.0,+64,"1,133",0,2,1/567,-,25,3.0,-273,587,0,1,1/587,-,33,2.0,"+3,094","8,255",0,25,1/330,-,34,1.0,"+1,327","4,107",0,8,1/513,-,16,-,"-1,176","1,295",0,2,1/648,-,28,3.0
2026-05-15,金,いいえ,"-4,762","6,699",0,14,1/479,-,40,6.0,"-2,044","2,633",0,5,1/527,-,43,2.0,"-1,334","4,065",0,11,1/370,-,52,3.0,"-1,141","2,588",0,6,1/431,-,21,1.0,-928,"4,815",0,10,1/482,-,40,6.0,"-2,675","4,944",0,13,1/380,-,34,2.0,"-2,068","5,696",0,14,1/407,-,21,1.0,+587,"5,162",0,11,1/469,-,41,1.0,"+1,545","6,523",0,17,1/384,-,56,4.0,"-1,675","4,501",0,11,1/409,-,29,7.0,"+1,069","7,443",0,20,1/372,-,49,6.0,"-1,739","5,236",0,11,1/476,-,52,3.0,"-3,645","4,376",0,8,1/547,-,64,8.0,"+4,377","6,129",0,17,1/361,-,32,3.0,-909,"9,206",0,20,1/460,-,70,6.0,-390,316,0,1,1/316,-,20,-,"-4,474","6,840",0,15,1/456,-,22,1.0
2026-05-14,木,いいえ,"-2,345","4,043",0,7,1/578,-,34,5.0,"-3,170","6,232",0,10,1/623,-,41,1.0,-510,"1,686",0,4,1/422,-,45,3.0,"+1,653","4,782",0,12,1/399,-,19,1.0,-222,"2,512",0,5,1/502,-,35,1.0,"-2,280","3,713",0,8,1/464,-,19,1.0,"+11,474","6,965",0,9,1/774,-,16,-,-605,540,0,1,1/540,-,72,21.0,"+1,049","5,990",0,13,1/461,-,42,1.0,-915,"2,687",0,5,1/537,-,21,2.0,-175,"7,103",0,16,1/444,-,90,18.0,+478,"4,133",0,10,1/413,-,23,2.0,"-2,420","4,273",0,11,1/388,-,29,6.0,"-1,547","3,524",0,7,1/503,-,40,5.0,"-1,834","2,049",0,4,1/512,-,51,6.0,"+8,530","4,384",0,6,1/731,-,21,2.0,"+1,322","7,085",0,20,1/354,-,18,2.0
