日付,曜日,特定日,1078番台,,,,,,,,1080番台,,,,,,,,1081番台,,,,,,,,1082番台,,,,,,,,1083番台,,,,,,,,1085番台,,,,,,,,1086番台,,,,,,,,1087番台,,,,,,,,1088番台,,,,,,,,1100番台,,,,,,,,1101番台,,,,,,,,1102番台,,,,,,,,1103番台,,,,,,,,1105番台,,,,,,,,1106番台,,,,,,,,1107番台,,,,,,,,1108番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-05-13,水,いいえ,-872,"4,170",0,7,1/596,-,24,4.0,"-3,494","4,859",0,8,1/607,-,25,1.0,-825,"5,381",0,12,1/448,-,42,1.0,-561,"1,454",0,5,1/291,-,34,6.0,-184,810,0,3,1/270,-,35,1.0,+242,384,0,1,1/384,-,9,-,"-2,493","3,683",0,7,1/526,-,28,3.0,"-1,309","5,337",0,10,1/534,-,41,6.0,"-1,973","3,076",0,5,1/615,-,59,1.0,"+5,566","6,072",0,16,1/380,-,16,7.0,-717,"2,107",0,3,1/702,-,51,5.0,"-1,265","3,106",0,6,1/518,-,53,2.0,-237,248,0,1,1/248,-,20,2.0,-828,"4,073",0,7,1/582,-,34,6.0,+764,"8,100",0,19,1/426,-,46,4.0,"-1,211","1,361",0,2,1/681,-,58,5.0,+658,"1,643",0,1,1/1643,-,18,2.0
2026-05-12,火,いいえ,"-1,028","3,084",0,5,1/617,-,20,1.0,"+6,355","5,544",0,14,1/396,-,19,1.0,"-1,157","1,501",0,3,1/500,-,37,5.0,"+1,591","6,209",0,14,1/444,-,32,1.0,-32,"4,228",0,11,1/384,-,31,9.0,-662,"3,277",0,7,1/468,-,18,2.0,-771,"6,382",0,13,1/491,-,13,-,-770,"4,103",0,7,1/586,-,38,1.0,"-2,461","4,409",0,9,1/490,-,40,2.0,"+2,009","3,099",0,5,1/620,-,46,6.0,"-2,656","5,450",0,11,1/495,-,51,5.0,"-1,050","6,055",0,13,1/466,-,16,3.0,"+3,038","5,822",0,13,1/448,-,16,3.0,"+3,851","7,743",0,19,1/408,-,32,1.0,"-1,550","2,605",0,5,1/521,-,79,23.0,+751,"3,674",0,10,1/367,-,56,5.0,"+7,414","5,148",0,7,1/735,-,22,2.0
2026-05-10,日,はい,"+3,829","6,362",0,17,1/374,-,18,7.0,"+4,523","6,893",0,15,1/460,-,30,3.0,"+15,992","9,463",0,19,1/498,-,35,3.0,"+2,565","6,994",0,14,1/500,-,47,4.0,"+6,029","6,362",0,14,1/454,-,32,2.0,"+4,009","8,006",0,19,1/421,-,11,-,+834,"3,636",0,9,1/404,-,20,2.0,"-1,218","5,453",0,9,1/606,-,23,2.0,"-2,085","3,234",0,5,1/647,-,27,2.0,"-1,197","6,982",0,15,1/465,-,52,5.0,-880,"6,946",0,20,1/347,-,35,3.0,+193,"5,485",0,12,1/457,-,18,7.0,"-1,210","2,401",0,5,1/480,-,21,1.0,"-2,109","5,053",0,9,1/561,-,43,1.0,"-1,102","4,077",0,8,1/510,-,70,18.0,"-2,437","2,277",0,4,1/569,-,42,7.0,"-1,016","6,299",0,7,1/900,-,25,2.0
2026-05-09,土,はい,"+11,780","8,658",0,20,1/433,-,21,2.0,"-1,603","3,812",0,7,1/545,-,41,1.0,"-1,384","4,948",0,11,1/450,-,87,29.0,"-1,991","4,264",0,9,1/474,-,58,7.0,"-1,105","5,400",0,14,1/386,-,51,10.0,+186,"2,527",0,9,1/281,-,12,-,"+4,875","9,125",0,18,1/507,-,25,1.0,"+3,563","2,592",0,6,1/432,-,21,2.0,"-2,037","5,939",0,13,1/457,-,25,1.0,"-1,867","1,583",0,2,1/792,-,25,1.0,+98,"5,718",0,14,1/408,-,19,7.0,-61,"1,363",0,3,1/454,-,24,2.0,"+2,539","7,969",0,14,1/569,-,19,7.0,"-1,370","2,043",0,3,1/681,-,40,9.0,-327,"6,428",0,15,1/429,-,31,6.0,"+2,067","3,525",0,5,1/705,-,22,1.0,"+4,327","5,413",0,10,1/541,-,19,7.0
2026-05-08,金,いいえ,+949,"8,873",0,19,1/467,-,56,13.0,-358,460,0,1,1/460,-,39,5.0,"-4,606","6,463",0,11,1/588,-,89,27.0,-733,"3,036",0,5,1/607,-,62,6.0,"+4,929","5,885",0,12,1/490,-,32,3.0,-520,317,0,0,-,-,24,2.0,"+1,937","8,155",0,20,1/408,-,43,2.0,"-2,280","2,565",0,5,1/513,-,29,5.0,-446,"5,267",0,7,1/752,-,21,6.0,+262,"7,081",0,18,1/393,-,22,1.0,-915,"5,838",0,12,1/487,-,39,5.0,-455,"4,817",0,11,1/438,-,15,-,"-1,157","3,031",0,7,1/433,-,34,2.0,"-1,387","1,212",0,3,1/404,-,34,2.0,-368,"2,859",0,6,1/477,-,29,5.0,-521,"6,762",0,19,1/356,-,39,5.0,"-1,172","1,693",0,4,1/423,-,41,2.0
2026-05-07,木,いいえ,"-2,793","3,389",0,8,1/424,-,63,2.0,"-1,669","1,932",0,3,1/644,-,25,6.0,-336,"3,220",0,7,1/460,-,77,12.0,"-1,040","3,691",0,9,1/410,-,49,10.0,"-1,952","2,034",0,2,1/1017,-,61,12.0,-493,403,0,1,1/403,-,18,-,-841,"8,189",0,18,1/455,-,65,2.0,-392,266,0,0,-,-,18,-,"+3,956","5,075",0,12,1/423,-,19,1.0,-538,"2,993",0,9,1/333,-,29,4.0,"-1,036","5,609",0,15,1/374,-,35,1.0,+678,493,0,2,1/247,-,18,-,"+4,428","8,360",0,20,1/418,-,39,4.0,"+5,402","7,762",0,16,1/485,-,32,3.0,+622,"3,433",0,7,1/490,-,19,1.0,-881,746,0,1,1/746,-,29,4.0,"-3,232","5,178",0,13,1/398,-,34,2.0
2026-05-06,水,いいえ,"+1,793","7,646",0,17,1/450,-,59,2.0,"+3,634","5,720",0,8,1/715,-,22,2.0,-434,"4,826",0,12,1/402,-,55,4.0,"-1,179","1,819",0,4,1/455,-,29,5.0,-860,"1,242",0,2,1/621,-,71,12.0,"+2,191","5,453",0,11,1/496,-,19,8.0,-498,305,0,0,-,-,57,2.0,"+1,703","3,247",0,6,1/541,-,11,-,"+2,096","4,225",0,7,1/604,-,22,2.0,-373,833,0,2,1/417,-,23,1.0,"+3,713","8,183",0,18,1/455,-,32,3.0,"-1,075","1,688",0,3,1/563,-,20,1.0,"-2,017","2,431",0,3,1/810,-,49,5.0,"-2,322","6,858",0,13,1/528,-,44,12.0,-720,"2,638",0,4,1/660,-,51,2.0,"-4,121","4,645",0,7,1/664,-,24,1.0,"+1,241","5,589",0,12,1/466,-,23,1.0
2026-05-05,火,いいえ,"-1,834","3,077",0,5,1/615,-,87,19.0,-916,"5,233",0,12,1/436,-,30,1.0,"-1,261","3,650",0,7,1/521,-,64,8.0,-828,"5,682",0,11,1/517,-,28,5.0,"-1,710","2,043",0,3,1/681,-,68,4.0,"-1,825","7,051",0,20,1/353,-,42,7.0,"+1,742","6,996",0,12,1/583,-,56,1.0,"-1,216","4,493",0,5,1/899,-,14,1.0,"+6,415","5,051",0,6,1/842,-,32,2.0,"-2,419","3,627",0,8,1/453,-,19,3.0,"-1,925","3,729",0,6,1/622,-,55,13.0,"+2,295","8,311",0,16,1/519,-,16,2.0,"+2,196","9,178",0,25,1/367,-,42,7.0,"-2,395","6,548",0,12,1/546,-,35,3.0,-153,"5,391",0,13,1/415,-,29,1.0,"-1,438","8,287",0,19,1/436,-,13,-,"-1,852","6,320",0,12,1/527,-,23,4.0
2026-05-04,月,いいえ,-775,"7,191",0,16,1/449,-,86,1.0,"-1,248","3,325",0,7,1/475,-,25,3.0,"-1,884","3,168",0,8,1/396,-,47,12.0,-250,"4,947",0,12,1/412,-,17,2.0,"-1,739","6,468",0,13,1/498,-,54,7.0,+234,"2,408",0,4,1/602,-,15,3.0,"-6,162","5,785",0,7,1/826,-,71,17.0,+688,"4,705",0,10,1/471,-,12,4.0,"+9,967","10,445",0,23,1/454,-,35,10.0,"+2,598","5,783",0,8,1/723,-,8,-,-846,"3,377",0,6,1/563,-,47,12.0,"-2,114","3,940",0,6,1/657,-,25,3.0,-224,"2,504",0,2,1/1252,-,85,14.0,"+14,975","8,740",0,17,1/514,-,22,1.0,"-1,216","4,203",0,10,1/420,-,25,3.0,"+5,325","6,945",0,11,1/631,-,8,-,"+3,290","8,038",0,23,1/349,-,21,4.0
2026-05-03,日,はい,-61,"3,658",0,6,1/610,-,54,7.0,"+3,750","8,679",0,22,1/395,-,22,3.0,-539,"5,468",0,9,1/608,-,19,5.0,"+4,103","5,191",0,8,1/649,-,13,4.0,"-2,555","5,388",0,10,1/539,-,47,2.0,"+1,557","8,037",0,22,1/365,-,30,6.0,"-2,234","6,879",0,13,1/529,-,65,11.0,"-1,385","2,479",0,5,1/496,-,23,1.0,"-1,621","7,428",0,14,1/531,-,89,4.0,+924,"6,576",0,14,1/470,-,9,-,"+4,860","8,237",0,17,1/485,-,45,1.0,"+5,358","5,136",0,12,1/428,-,22,3.0,-872,"5,852",0,11,1/532,-,44,14.0,-438,"5,058",0,14,1/361,-,85,20.0,"+5,196","5,204",0,8,1/651,-,19,5.0,"+2,392","6,165",0,16,1/385,-,14,1.0,+0,"8,168",0,25,1/327,-,24,1.0
2026-05-02,土,はい,"-2,374","5,183",0,13,1/399,-,51,2.0,"-2,886","6,754",0,13,1/520,-,53,1.0,"+2,244","5,398",0,14,1/386,-,14,-,"-2,562","4,575",0,13,1/352,-,21,5.0,"+7,686","8,626",0,16,1/539,-,35,1.0,"-1,034",964,0,2,1/482,-,52,1.0,+566,"8,384",0,21,1/399,-,48,6.0,"+3,211","6,146",0,15,1/410,-,14,-,"-4,545","6,385",0,14,1/456,-,82,17.0,"-1,459","1,104",0,1,1/1104,-,16,2.0,"-3,645","5,449",0,9,1/605,-,88,6.0,"+1,948","7,508",0,23,1/326,-,42,7.0,"-1,989","3,963",0,9,1/440,-,48,6.0,"-2,416","4,540",0,7,1/649,-,34,12.0,"-2,156","4,422",0,9,1/491,-,49,1.0,"+3,089","6,164",0,12,1/514,-,22,1.0,"-1,305","7,163",0,16,1/448,-,65,12.0
2026-05-01,金,いいえ,"-1,381","4,241",0,8,1/530,-,36,1.0,"+1,388","8,569",0,20,1/428,-,30,6.0,"-1,830","5,333",0,11,1/485,-,35,1.0,+747,"4,099",0,9,1/455,-,9,-,-937,"5,064",0,11,1/460,-,86,22.0,-352,"4,645",0,11,1/422,-,44,2.0,"-1,928","7,274",0,15,1/485,-,91,5.0,-383,584,0,2,1/292,-,20,9.0,"-1,357","8,256",0,24,1/344,-,36,1.0,"+2,525","2,381",0,5,1/476,-,11,2.0,"-1,904","5,453",0,12,1/454,-,64,3.0,"-1,924","8,401",0,19,1/442,-,61,17.0,"-3,785","7,514",0,19,1/395,-,42,4.0,"-1,592","4,169",0,10,1/417,-,24,4.0,+0,"4,323",0,7,1/618,-,38,2.0,"+3,417","5,250",0,10,1/525,-,34,4.0,-754,"6,159",0,12,1/513,-,30,6.0
2026-04-30,木,はい,-845,"7,110",0,11,1/646,-,32,4.0,"-2,418","7,058",0,18,1/392,-,34,2.0,"+1,242","4,471",0,9,1/497,-,24,3.0,+761,"8,419",0,20,1/421,-,9,-,"-2,938","4,490",0,7,1/641,-,88,9.0,"-1,303","6,587",0,15,1/439,-,44,5.0,-175,"8,234",0,21,1/392,-,79,21.0,"+5,277","2,430",0,3,1/810,-,21,7.0,-822,"2,616",0,6,1/436,-,24,3.0,"+4,007","7,913",0,19,1/416,-,21,7.0,-442,"2,390",0,6,1/398,-,53,9.0,"+2,685","7,721",0,15,1/515,-,58,5.0,"+1,949","8,386",0,20,1/419,-,32,4.0,"-2,208","1,802",0,3,1/601,-,14,5.0,"-3,314","5,015",0,10,1/502,-,28,3.0,"+2,566","7,035",0,12,1/586,-,39,5.0,"-1,720","5,983",0,13,1/460,-,25,1.0
2026-04-29,水,いいえ,"-1,410","2,803",0,4,1/701,-,31,6.0,"+4,346","5,317",0,11,1/483,-,25,4.0,"-1,103","2,829",0,7,1/404,-,52,10.0,"-1,623","1,192",0,1,1/1192,-,16,8.0,"-2,787","6,807",0,18,1/378,-,92,6.0,-241,646,0,2,1/323,-,38,6.0,-27,"6,729",0,13,1/518,-,81,26.0,"+9,817","8,074",0,15,1/538,-,32,1.0,-774,"4,113",0,7,1/588,-,21,5.0,-611,"2,214",0,5,1/443,-,42,4.0,-665,"7,709",0,19,1/406,-,52,10.0,-681,"7,460",0,20,1/373,-,86,1.0,-838,"2,603",0,5,1/521,-,55,3.0,"+1,154","4,987",0,12,1/416,-,8,-,"+2,474","2,876",0,7,1/411,-,21,5.0,"-2,064","2,044",0,4,1/511,-,85,4.0,"+3,536","7,811",0,18,1/434,-,25,4.0
2026-04-28,火,いいえ,"-1,315","3,592",0,8,1/449,-,25,5.0,"-1,997","5,387",0,12,1/449,-,81,5.0,-317,"3,202",0,7,1/457,-,45,4.0,+123,"2,351",0,4,1/588,-,20,2.0,-292,"3,861",0,8,1/483,-,89,8.0,"+11,403","7,736",0,12,1/645,-,32,7.0,"-1,407","5,831",0,16,1/364,-,69,7.0,-468,777,0,2,1/389,-,62,5.0,"-1,825","5,126",0,13,1/394,-,18,9.0,"+4,559","2,655",0,4,1/664,-,41,2.0,-394,772,0,3,1/257,-,39,7.0,"-3,407","4,426",0,10,1/443,-,76,7.0,"-1,570","1,775",0,4,1/444,-,57,2.0,+201,792,0,1,1/792,-,9,-,"-1,252","8,409",0,20,1/420,-,45,4.0,-792,"2,414",0,6,1/402,-,48,3.0,"-2,159","1,591",0,2,1/796,-,55,7.0
2026-04-27,月,いいえ,"+8,997","5,731",0,9,1/637,-,25,3.0,-855,"4,267",0,9,1/474,-,32,1.0,+128,"2,848",0,6,1/475,-,30,3.0,"+5,237","4,383",0,4,1/1096,-,22,4.0,"-1,420","2,470",0,3,1/823,-,89,25.0,"-2,603","5,303",0,12,1/442,-,52,11.0,"-1,686","3,398",0,7,1/485,-,64,3.0,"-3,056","3,558",0,7,1/508,-,61,6.0,"+3,008","4,896",0,15,1/326,-,18,8.0,+248,"7,284",0,19,1/383,-,64,3.0,"-1,640","5,192",0,13,1/399,-,27,2.0,-922,"2,577",0,10,1/258,-,54,2.0,"+6,027","8,146",0,21,1/388,-,55,1.0,-886,739,0,1,1/739,-,10,-,+745,"7,931",0,16,1/496,-,41,9.0,-709,541,0,1,1/541,-,31,1.0,"+1,275","5,132",0,14,1/367,-,52,11.0
2026-04-26,日,はい,"+1,009","9,153",0,24,1/381,-,22,14.0,"-3,196","6,471",0,14,1/462,-,36,2.0,"+2,078","5,034",0,12,1/420,-,46,4.0,"-1,209","4,651",0,8,1/581,-,34,9.0,-210,"6,447",0,14,1/461,-,42,6.0,"-4,151","5,329",0,5,1/1066,-,50,4.0,"+1,207","7,668",0,19,1/404,-,58,3.0,"+4,616","9,823",0,24,1/409,-,55,1.0,+766,"6,234",0,15,1/416,-,25,3.0,"-1,311","6,625",0,14,1/473,-,76,15.0,"-2,491","4,891",0,9,1/543,-,25,3.0,"-1,693","8,198",0,20,1/410,-,54,4.0,"-2,086","8,663",0,23,1/377,-,88,12.0,"+5,444","8,450",0,14,1/604,-,8,-,"-2,486","8,285",0,15,1/552,-,58,3.0,"-2,820","5,813",0,10,1/581,-,25,3.0,"-3,466","4,200",0,7,1/600,-,61,3.0
2026-04-25,土,はい,"+1,006","8,269",0,13,1/636,-,22,8.0,+549,"4,674",0,10,1/467,-,34,2.0,"-3,581","5,883",0,12,1/490,-,85,23.0,"+2,121","3,934",0,9,1/437,-,32,1.0,"-2,232","2,183",0,3,1/728,-,31,9.0,"-1,738","5,143",0,12,1/429,-,42,1.0,"-2,352","9,077",0,20,1/454,-,94,5.0,-880,"5,053",0,12,1/421,-,88,3.0,"+2,456","8,175",0,18,1/454,-,39,5.0,-670,"1,996",0,3,1/665,-,62,9.0,"+4,805","6,340",0,10,1/634,-,22,8.0,"-1,480","1,826",0,4,1/457,-,53,2.0,"-2,652","7,583",0,15,1/506,-,89,1.0,"+5,089","7,100",0,14,1/507,-,14,6.0,"-1,015","1,390",0,2,1/695,-,51,9.0,"-1,355","5,815",0,13,1/447,-,8,-,"+3,358","6,748",0,12,1/562,-,41,2.0
2026-04-24,金,いいえ,"-2,838","7,268",0,15,1/485,-,40,1.0,+941,"4,171",0,9,1/463,-,31,13.0,-244,"5,180",0,12,1/432,-,71,22.0,"+9,066","6,383",0,11,1/580,-,42,1.0,"-1,246","1,756",0,3,1/585,-,18,4.0,"-2,303","5,223",0,10,1/522,-,41,1.0,-346,376,0,1,1/376,-,48,3.0,"-1,001","1,568",0,3,1/523,-,88,7.0,"+4,136","7,453",0,17,1/438,-,39,7.0,"-2,724","2,740",0,5,1/548,-,48,3.0,-290,"1,592",0,4,1/398,-,32,1.0,"-1,284","4,863",0,12,1/405,-,45,3.0,-999,"1,884",0,3,1/628,-,71,22.0,"+3,503","6,210",0,11,1/565,-,14,6.0,"+3,832","8,170",0,20,1/409,-,49,1.0,"+2,884","2,371",0,5,1/474,-,8,-,"-1,336","4,293",0,6,1/716,-,81,10.0
2026-04-23,木,いいえ,"-3,284","6,319",0,13,1/486,-,31,15.0,"-1,668","3,919",0,8,1/490,-,52,7.0,-811,923,0,2,1/462,-,32,1.0,-885,"9,128",0,20,1/456,-,86,8.0,"+1,008","3,168",0,7,1/453,-,11,2.0,"-1,975","1,783",0,3,1/594,-,34,2.0,"-1,495","1,538",0,3,1/513,-,42,5.0,"-3,962","7,726",0,15,1/515,-,86,8.0,-631,767,0,2,1/384,-,87,1.0,"-2,274","5,651",0,13,1/435,-,37,3.0,-326,"2,395",0,6,1/399,-,34,2.0,"-1,390","2,452",0,6,1/409,-,45,3.0,"-2,155","5,191",0,13,1/399,-,78,3.0,"-2,018","3,066",0,4,1/767,-,16,5.0,-327,"5,946",0,10,1/595,-,75,23.0,-367,"4,510",0,12,1/376,-,9,-,"-2,912","3,457",0,8,1/432,-,52,7.0
2026-04-22,水,いいえ,"-2,885","2,939",0,6,1/490,-,28,3.0,"-1,230","1,112",0,2,1/556,-,25,1.0,"-1,162","4,350",0,10,1/435,-,24,6.0,"-4,825","8,012",0,16,1/501,-,84,5.0,-770,"1,587",0,2,1/794,-,18,4.0,"+7,367","7,882",0,24,1/328,-,32,1.0,-947,"2,961",0,5,1/592,-,30,2.0,"-1,248","9,447",0,23,1/411,-,79,1.0,"-1,999","3,566",0,8,1/446,-,78,14.0,-716,"2,680",0,3,1/893,-,31,1.0,"+6,640","7,669",0,23,1/333,-,41,9.0,"+6,595","9,301",0,23,1/404,-,32,1.0,"-3,172","9,246",0,24,1/385,-,64,4.0,+571,"8,958",0,19,1/471,-,14,3.0,"-2,605","7,815",0,15,1/521,-,60,19.0,"+10,382","5,293",0,4,1/1323,-,11,-,"-1,147","7,176",0,17,1/422,-,30,2.0
2026-04-20,月,はい,"-3,079","6,659",0,14,1/476,-,18,5.0,"+3,677","6,812",0,16,1/426,-,22,3.0,"+1,174","9,296",0,24,1/387,-,23,1.0,"-1,991","4,639",0,10,1/464,-,51,5.0,"-2,278","5,871",0,15,1/391,-,11,-,"+4,619","7,068",0,13,1/544,-,41,12.0,"-3,321","5,158",0,10,1/516,-,25,2.0,"-4,084","7,628",0,19,1/401,-,61,1.0,"-3,288","5,549",0,10,1/555,-,42,1.0,-179,"4,201",0,7,1/600,-,13,2.0,+945,"9,848",0,25,1/394,-,60,7.0,-666,"2,432",0,4,1/608,-,53,2.0,"-1,546","7,506",0,19,1/395,-,51,5.0,"+2,475","9,697",0,23,1/422,-,19,1.0,-326,"2,454",0,3,1/818,-,46,4.0,"+14,590","8,983",0,16,1/561,-,11,-,"-3,021","4,520",0,10,1/452,-,29,4.0
2026-04-19,日,はい,"+11,785","8,335",0,18,1/463,-,11,5.0,"-2,559","5,566",0,11,1/506,-,51,4.0,"-1,727","8,710",0,17,1/512,-,46,1.0,"-1,735","8,581",0,23,1/373,-,36,7.0,"+5,026","6,272",0,10,1/627,-,6,-,"-2,817","3,384",0,6,1/564,-,92,20.0,+180,"5,690",0,10,1/569,-,21,5.0,-558,"1,417",0,2,1/709,-,28,3.0,"-2,634","5,426",0,14,1/388,-,39,3.0,"+4,386","8,489",0,16,1/531,-,14,3.0,"-3,852","7,848",0,12,1/654,-,72,20.0,"-1,882","1,563",0,2,1/782,-,52,1.0,"-3,613","7,663",0,18,1/426,-,47,1.0,-938,"7,539",0,16,1/471,-,45,6.0,"-1,844","3,228",0,4,1/807,-,29,1.0,"+5,839","2,512",0,2,1/1256,-,16,2.0,"-3,935","5,254",0,15,1/350,-,25,4.0
2026-04-18,土,はい,"+1,888","5,643",0,11,1/513,-,11,-,"-2,789","6,336",0,13,1/487,-,42,8.0,+397,"8,387",0,17,1/493,-,46,4.0,"-1,990","6,358",0,13,1/489,-,33,4.0,"+2,036","5,606",0,14,1/400,-,15,1.0,"-2,578","4,518",0,10,1/452,-,48,2.0,-739,"3,810",0,10,1/381,-,34,1.0,"+2,391","7,759",0,21,1/369,-,14,3.0,-246,"4,773",0,13,1/367,-,19,4.0,-62,"6,341",0,11,1/576,-,29,4.0,"-4,523","6,703",0,8,1/838,-,58,10.0,"-2,467","3,768",0,9,1/419,-,46,4.0,"+4,577","6,308",0,12,1/526,-,34,1.0,"-1,014","1,655",0,3,1/552,-,21,2.0,"-2,696","6,482",0,13,1/499,-,29,4.0,"+2,932","5,759",0,8,1/720,-,25,4.0,"+5,484","7,207",0,11,1/655,-,19,4.0
2026-04-17,金,いいえ,"+5,357","4,187",0,8,1/523,-,11,-,"+1,616","2,457",0,7,1/351,-,32,2.0,"-2,304","2,806",0,4,1/702,-,61,3.0,-405,848,0,3,1/283,-,23,1.0,"+1,205","2,500",0,5,1/500,-,20,1.0,-548,"1,286",0,3,1/429,-,36,1.0,"+10,784","9,075",0,18,1/504,-,22,2.0,-15,472,0,2,1/236,-,30,7.0,"+2,495","4,779",0,9,1/531,-,19,3.0,+913,"1,951",0,4,1/488,-,35,2.0,+379,"3,544",0,7,1/506,-,50,9.0,-421,"1,955",0,4,1/489,-,39,3.0,"+2,994","8,647",0,17,1/509,-,58,8.0,"+2,594","4,540",0,14,1/324,-,16,4.0,-56,207,0,1,1/207,-,12,1.0,"-2,394","2,377",0,3,1/792,-,33,1.0,+456,"4,867",0,10,1/487,-,41,2.0
2026-04-16,木,いいえ,"+1,368","6,172",0,11,1/561,-,11,3.0,"-1,301","2,926",0,5,1/585,-,43,2.0,"+3,053","5,870",0,10,1/587,-,32,10.0,-487,"1,707",0,2,1/854,-,17,6.0,+568,"4,778",0,12,1/398,-,20,3.0,-78,907,0,2,1/454,-,21,1.0,"-1,269","3,739",0,10,1/374,-,58,6.0,"-2,086","3,142",0,7,1/449,-,34,2.0,"-2,423","5,770",0,12,1/481,-,36,1.0,-211,502,0,2,1/251,-,52,3.0,"-2,822","3,472",0,9,1/386,-,49,2.0,"-2,490","3,190",0,5,1/638,-,35,1.0,"-2,252","3,370",0,5,1/674,-,88,30.0,+235,"2,883",0,8,1/360,-,41,5.0,"+4,422","4,507",0,11,1/410,-,8,-,"+1,360","2,103",0,6,1/351,-,22,1.0,+778,"5,362",0,11,1/487,-,47,4.0
2026-04-15,水,いいえ,"-2,211","2,367",0,4,1/592,-,19,3.0,"+4,277","8,799",0,17,1/518,-,21,2.0,-384,"2,416",0,4,1/604,-,58,1.0,"+5,813","2,914",0,6,1/486,-,16,2.0,"+2,917","4,123",0,8,1/515,-,19,3.0,"-1,499","3,104",0,4,1/776,-,21,2.0,"+1,889","8,952",0,21,1/426,-,32,6.0,-75,190,0,1,1/190,-,26,4.0,"+2,804","7,902",0,23,1/344,-,19,3.0,-967,"2,099",0,4,1/525,-,56,11.0,"-2,092","2,573",0,4,1/643,-,41,5.0,"+10,801","5,560",0,9,1/618,-,22,1.0,-355,428,0,1,1/428,-,84,26.0,"-1,726","6,202",0,18,1/345,-,45,4.0,+204,307,0,1,1/307,-,14,-,"-1,054",907,0,1,1/907,-,36,4.0,"+1,596","8,839",0,18,1/491,-,57,1.0
2026-04-14,火,いいえ,+469,"5,964",0,14,1/426,-,20,1.0,"-1,151","7,272",0,18,1/404,-,70,11.0,"-1,530","1,672",0,4,1/418,-,39,4.0,"+1,486","3,720",0,9,1/413,-,19,4.0,"+2,445","6,956",0,19,1/366,-,22,2.0,+580,"1,726",0,6,1/288,-,19,4.0,"-2,298","6,983",0,13,1/537,-,79,9.0,-493,485,0,1,1/485,-,15,-,+491,"2,087",0,4,1/522,-,35,1.0,"+4,519","9,298",0,21,1/443,-,55,11.0,"-1,423","6,278",0,17,1/369,-,34,8.0,"-2,444","2,618",0,5,1/524,-,44,2.0,"-3,262","5,363",0,9,1/596,-,59,4.0,-697,741,0,1,1/741,-,42,3.0,-291,"5,083",0,13,1/391,-,26,4.0,"+4,349","8,125",0,12,1/677,-,39,4.0,"-1,477","8,992",0,22,1/409,-,85,6.0
2026-04-13,月,いいえ,"-1,039","3,295",0,10,1/330,-,25,3.0,"-1,550","5,736",0,11,1/521,-,34,1.0,"-1,364","4,303",0,9,1/478,-,33,1.0,+974,"4,342",0,13,1/334,-,32,1.0,"-1,198","1,293",0,3,1/431,-,43,2.0,-560,430,0,1,1/430,-,32,1.0,"-1,510","7,599",0,13,1/585,-,65,7.0,+722,"1,016",0,4,1/254,-,11,-,"-2,791","2,862",0,5,1/572,-,58,10.0,"-1,210","2,125",0,4,1/531,-,85,17.0,-230,414,0,1,1/414,-,27,2.0,"-1,654","1,441",0,2,1/721,-,41,7.0,"-2,562","3,922",0,6,1/654,-,48,5.0,-611,854,0,2,1/427,-,22,11.0,"+3,326","8,365",0,20,1/418,-,31,4.0,"-1,308","4,684",0,8,1/586,-,68,2.0,"-4,230","6,644",0,14,1/475,-,66,1.0
2026-04-12,日,はい,"+6,166","8,576",0,19,1/451,-,22,3.0,"-1,404","5,699",0,13,1/438,-,39,1.0,"-2,633","4,038",0,7,1/577,-,26,4.0,"-3,617","7,537",0,14,1/538,-,35,1.0,"-4,227","4,162",0,6,1/694,-,53,14.0,"+11,250","9,599",0,22,1/436,-,32,2.0,-934,"7,514",0,14,1/537,-,59,6.0,"+3,080","7,939",0,18,1/441,-,19,-,"+2,121","9,151",0,28,1/327,-,35,1.0,"-1,881","4,032",0,8,1/504,-,84,21.0,"+2,122","8,457",0,19,1/445,-,32,2.0,"-1,404","4,333",0,9,1/481,-,35,1.0,-587,"4,569",0,10,1/457,-,38,3.0,"+3,753","8,001",0,18,1/445,-,30,4.0,"-2,564","3,169",0,5,1/634,-,59,6.0,"-5,144","6,250",0,12,1/521,-,63,4.0,"-2,558","6,895",0,18,1/383,-,34,2.0
