日付,曜日,特定日,1026番台,,,,,,,,,1027番台,,,,,,,,,1028番台,,,,,,,,,1030番台,,,,,,,,,1031番台,,,,,,,,,1032番台,,,,,,,,,1033番台,,,,,,,,,1035番台,,,,,,,,,1036番台,,,,,,,,,1037番台,,,,,,,,,1038番台,,,,,,,,,1050番台,,,,,,,,,1051番台,,,,,,,,,1057番台,,,,,,,,,1058番台,,,,,,,,,1060番台,,,,,,,,,1061番台,,,,,,,,,1062番台,,,,,,,,,1063番台,,,,,,,,,1065番台,,,,,,,,,1066番台,,,,,,,,,1067番台,,,,,,,,,1068番台,,,,,,,,,1070番台,,,,,,,,,1071番台,,,,,,,,,1072番台,,,,,,,,,1073番台,,,,,,,,,1075番台,,,,,,,,,1076番台,,,,,,,,,1077番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-04-09,木,いいえ,-437,"7,858",28,21,1/160,1/5.86,2.43,55,5.0,"-1,464","2,406",4,4,1/301,1/5.85,2.19,26,4.0,"-2,231","4,351",9,8,1/256,1/5.93,1.90,41,7.0,"-1,052","2,224",5,4,1/247,1/5.93,2.37,46,2.0,-362,"3,001",10,9,1/158,1/6.04,3.12,28,1.0,"-1,600","5,939",19,10,1/205,1/5.99,1.74,29,1.0,"-1,510","5,515",16,12,1/197,1/5.90,2.03,28,1.0,"-1,088","4,877",15,12,1/181,1/5.99,2.35,44,1.0,-237,"5,048",17,13,1/168,1/5.59,2.50,14,1.0,+625,"5,098",26,7,1/154,1/6.15,1.88,14,1.0,+324,"4,352",18,14,1/136,1/6.13,3.53,13,3.0,"+1,344","5,736",25,23,1/120,1/6.00,4.68,30,1.0,-291,"1,778",5,5,1/178,1/5.62,3.07,43,2.0,"-1,191","3,065",8,6,1/219,1/6.01,2.26,22,1.0,"-1,497","2,456",4,5,1/273,1/5.98,2.33,21,4.0,-423,"5,855",18,22,1/146,1/5.88,3.83,46,2.0,-466,"1,316",4,2,1/219,1/6.13,2.71,27,1.0,+178,"7,737",24,29,1/146,1/5.52,3.90,16,2.0,-396,"4,333",14,14,1/155,1/5.90,3.23,49,3.0,"-1,636","3,334",7,6,1/256,1/5.85,2.06,17,1.0,"-1,181","5,744",14,23,1/155,1/5.90,3.87,33,3.0,"-1,054","2,508",5,7,1/209,1/5.85,2.77,26,4.0,"+1,042","6,585",27,23,1/132,1/5.84,3.98,22,1.0,"+3,295","7,577",43,18,1/124,1/5.81,2.87,10,-,-864,"4,809",13,15,1/172,1/5.69,2.91,49,3.0,-881,"3,494",14,5,1/184,1/6.76,2.06,17,1.0,-714,"6,462",24,10,1/190,1/5.78,1.68,22,1.0,+328,"6,965",27,15,1/166,1/5.54,2.02,34,1.0,"-1,015","5,828",18,16,1/171,1/5.91,2.53,16,2.0,"-1,834","6,685",20,16,1/186,1/6.10,2.09,50,1.0
2026-04-08,水,いいえ,-370,"6,725",21,28,1/137,1/6.03,4.43,46,4.0,-21,"4,416",19,8,1/164,1/6.05,2.15,16,1.0,-626,"2,561",7,6,1/197,1/5.68,2.61,25,1.0,-693,"4,002",13,8,1/191,1/5.76,2.18,20,1.0,"+1,257","8,437",31,37,1/124,1/5.81,5.03,20,1.0,-615,"7,071",25,16,1/172,1/5.79,2.04,14,1.0,+24,"4,705",18,14,1/147,1/6.00,3.12,13,1.0,-702,"5,614",16,18,1/165,1/5.65,3.01,39,3.0,+702,"7,676",25,37,1/124,1/5.81,5.22,9,1.0,"-1,283","5,144",16,13,1/177,1/6.18,2.39,20,1.0,"+1,837","7,120",29,30,1/121,1/5.69,4.92,17,1.0,-932,"3,601",11,7,1/200,1/5.90,2.19,49,3.0,"+1,864","8,606",41,26,1/128,1/6.09,3.60,31,4.0,+465,"5,935",25,14,1/152,1/5.82,2.41,18,1.0,-326,"3,970",15,8,1/173,1/5.92,2.28,8,-,"-1,358","2,979",8,3,1/271,1/5.98,1.89,27,2.0,-948,"4,361",13,8,1/208,1/5.61,1.99,17,1.0,-87,"8,168",26,37,1/130,1/6.06,4.96,42,3.0,"-1,392","1,868",2,4,1/311,1/6.03,2.51,24,2.0,"+1,043","7,733",32,21,1/146,1/5.66,2.71,15,1.0,"+2,264","6,078",29,22,1/119,1/5.67,4.44,19,1.0,-806,"4,168",14,9,1/181,1/6.03,2.28,19,1.0,+535,"6,470",26,21,1/138,1/5.98,3.55,24,2.0,-402,"1,733",5,5,1/173,1/6.01,3.13,11,2.0,-299,"7,332",28,18,1/159,1/5.97,2.28,27,2.0,"-1,217","3,058",8,5,1/235,1/5.92,2.10,12,1.0,"+1,385","8,257",31,35,1/125,1/5.76,4.90,21,1.0,-75,"6,517",27,14,1/159,1/6.05,2.11,36,5.0,"+1,097","6,634",30,19,1/135,1/5.98,3.18,14,1.0,+734,"8,291",30,32,1/134,1/5.80,4.36,22,1.0
2026-04-07,火,いいえ,+252,"6,339",23,18,1/155,1/5.60,2.77,51,7.0,"+1,397","8,464",37,24,1/139,1/5.81,3.00,12,2.0,"+1,223","5,202",26,12,1/137,1/5.94,2.67,21,1.0,"+2,150","7,090",32,26,1/122,1/5.72,4.47,17,1.0,"-1,322","8,364",28,16,1/190,1/5.76,1.69,33,2.0,+331,"6,488",26,18,1/147,1/5.90,2.82,12,2.0,+174,"8,178",32,22,1/151,1/5.89,2.55,17,1.0,-820,"2,866",9,5,1/205,1/6.03,2.26,22,1.0,"+1,836","5,269",27,11,1/139,1/5.51,2.45,15,2.0,"+1,032","8,533",32,28,1/142,1/5.57,3.49,15,2.0,+867,"9,175",33,39,1/127,1/5.91,4.89,33,2.0,"+1,843","8,570",39,25,1/134,1/5.82,3.26,44,3.0,+346,"6,807",25,19,1/155,1/5.58,2.69,39,3.0,"+4,174","9,499",46,38,1/113,1/5.62,5.17,26,4.0,"+2,126","8,472",44,16,1/141,1/5.89,1.92,10,1.0,"+2,260","9,315",39,34,1/128,1/5.64,4.41,16,1.0,"+1,601","7,643",33,26,1/130,1/5.81,4.00,8,-,-185,"8,013",30,24,1/148,1/6.05,2.98,19,2.0,+835,"6,243",29,14,1/145,1/5.98,2.37,22,1.0,"-1,513","5,176",16,12,1/185,1/6.26,2.20,20,1.0,-278,"3,921",16,5,1/187,1/5.87,1.91,36,3.0,+884,"4,484",24,9,1/136,1/6.39,2.54,13,1.0,+730,"7,998",34,19,1/151,1/5.81,2.25,19,2.0,+480,"8,222",31,30,1/135,1/6.00,4.12,9,1.0,"-2,203","6,842",16,18,1/201,1/5.72,2.16,29,3.0,+994,"6,494",26,26,1/125,1/5.98,4.61,9,1.0,"-1,636","6,316",21,10,1/204,1/6.03,1.68,22,1.0,-45,"7,067",27,20,1/150,1/5.98,2.79,31,2.0,"+1,415","6,572",31,18,1/134,1/5.92,3.07,19,2.0,-934,"8,516",24,27,1/167,1/5.55,2.84,41,2.0
2026-04-05,日,はい,"-1,156","5,588",15,17,1/175,1/5.76,2.76,72,18.0,"+2,809","9,618",37,52,1/108,1/5.80,5.80,21,1.0,"+1,686","7,531",34,24,1/130,1/5.86,3.74,19,1.0,-261,"7,182",26,19,1/160,1/5.82,2.46,20,1.0,"-1,861","6,836",18,21,1/175,1/6.00,2.70,25,3.0,-737,"6,430",23,13,1/179,1/5.85,1.93,14,1.0,-67,"6,293",23,17,1/157,1/5.77,2.61,20,1.0,"+2,521","8,731",40,24,1/136,1/5.49,2.94,22,1.0,"+1,698","9,410",35,40,1/125,1/5.67,4.96,16,2.0,-367,"6,252",23,17,1/156,1/6.01,2.64,34,2.0,-853,"6,083",18,18,1/169,1/5.72,2.71,40,6.0,+44,"7,556",27,22,1/154,1/5.71,2.79,54,3.0,-994,"6,857",23,15,1/180,1/5.82,1.97,81,9.0,"-1,458","5,645",18,11,1/195,1/6.04,1.91,42,2.0,"-1,120","7,037",24,15,1/180,1/5.92,1.92,18,2.0,"-2,017","6,817",18,17,1/195,1/5.86,2.10,45,3.0,"-1,051","7,304",26,14,1/183,1/5.92,1.78,18,2.0,+125,"7,132",27,17,1/162,1/5.66,2.21,22,1.0,"+1,648","8,247",35,27,1/133,1/5.72,3.76,40,6.0,+160,"7,508",28,20,1/156,1/5.70,2.49,11,1.0,"+3,272","7,970",43,23,1/121,1/5.84,3.73,32,2.0,"+2,339","8,610",42,27,1/125,1/6.01,3.91,12,1.0,"-1,315","6,951",23,18,1/170,1/6.15,2.32,51,2.0,"+1,645","7,877",33,30,1/125,1/5.85,4.56,9,-,-309,"7,203",27,19,1/157,1/5.98,2.49,19,1.0,+242,"5,202",19,15,1/153,1/5.61,2.91,10,1.0,+162,"8,440",30,30,1/141,1/5.90,3.85,13,1.0,"+2,475","9,382",39,38,1/122,1/5.68,4.93,30,2.0,"-1,056","6,247",18,21,1/160,1/5.93,3.20,49,4.0,"-1,251","6,057",22,8,1/202,1/6.02,1.62,28,3.0
2026-04-04,土,はい,"-1,278","5,970",18,16,1/176,1/5.98,2.42,44,1.0,-758,"7,688",20,32,1/148,1/5.68,4.23,51,1.0,"-2,018","6,835",17,18,1/195,1/5.76,2.19,44,1.0,+236,"7,852",30,26,1/140,1/6.03,3.57,24,2.0,"+1,392","9,193",37,30,1/137,1/5.70,3.62,22,2.0,"+1,161","8,247",38,22,1/137,1/6.10,2.82,12,3.0,"-1,162","3,499",9,8,1/206,1/5.86,2.35,18,1.0,+871,"8,895",36,25,1/146,1/5.76,2.77,50,2.0,"-1,526","5,610",18,6,1/234,1/5.75,1.56,26,2.0,-414,"5,320",19,16,1/152,1/6.11,3.03,18,1.0,-523,"5,414",19,12,1/175,1/5.79,2.17,20,2.0,"-1,936","7,292",16,26,1/174,1/5.72,3.19,75,2.0,-384,"7,794",31,19,1/156,1/6.17,2.26,73,2.0,-797,"5,806",21,11,1/181,1/5.94,1.91,34,8.0,"+1,754","7,572",37,19,1/135,1/5.92,2.71,15,1.0,"+1,345","5,519",29,11,1/138,1/6.04,2.35,17,1.0,"-1,633","4,491",10,14,1/187,1/5.99,2.79,9,-,-225,"6,264",24,14,1/165,1/5.86,2.15,43,8.0,"-1,918","4,779",10,14,1/199,1/5.93,2.56,81,6.0,+662,"7,243",32,15,1/154,1/5.85,2.03,18,1.0,"-1,156","6,541",21,16,1/177,1/5.92,2.19,71,19.0,-364,"6,733",25,15,1/168,1/5.82,2.08,22,2.0,-10,"7,673",27,24,1/150,1/5.77,3.10,35,1.0,+163,"6,676",26,19,1/148,1/5.93,2.86,14,2.0,+663,"5,751",27,10,1/155,1/5.90,1.97,16,1.0,"+2,974","7,606",40,24,1/119,1/5.90,4.13,14,2.0,-935,"6,555",22,16,1/173,1/5.92,2.21,26,2.0,"-1,278","6,425",18,18,1/178,1/5.74,2.46,48,4.0,"+1,258","8,924",36,30,1/135,1/5.79,3.81,52,1.0,"-1,973","5,758",15,13,1/206,1/5.93,2.02,20,2.0
2026-04-03,金,いいえ,-345,"7,456",27,19,1/162,1/5.82,2.32,26,1.0,"-1,581","7,437",22,20,1/177,1/5.91,2.31,32,2.0,"-1,123","6,956",22,18,1/174,1/5.86,2.28,37,1.0,"-2,089","6,732",16,22,1/177,1/5.98,2.87,30,1.0,"+1,281","8,273",31,36,1/123,1/5.85,5.01,36,2.0,-477,"5,373",20,10,1/179,1/5.82,1.96,19,2.0,+976,"8,523",38,22,1/142,1/6.02,2.59,14,2.0,-880,"7,493",23,25,1/156,1/5.89,3.23,72,6.0,-870,"4,701",13,16,1/162,1/5.90,3.25,19,2.0,"+3,624","7,320",41,24,1/113,1/5.86,4.50,11,5.0,"+1,986","8,635",37,35,1/120,1/5.96,4.94,19,2.0,"-1,850","6,261",15,20,1/179,1/5.90,2.81,51,4.0,"-1,424","8,435",24,31,1/153,1/6.03,3.66,32,2.0,-735,"8,651",30,23,1/163,1/5.88,2.33,15,1.0,"+1,063","7,763",36,23,1/132,1/6.30,3.40,15,1.0,-315,"5,923",20,19,1/152,1/5.88,3.20,26,1.0,"+2,009","4,800",27,13,1/120,1/5.97,3.48,6,-,+645,"8,144",33,23,1/145,1/5.85,2.83,26,1.0,"-1,263","4,017",11,6,1/236,1/5.63,1.86,39,1.0,-612,"7,726",30,15,1/172,1/5.98,1.80,34,2.0,"-1,727","5,976",17,14,1/193,1/5.98,2.09,29,3.0,"-1,515","7,367",28,11,1/189,1/6.28,1.59,12,1.0,"-1,420","4,881",13,11,1/203,1/5.76,2.12,47,8.0,-498,"4,543",15,12,1/168,1/5.81,2.61,32,2.0,"+2,150","6,855",32,24,1/122,1/5.77,4.30,17,2.0,+251,"6,061",23,17,1/152,1/5.74,2.80,25,6.0,-416,"5,380",19,17,1/149,1/6.14,3.21,14,2.0,"-1,635","7,513",22,19,1/183,1/5.83,2.13,38,1.0,-244,"6,781",25,17,1/161,1/5.83,2.34,66,15.0,"-1,246","5,233",15,14,1/180,1/5.92,2.46,12,1.0
2026-04-02,木,いいえ,+301,"8,497",25,43,1/125,1/5.82,5.37,14,1.0,"+1,702","5,848",28,18,1/127,1/5.81,3.66,18,3.0,+817,"6,385",27,18,1/142,1/5.82,2.98,21,1.0,-522,"3,744",12,9,1/178,1/5.74,2.50,15,1.0,"-2,366","8,600",22,22,1/195,1/5.71,2.02,47,8.0,"+1,139","6,231",31,12,1/145,1/5.98,2.12,13,6.0,-316,"7,754",29,20,1/158,1/5.94,2.37,26,2.0,"-1,405","4,091",13,5,1/227,1/6.10,1.78,59,7.0,+288,"3,416",14,8,1/155,1/5.68,2.70,18,3.0,+157,"6,074",20,24,1/138,1/5.77,4.20,22,1.0,"-1,144","8,163",25,29,1/151,1/6.08,3.57,52,4.0,-524,"2,658",9,4,1/204,1/5.80,2.23,38,6.0,"-1,920","3,950",8,8,1/247,1/5.85,2.05,26,2.0,"+1,560","8,887",37,27,1/139,1/5.65,3.27,13,6.0,+884,"3,556",19,8,1/132,1/6.24,2.91,22,1.0,"-1,546","3,474",9,4,1/267,1/5.89,1.82,22,1.0,"+2,544","7,211",39,18,1/127,1/5.94,2.97,7,-,-289,"4,101",17,7,1/171,1/6.13,2.11,32,4.0,-91,"2,886",11,7,1/160,1/5.91,2.79,28,2.0,"+3,212","8,352",43,29,1/116,1/5.95,4.62,19,1.0,"-1,142","1,540",2,3,1/308,1/6.18,2.59,15,1.0,"+1,295","6,484",32,14,1/141,1/5.96,2.33,7,-,-681,"1,608",5,2,1/230,1/6.43,2.48,20,1.0,-702,"4,557",16,10,1/175,1/6.03,2.27,24,2.0,-755,"3,317",8,10,1/184,1/5.57,2.88,48,1.0,+957,"8,820",31,33,1/138,1/5.57,4.14,39,1.0,"+1,275","4,019",21,8,1/139,1/5.69,2.56,15,1.0,"-1,071","2,507",6,7,1/193,1/6.33,2.84,18,3.0,+411,"7,698",27,23,1/154,1/5.49,2.87,61,2.0,"+1,983","6,643",35,15,1/133,1/5.93,2.56,7,-
2026-04-01,水,いいえ,-64,"6,871",23,23,1/149,1/5.72,3.38,29,3.0,-597,"6,064",23,13,1/168,1/6.06,2.09,50,2.0,"-1,217","2,717",6,4,1/272,1/5.65,2.08,39,4.0,+278,"4,492",19,11,1/150,1/5.95,2.67,8,1.0,+901,"8,925",32,37,1/129,1/5.83,4.75,33,3.0,+626,"6,136",26,16,1/146,1/5.85,2.70,14,1.0,+372,"6,496",28,18,1/141,1/6.21,2.94,25,2.0,-958,"7,613",25,20,1/169,1/5.85,2.31,17,3.0,"+2,274","8,575",40,30,1/123,1/5.97,4.41,26,1.0,-975,"4,795",15,12,1/178,1/5.97,2.41,30,1.0,-890,"8,545",28,25,1/161,1/5.87,2.65,48,9.0,-485,"4,351",15,13,1/155,1/6.12,3.03,22,1.0,+0,"4,750",21,7,1/170,1/6.01,1.91,21,4.0,-82,"5,354",22,11,1/162,1/5.99,2.16,23,1.0,"+1,349","7,575",28,25,1/143,1/5.31,3.48,22,1.0,+355,"7,315",30,20,1/146,1/5.99,2.75,14,1.0,"+2,732","7,821",44,16,1/130,1/5.99,2.28,7,-,"-1,709","3,242",6,8,1/232,1/6.03,2.40,35,2.0,"+1,748","8,566",40,22,1/138,1/5.84,2.66,29,3.0,"-1,210","5,336",15,15,1/178,1/5.87,2.56,29,3.0,+53,"4,918",20,9,1/170,1/5.74,2.05,8,1.0,-961,"4,229",14,7,1/201,1/5.91,1.96,9,1.0,+819,"7,655",31,23,1/142,1/5.80,3.16,21,4.0,"+3,564","7,293",43,17,1/122,1/5.79,2.92,13,4.0,+924,"8,555",33,28,1/140,1/5.72,3.53,53,3.0,"-1,217","2,808",7,4,1/255,1/5.85,2.06,48,9.0,-862,"6,377",22,14,1/177,1/5.88,2.04,17,3.0,"+3,568","8,944",39,44,1/108,1/5.67,5.65,14,1.0,"-1,209","5,656",17,13,1/189,1/5.80,2.12,93,40.0,"+2,031","8,319",40,20,1/139,1/5.74,2.46,9,1.0
2026-03-31,火,いいえ,"-1,316","5,551",16,16,1/173,1/6.03,2.64,35,2.0,+712,"6,392",26,14,1/160,1/5.48,2.15,19,1.0,-311,"1,248",4,1,1/250,1/5.56,2.53,21,1.0,-363,"6,864",22,26,1/143,1/5.95,3.98,8,-,+114,"5,718",19,23,1/136,1/5.85,4.27,52,9.0,-339,"2,315",9,1,1/232,1/5.66,1.98,21,1.0,-217,"2,598",10,5,1/173,1/5.96,2.54,37,2.0,+21,"6,889",26,16,1/164,1/5.68,2.16,11,3.0,-964,"3,307",9,8,1/195,1/5.90,2.50,56,4.0,-915,"4,410",15,9,1/184,1/6.09,2.16,22,1.0,"-1,388","3,408",8,7,1/227,1/5.85,2.20,43,2.0,-280,"1,963",6,5,1/178,1/5.66,2.93,17,1.0,+875,"8,411",35,24,1/143,1/5.87,2.92,41,2.0,-361,"6,985",26,19,1/155,1/6.03,2.60,18,1.0,"-1,497","3,306",9,3,1/276,1/5.96,1.79,68,12.0,-3,"6,289",22,22,1/143,1/5.90,3.68,16,1.0,+641,"4,760",21,10,1/154,1/5.68,2.35,8,-,"+1,435","6,472",32,10,1/154,1/5.63,1.80,33,6.0,-997,"4,064",13,7,1/203,1/5.90,2.00,69,1.0,-32,"5,886",22,17,1/151,1/5.91,2.91,25,3.0,-755,"3,459",9,9,1/192,1/5.55,2.58,20,1.0,+355,"4,684",21,7,1/167,1/5.75,1.94,11,3.0,"+1,680","7,021",29,28,1/123,1/5.73,4.69,39,2.0,-468,"1,882",6,3,1/209,1/5.85,2.51,15,4.0,"-1,406","5,765",18,11,1/199,1/5.89,1.87,72,3.0,"-1,492","2,208",3,5,1/276,1/6.08,2.48,22,1.0,"+1,685","7,325",35,16,1/144,1/5.68,2.23,16,1.0,-422,"4,285",15,10,1/171,1/5.83,2.42,27,2.0,"-1,092","7,208",24,18,1/172,1/5.95,2.21,75,3.0,+25,"6,981",29,14,1/162,1/5.93,1.95,11,3.0
2026-03-30,月,はい,+485,"7,365",29,24,1/139,1/5.97,3.54,20,2.0,"-2,373","3,865",8,3,1/351,1/5.92,1.63,28,4.0,"+2,978","8,673",45,21,1/131,1/5.72,2.64,20,2.0,"+1,861","7,976",39,20,1/135,1/5.92,2.69,7,-,-811,"4,318",13,11,1/180,1/5.80,2.49,69,3.0,"+1,119","8,036",37,16,1/152,1/5.81,1.93,16,2.0,"+2,833","9,188",41,34,1/123,1/5.66,4.63,35,3.0,"-1,314","5,542",16,14,1/185,1/5.88,2.29,18,1.0,-525,"4,121",15,6,1/196,1/5.74,1.91,54,4.0,-821,"3,111",10,7,1/183,1/6.24,2.51,14,1.0,"+1,389","8,860",33,37,1/127,1/5.75,4.85,32,4.0,+902,"8,285",39,18,1/145,1/6.13,2.11,16,2.0,-738,"3,574",13,7,1/179,1/6.32,2.30,50,1.0,+468,"7,735",32,16,1/161,1/5.70,1.93,12,1.0,-880,"4,485",15,6,1/214,1/5.68,1.78,38,3.0,-517,"6,716",25,17,1/160,1/6.06,2.39,9,2.0,+195,"7,987",30,24,1/148,1/5.85,3.00,10,1.0,-947,"4,959",18,7,1/198,1/5.98,1.77,42,4.0,"-1,605","2,893",6,3,1/321,1/5.78,1.87,49,3.0,"+2,385","9,130",43,30,1/125,1/5.95,4.10,24,2.0,-123,"7,845",27,28,1/143,1/5.94,3.80,11,1.0,+18,"3,641",14,10,1/152,1/5.92,2.96,10,1.0,-613,"6,109",18,17,1/175,1/5.48,2.50,83,14.0,"+1,866","7,203",35,20,1/131,1/5.89,3.19,13,1.0,"-1,212","2,104",6,0,1/351,1/6.27,1.87,66,12.0,"+2,377","7,256",36,22,1/125,1/5.81,3.72,17,1.0,+662,"8,310",30,29,1/141,1/5.68,3.77,35,3.0,-793,"4,439",15,9,1/185,1/5.93,2.15,22,2.0,"-1,217","7,522",25,19,1/171,1/6.01,2.21,46,4.0,+924,"7,665",30,30,1/128,1/5.99,4.55,9,2.0
2026-03-29,日,はい,+147,"7,148",28,16,1/162,1/5.72,2.09,33,1.0,-343,"7,206",25,21,1/157,1/5.83,2.77,12,1.0,"-1,124","4,198",12,8,1/210,1/5.72,2.04,42,1.0,"-1,334","3,606",10,7,1/212,1/6.09,2.15,9,1.0,"-1,972","6,274",16,21,1/170,1/6.23,3.05,49,6.0,-951,"4,762",18,5,1/207,1/6.03,1.67,32,1.0,-950,"5,965",20,15,1/170,1/6.02,2.34,80,11.0,-264,"8,777",31,27,1/151,1/5.89,3.00,8,1.0,"+1,471","6,506",30,18,1/136,1/5.77,3.07,41,2.0,"+1,323","7,891",33,30,1/125,1/6.02,4.55,8,1.0,"+1,559","8,659",38,30,1/127,1/6.04,4.20,39,3.0,+920,"7,088",29,20,1/145,1/5.68,2.89,29,3.0,-543,"5,920",18,22,1/148,1/5.91,3.76,31,2.0,-408,"5,338",19,14,1/162,1/5.92,2.57,11,1.0,"-1,305","4,004",10,8,1/222,1/5.64,2.08,26,11.0,+760,"5,405",23,17,1/135,1/5.93,3.50,7,-,+406,"7,326",29,20,1/150,1/5.81,2.68,14,2.0,"-1,439","6,616",19,19,1/174,1/5.92,2.54,36,1.0,"-1,035","4,388",14,9,1/191,1/5.99,2.14,35,2.0,"-1,972","5,544",17,5,1/252,1/5.89,1.51,61,6.0,+890,"6,906",26,29,1/126,1/5.92,4.76,12,1.0,+575,"7,029",31,16,1/150,1/5.98,2.26,10,1.0,-261,"7,875",27,27,1/146,1/5.94,3.56,69,8.0,-144,"7,683",26,24,1/154,1/5.71,3.03,35,2.0,+127,"8,099",30,27,1/142,1/5.98,3.55,55,6.0,"-1,049","5,925",19,16,1/169,1/6.03,2.50,42,1.0,"-1,615","5,029",11,14,1/201,1/5.63,2.42,35,2.0,-273,"8,580",29,28,1/151,1/5.82,3.25,15,1.0,"-2,398","3,088",3,6,1/343,1/5.97,2.07,43,1.0,+127,"8,981",31,30,1/147,1/5.73,3.43,15,1.0
2026-03-28,土,はい,-749,"5,304",16,17,1/161,1/5.88,3.08,26,1.0,+289,"7,049",29,21,1/141,1/6.16,3.16,8,2.0,"-1,905","4,454",9,11,1/223,1/5.78,2.23,39,3.0,"+1,298","7,201",32,22,1/133,1/5.92,3.46,6,-,"-1,122","4,527",12,12,1/189,1/5.73,2.47,19,1.0,-778,"6,021",20,17,1/163,1/5.99,2.67,25,4.0,-96,"6,152",23,15,1/162,1/5.77,2.34,52,1.0,+444,"5,687",25,11,1/158,1/5.83,2.08,8,2.0,"-1,561","4,364",13,7,1/218,1/6.11,1.88,86,1.0,+446,"6,918",29,16,1/154,1/5.84,2.25,16,2.0,-945,"3,774",11,7,1/210,1/5.69,2.09,51,2.0,-161,"8,483",28,32,1/141,1/5.89,4.06,49,3.0,"+1,980","8,312",40,21,1/136,1/5.82,2.66,31,5.0,+156,"7,130",26,18,1/162,1/5.56,2.32,13,1.0,"+1,890","8,294",38,26,1/130,1/5.89,3.71,12,4.0,+485,"6,597",27,16,1/153,1/5.75,2.38,8,2.0,+427,"7,573",29,22,1/148,1/5.75,2.89,14,1.0,+920,"6,862",32,10,1/163,1/5.68,1.68,35,4.0,"+2,891","8,031",42,22,1/125,1/5.83,3.32,17,1.0,"-1,280","7,674",26,21,1/163,1/6.20,2.47,46,7.0,"+1,786","7,626",34,22,1/136,1/5.64,3.16,12,4.0,"+2,928","7,449",36,31,1/111,1/5.87,5.17,14,1.0,"-1,861","3,087",5,6,1/281,1/5.90,2.13,46,7.0,-467,"7,970",26,28,1/148,1/5.92,3.61,36,1.0,-626,"5,411",21,9,1/180,1/6.03,1.86,85,33.0,"-1,356","3,174",6,8,1/227,1/5.67,2.45,36,1.0,+104,"6,615",26,17,1/154,1/5.89,2.50,18,1.0,+98,"3,342",14,7,1/159,1/5.90,2.54,12,4.0,"-1,810","4,178",9,10,1/220,1/5.91,2.24,21,2.0,-787,"6,800",24,18,1/162,1/6.08,2.46,19,1.0
