日付,曜日,特定日,1181番台,,,,,,,,,1182番台,,,,,,,,,1183番台,,,,,,,,,1185番台,,,,,,,,,1186番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-05-14,木,いいえ,-303,"1,276",4,5,1/142,-,3.56,38,9.0,+15,"1,090",5,2,1/156,-,3.15,45,7.0,+142,"8,296",28,32,1/138,-,3.86,29,9.0,-30,518,2,1,1/173,-,3.30,20,-,-243,"1,992",7,7,1/142,-,3.47,81,36.0
2026-05-13,水,いいえ,-311,"2,297",7,9,1/144,-,3.58,36,12.0,-807,"1,810",4,6,1/181,-,3.11,78,36.0,"-1,050","2,908",8,8,1/182,-,2.72,24,7.0,-331,846,3,1,1/212,-,2.98,17,-,-285,"1,829",7,1,1/229,-,2.31,42,6.0
2026-05-12,火,いいえ,-202,845,3,1,1/211,-,2.98,35,9.0,"-1,532","7,695",21,28,1/157,-,3.08,77,42.0,-720,784,0,3,1/261,-,3.22,14,1.0,+711,"5,181",21,21,1/123,-,4.31,13,-,-587,"2,166",8,5,1/167,-,2.88,26,12.0
2026-05-10,日,はい,"+1,935","7,755",40,20,1/129,-,3.16,34,9.0,-955,931,1,1,1/466,-,2.67,52,18.0,+97,"2,783",13,7,1/139,-,3.15,10,-,"+1,702","6,394",33,17,1/128,-,3.31,25,7.0,"-1,481","2,615",5,6,1/238,-,2.36,18,8.0
2026-05-09,土,はい,-522,342,0,0,-,-,3.03,78,42.0,-257,"6,825",27,22,1/139,-,3.31,36,5.0,+25,"5,050",23,9,1/158,-,2.21,11,1.0,+666,"7,869",32,25,1/138,-,3.30,31,20.0,+337,"3,840",17,13,1/128,-,3.72,10,-
2026-05-08,金,いいえ,-673,979,2,2,1/245,-,2.95,78,13.0,-768,574,0,0,-,-,2.74,36,17.0,-81,"1,032",4,2,1/172,-,3.11,19,1.0,-583,885,1,3,1/221,-,3.20,65,29.0,"-1,372","6,893",26,15,1/168,-,2.02,18,-
2026-05-07,木,いいえ,-399,"1,032",2,4,1/172,-,3.39,65,2.0,"+1,314","6,499",31,16,1/138,-,2.80,15,1.0,-362,280,0,0,-,-,3.11,14,6.0,-734,963,1,3,1/241,-,3.10,63,48.0,-498,"2,145",6,8,1/153,-,3.41,8,-
2026-05-06,水,いいえ,-771,945,1,2,1/315,-,2.88,65,8.0,-593,820,1,2,1/273,-,3.04,34,22.0,"+3,709","7,191",41,28,1/104,-,5.12,12,6.0,-504,698,1,1,1/349,-,2.94,57,23.0,"+2,434","6,712",36,21,1/118,-,4.10,6,-
2026-05-05,火,いいえ,-733,797,1,1,1/399,-,2.82,64,10.0,-759,"1,762",3,8,1/160,-,3.56,32,17.0,-198,812,3,1,1/203,-,3.02,15,2.0,-52,806,4,1,1/161,-,3.15,54,22.0,+252,"3,858",16,9,1/154,-,2.69,13,-
2026-05-04,月,いいえ,-644,"1,644",4,3,1/235,-,2.62,57,4.0,-332,346,0,1,1/346,-,3.29,14,1.0,"+1,420","5,209",23,24,1/111,-,4.93,14,1.0,-825,"4,430",15,12,1/164,-,2.64,53,39.0,+161,"2,856",14,4,1/159,-,2.51,13,-
2026-05-03,日,はい,-751,"2,356",5,10,1/157,-,3.52,32,10.0,+68,193,1,0,1/193,-,3.35,13,-,"+1,170","5,200",26,16,1/124,-,3.74,15,2.0,+936,"7,576",27,42,1/110,-,5.49,46,14.0,-66,"4,334",18,10,1/155,-,2.60,22,7.0
2026-05-02,土,はい,-382,737,1,3,1/184,-,3.40,26,-,-855,"5,999",20,18,1/158,-,2.72,26,-,-229,755,3,0,1/252,-,2.85,35,3.0,-520,835,1,2,1/278,-,3.02,74,39.0,"+1,082","8,196",36,28,1/128,-,3.92,32,6.0
2026-05-01,金,いいえ,+903,"5,468",24,21,1/122,-,4.29,29,5.0,"+2,829","8,894",46,32,1/114,-,4.75,24,2.0,-136,"2,034",7,6,1/156,-,3.17,22,-,-822,"2,517",7,7,1/180,-,2.83,78,26.0,+166,"6,316",25,21,1/137,-,3.46,52,23.0
2026-04-30,木,はい,-599,"1,670",4,2,1/278,-,2.40,54,41.0,-300,246,0,0,-,-,3.16,54,41.0,-328,"4,239",17,9,1/163,-,2.42,13,-,"-1,122","2,846",8,8,1/178,-,2.79,82,11.0,"-1,158","5,971",18,18,1/166,-,2.59,71,17.0
2026-04-29,水,いいえ,-563,"1,575",5,4,1/175,-,3.03,51,25.0,-276,"1,487",5,2,1/212,-,2.67,26,5.0,+13,"3,730",16,9,1/149,-,2.82,21,-,-550,"1,692",5,4,1/188,-,2.89,68,11.0,-610,"2,957",10,8,1/164,-,2.86,57,6.0
2026-04-28,火,いいえ,-371,535,1,0,1/535,-,2.90,45,5.0,+680,"4,555",22,11,1/138,-,2.95,28,-,-531,"1,108",2,2,1/277,-,2.79,32,4.0,-281,623,2,0,1/312,-,2.90,63,18.0,+255,"3,986",18,9,1/148,-,2.74,40,8.0
2026-04-27,月,いいえ,"+1,858","5,607",26,26,1/108,-,5.08,42,12.0,-275,484,1,1,1/242,-,3.22,42,12.0,+19,"5,357",21,23,1/122,-,4.50,30,-,-408,"3,279",12,8,1/164,-,2.71,71,29.0,-997,"1,533",3,4,1/219,-,2.87,79,8.0
2026-04-26,日,はい,-869,"1,397",4,0,1/349,-,2.28,82,17.0,-980,"2,617",8,5,1/201,-,2.42,37,-,+195,"6,178",26,17,1/144,-,2.87,38,1.0,-245,"3,302",12,10,1/150,-,3.13,58,20.0,"-1,284","1,955",5,1,1/326,-,2.08,65,7.0
2026-04-25,土,はい,"-1,512","4,329",11,12,1/188,-,2.41,63,10.0,-499,758,1,2,1/253,-,3.12,34,-,+289,"7,268",30,24,1/135,-,3.54,35,1.0,-751,"2,571",8,6,1/184,-,2.66,53,18.0,-477,"6,066",21,16,1/164,-,2.40,34,-
2026-04-24,金,いいえ,-564,393,0,0,-,-,2.96,48,1.0,-745,"1,907",5,7,1/159,-,3.35,28,1.0,+86,"2,987",13,8,1/142,-,3.14,47,15.0,+316,"4,673",20,14,1/137,-,3.28,27,-,-732,"1,879",7,2,1/209,-,2.45,32,4.0
2026-04-23,木,いいえ,-593,721,1,2,1/240,-,3.16,26,2.0,"+3,948","7,144",46,18,1/112,-,3.99,24,10.0,"-1,355","1,794",1,7,1/224,-,3.05,79,30.0,-867,635,0,0,-,-,2.67,49,23.0,-170,976,3,3,1/163,-,3.32,14,-
2026-04-22,水,いいえ,-422,"2,068",7,5,1/172,-,2.89,27,18.0,"-1,039","2,146",5,7,1/179,-,3.05,41,14.0,-967,"2,876",9,5,1/205,-,2.28,55,9.0,-233,956,3,1,1/239,-,2.84,46,5.0,"+1,332","6,347",32,16,1/132,-,3.05,9,-
2026-04-20,月,はい,-750,"2,168",6,5,1/197,-,2.68,14,-,+896,"5,830",27,18,1/130,-,3.56,23,2.0,-618,944,2,2,1/236,-,2.99,35,12.0,"-1,212","4,139",12,13,1/166,-,2.86,35,12.0,-732,908,1,1,1/454,-,2.69,21,7.0
2026-04-19,日,はい,+910,"4,782",24,11,1/137,-,2.89,12,-,-479,405,0,0,-,-,2.95,46,19.0,-561,793,1,2,1/264,-,3.07,27,7.0,-516,"2,907",9,9,1/162,-,3.04,20,5.0,-664,589,0,1,1/589,-,2.97,15,3.0
2026-04-18,土,はい,+391,"4,388",20,11,1/142,-,2.93,12,3.0,-564,"5,336",19,16,1/152,-,2.89,45,31.0,+609,"6,564",29,19,1/137,-,3.16,14,2.0,-249,"1,745",6,3,1/194,-,2.70,14,2.0,"+2,452","5,730",30,25,1/104,-,5.11,9,-
2026-04-17,金,いいえ,-147,239,0,1,1/239,-,3.43,12,-,-299,591,1,2,1/197,-,3.34,35,13.0,-195,221,0,1,1/221,-,3.46,22,6.0,"+3,363","6,370",35,27,1/103,-,5.19,14,2.0,-85,378,1,1,1/189,-,3.37,16,2.0
2026-04-16,木,いいえ,+108,"4,011",17,10,1/149,-,2.83,12,-,-264,338,1,0,1/338,-,3.15,32,8.0,-384,751,2,1,1/250,-,2.99,17,1.0,-810,"3,913",13,11,1/163,-,2.77,24,7.0,+221,"4,123",16,14,1/137,-,3.50,16,4.0
2026-04-15,水,いいえ,-733,564,0,0,-,-,2.76,14,3.0,-156,"5,565",20,18,1/146,-,3.15,32,16.0,-218,751,2,2,1/188,-,3.24,11,-,-99,796,3,2,1/159,-,3.30,14,3.0,+421,"6,821",28,22,1/136,-,3.41,16,2.0
2026-04-14,火,いいえ,"+1,202","4,076",21,12,1/124,-,3.64,11,1.0,"+1,815","8,136",36,32,1/120,-,4.65,33,17.0,+537,"3,395",16,12,1/121,-,3.93,10,-,+581,"2,949",14,9,1/128,-,3.54,16,5.0,-41,946,5,1,1/158,-,3.08,40,7.0
2026-04-13,月,いいえ,-475,667,0,2,1/334,-,3.12,15,1.0,-679,"2,488",7,8,1/166,-,3.09,74,32.0,-140,90,0,0,-,-,3.37,14,-,+280,"1,640",9,3,1/137,-,3.15,16,1.0,-505,"1,358",4,2,1/226,-,2.71,42,26.0
2026-04-12,日,はい,+397,"2,953",13,9,1/134,-,3.42,15,3.0,-90,"1,524",6,3,1/169,-,2.96,81,57.0,"+1,805","5,749",30,18,1/120,-,3.96,12,-,-454,872,3,1,1/218,-,2.95,24,4.0,+978,"8,506",34,30,1/133,-,3.81,20,5.0
2026-04-11,土,はい,"+1,025","5,464",29,11,1/137,-,2.66,24,6.0,-336,884,3,0,1/295,-,2.70,79,29.0,"+2,638","5,596",33,20,1/106,-,4.75,24,6.0,-787,"6,004",18,22,1/150,-,3.33,18,-,-720,"4,506",17,6,1/196,-,1.84,50,26.0
2026-04-10,金,はい,-82,"4,598",16,17,1/139,-,3.62,26,14.0,-223,"2,488",9,6,1/166,-,2.84,78,33.0,+801,"4,900",23,11,1/144,-,2.68,45,11.0,"+1,755","7,656",36,25,1/126,-,3.90,12,-,-616,"4,379",15,13,1/156,-,2.89,34,8.0
2026-04-09,木,いいえ,+810,"2,959",15,10,1/118,-,3.89,29,-,"-1,499","3,570",7,13,1/179,-,2.98,55,22.0,-217,"3,851",12,15,1/143,-,3.63,77,22.0,-372,"1,384",4,3,1/198,-,2.91,29,-,+700,"3,725",19,7,1/143,-,2.69,33,4.0
2026-04-08,水,いいえ,-556,637,1,1,1/319,-,3.02,55,7.0,-440,655,1,1,1/328,-,3.00,38,22.0,-590,"1,085",2,2,1/271,-,2.82,78,23.0,"-1,174","1,805",1,9,1/181,-,3.52,16,-,"-1,199","5,074",15,16,1/164,-,2.79,48,10.0
2026-04-07,火,いいえ,-422,464,1,0,1/464,-,2.99,49,18.0,-722,"3,821",11,12,1/166,-,2.89,31,10.0,-664,"3,961",13,11,1/165,-,2.72,80,31.0,+436,"2,140",10,5,1/143,-,3.13,12,-,-703,"7,108",27,18,1/158,-,2.34,21,9.0
