日付,曜日,特定日,1181番台,,,,,,,,,1182番台,,,,,,,,,1183番台,,,,,,,,,1185番台,,,,,,,,,1186番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-03-04,水,いいえ,-310,468,0,2,1/234,-,3.38,16,3.0,"-2,159","3,571",5,12,1/210,-,2.60,21,5.0,-808,"4,235",14,13,1/157,-,2.94,86,35.0,-973,"1,488",2,3,1/298,-,2.60,51,30.0,"+1,737","6,179",32,18,1/124,-,3.67,13,-
2026-03-03,火,いいえ,+543,"5,663",27,13,1/142,-,2.68,13,-,+327,"3,059",14,7,1/146,-,2.93,14,1.0,"-1,016","4,704",8,28,1/131,-,4.86,85,37.0,+185,"5,776",22,16,1/152,-,2.72,48,14.0,+415,"2,280",12,4,1/143,-,2.94,34,20.0
2026-03-01,日,はい,-911,"4,361",13,17,1/145,-,3.58,17,5.0,"+2,363","7,623",38,27,1/117,-,4.47,12,-,-535,518,0,1,1/518,-,3.06,78,20.0,-81,"4,243",16,13,1/146,-,3.13,58,8.0,-602,"5,180",19,15,1/152,-,2.84,50,33.0
2026-02-28,土,はい,+993,"5,764",23,26,1/118,-,4.78,12,-,+16,"3,830",13,16,1/132,-,3.99,28,16.0,-931,"1,113",1,4,1/223,-,3.16,85,31.0,-55,"5,200",19,15,1/153,-,2.82,54,6.0,+592,"5,747",23,23,1/125,-,4.29,48,20.0
2026-02-27,金,いいえ,"-1,249","3,539",9,12,1/169,-,3.00,37,-,-586,"1,494",3,6,1/166,-,3.41,49,12.0,-857,"4,013",13,12,1/161,-,2.87,84,6.0,-317,"3,157",11,9,1/158,-,2.96,60,11.0,-617,"3,500",11,11,1/159,-,3.02,78,18.0
2026-02-26,木,いいえ,+551,"1,661",9,4,1/128,-,3.38,24,-,-501,641,1,1,1/321,-,3.01,42,14.0,-793,"1,249",1,4,1/250,-,2.99,78,4.0,-711,906,1,0,1/906,-,2.48,28,4.0,-3,"4,735",18,12,1/158,-,2.60,74,32.0
2026-02-25,水,いいえ,+97,"3,309",13,10,1/144,-,3.22,44,12.0,-319,473,1,0,1/473,-,2.98,32,13.0,-685,623,0,1,1/623,-,2.92,72,28.0,-990,"1,507",2,5,1/215,-,3.03,19,-,-434,"1,611",6,4,1/161,-,3.10,86,14.0
2026-02-24,火,いいえ,+386,"5,621",25,13,1/148,-,2.56,34,9.0,-287,"1,184",4,3,1/169,-,3.16,25,14.0,-900,"4,521",15,15,1/151,-,3.16,58,24.0,-431,909,2,3,1/182,-,3.29,11,-,-771,"1,888",5,3,1/236,-,2.47,86,28.0
2026-02-23,月,いいえ,-370,"2,098",6,9,1/140,-,3.72,50,12.0,"+1,473","4,832",24,18,1/115,-,4.38,24,17.0,-76,"1,450",7,1,1/181,-,2.69,38,14.0,+601,969,6,4,1/97,-,3.96,7,-,-701,"5,200",19,14,1/158,-,2.63,86,36.0
2026-02-22,日,はい,-370,"5,558",20,19,1/143,-,3.37,48,13.0,-509,986,2,2,1/247,-,2.94,35,17.0,+88,"2,711",12,5,1/159,-,2.68,18,8.0,+115,893,4,2,1/149,-,3.29,10,-,"-1,035","4,261",11,14,1/170,-,2.84,86,38.0
2026-02-21,土,はい,"-1,422","5,304",17,13,1/177,-,2.24,34,13.0,-719,"3,263",11,9,1/163,-,2.84,21,4.0,"-1,033","1,238",2,1,1/413,-,2.44,47,13.0,-952,"1,471",3,2,1/294,-,2.50,17,-,-627,"6,148",22,22,1/140,-,3.56,85,38.0
2026-02-20,金,はい,-449,"2,399",9,4,1/185,-,2.52,25,2.0,-391,502,1,1,1/251,-,3.20,14,2.0,-319,"4,032",16,8,1/168,-,2.35,23,9.0,"+2,473","5,570",26,32,1/96,-,5.56,12,-,-355,"4,647",20,7,1/172,-,2.02,78,53.0
2026-02-19,木,いいえ,-124,324,1,0,1/324,-,3.17,18,6.0,"+2,270","5,902",31,23,1/109,-,4.80,12,-,-210,423,1,1,1/212,-,3.30,20,2.0,"+2,331","4,815",26,20,1/105,-,4.89,21,1.0,"-2,158","5,045",13,12,1/202,-,2.04,86,65.0
2026-02-18,水,いいえ,+699,"2,539",13,5,1/141,-,2.97,14,-,-386,696,1,2,1/232,-,3.20,36,8.0,-818,"1,638",4,3,1/234,-,2.63,15,1.0,-63,240,1,0,1/240,-,3.29,28,13.0,-329,"3,985",12,18,1/133,-,4.14,66,30.0
2026-02-17,火,いいえ,+278,"3,033",13,7,1/152,-,2.86,18,4.0,-297,924,3,2,1/185,-,3.13,14,-,+512,"1,988",9,7,1/124,-,3.72,14,-,"+2,739","6,933",36,26,1/112,-,4.76,26,8.0,-169,609,2,1,1/203,-,3.17,45,19.0
2026-02-16,月,いいえ,-51,"1,628",6,5,1/148,-,3.33,35,21.0,+359,689,3,4,1/98,-,3.98,14,1.0,"+1,096","4,614",24,12,1/128,-,3.31,13,-,-285,"2,143",8,4,1/179,-,2.68,74,26.0,-458,"2,107",6,7,1/162,-,3.21,48,13.0
2026-02-15,日,はい,+33,"6,588",26,20,1/143,-,3.06,36,12.0,+296,"3,151",13,9,1/143,-,3.18,23,-,-596,812,1,2,1/271,-,3.05,24,1.0,-978,"5,131",15,20,1/147,-,3.57,78,30.0,"-1,110","1,767",3,2,1/353,-,2.24,48,12.0
2026-02-14,土,はい,"-1,084","2,770",7,7,1/198,-,2.57,45,10.0,-314,"6,374",24,19,1/148,-,2.90,35,16.0,"+1,644","7,035",31,28,1/119,-,4.61,12,-,-197,"4,000",15,10,1/160,-,2.66,74,29.0,-409,"5,499",19,19,1/145,-,3.34,19,7.0
2026-02-13,金,いいえ,-500,486,0,2,1/243,-,3.36,38,3.0,-312,198,0,0,-,-,3.22,35,13.0,-169,"1,289",5,3,1/161,-,3.14,22,7.0,-408,988,3,2,1/198,-,3.05,73,35.0,+181,"1,051",5,1,1/175,-,2.95,15,-
2026-02-12,木,いいえ,+586,"2,422",13,6,1/127,-,3.36,34,9.0,-20,"3,137",11,11,1/143,-,3.45,24,4.0,-198,133,0,0,-,-,3.31,20,-,-97,"3,422",14,10,1/143,-,3.20,77,43.0,-525,405,0,0,-,-,2.95,25,1.0
2026-02-11,水,いいえ,-120,"4,484",18,11,1/155,-,2.65,32,7.0,"+1,667","5,597",28,18,1/122,-,3.93,25,11.0,-50,467,2,1,1/156,-,3.37,14,3.0,-763,"5,218",19,13,1/163,-,2.44,78,46.0,"+1,274","5,890",28,23,1/115,-,4.58,11,-
2026-02-10,火,はい,-203,"3,705",12,12,1/154,-,3.11,19,10.0,-96,683,2,1,1/228,-,3.07,51,25.0,"+1,574","6,041",26,30,1/108,-,5.23,9,-,"-1,245","2,210",4,4,1/276,-,2.28,75,24.0,"-1,056","1,361",2,3,1/272,-,2.73,26,7.0
2026-02-09,月,いいえ,-414,855,2,1,1/285,-,2.86,16,2.0,-552,"2,858",9,9,1/159,-,3.10,49,33.0,-631,736,1,0,1/736,-,2.66,16,2.0,-715,"1,064",2,2,1/266,-,2.85,59,10.0,-870,"2,265",5,10,1/151,-,3.64,14,-
2026-02-08,日,はい,+53,"3,628",15,12,1/134,-,3.53,15,3.0,-279,"1,838",5,6,1/167,-,3.19,46,31.0,+126,"3,917",17,9,1/151,-,2.72,11,-,-286,"2,540",9,6,1/169,-,2.79,62,16.0,+425,"3,310",15,10,1/132,-,3.44,12,1.0
2026-02-07,土,はい,-898,"1,394",4,1,1/279,-,2.47,32,2.0,-961,"4,727",15,11,1/182,-,2.23,30,11.0,"+1,169","6,755",33,19,1/130,-,3.34,10,-,-405,746,2,0,1/373,-,2.75,63,31.0,+74,"6,241",29,10,1/160,-,1.94,19,9.0
2026-02-06,金,いいえ,-315,528,1,1,1/264,-,3.16,16,-,+886,"4,413",22,9,1/142,-,2.68,29,9.0,-371,957,2,3,1/191,-,3.23,20,4.0,-874,"1,025",1,2,1/342,-,2.79,35,1.0,-758,"1,239",1,4,1/248,-,3.00,34,5.0
2026-02-05,木,いいえ,"+3,591","2,918",24,13,1/79,-,5.22,9,-,-238,425,1,1,1/213,-,3.30,51,23.0,-360,357,0,1,1/357,-,3.27,14,5.0,-127,309,1,0,1/309,-,3.19,19,5.0,"+2,289","8,001",41,29,1/114,-,4.68,28,9.0
2026-02-04,水,いいえ,+77,"2,902",13,7,1/145,-,3.01,10,-,-287,714,2,1,1/238,-,3.03,38,22.0,"+1,026","4,952",25,14,1/127,-,3.47,10,-,-209,210,0,0,-,-,3.21,16,6.0,-975,"1,718",3,5,1/215,-,2.88,53,15.0
2026-02-03,火,いいえ,-857,"3,187",9,11,1/159,-,3.17,27,12.0,-383,681,1,1,1/341,-,2.96,36,4.0,-226,393,1,0,1/393,-,3.08,14,-,+678,"4,939",22,16,1/130,-,3.63,15,1.0,+278,"4,639",16,19,1/133,-,4.01,32,5.0
2026-02-01,日,はい,-427,350,0,0,-,-,3.02,22,11.0,-469,501,1,0,1/501,-,2.94,31,9.0,"+1,503","6,640",34,13,1/141,-,2.38,11,-,-857,"1,838",5,3,1/230,-,2.52,35,4.0,-761,"1,364",3,3,1/227,-,2.83,51,16.0
2026-01-31,土,はい,-451,584,1,0,1/584,-,2.84,19,2.0,+891,"6,251",26,24,1/125,-,4.24,16,2.0,+88,"2,733",11,7,1/152,-,2.99,14,-,-543,849,1,2,1/283,-,3.00,17,1.0,"-1,120","2,003",4,5,1/223,-,2.67,46,27.0
2026-01-30,金,はい,"+1,344","5,034",23,21,1/114,-,4.63,16,2.0,-759,"1,088",1,2,1/363,-,2.71,21,5.0,-221,968,4,0,1/242,-,2.70,21,5.0,"+2,026","5,745",27,24,1/113,-,4.79,14,-,-616,"1,336",4,3,1/191,-,2.97,25,4.0
2026-01-29,木,いいえ,+513,"5,912",21,25,1/129,-,4.32,32,14.0,-328,"1,861",8,4,1/155,-,3.01,11,-,-93,"1,071",3,4,1/153,-,3.45,14,3.0,"+4,451","7,958",43,42,1/94,-,5.73,14,3.0,-150,"3,343",12,13,1/134,-,3.79,18,4.0
2026-01-28,水,いいえ,"+2,283","5,166",27,18,1/115,-,4.31,42,30.0,+369,"2,944",16,6,1/134,-,3.04,8,-,"+1,558","3,075",18,10,1/110,-,4.08,12,2.0,"-1,269","5,355",15,19,1/158,-,3.11,42,30.0,-97,"1,422",6,1,1/203,-,2.62,10,2.0
2026-01-27,火,いいえ,"-1,320","5,505",17,16,1/167,-,2.56,86,52.0,-186,"2,121",10,2,1/177,-,2.48,18,9.0,-312,933,2,2,1/233,-,3.01,26,8.0,-289,410,0,1,1/410,-,3.20,34,8.0,+830,"3,774",20,6,1/145,-,2.53,9,-
2026-01-26,月,いいえ,-567,611,1,1,1/306,-,3.05,85,52.0,-515,"1,726",5,6,1/157,-,3.34,14,5.0,+910,"5,565",26,12,1/146,-,2.51,26,12.0,-430,371,0,1,1/371,-,3.25,33,7.0,+320,"2,203",8,9,1/130,-,3.82,9,-
2026-01-25,日,はい,-856,"2,134",6,5,1/194,-,2.72,86,54.0,+85,"2,677",10,8,1/149,-,3.19,7,-,-478,"1,096",3,3,1/183,-,3.16,31,19.0,"+1,295","5,713",30,12,1/136,-,2.70,32,1.0,-69,279,1,0,1/279,-,3.23,12,5.0
2026-01-24,土,はい,-608,"1,486",4,2,1/248,-,2.58,78,24.0,"+1,984","4,730",25,21,1/103,-,5.02,9,-,"+1,951","7,769",33,34,1/116,-,4.99,24,10.0,-792,"2,279",7,4,1/207,-,2.46,54,30.0,"+1,308","4,185",22,12,1/123,-,3.61,14,5.0
2026-01-23,金,いいえ,-963,"1,649",3,6,1/183,-,3.20,78,11.0,+121,"1,426",6,5,1/130,-,3.60,10,-,-334,"1,086",3,2,1/217,-,2.93,67,18.0,+781,"5,144",24,15,1/132,-,3.37,49,36.0,+0,"1,202",5,4,1/134,-,3.52,13,3.0
2026-01-22,木,いいえ,-607,"1,162",2,2,1/291,-,2.73,78,4.0,"+1,485","5,408",27,18,1/120,-,4.04,14,2.0,-775,"1,774",5,3,1/222,-,2.58,78,4.0,-658,"2,174",8,2,1/217,-,2.27,74,60.0,+335,"2,371",10,7,1/139,-,3.33,12,-
2026-01-21,水,いいえ,-981,"4,246",14,12,1/163,-,2.73,74,2.0,-855,"3,535",12,9,1/168,-,2.66,23,5.0,-931,"2,341",4,8,1/195,-,2.95,72,49.0,-511,454,0,0,-,-,2.89,74,2.0,+873,"7,950",35,25,1/133,-,3.50,18,-
2026-01-20,火,はい,"-1,159","4,371",11,18,1/151,-,3.59,70,1.0,-709,"1,541",3,5,1/193,-,3.09,14,-,-25,"3,564",13,10,1/155,-,2.93,37,23.0,"-1,493","2,125",4,5,1/236,-,2.54,69,27.0,"-1,143","2,770",6,9,1/185,-,2.89,42,5.0
2026-01-19,月,いいえ,-373,312,0,0,-,-,3.07,61,5.0,"+2,195","4,873",28,22,1/97,-,5.21,12,-,-331,"1,247",4,3,1/178,-,3.08,31,6.0,-487,"2,576",8,11,1/136,-,3.82,56,25.0,-562,"1,713",4,7,1/156,-,3.49,25,13.0
2026-01-18,日,はい,-149,"1,830",8,3,1/166,-,2.81,62,22.0,-287,"1,148",4,2,1/191,-,2.96,24,7.0,+446,"4,292",18,18,1/119,-,4.39,17,3.0,-147,"3,943",15,11,1/152,-,2.93,40,16.0,-411,882,3,0,1/294,-,2.70,14,-
2026-01-17,土,はい,-423,"4,550",15,15,1/152,-,3.13,46,12.0,+766,"5,423",23,22,1/121,-,4.43,22,11.0,-911,"3,942",13,8,1/188,-,2.21,28,6.0,-562,"3,759",14,11,1/150,-,3.03,34,6.0,"+2,236","6,075",31,24,1/110,-,4.80,11,-
2026-01-16,金,いいえ,-332,"1,371",5,2,1/196,-,2.80,42,11.0,-475,"1,011",3,2,1/202,-,3.02,23,9.0,"-1,019","1,409",2,4,1/235,-,2.91,27,4.0,-138,77,0,0,-,-,3.39,31,4.0,+848,"6,550",29,23,1/126,-,4.01,14,-
2026-01-15,木,いいえ,-9,"1,467",6,3,1/163,-,3.03,29,6.0,"+1,544","6,929",32,27,1/117,-,4.62,21,6.0,-272,250,0,1,1/250,-,3.42,15,-,-192,"5,492",20,22,1/131,-,4.09,15,-,"-1,155","2,064",4,3,1/295,-,2.24,23,2.0
2026-01-14,水,いいえ,-258,"1,344",4,6,1/134,-,3.73,22,8.0,-255,223,0,0,-,-,3.19,41,19.0,"+1,050","3,345",17,7,1/139,-,2.91,10,-,+249,"4,541",16,23,1/116,-,4.84,14,3.0,-881,"6,047",24,13,1/163,-,2.16,11,1.0
2026-01-13,火,いいえ,-275,"1,631",6,3,1/181,-,2.83,21,5.0,-382,393,0,1,1/393,-,3.22,31,6.0,-61,"2,592",8,9,1/152,-,3.32,16,7.0,-121,645,3,0,1/215,-,2.99,25,4.0,+113,736,4,0,1/184,-,2.98,9,-
2026-01-12,月,いいえ,-158,"1,211",5,3,1/151,-,3.25,16,1.0,-163,"2,361",9,6,1/157,-,2.99,32,16.0,+574,"1,386",7,4,1/126,-,3.51,15,1.0,"+1,372","6,562",27,31,1/113,-,5.09,14,2.0,+172,"6,113",26,16,1/146,-,2.74,12,-
2026-01-11,日,はい,"+1,222","3,825",20,10,1/128,-,3.36,15,-,-23,"1,307",5,3,1/163,-,3.12,25,3.0,+112,"5,027",20,16,1/140,-,3.32,38,13.0,-203,"3,052",13,5,1/170,-,2.43,22,4.0,-99,"1,738",7,4,1/158,-,3.05,18,3.0
2026-01-10,土,はい,+210,"4,558",18,13,1/147,-,2.98,29,1.0,"+3,595","8,226",47,25,1/114,-,4.31,28,4.0,"-1,143","2,438",5,8,1/188,-,2.94,49,20.0,"-1,279","2,112",4,5,1/235,-,2.56,14,-,"+1,156","7,890",36,28,1/123,-,4.23,24,10.0
2026-01-09,金,いいえ,"+1,657","8,325",35,38,1/114,-,5.17,25,14.0,-379,"1,072",3,2,1/214,-,2.94,57,9.0,-254,381,1,0,1/381,-,3.10,34,9.0,"+1,348","2,997",14,20,1/88,-,5.37,11,-,+499,"6,490",27,21,1/135,-,3.47,48,14.0
2026-01-08,木,いいえ,-288,"2,471",7,8,1/165,-,3.11,64,1.0,-225,797,2,3,1/159,-,3.44,51,25.0,"+2,474","7,733",39,28,1/115,-,4.61,26,3.0,-195,198,0,0,-,-,3.22,23,-,+904,"5,150",20,22,1/123,-,4.44,63,12.0
2026-01-07,水,いいえ,-780,"1,038",1,3,1/260,-,3.01,63,24.0,"+1,344","7,734",31,31,1/125,-,4.47,39,26.0,-804,"2,350",7,6,1/181,-,2.80,81,18.0,-28,"3,228",15,5,1/161,-,2.43,13,-,-2,"5,578",22,18,1/139,-,3.34,86,5.0
2026-01-06,火,いいえ,"-1,335","6,833",18,26,1/155,-,3.27,35,26.0,"-1,602","7,112",17,28,1/158,-,3.29,61,26.0,-308,"6,594",23,27,1/132,-,4.18,78,17.0,+162,"3,922",18,6,1/163,-,2.25,9,-,"-1,532","8,756",23,37,1/146,-,3.89,94,16.0
2026-01-04,日,はい,-396,"3,874",16,9,1/155,-,2.68,20,8.0,-629,"1,575",4,3,1/225,-,2.69,50,30.0,"-2,114","3,720",7,8,1/248,-,2.01,76,26.0,+111,"3,627",15,11,1/140,-,3.29,12,-,-555,"5,044",16,18,1/148,-,3.33,92,16.0
2026-01-03,土,はい,-111,"5,397",25,13,1/142,-,2.77,11,-,"-1,352","3,829",11,10,1/182,-,2.49,32,15.0,-267,"7,880",26,33,1/134,-,4.27,33,1.0,+764,"6,016",25,25,1/120,-,4.56,17,6.0,"-1,924","6,573",24,9,1/199,-,1.56,75,42.0
2026-01-02,金,いいえ,+784,"4,433",23,12,1/127,-,3.42,12,-,-467,"4,656",17,16,1/141,-,3.43,19,3.0,-77,"3,764",15,11,1/145,-,3.13,16,4.0,"-1,073","4,512",13,15,1/161,-,2.97,25,6.0,-788,"4,987",18,10,1/178,-,2.09,66,41.0
2026-01-01,木,いいえ,-359,717,1,3,1/179,-,3.43,22,7.0,-492,"1,427",3,4,1/204,-,2.99,11,-,+516,"3,813",18,9,1/141,-,2.93,14,3.0,-115,806,3,1,1/202,-,3.03,15,1.0,"-1,463","2,811",7,6,1/216,-,2.35,48,26.0
2025-12-31,水,いいえ,-91,"1,751",8,1,1/195,-,2.47,14,3.0,+990,"4,614",22,15,1/125,-,3.79,10,-,-652,"1,222",3,2,1/244,-,2.77,26,2.0,"+1,119","4,779",22,21,1/111,-,4.78,11,1.0,"-1,616","2,148",3,2,1/430,-,1.97,24,10.0
2025-12-30,火,はい,"+2,189","5,500",29,23,1/106,-,4.97,8,-,+901,"5,903",27,15,1/141,-,2.84,11,3.0,-722,"2,752",9,8,1/162,-,2.99,24,12.0,+411,"5,347",23,20,1/124,-,4.13,11,3.0,+867,"6,517",30,18,1/136,-,3.10,12,1.0
2025-12-29,月,いいえ,"+4,667","7,445",50,21,1/105,-,4.60,14,-,-672,887,2,0,1/444,-,2.59,27,2.0,-769,"1,128",2,2,1/282,-,2.77,18,3.0,-587,"1,315",3,3,1/219,-,2.89,25,7.0,"-1,410","6,799",24,14,1/179,-,1.87,15,1.0
2025-12-28,日,はい,"+1,452","6,574",31,22,1/124,-,3.98,25,7.0,+30,"3,274",12,13,1/131,-,3.87,25,7.0,"+1,255","3,441",18,15,1/104,-,4.69,15,6.0,-537,"1,797",4,9,1/138,-,3.88,18,3.0,"+2,155","7,835",40,24,1/122,-,3.89,9,-
2025-12-27,土,はい,"-1,604","4,178",11,12,1/182,-,2.54,56,20.0,+430,"5,468",21,24,1/122,-,4.57,12,-,"+1,810","6,706",31,27,1/116,-,4.73,15,3.0,+892,"7,401",30,27,1/130,-,4.00,20,5.0,-919,"3,059",8,9,1/180,-,2.77,36,16.0
2025-12-26,金,いいえ,-772,"1,979",5,5,1/198,-,2.79,25,9.0,+124,"4,230",17,16,1/128,-,3.94,12,-,"+1,453","5,560",24,28,1/107,-,5.21,16,4.0,-404,520,0,2,1/260,-,3.31,40,15.0,-67,"1,373",7,1,1/172,-,2.78,12,-
2025-12-25,木,いいえ,+178,"4,400",18,15,1/133,-,3.62,35,15.0,-832,"3,660",9,17,1/141,-,3.99,19,11.0,-678,"1,072",2,2,1/268,-,2.84,45,10.0,+186,"4,801",21,13,1/141,-,3.01,20,1.0,+328,"2,786",14,5,1/147,-,2.79,8,-
2025-12-24,水,いいえ,+866,"5,515",24,25,1/113,-,4.90,25,9.0,+66,"1,016",5,1,1/169,-,2.99,16,8.0,-502,"4,648",18,10,1/166,-,2.33,25,9.0,"+1,153","2,966",14,14,1/106,-,4.63,31,6.0,+286,"2,188",11,5,1/137,-,3.18,8,-
2025-12-23,火,いいえ,"-1,477","2,243",4,2,1/374,-,1.97,48,16.0,-794,"1,858",3,8,1/169,-,3.43,32,10.0,-825,"1,733",3,6,1/193,-,3.10,22,14.0,-923,"1,530",3,3,1/255,-,2.65,64,16.0,+0,"3,770",14,11,1/151,-,3.02,8,-
2025-12-21,日,はい,-498,"4,233",15,13,1/151,-,3.04,24,3.0,-385,"2,363",7,7,1/169,-,3.01,14,2.0,-372,568,1,1,1/284,-,3.11,12,-,-252,"3,457",13,9,1/157,-,2.83,35,11.0,-269,"1,035",4,0,1/259,-,2.63,21,7.0
2025-12-20,土,はい,-249,"2,279",7,8,1/152,-,3.35,20,8.0,"+2,991","8,430",43,33,1/111,-,5.01,12,4.0,+551,"4,037",21,7,1/144,-,2.56,8,-,"-1,587","3,615",8,9,1/213,-,2.27,34,13.0,"-1,334","2,789",7,5,1/232,-,2.20,21,1.0
2025-12-19,金,いいえ,+13,"5,451",19,21,1/136,-,3.82,31,7.0,+355,861,5,2,1/123,-,3.46,34,3.0,"+1,048","3,624",20,10,1/121,-,3.61,6,-,-275,357,1,0,1/357,-,3.13,24,15.0,"+1,720","6,728",34,18,1/129,-,3.26,9,3.0
2025-12-18,木,いいえ,-897,"2,146",6,6,1/179,-,2.93,35,4.0,"-1,031","3,444",9,13,1/157,-,3.33,43,8.0,-111,"2,916",10,13,1/127,-,4.09,10,-,+921,"4,911",24,14,1/129,-,3.42,25,15.0,+162,"1,461",9,0,1/162,-,2.65,31,6.0
2025-12-17,水,いいえ,+483,"3,228",15,10,1/129,-,3.55,22,14.0,-16,758,3,3,1/126,-,3.62,32,10.0,+131,"2,122",9,3,1/177,-,2.59,8,-,-100,341,1,0,1/341,-,3.15,32,10.0,+201,"7,104",30,16,1/154,-,2.24,38,6.0
2025-12-16,火,いいえ,+119,"2,952",13,7,1/148,-,2.95,26,4.0,-343,"3,356",12,9,1/160,-,2.84,28,2.0,-298,"4,121",16,12,1/147,-,3.05,8,-,-313,860,3,0,1/287,-,2.72,26,4.0,+190,"3,385",17,3,1/169,-,2.12,22,14.0
2025-12-15,月,いいえ,+84,"1,846",7,6,1/142,-,3.41,29,5.0,+425,"2,673",11,13,1/111,-,4.47,32,3.0,+359,"2,955",14,7,1/141,-,3.05,7,-,"+1,881","6,230",25,33,1/107,-,5.35,24,17.0,-846,"2,119",5,5,1/212,-,2.64,48,16.0
2025-12-14,日,はい,-574,"2,094",7,5,1/175,-,2.86,54,9.0,-455,"1,154",4,1,1/231,-,2.72,55,1.0,"+1,704","4,615",25,13,1/121,-,3.65,6,-,-256,522,1,1,1/261,-,3.17,45,2.0,"-1,462","4,271",9,14,1/186,-,2.66,43,37.0
2025-12-13,土,はい,"-1,283","5,683",17,15,1/178,-,2.27,24,13.0,-288,801,3,0,1/267,-,2.79,34,10.0,"+2,237","5,045",28,18,1/110,-,4.52,11,-,-957,835,0,0,-,-,2.46,35,1.0,+60,"5,227",20,18,1/138,-,3.53,41,6.0
2025-12-12,金,いいえ,-159,121,0,0,-,-,3.33,11,-,+573,"5,205",24,16,1/130,-,3.53,16,5.0,-210,124,0,0,-,-,3.32,18,2.0,-595,483,0,1,1/483,-,3.10,16,5.0,-579,"7,006",24,22,1/152,-,2.87,40,22.0
2025-12-11,木,いいえ,+20,"1,517",6,4,1/152,-,3.22,11,-,-8,"4,340",18,11,1/150,-,2.79,44,16.0,+138,272,2,0,1/136,-,3.37,20,3.0,+944,"5,343",24,18,1/127,-,3.81,17,6.0,-410,"2,287",5,13,1/127,-,4.31,28,8.0
2025-12-10,水,はい,+331,"5,671",23,16,1/145,-,2.91,14,-,-670,777,1,0,1/777,-,2.62,28,1.0,+970,"3,127",16,9,1/125,-,3.54,32,4.0,-119,"2,183",10,2,1/182,-,2.42,42,10.0,"+1,738","5,899",28,25,1/111,-,4.88,27,13.0
2025-12-09,火,いいえ,-170,"3,220",12,9,1/153,-,2.99,21,-,-862,"1,208",1,4,1/242,-,3.04,23,2.0,"+1,227","4,490",22,13,1/128,-,3.47,49,26.0,-245,"4,720",14,23,1/128,-,4.52,49,26.0,"-1,477","3,062",6,10,1/191,-,2.79,49,26.0
2025-12-07,日,はい,-386,612,1,1,1/306,-,3.05,16,-,-767,917,1,2,1/306,-,2.91,18,2.0,-869,"2,800",8,8,1/175,-,2.84,86,35.0,-523,563,1,0,1/563,-,2.86,51,13.0,-453,"7,123",25,23,1/148,-,3.03,38,20.0
2025-12-06,土,はい,"+1,450","6,323",30,20,1/126,-,3.74,18,8.0,+675,"4,800",17,26,1/112,-,5.10,10,-,"-1,196","3,406",7,13,1/170,-,3.17,55,21.0,"+1,117","3,848",21,6,1/143,-,2.55,34,16.0,"-1,463","2,867",7,5,1/239,-,2.15,34,16.0
2025-12-05,金,いいえ,"+1,748","4,632",27,9,1/129,-,2.92,22,7.0,"+1,560","5,447",26,22,1/113,-,4.66,15,-,-143,"1,177",3,6,1/131,-,3.83,48,18.0,+710,"7,205",27,28,1/131,-,4.11,53,5.0,"+1,538","4,645",23,17,1/116,-,4.29,30,8.0
2025-12-04,木,いいえ,-416,"1,208",3,4,1/173,-,3.27,57,13.0,-880,"3,923",12,13,1/157,-,3.09,19,-,-825,"1,502",4,1,1/300,-,2.36,44,10.0,"-1,351","3,176",6,12,1/176,-,3.10,91,34.0,-120,"3,189",12,11,1/139,-,3.50,34,15.0
2025-12-03,水,いいえ,-650,"1,264",2,3,1/253,-,2.84,50,15.0,"+1,081","7,520",30,35,1/116,-,5.09,16,-,-539,950,2,1,1/317,-,2.75,35,16.0,"-1,230","2,618",4,9,1/201,-,2.86,74,24.0,-394,386,0,0,-,-,2.97,19,3.0
2025-12-02,火,いいえ,+198,"5,174",20,20,1/129,-,4.02,46,2.0,-258,"1,266",5,0,1/253,-,2.48,44,12.0,-979,"1,790",3,4,1/256,-,2.59,32,13.0,"-1,600","3,854",10,9,1/203,-,2.23,58,12.0,+107,"6,688",29,18,1/142,-,2.84,19,-
2025-12-01,月,いいえ,"-1,090","1,946",5,2,1/278,-,2.24,54,16.0,-744,"1,427",3,3,1/238,-,2.76,35,6.0,-641,866,1,1,1/433,-,2.74,24,-,"-1,121","2,052",2,10,1/171,-,3.56,29,5.0,-632,"5,438",20,14,1/160,-,2.50,38,3.0
2025-11-30,日,はい,"-1,195","4,579",15,10,1/183,-,2.18,20,8.0,+245,"3,007",13,9,1/137,-,3.36,33,9.0,"+2,974","8,494",50,19,1/123,-,3.12,24,4.0,+513,"5,770",24,21,1/128,-,3.97,12,-,-622,"3,691",12,11,1/160,-,2.91,35,2.0
2025-11-29,土,はい,+331,"3,173",13,10,1/138,-,3.39,18,-,-485,"6,213",20,27,1/132,-,4.30,27,9.0,-148,"6,398",27,14,1/156,-,2.25,52,22.0,-726,"3,937",12,11,1/171,-,2.66,28,1.0,"-1,408","2,125",2,6,1/266,-,2.56,30,2.0
